ParlaMint-NL_2019-05-14-tweedekamer-21.u1	The first speaker is Mr Paternotte on behalf of D66.
ParlaMint-NL_2019-05-14-tweedekamer-21.u12	Thank you. Mr Amhaouch has the floor on behalf of the CDA.
ParlaMint-NL_2019-05-14-tweedekamer-21.u13	Mr. Chairman. I think we have had a good AO debate on sustainable aviation. I think all the pieces could get their eggs in there. We have made two important points there. One of these is the progress of the introduction of biokerosin. There is the Amhaouch/Paternotte motion, but we also want speed so that the biokerosin becomes available at Schiphol. We've said before that it can't be that the KLM is filling up in Los Angeles but not at Schiphol Airport. We therefore ask the Minister to cooperate with the partners, because it is also a private initiative, and together with KLM and other airlines, to show speed. We're very worried...
ParlaMint-NL_2019-05-14-tweedekamer-21.u14	May I give Mrs Kröger the floor for a moment? She has a question about this.
ParlaMint-NL_2019-05-14-tweedekamer-21.u15	Yes, a question I would also like to ask Mr Paternotte about the extraction of biokerosin. Our Secretary of State will work on a new sustainability framework for biomass, of which biokerosin will also be part and which will include a cascading ladder. Shouldn't we first have that sustainability framework to make sure we're not doing more harm than good?
ParlaMint-NL_2019-05-14-tweedekamer-21.u16	No, biokerosin is already in use. We, as the Netherlands, are actually chasing the facts. We cannot mix with biokerosine, and when we talk about making aviation more sustainable, I think that we should make sure that we also mix biokerosine in the Netherlands. However, I am concerned about the fact that biokerosin is two or three times more expensive than regular kerosene. Then I come to point two: how are we going to make accompanying policy on this? I see all kinds of departments introducing taxes and excise duties. We want biokerosin, of course, and it's more expensive. One time we will opt for a positive measure and the other time we will impose all kinds of charges. How do we make that clear to all of us, so that we know at every department what we lay down in aviation, both good and bad? It's important that we make choices considered, and I miss that now. That is why I ask the Minister: when are you coming up with these insights so that we can make the right decisions at the right time? I do not want us to always be able to introduce all kinds of taxes and charges per motion, where we end up shooting in our own feet.
ParlaMint-NL_2019-05-14-tweedekamer-21.u17	I hear a very different picture from Mr Paternotte, who states that our national airline is the leader in the mixing of biokerosin. Mr Amhaouch says that we are dangling all the way back, but I do not think that is quite right.
ParlaMint-NL_2019-05-14-tweedekamer-21.u18	No, it's about the availability of biokerosin in the Netherlands. KLM is currently filling up in Los Angeles. It cannot be true that we have such a beautiful airline, which is ambitious for sustainability, which receives a lot of blame and cannot refuel at Schiphol Airport. That hurts me.
ParlaMint-NL_2019-05-14-tweedekamer-21.u19	It was an intro to my question for me. As we have seen, the obligation to mix cars has first driven unsustainable biofuels. Now we have strict sustainability rules and are slowly getting the unsustainable out. So we have to make sure that biokerosin is properly organised from the outset, so that the sustainability framework that our Secretary of State is going to work on is in place, before we start to mix that biokerosin.
ParlaMint-NL_2019-05-14-tweedekamer-21.u20	Finally, Mr Amhaouch.
ParlaMint-NL_2019-05-14-tweedekamer-21.u21	I think you need to create a need first. There's got to be people who want to gas up. So that's step one: you have to create that need. You have to create that production. Secondly, there is always a kind of accompanying or guiding policy. CE Delft has done research on how best to stimulate biokerosin. There's a lot of research to do that. But now let's create that need so that they can actually refuel. That's step one. Otherwise it will be dry cycling, and then we will not get ahead as the Netherlands. And that's what we all want, isn't it?
ParlaMint-NL_2019-05-14-tweedekamer-21.u22	You will continue your speech.
ParlaMint-NL_2019-05-14-tweedekamer-21.u23	Yeah, so I'd like to get a response from the Minister on that stacking. I see that several departments, such as Finance and IenWwerk, are seeking to impose additional costs on environmental issues. Sometimes that's right, but I don't think we see that stacking clearly. I think Mr Dijkstra might come back to that as well. Mr. Chairman. Then I have another motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that a large Boeing alone consumes around 200,000 litres of kerosene per year with taxi;]] [[noting that the draft Sustainable Aviation Agreement expressed the ambition to apply electric taxiing as a standard procedure;]] [[Whereas it is possible to save kerosene by means of electric taxi, which is beneficial for emissions and can also lead to less nuisance;]] [[Whereas the Government is engaged in an overarching and smart and comprehensive direction between airports of national importance;]] [[calls on the Government to make concrete agreements on an ambitious roll-out of electric taxiing at least at airports of national importance in the further development of the draft Sustainable Aviation Agreement and to inform the Court in the draft Air Transport Note,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Amhaouch, Mr Paternotte and Mr Bruins. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31936-603]]
ParlaMint-NL_2019-05-14-tweedekamer-21.u24	Mr. Chairman. I started during the AO with the same words as Mr Van Raan: sustainable aviation does not exist for the time being. We hope to see it someday, but for now it doesn't exist. During the AA, I made it clear that the Slim and Sustainable Sector Plan shows no ambition to reduce greenhouse gas emissions in the long term. A fictitious growth is calculated and then is calculated back to reach the same level of emissions as today in 2030. That's the plan. Well, as far as I am concerned, that is unprecedented for such a polluting sector. That's why the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Slim and Sustainable Sector Plan is based on fictitious growth until 2030 and has set CO reduction targets from that point;]] [[noting that other sectors have based a CO reduction plan on current greenhouse gas emissions or a moment in the past;]] [[Considering that, through Slim and Sustainable, the aviation sector is going to emit little less than current emissions;]] [[considers that this is contrary to the ambitions of the Netherlands;]] [[calls on the government to come up with a new sector plan with ambitious CO reduction targets based on current emissions or a moment in the past,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Laçin, Mr Van Raan and Mr Kröger. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31936-604]]
ParlaMint-NL_2019-05-14-tweedekamer-21.u25	Mr Laçin does not agree with the Slim and Sustainable proposal of the sector, if I understand him correctly. Well, I don't think it's enough either, but I do notice that CE Delft says that this actually goes beyond the aviation sector in almost any country. To say it's nothing at all... Can you also say something positive about it?
ParlaMint-NL_2019-05-14-tweedekamer-21.u26	We also discussed other elements of Slim and Sustainable in the debate, such as electric taxiing and no emissions at airports. We are pleased with that; it is the small steps. But if you look at the emissions of aviation in the Netherlands... The fact that other countries are behind us says more about the other countries. That does not necessarily mean that we are doing very well. They're probably very bad at it. If we look at other sectors, such as industry, then I also think that aviation should take the moment of today or a moment in the past to reduce emissions on this basis. Aviation should not reach the current level of emissions by 2030. I don't think that's showing any ambition. Mr. Chairman. The Environment and Infrastructure Council's opinion "Airport policy, a new approach route" is crystal clear: aviation must start working on absolute CO reduction from now on. The expansion of Lelystad Airport does not fit in at all in our opinion, and yet this Minister is going to go on undisturbed, even now that the Aviation Note 2020-2050 is coming. I want the Rli's advice to be included in the Aviation Note and therefore this motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Rli states that an absolute CO reduction should be made from now on;]] [[noting, for example, that the expansion of Lelystad Airport will increase CO emissions;]] [[noting that the Minister is currently preparing the Aviation Paper 2020-2050;]] [[Whereas increased CO emissions from the aviation sector are undesirable;]] [[calls on the Government to include in the Aviation Paper 2020-2050 only plans that will reduce CO emissions,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Laçin, Mr Van Raan and Mr Kröger. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31936-605]]
ParlaMint-NL_2019-05-14-tweedekamer-21.u27	Mr. Chairman. I think the plan Slim and Sustainable that the sector has presented is a good plan. There's ambition. It's good that it's there. It contains a number of sympathetic proposals, one of which Mr Amhaouch picked out: the electric taxiing. Durable doesn't have to be more expensive. It's good, and it can also make money. I have a motion to clarify the costs of taxes, tariffs and charges. I see that Mr Laçin wishes to interrupt, but shall I read the motion first?
ParlaMint-NL_2019-05-14-tweedekamer-21.u28	Well, I think his question is about your first words, so Mr Laçin is asking his question.
ParlaMint-NL_2019-05-14-tweedekamer-21.u29	Thank you, Mr. Chairman. I'd like to focus on it. So the VVD thinks it is an ambitious and good plan that the aviation sector will be at the same level of emissions by 2030 as it is today? Does the VVD think that's an ambitious and good plan?
ParlaMint-NL_2019-05-14-tweedekamer-21.u30	Yes. I think Slim and Sustainable is a good plan. You can see the logos of all the parties involved. The NS participates, but also TNO, the airlines, suppliers. It is a good thing that the sector, all these parties, have joined forces without asking for it. They have done so themselves because they also see the need to make aviation more sustainable. They take a position there in which the Netherlands can make a frontrunner on this kind of thing. That's what happens to small and big things. Think of fleet replacement. That's a really big step, and to do that, you have to have enough money. But also think of shift towards trains, towards electric taxiing and you name it. A lot happens on the ground; this is a nice plan.
ParlaMint-NL_2019-05-14-tweedekamer-21.u31	Mr. Laçin, you want to respond again, but I have reason to believe that all this has already been changed at the AO. Please respond briefly.
ParlaMint-NL_2019-05-14-tweedekamer-21.u32	Finally. Emissions from other sectors really have to be reduced by 40%, 50% to 60%. In the aviation sector, this is not necessary for the time being. I just want to say that the VVD thinks it is a good plan that aviation will still be releasing what the sector is releasing by 2030.
ParlaMint-NL_2019-05-14-tweedekamer-21.u33	I notice that aviation is growing. Worldwide there is an increase of 8% to up to 12%. In the Netherlands, this growth is very modest and Schiphol is simply locked. For example, I note that the KLM has been in place 1 or 2 for 14 years in that Dow Jones Sustainability Index. I note that there is now a plan from the sector to reduce those CO emissions ambitiously. That plan is there without us asking for it. I think that's some good signals you should cherish. From there, you're gonna build.
ParlaMint-NL_2019-05-14-tweedekamer-21.u34	I try to put it differently from Mr Laçin. Can Mr Dijkstra give an explicit answer to the question of whether or not the aviation sector deserves a CO ceiling? Can the aviation sector, in Mr Dijkstra's view, afford not to have a CO ceiling, with all the reduction targets that we now have?
ParlaMint-NL_2019-05-14-tweedekamer-21.u35	You know what it's like with aviation? The aviation sector is a global sector. So you also have to approach it in a global way, or else you have to do it in Europe. It is very difficult to allocate emissions from a flight from Amsterdam to Tokyo. Is the emissions of such a flight all for Schiphol? Or is it for Tokyo? Or for all the countries in between? It's complicated. So this sustainability and reduction of CO emissions are done on a global scale, through the UN Convention, which is linked to the Paris Agreement. That is good, and that means saving fuel at 1.5% a year. That's really big, and you're not gonna make it in your car. This means that if the aviation sector grows, that growth will be compensated. Probably won't make it with your car either.
ParlaMint-NL_2019-05-14-tweedekamer-21.u36	I don't have a car!
ParlaMint-NL_2019-05-14-tweedekamer-21.u37	Well, then probably plays the fine dust of your bicycle tires, or whatever. There are just a lot of things in it and we are doing it in the ICAO context. These are fuel savings, compensation, reduction. You have to keep that sector healthy. You need to make sure that this sector can invest in new aircraft, which are becoming cleaner and quieter. I believe that Airbus's cleanest aircraft are already using only two litres of fuel at 100 kilometres. Well, why don't you get over that with your Golf? You're not gonna make it. I do not know exactly what Mr Van Raan wants, but at least I want aviation to be sustainable on a global scale. And all those measures that you take here at national level actually only complicate it. That's what my motion is about.
ParlaMint-NL_2019-05-14-tweedekamer-21.u38	Finally, Mr. Van Raan.
ParlaMint-NL_2019-05-14-tweedekamer-21.u39	Let us at least note that what Mr Dijkstra is saying here is really grotesque nonsense. It is, of course, possible to determine the emissions of aviation in the Netherlands. All you have to do is look at the bunker fuels. What Mr Dijkstra is showing here is actually the incomprehension and inability to understand. Even in Clean and Durable, or Slim and Durable, it should actually be called "Irresponsible and Stupid," but well this is established. This is because the calculations of emissions are based on bunker fuels. You can just figure that out. So what Mr Dijkstra is saying here is really grotesque nonsense.
ParlaMint-NL_2019-05-14-tweedekamer-21.u40	That's what you said.
ParlaMint-NL_2019-05-14-tweedekamer-21.u41	I'm glad to hear that. Of course you can calculate that and of course you can link a ceiling to aviation. You could say that aviation is already on the ceiling. You can say it's now May 14th and it's done now. And did you think the flying would stop? Did you think they would say in India or in China: we stop flying now because the Party has set a ceiling for the Animals? That's bullshit, of course. You've got to think for a second. Flying is global and brings us a lot. That will remain the case, but we will have to do it in a cleaner and more sustainable way. That's what I'm doing; I'm not doing symbol politics.
ParlaMint-NL_2019-05-14-tweedekamer-21.u42	I'm an optimist, too. Mr Dijkstra said: 100 kilometers with 2 liters with an Airbus; go ahead and kill her with your Fiat. I assume you mean by seat, to prevent a fact-checker from going on for a day.
ParlaMint-NL_2019-05-14-tweedekamer-21.u43	Yeah, look in the leaves when you're on a plane. The plane I was on didn't have that, but a normal airline often has a magazine like that. It says exactly what the fleet is, what they consume, how old they are and so on. Super interesting. Then you see that the aviation... Yeah, it's good for them, too. I mean, the margins are small, so they have to save energy, save fuel. They also need to fly shorter routes. That is something that you and I need to work together in Europe. Now we're not saving 10% fuel simply because we're making 220 kilometers extra from Zurich to Amsterdam, I understand. That's just a shame. So we have a lot to do in the field of aviation. Let us work together in this and let us acknowledge that aviation is just fun, that it remains, that it is a beautiful sector, but also that it needs to be sustainable and cleaner and safer.
ParlaMint-NL_2019-05-14-tweedekamer-21.u44	Finally, Mr Paternotte.
ParlaMint-NL_2019-05-14-tweedekamer-21.u45	That is a nice appeal from Mr Dijkstra, but I understand from this that he has the thesis that with the latest Airbus you can fly 100 kilometres at 2 litres, from an inflamed magazine. Then it can also be used as a source for a possible fact check. But you probably mean 100 km per seat at two liters.
ParlaMint-NL_2019-05-14-tweedekamer-21.u46	I'll just... Yeah, exactly. Of course, there are 200 people on that plane.
ParlaMint-NL_2019-05-14-tweedekamer-21.u47	I thought that would be a good idea, otherwise the fact-checker will go back to work on it for another day.
ParlaMint-NL_2019-05-14-tweedekamer-21.u48	No, I'm fine. Yeah, fact check or not, you can just google it like that. If you look by seat or by traveler, you consume much less than in your car. Of course, if you put four people in your car, that car might be more economical again. It's possible. It's just how you calculate it, but flying is a relatively good way to move. At least it's very fast and you go everywhere. My motion, Chairman. Yeah, it's kind of fun.
ParlaMint-NL_2019-05-14-tweedekamer-21.u49	Yeah, I can tell by you.
ParlaMint-NL_2019-05-14-tweedekamer-21.u50	Yeah, I love it. I have a motion on taxes, tariffs and charges. Just because you want to make it more sustainable, you also want money for it. Now we're stacking all kinds of costs. I want to make it clear. That's why my motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that due to the rising CO price in the ETS system, the rising airport rates, the entry into force of CORSIA.................................................................................................................................................................................................................................................]] [[Whereas this charging may jeopardise the competitive position of Dutch aviation and associated jobs;]] [[Whereas it is important to have an understanding of the level and structure of the above-mentioned costs for policy-making and investment security towards the future;]] [[calls on the Government to provide the summer recess chamber with a clear overview of the above mentioned cost items for the past five years and next five years,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Remco Dijkstra. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31936-606]]
ParlaMint-NL_2019-05-14-tweedekamer-21.u51	Thank you, Mr. Chairman. With four motions I start very quickly. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas greenhouse gas emissions should be reduced;]] [[calls on the Government to set an emission ceiling for aviation in the Aviation Note,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the train is a practical and environmentally friendly alternative to short flights;]] [[Whereas there are still dozens of daily flights on cities that are also easily accessible by train, such as Paris and London;]] [[calls on the Government to identify what is needed on the part of the public authorities, the air transport sector and the rail sector to make a significant part of the journey on these routes by the train within two years rather than the aircraft, and to make effective agreements with the providers on both rail and aviation sides, or to explore the administrative and/or legal means that might be needed for this,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that kerosene still contains much more sulphur for aviation than, for example, diesel and that this sulphur leads to air pollution in the event of combustion;]] [[Whereas this air pollution results in damage to nature and human health;]] [[Whereas desulphurised kerosene is only marginally more expensive than sulphurous kerosene;]] [[calls on the Government to make low sulphur kerosene the norm at Dutch airports and to engage in talks with the aviation sector to this end;]] [[invites the Government to report to the Court in the third quarter,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Kröger, Mr Laçin and Mr Van Raan. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31936-607]] [[This motion was tabled by Mr Kröger. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31936-608]] [[This motion was tabled by Mr Kröger, Mr Paternotte and Mr Bruins. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31936-609]]
ParlaMint-NL_2019-05-14-tweedekamer-21.u52	Finally, a motion on yesterday's news on kerosene excise duty. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that no excise duty is levied on kerosene in aviation;]] [[Whereas it is unreasonable and undesirable that aviation should continue to be exempted from a reasonable fuel tax;]] [[Whereas, within the international conventions, it is possible to import kerosene excise duty with a group of countries;]] [[calls on the Government to discuss with other benevolent European countries the setting up of a leading group for the introduction of kerosene excise duties,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Kröger. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31936-610]]
ParlaMint-NL_2019-05-14-tweedekamer-21.u53	Thank you, Mr. Chairman.
ParlaMint-NL_2019-05-14-tweedekamer-21.u54	Thank you. That brings us to the end of the parliamentary term. The Minister will need about ten minutes to prepare for the answer.
ParlaMint-NL_2019-05-14-tweedekamer-21.u55	The next item is the government's response to the report on general consultation on sustainable aviation. The Minister for Infrastructure and the Water State has the floor.
ParlaMint-NL_2019-05-14-tweedekamer-21.u56	Thank you, Mr. Chairman. Also this time mainly motions and only a limited number of questions. We have been asked about the state of play in the field of electric flying. The last time we reported on that was in April. Since then, therefore, there has not been much news to report, I have to confess, but I hope that we will be able to report on this after the summer. I understand Mr Paternotte's impatience; I feel it myself. But again, right now, I can't. Then I'll get to the motions. The motion in part No. 597 also belongs to Mr Paternotte. It calls on the government to work at European level to introduce growth towards an obligation to mix biokerosin and later synthetic kerosene for aviation. I think it is a very nice motion, but I would like to ask Mr Paternotte to keep it, because I am currently allowing the possibilities for combining obligations for research into sustainable alternative fuels to be identified. The House will be informed of this in the autumn. As it is now, you might not even be able to force it, because then you should actually be able to refuel it. I would therefore ask you to hold this motion until this autumn, when we have more clarity about it.
ParlaMint-NL_2019-05-14-tweedekamer-21.u57	Is Mr Paternotte prepared to do so, or is he considering it?
ParlaMint-NL_2019-05-14-tweedekamer-21.u58	I'm gonna think about it.
ParlaMint-NL_2019-05-14-tweedekamer-21.u59	Would you like to take a look at the last word in the operative part?
ParlaMint-NL_2019-05-14-tweedekamer-21.u60	Yes.
ParlaMint-NL_2019-05-14-tweedekamer-21.u61	Thank you.
ParlaMint-NL_2019-05-14-tweedekamer-21.u62	Yeah, it said "airplanes."
ParlaMint-NL_2019-05-14-tweedekamer-21.u63	The Minister has the floor.
ParlaMint-NL_2019-05-14-tweedekamer-21.u64	And before the chairman asks: if the motion is not held, I must advise her against it because of untimely times. The motion in part No. 598 also belongs to Mr Paternotte. It calls on the government to establish clear, complete environmental limits, such as emissions of noise, greenhouse gases and other harmful substances for aviation in the Netherlands. I am going to ask Mr Paternotte to take this motion as well. I'm sure I can tell you that I'm going to do the same for a large number of other motions. I am always going to make the same reference to the draft air transport note, in which we really want to give this broad discussion a good place. I do not want to anticipate that and start making agreements on individual parts now. You yourself have also called for a good participation process. We're going to do that very carefully. It addresses all these issues. If we shut everything down in the Chamber now, we don't have to do that whole participation anymore. I don't think that's the point. We are really speeding up the Aviation Paper, because we want it adopted by the end of this year. In that context, I would ask you to hold this motion for a resolution.
ParlaMint-NL_2019-05-14-tweedekamer-21.u65	And if that doesn't happen, is the judgment dissuaded again?
ParlaMint-NL_2019-05-14-tweedekamer-21.u66	Dissuade, yes.
ParlaMint-NL_2019-05-14-tweedekamer-21.u67	There is a lot of work going on on the Aviation Note; that is what we are hearing. It's being drafted right now. That is often the very reason to make a point about it. You want a number of things to be included in that Aviation Note, because otherwise they would have to be amended afterwards. Then the question to the Minister is: with what in mind, when it comes to environmental limits, is she now working on that Aviation Note?
ParlaMint-NL_2019-05-14-tweedekamer-21.u68	We're just looking at what's possible and desirable. That's the balance we have to make with each other. We will come forward for you, but I really cannot anticipate that at this time.
ParlaMint-NL_2019-05-14-tweedekamer-21.u69	You are talking about 'possible and desirable'; should I imagine that the aviation note will actually become a kind of à la cartemenu with the possibilities that exist, perhaps with a preference, but we can then choose the most beautiful dishes with each other? Or is it just a proposal that says: as a minister, do I see this before 2020-2050? If you say 'possible and desirable', this also suggests a list of options the desirability of which can be further discussed.
ParlaMint-NL_2019-05-14-tweedekamer-21.u70	I say to the other Members that this is a motion from Mr Paternotte. He can ask questions about that. If you have any questions, you should keep them until you decide on your own motions.
ParlaMint-NL_2019-05-14-tweedekamer-21.u71	Mr Paternotte can rest assured. The Aeronautics Note doesn't become a cafeteria model where everyone throws something in and unpacks something that's of their liking. There are real choices in it, but on the other hand I do not want to anticipate them at this stage, because we have not yet finished that aviation note. As soon as that process is complete, you will of course be given the memo as a Chamber, but I simply do not want to anticipate it now, because there are still a number of questions where, like other parties, we have not yet made a choice.
ParlaMint-NL_2019-05-14-tweedekamer-21.u72	The Minister continues her speech.
ParlaMint-NL_2019-05-14-tweedekamer-21.u73	Then I come to the motion on part No. 599 which calls on the government to take the necessary steps in the short term towards the introduction of an ambitious kerosene tax. That motion is by Mr Van Raan's hand. I do not recommend this motion, and here too I can invite you to do so in the case of a number of other motions, because this is a matter of fiscal policy and Mr Snel's portfolio. I refer you to the conference on this subject on 20 and 21 June, but this is really his policy area and he has also sent letters to the Chamber on this. You can discuss that with him.
ParlaMint-NL_2019-05-14-tweedekamer-21.u74	Thanks for the answer. I understand that it is then customary for us to ask the Minister to ask the Secretary of State to give an opinion on this matter. Is the Minister prepared to ask the Secretary of State?
ParlaMint-NL_2019-05-14-tweedekamer-21.u75	It's a little crazy to be a carrier pigeon. You can, of course, submit this yourself to Secretary of State Snel in all kinds of debates. He sent a letter about this, too. Then I think it would be better if you just send those written questions to him.
ParlaMint-NL_2019-05-14-tweedekamer-21.u76	Mr. Van Raan, if I do, you're also a member of the Finance Committee.
ParlaMint-NL_2019-05-14-tweedekamer-21.u77	You have that right, Mr President, but we are talking here in this debate on sustainable aviation and kerosene, which also have an impact on the Aviation Note. I'd be happy to ask the Secretary of State.
ParlaMint-NL_2019-05-14-tweedekamer-21.u78	Yeah, that seems like the best solution.
ParlaMint-NL_2019-05-14-tweedekamer-21.u79	Yeah, but it's not the usual way. I can do that. Fine.
ParlaMint-NL_2019-05-14-tweedekamer-21.u80	Yes. The motion in part No. 600, also from Mr Van Raan, calls on the government to develop aviation limit values in the areas of climate, living environment and safety. It has the same reaction as my response to Mr Paternotte. I would also like to refer to the draft air transport note, which you will receive after the summer.
ParlaMint-NL_2019-05-14-tweedekamer-21.u81	The request is therefore to hold the motion.
ParlaMint-NL_2019-05-14-tweedekamer-21.u82	Yes.
ParlaMint-NL_2019-05-14-tweedekamer-21.u83	Otherwise the judgment will be dissuaded.
