ParlaMint-NL_2019-12-18-tweedekamer-5.u1	As mentioned above, we will continue with the VAO Addiction/Drug Policy. I call Mr Mulder.
ParlaMint-NL_2019-12-18-tweedekamer-5.u12	Like I said, here's the Secretary of State, but he's part of one government that has an assignment. In my opinion, the Secretary of State is very capable of setting up protocols for this with OCW but also with Justice, towards schools, with municipalities and the VNG.
ParlaMint-NL_2019-12-18-tweedekamer-5.u13	I know the CDA as a party that always has faith in civil society and also in professionals. I wonder why a protocol is needed to counter this. This is a very important problem and it is right that attention should be paid to it. I know from my own experience that a lot of people in education know exactly what to do in this situation. What is the added value of a consultation circuit and of all kinds of protocols?
ParlaMint-NL_2019-12-18-tweedekamer-5.u14	But this is a call from the schools themselves. I listen to the schools, too. The MBO Council says that there is a real shortage of a hand-out that states how this should be handled. One school and one municipality have this method, but another there is nothing. There is a need for a hand-out. I think we should just do it with the different partners. I also like to listen to the call from these schools. Maybe Mr Renkema did not see that call, but I think he also wants schools to be helped. And as a government, we also have a role to play in this.
ParlaMint-NL_2019-12-18-tweedekamer-5.u15	Finally, Mr Renkema.
ParlaMint-NL_2019-12-18-tweedekamer-5.u16	Have a little more faith in the professionals, I'd say. I think most schools know very well what to do. I think that in schools protocols are really being developed when they are needed. People sit down together. I think it is a very heavy tool to impose an extra national policy on this.
ParlaMint-NL_2019-12-18-tweedekamer-5.u17	I find this strange, because this is an appeal from the people themselves, from the MBO Council itself. To say that the CDA wouldn't have any confidence in how teachers handle it... That's bullshit, of course. This is something that is now lacking. I think that we should look at this and prevent young people from getting into this situation.
ParlaMint-NL_2019-12-18-tweedekamer-5.u18	Mr Renkema, very, very briefly.
ParlaMint-NL_2019-12-18-tweedekamer-5.u19	Yeah, that was almost a personal fact. I will not be accused of pronouncing bullshit. For the sake of clarity, I really believe that teachers, mentors and deans know what to do. Have a little more faith in the people who work there and a little less in the domes.
ParlaMint-NL_2019-12-18-tweedekamer-5.u20	There. Well, that's a statement, too. In any case, we will probably see them again in debates on education: that as far as GroenLinks is concerned, we should not listen to the domes.
ParlaMint-NL_2019-12-18-tweedekamer-5.u21	I had the same question as GroenLinks about trusting the professional. I also have another question about the protocols. In the coalition agreement, we agreed that interventions should be proven to be effective. Does Mrs Kuik of the CDA agree with me that protocols should be truly proven effective?
ParlaMint-NL_2019-12-18-tweedekamer-5.u22	What is at stake here is how teachers can signal that young people end up in criminal networks, how they can prevent that and how they should act afterwards. Because that's not clear to everyone. Especially when it comes to chemistry students, for example, there is an extra high risk. So, yes, we need to look at how best to prevent young people from getting into it.
ParlaMint-NL_2019-12-18-tweedekamer-5.u23	Finally, Mrs Bergkamp.
ParlaMint-NL_2019-12-18-tweedekamer-5.u24	I translate that in such a way that Mrs Kuik agrees with D66 that it must be proven effective. We are therefore curious to see what the plan would be like if the motion were to be adopted. There is also a recital on standardisation. It is said that drug use is increasing. Experts say there is standardisation. I would like some more information on this for our own consideration. What increase is there? What is Mrs Kuik's definition of "normalisation"? And who are these experts? I read the Secretary of State's letter. He's using a work definition. We are not satisfied with that; we will take a closer look at that. I can't wait to see how the CDA looks at that.
ParlaMint-NL_2019-12-18-tweedekamer-5.u25	This is, of course, following reports in which experts have been consulted, including by RTL. They indicate that, if a younger person thinks it is normal to take a pill at a festival, the threshold to sell that pill and perhaps more pills is lower. This effect is reflected in RTL's studies. We have to do something about that. If that threshold is lower and young people seem to think it's more normal to also distribute drugs, then we do have a very big problem.
ParlaMint-NL_2019-12-18-tweedekamer-5.u26	It's really short.
ParlaMint-NL_2019-12-18-tweedekamer-5.u27	Mr President, thank you for this opportunity. Let us not turn this into an ideological debate. I just want to know what the facts are in the investigation of RTL experts. I ask Mrs Kuik which experts they are and what research they are, because that is what she is basing this whole motion on.
ParlaMint-NL_2019-12-18-tweedekamer-5.u28	Well, this whole motion... We also get signals from students themselves, for example from chemistry students, that they are recruited to work in drug labs. That's what we're trying to prevent, because you can't just get out of there. I will send Mrs Bergkamp a link to the article so that she can also take note of the investigations mentioned in it.
ParlaMint-NL_2019-12-18-tweedekamer-5.u29	Thank you. I shall now give the floor to Mrs Hermans. I note that she does not want to speak. Then I'll look at the Secretary of State.
ParlaMint-NL_2019-12-18-tweedekamer-5.u30	Three minutes, Mr. Chairman.
ParlaMint-NL_2019-12-18-tweedekamer-5.u31	Then I'll suspend for three minutes.
ParlaMint-NL_2019-12-18-tweedekamer-5.u32	I call the Secretary of State.
ParlaMint-NL_2019-12-18-tweedekamer-5.u33	Thank you, Mr. Chairman. Three motions have been tabled. The first is from Mr Edgar Mulder, in item No. 453. He presented this together with Mr Van der Staaij of the SGP. It calls for a very clear statement, namely that, in line with the ban on smoking in schools, specific measures should also be put in place leading to drug-free schools and schoolyards. What we do with smoking is something new. Banning smoking in schoolyards is something many schools are already doing for themselves, there are hundreds of them, but we are going to enforce it by law next year. As of the new school year, that will be enforced. Smoking is banned at all educational institutions, including in schoolyards. So that ban is something new. The ban on drugs has been in place in all schoolyards for years. So in that sense, drugs and smoking are actually comparing apples and pears. The author of the motion is asking for something that we are actually already doing. It's already forbidden. You may, of course, ask us to do everything we can through the judiciary and the police to bring it down, including through the school teachers' alerts, but when it comes to doing something new, there is actually a wrong assumption. In that light, the motion is superfluous, but if it really has to be put to the vote, I say that this motion does not add anything to what we are already doing. An unnecessary motion I can advise against or give judgment to Chamber, but I'm a little more interested in dissuade, because it's suggested that I should do something new. Then the motion to part No. 454 by Mr Van Gerven. It is rare for a motion to be tabled that I could have written myself. This motion is completely out of my heart. Judgement of Chamber or even taking over is, as far as I am concerned, also a serious consideration. If Mr Van Gerven wants the motion to be put to the vote, the Court of Justice has a cordial opinion to vote in favour of it in particular. On the motion in part No. 455 has been discussed by Members of Parliament and I think it is right. I understand the content of this motion very well and I also share the concerns of the applicant, Mrs Kuik. The only question is whether this should be discussed in this debate. I understand that tomorrow there will be a discussion with the Minister for Justice and Security on undermining, as Mrs Hermans rightly pointed out. I actually think that this issue, which is rightly highlighted, should be addressed on that platform. I would therefore very much like to invite the author to set it up on that platform. This would be the opinion and at least involve it in that debate.
ParlaMint-NL_2019-12-18-tweedekamer-5.u34	I would like to say a few words about the motion on part No. 454. If the Secretary of State wanted to take over, it would save votes. That would therefore be my request to the Secretary of State.
ParlaMint-NL_2019-12-18-tweedekamer-5.u35	Yeah, I'm fine.
ParlaMint-NL_2019-12-18-tweedekamer-5.u36	Is there any objection to taking over the motion in part No. Yes, there is an objection to that, so it will not be taken over and will be voted on.
ParlaMint-NL_2019-12-18-tweedekamer-5.u37	Perhaps I can respond very briefly to that conclusion. I am so embracing this motion because I am already doing what is requested in the operative part. In every contact I have with the food industry, with the supermarkets, I make a call to stop selling smoke products. That is why I wholeheartedly support this motion.
ParlaMint-NL_2019-12-18-tweedekamer-5.u38	Yeah, but she can't be taken over...
ParlaMint-NL_2019-12-18-tweedekamer-5.u39	Apparently not.
ParlaMint-NL_2019-12-18-tweedekamer-5.u40	... because a member objects. It will therefore be put to the vote. You've given the motion judgment Chamber.
ParlaMint-NL_2019-12-18-tweedekamer-5.u41	That's obvious. Then we'll vote on it. I have looked at the motion by Mr Kuik and Mr Dik-Faber. This motion goes a little further, because the cabinet, in this case the Secretary of State, is specifically asked to take a stand there. He does: he calls on all the supermarkets to remove those smoke products from the shelves. So it would be worth a sweet thing to me if the House voted in a majority for this.
ParlaMint-NL_2019-12-18-tweedekamer-5.u42	Thank you for this explanation.
ParlaMint-NL_2019-12-18-tweedekamer-5.u43	My motion is really about prevention, so I am sorry that we would not be able to discuss it here. But I'm not the worst, and I'll just serve her again. It's all about me that it's gonna happen. Then you will see me again at the VAO Undermining.
ParlaMint-NL_2019-12-18-tweedekamer-5.u44	Does this mean you're holding your motion at the moment?
ParlaMint-NL_2019-12-18-tweedekamer-5.u45	Yeah, I'm keeping her on right now. You'll see me at the VAO Undermining. I hope I won't be sent away to Education, because we'll have things going on then, of course.
ParlaMint-NL_2019-12-18-tweedekamer-5.u46	At the request of Mrs Kuik, I propose her motion (24077, No. 455). That is what is decided.
ParlaMint-NL_2019-12-18-tweedekamer-5.u47	This will put an end to this VAO.
ParlaMint-NL_2019-12-18-tweedekamer-5.u48	The motions for the last three VOCs will be put to the vote tomorrow at the beginning of the afternoon meeting.
