ParlaMint-NL_2019-06-19-tweedekamer-8.u1	The Minister has the floor.
ParlaMint-NL_2019-06-19-tweedekamer-8.u12	Those are all questions that I agree with you on, that they need to be answered before the recess. So I am really going to work with the colleagues from JenV, the Public Prosecutor and the CBR to get that clarity in the next two weeks so that I can inform you about it before the summer recess and so that you can do something with it.
ParlaMint-NL_2019-06-19-tweedekamer-8.u13	Thank you to the Minister for that reply and for the commitment that we will then get those answers before 1 July. Two things to that. You mention the coulance scheme and you mention the administrative extension. In my view, the administrative extension is simply 'allowed to drive a year longer' and, at least as I have intended and read it, the coulance regime is a tolerated situation. And that will be the situation from 1 July until the entry into force of the new regulation. Isn't that right?
ParlaMint-NL_2019-06-19-tweedekamer-8.u14	Well, we're gonna have to keep this apart for a while. Your proposal for the coulance scheme went wider. If you take that into account, we agree.
ParlaMint-NL_2019-06-19-tweedekamer-8.u15	Thank you. Then I have one more question. You say that I want to keep the duration of that provision as limited as possible. With this provision you are referring, I think, to extending that year, to that administrative extension. So I read out here that you say that we are going to extend the driving licences for a year and then that will be done, because then the problems at the CBR will be solved. Is that right?
ParlaMint-NL_2019-06-19-tweedekamer-8.u16	That is indeed the aim. Look, it should not be that this situation is permanently necessary, because you rightly ask the CBR to put their affairs in order and that they simply deliver on time. So it does not need to be discussed at all whether there could be a year's extension. I also really hope that the CBR can improve it in such a way that only in an exceptional case a full year will be needed. It is of course important that the CBR simply tries to deliver the driving licences within the prescribed time limit.
ParlaMint-NL_2019-06-19-tweedekamer-8.u17	But then I have a final question. Let's say we can't do that at the CBR. The problems are, after all, considerable, as this report shows. Is it then conceivable that within a year and a half, because that is what we are talking about specifically, we are discussing this change of system here in the Chamber and perhaps even putting it into effect, so that we do not have problems again soon or after that year and a half? Because a year is of course only a relatively small period to give peace, especially if you want to think about another system, and that is also in the letter.
ParlaMint-NL_2019-06-19-tweedekamer-8.u18	I very much agree with Mr Schonis that we should look at this broader system change. It is also really my intention to get to work on that. There are a number of questions which I shall come back to. But I share what Mr Schonis says: this is not a separate administrative extension. You really have to see it, and so we have explicitly discussed it with SWOV, for example, in the run-up to that system review.
ParlaMint-NL_2019-06-19-tweedekamer-8.u19	Mr Van Aalst, again.
ParlaMint-NL_2019-06-19-tweedekamer-8.u20	Yes, very briefly, let me see if I have the Minister's commitment. The Minister states that before the recess she will come back to whether all this is feasible, I understand. But when we talk about entering into the administrative rule, what time limit are we talking about? Because if we don't do that until the end of the year... I understand that the CBR will not be ready before the end of the year, but I really hope that we do not need the scheme at all and that the CBR will have the mess in order before then.
ParlaMint-NL_2019-06-19-tweedekamer-8.u21	I very much agree with Mr Van Aalst that the latter would be the most desirable. But the indications for that are not good. I say that quite honestly, and I wrote it in the letter. I am therefore afraid that the regulation will be necessary. And when it enters exactly, of course also depends on your room. I don't know which of the Members it was who said: we sometimes experience a law going through the Chamber very quickly here. Fortunately, that's what you're talking about. In an AMvB, a general measure of governance, it is necessary that we refer it to the Chamber. So I hope your room will just handle it very quickly. The same applies to the Council of State, which must also look at it. I will also urge the Council of State to do so as quickly as possible, particularly in view of the broad wish expressed in your Chamber. In theory this can also be done within a few days, but I don't have it in my head either. That's up to the Council of State itself. So I'm limited in my possibilities and I can't exactly estimate it. How fast it can go is in the Chamber and in the Council of State.
ParlaMint-NL_2019-06-19-tweedekamer-8.u22	Is the Minister expecting it by the end of the year? Or is that going to take another year at least?
ParlaMint-NL_2019-06-19-tweedekamer-8.u23	Given the great support in your Chamber, I'm counting on your room for a quick treatment here. If the Chamber and the Ministry together point out to the Council of State that they attach great importance to this, I think this could be a matter of urgency. I hope that they will be able to deal with it quickly. Of course, the Chamber still has recesses. I understand. I will at least have everything ready for us right after the recess. Then you can go straight to the front.
ParlaMint-NL_2019-06-19-tweedekamer-8.u24	I am extremely pleased that this coulance regulation, in whatever form, will be put in place. Previously, the minister didn't see any bread in it to rig up a coulance scheme, but he did now. I wonder at what point in time has the Minister decided that the regulation proposed by the Chamber is not so bad at all? When was that clear to her? We've seen all kinds of reports come through over the past few weeks. My question is clear: when did that become clear to the Minister?
ParlaMint-NL_2019-06-19-tweedekamer-8.u25	I can't get one specific moment back where I thought, "I have to do something with this." What has, of course, played a very important role is enhanced supervision. You're gonna be on top of it. Then we took measures with your room. We have said that we are going to prioritize the groups whose driving licences are likely to expire and which are affected by the expiry date of the driving licence, including the professional drivers. I then had to conclude from the latest progress report that this prioritisation is not helping enough. I do not yet see, and still do not have the firm confidence, that it will be resolved by the end of the year. In addition, I am thinking of the previous discussion we had on the coulance regulation. I also fully understand the point made by Mrs Van Brenk that she included in her term. Then, of course, we were just looking at coulance for sec. It is always stated: it is not enforceable; we cannot do that. The difference is, we're going to do it with a law change now. Then it's not a coulance, but it's the law you change. It then provides a legal basis for doing so. What I'm still struggling with and what I'm still looking at is how we'll settle that in the meantime, until the AMvB comes into force. I think everyone wants to cooperate in getting that done as soon as possible. We will, of course, keep the point of the transitional period, which your Chamber has rightly asked questions about. I still have to conclave that with JenV's colleague and the D.A.'s office. So I can't promise you that. It's really my endeavor to get it done.
ParlaMint-NL_2019-06-19-tweedekamer-8.u26	I can still see Mr von Martels standing by the interrupting microphone. I thought you'd been a second time, Mr. Von Martels? Go ahead. Excuse me.
ParlaMint-NL_2019-06-19-tweedekamer-8.u27	With the coulance control you are of course sticking patches. A structural solution must then be considered. Does the Minister agree with me?
ParlaMint-NL_2019-06-19-tweedekamer-8.u28	Sure. Perhaps, in anticipation of that, I can answer the question "for this, you and Mrs Van Brenk have already drawn together a little bit on what we are doing with the inspection that is linked to the mandatory age limit and the report of the SWOV from 2011. I would like to say to the House that this aspect, of which SWOV states that it is good to do it risk-driven, should be examined in more detail in the broad system review. I would like to take stock of this information and will also like to share it with the Chamber. What about the current figures: which countries have such an age assessment and what about it? 2011 was a long time ago, so let's take a good look at the current situation, because I understand your wish very well. Maybe it doesn't make a difference, you better work at risk and you can let people report themselves; but again, the necessary blows apply to the arm. I understand that the Chamber would like to be informed whether this could be an alternative. It would, of course, also give the CBR a lot of air if it did not have to process all those tests that might not be necessary. But I think it's too early to... I'm willing to take a closer look at it and look into it.
ParlaMint-NL_2019-06-19-tweedekamer-8.u29	Last Tuesday we had an additional meeting of the Permanent Committee on Social Affairs. There's a bill ahead of us tonight. It will be decided on Thursday. It can happen as soon as a ruler wants it to, and if the Chamber wants it to. That's about the AOW improvements. I can imagine that colleagues would be happy to be willing to do so on this point. The question is: what more does the Minister need than the good will of the Chamber?
ParlaMint-NL_2019-06-19-tweedekamer-8.u30	I will make sure that we have our pieces ready in time. If your Chamber wants to deal with it so quickly, that is a very important step. The other point, as I just mentioned, is the Council of State. Of course, it helps me greatly if I can convey this wish not only from me, but also from the Chamber, Chamberwide, to the Council of State, but ultimately, of course, it is about his own work stock. As far as pensions are concerned, the Council of State has considered the subject raised by Mrs Van Brenk to be so important that it wanted to deal with it as a matter of urgency. I cannot decide this for the Council of State, but I will strongly recommend to them that they respond to this very quickly.
ParlaMint-NL_2019-06-19-tweedekamer-8.u31	Do I understand that, if the Minister could manage things before the summer holidays, we could even deal with them in the last week? Or is that a very difficult matter, so that the Council of State can spend the whole summer vacation on it?
ParlaMint-NL_2019-06-19-tweedekamer-8.u32	No, I think we're really gonna need a few more weeks for that alignment. What exactly comes out, then you have to incorporate into that arrangement. What I can promise you is that during your summer recess this will be continued at the Ministry so that you will be able to deal with this immediately when you return.
ParlaMint-NL_2019-06-19-tweedekamer-8.u33	The VVD wants to do everything possible, given the urgency and because it affects so many people, to get those improvements done quickly, so we're going to get to work on it. My question relates to the previous point, which Mr von Martels has just made, about abroad. I understand there's no age limit in Germany, so you get your driver's license there, and that's what you keep until you die. Is such a thing also conceivable, of course, you have to investigate that, and you are going to look at the system change in that direction, and you are going to look at it risk-driven? Maybe you're 50 and you should do something, but maybe you can just keep driving around until you're 95. After all, it's what a person is about. Is that a thought that can achieve something, or is that out of the question?
ParlaMint-NL_2019-06-19-tweedekamer-8.u34	I was just trying to point that out in the direction of Mr von Martels. I cannot, of course, give a final ruling on this now, but I fully understand the thinking. 'Cause of course you can see that one 51-year-old isn't the other. There are people who remain supervital until they are old age, for which it is in fact totally unnecessary that they should be given that test every five years. And on the other hand, of course, there are people who have all kinds of physical or sometimes mental problems at a much younger age that affect driving skills. So in order to take that risk-driven approach, I think it's definitely worth investigating. But, of course, I can't anticipate it.
ParlaMint-NL_2019-06-19-tweedekamer-8.u35	Okay, then we'll get back to that later, but it's an interesting thought, because with that you cut away a lot and look at the risks. So thank you.
ParlaMint-NL_2019-06-19-tweedekamer-8.u36	I come across people on the road every day who I think should look at their driving skills. But that aside.
ParlaMint-NL_2019-06-19-tweedekamer-8.u37	No matter the age!
ParlaMint-NL_2019-06-19-tweedekamer-8.u38	Exactly. That doesn't necessarily have to be age-related. I actually hear the Minister propose solutions in three companies. I hear her say: we should actually look at a very short-term coulance scheme, from today, so to speak, until that AMvB has been introduced for a year with that administrative extension. That's when you have that AMvB that's gonna get you on the road for a year, and then comes the system review. We can then, of course, start this reform after the summer. Because after that year of the AMvB we want to go right on. Is that possible? Could we discuss the documents for this system review here as soon as possible?
ParlaMint-NL_2019-06-19-tweedekamer-8.u39	I have promised you that before the summer recess I will tell you how we will proceed with this. So let me assure you that in that same letter/communication to your Chamber I will also indicate what kind of process I intend to have in mind during that system review. I'll go over the questions. It's going fast, because you've already mentioned a lot of questions at the interrupting microphone. In fact, we are already in the process of adapting the rules and working hard on the preparations. One more question was: what are you going to do for the other groups? I have just indicated that this, precisely because there is some pressure going on with this group, gives extra space, just for those self-detectors. But, of course, I would also like to give you the commitment, which I have already made to you in the past, to the specific procedures, for example for professional drivers. It all remains in full force what we agreed with your Chamber earlier, so you don't have to worry about that. Mr Dijkstra raised the question of how many of the victims were left. That number is constantly on the move. Things are getting done and new cases are coming up. So it's a little daily rates; snapshots. It's about 13,000 people right now, so we're not doing it for nothing, I'm just saying. That is the real reason for these further steps.
ParlaMint-NL_2019-06-19-tweedekamer-8.u40	I'll take a look around at the number of MPs sitting here on this committee. We have all put forward people who had problems getting through this route. Those problems were solved within 24 hours. In that case, a number of 13 000 people do not seem insurmountable to me. Why can't these cases be dealt with in 24 hours?
ParlaMint-NL_2019-06-19-tweedekamer-8.u41	I've heard the example from you. I don't think it's the way it's supposed to be. I think there should be no distinction. I myself indicated to the CBR that I absolutely do not want the people I send to be given a lot of priority in one way or another. That's really not the way it's supposed to be. That's the instruction I gave them. Perhaps you can give them as MPs too, because it just doesn't belong.
ParlaMint-NL_2019-06-19-tweedekamer-8.u42	Priority or no priority, apparently in the 24 it can be solved for people. I'm assuming it doesn't matter if I send someone in, whether or not they approve or not? It's about whether someone's fit. If it is possible within 24 hours, it is possible and it is purely a capacity problem. I think you'll be able to solve that very quickly.
ParlaMint-NL_2019-06-19-tweedekamer-8.u43	If there was a capacity problem to solve, we would have done it by now. Unfortunately, it has been found that this is not the case. I don't know these cases either. Maybe they were almost through. Of course, they are often people who are really desperate and waiting terribly long. People don't send letters to you or me at a week's delay. Well, it's not so crazy, then, that hopefully these cases will be taken off soon. When will the driver's license register be ready? That is what Mr Dijkstra asked. That is also part of the research I would like to conclude before the summer recess. Of course, we also need the RDW for that. Consultation with them has begun. Then a little broader about the structural solution, because that is what it is all about in the end, you all rightly say. I have just said something about the abolition of compulsory age-related testing, in order to seriously examine its advantages and disadvantages. I would like to point out that, of course, if such a system changes are to be made, road safety will continue to be paramount, but that is what I really feel about your Chamber. So it has to be a good and safe alternative. I say to Mr Schonis: we cannot simply abolish it. If we have not yet had this system change, there is not yet a good alternative, so we cannot suddenly say: we are now stopping that age-related inspection. Then we must first know with each other: how then? But I have also tasted in your Chamber that you say: get to work on this system change as quickly as possible, so that it can be assessed what could be the best way forward. Mr Schonis also asked if the Minister could look at the list of diseases. That's what the Health Council is about. They give us regular advice. You know, sometimes there's sickness, and then there's disease, and then there's things that go away. As an example, I mention ADHD. You also mentioned that example. At the end of 2018 there was a change, in the sense that people who have been diagnosed with ADHD as a child, but who have stopped treatment for their 16th birthday, can now indicate it on the form. Then an additional inspection is no longer necessary. That is one example of such a change that took place at the end of 2018. But then again, new things are being discovered and new medicines are being discovered. I think we should stay out of that, too. It's really up to the medics to judge that. We constantly follow the advice of the Health Council and the CBR takes it over.
ParlaMint-NL_2019-06-19-tweedekamer-8.u44	When we spoke today about the CBR, I received a response from the Minister, saying that my husband has beginning Alzheimer's and that he should not be behind the wheel anymore; while continuing to use those skills would help enormously. Do you know whether the question whether you should stop driving immediately, because otherwise it might become a danger in the long term, is also one of the things being investigated by that Health Council?
ParlaMint-NL_2019-06-19-tweedekamer-8.u45	I don't know exactly what research the Health Council is doing on this, but I haven't been to SWOV very long ago, and one of the projects I've seen there is that they're doing online tests with people who are developing the disease to see to what extent that actually affects the ability to drive. Research is therefore carried out in all possible ways, not only by the Health Council, but also by our own scientific institute. That's precisely what's going on with the ability to drive, in combination with such a condition. This is done in order not to unnecessarily deprive people of driving, while on the other hand also road safety should not be unnecessarily endangered. That is what is being investigated.
ParlaMint-NL_2019-06-19-tweedekamer-8.u46	Could I then ask the Minister that, as soon as there is more clarity about this, she actively shares this with the Chamber?
ParlaMint-NL_2019-06-19-tweedekamer-8.u47	Then I suggest to Mrs Van Brenn that I ask both the Health Council and SWOV about the latest state of affairs regarding this investigation, and that I tell you that in the same letter before the summer recess. Self-reporting might help. We've already talked about that. Then there are Mr Dijkstra and some other subjects. Is it true that the driving school holders can't go to the CBR on weekends and evenings? The CBR has indicated that the customer portal of the CBR, called My CBR, is not accessible from Monday to Saturday between 00.00 in the morning and 06.00 in the morning, and on Sunday between 00.00 in the night and 13.00 in the afternoon. This has to do with the way in which the core ICT systems of the CBR are connected and with the relationship with management and maintenance on these systems. The CBR has announced that it is currently preparing to redesign it, so that the opening hours of My CBR can be extended. When that can be introduced, it is not yet known, but as soon as that is clear, I will let you know. The CBR website is available 24 hours a day, but of course you are interested in that part My CBR.
ParlaMint-NL_2019-06-19-tweedekamer-8.u48	It's just a little thing, but it's illustrative of how not to do it. At this time you should be able to log in, even if it is in the middle of the night, if you want to order something. You can do that anywhere, except at the CBR. Then you can't do your paperwork. I find that strange, because also these driving school holders work during the day and they want to do their administration once when it suits them. Of course, that has to be different. I hope the Minister agrees with me.
ParlaMint-NL_2019-06-19-tweedekamer-8.u49	Yeah, and I think the CBR, too, since they're working on it to make that possible. But I'm underlining what you're saying. Are there any other solutions in the process conceivable? I should like to come back to the question of the availability of medical examiners. You have also read in the letter that I have not yet been reassured by what has happened so far. I have therefore said that I want to see a plan of action on how to solve the problem of the structural shortage of doctors and how to ensure that there are enough doctors. The same is true, in fact, for procedural safeguards. Let's see. Mrs. Van Brenk asked if we'd be ready in a year and if there'd be an oiled machine. The CBR has been struggling with this for a long time. You're aware of that, too. In recent years, I have seen this in retrospect, especially in the debate on rising waiting times for people who wanted to take a driving test. That problem is at last reasonably contained. I dare not guarantee that the end of this year is an oiled machine. That's why I sent this letter on purpose last night. That's what I'm really worried about. I think that's gonna take a lot of work. That is why I want to see this plan of action to solve, in particular, the problem of these doctors. Otherwise, we will continue to deal with these emergency connections. So I really want to see that plan of action. We'll do anything about it, but you can have different definitions of an oiled machine. So I'm afraid to say we'll have that by the end of the year.
ParlaMint-NL_2019-06-19-tweedekamer-8.u50	A few weeks ago, the Minister indicated in a letter that she assumed that we had solved the problems by the end of the year. Now she doesn't know if we'll have an oiled machine in a year. What happened in the last few weeks? Has it turned out there's a bigger mess behind the scenes? Can the Minister take us with him? Apparently, something has happened in the last few weeks or the Minister has received information which has delayed everything by one year.
ParlaMint-NL_2019-06-19-tweedekamer-8.u51	First of all, I did not mention earlier that the problems would have been solved by the end of the year. I have indicated that the CBR has indicated that it expects to have solved the biggest problems by the end of the year. I didn't want to replace the CBR at the time either. It's their expectations. I would like to say something more about what has been added in the meantime. In any case, we have seen that the influx of new cases in May has been greater than what has been eliminated. That is one of the alarm bells that went off on me, in the sense that apparently it is not yet sufficiently in order. There is progress to be made. I'll say a little more about that in a moment, but you can see the trend. Everyone knows someone who has to deal with these problems. That's the side effect that people are going to report more and more. That's fine in itself, because then you'll have more time to deal with it. On the other hand, it also makes the working stock much larger again. So it has two sides.
ParlaMint-NL_2019-06-19-tweedekamer-8.u52	Maybe that "oiled machine" was a little cynical, because we just want them to do their job well. But what if that prospect isn't there yet? You are now coming up with a suggestion that makes us all think: hey, there is hope; we are going to drive for another year. But after that, the problem may not be solved. So what do we do? Have we changed that law so that anyone can drive through it permanently, unless there's a beep? How are we gonna fix it permanently?
ParlaMint-NL_2019-06-19-tweedekamer-8.u53	I just indicated that the CBR cannot guarantee with the current approach that it has mastered the problem at the end of the year. That is why we are taking an extra step now. I just have to make a few reservations about exactly how we can fill this out. I also want to see the plan of action on the shortage of doctors. We really need to have that overall picture before we can judge whether this will be enough or whether there are other things to think about.
ParlaMint-NL_2019-06-19-tweedekamer-8.u54	We've been working a year longer, if... Or drive longer. I hate working longer.
ParlaMint-NL_2019-06-19-tweedekamer-8.u55	Could be a lot of fun!
ParlaMint-NL_2019-06-19-tweedekamer-8.u56	Some people can love that. We have been driving longer for a year now, at least that is the suggestion. But if the CBR isn't there by then, will we do it again for another year? So what's the solution?
ParlaMint-NL_2019-06-19-tweedekamer-8.u57	I can't anticipate that now. We must first look at what effects these measures, which we want to take now, will have. I also hope that at some point the power will be reduced, because people are going to sign up so early in advance that the normal current will be generated there at some point. But you can't anticipate that. If it's not enough then, I'm the first person who'd like to talk to your room and see what else we can get out of the closet.
ParlaMint-NL_2019-06-19-tweedekamer-8.u58	We had a change of guard at the CBR. A new director has taken office, who has taken responsibility here in the Chamber. It has clearly stated and literally said: we have all seen this coming. What I do not understand then is how it is that the Minister still comes up with new surprises. If the CBR saw all this coming, why don't we have a time frame now? I don't understand any of that. If we don't know that, something's gonna go terribly wrong, right? We've seen it all coming, but we've made an incredible mess of it. Does the Minister have an explanation for that?
ParlaMint-NL_2019-06-19-tweedekamer-8.u59	See everything coming? They have, of course, seen a number of things coming, such as the ageing of the population and so on. You can also see that, let me put it carefully, it is quite a challenge to shape both a reorganisation and an ICT system change at the same time. I can only conclude that there has been too much optimism about this. 'Cause if you hadn't, you'd have flown it in advance, but, yeah, it's different.
ParlaMint-NL_2019-06-19-tweedekamer-8.u60	Rounding up.
ParlaMint-NL_2019-06-19-tweedekamer-8.u61	Yeah, rounding it up. I understand you didn't see some things coming. But I hear from the Minister that the picture was first that we would be in order by the end of the year, when we now have to add a year, and we have seen it coming. Yeah, so where did it go wrong in the expectation management? Because the Minister notes that a number of things have come to her, which lead her to think that it is not going to be okay for the time being. Then where's that horrible mistake of a year?
ParlaMint-NL_2019-06-19-tweedekamer-8.u62	You're talking about a year's error of assessment. I can't place it like that. The fact is that the developments at the CBR did not go as they had estimated, apart from the fact that they really saw that an ageing population would have to be judged and so on. I can only conclude that there has been too much optimism about the ICT system, which I have yet to discuss, and b also about their own capacity to deal with matters.
ParlaMint-NL_2019-06-19-tweedekamer-8.u63	On this point, we had a round table less than three months ago, in which the chairman of the Supervisory Board had a conversation with a number of MPs. Then they said that the problems were solved by the end of the year. The Minister also spoke to us during the debate on the CBR. Now we are three months away, and now the Minister's letter states something quite different, namely that the problems have not been resolved by the end of the year. That's what a big part of us predicted three months ago. Does the CBR agree with the conclusion that the problems were not resolved by the end of the year?
ParlaMint-NL_2019-06-19-tweedekamer-8.u64	The CBR reports figures they expect to get at the end of the year, from which I conclude that the problem is not yet over.
ParlaMint-NL_2019-06-19-tweedekamer-8.u65	The question is whether the CBR also draws that conclusion.
ParlaMint-NL_2019-06-19-tweedekamer-8.u66	Yes, they also indicate that it is very vulnerable and that it is very much the question of whether they can do it all. That has been the reason for me to take a step further.
ParlaMint-NL_2019-06-19-tweedekamer-8.u67	Can we get to the ICT block?
ParlaMint-NL_2019-06-19-tweedekamer-8.u68	As far as I'm concerned, yes. But that's what the Chamber is about.
ParlaMint-NL_2019-06-19-tweedekamer-8.u69	Mr Laçin would like to make his third interruption.
ParlaMint-NL_2019-06-19-tweedekamer-8.u70	The second interruption was a half. What insights has the CBR had in the last three months that it has changed? Because the expectations were already known. What has changed in the last three months that this conclusion can now be drawn and not three months ago?
ParlaMint-NL_2019-06-19-tweedekamer-8.u71	There have been effects of people who, because of the massive awareness of these problems, have all come forward at an extra early stage, which has made the supply even greater. That is one important factor in this.
ParlaMint-NL_2019-06-19-tweedekamer-8.u72	The Minister is continuing.
ParlaMint-NL_2019-06-19-tweedekamer-8.u73	There are always unexpected things. It's no different. Mr Van Dijk rightly said that implementation organisations have been failing more often lately. He mentioned the example of the Tax Administration and the UWV, where there are also problems. He asked if we could look at that more structuralally. In the Spring Paper 2019 you have been informed that there is broader attention for this in the cabinet. The ministries of SZW, Finance and BZK are in the process of taking up this government wide. The Chamber will be further informed about this before Princess Day. The aim is to provide a problem analysis with possible solutions at the beginning of 2020. In the run-up to the budget, you will be told more about this. Mr Van Dijk also asked about culture at the CBR. The problems are so far, but when you're in trouble and you call the CBR, you want at least to be treated nicely, where people have time and attention for you. I very much agree with Mr Van Dijk, of course. Within the CBR, attention is paid to this, but we continue to steer on this, because I have also been approached quite frankly by someone who did not feel that well treated. We have agreed with the CBR that it will offer additional customer service trainings to the employees. Then I'll get to ICT. The chairman already asked me if I could start with that. It is true that there are more and more files in the OPUS system. This is also due to the increasing use of the new system. There was just a question about the work stock. On June 3, 2019 it's just a snapshot of the total working stock around 132,000 files. Of that work stock, there were just over 90,000 in the new OPUS system and around 40,000 in the old SCOOP system. For some of these files, the action lies with the CBR and for some of the files another action has been requested from the customer or the doctor. The active working stock, which was really being worked on, was at that time around 88,000 files. I would like to stress once again that the reason for this high level of work is not so much in the new system as in the lack of medical decision-making capacity at the CBR. We'll get to that later. How come the cost of ICT has become so much higher? The increase in costs was mainly due to the fact that the scope of the programme was only fully understood and that the assessment of the time needed to deliver that system was too low. People have simply been too optimistic. The conclusion was that in advance it was unclear what exactly was needed and what approach would lead to the best result. If you don't know that yet, you don't know exactly how much it'll cost. I asked the CBR to have an independent evaluation of the programme by the end of 2019, after the system has been completed, so that we can learn lessons from it for other ICT projects. I'd like to wait until it's all done and done, because it's important that we don't increase the problems. As soon as it's finished, I want to have an independent evaluation of how it all went with this program.
