ParlaMint-NL_2019-12-19-tweedekamer-44.u1	The next item is the VAO Police. I should like to give the floor to Mr Van Raak of the SP.
ParlaMint-NL_2019-12-19-tweedekamer-44.u12	Thank you. I call Mr Kuzu van Denk.
ParlaMint-NL_2019-12-19-tweedekamer-44.u13	Thank you, Mr. Chairman. That is what Mr Kuzu is doing on behalf of Mr Azarkan. Four motions, that's why I'm starting fast. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Finding that research carried out by the Advisory Committee on Ethnic Profiling Amsterdam shows, among other things, that:]] [[only 28% of police officers are aware of the operational framework proactively controlled;]] [[35% of police officers have no knowledge of any existing measures to combat ethnic profiling;]] [[32% of police officers indicate a need for more/better training to counter ethnic profiling;]] [[Calls on the Government to consider how to improve the provision of training, workshops and culture-specific courses to meet the knowledge demand of police officers;]] [[Calls on the Government also to consider whether the inclusion of professional control and ethnic profiling in basic and Integral Professional Skills Training (IBT) can contribute to increasing knowledge of the measures taken to monitor professionally,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Kuzu and Mr Azarkan. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29628-925]]
ParlaMint-NL_2019-12-19-tweedekamer-44.u14	This motion, like my next motions, has been co-signed by my colleague Azarkan. Mr. Chairman. My second motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that the Minister of Justice and Security stated on 11 December 2018 in the plenary room: "The police monitor ethnic profiling to see if they are doing the good things to get ethnic profiling towards zero";]] [[noting, however, that there is no evidence of objective measurement of the frequency of ethnic profiling;]] [[calls on the Government to consider how to monitor ethnic profiling, for example through the MEOS application, in order to get ethnic profiling towards zero,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the police are experimenting with the application of artificial intelligence;]] [[believes that prior to the deployment of any technology by the police, the impact on human rights should be weighed;]] [[calls on the Government to suspend the use of artificial intelligence by the police until there is a specific legal framework to ensure the application of artificial intelligence,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Kuzu and Mr Azarkan. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29628-926]] [[This motion was tabled by Mr Kuzu and Mr Azarkan. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29628-927]]
ParlaMint-NL_2019-12-19-tweedekamer-44.u15	And then the last one. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Minister indicated that he had carried out 80 work visits to the police and that this led to better insights and more knowledge in the Minister;]] [[whereas the Minister during the AO Police earlier today indicated that much still needs to be done to resolve the abuses in the police and to change the internal culture;]] [[Whereas whistleblowers feel unprotected, unheard of and denied;]] [[invites the Minister to enter into talks with a group of whistleblowers and to inform the Chamber within three months of the outcome/results of the conversation,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Kuzu and Mr Azarkan. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29628-928]]
ParlaMint-NL_2019-12-19-tweedekamer-44.u16	Thank you.
ParlaMint-NL_2019-12-19-tweedekamer-44.u17	Thank you. Then Mrs Den Boer of D66.
ParlaMint-NL_2019-12-19-tweedekamer-44.u18	Mr. Chairman. I have two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas there may be health risks for vulnerable groups in the deployment of the power surge weapon;]] [[Whereas it is not known what the long-term effects of power surge weapons are and that this certainly entails an additional risk when used in the ggz;]] [[calls on the Government to have the promised monitoring of the health effects of the surge weapon carried out independently by 2026 at least until the evaluation of the deployment of the surge weapon, with explicit attention to its use in the ggz, and to periodically inform the Chamber thereof,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the urgency of diversity and inclusion in national police is high;]] [[Whereas, in view of this urgency, knowledge is needed within national police in terms of diversity and inclusion;]] [[Considers that this knowledge can build a bridge between science and police practice through sound cooperation with the Police College and becomes visible in current police education;]] [[calls on the Government to examine how, for example, this knowledge can be secured in the form of a special chair, and to inform the Court of Justice of this in spring 2020,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Den Boer and Mr Diertens. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29628-929]] [[This motion was tabled by Mr Den Boer and Mr Van den Berge. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29628-930]]
ParlaMint-NL_2019-12-19-tweedekamer-44.u19	The Minister has the floor.
ParlaMint-NL_2019-12-19-tweedekamer-44.u20	Mr. Chairman. I'll get on the motions. The first motion, in part No. 922, is Mr Van Raak's. I'm gonna have to dissuade him. I indicated this afternoon in the Chamber that I am going to say it out of my mind in February or March with a detailed piece in which I will indicate, together with the trade unions and the corps leadership, what I intend to do about PTSS policy. We want it clearer, we want to speed it up. There must be less pressure for the people involved. And finally, the starting point must be that we keep the people in the police. I also said in that context that we will take all the options, including the option mentioned by Mr Van Raak. I therefore advise against making a pre-selection.
ParlaMint-NL_2019-12-19-tweedekamer-44.u21	The motion in section 922 is not recommended. Mr Van Raak has a brief response.
ParlaMint-NL_2019-12-19-tweedekamer-44.u22	The Minister is dissuading the motion because he may be taking over her. I don't quite understand. He can take the coulance scheme with him in March, can't he? I can assure the Minister that unions will have little objection to this.
ParlaMint-NL_2019-12-19-tweedekamer-44.u23	Yes. I'm gonna stand by and dissuade the motion. I explained that today.
ParlaMint-NL_2019-12-19-tweedekamer-44.u24	The motion in part No. 922 is not recommended.
ParlaMint-NL_2019-12-19-tweedekamer-44.u25	The judgment on the motion in part No. 923 I leave to the Chamber. I would like to make it quite clear that we are going to examine whether this is indeed a viable option. Of course, we do so in consultation with other stakeholders. In that context, I'm giving the motion judgment Chamber.
ParlaMint-NL_2019-12-19-tweedekamer-44.u26	The motion in part No. 923 gets judgment Chamber.
ParlaMint-NL_2019-12-19-tweedekamer-44.u27	In response to the motion in part No. 924 I say, that conversation will indeed take place tomorrow. I'll leave the verdict on the motion to the Chamber.
ParlaMint-NL_2019-12-19-tweedekamer-44.u28	The motion in part No. 924 gets judgment, Room.
ParlaMint-NL_2019-12-19-tweedekamer-44.u29	The motion in part No. 925 members Kuzu and Azarkan. I'd advise against it. The motion in part No. 926 is the motion on that monitor. I also advise against that motion. As an explanation, I would just like to say that this morning I...
ParlaMint-NL_2019-12-19-tweedekamer-44.u30	Perhaps you do not even have to do so, because Mr Kuzu has tabled the motions, but is not in the Chamber now to listen to your answers. So you can explain your judgment, but you don't have to.
ParlaMint-NL_2019-12-19-tweedekamer-44.u31	I announced this morning that I will also send a letter on this in spring.
ParlaMint-NL_2019-12-19-tweedekamer-44.u32	I'd like to hear the verdict, Mr. Chairman.
ParlaMint-NL_2019-12-19-tweedekamer-44.u33	The Minister has given the verdict.
ParlaMint-NL_2019-12-19-tweedekamer-44.u34	I'm dissuading the motion.
ParlaMint-NL_2019-12-19-tweedekamer-44.u35	The motion in part No. 926 is not recommended. But you are absolutely entitled to an explanation of that judgment.
ParlaMint-NL_2019-12-19-tweedekamer-44.u36	Mr Kuzu is not in the Chamber right now, but I do need to hear an explanation myself.
ParlaMint-NL_2019-12-19-tweedekamer-44.u37	Oh, look, there's Mr. Kuzu.
ParlaMint-NL_2019-12-19-tweedekamer-44.u38	Now he's in the room. Sometimes it happens that there's something else. But I'd like to hear why the Minister is dissuading the motion.
ParlaMint-NL_2019-12-19-tweedekamer-44.u39	Yes.
ParlaMint-NL_2019-12-19-tweedekamer-44.u40	I announced this morning in the AO Police Department that I will come in early spring with a comprehensive piece on how to deal with everything related to diversity. This also includes this subject.
ParlaMint-NL_2019-12-19-tweedekamer-44.u41	Mr Kuzu wishes to ask a question. What motion is your question about?
ParlaMint-NL_2019-12-19-tweedekamer-44.u42	About the motions on diversity. I'm gonna put them to the vote anyway, because I don't know if the minister asked them to arrest them, or if they didn't advise them.
ParlaMint-NL_2019-12-19-tweedekamer-44.u43	I didn't ask to arrest them.
ParlaMint-NL_2019-12-19-tweedekamer-44.u44	The motions in part No. 925 and 926 have been dissuaded.
ParlaMint-NL_2019-12-19-tweedekamer-44.u45	Clear. But we hear very often from this minister that he will return to it in the future, in the spring, in the autumn, in the summer, in the winter. But it's just taking way too long. It's just taking way too long. Why does this have to take so long? How does the Minister explain that? Why can't he get some things going right now? Why do we have to wait until spring?
ParlaMint-NL_2019-12-19-tweedekamer-44.u46	I dispute that it will take far too long. I'll make sure I stick to the deadlines. And if that doesn't happen for once, I'll write to your room about that, too. I have already said that, in the early spring, I come in a broad context with a comprehensive piece in which all these aspects of diversity are considered in conjunction and addressed. The motion in part No. 927 on artificial intelligence, I advise. This morning I explained this in more detail. There are just a few applications of artificial intelligence at the moment that help both the citizen and the police greatly. In addition, privacy and other aspects are also very well taken into account. I don't think we should shut all that down right now. The motion in part No. 928, about a bunch of whistleblowers, I don't know. It cannot be that I am going to talk to people who should be able to remain anonymous and trust them in the context of their complaints.
ParlaMint-NL_2019-12-19-tweedekamer-44.u47	The motions on the part No. 927 and 928 are not recommended.
ParlaMint-NL_2019-12-19-tweedekamer-44.u48	The motion in part No. 929 is about the power surge weapon. I'll leave it to the Court to decide. The motion in part No. 930 is about how we can better guarantee that knowledge. I would ask the petitioners to hold that motion until we have indeed sent that letter to your Chamber. Then perhaps the motion could even be completed further, or perhaps...
ParlaMint-NL_2019-12-19-tweedekamer-44.u49	I'm looking at the petitioner. Mrs. Den Boer, are you prepared to hold this motion?
ParlaMint-NL_2019-12-19-tweedekamer-44.u50	I still have some doubts, but I would like to ask the Minister whether he would like to include an opinion on this motion, or at least on the intention of this motion, in the letter he has promised on diversity and inclusion.
ParlaMint-NL_2019-12-19-tweedekamer-44.u51	Yeah, absolutely.
ParlaMint-NL_2019-12-19-tweedekamer-44.u52	So you're holding the motion in part no. 930 on?
ParlaMint-NL_2019-12-19-tweedekamer-44.u53	Yeah, I'll keep her on for now.
ParlaMint-NL_2019-12-19-tweedekamer-44.u54	At the request of Mrs Den Boer, I propose her motion (29628, No. 930). That is what is decided.
ParlaMint-NL_2019-12-19-tweedekamer-44.u55	This brings us to the end of this VAO. Oh, no, not yet, because Mrs Helder has another question that has not been answered. The Minister.
ParlaMint-NL_2019-12-19-tweedekamer-44.u56	Mr President, I apologise, through you to Mrs Helder. I would like to stress that, as I said this morning, I want to take all the options into account in the document that comes in the first quarter of 2020, and therefore also the point raised by Mrs Helder this morning and has been said again this evening. I expressly admit that this is discussed in the plan.
ParlaMint-NL_2019-12-19-tweedekamer-44.u57	Thank you. Oh, there's a run for the interrupting microphone. Mr Van Raak.
ParlaMint-NL_2019-12-19-tweedekamer-44.u58	I'm going to take my motion to part no. Maintain 922.
ParlaMint-NL_2019-12-19-tweedekamer-44.u59	At the request of Mr Van Raak, I propose his motion (29628, No. 922). That is what is decided.
ParlaMint-NL_2019-12-19-tweedekamer-44.u60	Thank you.
ParlaMint-NL_2019-12-19-tweedekamer-44.u61	I'm looking at the next VAO. That's organized crime. We need almost the same spokesmen for that. If I see it correctly, those spokesmen are already present, so we can continue in a few moments.
