ParlaMint-NL_2019-12-11-tweedekamer-17.u1	The next item is the VAO Wadden. I should like to give the floor to Mr Gijs van Dijk of the PvdA.
ParlaMint-NL_2019-12-11-tweedekamer-17.u18	Thank you, Mr. Chairman. Seven motions and one more question. Mrs Kröger had another question about the area agenda and the concerns of nature organisations. Last week we also had the first consultation of the Wadden administrative consultation area, as a precursor of the Wadden authority. That is where this has been discussed. We have also agreed that these concerns will be addressed in common. I'll let you know. I can't just sketch this here in a few minutes. But we will certainly come back to you on how we think about this with all the parties in the Wadden meeting.
ParlaMint-NL_2019-12-11-tweedekamer-17.u19	And when will we hear more about that? When the parties are out? Could the Minister perhaps also address the concerns and the question of how she deals with them?
ParlaMint-NL_2019-12-11-tweedekamer-17.u20	Once again, I do not think I can address the concerns very specifically. I do not think that this is the time, given the time, to think about it for too long. We're gonna talk about it. For example, we discussed how to shape it into an area agenda, a bit like the IJsselmeer agenda. Let me say that I will inform you of this at least as soon as we have had discussions about it. I just can't tell you exactly when that will be.
ParlaMint-NL_2019-12-11-tweedekamer-17.u21	I think you should do it with that right now, Mrs Kröger.
ParlaMint-NL_2019-12-11-tweedekamer-17.u22	Yeah, I'm afraid so, too. Then I come to the motion on part No. 192 by Mr Van Dijk, who requests that everything be done to keep MSC Zoe responsible for the cleaning costs. I'm perfectly motivated to do so, but I'm giving the motion judgment Chamber, because I think it's important that you pronounce this as a Chamber too. I think it is also a sign to the shipowner that you are so behind me, even though that is not necessary.
ParlaMint-NL_2019-12-11-tweedekamer-17.u23	The motion in part No. 192 gets judgment Chamber.
ParlaMint-NL_2019-12-11-tweedekamer-17.u24	Yes. The same applies to the motion in part No. 193 by Mrs Kröger, who asks us to draw lessons from the disaster and to ensure it in the incident response plan. When that is reviewed, we will certainly do so, so this motion will be judged Chamber.
ParlaMint-NL_2019-12-11-tweedekamer-17.u25	The motion in part No. 193 gets judgment Chamber.
ParlaMint-NL_2019-12-11-tweedekamer-17.u26	The motion in part No. 194 also belongs to Mrs Kröger and is also judged Chamber. The motion sees on Fishing for Litter. I have already indicated in the debate that I am also enthusiastic about this. I can still say that I spoke with a Swedish colleague in Madrid this week. She spoke to me about what we're all doing and asked me if we're in on their Plastic Pact. I said that we already have that for a long time and that we even have a project Fishing for Litter. She found that interesting again, so I think that's gonna be okay.
ParlaMint-NL_2019-12-11-tweedekamer-17.u27	The motion in part No. 194 gets judgment, Chamber.
ParlaMint-NL_2019-12-11-tweedekamer-17.u28	Yes.
ParlaMint-NL_2019-12-11-tweedekamer-17.u29	Then the motion to part No. 195.
ParlaMint-NL_2019-12-11-tweedekamer-17.u30	The motion in part No. 195 by Mr Wassenberg and calls on the government to inform the managing authority that activities that damage the wadden ecosystem are now history. I must advise against this motion, because the managing authority is not about the policy, but only about the management of the Wadden Sea. So for that reason, I advise against it. The same applies to the motion in part No. 196 by Mr Wassenberg, who asks us to ensure that the Ministry of Defence is represented in the administrative consultations. If he means that the military aspects must be contained in it, I agree directly with him. As Minister of IenW, I am coordinating and I have to ensure an integrated, good coordination, including with the Defense Department, so I am happy to do the same.
ParlaMint-NL_2019-12-11-tweedekamer-17.u31	The motions on the documents Nos. 195 and 196 are not recommended.
ParlaMint-NL_2019-12-11-tweedekamer-17.u32	How can the Minister guarantee that these aspects will be taken into account if the ministry itself is not at the table?
ParlaMint-NL_2019-12-11-tweedekamer-17.u33	Well, it happens often that as a coordinating minister you also take into account what interests there are from other ministries or what is given to them. Especially in the case of aviation, I have this very regularly, because I am speaking with my colleague Barbara Visser, of course, about the same airspace. Well, then you don't necessarily have to be represented in that board meeting all the time.
ParlaMint-NL_2019-12-11-tweedekamer-17.u34	Then we have two more motions.
ParlaMint-NL_2019-12-11-tweedekamer-17.u35	Yes. The motion in part No. Mrs De Vries' 197 motion is also such a move to keep the pressure on it if there is no view of the full payment. If I may take this as an effort, Mrs De Vries, then I can give this motion judgment Chamber. I am, of course, trying to reach an amicable settlement with MSC, but I understand your intention. You want to keep the pressure on it, so they also feel that it cannot be stretched endlessly and we are going to take legal action at some point. That's why I can give the motion judgment Chamber.
ParlaMint-NL_2019-12-11-tweedekamer-17.u36	The motion in part No. 197 gets judgment Chamber.
ParlaMint-NL_2019-12-11-tweedekamer-17.u37	The same applies to the motion in part No. 1 98 by Mrs De Vries, on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats. It invites the government to identify the accessibility of the Wadden Islands and the Wadden ports in policy documents as of social and economic importance. That's what I'm judging, Room.
ParlaMint-NL_2019-12-11-tweedekamer-17.u38	The motion in part No. 198 also gets judgment Chamber. This brings us to the end of this VAO.
