ParlaMint-NL_2019-04-11-tweedekamer-9.u1	The next item is the Medical Devices Act. I give the floor to the Minister for his first answer.
ParlaMint-NL_2019-04-11-tweedekamer-9.u45	I would like EUDAMED, which will enter into force gradually next year, to be the real data source. In any case, all documents of notified bodies, healthcare professionals and investigative institutions such as universities within Europe must be included. But I would very much like information from countries outside the EU to be made available, perhaps through a data link, so that we can also include information from outside the EU, but this should not be at the expense of finding out. We have not arranged this with one stroke of pens. For a doctor who thinks "I need to check it out" and who will then look it up in Eudamed, it must also be unlockable and findable. That is an example of a step which I think should be taken.
ParlaMint-NL_2019-04-11-tweedekamer-9.u46	Well, that's what we're agreed on. The Minister therefore implicitly agrees with me that all doctors should have access to all information. I understand all possible technical hiccups and problems, but what exactly is the Minister going to do today or tomorrow to make that possible? Because he shares that wish with me, so he can fix it.
ParlaMint-NL_2019-04-11-tweedekamer-9.u47	Well, thank you. That's the second time I've been awarded superhuman superpower, just today. The subject of openness, transparency and the availability of this information will also have to be discussed in Europe in the coming years. I will work for this from the Netherlands because I think that is important, but I would like to make one further comment. Mrs Ploumen said: then the Minister agrees with me that all information should be made available to all doctors and others. Some information is not available. Nor do I find it useful that it is available in the public domain. If two inspections together involve a certain manufacturer, I would be happy if they would share that information through EUDAMED, but I am also happy that this information is not available in public for a while, otherwise the bird may have flown. I may make it a little practical, but there are examples of information that you can say is information, but we should not have it in public when action is still being taken on it.
ParlaMint-NL_2019-04-11-tweedekamer-9.u48	I would like to agree with the Minister, but the fact is that we are still a long way from a situation where inspections may share information about a manufacturer in public. If only we were there! I actually wanted to go back and ask what the Minister is going to do tomorrow, possibly in changing his own law here, to make sure that all information is available, including all investigations, not in summary form supplied by the manufacturers, but just everything available to all doctors and all patients.
ParlaMint-NL_2019-04-11-tweedekamer-9.u49	Clear.
ParlaMint-NL_2019-04-11-tweedekamer-9.u50	And then we'll find a solution for two inspections that someone's got on their mind.
ParlaMint-NL_2019-04-11-tweedekamer-9.u51	We are talking here today about a law that does not allow us to regulate that efkes. This is a European regulation; that is mandatory law. So if we want to amend that regulation, we need to do so in Europe. That is why I would like to continue to put this issue of transparency, understanding and accessibility of information in Europe on the international agenda, in addition to the actions we discussed on 21 March. We can do these actions in the Netherlands, when it comes to the quality registers, the implant register and the working methods of the Adverse Reactions Contact Point. Those are all things that we can do ourselves. I also hope to add this information to EUDAMED, which seems to me to be a very practical way.
ParlaMint-NL_2019-04-11-tweedekamer-9.u52	I'm not gonna celebrate every time, but I'm gonna talk about this subject. For my group, it is now important to make an assessment of the law, i.e. whether we are going to vote for it or against it. So it would be really good if the Minister could indicate exactly when and where he is going to take steps to achieve this transparency. Because that helps us to assess whether this law can be adequate enough for the moment.
ParlaMint-NL_2019-04-11-tweedekamer-9.u53	Yes.
ParlaMint-NL_2019-04-11-tweedekamer-9.u54	Because I still have my doubts about that.
ParlaMint-NL_2019-04-11-tweedekamer-9.u55	This law is actually quite a technical law, if I may put it that way. That's what I said in my introduction. That is a kind of necessary translation of what is needed in order not to conflict between a European regulation and a Dutch law. If we want to do more about transparency and accessibility of information, with you talking about the doctor, while I am also talking about the patient, we will have to continue to treat it as a European one. What's the good opportunity and place for that? I think that after 23 May, the new European Commission is on the move and that this is a topic that we should put on that agenda. We don't have to wait until May 23rd. I can announce that now: I want that. At the same time, Mrs Ploumen knows, perhaps better than I do, that this is not yet settled on 24 May.
ParlaMint-NL_2019-04-11-tweedekamer-9.u56	Okay. You were working on Mrs Ploumen's questions.
ParlaMint-NL_2019-04-11-tweedekamer-9.u57	Sure. Mrs Ploumen asked what makes me think that the new EUDAMED is close and works. She made a comparison between the current EUDAMED, from 2011 and what will follow from next year. The European regulation gives EUDAMED a key role in legislation. EUDAMED records the manufacturers of medical devices. In addition, EUDAMED is used, inter alia, to register the CE certificates, apply for clinical investigations, report incidents and report security risks. Due to the legal basis in the legislation, I expect EUDAMED to be much better able to meet the need for greater transparency and safety of tools. So it's getting super wrapped up, that EUDAMED, and that's why it's being introduced in steps. But I think it is a step forward and there are still many steps to be taken afterwards. Does the Minister agree with me, asked Mrs Ploumen, that all information should be public, including for doctors? Let me repeat once again: I do think that as much information as possible should be made available to the patient and to the doctor, and at the earliest possible stage. I will continue to work for that. Then the point of the safety warnings. What happens if Member States fail to reach agreement on the disclosure of incidents? In the Netherlands we continue to make safety warnings public on the website of the inspection. How is the Minister going to make it clear what a side effect is and what an incident? That is a little paraphrasing of a question that Mr Van Gerven has once asked, namely: when is something an incident and when is a calamity? As far as I am concerned, such reports need to be explained widely. In other words, patients should be able to report side effects and incidents to the Contact Point and Expertise Centre for Adverse Reactions Implants. The hotline indicates whether there has been an incident or an adverse reaction caused by the use of a doctor. In a campaign, we call on patients to report side effects. Once again, this must be done as easily as possible, because we need that knowledge, that experience of patients, in the case of aids. It may be a crazy comparison, but medicines are extensively tested in advance. This can be done to some extent with implants as well, but not in all cases and also less extensive. That is why it is so important that when the device, the implant, is on the market, experiences are reported. The report of experiences may also be about cheerful messages. They do not need to go to the MEBI, but as soon as there is an adverse experience, a side effect or an incident: report. That's the campaign's commitment. Can the Minister reflect on the role of the inspection, as organised in the new EU regulation? This new law designates the inspection as the regulator for the regulations. The inspection will carry out risk-based monitoring, as it does now, albeit with additional capacity, which we exchanged in the March debate. The inspection seems to me to be getting 30% more formation. To manage the expectations for a moment: that would be about an order size of 11.5 fte. This will therefore be an important additional role for the inspection. Does the Minister agree with us that all information from EUDAMED should be made public? That's what I've been talking about. I think I have answered Mrs Ploumen's questions.
ParlaMint-NL_2019-04-11-tweedekamer-9.u58	In that regulation, to be precise, Article 123 (d) states that if EUDAMED is not operational as of 26 May 2020, we fall back on the current directives. I would like to know what the Minister is going to do to ensure that this system, which we do not think is perfect but alla, is in any case operational on 26 May 2020. What will he do in case we fall back on the old directives, to prevent the Netherlands from being dragged into a race to the bottom in terms of safety?
ParlaMint-NL_2019-04-11-tweedekamer-9.u59	All efforts are aimed at making EUDAMED live in May next year. I also believe that the Netherlands can make an active contribution to this, and I will also promote it. I'll guard it, too. It is all a little too fast for some parties elsewhere in Europe; we know that. I do not think that we should be distracted by hiccups in preparation. The commitment should still aim to launch EUDAMED in May 2020. It's not a matter of switching a switch, so it's there one day at a time. In addition, there are all kinds of Dutch rules that we can use, for example the national implant register, and attention is paid to the Meldpunt and Expertise Centre. So we can also continue to do all kinds of actions in the Netherlands and they may be just as important. If EUDAMED is up and running, there will be a moment.Don't ask me exactly when we will transfer the data from the Dutch LIR to EUDAMED. The fundamental tone of the Netherlands is therefore always to keep working on and ensure safety and transparency.
ParlaMint-NL_2019-04-11-tweedekamer-9.u60	Then I have a request for the Minister. Would he be prepared to inform the Chamber regularly until May 2020 about the progress of EUDAMED's operation? Because in January, for example, we can set off all the alarms if they really don't hurry up yet. That would be extremely helpful to make sure it's okay.
ParlaMint-NL_2019-04-11-tweedekamer-9.u61	We have already agreed in the previous debate that I will make a progress report on this subject for you. This includes EUDAMED, but it is slightly wider; it also includes the new law, the regulation, the LIR and the centre of expertise. You'll get that report before the summer. That'll be the first update. But on this point, the wish of the Chamber is also my wish. Although it is not the perfect step, we must make sure that EUDAMED is going to fly.
ParlaMint-NL_2019-04-11-tweedekamer-9.u62	Thank you.
ParlaMint-NL_2019-04-11-tweedekamer-9.u63	Mr. Chairman. Then there are the questions asked by the CDA. There were a lot of them. Is it true that the results of the removal of pelvic floor mats are better in Germany and in the United Kingdom? That was Mrs Van den Berg's first question. I am not aware of that, but if this is the case, I will ask the scientific associations to talk to doctors in those countries. The Netherlands may be able to learn from the working methods in those other countries. Then Mrs Van den Berg said: we hear that the treatment with pelvic floor mats in Belgium is no longer reimbursed and still in the Netherlands. In the Netherlands, pelvic floor mats are only reimbursed in extreme cases, in those cases where alternative treatments no longer work. In these extreme cases, the potential yields of the mesh outweigh the risk of complications. If we ban mesh altogether, some of the patients with complaints could no longer be helped. That is why I think it is acceptable that pelvic floor mats should still be reimbursed in those very restrictive cases. Does the Netherlands now intend to suspend the use of certain types of plastic mats, i.e. mesh, following the example of the United Kingdom, Australia and a few other countries? The answer is no, for the reason I have just mentioned. It's true that mesh can cause complications in some patients. Therefore, it has been common practice in the Netherlands for years to apply these only in extreme cases, when alternative treatments no longer work. I understand that mesh can still be used in the UK if there are no other alternatives. Mr. Chairman. Then Mrs Van den Berg asked if I would speak with the NVOG, the NVU and other umbrella organisations to call on them to stop implanting certain types of mesh into research at home and abroad has shown that these implants are safe. These conversations have already taken place. Since 2013, the inspection calls on professional groups to use mesh very reluctantly. As has been said, mesh should only be used in extreme cases in the Netherlands if alternative treatments no longer work. In addition, transvaginal mesh is only applied by specialised gynecologists in six specialised centers. Since then, the number of complications caused by mesh has fortunately decreased.
ParlaMint-NL_2019-04-11-tweedekamer-9.u64	The Minister spoke about this in his letter of 1 February. He also writes that there are new products available that are expected to bring fewer complications, but none of this has been proven. The minister says it's only been used in a few centers. We get different sounds about that from the field anyway.
ParlaMint-NL_2019-04-11-tweedekamer-9.u65	Then I would also like to have that information. That's what I'm told. From my answer, I hope you will find that I think that there should be a very cautious approach to the use of this mesh. So I'd like to have that information. Then I'll inform your room about that. Mr. Chairman. Mrs Van den Berg's follow-up question was: is the Minister going to provide good information, especially to young people who think too easily about putting a syringe? The information must be accessible, appealing and understandable, including for young people. I am in the process of making information on cosmetic interventions better and more appealing to young people's target audience. I've reported that to you before. I will inform the Chamber more about that appealing information for the summer. Then there is the question of increasing the age for cosmetic interventions, from 18 to 21 years old. Does the Minister agree with the CDA? No, I'm not. When you reach the age of 18 you can vote in the Netherlands, make agreements, drive independently and so on. I see no reason to apply a higher age limit for cosmetic interventions. This would mean restricting the rights of young adults. Young people aged 18 and over are adult and able to act. This gives them the freedom to opt for a cosmetic procedure or not. But good information is important here. And I'm working on it. The following question: does the Minister agree that there should be an independent website where clients can leave their assessments instead of the current commercial comparison sites? Yeah, I'm in favour of an independent website where clients can leave information. Healthcare CardThe Netherlands of the Patient Federation is a good example of this. At the moment there can be searched for plastic surgeons on ZorgkaartThe Netherlands, but not on cosmetic doctors, for example. That is because cosmetic doctor has not yet been recognised as a separate profession. This is expected to be the case on 1 July of this year. Therefore, I will consult with the Patient Federation to see if cosmetic doctors can be added as a separate category and to see what else can be added to Healthcare CardThe Netherlands. Next question. There is no clarity as to the quality of the hygiene conditions required. For example, eyelid corrections are carried out not only in clinics, but also in general practice, where other requirements apply. How does the Minister feel about this? I think it is important that this clarity should be achieved. A few months ago, I thought in December 2018, the Healthcare Institute took over responsibility for the realisation of the Quality Framework Cosmetic Medicine in accordance with its legal perseverance. That's pretty special, but it did happen here. The quality framework shall describe what is meant by good cosmetic care and the competence requirements for the performance of cosmetic medical operations. It is expected that this quality framework will be established and offered by the Quality Board in the middle of this year for inclusion in the Register of the Healthcare Institute.
ParlaMint-NL_2019-04-11-tweedekamer-9.u66	According to the Minister, therefore, competence and competence are included in this. We hear that the dermatologist and the plastic surgeon both do liposuction, but according to different standards and own guidelines. May I conclude, then, that according to the Minister, there is one standard, regardless of the original profession of the doctors? Because we understand that this quality framework will only apply to people who are cosmetic doctors.
