ParlaMint-NL_2019-11-21-tweedekamer-4.u1	We are now going to deal with the budget for the States-General (35300-IIA).
ParlaMint-NL_2019-11-21-tweedekamer-4.u12	I don't know. But also in recent years there has been a nod, I establish as a simple observer. For example, if you look at the treatment of laws here in the Lower House, you can see that we hardly look at them technically. I think, for example, the plague is that a lot of MPs are very busy making movies. This chair is seen by many as a place where you can stand and then make a video of it. That is why the serious parliamentary handicrafts, which my group is fully aware of, are seriously getting into the background of yesterday's budget debate on Justice and see how Fleur Agema deals with care and so on.
ParlaMint-NL_2019-11-21-tweedekamer-4.u13	Finally, Mr Baudet.
ParlaMint-NL_2019-11-21-tweedekamer-4.u14	Okay, those are observations. But when did that happen? This is a general pattern in all Western democracies. That's where Parliament turns into an applause machine. This is not just the case in the Netherlands, but also in France and the United States. Everywhere you see there are some kind of career tigers who actually do nothing more than repeat moves and endlessly stall. What is the problem with the democratic theory that in the course of the 20th century all these democracies were actually undermined?
ParlaMint-NL_2019-11-21-tweedekamer-4.u15	Well, there's all kinds of hours to indicate. One of them, I think, is the Marine Cabinet, in I thought 1963, was going to work with government chords. Look, the coalition chords are of course getting thicker and thicker and thicker. You didn't used to have them. From my point of view, the Marijn cabinet began to do so. This means that the House of Representatives is actually bound by the government's intentions. Those intentions are becoming more and more detailed, more and more behind the comma. Yeah, then you come here as a MP, but if you're in a coalition party, all you can do is come up with nice ideas. See how the D66 group works: it only comes with funny ideas and funny suggestions. That's a lot of fun, but it's kind of the level of a student council. They don't control the government.
ParlaMint-NL_2019-11-21-tweedekamer-4.u16	Mr Baudet, in conclusion.
ParlaMint-NL_2019-11-21-tweedekamer-4.u17	Let me finish. I agree with that, so perhaps we could conclude that it would only make sense to strengthen the role of the parliamentarians when you do not have a majority government. If you had a tolerance structure, a minority cabinet, a knowledge cabinet or a business cabinet, as we want, then Parliament would become more relevant. Then it might make more sense to give that Parliament a stronger role. As long as that's not the case, you better keep it as small as you can. Is that what you're arguing? That's what I think.
ParlaMint-NL_2019-11-21-tweedekamer-4.u18	I understand, but that makes it very black and white. Whatever you call it, also a business cabinet, a minority cabinet or a doogekabinet, whatever that may be, must ensure a majority in the House of Representatives.
ParlaMint-NL_2019-11-21-tweedekamer-4.u19	Thank you.
ParlaMint-NL_2019-11-21-tweedekamer-4.u20	I like that ending, too.
ParlaMint-NL_2019-11-21-tweedekamer-4.u21	It's an interesting debate. It could also have been used in the estimation; perhaps for the next estimate. Thank you. It's about the future and the way the Chamber works. We also have a debate with the Van der Staaij working group. It is very important to raise these issues there too. I now turn to Mr Van Gent on behalf of the VVD.
ParlaMint-NL_2019-11-21-tweedekamer-4.u22	Thank you, Mr. Chairman. In my maiden speech I already mentioned the importance of the States-General in the history of our country. In this respect, we must be careful of this institution. Moreover, Dutch democracy is relatively cheap compared to our neighbouring countries and our parliament is also relatively small. Investing in the quality of support for our parliamentarians is therefore a good thing in terms of the VVD. That is why we will co-sign the Sneller amendment.
ParlaMint-NL_2019-11-21-tweedekamer-4.u23	I was just in the interrupting debate with Mr Baudet a bit unkind in the direction of the VVD group, but look at the House of Representatives. Mr Van Gent has just said that we must be careful at the institute. I couldn't agree more. But if you look at the VVD group for example, I will not make it too personal. Every week we say goodbye to a VVD person; every week a new VVD person comes. I'm trying to remember the names, but it's happening so fast with you guys, you might have to work with back numbers. Mr Van Gent shares my observation that it is bad for the House of Representatives, because you then have your controlling task... You've got to get in. It's not a trade you can control in two weeks. Does Mr Van Gent also think that the movement within the VVD group is bad for the House of Representatives and therefore bad for Dutch democracy?
ParlaMint-NL_2019-11-21-tweedekamer-4.u24	My fellow Members who have left the Chamber in recent years all had their own good reasons for doing so. So I find it hard to speak out about those personalities. But it is indeed important that as a Chamber, especially thanks to good support, you carry out your duties as a government auditor well. It is true that it helps if you can build up experience. Of course there's another side. If you might stay on for too long, you can see that sometimes when you look at municipal councils or Provincial States, it has a different side.
ParlaMint-NL_2019-11-21-tweedekamer-4.u25	I couldn't agree more. I'm very happy about that. But does the VVD also have some sort of plan to make sure that the pigeon house, which is the group now, is stopped? Is there some kind of awareness in the VVD that this should stop, because it is bad for the Chamber and perhaps also for Mr Van Gent's party itself?
ParlaMint-NL_2019-11-21-tweedekamer-4.u26	In the end, MEPs make an individual assessment. They have that right, too. I don't think we should interfere with that right.
ParlaMint-NL_2019-11-21-tweedekamer-4.u27	We're going to spend $10 million. We don't spend it on policemen, on people in education, on people in health care, but on politicians here in the Lower House. This is largely paid out of the rent allowance. Mr Sneller has tabled it. Mr Van Gent is underneath as number two. My question to Mr Van Gent is: does the VVD have the priorities in order?
ParlaMint-NL_2019-11-21-tweedekamer-4.u28	All the things you mention, when it comes to investment in the police and care, are important. But we also consider it important to invest in the quality of the support. It's 10 million. That's definitely not nothing. But again, we have a relatively cheap democracy and also a relatively small parliament. So a good support is important.
ParlaMint-NL_2019-11-21-tweedekamer-4.u29	I'm not going to agree to that. I can't explain that to cops, teachers and caregivers, but I can't explain it to people who get rent payments. It seems that this is what the majority of the Chamber wants. Can we at least look at the cover? Can we make sure that the money is not taken away from the tenants, but, for example, I would like to mention a few things about the consultants, the informers and the communication staff in the ministries? Will we at least take that money away from the tenants, but from politics itself?
ParlaMint-NL_2019-11-21-tweedekamer-4.u30	If I read the amendment correctly, it is paid out of underutilisation in the Interior, so from everything that is included. If that is not spent, then there is under-utilisation.
ParlaMint-NL_2019-11-21-tweedekamer-4.u31	Finally.
ParlaMint-NL_2019-11-21-tweedekamer-4.u32	You can give the money from the rent allowance to tenants, but you can also give it to politicians. It's my preference to give it to the tenants. I wonder what Mr Van Gent thinks about that. My alternative is not to take the money away from the tenants, but for example at the towers, the ministries, at the expensive consultants, with the informers and with the communication staff, Mr Van Gent apparently does not like it.
ParlaMint-NL_2019-11-21-tweedekamer-4.u33	Again, the cover is the underutilization. It is the great challenge for us in the States-General to distribute the scarce resources. In this case, therefore, there is also a part about strengthening the quality of support for Members of Parliament.
ParlaMint-NL_2019-11-21-tweedekamer-4.u34	No, no underutilization or underutilization. Just take a look at the letter of amendment, at number 10. When establishing the budget statements of the Ministry of the Interior, page 2 states that it is simply from the budget for the rent allowance. It's just at the expense of tenants. Hardworking people don't get that money. It goes to all those MPs' policy staff who don't control the government anyway. It's just on page two.
ParlaMint-NL_2019-11-21-tweedekamer-4.u35	The coverage of the amendment stems from the structural underexhaustment in the budget of the Ministry of the Interior.
ParlaMint-NL_2019-11-21-tweedekamer-4.u36	It's nice that it's in an amendment, but reality is different. The Minister says something completely different. She simply says: "The cover is partly from the salary and price adjustment at the Complementary Post and partly from the budget for the rental allowance, as a result of a reduction in the self-employed deduction." That's just money. People work for that. People don't get that in their wallets, but it goes to all those policy makers, who we don't need anyway.
ParlaMint-NL_2019-11-21-tweedekamer-4.u37	It is clear that this is about money, but of course there are all kinds of under-spending in the Interior. That's where it's covered.
ParlaMint-NL_2019-11-21-tweedekamer-4.u38	Thank you, Mr. Van Gent. I now give the floor to Mr Smeulders on behalf of GroenLinks.
ParlaMint-NL_2019-11-21-tweedekamer-4.u39	Thank you, Mr. Chairman. I am replacing my colleague Nevin Özütok, who unfortunately cannot be present today because of private circumstances. It is quite extraordinary that we are discussing the budget of the States-General today. It's not customary. And why is that? Because at the General Political Reviews a motion was adopted by member Jetten, who was widely supported in this Chamber, to add 10 million to the budget of the House of Representatives, especially aimed at the adoption of additional group support. Mr. Chairman. Let me be honest: it is always a bit uncomfortable to talk about extra money for politics and politicians. But it became clear from the input of the VVD that we have cheap democracy compared to other countries and that our parliament is relatively small. As far as GroenLinks is concerned, quality may cost quite a bit, so we are pleased that this motion is now being converted into an amendment and that there will be more support for the House of Representatives next year.
ParlaMint-NL_2019-11-21-tweedekamer-4.u40	GroenLinks says it's always hard to talk about extra money for politicians. It's just where you get it, I'd say. If you get it away from the tenants, I'd be embarrassed as a GroenLinkser. I would be ashamed as GroenLinkser if I were to take money away from the rent allowance to give it to ourselves here in the Lower House. I'd be ashamed of that. I'm certainly not going to do that as a SP. Mr Smeulders is going to do so.
ParlaMint-NL_2019-11-21-tweedekamer-4.u41	I know the SP is incredibly critical of extra money for the House of Representatives. The SP also voted against the motion. That motion has been passed. The SP then also tabled a motion requesting a different coverage. We have also supported this motion, because I also see that the image that that money comes from the tenants alone is not very good. The cabinet has assured us several times that this is not at the expense of tenants. I would actually like to put that question back to the cabinet. It can't be at the expense of tenants. If that's true, then we need to look seriously at another cover. But as long as the cabinet is so determined, I would like to believe the Minister.
ParlaMint-NL_2019-11-21-tweedekamer-4.u42	Yeah, it's rent supplement money. If there is money left, for whatever reason, then you can do two things: you can give the rent bonus money to the tenants by giving them more rent allowance. Or you give it to politics. GroenLinks says: well, then we don't give it to the tenants but then we give it to ourselves. I have an alternative. 10 million was picked up in those towers at the ministries. Then we don't take it away from the tenants but from the consultants, the informers, the communication staff in the ministries or somewhere else. But let's get the money out of there. I don't need that extra money, but if we take it away, we don't need it from the tenants! Not with the tenants, just with the ministries. Is GroenLinks willing to support that?
ParlaMint-NL_2019-11-21-tweedekamer-4.u43	I think that is a very sympathetic idea, so I am happy to see Mr Van Raak's amendment. We'll see about that.
ParlaMint-NL_2019-11-21-tweedekamer-4.u44	Thank you, Mr. Smeulders. I now give the floor to Mr Van der Molen on behalf of the CDA.
ParlaMint-NL_2019-11-21-tweedekamer-4.u45	Thank you, Mr. Chairman. As my colleague said, it is quite unusual to talk about the budget of the States-General at the end of this year. We usually do that in May, and that's what we call the estimate. In any case, in the second part, I would like to mention something in the tradition of the estimation, because it is very often not money that is being discussed but, among other things, the canteens of the Chamber, and I did not want to let that tradition go. The first is what the other fellow Members have already mentioned. We are conducting this discussion, among other things, to release funds for the support of the Chamber. Let me say from the CDA that we think it is important for the Chamber to be able to carry out its function. In addition, you can have all kinds of views on how democracy can be improved, but at least the controlling role vis-à-vis the government must be well done. This means that Members of Parliament must be able to count on additional support. Mr Smeulders spoke of money for politicians. From the CDA, we're looking at something else. It is not money that is allocated to all of us, but it is given to people who spend time and energy reading the many pieces of paper. It is really a lot of money to make sure that precisely those critical questions are asked that the cabinet also needs to be able to conduct good policies. We will therefore wholeheartedly support the amendment tabled by my colleague, Mr Sneller, on behalf of D66. Mr. Chairman. Then there is the second point, which is in the tradition of estimation. My colleague, Jaco Geurts, did a great deal of work a while ago: we would like to have much more of our own products made in the Netherlands by the agricultural sector in the restaurants of this Chamber, and they should also have the appreciation they deserve. He made an inventory showing that there are quite a few products in our canteens for which a perfectly manufactured alternative is available in the Netherlands. That is a plea for making use of what our agricultural sector itself produces, but it does not bring up the products we offer here, even from far away. So people who have considerations about sustainability could also support this proposal. I am therefore considering tabling a motion in the second term to call upon the Bureau to increase the supply of these products in the restaurants here in the House of Representatives. Thank you.
ParlaMint-NL_2019-11-21-tweedekamer-4.u46	Thank you, Mr Van der Molen, but Mr Van Gent has a question.
ParlaMint-NL_2019-11-21-tweedekamer-4.u47	Yes, I have a question, partly out of enlightened self-interest. You are talking about products from the Netherlands, from Dutch farmers. I suppose there's still room for some exotic products. To mention just one thing: last night there was another very late meeting and then coffee, for example, is also essential. Hopefully there will still be room for that sort of thing.
ParlaMint-NL_2019-11-21-tweedekamer-4.u48	Yes, I also attach great importance to a large amount of coffee in this house, not only because of late but also because of early debates. The plea is therefore not to replace everything that is not Dutch here. Perhaps I disappoint others with that again, but it is mainly about broadening the offer. Because we really have an offer that we can get a lot closer. I also think that this way we can show that what we produce in the Netherlands can simply be used in our own parliament.
ParlaMint-NL_2019-11-21-tweedekamer-4.u49	In itself, this is a sympathetic idea. I'm going to come back to what the CDA just said on the basis of my speech. It was said that I would have said that we are going to spend money on politicians. I have indicated: "For politics and politicians." It is really not the case that we are going to increase our own salaries. It's all about support. I think we're very much in agreement, but I think it's good to make this right.
ParlaMint-NL_2019-11-21-tweedekamer-4.u50	Okay, well, then you've done it on this one.
ParlaMint-NL_2019-11-21-tweedekamer-4.u51	Thank you.
ParlaMint-NL_2019-11-21-tweedekamer-4.u52	Thank you, Mr. Van der Molen. I now turn to Mr Van Raak on behalf of the SP.
ParlaMint-NL_2019-11-21-tweedekamer-4.u53	We're going to spend 10 million, not to policemen, not to people in education, not to people in health care, but here to the political parties in the Lower House. We're gonna take some of that money away from the tenants, from the rent allowance. If anything proves the gap between here, the House of Representatives, and the people, then it is this kind of proposal. It is of a world alienation and of a brutality that I cannot understand and cannot explain and with which the SP will not agree. Anyway, it looks like a majority of the House is gonna do this anyway. But can't we get the money from somewhere else? If there's an extra 10 million here, does that have to be the tenants' money? Can't that just come from those towers, from the ministries, all those expensive consultants, all those informers, all those communication staff? However, I would like to appeal to my dear colleagues to get the money there and not to the tenants.
ParlaMint-NL_2019-11-21-tweedekamer-4.u54	The SP has been advocating for years that the Chamber gets less money and that Members of Parliament also get less money as a salary. We could say that's a noble pursuit. It is words, harsh words, which you say to my fellow Members, but it would also be nice and an act if the SP were to return annually the eight tonnes that you are about to receive from this amendment every year. Is the SP prepared to add the deed to the word and say: wait a minute, the extra eight tons that we get as a SP fraction, we return to the tenants, to the care, to the police. Then you would be an idealist who adds the deed to his word.
ParlaMint-NL_2019-11-21-tweedekamer-4.u55	I invest more than half of my fees in my own party every month. That is why we can do so much: we can train people and support actions. We also have a lot of support ourselves, including as politicians. That's a wonderful principle: to stop your own pants, to invest in yourself. That is our starting point. We always have, and we always will.
ParlaMint-NL_2019-11-21-tweedekamer-4.u56	I'm talking about the eight tons you get extra on January 1st. That's what I'm talking about. I would like a specific answer from the SP spokesperson: what are you going to do with that money? Are you going to use that money again, and you're going to blame us here: you see, you're pocket fillers? Or are you finally going to add the deed to the word by returning that money? Then you're a man.
ParlaMint-NL_2019-11-21-tweedekamer-4.u57	I am going to do my utmost here today to ensure that this measure does not go through, that that money goes to the agents, or to the tenants, the teachers or the care. I hope, when the money gets there, we're not gonna take that away from the tenants, we're gonna take it away from the ministries.
ParlaMint-NL_2019-11-21-tweedekamer-4.u58	Finally.
ParlaMint-NL_2019-11-21-tweedekamer-4.u59	Finally. I hear the SP is gonna put that money in her own pocket. That is the problem here: Parliamentary groups here make up for pocket fillers, but in the meantime still use the money for their own gain.
ParlaMint-NL_2019-11-21-tweedekamer-4.u60	Well, ho, ho, ho, ho, ho, ho, ho. Chairman...
ParlaMint-NL_2019-11-21-tweedekamer-4.u61	I think today...
ParlaMint-NL_2019-11-21-tweedekamer-4.u62	Whoa, whoa. Chairman...
ParlaMint-NL_2019-11-21-tweedekamer-4.u63	If you are prepared to return that eight tonnes, I think: okay, then you have also fulfilled the words you have just used.
ParlaMint-NL_2019-11-21-tweedekamer-4.u64	The SP isn't like DENK. DENK also started with this: asking for more money, asking for more money, more subsidy, more subsidy. We don't. As Members of Parliament, we pay more than half of our allowances. I didn't call anyone here a pocket filler. I said that the money invested in this, which is 10 million, is not invested in agents, education and care and that I cannot explain it, that I find it incomprehensible and indecent to remove it from the rent payment. That's what I'm saying here.
ParlaMint-NL_2019-11-21-tweedekamer-4.u65	Then I actually want to... with this...
ParlaMint-NL_2019-11-21-tweedekamer-4.u66	You're in charge of the order, Mr. Chairman.
ParlaMint-NL_2019-11-21-tweedekamer-4.u67	I'll leave it at that.
ParlaMint-NL_2019-11-21-tweedekamer-4.u68	That's fine.
ParlaMint-NL_2019-11-21-tweedekamer-4.u69	Thank you. I now give the floor to Mr Sneller on behalf of D66.
ParlaMint-NL_2019-11-21-tweedekamer-4.u70	Thank you, Mr. Chairman. It has already been mentioned: mostly the budget of the States-General is a hammerpiece and we are doing the debate on the estimate in spring. The government then converts that proposal one-on-one into a bill. In fact, we are only dealing with this budget in special cases. That is not, therefore, ever true, as Mr Bosma said, because in his period in the Chamber it has happened once before. But it isn't that often. There is a happy reason for today, as far as I am concerned. In the spring I said that commentators, the Board of Public Administration and the State Committee-Remkes all advocate a better support of the House of Representatives. They point to the relatively low expenditure for our parliament per capita compared to other countries. Unfortunately, that plea of MPs usually came only at farewell interviews. Much less often we heard that from active MPs. I said at the time that I get that a little bit, because hard work and the economy of taxpayers' money is often an important value for MPs. But sometimes it seems like a taboo. And I didn't get it that well. Fortunately, I say this partly in the direction of Mr Öztürk, who has left for a while, that discussion has been accelerating ever since. In the General Reviews, a motion from my group chairman was adopted to provide better support for parliamentarians. He almost got room-wide support. Mr. Chairman. From taboo to majority: it can sometimes, very often, go quickly in The Hague. An amendment was tabled this morning to work out that motion. It not only strengthens the support of the political groups on this side of the Binnenhof, but also gives the Chamber the additional resources, as I say in response to the questions put by Mr Bosma in his term because he apparently had not read the amendment himself, in order to provide additional agencies, ICT and facility support. That's all there is to it. Moreover, the budget for supporting our part-time colleagues on the other side of the Binnenhof goes up. That doesn't seem like much in absolute numbers, but percentageally a decent move. Finally, Mr President. I hope, together with you, as you have said, that this additional support will not contribute so much to further motions, but will, above all, lead to a higher quality of government control and, for example, give impetus to our co-legislative task. I see Mr Bosma standing. I think that as an employee, I have been in professional K more often than he has been as a co-legislator, as the initiator of a legislative proposal. During the time Mr Bosma was in the Chamber, for example, D66 submitted legislative proposals and received from the First Chamber for shorter partner alimony, active donor registration, the removal of the ban on narrowing blasphemy, conscientiously held civil servants, the Climate Act, the House for Clockblowers, the deconstitutionalisation of the mayor's method of appointment, the normalisation of the legal status of civil servants, the removal of the ban on insulting a friendly head of state, the Shopping Time Act and the removal of the single fact structure from the General Law equal treatment. I had to google quickly to Mr Bosma's first-term texts. I do not think that this is a exhaustive list, but of course we can take this task even more seriously with this support.
ParlaMint-NL_2019-11-21-tweedekamer-4.u71	So Mr Sneller confirms what I said. Making those laws is all nice, but the critical control of the government doesn't do D66. D66 executives hardly produce laws. On these two points, therefore, Mr Sneller agrees with me.
ParlaMint-NL_2019-11-21-tweedekamer-4.u72	I do...
ParlaMint-NL_2019-11-21-tweedekamer-4.u73	No.
ParlaMint-NL_2019-11-21-tweedekamer-4.u74	No, Mr. Chairman, I'm gonna be... I don't think there's a question being asked.
ParlaMint-NL_2019-11-21-tweedekamer-4.u75	Can I ask you a question first?
ParlaMint-NL_2019-11-21-tweedekamer-4.u76	Just a minute, Mr. Faster. You'll have an opportunity to make that right.
ParlaMint-NL_2019-11-21-tweedekamer-4.u77	Mr Sneller referred to the amendment. I want to be clear, because there is, of course, a lot of talk about it. Is 10 million really the total? So we're not gonna get over it? So 10 million is not salaries and all kinds of secondary costs that come with it. 10 million is really going to cover the whole story, all the costs. That's how I understand it, isn't it?
ParlaMint-NL_2019-11-21-tweedekamer-4.u78	First of all, about Mr Bosma's misplaced words. If we have to appoint rapporteurs for the monitoring of annual reports here, the PVV Group will never give up at home, whereas in fact all the other groups represented here simply do their controlling role. Then there is Mr Bosma's question about the amendment which he has not read. It states, among other things, that the increase will be included in the estimates of the House of Representatives in the future. What Mr Bosma may not know, but what is true is that the regulation on financial support for political groups in the House of Representatives states, among other things, that certain reserves can be deployed after elections, so that will of course change. That is why it is also important that this financial regulation should be adapted in the near future. But I did not want to do so in this amendment, because perhaps other discussions will also emerge from it.
ParlaMint-NL_2019-11-21-tweedekamer-4.u79	That's a lot of words not to answer my question: is 10 million just 10 million? Let me ask you another question.
ParlaMint-NL_2019-11-21-tweedekamer-4.u80	No, then I'd like to try to answer...
ParlaMint-NL_2019-11-21-tweedekamer-4.u81	Yeah, maybe that's better.
ParlaMint-NL_2019-11-21-tweedekamer-4.u82	... because this doesn't make any sense. I have just indicated to Mr Bosma that 1.485 million ECU is also included in the explanatory statement of that amendment, which you can simply read, will be added to the chamber apparatus, to provide computers for staff and for facility support. That is indeed the overhead standard for housing, which Mr Bosma has asked for. But Mr Bosma flattens it with his question whether it stays there. That's why I wanted to give him the full picture, but he doesn't appreciate it.
ParlaMint-NL_2019-11-21-tweedekamer-4.u83	Well, I appreciate that very much.
ParlaMint-NL_2019-11-21-tweedekamer-4.u84	Well, that's nice.
ParlaMint-NL_2019-11-21-tweedekamer-4.u85	My next question concerns the following. So we're going to get a lot more staff as a Lower House. If you walk through the building now, you'll see it's already full. We have occupational health legislation, which states that you cannot stack employees in the Netherlands and that they need a certain number of square meters. Think of desks, rooms and so on. There may be half more staff. Where exactly are all these people supposed to work? Could you please indicate the address or indicate the building where all these extra workers are to be found?
ParlaMint-NL_2019-11-21-tweedekamer-4.u86	I can't go into the hallway with you, so I'm afraid I can't say anything about that. I assume that in the thirteen years he has been here, Mr Bosma has also been on the other side of the Square, in the building we have there. There's still some room. When I look at us, where I am often found, I see that we still have square meters where extra desks can be found. Moreover, it is not a doubling of the number of employees. I do not think you can trace that back to me in any way. It is also up to groups themselves to see how they use that additional support budget.
ParlaMint-NL_2019-11-21-tweedekamer-4.u87	I think it's...
ParlaMint-NL_2019-11-21-tweedekamer-4.u88	For example, we could not have drafted the own-initiative laws without external help from people who consider it important to contribute to them. They are now simply on the group as a volunteer.
ParlaMint-NL_2019-11-21-tweedekamer-4.u89	Really rounding up.
ParlaMint-NL_2019-11-21-tweedekamer-4.u90	Just finishing up, Mr. Chairman. That's good news. So those extra employees of the House of Representatives come to work in the Logement, across the street from the Square...
ParlaMint-NL_2019-11-21-tweedekamer-4.u91	No...
ParlaMint-NL_2019-11-21-tweedekamer-4.u92	...that's completely full. That's what we got across the street, right?
ParlaMint-NL_2019-11-21-tweedekamer-4.u93	Finalizing, Mr. Bosma.
ParlaMint-NL_2019-11-21-tweedekamer-4.u94	And secondly, we can accommodate the fraction of D66. That's where all these extra people are gonna be housed.
