ParlaMint-NL_2019-12-10-eerstekamer-3.u1	I would like to welcome the Secretary of State for Finance back to the First Chamber.
ParlaMint-NL_2019-12-10-eerstekamer-3.u12	The Secretary of State has already said that the priorities are middle income and, in particular, labour taxation. In fact, he says that this does not apply to those who are no longer employed. I can put it forward, but I'll come back to it in detail later. The Secretary of State has already reported it. I have already pointed out to the Prime Minister and then Minister Hoekstra in the two previous major debates: next year the labour cut, including the inflation correction, is going up by over €400 net and the elderly discount is going up by zero in policy terms. This is increased by €26, a tip, through the inflation correction. That's not balanced, is it? The employment discount thus goes up by more than €400 and the elderly discount by almost zero, with €26. The increase in the general tax reduction for those who are no longer employed is only half. In other words, that's almost nothing. So we get half the increase in the general tax rebate and we get practically zero old people discount. That's not balanced. I would like to say here that this is very difficult for us, and I will explain it to you later in the debate.
ParlaMint-NL_2019-12-10-eerstekamer-3.u13	I would almost say: I know, that was not unknown to me. We have indeed spoken about this a number of times before. I would like to say a few words on a subject relating to 'fiscal age discrimination', which you often use. In the end, you have the employment discount, the general tax discount and the old-age discount, which we increased two years ago. These are all measures in a total pot of measures we are taking. We try to visualize them as well and as angry as possible in August through the purchasing power plates. We have also taken into account the position of the elderly. But if you want to give workers and middle incomes a little bit more advance, you may, on balance, see a slightly smaller plus in the purchasing power cards for the elderly. But it is indeed a plus, I say to Mr Van Rooijen.
ParlaMint-NL_2019-12-10-eerstekamer-3.u14	I'm not talking about purchasing power cards. That's where the elderly are getting better. Let me rephrase. The cabinet has decided to increase the policy increase of the employment discount by around €700 by 2020, 2021 and 2022, even for the years after. Including the inflation correction, this is over €900. The employment discount is going to go up over the next three years, let me put it even more clearly, with almost €1,000 net, but for the elderly it is only certain that the discount will go up by €26 in 2020 and then by €26 in 2021 and 2022. So €75 inflation correction in three years, while the employment discount goes up by €1,000. That's not like a purchasing power bill or anything, that's huge. And now it's coming, chairman and colleagues, it's going to cost 2.2 billion! For the workers, over 2 billion is on the table, a tax gift from Rutte of €1,000 for the workers and the elderly have checked. They get nothing at all, nothing at all! So €75 in three years of inflation correction and the labor discount goes up by €1,000. So that's not like a purchasing power bill or anything. That's huge. And then he comes to the colleagues too: that costs 2.2 billion and 150 million. There are over 2 billion workers on the table, a tax gift from Rutte of €1,000 for the workers, and the elderly have checked. They're not getting anything. Nothing at all! And that is absolutely not balanced.
ParlaMint-NL_2019-12-10-eerstekamer-3.u15	Mr. Van Rooijen, what is your question? You can also make statements in your own term. What is your question to the Secretary of State about this?
ParlaMint-NL_2019-12-10-eerstekamer-3.u16	In the beginning, the Secretary of State says that it is a balanced policy with an emphasis on middle incomes and workers. That's enough for me to know. He actually says, "Shut up, we've been looking at the elderly, but we're not doing anything about it." I have to say at the beginning that I totally disagree with that and that I will return to that at any time during the debate, as with the Prime Minister and Minister Hoekstra. They then bring up the increase in the AOW. Yes, the AOW is indeed being increased with the inflation correction, by 1%! Rutte then says, sir, you must not only look at purchasing power, but also at the AOW. But it's not a big deal either.
ParlaMint-NL_2019-12-10-eerstekamer-3.u17	But, Mr. Van Rooijen, what is your question?
ParlaMint-NL_2019-12-10-eerstekamer-3.u18	My question is whether the Secretary of State would like to explain...
ParlaMint-NL_2019-12-10-eerstekamer-3.u19	Interruptions are intended for brief, explanatory questions. So would you like to ask a question?
ParlaMint-NL_2019-12-10-eerstekamer-3.u20	I think I'm talking. I ask the Secretary of State to explain why the workers will get €1,000 over the next three years and the elderly will get nothing at all. He doesn't answer that. He says: we have looked at it and the elderly too are making some progress in terms of purchasing power. Yes, but less than the workers. It is not about the purchasing power of a year, it is about talking about a tax plan of €1,000 for the workers, including the self-employed, so not only the workers............................................................................................................................................................................................................................................ We have had a technical presentation here, you know that. On the second page are the policy changes: general tax discount, labour discount, self-employed deduction. The old-age discount is not included, as there is no policy increase in the old-age discount. We just don't exist!
ParlaMint-NL_2019-12-10-eerstekamer-3.u21	I call the Secretary of State for an answer to your question.
ParlaMint-NL_2019-12-10-eerstekamer-3.u22	Mr. Chairman. The question I distilled from this is in particular in the partial assumption that Mr Van Rooijen makes when he looks at what happens to the discounts. He forgets to say that we are also doing something about the self-employed deduction, for example. One of the reasons why we are now increasing the working discount is that we are reducing the self-employed deduction. That was a combination package. Most elderly people will not suffer much from this self-employment deduction. The point in this kind of discussion is that it happens every year, and that is what I understand, is that Members always take one measure out of it. They are very opposed to this, but they forget that this measure is embedded in a whole range of other measures. However flawed and often I say that it is not a promise, those purchasing power cards ultimately reflect what the government does for you with all the measures that apply if you as a person live about the same life. That is what we are trying to visualize as best we can. These are not individual promises, but all these measures are taken together. In the end, you can make a comparison to determine whether there is a balanced picture of burdens between the different groups in the Netherlands.
ParlaMint-NL_2019-12-10-eerstekamer-3.u23	Mr Van Rooijen, a third time in conclusion.
ParlaMint-NL_2019-12-10-eerstekamer-3.u24	The Secretary of State is making things worse now. He says: because we are going to limit the self-employed deduction in seven years, we want to compensate the self-employed with a higher employment discount. This is going to apply to a much larger group of workers, which costs 2 billion, but the elderly do not participate. You are now saying that we have increased the reduction in working hours for workers and for workers in order to compensate the self-employed. But the elderly do not get that extra increase in the employment discount. So the self-employed get less deduction, but they are fully compensated and more than that, and the elderly stay out of it. They do not also receive compensation for the reduction in the self-employed deduction that employees receive. I think that is absolutely discrimination. You can imagine that we will make this very difficult in the final analysis of this Tax Plan. I have never voted against a tax plan for eight years, but you must realise that we will make this very difficult in our final judgment if you stick to this position. This is also true for next year and for future Cabinets, because this is absolutely unacceptable.
ParlaMint-NL_2019-12-10-eerstekamer-3.u25	Secretary of State, you continue your speech.
ParlaMint-NL_2019-12-10-eerstekamer-3.u26	Yes, Mr. Chairman, I will. Mr Vendrik also had a question about purchasing power. He referred to Prime Minister Rutte when he spoke as party leader of the VVD at that festival. He called on companies to allow employees to participate in any event in the profits they make. He actually said: if nothing happens there, then I do not think it is logical to do anything about the reduction of the Vpb we have been aiming for. Mr Vendrik asked whether he could understand the Prime Minister in such a way that there would be a direct link between, on the one hand, the proposed reduction in GDP and, on the other hand, the increase in wages. I understand that question and we have discussed it before in the Chamber. There is no one-to-one link between contract wage development in a particular sector and, for example, the Vpb in a particular sector. At the same time, it is also important for the cabinet to inform everyone about prosperity. When we talk about purchasing power, as we have just seen, you see that wages and what happens to wage developments are extremely important for people. We can of course do things on our side as a government, but the intrinsic development of what you deserve is extremely important. I therefore believe that the appeal was justified, and that was also endorsed by the cabinet. There's just no kind of automatic coupling, which means what contract wage development you would or wouldn't do Vpb; he was talking about 2.5% and 3%. But the idea that you look at a balanced distribution of income and purchasing power every year is understandable. So we will look at that again in August.
ParlaMint-NL_2019-12-10-eerstekamer-3.u27	I wonder what the Prime Minister's words might be like. The Secretary of State says it's not a one-to-one link, but what does it mean? If those words have meaning, then shouldn't this mean something concrete? Then you have to be able to say at some point: and now those wages have not risen sufficiently and do we also refrain from further lowering the high Vpb rate for the following year? So it's one or the other after all. Either it's an empty gesture or it means something, but then you have to be able to make it concrete.
ParlaMint-NL_2019-12-10-eerstekamer-3.u28	For clarity's sake, I'm not going to go into what he said at that festival endlessly. I have already said in the Chamber that you should ask him. I'm just saying, and that's cabinet policy, and you have to look at the balance of purchasing power in a year, and that's why you're looking at burden-sharing between citizens and businesses, for example, even though it's never one-on-one. Formally, when you want to make a very sharp distinction between the development of the burden on business and on families, you would also be in danger of increasing the burden on families if you impose a burden on business that cannot be lost other than in the passing on of prices. At the same time, we are clearly focusing certain measures on citizens, businesses or small and medium-sized enterprises. So in August there is something of a consideration in which you look at all these things. It is good to keep looking at what we think of it, but we are not going to introduce a kind of conditionality into the law on the Vpb that so much percentage point of Vpb increase or decrease follows. That link is not that direct, but this is just part of the overall picture we are looking at in August.
ParlaMint-NL_2019-12-10-eerstekamer-3.u29	I see the Secretary of State making all kinds of retreating movements, but the Prime Minister is also Prime Minister at a VVD festival? The cabinet speaks with one mouth. Moreover, I think these words have also been repeated in the House of Representatives. That line has been deployed by the cabinet. Parties in the Lower House have asked the cabinet about this. Then it is, again, the question for me, and it was asked yesterday: if there is a Ruttenorm, then what is the norm? The Secretary of State then says: we are going to look at the whole picture; but I do not think that is enough.
ParlaMint-NL_2019-12-10-eerstekamer-3.u30	For all clarity: there is no Ruttenorm and there is no direct link between one and the other. This is certainly not a retreating move, because the fact that you are looking at the development of burdens on businesses, on citizens, on large and small enterprises is important when you decide on the whole burden package in August. It's gonna stay that way, but there's no Ruttenorm.
ParlaMint-NL_2019-12-10-eerstekamer-3.u31	I understand that there is no automatism: if this is then, without conditions. At the same time, as Mr Van Apeldoorn rightly said, I assume that the words of the Prime Minister were also spoken on behalf of the cabinet. They've been repeated in the House of Representatives. I assume that this will have a special meaning when the government looks at the 2021 budget in August, and that we can at least expect the cabinet to give a very explicit appreciation on this point of the state of the wage increase in 2020, how it assesses it, whether it believes that the Prime Minister's appeal has been heeded, repeated in the Second Chamber, and whether, and if so, what consequences this has for the burden, in particular the tax on profits.
ParlaMint-NL_2019-12-10-eerstekamer-3.u32	In other words than I would choose, I think Mr Vendrik is saying what I have just said. I don't think there's a concrete call or a Rutte standard that says, "That's how we're gonna do it." I think so, and we will... Every time we present a tax plan, we also give an assessment of developments. What do we think is important? This year we have said that it is important, for example, that things happen around purchasing power developments: middle income, workers. Once again, that call for wages was justified and we have repeated it as a cabinet. It's true, that's important. The cabinet itself has tried to set an example there, with the wages we pay and the collective agreements we conclude. So we think that is an important issue. I just want to get away from the idea that we have already agreed that there is a direct link between one and the other. There isn't one. The idea behind that is, of course, that balanced development, including for the citizens versus the business community. So I agree.
ParlaMint-NL_2019-12-10-eerstekamer-3.u33	Mr Vendrik, third.
ParlaMint-NL_2019-12-10-eerstekamer-3.u34	My question was, perhaps, the Secretary of State can explicitly say something about this, whether I can assume that after the Cabinet had thought and decided on this in August, at Princess Day this point éxpliciet, it will be well marked in the documents of the Cabinet and that the Parliament, and thus the First Chamber, has a good view of how the Cabinet has assessed the increase in wages, what the state of affairs is, what it thinks of it and how it relates to the choices it makes for the general burden picture in 2021.
ParlaMint-NL_2019-12-10-eerstekamer-3.u35	I think that is exactly what we should do. I find that not only for next year, but all the years after. When you use your Millions Note and your Tax Plan to give an idea of how to make choices in burden development, this is just an important part. This includes, for example, purchasing power, which means wage development. The only thing I want to avoid is that the only little thing I'm saying is that there's not some kind of movement "and because contract wage development is 2.9, we decide to do this or this." So if Mr Vendrik agrees with me that there is no link, but that it is of course important to make choices, I think we agree.
ParlaMint-NL_2019-12-10-eerstekamer-3.u36	Finally, Mr Vendrik.
ParlaMint-NL_2019-12-10-eerstekamer-3.u37	I understand the Secretary of State's point, although there would be a digital link. But I think the point is very special in that the Prime Minister himself has drawn attention to this. We all agree with the Prime Minister. Then that may also be expressed in a separate, special way in the documents next year. That is a point which I will keep to, because for that it is just a little more than the usual decision-making in the cabinet and the responsibility for it, about the overall burden, purchasing power development, wage developments and so on. It's just a little bit more than that. I would like to see that in the documents of the cabinet next year. I hope the Secretary of State will see that chance.
ParlaMint-NL_2019-12-10-eerstekamer-3.u38	I can see that, so we will. I therefore hope that Mr Vendrik, when the Prime Minister has policy intentions, will be standing here again to say how important it is for these special words and calls to be given special attention. If we can get that together, I think this is fine. Mr Vendrik also asked for another link, namely that between the high incomes and the August decision-making, because we have already done the burden relief, the burden plans we had for next year in this Tax Plan, because we thought that purchasing power development was so important this year. He asked whether he could assume that not at least next year, because that year is a slide from 2021 to 20, there will still be a compensatory action, for example towards high incomes. In Mr Vendrik's words, that would not be the image he would be pleased with. That's actually true. Every year we look at what this means for all different groups in the decision-making process in August. It is not, therefore, because there had already been a tax shift in this year, which automatically leads to a compensatory tax reduction for the high incomes in the following years. Mr Vendrik was quite right about that. We shall therefore continue to look again and again, including from the supplementary and amending budget, at the rates of increase and decline. We continue to hope for progress in income from different groups. That doesn't include automatism from the fact that you did a slide the year before, so I think he got that right. I also admit that we will not do so and that the principles of balanced burden sharing will actually be the same as we used this year. Then Mr Van Apeldoorn asked us what the government is doing about rising inequality. He felt that the reduction in the top rate could not be explained. I pointed out to him just now that it is not a single measure but rather a combination of measures and that it is trying to ensure a balanced distribution of income, in which both low-income and higher-income workers can make significant progress. The growing inequality, also referred to by other members, of the Medium-Term Forecasts of the Plan Bureau is actually about the period below. So the Planning Bureau at its MLT each time for a cabinet period after the one you're in on what's actually the underlying trend. That is why it is true that they say: you have to watch out for what is happening there. It's not just that everything's gonna be okay. Moreover, it is not the case that all the measures that we are now giving to reduce the burden are washed away by those measures that find out. Everything that we now give to burden relief is simply structural. It's gonna stay that way. Only, in view of the economic expectation seen by the Planning Bureau, they say that this would result in an inherent pressure on people's purchasing power for a forthcoming cabinet period, i.e. 2021-2025. That is why it is also up to another cabinet to do something with it. Mr Crone asked for that too. Why are we even doing that? That is also a bit of a question why the cabinet does not direct itself more directly to property inequality, because I think that was also what Mr Van Apeldoorn asked for but more on burden-sharing. This is because, for example, the Planning Bureau cannot properly assess the impact of policies on household assets, as they can on income distribution. That is, of course, an important distinction.
ParlaMint-NL_2019-12-10-eerstekamer-3.u39	The Secretary of State had already moved on to the following topic, property inequality. I may also have a question about that, but I would like to come back to the block for this, because the Secretary of State is moving very quickly now. He talks about the long-term consequences of income inequality. He says that it is up to future Cabinets to do something with that, but it is the result of the decision to introduce the two-disk system and also to reduce the top rate. Then my question remains as to why this was chosen. The Secretary of State is talking about a balanced distribution. I have also indicated in my first term that there are great differences in what people get. Then the Secretary of State says: we have chosen to make improvements especially for workers. My question is: why should non-working people be so left behind? In absolute amounts, a welfare mother with two children gets €15, a middle income gets €200 per month. But also relative, because the first quintile of the income groups progresses 1.4% and the higher quintiles over 2%. That's a bigger inequality, isn't it?
ParlaMint-NL_2019-12-10-eerstekamer-3.u40	Mr Van Apeldoorn asks this question several times in a different way, but the answer remains the same. It is the total of measures leading to a distribution of purchasing power. As a cabinet, we make choices about that. They would be different, I understand, from the choice made by a Van Apeldoorn government. The fact that you work in percentages instead of nominal amounts is really a bit the way we have been doing it for years. That's good too, because if you have a minus, the same goes for you. So we should also be a little careful not to pretend that we are presenting percentages when it comes to purchasing power development, trying to keep some sort of truth from happening. It really isn't. You can just figure it out. That's what we plan to do. But if you look at the comparability between the different groups, the percentual explanation is the most real one we think.
ParlaMint-NL_2019-12-10-eerstekamer-3.u41	We believe that absolute amounts also matter, but even if you look at percentages, you can see the differences. I just remembered that. The lowest quintile progresses less than the higher quintile. That is what was deliberately chosen. Apart from the long-term effects, the purchasing power effects in this sense do not increase equality but lead to greater inequality.
ParlaMint-NL_2019-12-10-eerstekamer-3.u42	In my opinion, we have also had an exchange of views on those lower quintiles. This also has to do with the fact that in those lower quintiles, for example, people are also covered by benefits, which do not work. So as the group is larger in those lower quintiles, you will see that also in percentageal progress... Once again, I would like to emphasise that all groups are making progress and, after our decision-making in August, they have made even more progress than we have already intended. But indeed, since we want to give the workers something more than the non-working ones, it is logical that those lower quintilles are less advanced than those above. That has just to do with that compositional effect.
ParlaMint-NL_2019-12-10-eerstekamer-3.u43	Mr Van Apeldoorn, third.
ParlaMint-NL_2019-12-10-eerstekamer-3.u44	Yes, I understand that, but I note that it has been a political choice of this cabinet not to allow the non-working people to benefit from economic growth to the same extent. It has always been said: now everyone must feel it. However, it has now been said that in this respect certain groups will feel less. That is a political choice, which I do not share with the Secretary of State.
ParlaMint-NL_2019-12-10-eerstekamer-3.u45	It's not just the difference between non-working people, people with benefits, and workers. Inequalities are also high within the category of workers. The Gini coefficient increases with this package. You say that this is also the case next year and that this is because of the MLT. In the MLT, you impose a burden increase of 4.5 billion in the next cabinet. That's your policy. The next cabinet should make up for 4.5 billion burdens on employees. The Gini coefficient is put even more under pressure by lowering the top rate and increasing its lower limit. You're really locking this place up. Within the category of workers, the middle income will also have to pay back in full the following period.
ParlaMint-NL_2019-12-10-eerstekamer-3.u46	I don't think that's entirely true. I would remind you of the basic path we started as a cabinet. We had to start with a minus of over 9 billion. If you want people to come out in a positive way, at least you have to straighten out the basic path. We had to take that into account. The same applies in the case of constant policies. If we do nothing at all, if no laws are made, if no new policies are made, if the composition of our households remains the same, if everything is ceteris paribus, then that could be the result according to the planning agency. The reality is, of course, not that nothing happens. This cabinet does a lot of things. Of course, we're trying to make up for the basic path. There will always be an additional effect of economic development after us. We cannot make up for that effect already. If the effect had been positive, we wouldn't have been able to bring it to us either. That's really something for a next cabinet. When planning, they will have to take into account the underlying MLT estimates. They will have to make their policy choices on that. That's something of all times.
ParlaMint-NL_2019-12-10-eerstekamer-3.u47	I asked the same question. Of course you started with a 9 billion deficit. The cabinet provides 9 billion relief, but there is also a billion involved in the policy-specific change in care, i.e. the burden of care. On balance, this cabinet increases the burden by 1 billion, see page 36 of the reply. My point is not the procedure. Of course, a new cabinet needs to start over. By lowering the top rate and by raising the income limit for the top rate, you're actually putting a next cabinet on the line. The number of buttons that can be turned on is getting less and less. In a subsequent period, therefore, you will have to pick up even more from those middle groups or a subsequent cabinet. You've locked the top fare.
ParlaMint-NL_2019-12-10-eerstekamer-3.u48	I don't think it's very useful for me, in general, to talk about the policy of a next cabinet. We make this choice now. Once again, the emphasis is on middle incomes and workers. Mr Van Apeldoorn says: we had made a different choice and at the same time let everyone make the same progress. Our choice was to make everyone feel it. Everyone has to make progress. But we have a little extra attention for the workers and the middle incomes.
ParlaMint-NL_2019-12-10-eerstekamer-3.u49	Mr Crone for the third time.
ParlaMint-NL_2019-12-10-eerstekamer-3.u50	Then you'll confirm the analysis. The "top rate" button has fewer possibilities, but a new cabinet should turn on it anyway. It must then either raise the top rate again or lower the income limit for it. It has to be repaid. You cannot say that this is the problem of the next cabinet, because you have now limited the possibilities of these buttons.
ParlaMint-NL_2019-12-10-eerstekamer-3.u51	That's not true. Just as we can adjust rates of income tax, the Vpb or whatever, can't a next cabinet do the same? It is not that everything we do now is poured into concrete. I hope not. I hope that we will continue to have governments that will continue to govern and make the choices that are necessary.
ParlaMint-NL_2019-12-10-eerstekamer-3.u52	Finally, Mr Crone.
ParlaMint-NL_2019-12-10-eerstekamer-3.u53	Yes, then there will be a higher top rate or a lower limit for the top rate and the middle building will be further pressed together. Maybe you'll come back to that. I also asked this question in relation to the tax rebates which all have to become income-dependent.
