ParlaMint-NL_2019-11-13-tweedekamer-7.u1	I'm reopening the meeting. We shall continue with the examination of the Foreign Affairs budget.
ParlaMint-NL_2019-11-13-tweedekamer-7.u12	I will conclude, but of course I believe that we should take the initiative worldwide for disarmament, global disarmament. This applies not only to us, but also to Russia. But someone really has to take that step. Since we are very vulnerable in Europe, the US will not feel this directly, but I think we should never hide behind this, let alone participate in it.
ParlaMint-NL_2019-11-13-tweedekamer-7.u13	Period.
ParlaMint-NL_2019-11-13-tweedekamer-7.u14	So it is true that Mrs Karabulut and the Socialist Party advocate that the Netherlands, NATO, unilaterally abolish all nuclear weapons and that Russia and other countries still have them. Is that right?
ParlaMint-NL_2019-11-13-tweedekamer-7.u15	I believe that the American nuclear weapons in the Netherlands, after they have been modernised and therefore returned to the US, should remain there. It doesn't make us more unsafe. It makes us safer. I believe that we should sign the nuclear weapons ban treaty and work towards global disarmament. I believe that we should not spend 6 billion more on major weapons in order to wage wars that make us even more unsafe, but I believe that we should develop a different security strategy. And yes, we differ fundamentally in that regard.
ParlaMint-NL_2019-11-13-tweedekamer-7.u16	Perhaps then we will get a little closer together, because now I understand from Mrs Karabulut that she thinks that the Netherlands should disarm. Of course we as a VVD do not agree with that, but she says if I understand correctly that it is good that these weapons go to the US. Do I understand Mrs Karabulut that she does think the United States should keep nuclear weapons? She can't have everything. She either says that nuclear weapons must be completely removed from NATO, but then Russia and other countries keep those weapons and we are vulnerable, or she says she wants those weapons to go to America. Or does she want to leave NATO unilaterally?
ParlaMint-NL_2019-11-13-tweedekamer-7.u17	The nuclear weapons doctrine must be abandoned and we must return to disarmament agreements. I do not understand where this enthusiasm for arms and further militarisation and for tightening up the contradictions comes from. I really don't understand that. Especially when you realize that nuclear weapons are one of the biggest threats to all of us right now.
ParlaMint-NL_2019-11-13-tweedekamer-7.u18	Please continue.
ParlaMint-NL_2019-11-13-tweedekamer-7.u19	This brings me to the war in Yemen, a subject where a little too often the rather passive "can't" of this minister has sounded. We cannot expect miracles from a country like the Netherlands on the international scene, but we can expect a maximum effort to do miracles to contribute to a cease-fire in Yemen. I don't see enough of that, Mr. Chairman. That is why I call on the Minister once again to press for international sanctions against those responsible for the hundreds of thousands of deaths and millions of refugees in Yemen. In particular Saudi Arabia, the country of which Crown Prince Mohammad bin Salman last year showed the critical journalist Jamal Khashoggi in pieces. Choose human rights, not the murderous Bin Salman. I'd like a response from the Minister. The war in Yemen illustrates the failure of Western policy, especially in the field of arms trafficking. A number of countries, including the Netherlands, have sometimes opted for a more reluctant arms policy towards Saudi Arabia and other coalition countries, but of course, arms trade should have been completely restricted immediately when the poor Yemen was attacked in March 2015. But instead of a European arms embargo, more was exported. Trade that continues to this day. Western weapons destroy Yemen. If the arms trade had stopped in 2015, there wouldn't be so many deaths in Yemen today, including many tens of thousands of innocent children. It should never have happened. Nor could it have happened if countries had complied with their own arms export criteria. That is why I have a number of proposals, so that no more Western arms companies fill their pockets with the death of innocent civilians in Yemen or in any other country. One. Let independent research be conducted, preferably internationally, on the extent to which countries have violated arms export criteria in the Yemeni war. Two. Set up an independent national commission to monitor compliance with arms export criteria and call on other countries to do so. Three. Identify the possibilities or, if they are not available now, look for ways to impose sanctions on arms export countries that are violating those criteria. I would like a response from the Minister to these proposals. Mr. Chairman. Against the background of a total lack of respect for human rights in Saudi Arabia, also due to the repression of women, it is incomprehensible that it has been decided that the G20 Summit will be held in Saudi Arabia next year. That's not supposed to happen. If this worthless decision can't be reversed, the Netherlands shouldn't be part of it anyway, should it be invited. There is only one right attitude to a G20 summit in Saudi Arabia, and that is a boycott. I would ask the Minister to argue this in international consultation. The continuing occupation of Palestine and the expansion of illegal Israeli settlements, with the approval of President Trump, are the main obstacle to peace. It is my firm belief that if the Netherlands and the EU continue to pursue current policies, justice will only get further out of the picture. What is needed are measures that can change Israel's mind. I therefore ask again whether the Minister is prepared to restrict the import of products from illegal settlements, as is customary in other similar situations. For example, the situation following the illegal annexation of Crimea by Russia.
ParlaMint-NL_2019-11-13-tweedekamer-7.u20	I have a question for Mrs Karabulut. Isn't it a little harsh to come up with this point when Israel is under fire from a rocket rain from Gaza? It also affects a lot of innocent citizens. Those missiles are being fired from Gaza into densely built areas. Iran supports this terrorism. Is that something that concerns Mrs Karabulut, above all, when you look at what is happening right now?
ParlaMint-NL_2019-11-13-tweedekamer-7.u21	Of course. It is super-wrangling that Netanyahu is currently choosing this strategy, which means that Israelis are indeed dead to the rockets that are flying around their ears. In addition, several Palestinians were killed. That's superwrang. That's not a leader looking for peace and security. I am not even talking about the two million Gazans living in Gaza open-air prison that the UN says is unviable. Of course this is superwrang. This violence must stop. The cabinet and the EU say they are in favour of a two-state solution, but the annexation continues, the attacks continue, the occupation continues and the violence continues. If we want to change that, you must do something, including, as for Russia, no longer getting products from illegal settlements. Then Mr Van der Staaij will also do something for the Israeli people. As far as Gaza is concerned, the open-air prison where Israel is holding two million Palestinians at gunpoint, I ask the Minister about his view of Israel's approach to impunity. I am referring to the fact that Israel has shot more than 200 demonstrators and lets the perpetrators go free. In only one case is a military conviction. A one-month community service has been imposed for the shooting of an unarmed protester who was not a threat. The protester was 14 years old, a child. His name was Uthman Rami Hillis. I ask the Minister to respond to this. Is it not time for the international community to demand an end to this impunity? This brings me to our country, on a black page from the past of the Netherlands, an episode in which this country was on the wrong side of history, as has also been recognised by our country. I mean the filthy and bloody colonial war that was fought in Indonesia shortly after the Second World War to crush the independence efforts in that country. Although for a long time an image of so-called police actions has ceased, there is no escape from the fact that Dutch violence against Indonesians was structural in nature in which countless war crimes have been committed. The judge spoke about this past at the beginning of last month. In concrete terms, it has been established that crimes such as torture do not lapse, but give the right to compensation and that children of Indonesians executed by the Netherlands can also hold the State liable. Years earlier, it was considered that widows could hold the State liable. A so-called civil law regime has been established for this group, so that the courts do not always have to apply it. I call on the Minister to extend the existing regime so that other victims of Dutch war crimes can also appeal to it. I'd like a response from the Minister. Mr. Chairman. Finally, the 70 civilian deaths in Hawija as a result of a Dutch bombing by an F-16. We know the lie. We know the lie that has been maintained for years and a hint of the veil has been lifted. The Minister has, of course, been very closely involved with his ministry. I want to ask him how he looks at all this. I'd like a response from him. I also want to know at what point, by whom and in what way he was informed of the lie and of the 70 civilian deaths, so that we can find out the truth here in this Chamber, including the ugly aspects of warfare.
ParlaMint-NL_2019-11-13-tweedekamer-7.u22	Thank you. Mr. Koopmans.
ParlaMint-NL_2019-11-13-tweedekamer-7.u23	I would like to ask Mrs Karabulut if she is also so happy that, ultimately by American action, the leader of ISIS, Mr Al-Baghdadi, is dead.
ParlaMint-NL_2019-11-13-tweedekamer-7.u24	Al-Baghdadi was a man responsible for the murder of many people. I don't think there's a normal person on earth who grieves for his death. But if Mr Koopmans has the illusion that the ideas behind them and/or terrorism have been defeated, then I think he should look back on the past few decades.
ParlaMint-NL_2019-11-13-tweedekamer-7.u25	If Mrs Karabulut does agree with me that it is a good thing that this gentleman is no longer there, then she should also agree that it is a good thing that there are anti-terrorist operations that can lead to this and that military efforts sometimes have to, even if they are very risky, to combat terrorism and keep the Netherlands safe.
ParlaMint-NL_2019-11-13-tweedekamer-7.u26	Permanent warfare, let's say from 2001, but it's going back even further and shut it down and every time... By the way, I found President Trump's press conference rather bizarre. Cheers when Baghdadi, Bin Laden et cetera et cetera are eliminated and pretending to have made us safer is really, really, a very naive attitude of Mr Koopmans, who says he is realistic. Of course, I cannot prove it, but military commitment can only be achieved if a political solution is available. Military commitment always has to be done at all times! It is also important for the Commission to take account of the fact that it is not in the interests of the Member States that they should be able to apply the provisions of the Treaty on European Union. Too often it has been blackmailed. I would be so pleased if the VVD looked back on 18 years of war in Afghanistan and found that we are now there to make the negotiations with the Taliban succeed. The VVD once wanted to get rid of that; she said it would work. I would very much like to see progress made when we see that the illegal war in Iraq has ultimately brought IS and Baghdad. I would be very pleased if we could look at the concrete results of the war on terror and see that it has not brought us security but more terrorism. Then we must remove the breeding ground for terrorism.
ParlaMint-NL_2019-11-13-tweedekamer-7.u27	I note that Mrs Karabulut is going back to 2001.
ParlaMint-NL_2019-11-13-tweedekamer-7.u28	But you started it.
ParlaMint-NL_2019-11-13-tweedekamer-7.u29	But it was also justified. I started talking about taking out Al-Baghdadi recently. Ms. Karabulut goes back to taking out Osama bin Laden after the attack, the horrible terrorist crime against the World Trade Center in New York. So Mrs Karabulut says: no, we should not have intervened to combat terrorism, not in Afghanistan and, ultimately, not to combat the terrorism of Al-Baghdadi. So Mrs Karabulut is actually saying: we shouldn't do anything.
ParlaMint-NL_2019-11-13-tweedekamer-7.u30	I'm not saying any of that. If I have to debate Mr Koopmans in such a way, it just doesn't make any sense. He doesn't listen to what I'm saying. Look, I can turn off my record here, too. If you want to have a debate, you should go into what I said, namely that I want a military intervention under conditions. Then you will also go into the facts I have listed, namely that you have been saying with your VVD for decades that we are going to be safer, while it has brought us more terrorism. The soil is therefore not removed. We need to change that strategy. Then we'll get on with it. Otherwise, I find it very difficult to debate with you.
ParlaMint-NL_2019-11-13-tweedekamer-7.u31	Thank you, Mrs Karabulut. I now give the floor to Mr Sjoerdsma on behalf of D66.
ParlaMint-NL_2019-11-13-tweedekamer-7.u32	Mr. Chairman. "Death of death," that's what Macron called NATO last week. I don't think you need to be a doctor to find that "brain death" is not a reassuring diagnosis. Most people don't wake up anymore. It might not have been a very useful statement, of course Putin was very happy about it for a reason, but at its core Macron did say something that is true, I think. He said that the American safety umbrella is gone, and if we don't be careful, we're gonna rain wet. That alone should be enough to set off the alarm bells, but there's a lot more. Russia continues to act aggressively in neighbouring countries alongside the European Union. An increasingly dominant China tramples on human rights and tries to corner us economically, through corporate espionage and strategic investment. They are only three worrying trends. Meanwhile, the European Union is mainly dealing with itself, with the crumbling rule of law in Hungary and Poland and with the Brexit, a kind of sad Groundhog Day. So I don't think you need to be a big light to know that the code is red: code red for our security, code red for our freedom and code red for our future. Our security hasn't been under as much pressure as it is now in decades. Our alliances and the multilateral system not only show cracks; they show strong grooves and cracks and perhaps even vibrate on their foundations. That is why I believe that a broad adjustment, a rethinking, of our foreign policy is needed, to ensure that we can guarantee our security, to strengthen our economy and to preserve our freedom. But then the EU will have to grow up faster. Like the Indian Foreign Minister... Oh, Mrs. Ploumen is about to lose her phone, I see now.
ParlaMint-NL_2019-11-13-tweedekamer-7.u33	I miss her, but where is she?
ParlaMint-NL_2019-11-13-tweedekamer-7.u34	She ran out of the room very quickly, Madam President.
ParlaMint-NL_2019-11-13-tweedekamer-7.u35	Oh, oh, oh... continue.
ParlaMint-NL_2019-11-13-tweedekamer-7.u36	Then the European Union must grow up more quickly. The Indian Foreign Minister said to us this week: do not forget how inspiring the European Union is in the world, with 75 years of freedom and the Nobel Peace Prize. He also said we want to see a lot more of you in Asia. Mr. Chairman. We are an economic giant, but a geopolitical dwarf. Our soft power has brought much but has no teeth, and our hard power is far too fragmented. That is why our foreign policy must become more European as a matter of urgency and we must do what makes us unique. Mr. Chairman. About safety. Macron, of course, was too short. But the question is, of course, justified. How can we, as the European Union, not be able to protect our own territory? That's decadent. It is also extremely dangerous. And, of course, we are not catching up from one day to the next. A European military force is not just being kicked out of the ground. But it is as Napoleon said to a general who came to complain to him that his men had to march in the full sun: then do you plant trees? That's what he suggested. But the general said it would take years. Napoleon said: all the more reason to start today. The same applies to the European armed forces. We need to get to work on this as a matter of urgency, because it has many advantages. Through joint procurement alone, Europe generates 25 to 100 billion a year. But more importantly, it also invests in NATO. We would at last make an equal contribution to our common security. Would the Minister be the first step in ensuring that we agree with the Franco-German agreement of Aachen, with the further deepening of foreign policy and with the further broadening of military cooperation? At the same time, we will have to make every effort to preserve NATO until the entry of a new US President. We will also have to think about NATO of the future. By cyberwarfare, war is not only geographically defined. The modern rocket has no mileage limitation. Is it not therefore time to look at a geographical expansion of NATO? Should we not include democratic countries, such as Australia and New Zealand, in our alliance? Mr. Chairman. Security has not only a military side, but also a political dimension. European foreign policy is currently far too weak. We are invisible on the world stage and the question ahead is: do we know how to determine our own future by acting together, or are we slowly crumbling apart because we let others determine that future? As far as we are concerned, the answer to that question is quite clear. It is time for the European Union to grow up geopolitically. That is only possible if we neutralize the Trojan horses in our foreign policy. Now Hungary is blocking strong action against Turkey when that same country invades Northern Syria. Now Greece is blocking a human rights statement against China, because of the Chinese interests in the Greek port of Piraeus. That's how we get held hostage by autocrats. For example, our foreign policy is for sale. We must therefore refrain from vetoing our foreign policy. We must move towards a mature European foreign policy. Does the Minister share this analysis? And how does he intend to prevent this foreign influence on our policy? Is he prepared to commit himself to abolishing the vetos in foreign policy? What steps can be taken to this end? Mr. Chairman. As a result, we have become too dependent on autocars out there. We were blackmailed because we weren't united enough. For example, by Erdogan threatening to send 3.5 million refugees to Europe. We have made this possible by the Turkey deal. This was necessary because we in Europe did not have a fair and humane asylum policy. It is high time we had such a policy to prevent blackmail and to give refugees a humane existence. In this respect, I would ask the Minister to respond to the call of the Royal Association of Dutch Shippers, which says that Dutch shipping in the Mediterranean Sea is experiencing major problems because there are no ships on behalf of the European Union to rescue drownings. That's what they have to do now. That takes a lot of time and a lot of money. Every minute, every hour, every day that such a ship arrives at its destination, costs money from whoever ordered that ship. Mr. Chairman. We have not only been blackmailed by Erdogan, but also by Putin. If we have a single European energy policy, we may no longer be susceptible to the geopolitical weapons of the Kremlin, such as Nord Stream 2. I have heard from Mr Van Ojik about this too. I therefore call on this Minister and the Prime Minister to make much more work of this climate change group. Mr. Chairman. A mature foreign policy also requires that our standards, values and freedoms can be defended worldwide. And that we're giving that policy teeth. So not in the short term rest by rogue against dictators, but long-term freedom, the long-term right state, which is sometimes difficult to reach and whose path is winding and sometimes even extremely bloody. We have to go down that road.
ParlaMint-NL_2019-11-13-tweedekamer-7.u37	Speaking of dictators, one of them is Crown Prince Bin Salman, who cut up journalist Khashoggi. Next year the G20 will be held there. Do you think, like my party, that the Netherlands, if it continues, has no business in Saudi Arabia?
ParlaMint-NL_2019-11-13-tweedekamer-7.u38	No, I don't. I believe that we should put as much pressure on this crown prince as possible, so that he changes his behaviour and in one way or another he is accountable for the terrible murder of journalist Khashoggi. That is why we in this Chamber have supported the establishment of an arms embargo against Saudi Arabia. This Minister has worked for this at European and UN level. That's unique in the world. That seemed impossible until all kinds of European countries joined us, until even the U.S. House of Representatives and the Senate voted to do the same. Those are real measures. But I do wish that if that G20 happens, our prime minister will go. I would like that precisely because it gives him the opportunity, unlike our queen earlier, to address all these human rights concerns there, in the face of this authority and preferably even public.
ParlaMint-NL_2019-11-13-tweedekamer-7.u39	As regards the arms embargo, in order at least to prevent the murder of Yemeni children with Dutch weapons, we fought this fight together. It was long, difficult, it couldn't be done according to this minister, but it can be done. It doesn't go far enough, by the way. But Khashoggi has not yet been held accountable by this man.
ParlaMint-NL_2019-11-13-tweedekamer-7.u40	That's right.
ParlaMint-NL_2019-11-13-tweedekamer-7.u41	No punishment yet, no personal sanction yet. Everything that would happen around Russia et cetera et cetera would not happen here. And you also know how that works on a G20. Then what are the conditions you're imposing on our Prime Minister to appear there? 'Cause you know everything's going on out there in the back room. Or does Mr Sjoerdsma say that if he goes, then a statement must be made publicly? If that is not the case, then I know which interests prevail there and how that works out, namely that he can rub some bloodstains off his white robe on the world stage.
ParlaMint-NL_2019-11-13-tweedekamer-7.u42	When I look at the role of the Netherlands in this, we should be proud of that. When I look at the willingness in the rest of the European Union, in other Western countries that share our values, not only to address Saudi Arabia but also to take effective action, the Dutch Government has gone incredibly far to make it clear that it does not like what Saudi Arabia does in Yemen. And rightly so, given the terrible things that are happening there. The same goes for this murder of journalist Khashoggi. I'll say this to Mrs Karabulut. You can say that the Prime Minister should not go, but then there will be no signal. No one will miss us there. No newspaper will write that the Crown Prince is ashamed that the Netherlands is not coming. What can happen if the Prime Minister goes and brings this up is that the message arrives. I don't think we should have much hope that this message will get through to the head of this Crown Prince, given what he's done, but I think we should. We owe that to ourselves and to all those victims.
ParlaMint-NL_2019-11-13-tweedekamer-7.u43	I believe that in Canada a sister party of Mr Sjoerdsma's party, as well as the UN rapporteur, say that you should not go under these conditions because you then legitimize it. And trust that when the Minister says tomorrow, "Yes, Mrs Karabulut, I listen, we can, we can boycott, unless they punish those responsible," that that is world news and a clear signal. It disappoints me that D66, in that sense, puts those interests of the G20 before them on such a clear statement that you can make.
ParlaMint-NL_2019-11-13-tweedekamer-7.u44	Now Mrs Karabulut makes it a very ugly thing and that doesn't really grace her. Where our cooperation on this dossier has been so good for a very long time, both in this Chamber and beyond, it should not do now that where I think the Prime Minister should give a statement there, this would be motivated by commercial interests or something like that. It was my party that publicly advocated, as one of the first parties, that Saudi Arabia should have an arms embargo. It was my party who publicly said what a terrible regime there was. It was my party that said at the time: Islamic State does exist, and that is Saudi Arabia. So don't put words in my mouth. You don't look good.
ParlaMint-NL_2019-11-13-tweedekamer-7.u45	No, Mrs Karabulut, you made your point.
ParlaMint-NL_2019-11-13-tweedekamer-7.u46	A quick question?
ParlaMint-NL_2019-11-13-tweedekamer-7.u47	Well, no, I'm sorry. In fact, I would suggest that Mr Sjoerdsma continue.
ParlaMint-NL_2019-11-13-tweedekamer-7.u48	Yes, because human rights policy with teeth cannot be pursued by staying at home or just by condemning it. That's what we see over and over again. In the case of the most horrible crimes, the brutal murders and the grossest violations of international law, the European Union often does not go far beyond statements of indignation and concern. And you can't do that anymore. We need a European Magnitsky law, and we need it quickly. We need to be able to impose sanctions on human rights violations worldwide, freeze their assets, keep them out of the European Union, impose their travel bans. Only then, through such sanctions, I say to Mrs Karabulut, will the murderers of Khashoggi or the generals who are chasing the Rohingya finally experience the consequences of their misdeeds. My question to the Minister is: what is the status of our proposal for a European Magnitsky law? Who else is blocking? Who else is in trouble? When are we going to vote on it? I also saw that the new High Representative had received a letter of order from Mrs Von der Leyen, but there was not a word in it about this Magnitsky law; not a word. This is a missed opportunity for a European Commission that wants to be more geopolitical. Maybe it's even a blunder. I ask the Minister if he would be willing to send a letter to the new High Representative, preferably together with France, Germany and England, to call on him to make this the top priority of his period of work, of his first months. I hope the Minister is prepared to admit that.
ParlaMint-NL_2019-11-13-tweedekamer-7.u49	Back to the point of Saudi Arabia and the G20. Mr Sjoerdsma rightly says that we need to use the power of the European Union better, including through the Magnitsky Act. We fully support that; he knows that. Could he imagine that we are jointly calling on the President of the European Commission not to travel to the G20 if it is organised in Saudi Arabia? Because that really hurts there, I can give Mr Sjoerdsma.
ParlaMint-NL_2019-11-13-tweedekamer-7.u50	No, I'm not prepared to do that for the same reason I just told Mrs Karabulut. I believe that it is much more impressive to ask the President of the European Commission and all those invited to the G20 to denounce this kind of abuses, whether it is the murder of journalist Khashoggi, whether it is the terrible crimes in Yemen or the human rights violations in Saudi Arabia itself. If the choir of those different voices sounds at the G20, in their own country, maybe the Saudis hear that what their crown prince does is not normal in the world and that should not go on.
ParlaMint-NL_2019-11-13-tweedekamer-7.u51	Of course, the President of the European Commission and all the countries have to make their critical remarks about the regime and they have to express their disgust about it, and fortunately they do, but I have a dilemma with the G20. I would like to ask Mr Sjoerdsma openly. He was right to speak, I think he expressed his anger at the fact that our queen spoke to the Crown Prince and that that meeting in the Saudi press was used as a PR instrument. That will, of course, happen with the photo of the Saudi Crown Prince with all the Heads of State and the President of the European Commission. We shouldn't be giving him that present, should we?
ParlaMint-NL_2019-11-13-tweedekamer-7.u52	Mrs Ploumen is quite right to say that. Actually, we already gave that gift. Our queen's visit as a special representative and her conversation with the Saudi Crown Prince should of course never have taken place. That's been a mistake. That's...
ParlaMint-NL_2019-11-13-tweedekamer-7.u53	But that debate has been extensive, hasn't it?
ParlaMint-NL_2019-11-13-tweedekamer-7.u54	Yes, but I agree with Mrs Ploumen that that should not have happened. The biggest problem was that our queen couldn't make any criticism there, that she couldn't make this point, and that then...
ParlaMint-NL_2019-11-13-tweedekamer-7.u55	I'm going to interrupt you, because you've even tabled a motion on this.
ParlaMint-NL_2019-11-13-tweedekamer-7.u56	That's right. It has been adopted and I think it has yet to be implemented.
ParlaMint-NL_2019-11-13-tweedekamer-7.u57	Exactly. So it doesn't have to be discussed again.
ParlaMint-NL_2019-11-13-tweedekamer-7.u58	No. But the point is... This is the difference: our queen could not say anything there, because that is not her role; our Prime Minister can and must say something there.
ParlaMint-NL_2019-11-13-tweedekamer-7.u59	Good. Please continue.
ParlaMint-NL_2019-11-13-tweedekamer-7.u60	Mr. Chairman. I would like to touch on a few specific issues which, I think, are very important for the Netherlands. First of all, the IS fighters. Almost seemed Islamic state defeated. This horrible terrorist organization ran out of territory. All those fighters were trapped in detention camps. But the tipping point was a few weeks ago. The chaos in Syria was perhaps greater then than ever. More than 700 ISs, including two Dutch women, have escaped from these camps and are partly free. That's indigestible. As far as D66 is concerned, these priorities are therefore at the forefront: to try these criminals and to prevent them from committing crimes again in the region or coming under the radar to Europe and the Netherlands with all the risks involved. Can the Minister give an update on the plans for trial in Iraq? And can he reaffirm that the death penalty cannot be imposed on the Netherlands, either in Iraq or in Syria? Last Monday, the judge stated that the Netherlands must do everything in its power to get children, Dutch children, out of the terrible conditions of the Syrian camps. Minister Grapperhaus wrote that the cabinet will begin. I ask this Minister what that beginning means. Will this Minister also consult with the United States on their previous offer? Mr. Chairman. My second point is Russia. But I see Mr Van Ojik coming forward. I think he has something to say on the previous subject. I'll talk until he gets to the microphone.
