ParlaMint-NL_2019-09-11-tweedekamer-10.u1	The next item is a VAO Material Defence. I give the floor to Mr Van Helvert of the CDA.
ParlaMint-NL_2019-09-11-tweedekamer-10.u12	And then, President, Mr Bosman's question, which gave his views on the Defence Industry Strategy. I'll give you the B letter this fall on the replacement of the submarines. I have heard Mr Bosman's appeal. He has also been able to read what the cabinet considers to be important in the context of the CIS. That is indeed looking at strategic autonomy, but above all the best boat for the best price. The strategic autonomy element is an essential part of this. But the consideration will be sent to the Chamber in a B letter this autumn.
ParlaMint-NL_2019-09-11-tweedekamer-10.u13	Thank you. Mr Bosman has a question.
ParlaMint-NL_2019-09-11-tweedekamer-10.u14	New ships, battlepower, armament.
ParlaMint-NL_2019-09-11-tweedekamer-10.u15	That was Mr Bosman's second question.
ParlaMint-NL_2019-09-11-tweedekamer-10.u16	But that was a general question. It depends on what the task and function of the ship is.
ParlaMint-NL_2019-09-11-tweedekamer-10.u17	I absolutely think it's a very nice slogan. If we build new Navy ships, are they armed? Is there just force on a ship that's a warship?
ParlaMint-NL_2019-09-11-tweedekamer-10.u18	Depends on the ship. If it's a supply ship, it's got a whole different bet than when the ship's in defense or as an attack ship. Then it's just part of a fleet. So if your question is whether the supply ships are equipped with all sensors and all weapons by default, the answer is no. It depends on the function of the ship. They are protected by the frigates that sail along and for which they supply.
ParlaMint-NL_2019-09-11-tweedekamer-10.u19	That sounds reasonable.
ParlaMint-NL_2019-09-11-tweedekamer-10.u20	Yes and no, Chairman. There are examples of this. So the moment you leave a supply ship autonomously, someone must always be there. This means that a supplier can never sail on his own. There will always have to be a fleet band around it. That's a risk. Actually, that makes the ship more expensive. There must be a ship around it. I would also like to mention the example of Sir Galahad in the Falklands. If a ship is unprotected and under attack, you have a problem. So that's all I'm saying. That's a concern I take out. I hope it will be taken into account in the future.
ParlaMint-NL_2019-09-11-tweedekamer-10.u21	That concern has been expressed and I have taken note of it.
ParlaMint-NL_2019-09-11-tweedekamer-10.u22	Thank you.
ParlaMint-NL_2019-09-11-tweedekamer-10.u23	Then I suspend for a few moments, then we continue with the next VAO.
