ParlaMint-NL_2019-09-05-tweedekamer-7.u1	The next item is the law on the abolition of merger tests in basic education.
ParlaMint-NL_2019-09-05-tweedekamer-7.u12	I think D66's fatalism is special: we've already lost anyway, so we're gonna get rid of the thing. It may be indicative of the party's position in the cabinet, but I don't think it really is... Then we're gonna change it, right? Isn't this how we can stop more big school domes from coming? If Mr Van Meenen says 'we should also make it easier to cut up school domes', I would say: throw that in such a merger test. For example, insert a defusion test next to it and see what can happen with it. But Mr Van Meenen only says: this does not work, so we stop doing so, but we do not oppose it either. I think you can put serious doubts as to whether this doesn't work. D66 also didn't give at home when the SP suggested cutting up LVO, the dome you're talking about, which you think is way too big. So what's D66 gonna do now to reverse this massive increase in scale? What can we expect?
ParlaMint-NL_2019-09-05-tweedekamer-7.u13	I hope we agree that the merger test does not do anything about it. Indeed, since the merger test came, there have been no plans for large scale expansion in this country. They're just not there, because they were already there. That is typical of the SP: we call out a lot, but the instrument we use does nothing against scaling up. I do things, D66 does things. Two things we do. One. We have Rog, CDA and D66 amendments. This is a step which should make it possible for the step towards defusion to be taken with such an evaluation. That could therefore be the answer to the situation in Limburg. And the second thing I do is, with my bill coming up, strengthens the position of schools within the board. Actually, I'm making the board that's there less relevant and I'm going back to what it's all about. And that's the school on the corner where you're taking your kid. That's what it's all about in the end. So I do things, and I wonder what Mr Kwint is doing, if I may ask. 'Cause all he's doing is saying, no, the merger test has to stay. That's an impotent instrument.
ParlaMint-NL_2019-09-05-tweedekamer-7.u14	I'll try not to dwell on that. I think Mr Van Meenen knows very well what we are doing. In fact, we have put forward a proposal that would allow a school, if participation so wishes, to get out of a school dome immediately. Mr Van Meenen then sent an e-mail two days later. So I do not have the idea that Mr Van Meenen is not aware of the proposals made by the SP.
ParlaMint-NL_2019-09-05-tweedekamer-7.u15	Yes, I'm...
ParlaMint-NL_2019-09-05-tweedekamer-7.u16	Why not simply invest in participation, which does have an important role in the ex ante assessment of the merger? As soon as the co-determination says she wants to leave the school board, we quit the school board. Why such a weak variant, in which things are recorded in appointments?
ParlaMint-NL_2019-09-05-tweedekamer-7.u17	No...
ParlaMint-NL_2019-09-05-tweedekamer-7.u18	If you seriously believe that parents and participation should be placed in a position, then you support my proposal.
ParlaMint-NL_2019-09-05-tweedekamer-7.u19	No.
ParlaMint-NL_2019-09-05-tweedekamer-7.u20	Then you say, "If the mr says so, they'll get out."
ParlaMint-NL_2019-09-05-tweedekamer-7.u21	The proposal that Mr Rog and I are making takes a step in this direction. That proposal should make that possible. But from my own experience I also say that you should not get some kind of cherrypicking, where the mr at any time, if it suits her, says: we get out for a while. As a result of the merger, the interests of schools have become interconnected. There could be solidarity in that, too. You have to deal with that very carefully. And what Mr Kwint is proposing now is very rugged: if participation has said it, you are free the next day. Then Mr Kwint has no idea what is needed to ensure that this is done in a good, careful way, including for the staff and for the pupils. So we want the same thing, but I want it carefully and you want it rough. I hope the careful path wins.
ParlaMint-NL_2019-09-05-tweedekamer-7.u22	Mr Kwint, finally.
ParlaMint-NL_2019-09-05-tweedekamer-7.u23	Well, I don't think we want the same thing at all. I find it very strange that in this legislative proposal participation is given ultimate control over the question "are we going to merge or not?" ...
ParlaMint-NL_2019-09-05-tweedekamer-7.u24	It already is. It already is.
ParlaMint-NL_2019-09-05-tweedekamer-7.u25	If you will allow me to finish my sentence:... but then do not have the authority to do the same in reverse. Participation may decide when to step in, but not when to step out. Look, either you have faith in participation, and then it is both right, or you say that we should not allow participation to take place, but they should not be allowed to do so.
ParlaMint-NL_2019-09-05-tweedekamer-7.u26	I understand what you're saying. In the end, I also think that participation has a very important role to play in this, but the merger decision, with which the participations of individual schools or administrations have agreed, makes it a bit like trying to tear apart a scrambled egg. If that is possible, this must be done with extreme care, because the decision to merge suddenly eliminates the question of individual units. That's exactly the problem I'm raising in my bill. The interests are very closely linked, because there is one pot of money and that board decides on that. That's the legal position. If you want to break that up again, it requires extraordinary care, both from the school that wants it and from the other schools. We call on the Minister to take a very good look at this effect, which is the result of a negative fusion impact assessment, and to show what is needed to enable what you and I both want, namely defusion.
ParlaMint-NL_2019-09-05-tweedekamer-7.u27	Mr. Van Meenen, thank you very much.
ParlaMint-NL_2019-09-05-tweedekamer-7.u28	You too.
ParlaMint-NL_2019-09-05-tweedekamer-7.u29	Then Mr. Heerema.
ParlaMint-NL_2019-09-05-tweedekamer-7.u30	Mr. Chairman. We have been facing a significant drop in the number of students in the Netherlands for years. Shrimp areas are therefore disproportionately affected. In some regions this is well prepared. I often mention the Achterhoek as a good example. The school is an important part of the region where you live. It'd be nice if your kids could go to a school in the neighborhood. Then I come to the merger test, which often turns out to be too big a threshold to merge and to cooperate more intensively. It is precisely education in the region that needs cooperation in order to provide and continue to provide a high quality and accessible education. This cooperation is of the utmost importance. Where we decided in 2011 to introduce the fusion test, precisely to counter large educational colossals and to focus on more small scale, it appears that this law has an undesirable effect on shrinkage. For me, therefore, it is only logical that we have looked at the effects of this law in order to determine whether it is not wiser to abolish the merger test, precisely in the interests of accessible and high-quality education. In order to promote responsibility and opportunities in the region, I believe that it would be wiser to abolish the merger test. It was in our election programme, it is in the coalition agreement, and now we are going to make this final step.
ParlaMint-NL_2019-09-05-tweedekamer-7.u31	Mr. Heerema is right. Congratulations. It was their idea to abolish it, and now it is really going to be abolished, because he has managed to convince three parties of it. Often the argument is used that cooperation in shrinking regions is made impossible. We've had the merger test for less than ten years now. How many schools have disappeared in shrinking regions due to the merger test?
ParlaMint-NL_2019-09-05-tweedekamer-7.u32	We have seen, for example, that it is becoming more difficult for the islands to cooperate with schools on the mainland. I see it in my own region in schools in small towns like Limmen, Zuidschermer or Obdam. They struggle to achieve good cooperation because the threshold for wider cooperation is considered to be greater because of the merger test. Then it's only logical that you remove those thresholds. So that's what we want to do. I do not know exactly how many schools it is about, but there is a threshold being experienced - that information has been given to us all - and we are not too bad to remove those thresholds. I do not think that the small scale, which you are striving for, is in any way in the way at all. Another example from my own region. In my region, there is a medium-sized board of about 30 schools, but these are all small-scale schools working together under one board.
ParlaMint-NL_2019-09-05-tweedekamer-7.u33	I find it amazing that we are here discussing the abolition of the merger test, when no one can tell us how many schools we lost because of the merger test. Everyone says that the continuity of education is in danger, but no one can show me how many schools are involved. Let me rephrase the question. In what way does the current merger test make it possible, and I am not even talking about alternatives or an improved or simplified merger test, which means that cooperation between schools, not fusion, is more difficult? And maybe I shouldn't say "current" but "previous," because de facto the merger test has already been abolished.
ParlaMint-NL_2019-09-05-tweedekamer-7.u34	Because of the thresholds it raises, for example through information to be provided and deadlines to be passed, it seems more difficult for schools to engage in such cooperation. I don't want the merger test to be here. It's not necessary. I think that Mr Van Meenen has given an excellent answer when it comes to mergers and increasing governance. This has already been done before we have launched the merger test. So I think the step we are about to take is a very good one.
ParlaMint-NL_2019-09-05-tweedekamer-7.u35	Mr. Kwint, this is your third time. Let's try to do the interruptions in half.
ParlaMint-NL_2019-09-05-tweedekamer-7.u36	I'll remember that from now on, Mr. Chairman.
ParlaMint-NL_2019-09-05-tweedekamer-7.u37	Yes.
ParlaMint-NL_2019-09-05-tweedekamer-7.u38	Mr Heerema talks about thresholds, just as he talks about schools but does not know how many schools are involved. What thresholds? What thresholds in the merger test, which we are about to abolish, do cooperation, rather than merger, stand in the way of cooperation?
ParlaMint-NL_2019-09-05-tweedekamer-7.u39	Schools can always work together. But we think it is important to be able to share student numbers more effectively on paper and to ensure that quality and well-achieved education stays close to different locations. The other day we were in Friesland, in Harlingen. A school there said: we have obstacles to keeping students. Then let's try to work that out. If that merger test can be abolished, thereby removing barriers, I am simply very willing to do so. Mr. Chairman. I have a question for the Minister about the inspection. There is, of course, a fear that schools that merge and then fall under greater governance may have to lose quality. Does the Education Inspectorate now have the task of, for example, having additional supervision over larger school communities? We must, of course, keep Maastricht in mind, although I think that this has been a huge wake-up call to ensure that these large administrations know very clearly where they stand. I think they are very well aware of this quality, but I would like to know that from the Minister. Mr. Chairman. The contribution is short. He doesn't have to. The VVD supports this cabinet bill.
ParlaMint-NL_2019-09-05-tweedekamer-7.u40	Thank you. Mrs Westerveld van GroenLinks has the floor.
ParlaMint-NL_2019-09-05-tweedekamer-7.u41	Mr. Chairman. Since the introduction of the merger test under the Cabinet-Balkenende IV, the test is subject to discussion. It was introduced in 2011. In 2014, the test was relaxed. The test was evaluated in 2015 and 2016. Following these evaluations, the test was updated in 2017. The following year the test has been adjusted again, so that only a procedural test has been applied since 1 August 2018. In fact, therefore, that real merger test has long been abolished. A year later, now, in 2019, this bill on the abolition of the merger test will be dealt with in the Chamber. In short, a lot has been said about the merger test. The key has been modified a number of times. But it is striking that all previous Cabinets acknowledged and also stressed the importance of the test. When the merger test was relaxed two years ago, the cabinet wrote: "The test still has a preventive effect towards steering that do not want to proceed to merger properly or for improper reasons." Mind you, these were written by the rulers Jet Bussemaker of the PvdA but also Sander Dekker of the VVD. They found the fusion test to be an important means of ensuring the human measure of which comes back very often in the letters................................................................................................................................................................................................................................................... They also wrote: "Most participants in the field consultation support a form of merger review. They consider it important for an outsider to monitor whether a merger has sufficient support and whether the merger process has been properly completed." Now, two years later, according to the cabinet, it turns out to be completely different at once. Now the merger test stands in the way of cooperation, we also just heard the VVD say. Apparently, it is no longer important that there is a check on whether the merger process has gone well. Apparently, the social context is quite different now than it was two years ago. My question to the Minister is therefore: why this bill? The Minister himself writes that he does not expect this bill to lead to a greater increase in mergers in foundational education. That is not strange either, because there can be cooperation or mergers with a merger test. The procedure has also been simplified, as I just outlined. While in the past there has been a heavy substantive test in the case of more risky mergers, there is now only a procedural test, a check as to whether all these procedures have gone well. That extra check from the minister is now being abolished. Instead of a merger test, perhaps we should also talk about a merger check, because that's what it's really about. Mr. Chairman. In my group's view, the argument that drivers find the test complicated and opaque is not convincing either, because, of course, they think it is. It is, of course, the best thing for the board that they can make decisions without all kinds of other people watching from the outside. So it's not so crazy that this comes back from the evaluation. My group did not think that a heavier test for more risky mergers was a bad idea. We still believe that, in the case of mergers in education, it is simply a good idea to give extra consideration to the question of whether we should want to do so. Because we are not talking about companies that run production and are going to work together, but about children and teachers and about good education that is funded by all of us and for which this minister is also ultimately responsible. Is the Minister not afraid to lose control in high-risk mergers when even that simple procedural test is abolished? Does the abolition of this check not increase the risk of the Minister being confronted with problems later, for example because an institution has become far too big? I'd like a response from the Minister. GroenLinks is strongly in favour of working together and we are certainly not against mergers by definition either. On the contrary, my group sees that mergers in shrinking areas may be necessary. It is precisely in places where there is a drop in apprenticeships that cooperation needs to be sought. So Fusering is fine if that means that good education can be maintained in the own neighbourhood of families. But this is happening. In different regions we see good examples of governance that seek each other out, that work together or that eventually merge. Where that goes less well, this is often not due to the procedures, but it is also often because it is just swallow for drivers but also for teachers, parents and children to continue under a different flag. At least that's my impression, or does the Minister see it differently? Areas with drop in apprenticeships are therefore not the problem and at the same time we are seeing more and more scale in education in other places. In secondary education, for example, the number of pupils per institution has increased by 256% since 1980. The Minister, with the removal of the merger test, is encouraging the scaling up of the scale. That's what GroenLinks is afraid of. We're not the only ones. The Education Council also points this out. They consider the merger test to be an important tool to counter the formation of oversized schools. When the coalition agreement came out, the Education Council wrote an opinion on the deletion of the merger test. The Education Council wrote: "It should be ensured that only an administrative education provider remains in certain areas. In addition, in the case of advanced economies of scale, efficiency losses may occur." How does the Minister see this? Does he agree with GroenLinks that if scaled up, drivers and supervisors can also lose sight of what is really going on in education, what is going on in teachers and parents and how it really is going on in education? Does he agree with us that it is precisely in huge educational colossals that the vision of educational quality can also be lost? Does he agree with us that there is a risk in huge institutions that managers will become more and more managers and have much less connection with education itself? We have of course seen this in practice at the LVO in Limburg where a school board so many schools, 17 schools in 30 locations, had that there was almost no other employer in the province. This is undesirable. Not only did newspapers write about solar king behavior, but teachers also felt that they could no longer be critical, because if they lost their jobs, they would no longer be able to go to another employer in their own region, because there is only one large employer in the province. Does the Minister also see that risk and does he see with us that this is also bad for the quality of education? Has the situation in the LVO led this Minister to look again at this paragraph of the coalition agreement and, if not, why not? Mr. Chairman. I mentioned a number of points why my group is critical of abolishing the merger test. The abolition of the test not only causes the human dimension which previous cabinets consider very important to be lost in education, but it is also another step that makes scaling up easier. My group believes that in some places, especially in education, economies of scale have gone far too far. Does the Minister share this view and do he also see the risks attached to it? 'Cause sometimes bigger is better, but not by a long shot. Is there any scientific research from which we can determine the ideal scale of educational institutions? Then there's the co-determination. It is a good thing that the right of assent is retained, but at the same time the Committee on Fusion Test Education wrote in perhaps their last letter that, based on their experience, it is not possible to discuss participation constructively at an early stage in order to discuss the intention to merge. GroenLinks considers it very important that participation should not only be agreed by teachers, parents and pupils at the end of the journey, but that it should be actively involved throughout the procedure. My colleague from D66 pointed that out as well. The proper dialogue between co-determination and competent authority must therefore take place from the date of the intention to merge. It is very important that parents, teachers and students should not only be included in the process, but also be able to think along and decide with it. Too often they have to sign at the end of the cross.
ParlaMint-NL_2019-09-05-tweedekamer-7.u42	I totally agree with: getting involved from the start. Otherwise, I would like to say to co-determination councils now: if that does not happen, I would say 'no'. But that's not my question. My question concerns what Mrs Westerveld rightly describes as excesses of scaling up. She referred to the situation in Limburg and so on. Does Mrs Westerveld agree with me that these are all situations that existed before the merger test? So the merger test didn't change that. My question is: what will GroenLinks do about it? Because by maintaining the fusion test, the LVO is not going to change and large and very large boards simply continue to exist. If you want to do something about that, you have to do something else. And what's that?
ParlaMint-NL_2019-09-05-tweedekamer-7.u43	I'm aware of that. It was just about that when Mr Van Meenen was standing in this place. I think that the amendment that Mr Kwint has made is very interesting, namely that, if things go wrong, participation should also be taken into account when it comes to the unravelling of institutions. As far as I am concerned, that would be a very nice step: that we should look at boards that have too many schools under them and how we can ensure that they too are restored.
ParlaMint-NL_2019-09-05-tweedekamer-7.u44	Okay, that's clear. Then I hope that Mrs Westerveld will also look at Mr Rog's and myself's amendment, which follows a slightly more gradual path towards the same goal. We'll see how rough GroenLinks is in this. Rough or effective, that's actually the choice.
ParlaMint-NL_2019-09-05-tweedekamer-7.u45	I saw the amendment pass. I'm going to read it very carefully during the suspension.
ParlaMint-NL_2019-09-05-tweedekamer-7.u46	You will continue your speech.
ParlaMint-NL_2019-09-05-tweedekamer-7.u47	Yes, Mr. Chairman. I mentioned that it is very important that parents, teachers and students think along, right from the start of the journey. We have made an amendment on this. As far as we are concerned, part of the discussion that is to take place is that participation councils from different schools speak to each other, precisely in order to prevent some sort of directional struggle from arising when a merger has been decided. That is also stated in our amendment. In the end, all this must provide support and a better knowledge of participation. The amendment therefore includes a provision that is already in place elsewhere in education. It must ensure that the conversation between teachers, parents and pupils from different schools actually takes place and that they really sit together. I hope that colleagues have seen this in their mailbox and want to take a good look at it. Our proposal does not come out of the blue, because in the various debates I stress the importance of support and participation by staff, parents and pupils. The evaluation of the merger test also shows that participation is sometimes involved too late in the process, while the committee conducting this investigation specifically commented in its report that there is a good relationship in all cases examined. This shows, as far as I am concerned, that even if there is a good relationship, it can happen that participation is not included in the whole process and so participation is not always in order. The Merger Review Committee on Education also pointed to support for participation and governance. She wrote that there is a particular need for guidance, a non-commercial supporter, who is impartial and independent in helping to initiate dialogue, which provides help and direction, which does not judge but connects. The Minister does not consider such specific support necessary. Can the Minister explain why he thinks so? Mr President, a few technical questions. In primary education, a merger compensation scheme applies. The purpose of this scheme is to compensate for the continuing costs of a school merger after the merger. Because after a merger, instead of funding for two schools, funding for one school is received, while costs do not decrease at the beginning. Think, for example, of two different computer systems that may still exist side by side and both cost money. The previous cabinet doubled the merger compensation scheme as a measure to cope with drop in apprenticeships. The aim of the doubling was to stimulate cooperation between schools through this financial incentive. But the regulations stated that there is no merger if less than 50% of pupils go along. The regulations do not look at combining educational concepts, teaching methods and materials, premises, teacher teams, etc. So if 49% of pupils go along, the merger is not formally a merger and the fusion school does not receive the regular funding of that transfer 49%. That's what VOC/ABB pointed out to us. The SGP, which is not present today, mentioned this earlier. According to VOC/ABB there is unrest in the field, because there may still be many recoverys. Indeed, any merger in recent years with a maximum of 49% transfer of pupils could result in a recovery request. Would the Minister be able to respond to that? What exactly is this about? What's gonna happen now? Is there any way to recover? Is it true what VOC/ABB is sketching us? Mr President, I will conclude. It's clear. GroenLinks is not in favour of abolishing a merger test. Actually, it's a merger check, because it's a final check instead of a test. We believe that mergers in education should be considered very critically. We feel supported in this by a number of less good examples of recent years. Beyond that, we also find that a merger is not just something of the board. Teachers, students and parents should be able to participate and decide from the start, so that it is not signposted at the cross.
ParlaMint-NL_2019-09-05-tweedekamer-7.u48	Thank you, Mrs Westerveld. I call Mr Kwint of the SP.
ParlaMint-NL_2019-09-05-tweedekamer-7.u49	Thank you, Mr. Chairman. It's a bit of a sketch, that's what the cabinet made of this bill. The merger test in foundational education has already been dropped de facto. The institute that judged this test has already been dissolved. Even mergers investigations are no longer kept anywhere. Then it's actually gonna be some kind of review. In that respect, you feel a bit like Johan Derksen. That's not necessarily something I actively try to pursue: on Monday evening I grumblingly look back at what happened on the field the weekend before. That offers little perspective for seriously changing or stopping this law. Let's start with this question. I don't think it's a very good chance, but let's say that one of the Chambers makes a line through this law. What does that mean? Are we going to enter merger tests again immediately? Are we going to recreate the institution that has already been dissolved? What happens if this law is not passed? Before proceeding with the substantive treatment of this law, I think it would be good to consider the origins of the merger test. It can, before you abolish something, be no harm to think about why anything has ever been introduced. In the last decades of the last century and at the beginning of this century, the government has stimulated economies of scale in education. Mrs Westerveld just mentioned some figures on the evolution of pupils per school. Eenpitters came under pressure, more and more educational institutions clustered under the responsibility of a single board. The professional director was increasingly entering education. More and more educational institutions began to behave like glorified real estate farmers. Mbo institutions were merged into anonymous educational factories and had to be saved with tax money, because they weren't as good at real estate policy as they thought they were. It took tens of millions to cover the mismanagement of teachers with delusions of grandeur. That was tens of millions in taxpayers' money. The fat lease boxes entered education. They didn't make it better. Undoubtedly after that they got a nice supervisory function again, because that's how it goes. There was the Balkenende-IV cabinet. This was intended to prevent the self-estimating of some teachers at the expense of the continuity of education. That was not such a controversial position at the time, because the whole Chamber agreed. The whole Chamber decided to enter the merger test. In fact, the room increased the test. Where the cabinet proposed to do this only procedurally, the Chamber felt that it was also necessary to look at the substance of what is really useful and necessary for an education merger, because what we had done to the students and teachers in the MBO, for example, should never happen in the foundational education. Nine years later, the fusion test is dead and buried and we get to have a chat here at the cremation. I suspect that the parties who are now enthusiastic about abolishing the merger test, if you ask them, will all continue to pay lip service to the goals of the law at the time: clear educational institutions and short lines of decision-making. We just saw it, too. But the means of preventing this from getting further and further out of sight is being thrown into the compost heap of parliamentary history today, because, yes, if you want to test something, it takes a lot of effort. That's right. Yeah, trouble is annoying. The SP would like to see complaints in bureaucracy that lecturers would be remedied as quickly as the concerns raised by teachers. For example, teachers have for many years indicated that appropriate education is a burden on the file building, which they face on a daily basis, but they are constantly being referred forward to an evaluation that will take place in some time. If educators indicate that they find it complicated that they have to justify why an educational merger is a solution to a problem, then Mr Heerema said it is in the election programme of the VVD and ultimately in the coalition agreement. Where the Chamber was unanimous nine years ago about the need for a merger test, an alternative, whatever the alternative, a better test, a lighter test, a less burdensome test, is now unnegotiable. Because fusion tests, we can't do that anymore. I see Mr. Rog.
ParlaMint-NL_2019-09-05-tweedekamer-7.u50	I thought I'd let you finish your sentence first.
ParlaMint-NL_2019-09-05-tweedekamer-7.u51	I really appreciate that, Mr. Chairman. I appreciate that.
ParlaMint-NL_2019-09-05-tweedekamer-7.u52	But you are in the mood for a question from Mr Rog.
ParlaMint-NL_2019-09-05-tweedekamer-7.u53	Sure.
ParlaMint-NL_2019-09-05-tweedekamer-7.u54	I thought, "Shall I do it or not?" Because the socialist rhetoric is getting to us again, and that of course also belongs to a socialist party. But the lease box, the self-enriching directors, all the stories of Mr.Kwint, which of course applied to the top of Amarantis in the MBO. We are talking here about the fusion test for primary and secondary education.
ParlaMint-NL_2019-09-05-tweedekamer-7.u55	Sure.
ParlaMint-NL_2019-09-05-tweedekamer-7.u56	Can Mr Kwint give one example of a self-enriching driver in primary education who has a leasing car?
ParlaMint-NL_2019-09-05-tweedekamer-7.u57	In my view, at least last year, we had extensive debates about a director in secondary education who was exactly one euro under the beaming standard for a part-time relationship. I think we've moved into that together. I think it makes the President very unhappy when I mention the driver's name, so I shall leave that alone. The idea of such a test is, of course, to prevent future developments. Had we had a fusion test before, for example, the fusion wave had started in secondary vocational education, you could have prevented it. On the contrary, we want to prevent the scale and the accompanying professional directors who run it from entering primary and secondary education, or from entering primary and secondary education.
ParlaMint-NL_2019-09-05-tweedekamer-7.u58	I appeal to Mr Kwint to put the drivers in primary and secondary education away as self-enriching types with leasing cars. I asked him about one example in primary education. I note that Mr Kwint did not mention any examples; he had that opportunity. I don't think they're here either, so let's make that clear. I think that Mr Kwint should be aware that the way in which he puts the administrators and the education sector away does not do justice to what is actually happening. I fully agree with you: LVO went wrong, and that is scandalous. That's where I did hang out with you. But let us also point out where things go wrong. Don't put up an image like they're all themselves enriching types. Take a look at the largest school board we have in the Netherlands in secondary education, because that's what you were just talking about. That's OMO. There's no self-enrichment at the top. There is not one great megalomaniac state in which the driver decides how to do it at low level, at school level. There's individuality, small inside big. I would appreciate it if Mr Kwint would be a little more realistic in outlining the situation in primary and secondary education.
ParlaMint-NL_2019-09-05-tweedekamer-7.u59	That wasn't a question, it was more of a call.
