ParlaMint-NL_2019-09-26-tweedekamer-7.u1	This was requested by Mr Laçin. We'll suspend until the members are present.
ParlaMint-NL_2019-09-26-tweedekamer-7.u29	Mr President, three motions and one question. Firstly, a motion on the basis of yesterday's Remkes Committee's opinion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas, in order to protect our Natura 2000 sites, nitrogen deposition should be reduced;]] [[Whereas air traffic also contributes to nitrogen emissions;]] [[Whereas the Remkes Committee will address nitrogen policy in relation to aviation in a second opinion;]] [[Takes note of the additional opinion of the Remkes Commission that it would like to wait for decisions to be taken which would further increase aviation emissions,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the results of the RIVM study show that ultra-fine dust emissions from aviation lead to health damage;]] [[Whereas the Cabinet recognises the need to prevent the health damage of ultra-fine dust, as demonstrated by the fact that the aviation sector is being asked for an action plan and the Health Council for advice on standardisation;]] [[Whereas the adoption of enforceable standards will take some time but a standstill or equivalence principle may apply in the meantime;]] [[calls on the Government to establish as policy proposals that aviation emissions and exposure to ultra-fine dust should in any case not increase further,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Kröger, Mr Laçin, Mr Van Raan, Mr Van Brenk and Mr Stoffer.]] [[She's getting No. kst-31936-677]] [[This motion was tabled by Mr Kröger, Mr Laçin and Mr Van Raan. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31936-678]]
ParlaMint-NL_2019-09-26-tweedekamer-7.u30	Finally. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas in the past environmental impact assessments have not described ultra-fine dust emissions and only some of the CO and NO emissions by weighing only the emissions on the ground and the LTO cycle;]] [[Whereas this does not adequately describe and weigh the environmental, climate and health impacts of airport operations and aviation;]] [[calls on the Government to provide the Court with a more complete picture of the total CO, NO and (ultra) particulate emissions from airport operations and aviation for the purposes of the EIA,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Kröger and Mr Paternotte. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31936-679]]
ParlaMint-NL_2019-09-26-tweedekamer-7.u31	Finally, a question on the basis of this last motion. The Commission for the m.e.r. issued an opinion on the Plan EIA for the Aviation Note. In that, she says: take all the CO emissions into the Plan EIA for the Aviation Note. I would very much like a response from the Minister. Thank you, Mr. Chairman.
ParlaMint-NL_2019-09-26-tweedekamer-7.u32	Thank you very much. Then we will listen to Mrs Van Brenn on behalf of 50PLUS.
ParlaMint-NL_2019-09-26-tweedekamer-7.u33	Mr. Chairman. It's special how you can look back at a debate, because we weren't that excited at all. We thought it was a postponement debate. The answers were always said: it is coming in the future, we cannot talk about it now, it is too early and it cannot be done until the end of the year before the aviation note arrives. Maybe we're too impatient. It's possible. We see the Minister acting very quickly when this Chamber is recessed, but otherwise we have to wait and see. We have been promised information for the debate on Schiphol at sea. We want an answer to our question. Mr Hendrik Postma of the water builder Boskalis has indicated that a Schiphol at sea is possible in fifteen years. The Minister mentions a much longer period. Can I now expect in this promised letter that I will get the answer to the question of how someone who has experience says that it is possible in fifteen years and that the Minister says that will take a very long time? That's the answer I really want to see in that letter. I would also like to take advantage of this moment to clarify the incident that occurred on 6 September, when a plane almost started off the taxiway. I hope the Minister can say something about that. We've just heard that the VVD has a lot of confidence that if it expands, it's all safe. Security is on one, two and three, was said. We hold our hearts to growth plans and the Security Research Council really warns. Can the Minister reflect on this? Thank you, Mr. Chairman.
ParlaMint-NL_2019-09-26-tweedekamer-7.u34	Mr. Van Raan has another question for you, Mrs. Van Brenk.
ParlaMint-NL_2019-09-26-tweedekamer-7.u35	I should also recommend Mrs Van Brenk to read the conclusions of the OVV report again, as Mr Dijkstra said. In fact, you are expressing exactly what my little interrupting debate with Mr Dijkstra was about. It is true that there may be a safety concept that says that it is safe to 540, but that in practice, according to the OVV, who investigated it, Schiphol is not unsafe up to 500,000? Isn't that right? We read that conclusion together in that report, didn't we?
ParlaMint-NL_2019-09-26-tweedekamer-7.u36	Sure. That is why I am concerned about the extension to 540, or no, 400 000. The VVD says that this can be done easily and that it can go even further. As far as we're concerned, it's njet. Safety first.
ParlaMint-NL_2019-09-26-tweedekamer-7.u37	Clear. We are going to listen to Mr Graus. He speaks for the PVV.
ParlaMint-NL_2019-09-26-tweedekamer-7.u38	Thank you, Mr. Chairman. I don't have a motion. That is quite unique to me in an aviation debate. I know that negotiations are currently taking place between the government and the French regarding the safeguarding of KLM's interests, including the interests of the Siamese twins Schiphol. I also know that you have to let a chicken breed quietly, otherwise things can go wrong. But there are also clever foxes lurking to take the egg. We need to take action against that. All these years I have been an aviation spokesman, I have warned against the French and the mentality of the French, especially towards us, Dutch cheese heads. Look at what happens when it comes to paintings. Look at what happens when it comes to pulse trawling. That's the best way to fish, where animals are also sedated. It is the best and most animal-friendly way of fishing that exists, insofar as you can speak of "animal-friendly" here. Everything is basically ruined by the French. We are simply not a good friend country of France: we have to be very honest about that. The same thing is happening with KLM now. For many years, I have said again and again behind the speaker's chair: we let ourselves eat the primeval Dutch cheese of cork-dry, dirty French baguette. I'm really worried about what's happening right now. We're a little more stockholder now. That's right. As far as PVV is concerned, we should have been a wholly shareholder of KLM, KLM should have just been a state-owned company. I'm very worried about what's happening, including saving it with a vacation pilot. We have to wait and see how that's all gonna work out. The Minister is also involved in these negotiations. I wish her a great deal of wisdom, but I would also ask her to act harder. Make sure that MoU, that those agreements in the memorandum or understanding do not lead to the transfer of jobs or the cash. And we need to maintain the hub function and employment. That is of national importance. Cherish that and negotiate it with the fist on the table. Because then we may get some respect, something we haven't received from the French for years now. There will have to be more action. I have already said in the NIS: if necessary, we must use the King and the Prime Minister. We must fight this much harder and we must not let the cheese of bread eat us. Thank you, Mr. Chairman.
ParlaMint-NL_2019-09-26-tweedekamer-7.u39	Thank you. Then we will listen to Mr Bruins. He speaks for the Christian Union.
ParlaMint-NL_2019-09-26-tweedekamer-7.u40	Mr. Chairman. I thank the Minister for the answers she gave during the AO Aviation. I expect one more letter with answers to a number of complicated technical questions that I asked during the debate. My question to the Minister is whether, if possible, I could get those answers before the vote. Or is that gonna take longer? I'd like to hear about the timing of that letter. I've got one motion left to the AO. I'd like to submit it now. The observation in the motion is a quote from what the Minister said during the AA. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas an independent agency has established an alternative SMEA for Lelystad Airport;]] [[noting that the recent discussion has shown that in the field of aviation, the principles and guidelines for SMEA are not complete and unambiguous in all respects;]] [[calls on the Government to identify and examine how the principles and guidelines for SMEA, including guidance on growth, in the field of aviation can be specifically improved and specified, and report to the Court,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Bruins and Mr Paternotte. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31936-680]]
ParlaMint-NL_2019-09-26-tweedekamer-7.u41	Mr. Chairman. I only have one motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that air traffic on, to and from Schiphol causes lower air quality for workers and residents;]] [[calls on the Government to adopt an ambitious approach in the Aviation Paper to significantly improve air quality around Schiphol,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Paternotte, Mr Kröger and Mr Amhaouch. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31936-681]]
ParlaMint-NL_2019-09-26-tweedekamer-7.u42	Mr. Chairman. I have a few more questions. I do not think it has been mentioned yet, but the Minister landed this morning after an extremely useful visit to Montreal, where she was at the ICAO Congress. I would ask her to send us a report on this with any results. Now that memory is still fresh, I think this is a very good time to ask a few questions, also because the Minister has been at a climate adaptation event and margin of the United Nations General Assembly. Can she tell us what progress has been made in making aviation more sustainable? My particular interest is in the progress made in getting the whole world to talk about the introduction of kerosene excise duty, or at least lifting the ban on it. That's question one. Question two is whether the Minister can send us a new planning letter with regard to the adoption of Airport Traffic Decrees 1 and 2 for Schiphol, given that there will be some delay here due to the current situation regarding nitrogen oxide. Those were my questions, Mr. Chairman.
ParlaMint-NL_2019-09-26-tweedekamer-7.u43	This will put an end to the Chamber's term. The Minister has indicated that she wants to suspend ten minutes because of the 17 motions that have been tabled. So we're gonna suspend for ten minutes and then we're gonna listen to the Minister's answers.
ParlaMint-NL_2019-09-26-tweedekamer-7.u44	I give the floor to the Minister of Infrastructure and Water State to respond to the 17 motions.
ParlaMint-NL_2019-09-26-tweedekamer-7.u45	Yes, Mr President, and a fair number of questions. If you'll allow me, I'd like to answer them first and then pass the motions one by one. I'll try to be as brief as possible. I can't do it in the staccato, at the machine gun rate of Mr Van Raan, but I'm going to try to do it quickly. A question from Mr Amhaouch: would you like to send a letter about flying and nature permits within four weeks? The answer to that is yes. Mrs Kröger's question: the Commission for the Environment. asked for all CO2 emissions to be included in the plan...
ParlaMint-NL_2019-09-26-tweedekamer-7.u46	Finish your sentence. Maybe there'll be a good answer.
ParlaMint-NL_2019-09-26-tweedekamer-7.u47	She'd like a reaction to that. The answer to this is that the Commission's opinion on the M.E.R. CO has been taken over. You can see that in the preparation of the Aviation Note.
ParlaMint-NL_2019-09-26-tweedekamer-7.u48	Mrs Kröger, briefly.
ParlaMint-NL_2019-09-26-tweedekamer-7.u49	On the first point, the question was whether we could actually look forward to the letter on the absence of the natural law permits for all airports for the budget treatment of IenW.
ParlaMint-NL_2019-09-26-tweedekamer-7.u50	We're gonna try, but I'm not sure that's gonna work. Those four weeks should be feasible. Three might be tight. But we're gonna do the best we can.
ParlaMint-NL_2019-09-26-tweedekamer-7.u51	You...
ParlaMint-NL_2019-09-26-tweedekamer-7.u52	Fine. On the second point, therefore, we understand from the Minister that all CO emissions in the PlanMER for the Aviation Note are in line with the Commission's opinion on the M.E.R. Is that what you're talking about?
ParlaMint-NL_2019-09-26-tweedekamer-7.u53	What is the Commission's position on this matter? advises us on CO will be taken into account in the run-up to the Aviation Note. We'll take that advice.
ParlaMint-NL_2019-09-26-tweedekamer-7.u54	Please continue.
ParlaMint-NL_2019-09-26-tweedekamer-7.u55	Mr Dijkstra asked questions about the demolition areas, about the complexity of destination planning in the area around Schiphol. He asked if we could play a part in that. I'd be happy to. We had of course also sent an advice request to the ORS about the relationship living-flying. It is going to live wider than alone, but I am now looking with BZK's colleague, also in close consultation with the municipalities there, to see if we can no longer focus on what can be done, rather than just what can not be done. So we're talking about whether there's any customization there.
ParlaMint-NL_2019-09-26-tweedekamer-7.u56	Mr Dijkstra referred to a safety concept of 540,000. We just had a little debate on that. The OVV report says that Schiphol is not unsafe up to 500,000. That was one of the conclusions of the Security Research Council. Does the Minister endorse the conclusion that it is not unsafe up to 500,000? And does she agree that the security concept referred to by Mr Dijkstra is up to 540,000, but that it has nothing to do with security in concrete terms, which was the subject of the OVV report?
ParlaMint-NL_2019-09-26-tweedekamer-7.u57	The NLR report indicated that you cannot go beyond 540,000 within the current concept. The OVV has indicated that the situation at Schiphol Airport is not unsafe. The OVV has not attached a hard limit of 500,000 ash such, so of "if you only have one above it, then it is equally unsafe." That's not how we read the report.
ParlaMint-NL_2019-09-26-tweedekamer-7.u58	Then I conclude that for a very large part that is correct, except for the last part. It actually went up to 500,000. It is good if we then perhaps have a separate debate on this, because it is certainly not that it was over 500,000.
ParlaMint-NL_2019-09-26-tweedekamer-7.u59	This was subject to a number of conditions by the OVV, all of which must be resolved before further growth could occur. But it's not like Schiphol is unsafe right now if there's only one more flight. That's the hard line I want to get out of. But you are right, in my opinion, we do not disagree at all, if you mean that all recommendations must be followed before you can proceed to further growth. The OVV didn't make those whole row of recommendations for nothing. I can see Mr Paternotte at the interrupting microphone. I have promised the Chamber several times that this must first be evaluated and assessed and that it will only then be discussed.
ParlaMint-NL_2019-09-26-tweedekamer-7.u60	We are not going to repeat the debate or have a whole debate on figures, because we only have half an hour in front of it. Short.
ParlaMint-NL_2019-09-26-tweedekamer-7.u61	But no one has claimed that it would not be safe for one extra. That's what the minister's making it, but that's not im Frage at all.
ParlaMint-NL_2019-09-26-tweedekamer-7.u62	Then I take that back. I thought you were suggesting that it would go completely wrong right away, and I wanted to take that away, too, but fortunately we agree on this. Mr Bruins asked when the letter of inquiry was due to answer all his technical questions. That is not possible before the vote, as you asked. That's too fast. It's too complicated for that. Of course, you also want a careful answer, knowing you. So that really needs a week or two or three, but at least we are going to try to get that for the budget treatment with you. Mrs Van Brenk asked a question about the incident involving Transavia's aircraft that wanted to take off the taxiway. Fortunately, air traffic control has intervened in time and the aircraft has been able to respond. The incident was also reported to the OVV. I'm waiting for the O.V.V.'s investigation. The ILT also has contact with all parties. Then Mrs Van Brenn asked another question about Schiphol in the sea. In preparation for the debate on this subject, she asked: can you indicate how it can be put on the one hand that it can be done in 15 years, when we think it will take much longer? I would like to say to you in the letter that I have promised you to explain specifically what that difference is, what it is in.
ParlaMint-NL_2019-09-26-tweedekamer-7.u63	I would also like to know from the Minister if she has any insight into it when the ILT and the OVV have looked at that incident and when we will hear something.
ParlaMint-NL_2019-09-26-tweedekamer-7.u64	If I get any information on that, I'll be happy to share it with you. But I don't know this at the moment, because the OVV is very busy right now. The OVV has just been conducting a lot of investigations. I can't answer that. Mr Paternotte asked about the planning of LVB-1 and LVB-2, because the current problem would cause some change. I would like to assure you that I will send you a new schedule, but with the remark that I cannot do that tomorrow. Of course, we still have wide-ranging decision-making in the government on the problem of nitrogen. It could affect it. In any case, we will soon be able to provide you with some basic information. Mr Paternotte also asked about the results of the ICAO Assembly. As you know, it's not over yet. I did address the plenary and made a warm plea for sustainability in the broad sense. I cannot yet report the result if our Dutch candidate, for example, is on the board. That's only Saturday. You specifically asked for the reinforcement of CORSIA. That is what we have really emphasised in our plea. We will inform you a little more later, but I also spoke with the Swedish colleague, for example, and we agreed together that Sweden and we will form a pioneering group. So the first collaboration is there. It's just the two of us now. We are going to look further together, also towards the new Commissioner if there is, how we can move that forward at European level. But at least we have already agreed to this with Sweden in order to pick it up. Then those were the questions, I thought.
ParlaMint-NL_2019-09-26-tweedekamer-7.u65	That pioneering group sounds like a good start. So that's a pioneering group in the field of the pricing of consumption, i.e. kerosene excise duty?
ParlaMint-NL_2019-09-26-tweedekamer-7.u66	Yes, specifically as you have asked, what can we do on the site of Chicago 1944?
ParlaMint-NL_2019-09-26-tweedekamer-7.u67	Okay, good.
ParlaMint-NL_2019-09-26-tweedekamer-7.u68	By the way, we have also handed over to all those present a beautiful book on the history of ICAO and what it was all intended for. I think this gives people a little goodwill to start that conversation with us.
ParlaMint-NL_2019-09-26-tweedekamer-7.u69	Good. I would, of course, like to read later in the report on the successes of your contact with the President of the Marshall Islands at the United Nations, but that will come later, as far as I am concerned.
ParlaMint-NL_2019-09-26-tweedekamer-7.u70	Mr. Graus.
ParlaMint-NL_2019-09-26-tweedekamer-7.u71	Mr. Chairman, just a moment. Then you won't have any trouble with me for the rest of the evening, because I didn't file a motion. However, I have asked for everything agreed in the MoU to be legally guaranteed. "MoU" stands for "memorandum of understanding." For the people at home: that's a rag, a beer skin. That's right; that's all it is. When I was on the De Wit committee, it also turned out that a MoU is nothing at all. So I've been asking you for years, and now I'm asking you again to make sure that everything is legally secured and legally anchored. Legally guarantee the national interest: no transfer of jobs and of the greenhouse, maintaining the hub function, and the interests of KLM and thus also of Schiphol.
ParlaMint-NL_2019-09-26-tweedekamer-7.u72	Mr Graus is right: I forgot to respond. I recognize his plea, because he's really strong on that. He himself mentioned something about a brooding chicken. When it comes to governance, Mr Hoekstra looks at it in particular. As far as the state guarantees are concerned, I'm looking at it. But we're still talking about that. I hope, of course, to be able to report good results on this. Mr. Chairman. I think I've answered the questions by now. I'm getting to the motions. The first motion, the one in part No. 665, by Mr Laçin. He asks us to instruct RIVM to include workers at Schiphol Airport in the ongoing research into the effects on health of long-term exposure to ultra-fine dust. I have already indicated in the AO that I very much support that idea. I would ask Mr Laçin to keep this motion pending the investigation, because I have to check it first at RIVM and Schiphol is already working on it. So if you have any patience with that, I can give you an answer as soon as possible.
ParlaMint-NL_2019-09-26-tweedekamer-7.u73	That's not the answer I was hoping for, because I thought we'd already tapped this in the AO a little bit. I thought the minister said, "I have no objection to that." RIVM said in the technical briefing the week before that it is obvious to include employees in the investigation. This motion merely asked the RIVM to give the formal order. The investigation is still going on for two years. So why can't this just happen now?
