Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2019-12-03-eerstekamer-7	ParlaMint-NL_2019-12-03-eerstekamer-7.u1	Report of the meeting of the Dutch Upper House, Meeting 10, Session 7 (2019-12-03)	2019-12-03	Upper house	Meeting of the 36th Eerste Kamer	Session 7	Meeting 10	Sitting 2019-12-03	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2019-12-03-eerstekamer-7	ParlaMint-NL_2019-12-03-eerstekamer-7.u12	Report of the meeting of the Dutch Upper House, Meeting 10, Session 7 (2019-12-03)	2019-12-03	Upper house	Meeting of the 36th Eerste Kamer	Session 7	Meeting 10	Sitting 2019-12-03	-	Reference	English	Regular	notMP	Minister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	WopkeHoekstra	Hoekstra, Wopke	M	1975	
ParlaMint-NL-en_2019-12-03-eerstekamer-7	ParlaMint-NL_2019-12-03-eerstekamer-7.u13	Report of the meeting of the Dutch Upper House, Meeting 10, Session 7 (2019-12-03)	2019-12-03	Upper house	Meeting of the 36th Eerste Kamer	Session 7	Meeting 10	Sitting 2019-12-03	-	Reference	English	Regular	notMP	notMinister	PvdD	Partij voor de Dieren	Opposition	Left	NikoKoffeman	Koffeman, Niko	M	1958	
ParlaMint-NL-en_2019-12-03-eerstekamer-7	ParlaMint-NL_2019-12-03-eerstekamer-7.u14	Report of the meeting of the Dutch Upper House, Meeting 10, Session 7 (2019-12-03)	2019-12-03	Upper house	Meeting of the 36th Eerste Kamer	Session 7	Meeting 10	Sitting 2019-12-03	-	Reference	English	Regular	notMP	Minister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	WopkeHoekstra	Hoekstra, Wopke	M	1975	
ParlaMint-NL-en_2019-12-03-eerstekamer-7	ParlaMint-NL_2019-12-03-eerstekamer-7.u15	Report of the meeting of the Dutch Upper House, Meeting 10, Session 7 (2019-12-03)	2019-12-03	Upper house	Meeting of the 36th Eerste Kamer	Session 7	Meeting 10	Sitting 2019-12-03	-	Reference	English	Regular	notMP	notMinister	PvdD	Partij voor de Dieren	Opposition	Left	NikoKoffeman	Koffeman, Niko	M	1958	
ParlaMint-NL-en_2019-12-03-eerstekamer-7	ParlaMint-NL_2019-12-03-eerstekamer-7.u16	Report of the meeting of the Dutch Upper House, Meeting 10, Session 7 (2019-12-03)	2019-12-03	Upper house	Meeting of the 36th Eerste Kamer	Session 7	Meeting 10	Sitting 2019-12-03	-	Reference	English	Regular	notMP	Minister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	WopkeHoekstra	Hoekstra, Wopke	M	1975	
ParlaMint-NL-en_2019-12-03-eerstekamer-7	ParlaMint-NL_2019-12-03-eerstekamer-7.u17	Report of the meeting of the Dutch Upper House, Meeting 10, Session 7 (2019-12-03)	2019-12-03	Upper house	Meeting of the 36th Eerste Kamer	Session 7	Meeting 10	Sitting 2019-12-03	-	Reference	English	Regular	notMP	notMinister	50PLUS	50PLUS	Opposition	Centre	MartinvanRooijen	van Rooijen, Martin	M	1942	
ParlaMint-NL-en_2019-12-03-eerstekamer-7	ParlaMint-NL_2019-12-03-eerstekamer-7.u18	Report of the meeting of the Dutch Upper House, Meeting 10, Session 7 (2019-12-03)	2019-12-03	Upper house	Meeting of the 36th Eerste Kamer	Session 7	Meeting 10	Sitting 2019-12-03	-	Reference	English	Regular	notMP	Minister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	WopkeHoekstra	Hoekstra, Wopke	M	1975	
ParlaMint-NL-en_2019-12-03-eerstekamer-7	ParlaMint-NL_2019-12-03-eerstekamer-7.u19	Report of the meeting of the Dutch Upper House, Meeting 10, Session 7 (2019-12-03)	2019-12-03	Upper house	Meeting of the 36th Eerste Kamer	Session 7	Meeting 10	Sitting 2019-12-03	-	Reference	English	Regular	notMP	notMinister	50PLUS	50PLUS	Opposition	Centre	MartinvanRooijen	van Rooijen, Martin	M	1942	
ParlaMint-NL-en_2019-12-03-eerstekamer-7	ParlaMint-NL_2019-12-03-eerstekamer-7.u20	Report of the meeting of the Dutch Upper House, Meeting 10, Session 7 (2019-12-03)	2019-12-03	Upper house	Meeting of the 36th Eerste Kamer	Session 7	Meeting 10	Sitting 2019-12-03	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2019-12-03-eerstekamer-7	ParlaMint-NL_2019-12-03-eerstekamer-7.u21	Report of the meeting of the Dutch Upper House, Meeting 10, Session 7 (2019-12-03)	2019-12-03	Upper house	Meeting of the 36th Eerste Kamer	Session 7	Meeting 10	Sitting 2019-12-03	-	Reference	English	Regular	notMP	Minister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	WopkeHoekstra	Hoekstra, Wopke	M	1975	
ParlaMint-NL-en_2019-12-03-eerstekamer-7	ParlaMint-NL_2019-12-03-eerstekamer-7.u22	Report of the meeting of the Dutch Upper House, Meeting 10, Session 7 (2019-12-03)	2019-12-03	Upper house	Meeting of the 36th Eerste Kamer	Session 7	Meeting 10	Sitting 2019-12-03	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
