ParlaMint-NL_2019-04-04-tweedekamer-8.u1	We will continue the debate on social support.
ParlaMint-NL_2019-04-04-tweedekamer-8.u12	For these people, the situation could be slightly different. That's what we're worried about. Can we still deal with these people well enough? Does the Minister recognise this concern and how does he intend to deal with it?
ParlaMint-NL_2019-04-04-tweedekamer-8.u13	I know that concern because I've heard the sounds about it. And at the same time I think that in the essence of the Wmo it is precisely decided that the municipality has the legal mandate to come up with customization, to come up with an appropriate solution in every individual situation. So whether it is a customization or a general provision, you always come back to the question of whether this is an appropriate solution. I think that municipalities themselves should decide which part of the facilities they will be included in the tailor-made provision and which part of the general provision. Initially, there was a fear that this might lead to more general provision being made because of the subscription rate. That is why we have said that this also applies to the general provisions in which there is a lasting relationship between aid and aid. Even so, of course, you could have something that's a little bit on the dividing line. I have a few things to say to that. First of all... Imagine if you didn't come out. Suppose, for example, that you use a general provision and that your own contribution to that general provision is such that you would not be able to pay it. At that point, the conversation should be about whether that is a suitable solution for you or for you. In the end, you always have the opportunity to apply for customization. Second. We have referred to the sustainable relationship of aid in the law, and in the explanatory statement we have also referred to the sustainable relationship of aid. We are doing so now, as we are having this debate, because that is all part of the legal history. In the end, however, this choice will also have to be made at local level. I think it would be wise to work together with the UNG so that, in the future, if the regulations are amended, we can sit down with municipalities to see what dilemmas there are and how we could deal with them. This is the best guidance we can give right now. I have just outlined the dilemmas that have led to this and why we have come up with this. There is always a legal guarantee for people if their own contribution to a general provision would result in it no longer being an appropriate provision. In addition, we must help the municipalities to develop in the coming period.
ParlaMint-NL_2019-04-04-tweedekamer-8.u14	Luckily, that guarantee was already there. But I am concerned about this, precisely because it may be a vulnerable group. I am talking, for example, about the appropriate daily spending and daily spending activities. Some people need a lifetime of daily spending to support their lives. This could turn out to be negative for that particular group. It will be a general provision, of which the municipality will indicate in general terms: there is no sustainable relationship between aid workers. But it could be different for this group. I hear what the Minister says, but the whole idea of the subscription rate is precisely to accommodate vulnerable groups. They may fall out of the boat at this point. I think it's a little careful.
ParlaMint-NL_2019-04-04-tweedekamer-8.u15	The daily use is a good example of why it is not so easy to put this into law. Imagine if we were to say: we put the daily spending in the law as part of the subscription rate. There are daily spendings in a lot of forms. You have daily spending in the form of an Alzheimer's Café or in the form of a walk-in facility for people with an addiction. These are the more incidental day-to-day spending facilities. But there are also the examples that you describe, where Mr or Mrs goes to daily consumption every Tuesday and Thursday morning. In the latter case, I would say: yes, that is a lasting relationship of aid workers and so it is part of the subscription rate. But in that first case I would say: no, that is more of an occasional form of daily spending. That is not something we could dictate nationwide. What we can do is to help municipalities complete the choice of whether or not something is covered by the subscription rate. Is there a lasting relationship between aid workers or not? In any case, what we have as bail, I think that is very important is the legal mandate to municipalities to always make it possible for people to apply for a tailor-made provision. Imagine that your own contribution would be too high for people, because it's outside the subscription rate. The municipality is then obliged to offer the provision in a tailor-made facility, if appropriate care is involved.
ParlaMint-NL_2019-04-04-tweedekamer-8.u16	Let's continue on this last point. I believe that we must prevent people from having to regain their rights, appeal again, object and go to court. We've had a lot of discussions about what "usual care" is. It would be nice if we could avoid that with this debate. I understand that there must be some freedom, but still the question of what this'sustainable aid relationship' is. The Minister states that it should not be incidental. You can have a discussion about that, because do people have to go very often, or is it also the case when they go periodically? That's the kind of discussion you get. I would like to ask the Minister to explain this a little more. Would it not also be important to point out that this is something that is specialised, for example? "Incidentally" sounds a bit less often than "periodic," I say.
ParlaMint-NL_2019-04-04-tweedekamer-8.u17	I can see what's bothering you, the dilemma you're sketching. We also had this same dilemma at the design table. You want the group that relies on such a provision to make regular use of it. We see that as part of the subscription rate. At the same time, the subscription rate should help people, not the wrong way. If you go anywhere once a month, once a quarter or once a year, you are not helped with a subscription rate. Then you'll probably be helped with just your own contribution for the coffee or whatever at the time you're there. If you use a transport facility once a month, occasional transport, it is better if it is outside. We have finally come to terms with the concept of'sustainable aid relationship' because we believe that this is the closest thing to what we are looking for. If you call it the "specialised aid relationship," it clearly demands the type of aid that is provided. And what is specialized and what isn't? You'll get into definition issues pretty soon. In fact, our conclusion has been that the first thing we have to do is not simply distinguish between customization and general provision. That is not the striking distinction when it comes to the question of who it should be for and who it should not be for. We need to come up with a different definition: tailor-made provision anyway, and that part of the general provision where this sustainable aid relationship is involved. Furthermore, it must take shape in regulations. That will, of course, help us to find the precision in it. That's what we do with the VNG. There are undoubtedly many examples that we have not yet thought of. It's always like that. The art is to solve it as well as possible, and we will facilitate it. As I have just said to Mrs Ellemeet, there is always a guarantee that, if a general provision is not adequate, it will be possible to move towards a tailor-made provision.
ParlaMint-NL_2019-04-04-tweedekamer-8.u18	But what is "sustainable" is of course personal as well. I have a subscription at the library. I go more often, but what if I go twice a year? Still, I think I have a lasting relationship with the library. It is also important in the question of what to mean by "sustainable" to move into the clients, so that they do not have to engage in that discussion. I can see some movement in this debate. You spoke first, I say through the chairman, of 'incidental', but now you are talking about'some regularity'. I translate that again as a "periodic" and I see that again as "sustainable." This is all part of the legal process, so I would like to ask the Minister to be more specific about what he means by a'sustainable aid relationship'.
ParlaMint-NL_2019-04-04-tweedekamer-8.u19	I was about to do an exorcism: I have a subscription at the gym, but if you see how low-frequency I use it, you should actually call it more of a donation; I get there occasionally. I would have said that this should not be included in the subscription rate. But that's not what our gym does. So I understand your question very well. There is a limit to the precision with which the question can be answered from this house, I think. If we pursue more precision, it will become less functional and we will probably not do exactly what we all want, namely to see the implementation of the law through the eyes of clients. That's what this is about. With that notion on the retina, we have looked at this execution: not only the customization facilities, but also a part of the general provisions, not all of them, because that does not help clients. So we have to look at it from the point of view of the clients. Then we have that part of the customization that you use somewhat structuralally, which you really rely on, that is really a response to the care question you went to the municipality with. That concern question is simply judged by the municipality as it is always judged. The question is: what is your concern? Can you fix it in your own network? What could you possibly mean yourself? Is this a common form of support, or do you really need the help of the municipality? If the answer to that last question is yes, then in principle you have a legal right to that support. Then it will be checked whether it is covered by the subscription rate. Whether or not it is covered by the subscription rate does not, therefore, depend on whether it is a tailor-made provision or a general provision. In any case, it applies to a tailor-made provision and to all the other provisions which refer to what we have called a'sustainable aid relationship'. This will have to be specified in a regulation, since different types of WMO support are being purchased in different municipalities. We cannot therefore draw up a long list of what is and is not covered; that is impossible. This is specified in a regulation at municipal level. Local councils have a say in this. Local Councils are likely to also involve client organisations. But whatever we do, I have just said that in the direction of Mrs Ellemeet, we are working together with the UNG to support municipalities.
ParlaMint-NL_2019-04-04-tweedekamer-8.u20	The minister has no lasting aid relationship with the gym.
ParlaMint-NL_2019-04-04-tweedekamer-8.u21	That's what you remembered from this answer?
ParlaMint-NL_2019-04-04-tweedekamer-8.u22	I think people who listen to this debate remember that.
ParlaMint-NL_2019-04-04-tweedekamer-8.u23	I think more clarity is needed about the daily spending. I find it very difficult to explain to people that if you go to daily spending regularly, weekly, periodically or in any event, you are covered by the subscription rate, but that may not apply in an occasional case. I think it is very important that people who receive family care at home, for example from a partner, can simply go to day work if that partner is sick and can give less care for a month, and that they do not have to pay the top price. Maybe it already is; then I just didn't get it right. But is it the case that people who make use of the same facility once, a few times a year or no matter how often, that is unpredictable, will never pay more than that €19 per month? Or am I wrong about that?
ParlaMint-NL_2019-04-04-tweedekamer-8.u24	It depends a little bit on it, but in the example you give, I assume that someone with a tailor-made provision in that month who stays in the hospital, for example, can simply go to a day's spending. In this case, this is probably just a customised provision. But if there is the community center on the corner, where you occasionally walk in and where the cost, the own contribution you have to pay, is the euro for the cup of coffee, then again it doesn't make any sense to catch that under the subscription rate. I think we should always have the client's perspective in mind. In the first mode of your example, it makes sense, because that is probably about a reasonable cost. That day-to-day spending is probably just indicated day-to-day spending. In the second case, it is precisely about a very low cost and it will only become more expensive if it is covered by the subscription rate. So you have to look at it from the client's point of view, I think. That makes it so difficult to draw up a list nationally, because the implementation procedures and what is appropriate in an individual situation are not easy to look at from here. It is precisely the task of municipalities to achieve this together with clients and their relatives.
ParlaMint-NL_2019-04-04-tweedekamer-8.u25	I couldn't agree more. I am only concerned that we can agree here, or at least let the municipalities know, that one cannot be expected to pay a lot more than the other for the same form of daily spending. Everybody gets that cup of coffee. I am concerned that, if you occasionally call on the daily expenditure, for example because the household care has fallen temporarily, you are not going to pay much more that the subscription rate of €19, which is always the maximum. That's all I care about.
ParlaMint-NL_2019-04-04-tweedekamer-8.u26	That's right. In the case of customization, that will be the case, yes.
ParlaMint-NL_2019-04-04-tweedekamer-8.u27	A great deal has now been said about sustainable aid relations, implementation methods and periodic versus occasional. Is following how municipalities implement this and how it works, in the monitor?
ParlaMint-NL_2019-04-04-tweedekamer-8.u28	Yes. I'll be at the monitor in a minute. It's absolutely in there. I shall come back to that in detail. There is a great concern here, for example with client organisations. Initially, the concern was: o, but it could be that some of the tailor-made facilities are shifted towards general facilities. That's why it's important to make that part of the monitor. However, there were more concerns about it, also about how municipalities deal with the definition issue, so we have included it in the monitor. Mr. Chairman. I think I've had the most important questions with this, but I'll check it out. No, because Mrs Bergkamp, for example, asks whether house adjustments, such as a toilet adjustment, are also covered by that subscription rate. The answer is yes, because that is actually a tailor-made provision. How can you subscribe to a toilet, you'd say. This has to do with the fact that the own contribution should never exceed the cost. In the end, that will not happen. Then it will be a subscription rate for so many months until the cost is set.
ParlaMint-NL_2019-04-04-tweedekamer-8.u29	So you're saying that increasing the toilet is always customized and therefore standard part of the subscription rate?
ParlaMint-NL_2019-04-04-tweedekamer-8.u30	Yes.
ParlaMint-NL_2019-04-04-tweedekamer-8.u31	Okay, clear.
ParlaMint-NL_2019-04-04-tweedekamer-8.u32	Yeah, I guess I've had the most important questions right now. I move on to the next sub under the first block and that's the difference in '19 and '20. A number of questions have been asked in response to the letter from the National Ombudsman, which says: in 19 there is a lack of clarity, because domestic aid is now covered by the subscription rate in some municipalities and not in some municipalities. That's right. The background to this is precisely the distinction between tailor-made services and general services. There are a number of municipalities which have made domestic aid part of the general provision. We have already decided to take a step towards reducing the accumulation of healthcare costs, after consulting the Chamber on this matter. We could only do that on a tailor-made basis. Indeed, in order to do so, some of the general provisions require a change of law. The hook that is now in the law to do something about these own contributions at AMvB was only about customization. We couldn't break that line. I do see what the effect of this is, namely that if the coincidence in practice is that municipalities have opted for a general or a tailor-made provision with certain support, then you get something that is difficult to explain to people. So I fully sympathise with what the Ombudsman has found. We knew it before. There are also lessons to be learned from this: Mrs Luck, Mr Segers, Mr Kerstens and Mr Geleijne. We have already taken that lesson with the bill, namely that you can leave it not only with customised services, but that you also have to include some of the general provisions in the subscription rate, because otherwise it is impossible to explain. We had this clarified on the website of the CAK and on Rijkssoverheid.nl. From 2020 onwards, we will be clear of this ambiguity.
ParlaMint-NL_2019-04-04-tweedekamer-8.u33	Excuse me, but just a moment about the previous point. We were just talking about raising the toilet. That would be custom-made and would therefore be covered by the subscription rate. There are municipalities that say: we do not reimburse it; we do not see it as customisation or provision. Does the Minister think that that is possible, that that is a correct interpretation? Or is there an omission in that, looking at the municipalities that deal with it like that?
ParlaMint-NL_2019-04-04-tweedekamer-8.u34	It's about an individual situation, so it's at the risk of me sitting on the judge's seat: I would think the following, just looking at the law. Suppose you come to a municipality, need support to stay home longer and need a number of home adjustments. One of those house adjustments may be that you need to adjust your toilet or that brackets need to be screwed into the wall. There are all kinds of variants conceivable. The municipality will then have the same conversation as the conversation she always has, namely: can you do it yourself or is there someone in the network who can do something for you? If that is not the case, so if it is a legitimate question in the direction of the municipality, then the municipality will indeed have to make that adjustment. Yeah, that just seems to me to flow from the law. This debate is often about tools and what is "a common provision." That's what the discussion is about a lot. For example, it's about a walking stick. Is that a Wmo facility or is that just something people buy from a certain age? It is very clear that the latter is the case. So that's not necessarily a WMO facility. Then the subscription rate and the pause of the payment, the pause of the own contribution. That question was raised by Mr Hijink in particular. That's not such an easy question at all, because I understand it very well. On that point, too, you want a certain clarity and predictability to come from when you pay and when you don't pay. I'll get to the amendment in a minute, but I'll do it all the way to the end. You also said that you would like to settle this by default. I understand that wish very well. We can see that at the moment there are quite some differences between municipalities about when an own contribution is started or stopped and that these differences are not properly explained at all. We are already in agreement with the municipalities that we are going to work towards greater clarity with regard to "start" and "stop." I do not rule out that at some point we will also have to record that in an AMvB. We have deliberately chosen not to do so before 1 January 2020, because it could be so complex in its implementation that it might slow down the legislative proposal as a whole. So we have said: municipalities simply do this in their own regulation, as municipalities have just regulated it in their own regulation now, but we are working together with municipalities to make it more unambiguous in the definitions. When do you start and when do you stop? In order to be able to record this at any time, for example in an AMvB. That's one. Two. Mr. Hijink's question was especially when you could press "pause." I just had to do an exorcism on the point of the amendment on the gym. The idea behind the amendment is precisely that the payment goes through and that there is a less linear link between the care provided and the payment. Mr Hijink probably says: if during the summer holidays a provider cannot deliver because of staff issues during the holiday period, as it turned out last year, is it weird that you then have to pay? Yeah, I get that. Then it is indeed weird that you have to pay for it, but we also have continuity when people are on holiday or when people say: I don't really want a replacement during the holiday, because I just want my regular help; if it comes back from vacation, it's fine and I'll do a few weeks without help. Then I find it less logical to press the pause button. So here too, I think that we should look with municipalities to see if we can achieve more clarity, but I would not like to argue at this time, but in my view, next year, that this should be laid down in the law. I could imagine that, at some point, there could be some kind of provision that would work everywhere, in every municipality. I am afraid to anticipate whether this will also be possible with regard to 'pause'. So I think we should just leave this to the municipalities for a while.
ParlaMint-NL_2019-04-04-tweedekamer-8.u35	In my view, we are talking about the same thing, namely the holiday periods in which the provider does not deliver, which means that people are actually put in the cold and then have to pay their own contribution. I don't think anyone wants that. The minister says we're gonna settle that at a later date by AMvB. All of that is fine with me, but if I am right, this AMvB will not be submitted to the Chamber in advance. It seems to me a good idea that we can discuss this here. Then I can freeze that amendment for a while as far as I am concerned. If that's how we're gonna do it, I don't mind doing it later.
ParlaMint-NL_2019-04-04-tweedekamer-8.u36	I think that's totally fine. That makes sense to me, too. Okay. Then I've had the first block, with the impact questions and the why. Then the second block. In my opinion, that was the core of everyone's input in the first period. It was about: if municipalities start to work and if it turns out that there is such a trend towards WMO facilities that it is difficult for a municipality to manage, what will happen then, could it ultimately lead to a loss of facilities? You have asked these questions, and I have noticed in recent months that municipalities have asked these questions and that I have not been able to take that concern away from municipalities. I have, of course, indicated, and I will do so here today, that I actually hope for a certain influx and a certain inflammatory effect. One of the reasons for moving to that subscription rate is precisely that the current own contribution system for low middle income, for example, is also a reason to abandon it. I don't mind a few more people taking advantage of it. Would the millionaire who now pays his maid herself, and has actually done so his whole life, suddenly go banging on the door of the town hall? That doesn't make any sense to me. In fact, I find that very illogical. At the same time, I have noticed, and I have heard this in your first term, that I do not manage very well to take that concern away in advance, because I cannot prove that it will be all right. It's an assessment. I can base myself on the CPB's assessment of the suction action. That is why we have said: if we are going to do this, we must keep our finger on the wrist very carefully; we must make sure that we know exactly what is happening in reality. What's the behavior that municipalities want to show? What is the actual influx that will be seen in practice? So we have to make a really good monitor to keep the finger on the wrist. I have now reached agreement on this monitor with the VNG and with client organisations Elke(in) and ANBO. This monitor will identify the extent to which, as a result of the subscription rate, there is a higher than expected use of WMO facilities, i.e. numbers and costs, which are not sufficiently reduced by municipal policy. From the perspective of clients and municipalities, the monitor pays attention to the quantity and quality of support. The monitor will also address the behaviour of clients and any external and autonomous factors. How did municipalities implement the measure? How were and were the indication and access organised within the municipality? What steps did the clients go through? In what way do municipalities implement the assessment and promotion of self-reliance of applicants? How are the Wmo consultants instructed? What other policy adjustments have the municipalities made with regard to the Wmo? In short, with that monitor we can see how local practice changes or does not. I think this is the only way to take care away. I can't take these out front. We can agree a way of working with each other, to keep our finger on the pulse and put that implementation practice first.
ParlaMint-NL_2019-04-04-tweedekamer-8.u37	The Minister does not want to worry about any additional costs and what happens then, whether extra care will be taken, but he is also saying that he cannot remove them from the front. He can, because with this amendment he also makes it possible for the standard of usual care to be extended or for municipalities to return to an income-dependent own contribution. So he could take those cares away and in advance, take that possibility away from the front.
ParlaMint-NL_2019-04-04-tweedekamer-8.u38	I don't think so. By the way, both elements will be reflected in my story. I honestly don't think so. We do not allow for an income-dependent contribution. That doesn't make any sense either, because we're getting income dependency out of the law. Mrs Luck referred to this in particular. The Wmo is never meant to be a "poverty law." I believe you used that term. In my opinion, this term has already been used in the original treatment of the Wmo in 2006 or 2007. And that's right; the Wmo has never been a law on poverty or a law on poverty. You can see that especially lower incomes have made the most use of the Wmo. I think you mean, what about the AMvB possibility that comes into the law? I'll get back to you on that later. I would be pleased if I could answer this question at that time.
ParlaMint-NL_2019-04-04-tweedekamer-8.u39	No, I do not think so, because the Minister is now going into it very extensively and says that the answer to that concern is the monitor. But that's an option after all. The Minister has just made it very clear that he does not have any possibility of removing these concerns on the front. He does have that concern; it's about the AMvB. So that really belongs in the context of what he's saying right now. I would therefore ask the Minister to take out the possibility of making arrangements at the front.
ParlaMint-NL_2019-04-04-tweedekamer-8.u40	I don't think that's a good idea. I can see if I can help in my speech; then I come to the answer to Mrs Agema's question. I think it is about the question: what if the monitor shows that the actual influx is much higher than was expected, which also means that the expenditure is much higher than they were originally? I think that at that point we will have to take action. Indeed, in order to enable measures to be taken, let me put it this way, we have put this AMvB option in the law. What you are actually asking me is: what could you put under that AMvB and is it also conceivable that you will introduce an income-dependent scheme under that AMvB? I say to you: that does not seem logical to me, and it does not make any sense for two reasons. You're just abolishing it; with the introduction of the subscription rate you're actually abolishing it. But it doesn't make any sense either because it means that you have to put up with a very large implementation device that manages to keep up with that income dependency. And that's exactly what we're gonna get off this time of year. Does anything change with regard to the usual care? No. The phenomenon of "commonly used provision" is already in the law and is already in all kinds of case law on rulings relating to applications for Wmo. The only thing we are doing here is providing a codification of it. So this law doesn't fundamentally change anything there either. Actually, something only changes on the side of one's own contribution. The question is: if you have a monitor, what possibilities do you have to act on it later? That is the willingness I am now expressing to take action at that time. I do not anticipate the question of what measures these are.
ParlaMint-NL_2019-04-04-tweedekamer-8.u41	Yes, sorry, chairman...
ParlaMint-NL_2019-04-04-tweedekamer-8.u42	The interruptions actually go in two, but I understand that...
ParlaMint-NL_2019-04-04-tweedekamer-8.u43	But the Minister answers very widely. He needs to come a little more to the point.
ParlaMint-NL_2019-04-04-tweedekamer-8.u44	A brief reaction.
ParlaMint-NL_2019-04-04-tweedekamer-8.u45	It is still a question of what happens when the scheme is very popular. What if it bursts financially? What's that? First, the Minister says, "I can't help it in advance." Then I will say to the Minister: yes, but you can do something about that in advance, because you want to bring an AMvB with this amendment so that something can happen if that arrangement bursts out financially. Then I say, "But you shouldn't do that if you don't want people to be afraid of it." And then the Minister says, "I'll get back to you later." What is at stake, of course, is to say in ordinary human language that people can understand. It is to say that the Minister wants a solution to be found within the scheme if this arrangement is to burst financially. And I fundamentally disagree with that. After all, the VWS Ministry has a structural surplus of 10.5 billion euros in the period 2012 to 2021 due to windfalls. Then it must be possible, at a time when a scheme such as this bursts out of it, to find a solution, which is indeed for the first time not dependent on income, with all those windfalls rather than in the scheme which will eventually take care away from the people again?
