ParlaMint-NL_2019-10-10-tweedekamer-15.u1	We will continue with the second period of discussion of the Kingdom's budget relations.
ParlaMint-NL_2019-10-10-tweedekamer-15.u12	Thank you, Mr. Chairman. I would like to thank the Secretary of State for answering our questions and for having responded to our comments. Again, the Secretary of State receives my compliments for his firm and accessible approach, which is aimed at improving conditions for the population. Having said that, it is also a critical note. I find the Secretary of State somewhat distant when it comes to tackling the refugee problem and combating poverty. I miss those points in that approach. Mr. Chairman. Then I'm going to file my two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas the social security system in the Caribbean Netherlands is different from what is customary in the Netherlands;]] [[calls on the Government to examine the differences in the implementation of social security provisions, to make proposals or, if so, to remove them and to inform the Court thereof,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Özütok, Mr Van der Graaf and Mr Diertens. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35300-IV-19]]
ParlaMint-NL_2019-10-10-tweedekamer-15.u13	It has been discussed several times. This motion is actually out of order in this debate. She actually belongs to Social Affairs. Is that right?
ParlaMint-NL_2019-10-10-tweedekamer-15.u14	No, I don't think so. We are discussing the Kingdom relations budget here, and it can be understood as widely as possible. I'm dealing with a coordinating secretary of state, so I'm filing the motion here.
ParlaMint-NL_2019-10-10-tweedekamer-15.u15	Where you file the motion is a choice; absolutely. Only, if you want a judgment, it often gets tricky. I think it has been indicated a few times not to do it that way, but to bring it in wherever the debate takes place. I think the debate should take place at Social Affairs. I think we have an excellent Secretary of State. That has been mentioned several times. Tamara van Ark does this with love and pleasure and I think he can explain it better. However, Mrs Özütok is free to table the motion here.
ParlaMint-NL_2019-10-10-tweedekamer-15.u16	Be assured that we will have that discussion there as well. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas appropriate laboratory facilities are currently lacking in the Caribbean Netherlands to identify possible environmental contaminants;]] [[Whereas such a laboratory could have a broad public function in raising awareness and raising interest in the exact subjects of young people in the Caribbean Netherlands;]] [[calls on the Government to examine, together with the local authorities, how such a laboratory can be set up,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Özütok. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35300-IV-20]]
ParlaMint-NL_2019-10-10-tweedekamer-15.u17	Mr. Chairman. There is a great deal of reason to have all kinds of reflections at the end of the debate, but since I have three motions to table, I will leave them for what they are and I will start the motions immediately. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that there is a significant influx of refugees from Venezuela in Aruba and Curaçao;]] [[noting that the promised financial support from the Netherlands is mainly used for reception locations and asylum procedures and to a much lesser extent for direct humanitarian aid;]] [[Whereas the need for food, clothing and medicines is high among the refugees;]] [[calls on the Government to examine whether POBB funds (for peace, security stability and/or legal cooperation) of the Foreign Affairs budget can be used to contribute to the relief of the humanitarian needs of refugees in Curaçao and Aruba, and to inform the Chamber thereof,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Dam, Mr Diertens, Mr Van der Graaf and Mr Kuik. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35300-IV-21]]
ParlaMint-NL_2019-10-10-tweedekamer-15.u18	I realize that this is a motion that is largely out of reach, yes, Mr Bosman, of this Secretary of State, but the topicality in the Kingdom justifies me bringing this motion here. Then I come to my second motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that there are serious concerns about the enforcement of the rule of law in Saint-Maarten;]] [[Whereas the proper functioning of the rule of law and law enforcement is a prerequisite for the functioning of any society;]] [[Calls on the Government to enter into consultations with the Government of St.Maarten to discuss a separation of management and authority in the enforcement of the legal order in order to consider to what extent the Netherlands can play a stronger role in the management role for a period of five years,]] [[and goes to the order of the day.]] [[This motion was proposed by Mr Van Dam, Mr Bosman, Mr Van Raak, Mr Van der Graaf, Mr Özütok and Mr Kuik.]] [[She's getting No. kst-35300-IV-22]]
ParlaMint-NL_2019-10-10-tweedekamer-15.u19	Then the final motion. It's not addressed to the Cabinet, it's addressed to the Chamber. I would like to explain it very briefly. I do not think that we should put everything on the cabinet board, but that we, as a Chamber, especially in the wake of the next IPKO, should also take positions ourselves in order to have clarity in the discussion. That's why the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that Aruba, Curaçao and Sint-Maarten are the subject of regular and ongoing serious violations of the rule of law, frequently committed by leading political, administrative and (financial) business leaders;]] [[Whereas the countries concerned are composed of relatively small communities in which it is extremely difficult to give political and administrative guidance to the proper functioning of the rule of law with sufficient distance;]] [[points out that enforcement of the legal order should be a task of the Kingdom in order to ensure the proper functioning of the individual countries and the Kingdom as a whole,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Dam. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35300-IV-23]]
ParlaMint-NL_2019-10-10-tweedekamer-15.u20	Mr. Chairman. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that in April 2015, the Chamber adopted a motion to investigate the (illegal) money flows between the underworld and the upper world in Curaçao and Sint-Maarten (motion-Van Raak/Bosman 31568, nr. 156);]] [[noting that this investigation has so far been successfully carried out by the Team Combat Undermining (TBO) as well as leading to trial and conviction;]] [[Considering that the financing of TBO expires in 2021;]] [[Considers that the fight against corruption is of great importance for good governance and a strong rule of law in Curaçao and Saint Martin, which also benefits the Kingdom as a whole;]] [[considers that it is important for the continuity of TBO to have more certainty about the future of funding;]] [[calls on the Government to quickly come forward with a proposal for the continuation of the TBO and to inform the Chamber thereof,]] [[and goes to the order of the day.]] [[This motion has been proposed by Members Van Raak and Bosman. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35300-IV-24]]
ParlaMint-NL_2019-10-10-tweedekamer-15.u21	I have the same book with me as in the first term. That's when I forgot to mention it. It's a book by Willem de Bruin. It is called The Golden Rock: how on St.Eustatius world history was written. I'd certainly read it, Mr. Chairman. That goes for all of you, especially the Secretary of State, if only for the following. On Saint-Eustatius things have gone completely wrong with the board, and when you read this book, you can see that for generations, actually centuries, a Heyliger family has been active there. I'm not saying there's a connection, but it's interesting to read. At least I'd like to pass that on to the Secretary of State. I would also like to thank him very much for his commitment to the motion on the First Salute. Thank you for that. Less thanks for giving him a different interpretation of the agreements with Saba. From 2015 it has been agreed that Saba will carry out tasks himself. It's not like three ministries from three towers are gonna change things again; no, Saba's gonna do it herself. The Secretary of State can take care of it. He can coordinate it before Christmas, or we'll meet in the new year.
ParlaMint-NL_2019-10-10-tweedekamer-15.u22	However, I object to the inclusion of a family name in this debate. You can say what you want of certain people, but doing this really gets everyone who has that name involved in something. I don't think you should and you don't want to do that in a debate like this. That's what I wanted to notice.
ParlaMint-NL_2019-10-10-tweedekamer-15.u23	Mr Van Dam is right about that. Well, I guess I'll just say "family of Theo Heyliger" in a hand-to-hand sense. That's better, I guess.
ParlaMint-NL_2019-10-10-tweedekamer-15.u24	Thank you, Mr. Van Raak. I now give the floor to Mrs Diertens on behalf of D66.
ParlaMint-NL_2019-10-10-tweedekamer-15.u25	Thank you, Mr. Chairman. There is a question from Mr Bosman that I would answer. He asked where the number of 50,000 refugees I mentioned came from. I checked with my colleagues Sjoerdsma and Grothuizen. They discussed this with the Prime Minister and the Minister of Justice of Curaçao. That prognosis was given by both regiments there. That is what I referred to here. There were, to be exact, not 50,000, by the way, but 48,000.
ParlaMint-NL_2019-10-10-tweedekamer-15.u26	Let me be clear: there is therefore no factual report on the basis of which that ruling is based. It was an oral consultation.
ParlaMint-NL_2019-10-10-tweedekamer-15.u27	Yeah, that's right. It was an oral consultation. It was mentioned by the Prime Minister and the Minister of Justice in a discussion on refugee issues in Curaçao.
ParlaMint-NL_2019-10-10-tweedekamer-15.u28	It's their impression.
ParlaMint-NL_2019-10-10-tweedekamer-15.u29	Yes.
ParlaMint-NL_2019-10-10-tweedekamer-15.u30	Then this has been cleared up again.
ParlaMint-NL_2019-10-10-tweedekamer-15.u31	Yes. I would like to thank the Secretary of State for the enormous commitment he has made over the last few years. I am also very pleased with his results. The Secretary of State rightly said that steps are being taken on the income side and on the expenditure side and that there should always be a balance sheet in the Caribbean Netherlands. But vulnerable people, such as the elderly, can no longer supplement their income by working. That's a big problem. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that a large proportion of the elderly live in poverty in the Caribbean Netherlands;]] [[Whereas older people are no longer able to work to supplement their income;]] [[Whereas the number of older people with supplementary pensions is limited;]] [[calls on the Government to make full use of the active search for these older people to reduce non-use of existing schemes;]] [[calls on the Government to examine whether an additional scheme for vulnerable elderly people, such as the AIO in the European Netherlands, is necessary to alleviate poverty among older people,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Diertens and Mr Özütok. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35300-IV-25]]
ParlaMint-NL_2019-10-10-tweedekamer-15.u32	In fact, there was a second question: why did D66 not participate in the written consultation? Because this is also a question that could have been fine with that. We're gonna have another meeting in writing. In it you can specifically ask any minister what you want. In this way, you can actually ask the entire cabinet, every minister and every secretary of state, questions in his or her specific area. That is almost what Mr Van Raak physically wants, but in writing. Why wouldn't you use that opportunity?
ParlaMint-NL_2019-10-10-tweedekamer-15.u33	Indeed, I had to answer that question. I did check this out. At that time, Mrs Van Ark's presentation on this issue was extremely good and broad, but then the Ombudsman's subject came up. So topicality means that I am now tabling this motion.
ParlaMint-NL_2019-10-10-tweedekamer-15.u34	Finally.
ParlaMint-NL_2019-10-10-tweedekamer-15.u35	I understand that, but if Mrs Diertens wants an answer, she can also ask those questions where they end up directly with the Secretary of State instead of on a detour, through this Secretary of State for the Interior and Kingdom Relations.
ParlaMint-NL_2019-10-10-tweedekamer-15.u36	I think this is also an integral approach, because we have also discussed the economic side and the revenue side. I just think it's very important to take this. This discussion, which I myself initiated years ago with a motion, has also begun in the discussions on Kingdom relations. So I also think I can continue that line. I am also glad to see that Mr Knops is working very intensively with Mrs Van Ark.
ParlaMint-NL_2019-10-10-tweedekamer-15.u37	Thank you, Mrs. Diertens. I now give the floor to Mrs Kuik on behalf of the PvdA. Yes, it's your turn. How cheerful you are!
ParlaMint-NL_2019-10-10-tweedekamer-15.u38	I'm going to dive soon, Mr. Chairman. That always makes me very happy.
ParlaMint-NL_2019-10-10-tweedekamer-15.u39	In the sea, you mean.
ParlaMint-NL_2019-10-10-tweedekamer-15.u40	There is, moreover, a question that I have not asked in the first term but which, fortunately, has been asked by colleagues. Everything that lives underwater is as important to the islands as what is above water. If you are no longer touristically attractive, you lose one of your main sources of income. Anyway, so far, a glimpse into my own cheerful brain. I want to thank the Secretary of State for the answers. I do not doubt his intentions, but at the same time we must remain critical of the steps being taken to the minimum social level. As long as there are children or older people who still have trouble buying their bread daily, we cannot be satisfied with each other. As long as there is no implementation of a motion widely adopted by the Chamber on reducing the costs that actually ensure that no decent social minimum can be achieved, we are not yet satisfied. That is the responsibility we have towards all the islands. In addition, I may be critical of the way the islands themselves discharge their responsibility and the way in which they handle it administratively. That balance has been made by my party and by me over the past few years. I'll keep doing that. That's why two motions. The first motion is about the debts. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas people in debt can find themselves in a situation in which they can no longer manage themselves, not only to those who have made debts but also to the detriment of whole families;]] [[believes that everyone who makes debts is entitled to a decent existence and dignified solutions;]] [[calls on the Government to develop a debt relief scheme for the Caribbean Netherlands,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Kuik and Mr Van der Graaf. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35300-IV-26]]
ParlaMint-NL_2019-10-10-tweedekamer-15.u41	I had already heard the sympathetic support of the Secretary of State for this motion. So think of this as a support in the back to actually regulate it, together with the islands, because they want it too. Mr. Chairman. My second motion is of the same nature. It is about the fact that I believe that there should be a national programme for Curaçao, supplementary to the Growth Agreement and for a long time. I would like the reconnaissance to begin. That's why the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the socio-economic problems in Curaçao, as demonstrated by, among other things, school performance, unemployment and a worrying number of people leaving for the Netherlands, remain serious;]] [[Whereas the current approach does not reduce this problem in a structural way;]] [[Whereas in the Rotterdam Zuid (NPRZ) National Programme, the Kingdom, the municipality, corporations, health institutions and school authorities cooperate;]] [[believes that only a similar broad approach can help to reduce Curaçao's problems on a lasting basis;]] [[calls on the Government, in consultation with all relevant organisations in addition to the existing Growth Agreement, to undertake a similar exploration,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member Chicken. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35300-IV-27]]
ParlaMint-NL_2019-10-10-tweedekamer-15.u42	I can't talk anymore, because my time is up.
ParlaMint-NL_2019-10-10-tweedekamer-15.u43	That's good. Thank you, Mrs. Chicken. I now give the floor to Mrs Van der Graaf on behalf of the Christian Union.
ParlaMint-NL_2019-10-10-tweedekamer-15.u44	Thank you, Madam President. Thanks to the Secretary of State for the answers, in written form, but also orally in the first term. We are pleased that he has a clear heart for the islands within our Kingdom and the administration there. I have three motions. I'll start. It is good that the Secretary of State acknowledges that more data is needed on the islands. That's why the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that studies carried out by UNICEF Netherlands and the Social and Cultural Planning Bureau show that there is a lack of systematic data collection in the Caribbean Netherlands;]] [[Whereas significant zero measurements, benchmarks and data are missing in the areas of social security, poverty, cost of living, children's rights and youth care;]] [[Whereas such data are necessary to take and review policy measures;]] [[Calls on the Government, in cooperation with the CBS, the SCP and the local authorities, to consider how to improve the data infrastructure on these issues and to submit a proposal to the Chamber before 1 March 2020,]] [[and goes to the order of the day.]] [[This motion has been proposed by members Van der Graaf, Bishop, Chicken, Van Raak and Diertens.]] [[She's getting No. kst-35300-IV-28]]
ParlaMint-NL_2019-10-10-tweedekamer-15.u45	I have a question about those dates. It's important to have data. That's the starting point from which you can leave. But data doesn't always reflect reality. Therefore, it is good to support that data with quantitative data, such as stories, that can illustrate how to interpret that data. Should I read Mrs Van der Graaf's motion in such a way that she also wants to include it, not only figures but also illustrations of how reality works?
ParlaMint-NL_2019-10-10-tweedekamer-15.u46	I do think that measuring is knowing and that hard data, which means measurable data, is very important. But I think Mrs Özütok's suggestion is a very good one to involve in the implementation of the motion.
ParlaMint-NL_2019-10-10-tweedekamer-15.u47	Okay, go on.
ParlaMint-NL_2019-10-10-tweedekamer-15.u48	Mr. Chairman. I'm on my second motion. In almost all the Kingdom, the standard in the civil code is that violence should not be used in education, but not in Bonaire, Saint Eustatius and Saba. There it is criminal, but the standard is not included in the civil code. That's why I have the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that the civil codes of the Netherlands, Curaçao, Aruba and Sint-Maarten state that in the care and upbringing of the child parents are not allowed to use spiritual or physical violence or any other degrading treatment but that a similar law is lacking in the Civil Code BES;]] [[Whereas the further implementation of the prevention and handling of child abuse for the Caribbean Netherlands is also not laid down in the law and a youth law, reporting code and reporting right for professionals are lacking;]] [[calls on the Government, in consultation with public bodies, to come forward with a legislative proposal to prohibit mental violence, physical violence or other degrading treatment in education at the BES and to consider whether further additional legislation is necessary to deal with child abuse and to inform the Court of its progress before 1 March 2020,]] [[and goes to the order of the day.]] [[This motion was proposed by Mr Van der Graaf, Mr Kuik, Mr Özütok, Mr Bishop, Mr Van Raak and Mr Diertens.]] [[She's getting No. kst-35300-IV-29]]
ParlaMint-NL_2019-10-10-tweedekamer-15.u49	When it comes to child abuse, I think I would like to be on Mrs Van der Graaf's side, but I have seen in the written answer that she has asked questions about this and that the cabinet has said that it is already criminal under criminal law. You can't hit anyone in the Caribbean Netherlands, especially children. What's this gonna add?
ParlaMint-NL_2019-10-10-tweedekamer-15.u50	For a long time it was also thought in the Netherlands that only a criminal provision prohibiting abuse and a higher level of punishment for child abuse would be sufficient. But in 2007 we changed our own law here in the Netherlands because it is important to set a standard. At that time, it was said in the explanatory statement of our own Civil Code on this point that this could contribute to the prevention of child abuse. The awareness becomes much greater and the conversation is started. It helps aid workers to engage with the parents to accept help in education. It contributes to early detection of child abuse. And not least, it is a huge back-up for the children themselves who are in a vulnerable position. That is why we are tabling this motion. We think this is a good addition to the Civil Code BES. Thank you for this question, Mr. Van Dam. Mr. Chairman. Then my third and final motion. It concerns the UN Convention on the Rights of Persons with Disabilities. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Notes that in 2016 the UN Convention on the Rights of Persons with Disabilities entered into force in the European Netherlands, but that this has not been done so far in the Caribbean of the Kingdom;]] [[Whereas the Convention refers to fundamental human rights of value to the whole of the Kingdom;]] [[calls on the Government, together with the Secretary of State of the United States of America, to consider how the Caribbean part of the Kingdom can be supported in the implementation of the Convention and the timetable for its implementation,]] [[and goes to the order of the day.]] [[This motion has been proposed by Members Van der Graaf, Diertens and Bishop. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35300-IV-30]]
ParlaMint-NL_2019-10-10-tweedekamer-15.u51	The motion looks specifically at the implementation of the Convention. In the written answer to my question, the Secretary of State did not go into that. Hence this motion.
ParlaMint-NL_2019-10-10-tweedekamer-15.u52	Thank you, Mrs Van der Graaf. Finally, Mr Bishop. He has one minute left. He could put anything in there.
ParlaMint-NL_2019-10-10-tweedekamer-15.u53	That is quite enough, Mr President, thank you very much. One of the points that is being made is that the governance of the Caribbean parts needs to be raised. There must be clarity about the responsibility between the local, the national and the government. But it also applies a bit to the administrative power on the Dutch side. Then we come to the issue of coordination between all kinds of ministries. We appreciate the recognition and willingness of the Secretary of State to take an active part in this, but there is still a step to be taken. The question that we have a little bit to ask is whether the government's planned plan of action will be sufficient. Anyway, since we have faith in the Secretary of State's intentions, we have waived a motion on this point. We promise the Secretary of State that we will strictly question Deo on this next year. We also thank the Secretary of State for answering the questions. That was within a minute, Mr. Chairman.
ParlaMint-NL_2019-10-10-tweedekamer-15.u54	Well, minus two seconds, but that's actually up to me, 'cause I was late with the button. Thank you, Mr. Bishop. This brings us to the end of the second term of office. Fifteen motions have been tabled. I assume the Secretary of State needs a suspension. No? Well, I'm totally okay with that. That's the spirit. I am very pleased with that, because the Agricultural Team is also waiting. I give the floor to the Secretary of State.
ParlaMint-NL_2019-10-10-tweedekamer-15.u55	Thank you, Mr. Chairman. Before I come to the motions, I shall first address a question raised by Mrs Van der Graaf. She has actually put two, but I will answer one together with the commentary on her motion. The other question was about UNICEF's subscription fees, which would stop. How do we proceed, because I see nothing in the budget? That was about Mrs. Van der Graaf's cri de coeur. The budget still contains funds for this: three times €300,000 for the coming years. These are covered by Article 4 of the budget of Kingdom relations. In addition, in my letter of 2 October, I indicated that there are sufficient resources on the respective budgets to resolve the bottlenecks in the relevant ministries. From my coordinating role, I will ensure that new initiatives in the field of children are streamlined and that cooperation between departments is promoted. In doing so, I hope to reassure Mrs Van der Graaf.
ParlaMint-NL_2019-10-10-tweedekamer-15.u56	Those are good messages. Then may I ask the Secretary of State the following? If we discuss the Kingdom's relations budget next year, will he include a report before the Chamber on what happened there? In this way, the Court remains informed about how the funds are used and how children's rights remain in the picture.
