ParlaMint-NL_2019-09-11-tweedekamer-9.u1	I give the floor to the Minister of Justice and Security.
ParlaMint-NL_2019-09-11-tweedekamer-9.u20	Justice and Security will always have to ensure that it remains within its own domain. Of course, that's one thing that comes first. In the context of prevention, a health component is clearly involved, but the social disrupting component, as I call it, is also involved. I believe that, from the point of view of justice and security, we can also help to show what can happen in social development, so to speak. But also because your Chamber is still talking to Mr Blokhuis, I would like to come back to this together after that debate. Then we'll be able to fill that out properly.
ParlaMint-NL_2019-09-11-tweedekamer-9.u21	Finally.
ParlaMint-NL_2019-09-11-tweedekamer-9.u22	Finally, Mr President. I understand that aspect too is clearly given a big place. I would therefore like to call for this to be approached in its entirety, both from the point of view of aid, prevention and mention, as well as from the point of view of repression, which you cannot escape. I would urge the Minister to make a contribution to this.
ParlaMint-NL_2019-09-11-tweedekamer-9.u23	We'll take that with us.
ParlaMint-NL_2019-09-11-tweedekamer-9.u24	The Minister wants to work for a drug-free generation. That is also a bit in line with standardisation, because I assume that the Minister for the Standardisation of Drug Use, who already gave an example that 1 in 200 xtc users...
ParlaMint-NL_2019-09-11-tweedekamer-9.u25	250.
ParlaMint-NL_2019-09-11-tweedekamer-9.u26	250? I thought you said 200. But these are serious numbers of ecstasy users who end up in hospital with serious health problems. So how is it that the government is still funding pill testing? I understand that the Secretary of State is talking about this, but if the Minister himself says he is for a drug-free generation, is he prepared to put that point on the map and raise it in the cabinet?
ParlaMint-NL_2019-09-11-tweedekamer-9.u27	I have already promised that I will pass this point on to College Blokhuis. However, as far as my responsibility is concerned, you must imagine that I am very impressed by the doctor from the OLVG in Amsterdam-Oost. I thought two weeks ago in Het Parool that his intensive care is very occupied with young people with health problems due to ecstasy. I have told you before in your Chamber that in conversations with the GGD in this region I found that the intensive care of the region hospitals when there is a big festival is sometimes completely occupied with people with health problems. In the context of my responsibility for the fight against crisis and other matters, that is something I have to look very closely at, apart from the fact that it is again a confirmation of the place on List I.
ParlaMint-NL_2019-09-11-tweedekamer-9.u28	I understand that it is a health problem, but it is also an enforcement problem. That is why I would also like to raise it with this Minister. He is responsible for the enforcement policy for hard drug use. We're talking about hard drugs here. If the Minister is indeed opposed to the standardisation of hard drugs, then we must take these hard drugs at all these parties and dance festivals. We shouldn't test them and say, "You can go ahead." Because then healthcare can solve the problems again. Once again, can this be an opportunity to counteract the normalization of the use of xtc, let me put it this way by sending out a strong signal and stopping those pill tests?
ParlaMint-NL_2019-09-11-tweedekamer-9.u29	In general terms, the answer is yes. Of course, that can certainly contribute to it. I understand. With regard to the enforcement at festivals, before the summer, I asked whether I should make money available for police capacity, so that the police at the entrance of major events...................................................................................................................................................................................... That question has been filled by people who think differently with the claim that I want to ban festivals, but it wasn't. There's something wrong with society, isn't there? That's where all this stuff comes in. But I do think it is also a domain of Mr Blokhuis, and I respect that. But you can be assured that we will move in together and that we will return to your Chamber. Mr. Chairman. I would like to say something about health. Mr Groothuizen and Mr Van Nispen also asked whether, in the international context, we should move towards a new hierarchy of drugs based on harmfulness. At international level, the risks of drugs are assessed by the World Health Organization. The World Health Organization is part of the United Nations. Subsequently, members of the Commission on Narcotic Drugs, including the Netherlands, vote on the inclusion of funds in the lists of international drug treaties. Those assessments shall be based on the harmfulness of those means. Like the Dutch lists, the international lists have different risk categories. The assessment of the resources to be included in the list is thus based on international consensus. Mr Van den Berge was curious about that, so I have already announced that I will send the reports which have been sent to the Chamber in public from the last few times. Then you will see that there is consensus.
ParlaMint-NL_2019-09-11-tweedekamer-9.u30	I thank the Minister for that commitment. I am indeed curious about the reports, but I am not only curious about the reports. I had also asked the Minister if he was prepared to argue in favour of an investigation into the effectiveness of the drug approach in different countries. I'm just curious about an international comparison. How are we doing compared to other countries? What does it do in terms of repression, prevention and decriminalisation?
ParlaMint-NL_2019-09-11-tweedekamer-9.u31	I've said a few things about that before. What also goes with this question is that the risk assessment is international. I have just explained in detail how it is taking place. From there, policies take place, both in terms of repression and prevention and society.
ParlaMint-NL_2019-09-11-tweedekamer-9.u32	You said you wouldn't do it.
ParlaMint-NL_2019-09-11-tweedekamer-9.u33	No.
ParlaMint-NL_2019-09-11-tweedekamer-9.u34	Okay, then that's clear.
ParlaMint-NL_2019-09-11-tweedekamer-9.u35	I know the views of this minister when it comes to decriminalisation, so I didn't ask. All I asked for was an international competition. I don't understand the fear very well. If the Minister is convinced I am clearly not saying that repression and enforcement are the only solution and that we are going to make it, should he not be so afraid of an international investigation? In that we can see if that's true. Or are there other countries with less repressive policies or a smarter combination of prevention, repression and decriminalisation that work better than our policies? I'm just asking.
ParlaMint-NL_2019-09-11-tweedekamer-9.u36	Two things. I mentioned a whole series of research reports at the beginning. I did not do that because of the report by Mr Tromp and Mr Tops, or indeed. Tops and Tromp, to be appreciated, but to support that this report confirms what is in a number of major reports, also international reports that give an idea of how it is international. Let us be very clear: the Netherlands has a few specific issues, including the fact that we are an ideal logistics hub. I am thinking of the port of Rotterdam and Schiphol, but also of the good accessibility of Brabant and Limburg for the large hinterland. This means that a very specific problem arises here, because of that 19 billion street value of the xtc produced in the Netherlands that was reported last year, even if that amount is not 19 billion but 16 billion of that immense amount, the vast majority of it is for abroad and not for the Netherlands. This is a specific problem which, for example, does not arise in certain other countries. So you can't put one-on-one the way in which you do that elsewhere, on this. In any case, I refer to some of the reports I mentioned earlier. Mr. Chairman. Mr Van Dam asked about the possibilities for employers to test for alcohol and drugs in the workplace. That is indeed possible if there is a legal basis for this. At present this is regulated by sectoral legislation for certain professions; think of pilots, engineers and skippers. The Secretary of State for Social Affairs and Employment is now discussing with the social partners the specific cases in which there is a need for such tests. It confirmed this to the Chamber last Thursday in general consultation on working conditions. The Chamber will be informed of the outcome of that discussion. Then I guess it makes sense to look further. I would, however, like to make it very clear that I support the idea of looking at a further legal basis. Mrs Kuik asked about the measures relating to the import of designer drugs. These drugs are often produced in order to sell drugs that have not yet been banned under the Opium Act. There's something in the composition that makes it different. This for those who are not in that matter at home. Then you bypass the Opium Act, and you can make a good living with that, too. We call that the nps, the new psychoactive substances. This must also be able to be tackled vigorously. The Secretary of State of VWS is currently preparing a bill to criminalise the production and trafficking of new psychoactive substances. That bill will be in consultation this year.
ParlaMint-NL_2019-09-11-tweedekamer-9.u37	As a result of this, a short question. The inspection of VWS checks this, but it has only a very limited capacity. Social Affairs and Employment has had an extension of the tasks of the inspection. Isn't it wise to look at whether this can be done on this front in consultation with VWS, otherwise you will have the legislation but not the capacity to enforce it?
ParlaMint-NL_2019-09-11-tweedekamer-9.u38	I can answer that very briefly. Yeah, that sounds like a good idea. I think it's good that the Secretary of State and I will come back to you on that.
ParlaMint-NL_2019-09-11-tweedekamer-9.u39	Then let me take this as a commitment, Mr President.
ParlaMint-NL_2019-09-11-tweedekamer-9.u40	That we'll come back to it? Okay. A small reservation. Mrs Kuik asks what I do to prevent empty buildings and barns from being used for drug production. It fears that this will only increase in the light of the problem of nitrogen. One of the most important things is to make the citizens and businesses that are affected; the people who have those buildings or barns that are empty. At present we have a number of activities funded by the undermining fund. I would like to mention one of the examples: the Approval mark Secure Outside Area. Within the framework of that label, entrepreneurs are fully taken into account in the question of how to prevent you from getting into this kind of criminal practice against will and thanks. The LNV, the Ministry of Agriculture, Nature Management and Fisheries, also pays special attention to this vacant agricultural property in the context of the regional deals. We must then see whether another destination can be given to it. That is already happening in the Achterhoek. These are a number of examples of what we are doing with each other. Then there's the Platform Safe Enterprise. This organises business meetings where partners such as the RIEC, the Regional Information and Expertise Centre, the Tax Administration, municipalities and entrepreneurs tell us: what is the problem and how can you best take action against it? Those meetings are intended for people in the agricultural area.
ParlaMint-NL_2019-09-11-tweedekamer-9.u41	Have these answers been given to Mrs Kuik's questions?
ParlaMint-NL_2019-09-11-tweedekamer-9.u42	Yes, at least this question, but I also have one about checks in ports.
ParlaMint-NL_2019-09-11-tweedekamer-9.u43	I'm watching. You'll have the floor in a moment, Mrs. Chicken.
ParlaMint-NL_2019-09-11-tweedekamer-9.u44	There is another question from Mrs Kuik about cocaine trafficking and controls at the port. I've said something about logistics before. Due to the good logistics quality of our country you get that international cocaine trade also plays a significant role through Rotterdam. The Rotterdam triangle plus Customs have taken the initiative to create their own undermining image. That was published last May. That is the basis for further strengthening that safe and honest harbor. Tackling narcotics is really one of the priorities of the enforcement services at the moment. Simply carrying out more checks is not the solution. This is evident from a recent study by Erasmus University. This means that a number of other things are happening now. Firstly, cooperation with Belgium is being stepped up, including through an exchange of all kinds of best practices and so on. And then there is the maritime cooperation of seven EU Member States to combat drug trafficking on the transatlantic route in Europe at an early stage. There is also more cooperation with the source and transit countries through all kinds of upstream disruptions. Mr.Van Dam also referred to this and by creating all kinds of information positions in those countries, through liaison officers and KMar in production countries. And, of course, we need to bet even more on that.
ParlaMint-NL_2019-09-11-tweedekamer-9.u45	I'm going to do it succinctly, Mr. Chairman. Will there be extra liaisons abroad? Then the outskirts. More and more farmers and farms will stop. There's a lot of emptiness already, and that's only gonna be more. Just making it resilient doesn't make much sense. If those buildings are just gonna be empty, then you're really gonna have to start a major clean-up operation. My request to the Minister is therefore actually to ask for specific attention to be paid to this issue, so that we are not only informed through LNV and Mrs Schouten. Because this plays in the Achterhoek and in the North of the Netherlands, but with us in Brabant and in Limburg it is also very clearly a problem. That will actually only get bigger in the coming years. I'm finishing up, Mr. Chairman. I won't ask another follow-up question. If I ask our mayors who come into contact with it specifically, I say, if I had Columbus' egg, I would. They really refer to this point as the most important issue that needs to be settled: sufficient money for warm clean-up.
ParlaMint-NL_2019-09-11-tweedekamer-9.u46	"Enough money for hot clean-up" is of course very easy to say, but then you have to have the whole field in view and see what the resources are. I do agree with Mrs Kuik on the following, and I myself have been committed to this in the past year. If you want to prevent people who are otherwise just good citizens from being pressured or tempted by something, from getting into these spheres, then you will first have to identify the areas in which this problem arises and then you will have to make people resilient in advance to ensure that they report it on time when this sort of thing happens. That does not alter the fact that Mrs Kuik rightly stresses that there is still a great deal to be done about this, even in the future. Mr. Chairman. Then I wanted to get to the subject of information exchange. I have already said a few things about this.
ParlaMint-NL_2019-09-11-tweedekamer-9.u47	Perhaps you can share with us, in order to assess when and when you can be interrupted, whether you have divided your speech into subjects?
ParlaMint-NL_2019-09-11-tweedekamer-9.u48	Yeah, yeah, I do, but I'm not saying that in advance, of course. I'll be back in a minute to pick up the subjects and launder them. I shall now turn to the questions put by Mr Van Dam and Mr Voordewind on policy coordination and a role for NCTV. I will then turn to the pooling of capacity and expertise, the question of a possible anti-drug unit and the evaluation of the approach and impact measurement. We are also going to talk about the talks with Amsterdam, the Bibob, the cooperation business pps, and finally the neighbourhood approach and privacy. In fact, that is where I come right back to the sharing of information.
ParlaMint-NL_2019-09-11-tweedekamer-9.u49	Yeah, clear.
ParlaMint-NL_2019-09-11-tweedekamer-9.u50	I wanted to say something about that now. I have already said a lot about this, so I am going to shorten the text. Much can already be done in the field of information sharing. That's not something I think of myself, but that's something the Council of State came up with in an opinion that the mayors and I asked for last year. The Council of State then advised on a few points. One of the things was whether information sharing is necessary, and if so, how we could extend the possibilities of that information sharing. In any case, I agree with the Council of State that we currently have the RIEC, the Regional Information and Expertise Centre, and the covenant in which the parties to that RIEC work together. This is also really aimed at the integrated approach to organised crime. So there are also a lot of signals coming in. They are analysed and information is gathered there. In addition, the Bibob Act is of course an important basis for information and information sources. This will prevent drivers from using permits, subsidies and orders to commit criminal offences. So that gives us a lot of possibilities. The police can then provide information to the mayor in the context of the maintenance of public order under the Police Data Act, and to the RIECs and other associations for purposes compatible with the exercise of the police mission. They are just examples of forms of information sharing that are really already there at the moment and that you can come a long way with. On a liquor and catering permit, the mayor can obtain information from both the police and the judicial authorities on the basis of the decision on police data and the decision on judicial data. The Data Processing Bill, which I mentioned in my introduction, is now with the Council of State. I say quite honestly that it has been a difficult journey to achieve this, because we really had to get the Personal Data Authority to consider it. That went well. It doesn't make much sense when we make a law on the sharing of information, which the highest judge later says: that can't really be done at all, that is contrary to human rights or I know what. I understand the egerness very well, because I have it myself, but we need to bite our teeth and make sure that we go through this process in a good way. I therefore expect the proposal to come to the Chamber as soon as possible. There will also be some points from the Council of State, but I think we really need to get on with that. Just a misunderstanding: the complaint that nothing can or may be done under the GDPR's regime, the General Data Protection Regulation. That's a misconception. There may be anything within the framework of the GDPR, but what is not possible is that you will exchange information with each other without it being determined for what is explicitly defined and justified purpose. I would like to point out that the GDPR is not as terribly new as it has been suggested, because we had legislation under the Privacy Directive since 1995. What does that mean? That means that you are not allowed to create a single bin, or file or dataset with all data for all purposes; that's just not allowed; there's also a bit in it, but that as a government organization you always process only those data that are sufficient, relevant and necessary for the purpose for which you want to use them. When we talk about tracking and prosecution, the possibilities are pretty crystallized. I have just mentioned a number of examples, for example under the Police Data Act. I'm not going to repeat it here. To a lesser extent, it applies to the processing of personal data for the purposes of the administrative approach of drug criminals or undermining. That's because it's a relatively newer practice. This raises the question of what information, for example, the mayor needs to carry out what task and what competence. As I have said, in order to gain more insight into these possibilities, I have asked the Council of State for information together with the mayors. That's what we got. At the moment, my ministry is working out the whole schedule, but this must of course be based on the needs of municipalities: what are the possibilities that you have? Then, of course, we need to know: what do you need for what purpose? Then municipalities must also have a good foundation. Then we will show on what, already existing power, that is not possible. We hope that the Data Sharing Partnerships Act will be an important addition to this.
ParlaMint-NL_2019-09-11-tweedekamer-9.u51	Have all the questions on the exchange of information been answered in the first term of the Members of Parliament?
ParlaMint-NL_2019-09-11-tweedekamer-9.u52	Mrs Kuik and Mrs Helder, who is no longer present, have drawn attention to this. I really want to stress that this is also a high priority for me, but that we have had to go through the projects that were there. That's what it is.
ParlaMint-NL_2019-09-11-tweedekamer-9.u53	I shall go first to Mr Van den Berge, because I have sent him back. I said, "First the minister and then you'll have the floor." You didn't hear that, but with gestures I indicated that a little bit. Mr Van den Berge, a brief question.
ParlaMint-NL_2019-09-11-tweedekamer-9.u54	I hear what the Minister says. He's doing all kinds of things, and I believe he is. However, we hear from the congregations that things are not fast enough and that they do not think it is far enough. I will be brief, so I will not go into all kinds of concrete examples. But I do hear examples from the municipalities that I think are: it is very strange that this information should not be shared between different services. I would like to call on the Minister whether it can go one step further and one step faster, because that is really very much needed.
