ParlaMint-NL_2019-10-02-tweedekamer-6.u1	We will continue with the debate on the General Financial Reviews.
ParlaMint-NL_2019-10-02-tweedekamer-6.u29	Finally, Mr Nijboer.
ParlaMint-NL_2019-10-02-tweedekamer-6.u30	I'd be happy to. I am very happy to see if we can get this cut in higher education off the table together. I will also make proposals for this in my contribution. And I would like it even more if we could also reduce the workload for primary school teachers and improve the reward. Also something we could fight for together!
ParlaMint-NL_2019-10-02-tweedekamer-6.u31	I believe that the zero line of the Rutte/Asscher cabinet is also responsible for this. Then the influx of the pabo started again, after the biggest increase in wages in all sectors over the last five years. I can see Mr Nijboer's compliments.
ParlaMint-NL_2019-10-02-tweedekamer-6.u32	Please continue.
ParlaMint-NL_2019-10-02-tweedekamer-6.u33	So I think it is an excellent idea to invest more. Meanwhile, the government debt continues to fall. Despite commitments in the previous Financial Reviews, a lot of money remains on the shelf. The CBS suggests an even larger surplus. It almost presents us with the luxury problem: how low should public debt become? Is the Minister with Klaas Knot saying that 45% of our national income is enough or is he from the school "the lower, the better"? I'd like a response. Moreover, Mr Slootweg also asked what exactly happened to the EUR 8 billion that the minister stole abroad? At which banks and companies was that? I come to the second part of my plea to look beyond the buffers. This consists of implementing structural reforms that strengthen our economy. It's more resilient and resilient when it's inconvenient. The cabinet has achieved a major achievement with the Climate and Pension Agreement. Now it is important to go from paper to practice there. However, this minister's stewardship could still use a double dose of reforms, such as the healthcare expenditure that grows further every year and pushes investment or makes it more difficult to reduce burdens. In one of the less clear passages of his School Singing, Hoekstra warned the politician Hoekstra, the CDA'er, as he himself said in Box K, but from the Cabinet I see so few serious initiatives to curb that increase more actively or at least to estimate that increase more accurately, or at least not to raise this crucial debate on the agenda. The same applies to the reform of the housing market. The European Systemic Risk Board says very explicitly to the Netherlands: should they not be reduced a little further? These are adjustments that I believe would also be in our own interest as part of a broader reform, because our house-high debts and our capabilities that are rock-solid make us even more vulnerable in crisis times. In short, there is still a world to be won here. But instead the Minister writes: sorry, Mr. Draghi, we do so much already. So, Minister, the question is how to ensure that we can answer next year: oh, and Mrs Lagarde, thank you for the advice, we are working on it. Reforms must also be accompanied by a sense of urgency, because the moment that we sighed that we should have reformed when the economic tide was in place is getting closer faster than we would have liked. Incited by populism and nationalism, dark clouds are hanging over our economy. They appear from across the Channel and across the ocean. The risks from China and Italy have also been on our radar for some time now. Mr. Chairman. Today I would like to consider another risky region. Today it is exactly a year since Mohammed bin Salman, crown prince of Saudi Arabia had Jamal Khashoggi murdered the journalist. Shortly afterwards, the Minister and I were facing each other in Question Time, after which he finally decided not to act in a panel next to the Crown Prince at a conference organised by the Saudi sovereign wealth fund. This week, a year later, Bin Salman acknowledges full responsibility, but justice is still a long way to go. This year Saudi Arabia will be president of the G20. The Queen already gave an example of how we shouldn't deal with it at the beginning of the summer. My question to the Minister is: how is he going to make sure it doesn't become a business as usual? What is his answer to the question put by his fellow minister above the market: does he think that people who fill their tanks with Saudi oil are responsible for the crimes and crimes of that country? And does he think that the Dutch State is partly responsible because we are making money from the excise duty on that oil? Mr. Chairman. Our addiction to the oil infusion with which we sponsor authoritarian regimes in this region is, of course, terrible. It also makes us financially vulnerable. The drone attack on an oil refinery two weeks ago made that clear again. That is why I have the following request. With so many risks lurking, I would still like to receive that shock test for public finances. But even without these risks, the economy will be reduced once again. Last year, therefore, I asked that we prepare ourselves more seriously for a cyclical change. The terms of reference for the 16 working groups working on this motion are promising. Compliments of the way that was picked up. This year I would like to add to that the Council of State's call for greater attention to be paid to the composition and efficiency of public expenditure on debt instruments, indeed, Mr Snel's special attention to the benefit-burden system. Mr. Chairman. In these calls I take hope from the knowledge that the Minister dares to make big decisions in a short space of time when he has seen the light. For example, we saw this force in the purchase of Air France-KLM shares, while of course we are becoming increasingly curious about the follow-up and when we get certainty about the state guarantees. And yes, as I said to Mr Bruins, it is very important to ensure that there is always a sober person present at such moments. I asked for an exit strategy during the debate on the purchase, because the government is mainly there to be a good partner or market master, but not necessarily to play the small business itself. This question about an exit strategy has again been central to ABN in recent weeks. Since the Minister's arrival, ABN's stock market value has fallen by several billions, while the government agreement states I am pleased that the Minister confirms in the answers that he still wants to sell it as quickly as possible. My question to the Minister is: how exactly can we control what opportunities have been there? Then the Secretary of State. He's like this, contemplating everything, kind of boring about it. But maybe he has bigger challenges. As the Court of Auditors pointed out, it has made improvements and achieved results in the Tax Administration. But the legacy is a heavy burden and solving it really takes a lot of time, while there is yet another ambitious fiscal agenda. I have three questions for him. Firstly, the municipalities, which were also mentioned earlier. They have been given many additional tasks in recent years, but their funding is lagging behind, in terms of stability, in terms of systematic and in terms of size. Municipalities remain very dependent on the Empire and the Empire then adjusts their budgets a few times a year, sometimes even afterwards. The cabinet is now looking at a more stable supply of the Municipal Fund for the coming years. But is the Secretary of State also prepared, as Mr Nijboer rightly asked, to look in the short term to see if the adverse effect of under-utilization by IenW can be reduced? And is he prepared to consider for the longer term whether another system, for example that larger tax area, or any other standard-setting method would be even better? Meanwhile, municipalities suffer from a large bleacher, the scaling-up discount. At first it was introduced as a sweet little leech of about 60 million by Minister Plasterk. But in the meantime, this Plaster stimulus has been quite swollen and in full-grown form it costs almost 1 billion euros a year, while the odd conclusion must be that very, very little has come of this announced scaling-up. Or does the Secretary of State still see any logic? Not only municipalities, more than six million households are dependent on the Empire through the payments to make ends meet, and they too often get caught up in recovery and get into trouble. This system is clearly running against its limits. It needs to be much simpler and it needs to be better. Wide lives the desire to ensure that work pays better and that more work pays more. But we continue to wait for investigations and investigations, and we continue to nudge implementation problems. So what are ambitions and the Secretary of State's plans to make progress here? Wide also lives the desire in the Chamber to reform capitalism to preserve it, except for Mr Alkaya. In our globalised world, this is going to have to appeal to him, because he made a plea for international cooperation. For this we must increase European sovereignty in order to defend our Dutch interests. Whether it's contemporary competition control on tech companies, I see him nodding in agreement or effectively combating tax avoidance, and when it comes to greening our taxes so that pollution of our environment and destruction of our planet will not be so absurdly cheap, European cooperation is crucial.
ParlaMint-NL_2019-10-02-tweedekamer-6.u34	If it were to remain in cooperation, many people would simply have nothing against it at all. The point is that we all give away powers that we ourselves could best retain at national level to Brussels. My question to Mr Sneller is: could he categorize the European Union as a capitalist union, a socialist union or something in between, or perhaps even as a neoliberal union? And how would he back that up?
ParlaMint-NL_2019-10-02-tweedekamer-6.u35	As far as the latter is concerned, I have never fully understood what that would be like. I hear the word very often from Mr Alkaya, but what it is exactly, I have never heard of him. But I think that in the past few years, Commissioner Vestager has shown how to deal with these big tech companies by acting together, powerful and unambiguous. I think that is very good and something that we welcome together.
ParlaMint-NL_2019-10-02-tweedekamer-6.u36	It has been the same European Commission that has forced us, for example, to abandon our interests in utilities or to ensure that there is an obligation to tender for services, which we would all note is that there really is no market. But we had to and would pretend that the European Union was a market, because it is a neoliberal project. It's a dogma. It is a belief that the European Union is so deeply involved in the system that it is impossible to get out of it by democratic means at all. It should also hurt Mr Sneller, for example, that there has not been a spitzen candidate.
ParlaMint-NL_2019-10-02-tweedekamer-6.u37	We have had an extensive discussion here.
ParlaMint-NL_2019-10-02-tweedekamer-6.u38	But, Mr President, you must also admit that I have been somewhat challenged on this point.
ParlaMint-NL_2019-10-02-tweedekamer-6.u39	Of course.
ParlaMint-NL_2019-10-02-tweedekamer-6.u40	A little bit.
ParlaMint-NL_2019-10-02-tweedekamer-6.u41	And this discussion never gets old, Mr. Chairman. Democratically, you can change it just fine if you are strong enough in the European Parliament. I am convinced that the internal market has brought the Netherlands a great deal and that further completion of the internal market, for example for digital services, could bring us much more prosperity and that we should be very pleased with that.
ParlaMint-NL_2019-10-02-tweedekamer-6.u42	Let us conclude, then, that, at least in recent years, the European Union has been a huge neo-liberal project and that I have yet to see whether Mr Sneller and his colleagues are able to change that, if they wanted to do so at all.
ParlaMint-NL_2019-10-02-tweedekamer-6.u43	In my view, I have just mentioned a number of things such as combating tax avoidance, tackling techriques, greening the taxes that this State Secretary, but also others in Europe, is fighting hard to get it done together. After all, it is politicians, it is countries, it is us who are at the wheel of the European Union. For example, we went together with the French to raise European ambition in the area of climate, and the Dutch and German Cabinet meet again to achieve these ambitions. When is this going to produce concrete results, I ask the Secretary of State. Mr. Chairman. Finally, before there were any misunderstandings, which were likely to arise in the first two minutes. About the minister's personal lifestyle: that about that young father really wasn't about the minister himself.
ParlaMint-NL_2019-10-02-tweedekamer-6.u44	I shall go back to the beginning of Mr Sneller's speech. Then he started talking about mind enlargement and new insights and I think he spoke to the minister who very easily put aside an earlier proposal from the VVD about the windfall formula. Then the question is also legitimate, I think, how D66 stands in that discussion about the windfall formula. Does Mr Sneller also think that with these windfalls something more and some extra can be done for the middle incomes?
ParlaMint-NL_2019-10-02-tweedekamer-6.u45	I have expressed warm words about this to Mrs De Vries' predecessor as a financial spokesman, but it depends on how you put that formula together. The VVD easily let that happen at the time. So if that is reinserted, then I see it as encouragement.
ParlaMint-NL_2019-10-02-tweedekamer-6.u46	I count on that, despite the wording, but in support of the VVD's proposal.
ParlaMint-NL_2019-10-02-tweedekamer-6.u47	Whatever exactly that proposal is.
ParlaMint-NL_2019-10-02-tweedekamer-6.u48	I'm surprised... Yesterday The Hague was flat on these tractors because of all those farmers, while the problems of nitrogen in these General Financial Reviews hardly seem to play a role. That's crazy, because thousands of people are waiting in line...
ParlaMint-NL_2019-10-02-tweedekamer-6.u49	There's gonna be another reaction.
ParlaMint-NL_2019-10-02-tweedekamer-6.u50	... on new homes and those farmers don't know what they're up to. What do you think of that?
ParlaMint-NL_2019-10-02-tweedekamer-6.u51	I believe that the cabinet should come up with a solution quickly, and I believe that my colleague, Mr De Groot, whom I am very proud of, has done it and what he has done, has made it clear what the priorities are for us, and that is, indeed, that housing must continue.
ParlaMint-NL_2019-10-02-tweedekamer-6.u52	So now we have a debate on the General Financial Reviews, but we have no idea how we're going to pay for it and what the Cabinet plan is. Then may I ask one specific question?
ParlaMint-NL_2019-10-02-tweedekamer-6.u53	There has been money on the table since this cabinet period to start this warm clean-up and to ensure that farmers who want to stop can do so or to ensure that farmers make a switch to circular farming. Mr Snels knows that too.
ParlaMint-NL_2019-10-02-tweedekamer-6.u54	Finally, I would like to ask a very specific question. I was surprised by that. On Prinsjesdag, this cabinet has triumphantly announced that there will be a billion for housing. Now it appears that this billion is not only used for housing but also for buying out farmers. I would like to know what Mr Sneller thinks about that.
ParlaMint-NL_2019-10-02-tweedekamer-6.u55	In the meantime, I have been able to read that actual question now that Mr Snels has asked someone else. That's not what it says. What it says is that companies must be able to be bought out. If you then buy out a farmer to build houses there, I think that's a very good use of money. In my opinion, this is a bit of a low-water search by Mr Snels.
ParlaMint-NL_2019-10-02-tweedekamer-6.u56	Finally, Mr Snels.
ParlaMint-NL_2019-10-02-tweedekamer-6.u57	I don't want us playing ball-ball with budgets. I think that on the one hand we need extra money for housing. All those thousands of people on the waiting lists are entitled to that. On the other hand, I think that we should make another financial record of how we are going to help farmers. I hope Mr Sneller agrees with me that we should not play ball with budgets.
ParlaMint-NL_2019-10-02-tweedekamer-6.u58	Mr Snels must be careful not to think for himself that it will be true if he repeats it often enough. I very much agree with Mr Snels that it should be transparent and transparent.
ParlaMint-NL_2019-10-02-tweedekamer-6.u59	Thank you, Mr. Faster. I now give the floor to Mr Nijboer on behalf of the PvdA.
ParlaMint-NL_2019-10-02-tweedekamer-6.u60	Thank you, Mr. Chairman. While the budget is thriving, this week there was a school that said 'we need to close', more and more schools are entering the four-day school week because of the shortage of teachers, there are increasingly unauthorized teachers in the classroom and education is heating up. The great message the PvdA has on this Millions note is that there are financial surpluses, but there is a deficit for the needs of society, a deficit for the social problems that exist today. Mr. Chairman. In my speech, I would first like to comment on the choices made in the budget, including the fund. Then on budgetary policy, not much has been said about this today. It has been mentioned here and there. Finally, my third theme is the Tax Plan and the question of how we, as Social Democrats, are dealing with it. First of all, the budget. I didn't start caring in education for nothing. The primary school teachers are now going to strike for the second time because of the enormous workload and undervaluation they experience. That is truly unprecedented in our history. There are schools that are no longer able to provide education, especially to disadvantaged children, which they would like to offer. That is sad for the pupils, sad for the parents and also sad for the teachers themselves who cannot offer the quality they want to deliver themselves. Mr. Chairman. The cabinet has presented an investment budget to the Millions Note. What the PvdA Group does not understand is why this is not reflected in the education budget. How is it that there is still a commitment of EUR 148 million? How is it possible that higher education itself has to cough up the maled interest rate increase for students up to 225 million structurally. A VVD senator didn't get this through the Senate. You know it all because you were all there. How is it that the cabinet says on the one hand that we need to invest more in technical training and that this should then be covered by gamma sciences, medical sciences and alphasciences? How can it not be that a huge investment in education is being made when we see that there is an increase in inequality of opportunity there? Mr. Chairman. The second issue on the budget is living. But I see Mrs De Vries.
ParlaMint-NL_2019-10-02-tweedekamer-6.u61	Me too. Mrs. De Vries.
ParlaMint-NL_2019-10-02-tweedekamer-6.u62	I remember these precious words about education from the General Political Reviews. But could you tell me whose quote this is? "Money is not the biggest problem in education."
ParlaMint-NL_2019-10-02-tweedekamer-6.u63	I have no idea. There are other problems in education; I agree with you. The money needs to be better deployed. Extra money is sometimes made available that does not end up with teachers. I am happy to be involved in all these things, but both in primary and higher education there are simply not enough resources to reduce the workload and improve pay. In fact, there's a cut in higher education. So there's got to be money, too.
ParlaMint-NL_2019-10-02-tweedekamer-6.u64	I can help you out of the dream. It was PvdA Minister Jet Bussemaker who said: money is not the biggest problem in education. You often ask: how can it be? I wonder how the PvdA made such a sound then and now this sound.
ParlaMint-NL_2019-10-02-tweedekamer-6.u65	That sound hasn't been any different. I do not think it happened entirely, but I have tried to praise Mr Sneller and will now do so explicitly for the commitment that D66 had during the coalition years to arrange extra money for education. "Half a billion clean" had to be added by Pechtold at the time. I was there myself, so I know exactly. In all this time, while Mrs De Vries' VVD was also in the government, we have never cut back on education. We've invested extra in it because it's so important. I shall now continue with that plea.
ParlaMint-NL_2019-10-02-tweedekamer-6.u66	I have to say that's a very different sound. But then it would also be fine and good to acknowledge that this cabinet also invests heavily in education. It's invested $2 billion. You deny that on all sides. I think that is a pity, because it would be a good thing if you would also tell the cabinet that you think that is a very good thing.
ParlaMint-NL_2019-10-02-tweedekamer-6.u67	But I do not deny that more funding is being made available for workload and higher salaries in primary education. It's just that we don't think it's enough. We think, to be precise, that 580 million should be added. Mr Asscher also tabled a motion to that effect before the General Reviews. We don't think it's enough. That's why the teachers are on strike. It's not like you're not making anything available; I'm not saying that either. But there are hidden cuts in the education budget while extra money is being allocated to Defence, rising to 1.5 billion. I just don't understand anything about that. I do not understand how there can be cuts in an education budget in these times of abundance.
ParlaMint-NL_2019-10-02-tweedekamer-6.u68	The interview of Mr Nijboer's foreman was also clear, but still to understand it really well: is the Labour Party going to vote against the Education budget in a moment, and thus also against extra money for tackling workload in primary schools, against extra money for pre-school and early school education, against extra money for technical VMBO and against extra money for beta and technology? Because that is, of course, also a consequence.
ParlaMint-NL_2019-10-02-tweedekamer-6.u69	Mr Slootweg may end all posts, but if you look at the Education budget for 2019 and the Education budget for 2020, it will be 300 to 400 million less than this year. And we're not voting for a lower education budget next year. This is partly due to the cuts I have just mentioned.
ParlaMint-NL_2019-10-02-tweedekamer-6.u70	I think my question was clear: do you vote...
ParlaMint-NL_2019-10-02-tweedekamer-6.u71	So we vote against, yes. Sure.
ParlaMint-NL_2019-10-02-tweedekamer-6.u72	You will therefore vote against additional work pressure elementary schools, extra money for early school education, extra money for technical VMBO and extra money for science and technology. That's true, isn't it?
ParlaMint-NL_2019-10-02-tweedekamer-6.u73	Mr Slootweg mentions here all the intensifications that have been included in the budget and in itself we share those individual intensifications. But on balance, for next year, this cabinet will be presenting a budget that is lower than this year's, in times when educational investment is so immense. This applies to higher education in particular: where student numbers are not decreasing, a cut is simply presented. I'm not gonna take that for my hood. I want to change that. I would like to work with you to get that off the table, as well as with D66, because I see Mr Sneller already standing there, but if we do not change this, we cannot support this.
ParlaMint-NL_2019-10-02-tweedekamer-6.u74	Finally, Mr. Slootweg.
ParlaMint-NL_2019-10-02-tweedekamer-6.u75	Let's talk about the starting point. I think everyone here is very sorry about what happened at the Montessori School in Amsterdam, but isn't it a little too easy to say that this is only because of extra money? Have the inspection reports, which I believe were there during the time when your foreman was alderman in Amsterdam, not been a reason to take a look? Is this just the Empire's money, Mr. Nijboer?
ParlaMint-NL_2019-10-02-tweedekamer-6.u76	No. Mrs De Vries also made this point; there is much more going on. There is also a general concern, including at the PvdA, about educational quality. That quality is sometimes below par. We are also starting a whole discussion on Article 23 because some schools, despite the money, offer poor quality and we do not think that this is acceptable. These are also problems, but additional money is also needed to reduce the workload to keep the profession attractive. Because there aren't enough teachers. It takes extra money to give a decent reward to the people who do that job.
ParlaMint-NL_2019-10-02-tweedekamer-6.u77	In my opinion, Mr Nijboer's reasoning on the education budget is inadequate as a financial spokesman. I think that if he looks at it again, he will come back to it in the second term.
ParlaMint-NL_2019-10-02-tweedekamer-6.u78	No, I didn't. I took a good look at that.
ParlaMint-NL_2019-10-02-tweedekamer-6.u79	However, my question concerns the alleged consistency of Mr Nijboer's educational position. Because I hear a lot from the PvdA about closing the pay gap between primary and secondary education. But isn't it true that the PvdA went into the elections with the proposal to increase that pay gap, and not to reduce it?
ParlaMint-NL_2019-10-02-tweedekamer-6.u80	That's about the 0.25% round. I believe that we gave 3.5% above expected wage developments and 3.25%, so normal wage developments plus 3.5% or 3.25%. That round did not go well at the time and that was bad in the field of education. Well, Mr. Sneller has heard our commitment. We believe that primary education, which especially basic teachers deserve a better salary.
ParlaMint-NL_2019-10-02-tweedekamer-6.u81	Yes, I have heard the new position of the PvdA, but that is why I am asking for consistency, because Mr Nijboer himself is so keen on it. When it comes to closing a pay gap, and if you think this is so important, don't you come to the elections with a rounding difference? Mr Nijboer knows exactly how these systems work, doesn't he?
ParlaMint-NL_2019-10-02-tweedekamer-6.u82	That's the way it is, Mr. Chairman. We have a substantial increase in our electoral programme for all teaching staff. And we covered that, too. One was 3.5% and the other 3.25%. I'm gonna say it right out of my head, because this was calculated two and a half years ago. I think that was what we had and I'm still ahead of it. That is what I am talking about here: improve the remuneration in education and start with it now in secondary special education. That's where people are underpaid, and you heard that. And also reward elementary school teachers better.
ParlaMint-NL_2019-10-02-tweedekamer-6.u83	Finally, Mr. Faster.
ParlaMint-NL_2019-10-02-tweedekamer-6.u84	Mr Nijboer says "two and a half years ago," but he suggested less at that time than the cabinet has already done. So a little more modesty would be appropriate in view of the PvdA's track record and given the proposals that have been made.
