ParlaMint-NL_2019-05-28-eerstekamer-14.u1	I give the floor to the Secretary of State for Infrastructure and Water Management.
ParlaMint-NL_2019-05-28-eerstekamer-14.u14	Two things about that. The wind is blowing, and we have relatively little influence on that. What we do have influence on are the roofs in the Netherlands. Strengthening the source policy in the Netherlands means at least reducing the release of fibres here. Especially in the immediate vicinity of places where the fibers are released, there is always a high risk of flushing and walking in those fibers by people, for example in their own premises. That's something that has nothing to do with the wind at all. In addition, east wind is not the most common wind. The most common wind in the Netherlands is west wind. I have also asked for advice on this point, and I was told that its impact was assessed as very small. Mr. Chairman. I'm going to go on with the question of whether it's proportional. That is the question that the first group of questions raised. The RIVM has also sent out a clear signal on this issue. RIVM clearly indicates that there is no "sympathetic" type of asbestos. Asbestos in bound form is not a problem in principle, but the problem of asbestos is precisely the release of these fibres by weathering. So if those fibers are released by weathering, you're not talking about that bound asbestos anymore. RIVM also says that reading the articles may have given the impression that the risk of asbestos is less than expected. RIVM stresses that this is not the case. There have been no new insights on the risk of asbestos from health damage since 2010. Asbestos is a carcinogenic substance for which there is no safe lower limit of exposure. That is why it is said: you should really strive to come under that standard of that Negligible Risk. With this law, we're making the move to that border, and without this law, you're getting off that line. Mr. Chairman. The limit value indicates the quality level to be respected. That's what the Health Council says about this. I understand the questions, but I think we should also take with us that this is a risk that we literally know where it lies. That is not true for many other risks. They are sometimes elusive and sometimes it is difficult to determine exactly what to do to limit that risk. That's very easy for this risk. We know literally that it is in the municipality of Dalfsen, for example. We literally know the street in Lelystad where it is. We literally know where these roofs are located in the municipality of Utrecht. We know exactly where it lies, and we also know that there are all kinds of measures to reduce this risk. Mr President, if we do not do this, we will allow us to get further away from that avoidable risk, that Negligible Risk. A specific question has been asked by Mr van Dijk of the SGP on outdoor fibers. I have already said that we are now about 35. The question is: are we going to move away from the Negligible Risk, or are we going to try to get there by addressing the last major source?
ParlaMint-NL_2019-05-28-eerstekamer-14.u15	Do you mind if I hit this? I, too, am not an expert in this field, but I understand that we are now at 35 and that we should go to 28. I understand from experts that they are both negligible quantities, which cannot even be measured. The main issue remains what the benefits of this bill are now. Compared to the nineties, the air is much cleaner. And for the indoor climate of houses we accept a much higher number of asbestos donkeys. It's still incredibly complicated, I think.
ParlaMint-NL_2019-05-28-eerstekamer-14.u16	I believe that the numbers referred to by Mr Van Dijk do not relate to the general indoor climate, but to working conditions. There, too, the number of fibres has been adjusted to the risk of 10. So there too that standard has been used. The same standard is always used. We have said that we must ensure that we get underneath it. We must not, of course, think that we can go so far that we can know very precisely whether we are on 28 or 29 fibres; that is bogus precision; I share that with Mr Van Dijk. But it is quite clear that this is a great source and that asbestos roofs that defend will release many more fibres. Thus, without a joint coordinated and concentrated approach, the risk will increase, rather than move towards negligible risk. And this is when we know exactly where the risk lies and we also know exactly what we can do about it. If we know that the second block of the answer is that we can do it technically, but that we can do it in a way that is bearable for the people involved, then in my opinion there is a very important key. For me, too, it is very important that you do not put anyone in an impossible situation because of such a ban. But because you know exactly where the risk lies and you also know that it can be technically done, you want to get the instruments in place to make it possible, including for the people involved, to take that step. On that point, I share the concerns of the Chamber very much and I am also very motivated to come up with a solution with the Chamber which we say should be possible in this way.
ParlaMint-NL_2019-05-28-eerstekamer-14.u17	I would like to touch on the point made by the Secretary of State that we know exactly where the risk lies. As we understand it, this applies to 182 municipalities, which have detected 400,000 roofs. But the other municipalities have not yet inventoried this, or at least we have not yet available the data. And time fades on. And then we only have the data digitally it is an asbestos roof or not an asbestos roof without you knowing anything about the quality of that asbestos roof.
ParlaMint-NL_2019-05-28-eerstekamer-14.u18	I'm sure I'll come back to that later. I did not want to say that we already know exactly where it is from every roof, but we know where the roofs are. I will also give the Chamber a slightly more optimistic picture of how far we are with the registration. That is, for a small part, an ongoing process, that is true, but when we complete it, we really know exactly where it is from every roof. Now we already know 75% of this, I say as a sort of spoiler for the answer in a moment. Grosso modo............................................................................................................................................................ We also follow it, in order to maintain the risk of dumping, a question was asked about this too, which I shall come back to again to keep manageable and to prevent a leakage flow from there. It also called for consistency with other policy areas. Among other things, Mrs. Fiers asked for that. I have already mentioned the external safety standards of 10, but you can also see in other areas, such as pesticides, that there is a special regime on them. We have a special regime for very worrying substances. There too, you have to reduce and go further and further down and eventually come to phase-out. So there are other substances that we really have a very strict policy on, because we simply no longer think the risks are acceptable. Ms Baay-Timmerman asked if the effect of long-term exposure was included in the Health Council report. Yeah, that was taken. In my opinion, the Health Council has recently confirmed that the 2010 report contains the most recent insights on this issue. So it is true that long-term exposure has been assumed. I have already discussed the Aedes report in my introduction. Mrs Baay-Timmerman also asked a question about indoor asbestos. You can see that the real problems arise in the weathering of asbestos in particular. It is the weathering of the roofing that causes the fibers to loosen. And when they come loose, the big problems arise. That is why asbestos roofs are the main source of loose fibres and therefore pose the greatest risk. Also in the case of fires it appears that it is mainly the roofing that is spread. Sometimes asbestos is also in a sprouting wall, but it doesn't turn out to be so quick to get out. It's really about the roofs where asbestos spreads. Moreover, if asbestos is not attached to the house, the obligation to clean up already applies. That's the distinction that's being made.
ParlaMint-NL_2019-05-28-eerstekamer-14.u19	In what way does this concern the façade plates with asbestos in case of fire?
ParlaMint-NL_2019-05-28-eerstekamer-14.u20	That's a very good question. I also asked myself why the façade plates were not included as part of the ban. It turns out that the weathering of façade plates has a very different pace than the roof panels, which are much more weathered by the circumstances. However, I did say that if you want to take care of people, I will not come to that later: the instruments we put together only apply to the roof panels and not to those few façade plates. Because that would mean selling a house with asbestos façade plates on it. I'm willing to take care of the people, to make sure that the façade plates in the fund can also be taken, if that's what people want.
ParlaMint-NL_2019-05-28-eerstekamer-14.u21	But we were just talking about fire. I imagine that not only an asbestos roof, but also façade plates in case of fire do provide loose asbestos particles.
ParlaMint-NL_2019-05-28-eerstekamer-14.u22	Yeah, it could be for the facade plates. I thought you were referring above all to asbestos which is still in the house. That is also a reason to say: if we are going to clean up, it would be weird to say that we are abandoning those facade plates. I just want to leave people the choice to take that or not. The façade plates are not covered by the prohibition. If you look at the large surfaces, we're really talking about the roofs and not the façade plates. But I do want to offer people the option of taking that with me. Because it's weird if you say, no, you can't use the resources we have for that.
ParlaMint-NL_2019-05-28-eerstekamer-14.u23	So that means that now the commitment is made that if people clean their asbestos roofs, the fund will also make money available for the façade plates.
ParlaMint-NL_2019-05-28-eerstekamer-14.u24	I think that façade plates should be able to be included in it, if that's what people want. Mr Binnema asked for support. I will come back to that later. We note that one of the speakers has also acknowledged that it is actually said that this is an example of a situation in which all parties really cooperate and want to work in the same direction, and also share best practices, in order to ensure that what works well in one province is also used in the other province. We have set up the National Programme Office for this purpose. These are all things that, in my opinion, really contribute, including for local authorities, who may have less room to invent the wheel themselves. On the contrary, we must ensure that we make use of these joint forces and help everyone to take those steps. That programme agency............................................................................................................................................................................................... Building The Netherlands is also involved.
ParlaMint-NL_2019-05-28-eerstekamer-14.u25	Mr. Earthema would like to ask a question.
ParlaMint-NL_2019-05-28-eerstekamer-14.u26	I'm reacting a little late, but the Secretary of State just went into the facade plates, which might also be covered by the fund. I have argued that Mr Atsma did the same thing: there are, above all, many farms where asbestos is under the reed roofs. If you get a fire, the asbestos is gonna spread, too. Can you tell me if you're going to add that to the fund?
ParlaMint-NL_2019-05-28-eerstekamer-14.u27	I have the question "to where?" Mr Atsma asked a question about the definition of a roof in the written round. We've seen the weathering take place where it's exposed to the elements. That is why that ban applies. Those facade plates are said to be less subject to weathering. That's why they didn't end up in that ban, but if you do clean up your entire roof, then it makes sense for you to take it with you. I find that getting a little more critical on a wicker roof, because you're not going to clean that wicker roof because of the asbestos risks. They are not only caused by fires, but also simply by exposure to the elements. But if that's the question, I'm willing to see if I can say a little more about it in the second term. I find it difficult at the moment, because I cannot yet assess what we are talking about. Are we still talking about the same group that we are trying to help here, namely the people who are covered by this fund? Anyway, I'd like to see if we can say a little more about that in the second term.
ParlaMint-NL_2019-05-28-eerstekamer-14.u28	I understand that the weathering of asbestos under wicker roofs and roof tiles is a little slow, but I myself have been to a large farm fire a few times. You'll see that the spread continues. Hence my question on this aspect.
ParlaMint-NL_2019-05-28-eerstekamer-14.u29	I get the question. In any case, I will see whether we can say anything about this in the second term.
ParlaMint-NL_2019-05-28-eerstekamer-14.u30	The Secretary of State just mentioned the issue of engagement, coalition, cooperation and so on. I have seen that the programme bureau, the asbestos ambassadors and the acceleration approach are working well. In this sense, a number of the parties that are needed work together, but I assume that LTO Netherlands, Association Eigen Huis, Aedes and so on have not only expressed their concerns towards this Chamber, or in some cases have even made an explicit appeal that it is moving too fast and that it is not feasible in this way. I think that these parties will be very much needed in the future if the ban is to be properly implemented. I was curious to see if those same signals have reached the Secretary of State.
ParlaMint-NL_2019-05-28-eerstekamer-14.u31	A lot of statements have been made. Sometimes you also see that different people from the same party make different statements. For example, Mr Schenk of LTO called it a "sneak killer" and advocated moving towards this acceleration in the vicinity of farming families, which are particularly at risk. I think the key is to do it in a way that is feasible for everyone. I think that's the key to getting these parties too. If you have a house with a lean roof or a large farm but only a small AOW and barely freely disposable income, and if you have to pay it all off monthly, I imagine you don't think that's feasible. But if, for example, you can do so through an interest-free loan that has to be repaid only when a possible property is sold, then that is a completely different situation. Then maybe you'll feel much less that it's an impossible situation and less worried about the ban. I think the key is how we do it. That is very important in order to be able to take all these parties.
ParlaMint-NL_2019-05-28-eerstekamer-14.u32	Can I assume that the Secretary of State in the block about the fund and the loans will come back extensively on how the feasibility will be taken into account?
ParlaMint-NL_2019-05-28-eerstekamer-14.u33	Yeah, absolutely. And, of course, I'd be happy to answer any questions. Mr. Chairman. I come now to the block that deals with the market and affordability. Whether something is affordable depends on the price and on the other side of the income of the person who has to pay it. The price is then linked to the costs in the market, and the costs in the market are again related to capacity. On the other hand, the income of someone, the funding, the solution, has to do with the question of what the alternatives are or what the situation is different. I shall return to all these points. Mr. Chairman. Several parties are working on more efficient and effective methods of clean-up. Hopefully, for the summer, it will be possible to clean roofs from open work troughs in certain situations. At the moment this is being investigated and we are looking to make it easier for roofers, for example, to clean up asbestos roofs. In addition, it looks at making working methods more efficient and, for example, it is beneficial to apply a foam coating to reduce the spread of fibres during removal.
ParlaMint-NL_2019-05-28-eerstekamer-14.u34	Is there any consideration of the final destination of asbestos when looking at other methods of clean-up? At the moment it is packed in plastic, put in the ground and covered with concrete. In fact, it is left to future generations.
ParlaMint-NL_2019-05-28-eerstekamer-14.u35	This question touches on another subject that concerns me very much: circular economy. In fact, you want as little products as possible to end up with the waste as something we can't do with. I can see if we can be a little more specific in the second term about methods, in particular, to defuse or even re-use asbestos, but only if we are sure that there are no more health risks. I am happy to see if I can say a little more about this in the second term. So we are looking at making working methods more efficient. This is mainly the responsibility of the Secretary of State for SZW, but we certainly do. It is planned that we will have a better view of this at the end of this year. I'll say more about that. We're also working on communication. The question of whether the market has sufficient capacity has to do with the pace. At your own hearing, too, VERAS made it clear that it should be about 15.000.000 m, that that is not a problem and that if we start from tomorrow, that means an additional capacity in the industry of about 250 to 300 employees, an increase of about 5%. If the question is whether the people are there to do it, it would mean an increase of about 5% according to the sector. That seems feasible. In addition, we are working on increasing the group of parties that can do this work, for example with those roof certificates, which I have just mentioned. So I fully understand that the capacity in the market is related to the prices that individual market participants can ultimately write down in their bid. It is therefore important that, with all the guarantees for the people who carry out the work, we look together for simplifications, simplifications, reducing concerns about the fact that it is a closed market, which can push prices up endlessly. Moreover, Mr Stam van VERAS says that the amounts are significantly higher: no, at most the landfill rates have increased slightly. I'll be back at landfill charges later.
ParlaMint-NL_2019-05-28-eerstekamer-14.u36	The Secretary of State convinced me in the first round that we should go further along this road and that we really should do so, given the health risks. This brings me to an important subject: what could people do themselves or what can others do? You say, for example, that roofers can do something instead of asbestos repairers. At least I was on that trail with a number of colleagues. It is important to be very specific about this in this debate, because that is a very important road. That is in line with what people can do themselves. That's about the 35 m. That's what roofers can do. You're talking about coating. You say that's what we're looking at. But I think it is important that we get a concrete view of this in this debate, because that could be a huge relief for roof owners.
ParlaMint-NL_2019-05-28-eerstekamer-14.u37	We need to look at the degree of precision we can achieve here, because in part I depend on my colleague from SZW, who must, of course, ensure that we continue to adequately protect the people who carry out the work. I still have a lot of answers that go into that, so perhaps we can see, at the end of this block, together with Mr Kuiper, if we have sufficient precision in the process when will that be clear?
ParlaMint-NL_2019-05-28-eerstekamer-14.u38	Then it would be important for the information of your colleague from SZW to be present in our debate. I don't know if there's room for that anymore.
ParlaMint-NL_2019-05-28-eerstekamer-14.u39	Yes. Someone from SZW contributed to the response. This information is directly involved, but if there are any outstanding points, I can always see if we can further clarify the question in the second period. I'd like to hear that later. Mr. Chairman. Among others, Mr. Earthema had asked if 2024 is feasible. The industry itself indicates to find it feasible. In addition, we are working on extending the parties that could do it. We are also committed to accelerating, inter alia by making collective approaches at district level more possible. Then you'll just go faster. We are also making funding available here, and I will come to this later and make it possible to communicate. You want to reach as many people as possible. That question was also asked: is there going to be a clear communication campaign so that everyone knows they have to get to work and no one is surprised? Then there was Mr Binnema's question on the burden-sharing between owners and public authorities. I will come back to that in a moment, because that is actually part of the other block. Then both Mr. Binnema, Mr. Kuiper, Mrs. Stienen and Mr. Earthema had questions about capacity. The SZW Secretary of State draws up a policy response to the functioning of the asbestos system. She indicated that, as a very concrete point, she wants to look at the requirements in the certification scheme. That was requested by the PVV, GroenLinks and the Christian Union. It wants the asbestos system to be simpler and more risk-oriented and that the certificate should focus more on the quality of the process and experts. By the end of 2020, the SZW Secretary of State wants all of this completed. Protection is paramount, but no unnecessary cost to the demands. Innovation that was a D66 demand is also taken into account. I will then investigate the risks of exposure to specific asbestos roofs. Of course, the Secretary of State has a responsibility over much more than just the out-of-the-box clean-up; she also has a responsibility over the in-house clean-up. In the interior cleaning a number of additional risks are more difficult, for example the tip of the open bins and the tip of the roof covers. So we're specifically looking at how we can make it easier for the exterior remodeling. At the end of 2019, at the end of this year, we hope to have that clear.
ParlaMint-NL_2019-05-28-eerstekamer-14.u40	I first heard you say "end 2020" and then "end 2019. I'm just a little confused about when that clarity comes.
ParlaMint-NL_2019-05-28-eerstekamer-14.u41	The SZW Secretary of State is looking at the functioning of the entire asbestos system. This therefore relates to both internal and external clean-up. It wants to complete this by the end of 2020. But I'm looking specifically at the exterior remodeling. I will come back with some specific details on what we need to talk about. That should be done by the end of the year.
ParlaMint-NL_2019-05-28-eerstekamer-14.u42	However, one more point about certification. I understand what you are saying, namely that there should be broader certification, that more roofcoverers should be allowed to remove asbestos and that the SZW Secretary of State is looking at the valuation of the risk class and, in some cases, whether it can go down slightly. One of the points that we have also picked up is that there are very few certification institutions at the moment. So you can simplify it yourself on paper, but if there is only one institution that can certify we always come across Ascert and also control the market, then you keep it very limited. Then it can be true on paper, but not in practice.
ParlaMint-NL_2019-05-28-eerstekamer-14.u43	I know the risk Mrs. Klip is taking. When I had a debate in the Lower House on asbestos together with the SZW Secretary of State, this was also discussed. I know that she also wants to see whether it should remain that you only have one such body, and whether you should look a little wider to avoid the risk of a closed market. That, I believe, is the risk that Mrs Klip is addressing here.
ParlaMint-NL_2019-05-28-eerstekamer-14.u44	I share the comment about Ascert from the VVD side. Do you not think that it is wise that in such a difficult dossier, with such great social and financial consequences, state supervision should be provided under any name rather than Ascert? 'Cause you're actually asking about Ascert the impossible. They have to control their own market, they are their own boss and there are huge social interests at stake. Do you have any idea how to improve that by the government?
ParlaMint-NL_2019-05-28-eerstekamer-14.u45	I understand the question very well and also the dilemma outlined. This is really up to my colleague from SZW, but in the debate we have had together, I noticed that she is very well aware of this dilemma and that she is also actively thinking about it. Let me not anticipate her portfolio, but I may be able to give this as a comfort. So we are going to look at the possibilities of innovative working methods. To this end, studies are now being carried out on the extent of exposure in specific circumstances. That will be completed this year. The study is conducted under the guidance of IenW and looks at and makes clear whether the amount of asbestos fibres released remains under the statutory limit under certain conditions. If the legal limit is not exceeded, we are of course looking for methods where that is the case, then it becomes possible to remove the roofs. This is already covered by a simplified regime, the so-called risk class 1. This will not be subject to certification. The simplification for the specific circumstances examined can be implemented in practice rather shortly after the outcome of the study. There is no need to adapt legislation to this. So before the end of the year, we have an idea of what kind of procedures could be implemented under the simplified regime. They can therefore be applied immediately and they do not need to be incorporated into legislation first. If the limit is exceeded, a partial certificate could offer another solution. This may take a little more time, but that is still different from the fact that you need a full asbestos certificate to carry out work. That is what we hope to achieve in the market. In the direction of D66 I say once again that innovation is also absolutely in it. These were the points about market capacity, but I believe there is still a question left.
ParlaMint-NL_2019-05-28-eerstekamer-14.u46	If we are talking about market capacity, we have just been presented with an image of asbestos remodelling, but in practice it has also proved necessary to store asbestos. You just described that as being under concrete, but I know a lot of situations where asbestos is simply dumped or dumped in landfills. When you talk about innovative measures, you should come up with solutions at the end of the chain. Perhaps you can go into that, otherwise there will be little point. You can get it certified off a roof, but then you put it on a dump and it blows, it spreads again. Would you care to comment on that for a moment?
