ParlaMint-NL_2019-03-27-tweedekamer-6.u1	I shall be the first to give the floor to the Minister for the Interior and Kingdom Relations.
ParlaMint-NL_2019-03-27-tweedekamer-6.u12	Well, very briefly, Mr. Smeulders, but really one sentence.
ParlaMint-NL_2019-03-27-tweedekamer-6.u13	One sentence, one sentence. The minister makes it pretty black and white again. I'm not saying market players can't build. I'm saying that we can give corporations the space and that city councils can weigh that up. You are also responsible for local government. Just have faith that our municipal authorities will handle this well.
ParlaMint-NL_2019-03-27-tweedekamer-6.u14	Do I have that confidence in our congregations? I certainly have, without a doubt. In fact, I say very often: let's leave that to municipalities, because they have the best view of local housing needs. So I think they should have space in there. But now my job is to make sure more middle rent is realized. Then I'm warning you. There have been good reasons in the past to say that we should be cautious when it comes to housing corporations and everything outside their traditional job of providing social rent. We now say: we think it would be good if housing companies could operate in this segment under certain conditions, but not under such strict conditions as the current conditions. 'Cause now it's not really getting off the ground. The test is very strict. There are a lot of criteria to be met and so it does not happen in practice. I am therefore looking for the middle line, which makes it possible for municipalities to do these things with housing corporations, without driving away market players in this important segment.
ParlaMint-NL_2019-03-27-tweedekamer-6.u15	I'm trying to get it a little sharper, because I mentioned in my speech that I'm worried. Housing corporations do have ties with municipalities. They're just making performance agreements. So they sit at the table at least once a year and they meet regularly. Parties that come from outside may not have that access. The Minister says that parties may be driven away or that it is less attractive, but I would like to make it clearer. Isn't it true that if we really get rid of this market test, then we run the risk that market players will simply compete hard because a housing corporation knows the region, already owns a whole property, has links with the municipality and doesn't have to make any returns?
ParlaMint-NL_2019-03-27-tweedekamer-6.u16	Mrs van Eijs makes what I have just said even clearer. I was just saying that the word "test" may not be quite the right word. The aim is to ensure that municipalities do a fair market exploration, with maximum exposure to both housing corporations and market players. I just noticed that my answer is that municipalities have good contacts with corporations, is recognized by one and less by the other. The municipality must take the objective into account. The municipality wants to achieve a certain amount of social, a certain amount of middle rent and a certain amount of purchase. It must provide maximum room for this, and it must attract the parties it needs to do so. That can never be just housing corporations or just market players. It's got to be real and-and as far as I'm concerned.
ParlaMint-NL_2019-03-27-tweedekamer-6.u17	May I conclude, then, that the Minister can confirm this in order to ensure a fair chance for all parties to achieve as much middle rental as possible, at least there is a simple form, as simple as possible, of the market test or fair market exploration or whatever you want to call it?
ParlaMint-NL_2019-03-27-tweedekamer-6.u18	Yeah, that's actually what I'm trying to say. Sure.
ParlaMint-NL_2019-03-27-tweedekamer-6.u19	The Christian Union believes that there should be a place for market players but also for housing corporations. I hear the Minister now saying that she fears that if the market test is abolished, market players will be driven away. Now I'm gonna have to see the first market player to let himself get chased away, but okay. I am very curious to know where that fear of the Minister comes from. Can she back it up?
ParlaMint-NL_2019-03-27-tweedekamer-6.u20	Of course, I'm a little surprised by this question. My point has been that there is now a market test that makes it impossible for housing corporations to become active in this segment. We want to broaden that. That is what we agreed, and we have included something about this in the coalition agreement. Whether you call it a market test or a market survey, I think that we are looking for the instrument that is manageable, not too bureaucratic or too complicated, or that involves a lot of red tape, and that makes municipalities understand what they want to achieve in a fair and transparent way. In doing so, they should give corporations a chance, but not exclude market participants. I'm genuinely concerned about that at the moment when you wouldn't have anything left to test. Hence this proposal, because otherwise I would not have made this proposal in this way either.
ParlaMint-NL_2019-03-27-tweedekamer-6.u21	I understand the Minister's concern. I am trying to sympathize with her, but at the same time we simply did not get the right support from the Minister. That is why my question is whether it is perhaps an idea to try this with each other for a certain period of time in practice. We share the importance of middle-rent and I see housing corporations and market players standing by. My expectation is that we will give an impetus to the creation of middle rental if we delete the market test. The Minister has a different assessment. I don't share that, but let's just do it together and then evaluate in three years' time.
ParlaMint-NL_2019-03-27-tweedekamer-6.u22	If you had said "let's do what you propose and then we will evaluate in three years', you would have found me right by your side. I always think you should. I think it is quite something to say that there is now a market test, which we see is too bureaucratic, too cumbersome, too bureaucratic and de facto does not offer the possibility that housing companies can participate. I think it is too big a gamble to go straight to the other side, saying that we are not doing that at all anymore and that we think that these corporations should get in, thereby risking market parties getting out. My proposal is to do what we have agreed on, namely to simplify the market test. If Mrs Dik-Faber says that we should, of course, keep our finger on the wrist and see if it works, I agree with her 100%. Of course we should.
ParlaMint-NL_2019-03-27-tweedekamer-6.u23	In any case, I share the Minister's fear that investors will be driven away. We also see this happen every day in Amsterdam and Utrecht where left-wing lectures drive investors away. As far as the VVD is concerned, it's and-and. That endorsement should come from the Minister a little more. We see that the corporations have a total of about 200 billion on the shelf. If it's up to the VVD and the CDA, 10 billion for middle rent. And we read in a press release that investors have 2 billion on the shelf. Can the Minister agree that it is and-and that we need and can continue to use both groups?
ParlaMint-NL_2019-03-27-tweedekamer-6.u24	That's what I just argued. I believe that we can achieve more middle-rent housing if both parties, both market players and housing corporations, become active and become more active in this segment.
ParlaMint-NL_2019-03-27-tweedekamer-6.u25	It may be a bit difficult for the Minister, but I would nevertheless like to call on her to take a look in Amsterdam and Utrecht to see how investors are being chased away. My ears blurted from the remark that the Christian Union has not yet seen investors being chased away.
ParlaMint-NL_2019-03-27-tweedekamer-6.u26	It wasn't really addressed to the minister.
ParlaMint-NL_2019-03-27-tweedekamer-6.u27	No, that's the hard part. That's right.
ParlaMint-NL_2019-03-27-tweedekamer-6.u28	I'm sure we'll talk about that later. A number of spokesmen have asked how much extra middle rent could then be realized. It's kind of hard to quantify that exactly, but let's do a math exercise. If this simplification of the market continues, this means that it will be easier for the corporations to use part of the borrowing capacity they have in the non-DAEB branch of the company, which is 9,8 billion......................................................................................................................................................................................................................................... If they would do that in total, this is a theoretical exercise, so they can build about 45,000 middle-rent homes. But again, that's maximizing the amount that would be available. If I try to zoom in a little bit more on the housing deals that I now close in the scarcity areas, I will also set up the deployment of corporations on middle rent there, so that they will invest in that segment where they can and where they need to. I will also challenge the parties with whom I conclude the housing deals to agree on this. But, once again, this cannot of course come from the corporations alone; the market players must also contribute to this. I shall now turn to the specific questions put by Mr Koerhuis and Mr Ronnes on this point. We know what the extra borrowing capacity of corporations is, but that is, of course, a little bit different than that it is somewhere cash on the shelf, I say to Mr Koerhuis. But if you assume that 9.8 billion is mentioned, you could bet it on the middle rent, or you could, if you didn't do that at all, pay it out to the SGEI branch. Then it is about EUR 4 billion. I am not suggesting either, because it is precisely because they are committed to middle-rent and remain active in the social sector. In any case, these funds should be used for local housing in a way that is best suited to that region or municipality.
ParlaMint-NL_2019-03-27-tweedekamer-6.u29	I think this is an interesting point to ask the Minister. This cabinet has been sent away with the order to give priority to middle rental. Does the Minister not agree with me that the money available for this middle-rent should be used as much as possible for this middle-rent?
ParlaMint-NL_2019-03-27-tweedekamer-6.u30	Yes. If that local is the best choice, sure. That is what these cooperation tables are all about and, of course, what these specific municipalities are about: it must be as consistent as possible with local needs. I think Mr Ronnes and I agree that it is not exactly the same everywhere.
ParlaMint-NL_2019-03-27-tweedekamer-6.u31	No, I didn't. That is why it is important to see how we can strengthen that, so that it will actually happen in the places where it is needed and the money goes to the middle rent. I will see if I can make a suggestion to the Minister in the second term. So I'll come back to that.
ParlaMint-NL_2019-03-27-tweedekamer-6.u32	I look forward to that, Mr. Chairman.
ParlaMint-NL_2019-03-27-tweedekamer-6.u33	Very good. Mr. Koerhuis.
ParlaMint-NL_2019-03-27-tweedekamer-6.u34	I'd have made it a little sharper. I get it, because in the end, housing policy is decentralised. As Mr Ronnes said, we have sent the cabinet on the road to prioritize middle-rent and to engage in talks with provinces, municipalities and corporations. In these talks, can the Minister not make agreements with provinces, municipalities and corporations to realize that money, that 4 billion, for 10 billion in middle-rent housing?
ParlaMint-NL_2019-03-27-tweedekamer-6.u35	I was just saying that if you look at the highest macro level, you're talking about those amounts. However, the appointments and conversations take place on a more zoomed level. Then it's about a housing market region or even, like in Groningen, about the city of Groningen. Of course, you can't make arrangements at those tables about the big picture, but you can make arrangements that reflect the local need. It's often about more middle rent.
ParlaMint-NL_2019-03-27-tweedekamer-6.u36	I can make it even clearer: if she makes agreements with that city or with those regions, can she then take with her how much money is in those middle-rental branches of corporations and whether all that money is going to be used for middle-rent and not, especially in cities like Groningen and Amsterdam, for even more social rent?
ParlaMint-NL_2019-03-27-tweedekamer-6.u37	Yeah, when it comes to making agreements that see in middle rent. In doing so, I would like to inform Mr Koerhuis that I believe that, in the end, the balance is made locally as to what is needed. In many of these areas there is, of course, also a need for social housing. One doesn't rule out the other. Often it's more of both.
ParlaMint-NL_2019-03-27-tweedekamer-6.u38	Sometimes I feel like I'm the opposite of a Courhouse. Actually, I wanted to ask another question. It is very good that housing corporations will soon be able to build more homes for those on average income, which I very much welcome. But how do we ensure that there is no perverse incentive for housing corporations to build just those houses? Because they have to pay taxes on the social housing, the landlord's tax, but that does not apply to the middle-rental housing. How do we prevent housing companies from focusing on the wrong segment in order not to have to pay taxes?
ParlaMint-NL_2019-03-27-tweedekamer-6.u39	Well, I didn't think it was the wrong segment. I thought Mrs Beckerman also thought it was a relevant segment; I believe she started with that. We have, of course, made good agreements, which are also laid down by law, on how housing companies should deal with them. We have distinguished between SGEIs and non-DAEBs. We have also agreed on when something can or cannot be transferred. So I think the system as such offers sufficient guarantees for that.
ParlaMint-NL_2019-03-27-tweedekamer-6.u40	Both types of housing need to be built, although I am very concerned about what such a middle-rental housing will cost, but there is no guarantee. I find this a disappointing answer. You have a bag of money and you can build two types of homes, a cheap one and a more expensive one. With that more expensive one you have a higher yield and you also have to pay less tax on it. Then there will be an incentive to build the very expensive one for which you get more rent and you have to pay less tax on it?
ParlaMint-NL_2019-03-27-tweedekamer-6.u41	However, we have agreed that the non-DAEB part of what housing corporations do should be at the service of what they do in their SGEI section. I therefore believe that this is sufficient to ensure that this does not happen.
ParlaMint-NL_2019-03-27-tweedekamer-6.u42	I think I agreed with Mrs Beckerman, so that's interesting. I would like to come back to that point of money that would be on the shelf. In my view, it is also partly in the reserves of housing corporations that they should be careful about. We are talking here about middle housing and social housing, but I actually miss one of the three things I always mention when it comes to the investment capacity of housing corporations, and that is sustainability. I also hope that the Minister will take this point into account in her talks with the various regions on housing deals and so on.
ParlaMint-NL_2019-03-27-tweedekamer-6.u43	I'm glad Mrs Van Eijs is doing that. How best to use resources depends indeed on local needs, commitments and priorities. That means it could be middle rent or social rent. I agree with Mrs Van Eijs that it is precisely about making the social housing stock more sustainable. So we don't disagree about that. I believe that we have often discussed this in other debates. Mrs Dik-Faber asked if middle hire could contribute to more diversity in neighbourhoods and to more diverse neighbourhoods. I do think that's true. As far as I am concerned, this step in simplifying the market test is a positive contribution to more mixed and liveable neighbourhoods, which is, of course, an end in itself. As Mrs Dik-Faber also knows, corporations do have the means to invest in them, but of course they are not unlimited. So this is an important way of doing that. We have just had an exchange of views on the possibilities that would exist to completely abolish the market test. I didn't recommend that. I advised against that. Another suggestion was to exempt homes up to €1,000 altogether. I am not in favour of that either. That would bring the same risk. This would also be at the expense of market transparency and the desire to interest as many parties as possible in investment in middle rental. So also of this I say: don't do that, make sure we don't scare anyone away and that we focus on realising more middle-rent. The Council of State...
ParlaMint-NL_2019-03-27-tweedekamer-6.u44	First, finish this piece. Or did you come to the end of what you wanted to say about this?
ParlaMint-NL_2019-03-27-tweedekamer-6.u45	Not quite yet.
ParlaMint-NL_2019-03-27-tweedekamer-6.u46	Why don't you finish that first?
ParlaMint-NL_2019-03-27-tweedekamer-6.u47	Okay. The Council of State asked Mr Ronnes and others indeed had comments on the proposal. The Council of State has noted that it must remain fair. It's about fair competition. I said to the Council of State in response to this: the construction of middle-rent housing must take place in the non-DAEB branch, the non-State aid branch. It is important that there is transparency and a level playing field. This proposal promotes this. The planned investments should be published on a national website. I have responded to the comments made by the Council of State in this explanatory statement, because the opinion of the Council of State was to send the bill to the Chamber and to take those comments into account. I have therefore gone into this in detail in the further report. Then there's the return requirement. Mr Smeulders asked why it would still apply and whether this means that housing companies should in practice ask for maximum market rental. I have just gone into the issue of fair competition, which we are striving for. This means that housing corporations are not obliged to apply for maximum market rental for each individual non-DAEB dwelling, but the branch as a whole must operate on market terms, just like other market participants. This is not a return requirement, but that means that the Authority considers housing corporations whether the non-DAEB branch as a whole is market-based. The municipalities also have the possibility to make agreements with the non-DAEB branch of the housing corporations. These can, for example, be about the residual land value in combination with agreements on the rental height. That was just the subject of the interrupting debate with Mrs Beckerman: funding in the non-DAEB that is unprotected and has no collateral in the SGEI section. Mrs Van Eijs had also made a few comments on this. Mr Kops asked if middle hire would become SGEIs. That is not the case. It can never be an SGEI activity. That's not allowed either. Mrs Van Eijs asked if we should perhaps have a hand-out for the market test. I think that can indeed be useful for municipalities, so I think we should make sure that this hand-out is there when the legislative proposal comes into force, so that the municipalities know exactly how to apply this new, simplified market test. I can imagine that in that hand-out we will set out exactly the steps, so that it will be made easier. Then, of course, we must encourage the municipalities to do it as much as possible. Finally, this section. I have just said something about how the change in law contributes to mixed districts in my view, but Mrs Van Eijs was still wondering whether the authority is not very strict about this. I have no signs that the Aw is too strict with that. Sometimes, of course, it has to maintain complicated regulations, but precisely because the bill simplifies, simplifies the law, it becomes easier for the Aw, I think, to do so. Mr. Chairman. That was this block. I can see Mr Smeulders at the interrupting microphone.
ParlaMint-NL_2019-03-27-tweedekamer-6.u48	I've seen him, too, so I'll give him the floor right away.
ParlaMint-NL_2019-03-27-tweedekamer-6.u49	As GroenLinks, we are pleased that the cabinet proposes that corporations will no longer have to meet return requirements at project level. That's what the Minister was just talking about. But if the overall return on all projects is to be right, the risk seems to us that they may be able to reduce the rents for a number of projects, but that they will have to increase the rents on a number of other projects, otherwise you will not get the average and you will not collectively be market-oriented. I hope that is not the case, but I am very curious to see how the Minister views this.
ParlaMint-NL_2019-03-27-tweedekamer-6.u50	Even more important than the way I look at it, is how the Authority looks at housing corporations. It will therefore look, in accordance with the agreements we have made, whether the non-DAEB branch as a whole operates on market terms. She'll test for that.
ParlaMint-NL_2019-03-27-tweedekamer-6.u51	That didn't take away my fear. Because, on the one hand, the cabinet is therefore proposing the step to stop having that requirement of return at project level. But does the Minister agree with me that there is the following risk: if you have to have that demand across your entire portfolio, then you have to ask for more money in other projects, because otherwise the average will not remain the same?
ParlaMint-NL_2019-03-27-tweedekamer-6.u52	Well, I'm less afraid of that than Mr Smeulders. I believe that the requirement that is being made is quite reasonable. This is also in line with the agreements made on SGEIs and non-DAEBs. The authority is responsible for taking a good look at that. I think Mr Smeulders is afraid of outliers. Well, I don't think that's a very big risk in advance.
ParlaMint-NL_2019-03-27-tweedekamer-6.u53	The Minister has just referred to the question I raised earlier about the role of the Authority housing corporations when it comes to regulation of SGEIs and non-DAEBs, for example, mixing. This, of course, shows that I want these mixed neighbourhoods and neighborhoods, and possibly buildings. But I also asked about, for example, sustainability measures in housing corporations. I am told that the Authority interprets housing corporations very strictly. These are things that I think all of us would logically say: this must be done by the housing corporation of course! I was wondering if she could pay extra attention to that.
ParlaMint-NL_2019-03-27-tweedekamer-6.u54	I can promise. I did ask this question in response to Mrs Van Eijs' question. I'm not getting it back the same way, but I'd like to tell her that we'll be paying attention to that.
ParlaMint-NL_2019-03-27-tweedekamer-6.u55	Please continue.
