ParlaMint-NL_2019-12-09-eerstekamer-3.u1	I would like to welcome the Secretary of State for Finance to the First Chamber.
ParlaMint-NL_2019-12-09-eerstekamer-3.u12	As Mr Frentrop has not asked a question about it, I am curious about his position. What does he expect as a result of the debate? We know Forum for Democracy as a party that likes to stand up for the purchasing power of the middle class, who likes to restrict immigration and who also likes to spare the strongest shoulders, as we learned last month during the General Financial Reviews. Does the Forum for Democracy also like to avoid tax evasion and the Zuidas industry around it? What's possibly behind that? Or is Mr Frentrop completely open in it?
ParlaMint-NL_2019-12-09-eerstekamer-3.u13	I can reassure the questioner: we do not keep tax avoidance at the Forum for Democracy. I don't think anyone in this house. But for the precise voting behaviour we have to wait and see what is said in this debate.
ParlaMint-NL_2019-12-09-eerstekamer-3.u14	I am simply curious to see what the considerations might be for the Forum Group in the Senate to vote against the law. The law is designed to prevent tax avoidance. I actually hear him saying that maybe it could have gone further. Does the Forum for Democracy consider that this is not the case? What could be a reason to vote against the bill?
ParlaMint-NL_2019-12-09-eerstekamer-3.u15	Once again, there are, of course, a lot of laws with good intentions, but which you can still vote against. It's not just about the purpose of the law. Almost every law has a good intention. There are many laws with very good intentions that we will vote against.
ParlaMint-NL_2019-12-09-eerstekamer-3.u16	Thank you, Mr Frentrop. I call Mr Ester, on behalf of the Christian Union.
ParlaMint-NL_2019-12-09-eerstekamer-3.u17	Thank you, Mr President. My congratulations to Mrs Geerdink for her maiden speech. The 2020 Tax Plan estimates next year's tax revenue at over 300 billion. An impressive amount, but the Netherlands gets a relatively high and broad prosperity for that. Tax regulations and subsidies redistribute some 110 billion. The 2020 Tax Plan is also comprehensive in terms of legislation. There are no less than eight legislative proposals ahead of us. The time to judge them is too short. It's too tight. The quality of our parliamentary judgment is at stake here. I would very much like to ask the Secretary of State what concrete possibilities, with a line under 'concrete' conditions, he sees to spread tax legislation more over the year from next year on. Mr. Chairman. The purchasing power tags, for what they're worth, are all in the plus. There are differences, but they are rather after than before the comma. The income inequality doesn't dissipate. The marginal pressure is decreasing for almost all incomes. The peak load in there is also decreasing. We see that by turning tax buttons the middle class will now also benefit. That is a good thing. The substantial increase in the labour cut has positive purchasing power effects, but it also causes structural inequality between one and two earners. In 2021, the additional increase represents a structural increase of 2.15 billion. This discount was once intended to promote labour market participation. At the request of the Christian Union, the Secretary of State had a note made on how effective this discount is still to promote paid labour. There is evidence from CPB studies that the reduction in working hours has become too severe as a generic incentive to lead more people into the labour market. Isn't that the key to closing the gap between one- and two-earners? What is the added value of an employment discount at a time when unemployment is low? The employment rate is almost maximum. As a result of this argument, the gradual abolition of the general tax rebate for a non-earning partner has been poured into concrete, I ask the Secretary of State. The members of the Christian Union Group see that the government is working on not increasing the differences between one and two earners. Does the cabinet still have the ambition to close the gap itself? At the request of the House of Representatives, a study was carried out on marginal pressure and earners. How do the results of this work fit in with this ambition?
ParlaMint-NL_2019-12-09-eerstekamer-3.u18	Following on from Mr Ester's speech, I would like to ask a question about the reduction in working hours. You referred to the CPB and said the drug might get a little blunt. You also said it led to different treatment between single and double households. Do you also recognise that it has led to a dramatic difference and continues to lead to a difference between workers and not more workers? In 2021, workers will receive a net working discount of up to €4,200 and older people will receive an elderly discount of only €1,600.
ParlaMint-NL_2019-12-09-eerstekamer-3.u19	I understand very well why you say that, I say to you through the President. I just wanted to limit the playing field, not to one- and two-person households, but to one- and two-earners within a household. I would like to note that there are other groups that are also affected by the labour discount, but I would like to limit the battle, so to speak, to the one and two earners. We've talked about that a lot. You yourself have often participated in this debate. I would now like to try a different way, through the approach of the employment discount. I don't think it's nearly as effective as we used to think it is. Maybe that's your argument, too. The employment discount has become too blunt and too general. It does not draw the people across the line that the cabinet might wish to cross.
ParlaMint-NL_2019-12-09-eerstekamer-3.u20	You're right to say I agree with you.
ParlaMint-NL_2019-12-09-eerstekamer-3.u21	Mr. Van Rooijen, would you like to speak through the chairman?
ParlaMint-NL_2019-12-09-eerstekamer-3.u22	Yes, Mr. Chairman. I am pleased that we have the same criticism of the phenomenon of the reduction in working hours leading to different treatment of one and two earners. We agree on that. However, I understand from your answer that you are not so much...
ParlaMint-NL_2019-12-09-eerstekamer-3.u23	Mr. Van Rooijen, would you like to speak to the chairman?
ParlaMint-NL_2019-12-09-eerstekamer-3.u24	Yes, but I'm intrigued by the consensus we're showing here. But I'll share that through you.
ParlaMint-NL_2019-12-09-eerstekamer-3.u25	Mr. Van Rooijen, the use in the Chamber is to speak through the chairman.
ParlaMint-NL_2019-12-09-eerstekamer-3.u26	Yes, Mr. Chairman. I've been told that for a long time.
ParlaMint-NL_2019-12-09-eerstekamer-3.u27	If it is possible, I would kindly ask you to do so.
ParlaMint-NL_2019-12-09-eerstekamer-3.u28	Mr. Chairman. Sometimes you have to be quiet about something. The reduction in working hours leads to different treatment of workers and non-employed persons. I hear in this speech that we agree on this.
ParlaMint-NL_2019-12-09-eerstekamer-3.u29	Please continue your speech.
ParlaMint-NL_2019-12-09-eerstekamer-3.u30	My group has repeatedly called for attention to be paid to taxpayers who lack the skills to make their declarations digitally or electronically and to communicate digitally with the Tax Administration. We are therefore pleased that the option of non-electronic communication with the Tax Administration is now being laid down by law. Can the Secretary of State guarantee that taxpayers who opt for the non-digital variant are equally well helped? Is that locked up somehow, that's how I want to ask him. It is hard for savers to understand that their credit is not taxed on the basis of real returns. The Secretary of State states that a review of box 3 is only possible in 2022, after earlier repair work in 2017. In the intervening years, can there not be more coulance towards the saver, also in view of the ruling of the Supreme Court? The CDA earlier came up with the idea of temporary threshold exemptions. Can't the Secretary of State think a little more creatively on this point? It continues to happen a little bit. I apologize as a tax harassment of benevolent savers. The self-employed deduction just came by. This will be reduced in nine annual steps from €7.280 to €5,000. Structurally, this is worth about 450 million euros. This reduction will be compensated by an increase in the labour cut and the general tax cut, which will cost 1.5 billion euros next year and will rise structurally to almost 2.8 billion euros. Does this tax choice mean that the cabinet deliberately reduces the distinction between self-employed and employee, and that between self-employed and entrepreneur? If that is a choice, this tax choice has been made with knowledge of the interim conclusions of the Borstlap Committee, so I would ask. Mr. Chairman. The ChristianUnion Group can live well with the strategic commitment of the landlord levy to create more new buildings of affordable rentals, especially in scarcity areas. This tax rebate is allocated 100 million. The question is how structural this discount can be, as many argue that the landlord levy is approaching the end of its existence. My party recognizes itself in the arguments for this. As was the case for the employment discount, the landlord levy had a very specific objective when it was conceived in 2013. It was primarily intended to relieve public finances during the past few years of crisis. As with tax incentives more often, this original objective has disappeared into the background. The question then is how stable the new deployment of the landlord levy can be. With a new cabinet formation, it could just die. Shouldn't we provide housing corporations with more security? Do they want to take the investment glove? This Tax Plan gives hands and feet to the tax impact of the energy transition. Two preliminary remarks. First of all, it is a pity that a CO levy is not yet part of this Tax Plan. Can the Secretary of State outline what the timetable is now? When will a proposal reach this Chamber?
ParlaMint-NL_2019-12-09-eerstekamer-3.u31	I hear Mr Ester talking about the landlord levy. That argument sounds like music to me. Some of the points he makes will be made in my own contribution. He preludes to a next cabinet formation in which the landlord's tax could well be killed. Let's hope so, but does Mr Ester also see opportunities within the current cabinet and within the time limit for the new elections to do something about this? I am not talking about abolishing the landlord's tax, because I do not see that happening, but perhaps there are ways of alleviating the tax burden on housing corporations. Does Mr Ester see any possibility of doing so?
ParlaMint-NL_2019-12-09-eerstekamer-3.u32	That is a very special issue, which I would like to think about. I would like, through the chairman, to ask the Secretary of State to respond. The thrust of my speech is that the use of the landlord's levy is just too fast. For housing corporations, this is a hugely important signal to be able to build new buildings, but then we must also be able to provide them with an investment picture that lasts for a number of years. They will not invest if something is done to the landlord's tax once. We must also be able to offer some certainty in the long term. I'm looking for roads, perhaps together with the two gentlemen who stand opposite me or... Sit down. We can see what we can think of together for that. Given this huge task of new construction, I fear that the incentive is too weak and offers too little certainty in the longer term.
ParlaMint-NL_2019-12-09-eerstekamer-3.u33	I look forward to Mr Ester's further thinking. Maybe the Secretary of State can respond to that, too. I agree with the analysis that the need is high and that we need a greater incentive, structural towards the future and also over this cabinet. I wonder whether Mr Ester can go along with the idea that we could also do something in the shorter term. At least that is what Mr Ester is now expecting to say that the landlord's tax is due in the long term because it has had its best time. Let's hope so. That expectation may be shared by the corporations, but perhaps it is not. But if they could already get an incentive in the form of a relief from the landlord's tax, that would also matter. We should therefore take a serious look at this.
ParlaMint-NL_2019-12-09-eerstekamer-3.u34	Sure.
ParlaMint-NL_2019-12-09-eerstekamer-3.u35	Mr Ester referred to a point about a CO levy. I always clean up when I hear that.
ParlaMint-NL_2019-12-09-eerstekamer-3.u36	Sorry, I didn't hear you.
ParlaMint-NL_2019-12-09-eerstekamer-3.u37	It always makes me feel better. But what exactly does Mr Ester mean? You have CO taxes in all kinds and sizes. We have the ETS, we have wide charges and flat charges and charges on the margin. What are we talking about?
ParlaMint-NL_2019-12-09-eerstekamer-3.u38	That is, of course, the ultimate question. That is, of course, the question behind my question. There is not one CO levy, but there are many. They can be very general or very specific, and all kinds of variants. But, left or right, we don't find that in the Tax Plan. I challenge the Secretary of State to tell us, including you, what the state of affairs is and what the thoughts are on it.
ParlaMint-NL_2019-12-09-eerstekamer-3.u39	Then I guess the Secretary of State is going to tell us tomorrow that the bill with this marginal CO tax for large consumption and the industry is coming up, that we already have an ETS and that the Minister for Economic Affairs in Europe is trying to tighten the screws. All good. Period. But what else is to be done? I'm so curious about that.
ParlaMint-NL_2019-12-09-eerstekamer-3.u40	You want to have different alternatives and weigh them against each other. We agree that you can do that CO tax in a lot of ways. So I'm just gonna sit back and wait and see what that alternative weighing looks like. And then we will consider it and take a stand. But I have no need to make very tough statements about what we see as the ultimate CO levy.
ParlaMint-NL_2019-12-09-eerstekamer-3.u41	Perhaps I would like to try one suggestion: a good CO levy in agriculture? Because nothing's happening there yet. Is that negotiable for the Christian Union?
ParlaMint-NL_2019-12-09-eerstekamer-3.u42	That was the third one.
ParlaMint-NL_2019-12-09-eerstekamer-3.u43	There are no things that are unspeakable. That suggestion should be added to that list. But Mr. Vendrik's question also applies to that. Because that CO levy can also be shaped in 94 different ways. So an answer from me to the question of what to do doesn't say that much. That's not because I don't give good answers, but because there are as many different alternatives as possible. Mr President, may I continue? Secondly, there is the lack of public transport policy. That's remarkable, isn't it? The sector can make an important contribution to the Climate Agreement and the energy transition. How does the Secretary of State see us here in the Chamber of Reflection, the relationship between the Climate Agreement, public transport and the tax authorities? Shouldn't this be given fundamental consideration? In his view, does taxation have a significant role to play at all? Mr. Chairman. The Secretary of State could really use my next sentence. That is to say: the congratulations of the Christian Union Group to the Secretary of State for his European efforts in the field of flight tax. Chapeau. It's about time. The Secretary of State has acted on this and we're very curious how it's gonna end. Eventually, flying is just too cheap and it must be discouraged, even fiscally. Can the Secretary of State share with us the commitments made between and with the nine EU countries concerned? How can such a flight load be designed? What does he see as the follow-up? And a related question is whether he fears the right of veto that individual Member States have in the decision-making process. Mr. Chairman. Car taxes play a major role in the energy transition. Electric driving is fiscally encouraged and, at least in terms of climate objectives, there is a need for this. But the recent report by the General Court of Auditors on car taxes does not make it very cheerful. Tax incentives are not consistently pointing in the same direction, as the Court of Auditors' report says. There is a web of tariff discounts, exemptions, refund schemes and reduced rates that do not all stimulate climate-friendly behaviour. Is it not time, as my group is asking, to reconsider the system of car taxes and to keep them under review? How do we find a balance between generating general car tax revenues........................................................................................................................................................................................... How's the Secretary of State handling this split? Mr. Chairman. The ChristianUnion Group is pleased that the cabinet is committed to reducing the tax portion of the energy account for households. It amounts to almost EUR 1.7 billion in structural terms as a result of the adjustment of the energy tax and the storage of renewable energy, the ODE. The fifty-fifty-cost ratio in the rates is converted to two thirds of business and one third of households. My group agrees with this and calls for the micro-level energy bill to be as transparent as possible for consumers, so that households and consumers actually know the financial consequences of energy choices made. Mr. Chairman. None of us have noticed that in recent days greenhouse horticulture has strongly resisted the new tariff system. How does the Secretary of State assess the arguments of the sector? How does the significant increase in the ODE tariff for the sector relate to the Climate Agreement and the intended energy transition? Isn't he afraid of a possible fallback to fossil fuels? The Secretary of State has undertaken to monitor the impact of the tariff increase on greenhouse horticulture. That sounds very brave, but to be honest, it's also a little skinny. Is there any possibility for the Secretary of State to take a tipping point in following the tariff impact on the basis of which he will intervene in the tariff setting? Can he share his thoughts with us at that point? Mr. Chairman. In the context of the Urgendavonnis, foreign waste will be included in the calculation of the waste tax. The Netherlands imports a quarter of the waste we burn here. The presentation of this point in the relevant bill suggests a bit that this adjustment is the only tightening up in the Tax Plan due to this verdict. Is this observation correct or did I misread it? If she's right, what's the reason for that fairly one-sided tightening? Is this adjustment really going to make the difference to do justice to the Urgenda ruling? The Christian Union Group is pleased that this cabinet is now actively fighting tax avoidance. The Netherlands does not belong in the right row of tax-locking countries. My group welcomes the withholding tax on interest and royalties and the implementation of the ATAD 2 Directive. Complicated legislation is needed to neutralise tax-enhancing effects of hybrid mismatch structures. How does the State Secretary assess the enforcement of this legislation? How'd that go? How will European Member States learn from each other in this respect? Mr. Chairman. We are also pleased with the approach of intermediaries: malicious tax advisors who actively assist their clients in tax avoidance and evasion through aggressive tax planning. The Panama Papers give examples of this. How does the tax authorities engage in the necessary cooperation with the state's attorney's office, the national police and the FIOD? Can the Secretary of State brief us on that? Mr. Chairman. As a final theme, I'm discussing the IRS. It's gonna be more than that tonight. In the eight years I have been a member of the Committee on Finance, I have heard little more than worry about the service. ICT problems, cultural issues, reorganisation problems and the recent drama of child care payments show a tax administration that has been in serious shape for over a decade now. This secretary of state has also started the job vigorously, has taken steps, but he looks less and less cheerful. He doesn't do that right now, but he does at earlier times. The Christian Union Group would like to hear from him how the Tax Administration will stand at the end of the Rutte III cabinet in terms of execution quality. What can the citizen expect? Many MEPs, here and on the other side, sigh: will it ever be okay? Major projects such as the energy transition and the Climate Agreement cannot succeed without a flexible tax administration. A well-functioning Tax Administration is essential for a well-functioning state of law, for the confidence of the people. The tax moral is high in the Netherlands, but we only keep it that way if the implementation of the Tax Administration is in order. The recent FNV study on the poor working environment at the Tax Administration is sad. Can the Secretary of State respond to the conclusions? Mr. Chairman. Parliament itself is not without sin. After all, the complexity of tax legislation is being brewed in the kitchen of the Binnenhof. The mess of surcharges and derogations, including the changes in them, has always been accepted by the two chambers as co-legislators. The fiscal self-cleaning capacity of our Parliament could use some extra attention. I also wanted to add that dimension to the debate. This feasibility is a key dimension in the assessment of legislation by the Upper Chamber. In that light, I am curious how robust the State Secretary actually finds his own execution keys. I note that the Tax Administration rarely slows down when the service is asked for a tax implementation assessment of planned policies. Does the Secretary of State, the Christian Union Group, no longer have to stand on his tax pontoonist. Shouldn't there be a much stronger commitment to the front of the implementation problem: the far too complex legislation? Eventually, Mr President, the conclusion is that we do not escape a fundamental revision of our tax system. It should be simpler and more transparent. My group regrets that this revision does not seem to include this cabinet period. That's a bit of a missed opportunity, isn't it? We now have the financial space that needs a system change and later no longer, if we can believe the recent medium-term review 2022-2025 of the CPB. The Secretary of State does want to present his fiscal agenda... building blocks for this much-needed redesign, but that also sounds a bit shaky. My group would like to know what the real outcome of this debate is and what initiatives we can expect. The ChristianUnion Group is also curious about the government's fiscal priorities for the remaining cabinet period. What does his clean-up fiscal agenda look like? Mr President, I shall conclude. The Christian Union Group welcomes the Tax Plan 2020. The cabinet philosophy is consistently maintained in order to tax consumption more, to make labour cheaper and to facilitate climate-friendly behaviour tax. In terms of purchasing power, the groups remain reasonably united and for the middle class there is finally air. The gap between one and two earners does not deepen further, but vigilance remains necessary. I also challenged the Secretary of State on that point. The IRS will remain, no matter how we run it or turn it, a worry child in all of this. We can't let it derail. Defensive and just tax policy cannot be without a well-functioning Tax Service. Mr President, I look forward to the answers of the Secretary of State to our questions.
ParlaMint-NL_2019-12-09-eerstekamer-3.u44	Thank you, Mr. Ester. I call Mr Van Rooijen on behalf of the 50PLUS Group.
