ParlaMint-NL_2019-12-18-tweedekamer-7.u1	We will proceed with the VAO Climate and Energy immediately. I give the floor to Mrs Beckerman.
ParlaMint-NL_2019-12-18-tweedekamer-7.u19	Thank you, Mr. Chairman. We had a good committee debate with each other on 28 November. During the debate, I was given a commitment from the Minister on the obligation to mix green gas and hydrogen. He'll come back to that early next year. We are pleased with that. Following that, I would like to refer the following to the Minister. In my hometown of Hardenberg, SDE+ permits have been issued for fermentation, with the aim of converting the extracted gas to electricity. My question is: is the Minister prepared, in the context of his green gas response, to see to what extent it is still necessary to turn it into electricity first? I also ask that question because there is quite little space on the electricity grid. There may be additional scope for other initiatives. Mr. Chairman. We will need green gas, even for our housing stock, especially in places where electrical solutions are not possible. The CDA has also been advocating the best possible reuse of our gas infrastructure for a long time. This can be done by mixing green gas and hydrogen. Is the Minister prepared to look at these possibilities as well? Mr. Chairman. I would also like to thank the Minister for the other commitments we made during the committee debate. There is one more commitment which, in my view, may be a little more specific, namely the one on the cluster approach for industry. The minister said there were consultations. He gives a feedback, but I don't really know when. Then it will soon be good, of course, because one day there will be an answer. But yes, I'm a bit of the exact ones, so I'd like to hear from the Minister when he puts that back to us. Mr. Chairman. My final question is about the Clauscentrale. Is the Minister prepared to discuss the situation with Belgium at European level? We help the Belgians and then we get the emissions from this plant on our hands. That doesn't feel so good. What's the Minister gonna do? We would also like to know whether the Minister has an idea of the share of emissions from imports and exports of this electricity. Thank you, Mr. Chairman.
ParlaMint-NL_2019-12-18-tweedekamer-7.u20	Thank you. Can I give the Minister the floor right away? No? Then I'll suspend the meeting for a minute or three.
ParlaMint-NL_2019-12-18-tweedekamer-7.u21	The Minister has the floor.
ParlaMint-NL_2019-12-18-tweedekamer-7.u22	Mr. Chairman. The motion in part No. 424 does not ask me to authorise the sale until the debate has taken place in the Chamber. I simply cannot commit to this. I have three grounds on which to test, and I have to. I have no other role in this than the review of those three things. The Chamber has absolutely no role in that. I advise against this motion. But at the same time I am giving the escape clause that it is of course up to the Chamber to plan a debate on it quickly. Then the equipment will still be exactly the way Mrs Beckerman wants it to be. But then she needs to look more at herself and not at me. I advise against this motion. The motion in part No. 425 is about setting up a generous compensation fund. Yeah, but wait a minute; bigger things happen here than it looks. In the Netherlands, since 1965, I believe, the ideas have been incorporated into our regulations that if something happens spatially and one has a disadvantage of that, there is a compensation above a certain risk. On the other hand, if you have a profit from it, you generally don't have to pay off that profit. That is a concept that has been developed for decades. That is now enshrined in the Environment Act. There is an amendment adopted by the House of Representatives, which we discussed in detail. It is very strange to make an exception for windmills, because then someone can say: I would like an exception for roads or for housing near me, because that also affects me. I'm not going to allow that larger and wider field of law here on the basis of a motion. We have a crystallized practice for that in the Netherlands. It has been revised recently and continues in its new form in 2021. I am not prepared to do this specifically for one case. I'm dissuading the motion.
ParlaMint-NL_2019-12-18-tweedekamer-7.u23	I hope that I may ask a question about this motion, even though I have not tabled it. We have received that answer from the Minister on the basis of questions from Mrs Beckerman, Mr William Moorlag and myself. I haven't had enough time to study it all completely. The impact and effects on the surrounding population are greater than previously assumed. Is the Minister prepared to take the Chamber and see what we can possibly do for it? I hear now why none of this is possible. I understand that, but I still want to see what might be possible. Is the Minister prepared to do so?
ParlaMint-NL_2019-12-18-tweedekamer-7.u24	What can be done is the route as stated in the coalition agreement, namely that you want there to be as much participation as possible. You invite people to participate and you start early in the process by exploring and offering opportunities for participation. Then the project will also be of the locals. This is not through disadvantage compensation, but through a different way of creating such a project. I think people feel much more connected to a project when they participate in it and somehow they see that it can work for them. But we are not doing that, Mrs Mulder and I agree by adjusting the disadvantage compensation practice, but we are doing so in the other ways, as stated in the coalition agreement.
ParlaMint-NL_2019-12-18-tweedekamer-7.u25	Mrs. Mulder, for a very short time.
ParlaMint-NL_2019-12-18-tweedekamer-7.u26	The conclusion that I am not going to do that at all, I have not yet drawn, I say just to give all the clarity here. I have just received that letter yesterday and have just heard the motion from my colleague, but I am going to look into that further. But we'll have to take a closer look at the other route. There are already examples in the country, like Oss and Den Bosch, where the windmills are not doing very well. Then we have to look closely at how we're going to solve this together, otherwise we're going to have very big problems with all these Regional Energy Strategies.
ParlaMint-NL_2019-12-18-tweedekamer-7.u27	At the same time, that is my reaction to it, because integration is really a regional event. That's always customization, always. That's always local. The RES regions, in particular, will have to play a major role in this. They will have to encourage the initiators to do so. If you don't, it won't work out. We are in complete agreement.
ParlaMint-NL_2019-12-18-tweedekamer-7.u28	I'm quite willing to hold the motion for a moment. But the problem is this. The Minister points to general rules, but we also know that once the support is ruined or wind farms get very negative in the media, for example with Mrs Mulder and myself in the neighbourhood, where things go completely wrong, this casts a shadow over other plans. Then it won't solve so much for those big wind farms that are already in Drenthe and in Groningen, when you talk about participation. Is the Minister prepared, now that he sees that Mrs Mulder and I are sitting on it, to take a step and inform us about it? Then I might be able to hold that motion.
ParlaMint-NL_2019-12-18-tweedekamer-7.u29	I recognise that we must do everything we can to support these developments. I also recognise that this can mean in the customization that arrangements are made with residents, in all kinds of different ways. But we're not gonna change that for one specific disadvantage. There are hundreds of different disadvantages for individuals and companies that occur. This is a busy country and we're all on top of each other, of course. But I'm not really going to violate a legal practice that we've just established with each other for one type. We have to work on this in other ways, because support remains important.
ParlaMint-NL_2019-12-18-tweedekamer-7.u30	Mrs. Beckerman, finally.
ParlaMint-NL_2019-12-18-tweedekamer-7.u31	I regret that there is little room, because we do know that this really leads to problems. There are other ways to handle this. Groningen, for example, got a little discount on the gas bill for a long time. Well, if you've got those big parks close by, you could think of those kinds of possibilities. I hope that space will be created, but I am going to hold this motion for a moment to discuss with colleagues where we can get to.
ParlaMint-NL_2019-12-18-tweedekamer-7.u32	At the request of Mrs Beckerman, I propose her motion (32813), No. President. - I call the Group of the European People's Party (Christian-Democratic Group). That is what is decided.
ParlaMint-NL_2019-12-18-tweedekamer-7.u33	Then the motion to part No. 426 with Mr Van Raan as the primary proposer. When the waterbed effect still existed, I noticed that Mr Van Raan had never been so ported to solve the problem by buying rights, while there was a very good method at the time. But now the waterbed effect no longer exists by setting up the Market Stability Reserve, and now it seems to be proposing to buy up and destroy those rights. So, as far as I'm concerned, that's counterproductive right now. I think you might be able to say to the letter of the motion that the Market Stability Reserve is taking away these rights, but that is not something this government is doing. We are doing this at European level, which is sensible, and Mr Van Raan and I are in complete agreement. But this is not an act of this government in this situation. I therefore advise against the motion.
ParlaMint-NL_2019-12-18-tweedekamer-7.u34	I understand the Minister's dissuading the motion. Is the Minister prepared to inform us exactly how this MSR works? If you look at the buy-back ratio and what the MSR is meant for, you can see that it is really going so slowly that it should be possible to make a local arrangement to speed that up a bit, so outside of the MSR. Is the Minister prepared to inform us about this? Maybe then we can find each other in the fact that it's really going too slowly, although we agree on the mechanism.
ParlaMint-NL_2019-12-18-tweedekamer-7.u35	That is where I would like to meet Mr Van Raan. It is the Dutch government's commitment, in parallel with the Green Deal, to re-launch the ETS reform, precisely in order to achieve this and to take rights out of the market faster and earlier. That's definitely the point. Then we are in complete agreement. That's important. Yeah, that's the bet. How does the MSR work exactly? I really have to say that this is just on the website of the European Commission. That's where it's meticulously explained. All kinds of scientific articles have also been published that calculate how quickly that decreases and what that could mean for the price. I highly recommend that too, but I do not see any additional value of explanation by the government there.
ParlaMint-NL_2019-12-18-tweedekamer-7.u36	Mr Van Raan, very briefly.
ParlaMint-NL_2019-12-18-tweedekamer-7.u37	That additional effect is there, because it is indeed meticulously explained. There's reports on it, too. But does the government itself think it's going fast enough? Could we get that appreciation?
ParlaMint-NL_2019-12-18-tweedekamer-7.u38	I just gave you that appreciation. The Dutch government's commitment is to review this and to look not only at the functioning of the Market Stability Reserve, but also at the percentage with which the ceiling goes down.
ParlaMint-NL_2019-12-18-tweedekamer-7.u39	Then we'll move on to the next motion.
ParlaMint-NL_2019-12-18-tweedekamer-7.u40	Yes. That's the motion Sienot/Agnes Mulder in part No. 427, to draw up a roadmap along the lines of the research carried out in conjunction with local authorities, industry and nature organisations. I'll leave that motion to judge Chamber, but I'll include a package leaflet. We talked a lot about directing the Empire yesterday. My theorem is: the Empire directs, but then I want to have the space for this too. Because along with local authorities? Yes, but I'd like to take the Empire into a directing and ultimately responsible role. That's necessary, and then I'll leave this motion to judge Chamber.
ParlaMint-NL_2019-12-18-tweedekamer-7.u41	I'm a little surprised. Yesterday it was said that you wanted to give as much room for implementation as possible locally. Now that this leaflet is mentioned so explicitly, I wonder why it is necessary. Yesterday it was explained precisely that the whole governance, to use that ugly word for a moment, so the whole control from the Empire, was arranged in such a way that the execution was invested as much as possible locally and close to the people, while national control and coordination from the Empire take place. Then why this additional leaflet?
ParlaMint-NL_2019-12-18-tweedekamer-7.u42	That's a good question. Let me clarify that then. With the Roadmap, we map out what the overall potential is, how to deal with it, what conditions there are and what direction you need to take. But that is not about integration, concrete locations and concrete projects. The latter is precisely the responsibility that lies at the heart of the matter. So we're gonna do it in two steps. Here, a directing role of the Empire is useful. We need a common framework and a way of developing it. The integration is again with the RES and the regional authorities.
ParlaMint-NL_2019-12-18-tweedekamer-7.u43	With this explanation, I can live well.
ParlaMint-NL_2019-12-18-tweedekamer-7.u44	That's good. Then we'll move on to the next motion.
ParlaMint-NL_2019-12-18-tweedekamer-7.u45	That was a useful question; I thank Mr Sienot for that. With regard to the mandatory quality scheme for installers, do I recognise that there is still a way to go, but mandatory quality schemes? Look, an even more dangerous thing than a heat pump is a geyser. It's been moving up a bit longer. They're phasing it out now, but the kitchen geyser is an innumerable much more dangerous thing. But we have always done so with proper information, training and labelling. Here there is also a quality mark. I see that's not getting enough traction. So I am currently looking with BZK and the industry at the professionalisation of this. I want to finish that trajectory first. If at the end it turns out that there are insoluble questions that we have to solve with regulation, then we will have to do so, but I think it is too early for that. We have overcome greater dangers in other ways than regulation. I need the motion in part no. 428 now, therefore, still dissuade.
ParlaMint-NL_2019-12-18-tweedekamer-7.u46	Two comments on this. I am prepared to replace the word 'compulsory' with 'better'. However, I would like to point out that I find that the desire for more commitment from the industry organisation is quite clearly expressed. But you'll find that in the conversation you're going to have with her. Will you change your judgment if I replace the word "compulsory" with "better"?
ParlaMint-NL_2019-12-18-tweedekamer-7.u47	Let's see where these negotiations lead.
ParlaMint-NL_2019-12-18-tweedekamer-7.u48	A scheme is, by definition, something that is mandatory. Maybe we should... I don't know if it's going in this direction: "to come with better..." I'm just looking.
ParlaMint-NL_2019-12-18-tweedekamer-7.u49	Maybe I can help the Minister. A label is also a scheme.
ParlaMint-NL_2019-12-18-tweedekamer-7.u50	Sure, sure. Well, that's not an arrangement.
ParlaMint-NL_2019-12-18-tweedekamer-7.u51	Help me. I thought you had an AO.
ParlaMint-NL_2019-12-18-tweedekamer-7.u52	"Towards better quality assurance." Would that be something? Look, we all want it to get better. I think it's a nice thought. I want to honor the thought, but I do not want to embrace the exact obligation of this at this stage. If Mr Van der Lee, wise and wise as he is, comes up with something on that, he will be judged Chamber, but I do not have the exact words yet.
ParlaMint-NL_2019-12-18-tweedekamer-7.u53	The Christmas spirit: please make a binding remark.
ParlaMint-NL_2019-12-18-tweedekamer-7.u54	That's exactly what I wanted to say. As part of the Christmas spirit, I accept the Minister's suggestion that 'to achieve better quality assurance'.
ParlaMint-NL_2019-12-18-tweedekamer-7.u55	"Better quality assurance." Judge Room!
ParlaMint-NL_2019-12-18-tweedekamer-7.u56	We're moving on. It all looks cozy, but we're going too slow. I'm gonna try to move on to the next motion. I'm going to move on to the motion in part No. 429 by Mr Van der Lee and Mr Sienot in one year's extension. There has been consultation with the department about whether this could be done, but we have choked ourselves into one thing... It's gonna be okay, it's gonna be okay! Mr. Van der Lee starts sighing too soon. Too early a regulation and too early a sigh, Mr Van der Lee should not do that. Look, here's a term that, unlike previously suspected, means something legally: a year extension of the "realization period." A realisation period is a concept existing in SDE terms that has legal consequences. Precisely reading this would unintentionally extend the grant period by one year. That's not the point. So if there could be that it is about granting exemption for a year later realization, then this becomes spic and span.
ParlaMint-NL_2019-12-18-tweedekamer-7.u57	Well, Mr. Van der Lee.
ParlaMint-NL_2019-12-18-tweedekamer-7.u58	Granting exemption for one year later realization.
ParlaMint-NL_2019-12-18-tweedekamer-7.u59	I had to consult with Mr Sienot, but we agree.
ParlaMint-NL_2019-12-18-tweedekamer-7.u60	Good!
ParlaMint-NL_2019-12-18-tweedekamer-7.u61	Three questions from Mrs Mulder. It is absolutely possible, even in the SDE context, to combine fermentation not with electricity generation, but with green gas production. This can be done now too, and parties who want to start it do not need any changes to an SDE. That could be a very good idea. The only thing that can't be done, which is not legally possible, is that your projects that already have a grant decision and have already started under the conditions they have indicated in the auction, because that is the SDE grant decision, are still turning into something else. Parties can participate again and then propose green gas production for a grant decision, but you cannot change the rules of the game if the game has already been played. So yes, I recognise that green gas can be very important and that it can also relieve the electricity grid or at least not burden it more heavily. I recognize that this is a real way of greening. I recognize that green gas can become very important throughout the transition. I also believe that this can and will be honoured within the SDE, but if this were to apply to existing projects, we would be in a minefield. I can't do that. I'd report on the cluster approach. I've been thinking about the question of when. Thanks for the precision. There is an annual monitoring that tells how something goes at the level of activities. To what extent are we still doing what we promise to do apart from the tonnes There, a report on the cluster approach would fit well. I would like to make a commitment here that I will include this in it. Then there's the question about the Clauscentrale. There is a detailed discussion with the Commission on security of supply in North-West Europe, including Belgium. There are also discussions with all interested parties. They are still going on, and I am not going to make any further announcement. I share, of course, with Mrs Mulder the uncomfortable feeling that a power station will be helped here that will eventually cause emissions on Dutch territory. About that. My commitment is to put it on the Dutch electricity grid. Yes, that could mean that we are also supplying other countries in the context of the North-West European energy market. We must also look very closely at ourselves. We were importers for years and then emissions fell elsewhere. In fact, the PBL's second-last estimate for 2020 also assumed that emissions were to a large extent generated in another country. So we have to live with the fact that the Netherlands is not an island, but it is my commitment to connect this to the Dutch electricity grid in a normal way. Yes, there could also be exports to Belgium. By the way, not to that extent by 2020. We keep that uncomfortable feeling, but we have been on the other side of the uncomfortable feeling for years. And we're part of Europe. So far.
ParlaMint-NL_2019-12-18-tweedekamer-7.u62	Thank you. This brings us to the end of this VAO Climate and Energy.
ParlaMint-NL_2019-12-18-tweedekamer-7.u63	The vote on the motions will take place tomorrow at the beginning of the afternoon sitting.
