ParlaMint-NL_2019-01-31-tweedekamer-8.u1	We continue with the treatment of the Labour Market Act in balance, Room 35074.
ParlaMint-NL_2019-01-31-tweedekamer-8.u12	In part, we also have hearings and things like that to make that analysis. Is Mr Smeulders actually saying that he is sorry that it did not happen? But does he also say that I would like to keep my finger on the wrist along that line for the years to come? Or is it just a statement about the past?
ParlaMint-NL_2019-01-31-tweedekamer-8.u13	It's double. I'm very sorry this didn't happen. I'm gonna ask the Minister again now. I don't think that's gonna happen next Tuesday. We all know that this law is still going to be dealt with in the First Chamber. It could be that the First Chamber is going to make the same request. Maybe that's possible before the law is dealt with in the Supreme Court. That would be worth a sweet thing to us. To address the second aspect of your question: I find it very interesting to monitor what our expectations are at present, but in particular I find it interesting to know what will happen in the coming years thanks to this law. Perhaps we can come up with something in the second term.
ParlaMint-NL_2019-01-31-tweedekamer-8.u14	I understand Mr Smeulder's search very well. That's what we're all doing. If we knew it was all working perfectly, we wouldn't all be having a debate here. We would not have had this debate. There's something paradoxical in the message I hear. On the other hand, the question is: what is the effect of doing nothing? We have that effect in mind; that is what we have now. I would like to ask Mr Smeulders whether he prefers to choose it, with what he knows is going to happen, or whether he opts for a lot of measures which, as he himself says, are quite good and which we can now simply introduce? I think it's...
ParlaMint-NL_2019-01-31-tweedekamer-8.u15	Mr Smeulders.
ParlaMint-NL_2019-01-31-tweedekamer-8.u16	...too paradoxical to postpone it for research now. We've been doing nothing for far too long.
ParlaMint-NL_2019-01-31-tweedekamer-8.u17	We've been doing nothing for far too long? A few years ago, in the previous cabinet, a law was passed by a very large majority of this Chamber. A number of elements of this law still need to be evaluated. I think it's good practice to wait for that first. I will deal with this more specifically in a moment when I deal with that point. Of course, that is also an option. But we certainly should not wait now to make the bottom of the labour market and flex work more expensive. But I am sure you understand me, Mr Wiersma. I know you as a wise man when I say that we would like to have the elements of this law, which I will also discuss in a moment, in particular the cumulation ground, which makes it easy to fire people, better substantiated, before we go along with such a radical measure.
ParlaMint-NL_2019-01-31-tweedekamer-8.u18	I'm very sensitive to compliments, but I'm not gonna let you talk me into this. The choice was very clear: if we do nothing we know what we get. Then we'll get more of the problems you're sketching. Yes, I can imagine that we want to know even better if it is going to work and what specific measure we can still adapt, but a lot of things together really show that they are going to produce something substantial. The choice you can make here is: I go for it or I choose to stop. You will make that choice when you say: first let's see. That's no good to anyone.
ParlaMint-NL_2019-01-31-tweedekamer-8.u19	I do think the spokesperson of the VVD is putting it down a little black and white. I think I've started quite nuanced. I have also said that there are measures in this law that we are very pleased with, which could easily come out of our own electoral programme. But there are also a number of measures that we are less able to talk about. As a parliamentary group in the opposition, you have long since been out of opposition, so for you that is different. Are we going to support that law or not? So, is this worth it to us? In that case, it is difficult that the measures we are less pleased with do not contain a very hard analysis which shows that these measures are really going to lead to a fairer labour market. So I am asking for that information now, because it helps us to make that choice better.
ParlaMint-NL_2019-01-31-tweedekamer-8.u20	I'm looking a little bit. I understand very well that Mr Smeulders says: there is a lot in what I like. I think it's nice that he emphasizes that, too. There are also things that do not come out of GroenLinks' latest programme, because GroenLinks has also had a slightly different view on the right of dismissal at other times. But I'm just looking for what he's looking for. I think it is widely recognised that there is less flight to flex if you make the differences between flex and definitely smaller. I understand that he says that it is not completely crystallized forzzp yet, but looking purely at employees, I think there is quite a lot of knowledge about it that if you reduce the right of dismissal, because it is limited, as was said in the hearing, you are probably also doing something about long-term unemployment. You can reduce it a little bit. So I am still looking for exactly what Mr Smeulders is looking for. Because you can wait for everything to be calculated, but then you never take a step.
ParlaMint-NL_2019-01-31-tweedekamer-8.u21	I think this is a very justified interruption. Your question also makes it clear what the dilemma is for us. On the one hand, we are very pleased with the measures taken at the bottom. We also want to support them, but we still see the danger that there are still a lot of open ends in relation to zzp and that it is very easy to take refuge in them. We would very much like to support it, but we still have a lot of questions. Such an analysis could be very helpful, because then we know whether that is going to happen or not. We don't know that now. We expect it, but we don't know. On the other hand, of course, we are talking about relaxing the right of dismissal. That is also a difficult point for my group, because we have never been against it in principle, but we have always said that you should not do that until you have made flex really more expensive and if you really make it much less attractive to keep people in temporary flex jobs each time. That is exactly the dilemma we are facing today: are we going to go along with this law as a whole, and with it also the relaxation of the right of dismissal, without knowing whether the flex measures are really going to work? If that is not the case, then I see, in particular, that is actually a question I would like to ask again, which is that it becomes less attractive for workers rather than more attractive. Does Mr Van Weyenberg agree with me?
ParlaMint-NL_2019-01-31-tweedekamer-8.u22	Maybe we should switch places now. I understand that search. That is also the right of Mr Smeulders. I would be inclined to put on the other hand that we are actually taking a step backwards from the WW at one point, on the right of dismissal. There will be a limited extension, with also a higher remuneration; a point that might help Mr Smeulders. On the other hand, he says: a lot must be done against flex. At that point I see a lot in this law: it is proposed to increase the price, to strengthen the rights of payrollers, to do the transition fee from day one. In fact, I have heard movements today, including those from the coalition, which are going your way, for example, in terms of probation and perhaps also in terms of payroll. So you could have said that that balance is coming a whole lot your way, so you could have come to the weighting that it is so in balance with the right of dismissal.
ParlaMint-NL_2019-01-31-tweedekamer-8.u23	We have two major objections to this law in substance. One has to do with probation. I'll get right on that. The other has to do with the protection of dismissals, in fact the relaxation of the right of dismissal. I suggest I explain our position on that first. After that, of course, you can all ask questions about this and I am happy to discuss it. We see the introduction of a new, more open land, with the relaxation of the right of dismissal and, in fact, the addition of the cumulation ground, which partly brings us back to the situation before the Work and Security Act. With the difference that at least higher fees were possible at the time, and that in the legislative proposal now before us it is a maximum of 150%. You had a debate on this with Mr Van Dijk of the PvdA this morning. Mr. Chairman. I have already asked for this in writing and I still do not think the argument is entirely clear. I would therefore like to ask the Minister to provide further support for this. Why opt for a higher transition fee if the cumulation ground is not a less sound grounds for dismissal? Because when you say "we think you should pay more," as a government, you admit that it's actually a little less decent. As a result, the second question is: what is the percentage of 150% actually based on? If that's what you want, isn't it more logical not to set a maximum? I heard this morning that there is something to be said for and against this. I am very curious to hear the Minister's response to this. This is very important, because the introduction of the cumulation ground is likely to have serious consequences. The negotiating position of workers in the event of a mutually agreed termination is likely to be less strong, as 150% is likely to be the maximum. And employers are likely to make massive use of this cumulation ground, a number of experts expected at the hearing, namely Saskia Peters and Gerrard Boot, both professor of labour law. We believe that the combination of these two things will make workers who are made redundant worse off than in recent years. Because before the WWZ we had less protection but higher fees. The WWZ turned that around: more protection but lower fees. The WAB offers less protection but also less fees. That sounds like the worst of both worlds. As GroenLinks, we are not enthusiastic about this; that is actually the answer to Mr Van Weyenberg's question.
ParlaMint-NL_2019-01-31-tweedekamer-8.u24	Were you done with this point?
ParlaMint-NL_2019-01-31-tweedekamer-8.u25	No, but I think...
ParlaMint-NL_2019-01-31-tweedekamer-8.u26	Yes, I saw it, but were you done with this point?
ParlaMint-NL_2019-01-31-tweedekamer-8.u27	Not quite.
ParlaMint-NL_2019-01-31-tweedekamer-8.u28	Maybe it's okay if you finish that first.
ParlaMint-NL_2019-01-31-tweedekamer-8.u29	Okay, I'd be happy to, Mr. Chairman. In addition, GroenLinks wonders whether the proposed measures are really going to lead to more fixed contracts; we have actually already talked about this. This was also questioned by experts during our hearing. In our view, the biggest pain for employers is, as has just been pointed out, rather the two years of pay for illness and the reintegration obligations associated with it. But this Minister has found a solution; congratulations for that. We're gonna talk about that as a Lower House, hopefully soon. Why, then, should we relax the right of dismissal if that is probably not going to lead to more permanent jobs? This really brings us to the most important question I would like to ask the Minister: what is the profit for the employees? Can the Minister elaborate on this? If we would like to change anything, GroenLinks considers it wiser to wait at least for the evaluation of the WWZ. The hearing also showed that judges had relatively little time to gain experience because of the recent entry into force of that law. So we do not think it is appropriate to say again that we are opening the door. That was my contribution on this point.
ParlaMint-NL_2019-01-31-tweedekamer-8.u30	I'll come back to where we just left off, because that was a bit about the final judgment. I now have a specific interruption about the right of dismissal. The question of what workers are getting out of this is, of course, a legitimate question. My answer would be more likely to be a permanent contract. And because it's a limited adjustment, the judge doesn't dissolve the employment if you don't get higher remuneration and if the judge still doesn't find that in balance. I believe that all the legal people we heard in that block from the case-law have said that they thought that adjustment of that cumulation ground was limited and sensible. Some wanted to move forward, but there was still quite broad support.
ParlaMint-NL_2019-01-31-tweedekamer-8.u31	It is true that during that hearing it was widely said that we could do this. The picture that we had a little bit of there and which was also confirmed last week at the meeting organized by a number of trade unions for MPs in preparation for this meeting is that fewer and fewer cases have been reached by the WWZ. The WWZ is therefore perhaps a success because the judge is less often involved. As judges say "give us a little more responsibility" I can understand that completely from the point of view of the judges, but we think a little that is because they are presented with far fewer cases and because they say in the cases they are presented with: give us a little more space to make a good assessment and don't make it so rigid. But I would also like to ask the Minister's views on this. But the side effect of that law, which is perhaps even more important, is that there are far fewer cases before the courts and that cases are resolved in advance by mutual agreement. And the latter is the best thing for everyone in our eyes.
ParlaMint-NL_2019-01-31-tweedekamer-8.u32	Finally, Mr Van Weyenberg.
ParlaMint-NL_2019-01-31-tweedekamer-8.u33	I hope that Mr Smeulders did not mean it that way, but it sounded almost as if judges were against it now because they have less work. That was what was stuck with me. I hope it wasn't. The judges and the lawyers said that a larger proportion is not granted. That's what makes many SME entrepreneurs - I speak to many SME entrepreneurs - now I'm really shy. If that means that they do not dare to give that permanent contract, then Mr Smeulders must also be concerned. I hope that Mr Smeulders will acknowledge that what is now before us is a limited adjustment. In the end, he should not be in favour of that, but it is of course not the case that the locks open. Far from it.
ParlaMint-NL_2019-01-31-tweedekamer-8.u34	First of all, I would like to address Mr Van Weyenberg's first point. That was absolutely not meant to be. I don't think I said it that way, but when it happened that way, I say it was absolutely not meant to be. In my opinion, D66 and GroenLinks are both parties with very high levels of justice. What I did say, and what I mean at least, is that judges see fewer cases. On the basis of these things, they can say "give us a little more space, because then we'd better get out." And I understand that. From the point of view of the judges, I fully understand that. The trade unions and their experts who assist people in many dismissal cases indicated what the positive thing about this law is: a lot of cases do not come to court anymore, but are actually resolved in advance by mutual agreement. We would be very sorry if the positive effect of the law were to disappear as a result of these measures. Mr. Chairman. Then there's another point.
ParlaMint-NL_2019-01-31-tweedekamer-8.u35	I see Mr Stoffer coming forward. He would like to comment on the previous point.
ParlaMint-NL_2019-01-31-tweedekamer-8.u36	Yes. Of course, I always have to come a little far.
ParlaMint-NL_2019-01-31-tweedekamer-8.u37	Well, that's not so bad. And you're so young.
ParlaMint-NL_2019-01-31-tweedekamer-8.u38	Yes. That's relative, but okay. I'm just kind of in the neighborhood of the discharge and you're gonna get old, but... One question. We have tabled an amendment to increase the remuneration not only for the i-ground but also for those other grounds in such a way that a piece of customisation is needed there too. There's a lot of reasoning about that. I can also hear your reasoning. That's kind of like it. How do you view that amendment that we have tabled?
ParlaMint-NL_2019-01-31-tweedekamer-8.u39	We are sympathetic to the fact that people who are likely to be fired or made redundant would receive higher compensation. I still have to study your amendment. I am sure you will explain this later, but we can support the principle of your amendment, if I understand what you are saying now.
ParlaMint-NL_2019-01-31-tweedekamer-8.u40	That sounds like music to me, Mr. Chairman.
ParlaMint-NL_2019-01-31-tweedekamer-8.u41	That's what I thought. Thank you. Please continue.
ParlaMint-NL_2019-01-31-tweedekamer-8.u42	Then I would like to continue with the second point that we were very concerned about in addition to that cumulation ground, and that was the five-month probation period. That was also the subject of the hearing on a regular basis. There are so many arguments for not doing so. I think they've all been reviewed there, but in our view the most important thing is that you can feel on your clogs that it's going to be very easy to take advantage of that. We are really afraid that it will become a kind of beach tent construction: the summer starts, people are hired and after five months or just a little less, after the summer, they will be thrown out again without an apology. Employees have hardly any protection for five months, and five months of uncertainty is a lot. We are therefore extremely pleased that we have read in the newspaper that the coalition parties also recognise that this is not a very good plan. In any case, Mr Van Weyenberg indicated it on behalf of D66. I therefore sincerely hope that the amendment we tabled together with the SP and the PvdA will receive broad support in this Chamber.
ParlaMint-NL_2019-01-31-tweedekamer-8.u43	We will certainly support that amendment. You began to say this subject: you could feel on your clogs. I will come back to it in my speech, but don't you think this is a cheap trick? You put something really annoying in the window and you're gonna give it away to all the other points. I've been a negotiator, so I know the tricks.
ParlaMint-NL_2019-01-31-tweedekamer-8.u44	A look at the negotiations of the FNV, a good lesson. I'll have to remember that. Maybe we should think about that next time before the coalition agreement.
ParlaMint-NL_2019-01-31-tweedekamer-8.u45	It also seems to be interesting for the Minister.
ParlaMint-NL_2019-01-31-tweedekamer-8.u46	To answer Mrs Van Brenk's question: I honestly do not know. She's actually asking me for a review of what the coalition did. In any case, I am very pleased that on a proposal that everyone and therefore all the experts are actually saying that you simply should not do so, the coalition also says: we simply do not do that.
ParlaMint-NL_2019-01-31-tweedekamer-8.u47	In any case, we are very pleased that this can go away. But isn't Mr. Smeulders afraid that with that the rack is immediately out of the coalition to give away some more things?
ParlaMint-NL_2019-01-31-tweedekamer-8.u48	That is a question you are asking me, but you should actually ask the coalition groups. I very much hope that the other amendment that we have tabled, namely that on the cumulation ground, will also receive the support of the coalition, but I honestly wonder if that is the case. Anyway, we have not had the floor of all the coalition groups. Mr President, I will conclude. Both last autumn during the debate on the Social Affairs and Employment budget and last week during the debate on The Social State of the Netherlands, I made a passionate plea for more control but above all for more security. The relaxation of the right of dismissal does not contribute to greater security. That is precisely why I have tabled an amendment to remove it from this law. Since my other amendment is likely to have broad support, I really hope that it will be a little bit against better knowledge in the context of the coalition's progressive understanding of this point as well. I am also looking at the Minister, because this minister may be the minister of impossible matters, but he is also the minister of the constructive discussion. I therefore sincerely hope that he will take this up and look forward to his response to my input, but in particular to his response to the two amendments I have tabled.
ParlaMint-NL_2019-01-31-tweedekamer-8.u49	Thank you, Mr. Smeulders. I now give the floor to Mr Wiersma on behalf of the VVD.
ParlaMint-NL_2019-01-31-tweedekamer-8.u50	Mr President, thank you. In recent years, everyone has worked hard to build the economy. I think we have no choice but to say that we have succeeded again. You cannot open up the newspaper or show new figures that there is less unemployment and that more jobs are filled. Then maybe we shouldn't just look at the figures. That's what we noticed with each other last week, but these figures do mean that a record number of people is at work, that a record number of people can take care of their families and that a record number of people with peace of mind can go to the movies again, for example. But only that record number is not yet 100% and so we also need to work together to shape the labour market in such a way that we are getting closer to 100%. That is not possible, however, if we are just going to stand up to each other. It doesn't work either if we just do one thing or just do the other thing, but only if we choose and-and. In order to achieve this, we must also recognise that not all the rules we have now work well. For example, we have often complicated things for entrepreneurs. In order to be able to hire or fire someone, you sometimes have to be half a labour lawyer and therefore entrepreneurs are reluctant to accept people or offer that permanent contract, when we want to. It runs counter to what we want here and also to what those entrepreneurs want. Because putting their people, their main assets under the feet, is something that a lot of entrepreneurs want. And then big risks, rigid rules and potentially high costs distract you pretty much. In addition, it also opens the door to cowboys who invent smart constructions to reduce wages, constructions that the employee suffers from. We have talked about this many times in this Chamber and we agree on this from left to right. Look at someone who works hard for his money and does exactly the same work as a colleague, but still gets less paid. I'm talking about unfair competition in the workplace. And then employees and flex workers andzzp'ers get in the way of each other. They are in each other's waters, and as a result a bad basis to fall back on when things are bad. That is what we see, because the labour market is becoming more and more difficult for both employers and employees. That is why we must dare to adapt the labour market to the wishes and rapid changes of our time, because the world is not standing still and it can be better and because we are obliged to do and improve things for all those people that are hard at work that day in, day out, rather than sticking around in just politics. Then we can once again be proud that we are getting it right for everyone and that we can ensure that everyone gets opportunities in the future and that there is enough and certain work. Crazy enough, I don't think anyone disagrees with that. And that might be very good news. Maybe this Labour Market bill is going into balance today, cheering through the Chamber. Are we going to see it? After all, you only have to open a newspaper, consult a random expert or do a smart action on Google, and you see the same conclusion everywhere: work changes through new technology, it becomes more international, there are other wishes and preferences to do the work and everyone says that an update is needed on how we organise that work. Despite the consensus on urgency, it doesn't work. At the moment, the polder model does not pay much tribute to its famous past; I have to say that. Because "balance in the labour market" could also have been the title of a beautiful piece of music from the polder, with taboos that have been broken and contradictions that are bad. But my polder heart bleeds, because that's not how the law goes into history. Not few people choose the path of their own equality: employers' organisations, workers' organisations, political parties. And so the polder and the labour market stand still, while we all know that the real labour market is moving more than ever. I'm sorry about that, because this is the time. Result is achieved by doing things and by taking things together, not by pushing things forward. You get the result because you stand next to all those well-willed entrepreneurs and workers who run into problems, rather than in front of them. In front of them, we're all here.
ParlaMint-NL_2019-01-31-tweedekamer-8.u51	And so it is! The party of the doers; we're going to change the country. Everyone's crazy. We may have different opinions, but fortunately the VVD is there in this country to keep things in order. That's kind of the summary of this story.
ParlaMint-NL_2019-01-31-tweedekamer-8.u52	I'm living it differently.
ParlaMint-NL_2019-01-31-tweedekamer-8.u53	I do not know whether Mr Wiersma and I read the same newspapers, but I also read other things in newspaper articles. It is right that a number of measures are being taken to make flex more expensive, but I see a lot of worrying articles about bogus structures, about self-employed people who are not insured, about the loss of part of income tax, because 40% of those who do not even pay. So I see not only that technology and the world are changing, but also that we are leaving a very large group behind. Does Mr Wiersma agree?
ParlaMint-NL_2019-01-31-tweedekamer-8.u54	Yeah, we gotta do things for that. That's what this bill does a number of things for. I will also say that it is an important step, but we need to do more. When it comes to the newspapers, I mentioned the record number of vacancies and the record number of people who find work again. We see that after very difficult years we will recover, and we have worked very hard to achieve that, together with all those people in the Netherlands. A lot of people also notice that things are getting better. But we also see in the labour market that there are people who would like to have a permanent job, but who are the victims of either an employer who does not dare, or cowboys who may make that impossible. I think they're both relevant. I also believe that together we should offer solutions to this and not stand against each other. We have to do this together, and this is an important step. I will make a few more proposals which I hope we can make together.
ParlaMint-NL_2019-01-31-tweedekamer-8.u55	And I would like to see a lot of parties that want to take the next step here. With this law, therefore, you allow some of that division to exist in the labour market. The next step we should take together is to protect thezzp'ers. I call it the realization of this about disability, the possibility of pension building and tackling the sham structures. Can we also count on the VVD?
ParlaMint-NL_2019-01-31-tweedekamer-8.u56	We say: if you are an entrepreneur, then you are an entrepreneur. Then we also assume that you really are an entrepreneur. When we see that, and we see that sometimes there are people who are not entrepreneurs, then I want us to be able to offer those people that contract of employment, that we have that within our grasp. But that requires that we take this seriously too. That's what you have to do. There is no red button for it, a number of measures are needed. The first measures necessary for this are contained in this legislative proposal. Are we there? No. We're gonna have to go through with that. I will say a few things about this in a moment, also specifically aboutzzp'ers.
ParlaMint-NL_2019-01-31-tweedekamer-8.u57	Please continue.
ParlaMint-NL_2019-01-31-tweedekamer-8.u58	Mr. Chairman. I'll get on the bill. The VVD sees some important points that we welcome. It also sees points that can be even better and challenges wider than this bill. I just referred to it. I'll walk by this one. In order to balance the labour market, you cannot want one without doing the other. If we want to bring the steady track within reach for those who want it, there's no such thing as a red button. I told you. Then you have to dare to make that permanent job attractive, so that that entrepreneur, whether the baker is on the corner with four men or a large company, simply dares to offer solid ground. For that, this bill is simply taking important steps. This, together with economic growth, which is now also a driving force for permanent jobs, hopefully means that we will also see this acceleration. But I do ask: what is the Minister's expectation on this point? A number of questions have already been asked. What's realistic, I want to ask him honestly. At the WWZ, the Work and Security Act, the expectations were perhaps very great and compelling. In order to avoid disappointments, I think we should also be honest. We must also be honest about the fact that we do not escape the observation that, because of faster job changes and because of greater turnover rates of companies, today's and tomorrow's labour markets also have a higher degree of flexibility and that it will simply be more frequent to implement your work, especially flexible or self-employed. But that also offers new opportunities. And believe it or not, people just choose for themselves and want to be able to continue to choose for it. I can honestly say that this recognition is still a little lacking in the proposal. So I would also like a response from the Minister, because it is also a recognition of many people who do work with great pleasure or flexibility or self-employment. Mr. Chairman. The VVD welcomes the steps we are taking with regard to dismissal law. We'll simplify that. The world is not black and white and the sometimes mental impediment that entrepreneurs experience just deserves serious attention. This must be done in a way that works not only for the entrepreneur but also for the employee. Therefore, it is good that we can do better with a new ground to those complex situations that you want to say goodbye to each other. It is therefore a good thing that if an employer is not in such a situation in order, an additional compensation is possible. However, I would like to ask the Minister to stress that this is a bandwidth. From the round table I get the fear that this new ground can also become the standard ground and that in the absence of indications the 50% will always become the standard. That could undermine the purpose of this law. Does the Minister agree with us and how are we going to prevent that? Can he give us a more detailed explanation of how the judges are going to make those assessments in a moment? Although, of course, they have the freedom to do so, which they have often asked for. That's what we're offering them. Mr. Chairman. If you work flexibly and want to do it longer, this will be possible again. I just started a new block.
ParlaMint-NL_2019-01-31-tweedekamer-8.u59	I see that Mr Gijs van Dijk ran to the microphone, so Mr Gijs van Dijk.
ParlaMint-NL_2019-01-31-tweedekamer-8.u60	I got confused for a second. I hear Mr Wiersma say on the one hand: ho, ho, we have agreed on a transition fee, up to 50% on it, but will that then be the standard and can the Minister give security buttons for that? On the other hand, of course, it is up to the judges. It can't be both. Is it up to the court to decide on compensation or are we going to set the standard here politically?
ParlaMint-NL_2019-01-31-tweedekamer-8.u61	That's a good question. I'll take this at the round table, the hearing we had. There, judges, specifically two canton judges, said: I do not know how that will happen in a moment; I actually think I can always reach that 50%. Then I think we're gonna miss the goal, because the goal is to give that judge the room to figure out for himself what works and what doesn't work, and also do justice to a specific situation. On the contrary, I would like to make a plea to do justice to that particular situation, but there is a band of 0% to 50%. I would like to emphasise that this is indeed the case and that it is not the case that the judge thinks: oh, I should only do 50%. Because then, also, agreements are always going to be linked to that 50%, and then we are going to break that high threshold, which we also say we don't always want to do. With that, we want to make that permanent job more attractive again. That's my fear, and I want to avoid it.
