ParlaMint-NL_2019-10-29-eerstekamer-3.u1	I would like to welcome the Prime Minister and all the other leaders here today.
ParlaMint-NL_2019-10-29-eerstekamer-3.u59	Mr. Chairman. May I begin by warmly congratulating Mr Cliteur on his maiden speech? There were many elements in his speech that we could very well agree with. I also take the liberty of congratulating Mrs Vos, Mr Rosenmöller, Mr Otten and Mr Gerbrandy in advance, otherwise I will not be able to do so in public. Finally, of course, I would also like to congratulate Mr Snel on his birthday. Fantastic. Mr. Chairman. Today we are talking about the rich budget, but, of course, we are talking about much more than that. The General Political Reviews actually Mr Cliteur has shown that his traditional time to raise the level of abstraction of the political debate. Society is changing, the political landscape is changing. We can only see that when we look around here in this room today. And yet, in the midst of all that, the function of this Chamber is unabatedly important. Because in a fragmented political landscape, where compromises are always needed, the testing of feasibility is more important than ever. And let that be just a task of the senate. Mr. Chairman. The conversation about politics has long since stopped being held alone in this house or across the street. Part of this changing society is a high degree of involvement of the electorate, an urge of many people to have more participation. Maybe not in the traditional sense, the number of members of my own party is steadily falling, but people want to talk. Online or offline, the discussion is being held and that is a good thing. Our job is to continue to explain what we are doing and what we are doing, and perhaps even more, why we are not doing something. Snapping the political landscape and changing majorities also means more compromises. And although we have elevated poldering to art in the Netherlands, too complex legislation is not what the Dutchman is waiting for. I am asked regularly why we do not introduce a threshold for voting in this country. That would make politics much clearer. And indeed, that thought occurs to me every now and then, of course. But that thought quickly disappears when I look at the United States, or at Great Britain, to countries where one party rules. Can I say that the system in countries such as the US and France, where presidents have very large mandates, does not always lead to decisions that can be supported? In fact, some presidents don't even seem to be looking for support. We believe in the compromise, but, of course, we also occasionally go a little further on to the other side. The poldering is sometimes difficult to explain. I would just like to give you an example of the climate tables. Its aim is wonderful: to bring everyone to the table and to develop a broad climate approach supported by political, civil society and business. And yet I suspect that if Minister Wiebes had known how the trial would go, he might have chosen a slightly different form after all. Anyway, there is now a package of measures that will allow us to pass on our earth a little cleaner, and we will not stop there. On average, we have elevated the compromise to a large form of art and, ultimately, decisions are made that are based on broad support. We need that broad support, especially now that the coalition does not have an automatic majority. However, if the past Cabinets have taught us anything, then it is that the o-so-Dutch compromise is always found by this Prime Minister and that the e.g. the Netherlands is constantly pushed forward. Even so far that, according to the World Economic Forum, we are number one in Europe and number four worldwide. I can still hear some opposition parties screaming that we were ruining our economy. On the contrary, our economy is thriving like never before. There have never been so many people working in our country and the number of people living in poverty is falling. Mr. Chairman. The cabinet is now looking further ahead and has indicated its intention to set up an investment fund with the aim of pushing the economy forward in the long term. What is the situation and can the Prime Minister take us back into consideration? Just because we're on the right lists doesn't mean the country's finished. Of course, there are still a lot of challenges. We need to build, build, build to solve the housing shortage. But in order to do that, we need, among other things, to put an end to the nitrogen crisis. We must pay attention to the farmers, because it cannot be that the measures are disproportionate to them. Those people, who stand up daily before day and dew, deserve our appreciation and at least a more constant government policy when it comes to agriculture. Complex problems will continue to arise. In varying majorities, solutions will become at least as complex. So what we will have to guard against is making policies unnecessarily complicated. The fact that we do not actually have large parties anymore and that there does not seem to be an end to the fragmentation also leads to more and more complicated political compromises. In the past, you could come to a compromise with two or three parties in which parties recognized themselves and that you could also explain to your own supporters, but that becomes a lot more complicated if you need four, five or six parties to do so. Here in this House, we have the clean task of weighing that compromise and voting in favour of its feasibility. And that is becoming increasingly important in this context. A few months ago, there was a law in this Chamber that demonstrated exactly how a complicated compromise can have an undesirable and unfulfilled outcome. I'm talking about the asbestos bill. We all agree that asbestos is very nasty stuff and that it can make you very sick. That is why a ban was announced. But if you find that there is only a limited number of asbestos removers, that the demands for clean-up are sky high and that the demands for entrants on that market are about the same, then you are creating a very undesirable situation. Individuals and companies have to remove their asbestos, but are on a waiting list for months and then pay themselves blue. The whole process is so viscous that the end date cannot even be reached. In the execution, so many parties have had something to say that the outcome was unworkable. The law that would seal that has rightly rejected the previous Senate in our view. We'll get those kinds of examples more often. Not because someone in our Binnenhof is out to make a bad law, but because the compromise, although essential in our system, can go through something ugly. Fortunately, the Secretary of State has now come up with an alternative which I hope will really help people. At what time can we look forward to these new measures, if we can already see them? I am convinced that in a number of areas this can lead to too complex solutions. I myself find how we deal with our tax system an ugly example of that. We look at the purchasing power figures, the distribution between categories of people, the distribution between age groups, and of course we try to solve everything through our tax system. The tax authorities can't handle it then. Then we get angry about that and then we come up with something new, which is more complicated. In its opinion on the Millions note, the Council of State spoke wisely about how to shape successful transitions in a fragmented society. They advocate a very careful preparation and clear choices on the front. This preparation should start with an adequate problem analysis and consideration of policy instruments based on relevant available knowledge and facts. The RvS quotes: "It is important that an overall assessment is made so that consideration can be given to possible tensions between objectives." They mention as examples the tension between income protection and promoting employment or the tension between stimulating the economy and protecting the environment. Another example mentioned by the RvS is the shortage of employees in some sectors of the public sector, such as the shortage of teachers in education. The fact that too little can be taught to our children is a problem. Would more teachers solve the problem? Yeah, but it would also help if we could seduce teachers to work less part-time. We also know that about 50% of all primary school teachers work less than 0.8 fte. Our picture is also that the workload in this sector is partly caused by the many transfer moments. Individual teachers report that, but only a single dome wants to burn itself about this. So could a targeted increase in wages not make much more sense? An ex ante analysis. We must therefore take these elements into account in the comprehensive consideration that the Council of State describes. Then, together with other parties, we will have to look for solutions. We can't miraculously open a can of teachers tomorrow, but we can find solutions together. This house is the final piece of the Dutch polder compromise. That's how I see our Senate. And in the current political climate, where compromises will have to become more complex to do justice to all the parties involved that are needed for majorities, that conclusion is more necessary than ever.
ParlaMint-NL_2019-10-29-eerstekamer-3.u60	I am pleased to hear that the VVD also considers the lack of teachers an important problem. Does the VVD think that you can be a earner with a salary from primary education and that you can work full-time?
ParlaMint-NL_2019-10-29-eerstekamer-3.u61	If you're working full-time, you can. I know examples of situations where that is so.
ParlaMint-NL_2019-10-29-eerstekamer-3.u62	Do you know the cost of living and living in the Randstad?
ParlaMint-NL_2019-10-29-eerstekamer-3.u63	I know them better than anyone, because I live there myself. By the way, I live in a municipality where a lot of teachers and teachers live who work in the other city next to us. They can live right there.
ParlaMint-NL_2019-10-29-eerstekamer-3.u64	Mrs Vos, your third and final interruption on this point.
ParlaMint-NL_2019-10-29-eerstekamer-3.u65	Do you know the complaints of the group PO in action that you can barely live off a teacher's salary in primary education and especially if the rent is at least €1,500?
ParlaMint-NL_2019-10-29-eerstekamer-3.u66	We are now having a very detailed discussion about the cost of living in the Randstad, while we are talking about the total deficit in education. To be honest, I think this is a subject where my Lower House Group is undoubtedly going to have a lot of debates with the Minister for Education. Then we will see the legislation, if it comes, in this Chamber. I am referring to the fact that we also need to see whether the problem analysis at the front is so good that we can also get legislation out of it that is of such quality that we can say yes to it.
ParlaMint-NL_2019-10-29-eerstekamer-3.u67	Finally, Mrs. Fox.
ParlaMint-NL_2019-10-29-eerstekamer-3.u68	I'll try one last question. Do you find the difference in salary between someone who works in primary education and someone who works in secondary education right?
ParlaMint-NL_2019-10-29-eerstekamer-3.u69	Yeah, you can have a discussion about that. I'm not saying it's wrong in advance. There are many reasons why it may be justified in some respects. I'm sure you'll find something else. That doesn't mean anything about the salary. Moreover, I do not think that any increase in salaries will lead to more teachers in any way. I've let go of that thought a long time ago. Too often that has been a reason to think about salaries. There are other things that have to be done. I really think you need to figure out how to make it more attractive to work a few more hours. I'm really sorry that for too many people in education education is a job you do for a few hours. That's not good.
ParlaMint-NL_2019-10-29-eerstekamer-3.u70	Please continue your speech, Mrs Jorritsma.
ParlaMint-NL_2019-10-29-eerstekamer-3.u71	Mr. Chairman. The political debate is alive, not only here but fortunately also on the streets and on the Internet. The need for greater involvement in this discussion led us to ask Mr Remkes, I simply said 'we' because we have given the start to lead a state committee with the task of examining whether our parliamentary system is still working properly and whether it is future-proof. It was, of course, ultimately done by the cabinet. I am very grateful to Mr Remkes and his committee for this and hope that together with these recommendations we can indeed work towards a future-proof system in which people feel heard and involved. However, part of these recommendations has already been watered down and put into a legislative proposal. I am referring to the legislative proposal which ensures that constitutional changes should be dealt with at second reading by the united assembly of both chambers. And although it is unusual, since the bill in question is still under consultation, I can give a hint of the veil as far as my group is concerned. We will not approve any proposals restricting the position of the Upper Chamber, our Upper Chamber. Because, like the Council of State, when we ask for a change of people because laws change, we have to make sure that that change is easy for people and that it can fit into their lives. And let that be the core task of the First Chamber: to test for the feasibility of laws. Quite rightly, the Council of State is calling for attention to be paid to this. Mr. Chairman. In the coming parliamentary year, my group looks forward with interest and enthusiasm to the debates on legislation and regulation in many key policy areas. I will mention some of them. Exploring the possibilities of implementing the agreed pension agreement in a responsible manner, avoiding unnecessary reductions in pension benefits. Simplifying the tax system and, of course, regulating box 3 in order to achieve a more equitable and balanced tax on the yield achieved. Implementation of the Climate Agreement with measures and initiatives that effectively address CO emissions. My group is really curious as to how the government proposes to achieve a CO-neutral economy without the economic growth needed to finance the agreement. Many studies and scientists are convinced that without the use of nuclear energy this can hardly be achieved responsibly.
ParlaMint-NL_2019-10-29-eerstekamer-3.u72	I would like to go back to the previous section in which Mrs Jorritsma commented on the constitutional reform and she already gave a hint of the veil. My question is: does the same appreciation of her for the election of the First Chamber apply? That is the same issue.
ParlaMint-NL_2019-10-29-eerstekamer-3.u73	We are positive about this, but I have already said so. I even think I said it during my previous General Reviews, but that was, of course, in the previous period, not of the Cabinet, but of the First Chamber. We have argued earlier to go back to what it was like for sometime in the 1980s.
ParlaMint-NL_2019-10-29-eerstekamer-3.u74	Perhaps we should discuss this later, but that has a lot of consequences, especially since there have been a number of changes in recent years which at least make it more difficult for small parties, for example the disappearance of the list links and the retention of the largest averages. Mrs Jorritsma has today argued that it is important that there is proportionality in this Chamber. Is she prepared to take this into account in her early vote for a change in the election, already mentioned in the previous General Reviews?
ParlaMint-NL_2019-10-29-eerstekamer-3.u75	I did the latter because I would be sorry if such a law, which would have been dealt with nicely in the House of Representatives and might even be able to count on a single majority, did not come through. That is why I must make it clear how we feel in the First Chamber. The other bill you are talking about, of course, concerns a matter which must first be dealt with by the Cabinet and the House of Representatives. I know in what elements that will be reflected in the bill that will eventually reach our Chamber.
ParlaMint-NL_2019-10-29-eerstekamer-3.u76	Last one, Mr. Schalk.
ParlaMint-NL_2019-10-29-eerstekamer-3.u77	Obviously, Mr. Chairman. Does this mean that Mrs Jorritsma at least agrees with my group that such legislative proposals can be better dealt with after the report of the Remkes Committee has been discussed in the Chambers?
ParlaMint-NL_2019-10-29-eerstekamer-3.u78	I honestly don't know. The Remkes Committee's report is not something you say: we are going to have a big debate on once and then we know exactly which legislation should and should not be done. I think it is a process and that parts of what the state committee has written down will be translated into legislation every now and then. Some things will have to wait for elections. Some parties will want to include things in their election programme that other parties will not want to include in their election programme at all. That is how it works with the results of this state committee, I think, because quite a lot of things are also subjects that are considered politically differently. The state committee was therefore very wide-ranging.
ParlaMint-NL_2019-10-29-eerstekamer-3.u79	Then we'll go to Mr. Cliteur.
ParlaMint-NL_2019-10-29-eerstekamer-3.u80	I would like to ask Mrs Jorritsma the following. In fact, I just want an explanation of two words she used: 'wide support'. That struck me a little bit. I imagine you don't think you should go with the farmers and the builders, but at the moment there is no broad support? There are huge protests in the country. We have just found that people who generally do not protest go to RIVM with their tractors. Our colleague from D66 has asked me a little more about that. There's a huge discontent in the country. Then I don't even have to talk about what I've been talking about in my own maiden speech. I don't see the broad support.
ParlaMint-NL_2019-10-29-eerstekamer-3.u81	I still think that everyone is still very happy that most people are at work. I also think that everyone is very happy that poverty is falling in this country. There's broad support for that. I think there is great satisfaction about a lot of things we do in this country. And yes, there are still a number of serious problems, for which you will have to try to find the broadest possible support. Today, therefore, that support is always wider than the coalition. You'll always have to look for major majorities. I still believe that wherever you can do it, you need to find the broadest possible support. That will not always be the case that all parties are in favour. No, I wish it were so beautiful. But politics is also in favour of highlighting differences. Eventually you have to do it with majorities, in this case on both sides of the Binnenhof.
ParlaMint-NL_2019-10-29-eerstekamer-3.u82	I had the impression that Mrs. Jorritsma was coming to the end of her speech.
ParlaMint-NL_2019-10-29-eerstekamer-3.u83	I'm... Just a few more. One more thing, one more subject, well, subject...
ParlaMint-NL_2019-10-29-eerstekamer-3.u84	What I'd like to discuss with her is this. She has put a great emphasis on the importance of compromise in Dutch politics. I think that's totally justified. The compromise is always based on principles of one party and principles of the other. The remarkable thing about the debate in the House of Representatives was that there was a shift of principles. That's what I thought, and many of them found it with me in the media. For years Mrs Jorritsma's party was harnessed in the idea of neoliberalism: less government and more state. In fact, this seemed to be abandoned by her party in the debate in the Lower House. That really means something for the compromise. I'll take that as a turn to the left, let me put it this way. Whatever you call it, Mrs Jorritsma's party also distanced itself from positions she had previously adopted. Does that also apply to the group in the Upper Chamber or are we dealing with two VVDs?
ParlaMint-NL_2019-10-29-eerstekamer-3.u85	I would almost tend to ask the counter-question whether it is also true for you that you do not hold on to your well-balanced views.
ParlaMint-NL_2019-10-29-eerstekamer-3.u86	Yes.
ParlaMint-NL_2019-10-29-eerstekamer-3.u87	Okay, then there's talk. Let me say what my party is discussing, something I am very pleased about. We have liberal goals and we are very keen to achieve them. We are still in favour of a liberal state. We also believe that people should be able to make their own choices as much as possible and where that can be done. But sometimes you have to choose to use a non-liberal instrument to achieve a very nice liberal goal. This means that state intervention is sometimes accepted by us, precisely because we think that the underlying objective is better achieved if the state plays its role better. In this sense, we are undoubtedly looking at things differently today than we had done a great many years ago. Sometimes we were a little too optimistic about what people themselves could do. Now we're looking at the target a little bit more. We think that is the most important thing. If we have to do this occasionally with a compromise on the front, sometimes a compromise that is politically enforced and sometimes because we think that the goal will be better achievable, we will do so. In that sense, we are not shifting to the left, because we remain as liberal as I-know-what, but we are going to check once in a while whether the resources were the right means.
ParlaMint-NL_2019-10-29-eerstekamer-3.u88	There's nothing wrong with a good liberal, my colleague Van Raak would say across the street. That is also true, because liberals can go in all directions, including the right direction. I'm very happy...
ParlaMint-NL_2019-10-29-eerstekamer-3.u89	That's very nice in a country where so many people all have different opinions. The Liberal will never say that he has the solution in his hands. And I'm really glad we find that.
ParlaMint-NL_2019-10-29-eerstekamer-3.u90	And that is why I am so pleased with Mr Jorritsma's statement, because the Liberal would never impose a single solution. The neoliberals we have had in office for the last ten years have done so. They said: we need less government and more market, and we are going through it everywhere, even against better knowledge. I am very pleased that Mrs Jorritsma says that thinking is also developing in the largest liberal party in the Netherlands and that it is also moving, not to the left, but to the idea that under conditions a stronger government, a stronger public sector and a stronger community are important to achieve what we want to achieve together. I think this is a gain from this debate.
ParlaMint-NL_2019-10-29-eerstekamer-3.u91	If I may respond briefly; I have never felt a neoliberal. I still think that where the market can solve something, the market should do so. I think that where people can make their own choices, they have to do so, not only because they think so, but because I think it is important that people sometimes have to make their own choices.
ParlaMint-NL_2019-10-29-eerstekamer-3.u92	I'm going to see Mr Van Rooijen, with your permission.
ParlaMint-NL_2019-10-29-eerstekamer-3.u93	Mr. Chairman. Mrs Jorritsma is actually making a nice little bridge to my interruption saying that the liberal does not always have the solution. She used two words just before the end of your speech: unnecessary reductions.
ParlaMint-NL_2019-10-29-eerstekamer-3.u94	Besides, I think I said something else, but okay.
ParlaMint-NL_2019-10-29-eerstekamer-3.u95	Unnecessary discounts. My question is this. Do you not agree with 50PLUS that all discounts are unnecessary and unnecessary, given that the yields have been 7% over the last 30 years, that this year's yields are 15% to 20% in three quarters and that pension funds' assets have increased by 200 billion this year, 200 billion? Then you will say: yes, but we have an arithmetic interest rate that is about zero and a standard of 0.1% that is also about our arithmetic interest rate. Do you agree with me that, especially with regard to the pension agreement, you should not cut it unnecessarily now and that all discounts should be cancelled, including with a view to the further negotiations on pensions?
ParlaMint-NL_2019-10-29-eerstekamer-3.u96	I don't agree with you there that easily. If it were that easy, there would have been a proposal that everyone could agree on a long time ago. It's really a little more complicated than that. It is about solidarity between people who currently have a pension and those who need it in the future. There are great differences between the funds, very large differences. It's about the question of which system we're actually going to. Will it be a collective system or will it become much more an individual system? As the latter is more the case, the solutions will be a little easier to find than when the latter is the case. In short, it's very complex and I'm not going to say here "well, I totally agree with you; well, Mr. Koolmees, why don't you have a little chat; all the discounts off the table and solve it nicely." No, it's not that easy.
ParlaMint-NL_2019-10-29-eerstekamer-3.u97	Mr. Van Rooijen, last on this subject.
ParlaMint-NL_2019-10-29-eerstekamer-3.u98	That wasn't the suggestion I wanted to wake up. I am glad, by the way, that you did not say 'no' clearly. So we can keep thinking together. I think that's wise.
ParlaMint-NL_2019-10-29-eerstekamer-3.u99	That always seems good to me.
ParlaMint-NL_2019-10-29-eerstekamer-3.u100	My question is, however, following your response: what do you think, apart from the fact that we as 50PLUS have this view, of the fact that 60 men and women scientists, 30 professors, a number of politicians and the former director of the planning agency and De Nederlandsche Bank have said that you should not only look at the calculation rates of zero but also at the returns and whether you can find a combination of market interest and return? Would it not be an idea, they say, to set up a committee that can deliver a sensible opinion on this very quickly? What do you think of that suggestion, so apart from my party's position? We are now supported by many, at last. I've been screaming in the desert for a long time, but I haven't felt that way in a few weeks.
ParlaMint-NL_2019-10-29-eerstekamer-3.u101	The question is clear.
ParlaMint-NL_2019-10-29-eerstekamer-3.u102	I've seen that, of course. By the way, I have also heard about as many opposite sounds.
ParlaMint-NL_2019-10-29-eerstekamer-3.u103	That was 20!
ParlaMint-NL_2019-10-29-eerstekamer-3.u104	So the numbers are decisive? In short, it is far too complex to quickly come up with a nice solution here. I wish Mr Koolmees an extraordinary strength in the search for a really good solution which can also be a structural solution. So don't do something quick that we're gonna regret in the future. My kids are at an age that it's gonna take them a long time to retire. But I hope that they will eventually be able to grow to a pension of a decent size.
ParlaMint-NL_2019-10-29-eerstekamer-3.u105	Mr. Van Rooijen, last time at this point.
ParlaMint-NL_2019-10-29-eerstekamer-3.u106	Short. Do you take the 60's advice seriously? Don't you take that off with "there are 20 who think differently"?
ParlaMint-NL_2019-10-29-eerstekamer-3.u107	Any advice is serious, but seriously doesn't mean I accept it automatically.
ParlaMint-NL_2019-10-29-eerstekamer-3.u108	Mrs Jorritsma pointed out that the VVD still supports the liberal values. That's good. She says herself "I'm as liberal as I know what." I think it's crazy here. 'Cause I didn't expect that at all. I come to the question about the prevention agreement. Your party participates in this government that comes with a prevention agreement. It didn't appear in your election program. Your party did come up with it anyway. How can you, as a liberal, as a real liberal, interfere with other people's way of life? That's not liberal at all, is it?
ParlaMint-NL_2019-10-29-eerstekamer-3.u109	Well, actually, I've already given the answer to one of the previous interruptions. We have come to the understanding that you sometimes have to use a non-liberal instrument to achieve a liberal goal. A liberal goal is also a healthy society. If we can contribute to people's healthy behaviour, we must do so above all. As far as we are concerned, as little as possible through all kinds of prohibitions and things like that. But agreements on this are of course fine. They're all good. You have to do it wisely.
ParlaMint-NL_2019-10-29-eerstekamer-3.u110	In fact, I can conclude that you think people are too stupid to decide for themselves what they eat, move or whatever. Then you can say that sometimes you do not have to be liberal in order to get liberal positions through, but that is actually just dictatorial. You're going to tell me to eat less meat, I need to move more and I need to drive less. That's really not liberal. That's dictatorial. The SP is nothing! It does not consider the prevention agreement to go far enough.
ParlaMint-NL_2019-10-29-eerstekamer-3.u111	I'm not SP. I do not think that the prevention agreement does not go far enough. Maybe I think it goes a little far on some points, but that is not the question. There is no provision in the prevention agreement for you to stop eating meat. And that's a good thing, because I like a piece of meat. I'm not a vegetarian. Maybe I'll eat more than healthy for me... Well, not these days.
ParlaMint-NL_2019-10-29-eerstekamer-3.u112	Mrs Jorritsma, continue your speech.
ParlaMint-NL_2019-10-29-eerstekamer-3.u113	It's getting very personal now.
ParlaMint-NL_2019-10-29-eerstekamer-3.u114	Yeah, or I might go too far, that's true. But living a healthy life is very nice. Mr. Chairman. Finally, I would like to say a few words about one law: the Environment Act. That is a very complicated law, but it is a law where provinces, municipalities and water boards that have to implement it, like the market players, are waiting for clarity. I hope that we can provide it as soon as possible. Mr President, these are a few examples of the challenges ahead. It is also matters that affect people directly at home and that risk becoming extremely complex. A beautiful metaphor from the municipality where I myself have been mayor, is the phenomenon of elephant paths. When a municipality builds footpaths that don't make sense, people walk somewhere else. There are so-called elephant paths. Almere chose at some point not to build any more paths in new neighborhoods, but to see where the elephant paths arise and then to turn them into formal paths. I liked that. Now, of course, I am not suggesting that cabinet and parliament sit on their hands and see what unfolds. But we will have to keep an eye on all these issues and take into account what society demands of politics and how the solutions in the ministries and across the street in the House of Representatives get people home. As a senate, we are the final stage in this. Let us all go down those elephant paths together and continue to test the compromise critically each time. Thank you.
ParlaMint-NL_2019-10-29-eerstekamer-3.u115	Thank you, Mrs Jorritsma. Mrs. Faber.
ParlaMint-NL_2019-10-29-eerstekamer-3.u116	Mrs Jorritsma has indicated that more needs to be built. But with the current migration, there's no way to build against it, is there? My follow-up question is: does Mrs Jorritsma see migration in this house as a positive phenomenon?
ParlaMint-NL_2019-10-29-eerstekamer-3.u117	Migration in general cannot be seen as a negative phenomenon. In fact, this country is almost exclusively made up of migrants. There are also members here in the Chamber whose roots were somewhere in another country. That's fine. A lot of migrants who are currently coming to our country are people who are just doing work and who are also coming here for work. I see these lists every time, and then it's like there's just unwanted migrants. A lot of these people are very wanted. Because we have work for them, they're coming to this country too. What we want to be strict on are the people who come here illegally on the asylum title but who have no chance at all of asylum because they come from a safe country. We think you should try to get those people back to their country as soon as possible. That's not easy. We are working hard on this both in the Netherlands and in Europe. Sometimes it works and sometimes it doesn't. As far as asylum seekers are concerned, I believe that we should take our fair share with regard to political asylum seekers.
ParlaMint-NL_2019-10-29-eerstekamer-3.u118	Finally, Mrs Faber.
ParlaMint-NL_2019-10-29-eerstekamer-3.u119	In fact, I can conclude from this that the VVD entered the elections with a false election promise. She said she was going to restrict immigration.
ParlaMint-NL_2019-10-29-eerstekamer-3.u120	That's what happened.
ParlaMint-NL_2019-10-29-eerstekamer-3.u121	This year's estimate is 120,000 coming in. Last year, there were 80,000. You say if we have a job for it, it's fine. I can tell you that out of the 90,000 Syrians who came in here, three quarters depend on the assistance. So nothing's being contributed, it's not that positive. We had the same discussion last year on the allocation of houses. Because it is also true that these asylum seekers are the first to get a home. About the expulsion of hopeless asylum seekers the following. I believe that out of the 1,500 or so, only 5 have been deported, because the other countries, the safe countries, are not cooperating. Then the Secretary of State may walk out of the fire to get it done, but if there is no further pressure from this cabinet, then it just won't work.
ParlaMint-NL_2019-10-29-eerstekamer-3.u122	What is your question, Mrs Faber?
ParlaMint-NL_2019-10-29-eerstekamer-3.u123	Mrs Jorritsma cannot seriously believe that migration is a positive phenomenon.
ParlaMint-NL_2019-10-29-eerstekamer-3.u124	With all due respect, but a great deal of work in this country is done by people from Poland, Bulgaria and even Romania, so they contribute positively; yes, wonderfully, but it is done so from England, America, Germany and France. Everywhere, migrants come from. You're not going to tell me that you think we should send Syrian refugees who fled their country for a reason, back on the plane? Come on! We're going to take it nicely, as far as I'm concerned as temporarily as possible, and if it can't temporarily, then they'll stay here.
ParlaMint-NL_2019-10-29-eerstekamer-3.u125	Mrs Faber, very briefly.
ParlaMint-NL_2019-10-29-eerstekamer-3.u126	Actually, I can conclude that the VVD overtakes GroenLinks left in the area of migration.
ParlaMint-NL_2019-10-29-eerstekamer-3.u127	We will hear that in your own term. Thank you, Mrs Jorritsma. I shall now give the floor to Mr Rosenmöller for his maiden speech.
ParlaMint-NL_2019-10-29-eerstekamer-3.u128	Thank you, Mr President. Exactly 30 years ago, I became a member of the House of Representatives. That was after working for eleven years in the port of Rotterdam; for the last four years as trade union manager and for the first seven years as a boatworker. The ideological motive to take that step, I threw it overboard after a few years. The young revolutionary soon became a young reformist. And that reformist I stayed. That young man didn't quite succeed, but I learned a lot in the harbor. Among other things, what it is to have colleagues doing hard and unpleasant work year after year and earning not a middle income but a low income from it. Then, because I made television, I saw a lot of the world. Every time I came home, I thought, "I'm lucky my crib was here." Every time I thought, and I still think: The Netherlands is a beautiful country, but it can be so much better, especially for the people who ended up on the wrong side of the line. That line has become a gap and precisely that feeling of injustice motivated me to go into politics. That was 1989. The United States had just eight years of Reagan. Margaret Thatcher still lived on Downing Street. The Wall had yet to fall. With strong backwinds from the United States and the United Kingdom, the victory of capitalism was celebrated. The neoliberal thinking conquered the European continent and the Netherlands was not a meloper, the Netherlands was a frontrunner. Public tasks were independent of privatisation and deregulation was the order of the day. The government had to be run as a company, a small company well understood: the e.g. the Netherlands. The consequences of the retiring government quickly became apparent in housing, spatial planning, youth care, nature and public transport, not to mention the labour market. We still have a thinned welfare state, but the two million flex workers are outside. That makes us absolutely a European misfit. Our country has the dubious reputation of being a turntable in global tax avoidance and money laundering and we score poorly on ecological parameters. See the broad welfare monitor that gives an integral picture of how our country stands in front of it. Congratulations on this document, which we would like to return to in the financial considerations. The promise was that this retiring government would be cheaper, more efficient, better and more in the interests of citizens. The effect was exactly opposite. Herman Tjeenk Willink describes that strikingly in his call to think Bigger, do smaller. In particular, it was the least resilient citizens who suffered from one-sided thinking in economic terms such as profit, cost, return, competition and self-responsibility. In the crisis, they were hit hardest. But there is also hope, Mr President. Neoliberalism is on its way both internationally and nationally. The effects of market failures are facing increasing resistance. Klaas Dijkhoff has recently argued for a liberalism that works for people. Hailed for the understanding that today's liberalism is not doing enough. Minister De Jonge states that the market forces in youth care have gone through. Minister Hoekstra has expanded the State's share in Air France-KLM in order to gain more control over the company as a government. Pieter Heerma wants to keep the Volksbank in public hands. What about the Prime Minister? He wasn't left behind. He has a vision. The much discussed elephant that obstructs the view seems to have disappeared. After almost ten years of government, this Prime Minister is also really looking forward. He has recently spoken passionately about Europe and said that it is really a little more than that single market. The fact that there is also an environmental debt in addition to public debt is the recognition of the Prime Minister, and that the multinationals should not be defended and supported at all costs, but should also be called upon and attacked if necessary, for example when it comes to raising wages. My question to the Prime Minister is whether that is his lesson from the debacle on the abolition of the dividend tax.
ParlaMint-NL_2019-10-29-eerstekamer-3.u129	Oh, no.
ParlaMint-NL_2019-10-29-eerstekamer-3.u130	We can talk about that later. I am hopeful that the Prime Minister will be able to say something about the turnaround in the ideological debate on the role of the market and the running of that small government as a company. I won't do it to him to ask for his vision, but just say something about it! Mr. Chairman. Our story today is about the revaluation of the role of the government which, together with citizens and their representatives, directs the major necessary transitions. First of all, we want a government that protects the vulnerable. Secretary of State Blokhuis was shocked when he heard at the end of August that the number of homeless people has doubled in ten years. It is one of the consequences of the non-functional housing market. You scared the hell out of me when I read this spring that half a million people in the dentist business have become priceless. Poverty is now reflected in the state of your teeth. I was shocked when the Nibud reported that 25% of the tenants are financially trapped and that half a million people have serious financial problems. You scared the hell out of me when I read that 40% of Bonaire's residents don't have enough money to make ends meet. But scaring the shit out of you isn't enough. We must prevent these abuses, but at least now we must fight them. The government is supposed to be a shield for the weak, but the shield for the weak is now a colander for the weak. The pay gap is increasing and the capital gap is greater than ever. All this brought Kim Putters, director of the SCP, last year to the rhetorical question of how much inequality a democratic rule of law can endure. What is the government going to do to combat this growing inequality? When will people themselves experience that they are improving? I refer to the promise in the coalition agreement. Mr. Chairman. We want a government that stands for the rule of law. Drug-related organised crime is really testing the rule of law. The murder of attorney Derk Wiersum has crossed a new line. The hard core seems for nothing and no one flinches back on the hunt for power and millions. We will agree that the fight against undermining must be pursued more effectively. We also read the letter from Minister Grapperhaus in which he outlines the outlines of an offensive against organised undermining crime. The Italian mafia expert Roberto Saviano recently said: "Amsterdam belongs to the most corrupt places in Europe. Because of your financial system, control is almost impossible and money laundering is all Dutch." I ask the cabinet to take concrete action to gain insight into the criminal flows of money and to fight them. The hard reality is that we are lagging behind. This is partly due to the years of austerity in the organisations serving the rule of law: the police, the Public Prosecutor's Office and the judiciary.
