ParlaMint-NL_2019-06-27-tweedekamer-6.u1	The next item is the VAO Emancipation Policy, with Mrs Özütok van GroenLinks as the first speaker.
ParlaMint-NL_2019-06-27-tweedekamer-6.u12	Mr. Chairman. It was a very useful AO Emancipation policy. It made it very clear once again why it is important to talk about this more often. I am therefore very pleased with the committee's support for talking twice a year about emancipation. I am also very pleased that the Minister has promised to investigate how we can better guarantee gender diversity as a condition for procurement. I'm also glad she's going to see how she can give interculturality a better place in her emancipation policy. I have one question and one motion for a resolution today. I told you during the AO: emancipation is not just about women; men have at least as much to gain. There is currently a petition from Change4Fathers, asking for more dressing pillows in public ladies- but especially men's toilets. Right, 'cause try changing a baby in a men's room. It happens very rarely that you find a pillow there. Is the Minister prepared to engage with the initiators of this petition and see how it can help achieve that goal? That was my question. Mr President, then my motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Media Commissioner is investigating the representation of women and men in the media;]] [[Whereas representation and countering stereotyping are crucial for emancipation in the broad sense of the word;]] [[calls on the Government, in parallel with the above-mentioned study, to include an opinion on how to actively combat stereotyping in the media, including advertising,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van den Hul and Mr Özütok. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-30420-326]]
ParlaMint-NL_2019-06-27-tweedekamer-6.u13	Thank you, Mr President. If Mr van den Hul's last motion implies that the families are represented in proportion, then we will seriously consider supporting this motion.
ParlaMint-NL_2019-06-27-tweedekamer-6.u14	Mrs Van den Hul can answer that question, can't she?
ParlaMint-NL_2019-06-27-tweedekamer-6.u15	Yeah, sure.
ParlaMint-NL_2019-06-27-tweedekamer-6.u16	That only depends on what Mr Bishop means by families, because during the AA we found out that what Mr Bishop means by a family looks something different than what I understand by a family. In my opinion, a family can consist of two fathers, two mothers, two fathers and two mothers, a father and a mother, with or without children, and in many more forms. I think it is very important that we see that in our media.
ParlaMint-NL_2019-06-27-tweedekamer-6.u17	First of all, I am sorry that in recent years I have been so unclear about what we think is a family. The classic family, I call it. I am glad that Mr Van den Hul has a clear picture of this at least now. And yes, certainly, if it is presented in the same proportion in the media, I would not even object to it, because that means that the classical family still has a vast majority in view. This seems to me to be highly recommended, the family as the cornerstone of society.
ParlaMint-NL_2019-06-27-tweedekamer-6.u18	Mr. Bishop, you're listed for two minutes and you have a motion, right?
ParlaMint-NL_2019-06-27-tweedekamer-6.u19	I have a motion, yes.
ParlaMint-NL_2019-06-27-tweedekamer-6.u20	Because Mrs. Van den Hul is back on the interrupting microphone.
ParlaMint-NL_2019-06-27-tweedekamer-6.u21	We're dealing with a reverse interruption.
ParlaMint-NL_2019-06-27-tweedekamer-6.u22	Very briefly, Mr. Chairman. I would like to object to the use of the combination 'classical' and 'family' in the sense that Mr Bishop attaches to it, because this does not really reduce the diversity of families that exist in society.
ParlaMint-NL_2019-06-27-tweedekamer-6.u23	And you are not going to respond to that now, because we have already had that debate quite extensively. I chaired it, so I know that.
ParlaMint-NL_2019-06-27-tweedekamer-6.u24	That was nice, wasn't it?
ParlaMint-NL_2019-06-27-tweedekamer-6.u25	It was a wonderful debate, but I would ask you to read out your motion.
ParlaMint-NL_2019-06-27-tweedekamer-6.u26	Why do I call it a classic family? Because it's been a classic family for two millennia.
ParlaMint-NL_2019-06-27-tweedekamer-6.u27	That's the last word you'll have. Your motion.
ParlaMint-NL_2019-06-27-tweedekamer-6.u28	Yes, the motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas a sex-changing operation is of a particularly profound nature and therefore the highest level of care is required in the supervision of transgenders;]] [[noting that some transgenders regret a sex-changing operation;]] [[having also noted that the Government considers that a professional standard for the treatment of intersex persons is desirable in order to avoid unnecessary operations;]] [[calls on the Government also to insist on the formulation of a professional standard for the treatment of transgenders and to include in public policy the support of transgenders following a sex-changing operation,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Bishop. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-30420-327]]
ParlaMint-NL_2019-06-27-tweedekamer-6.u29	Then I've stayed well within two minutes, Mr. Chairman. Thank you.
ParlaMint-NL_2019-06-27-tweedekamer-6.u30	Thank you, Mr. Bishop. We can go right through. I give the floor to the Minister.
ParlaMint-NL_2019-06-27-tweedekamer-6.u31	Thank you, Mr. Chairman. We have indeed had an interesting general discussion on emancipation. I'd like to talk to your Chamber about it more often, because it was one of those meetings that convinced me that we still have work to do. Mr. Chairman. The motion in part No. 322 by Mrs Özütok is about women at the top. I'd like to ask her to hold that motion. What did we do? The cabinet will take stock of the situation in 2019. You also know that I have asked for advice from the ESC. In fact, I think it is a bit premature to say now: if this or that proves to be the case in September, we are going to do so now. We're going to look at the figures and the ESC opinion. On that basis, I come to a conclusion, and not before that time. I therefore ask you to hold this motion until the cabinet responds to the ESC report.
ParlaMint-NL_2019-06-27-tweedekamer-6.u32	I am very willing to do that. The motion was intended to make it clear to the ESC and others that we really mean it.
ParlaMint-NL_2019-06-27-tweedekamer-6.u33	At the request of Mrs Özütok, I propose her motion (30420, No. 322). That is what is decided.
ParlaMint-NL_2019-06-27-tweedekamer-6.u34	Then the motion to part No. 323.
ParlaMint-NL_2019-06-27-tweedekamer-6.u35	The motion in part No. 323 is about the gender scan. In fact, this motion is superfluous. That's why I'm going to dissuade it. That's the use we have here with each other. Since this year, the quality requirement impacts on gender equality have been added to the comprehensive balancing framework. This quality requirement is intended to identify the nature and extent of the impact of planned policies and regulations on gender equality in the Netherlands. It is in this way an elaboration of SDG 5. You can also play a role in the drafting and evaluation of legislation and regulations, which you are also discussing here. You can ask the ministers responsible for this impact. We look at it at the front; you can also ask about the impact. Furthermore, we will also organise a number of meetings with civil society to explain this quality requirement more clearly and also to discuss with civil society on how to shape the follow-up to this process. But the motion is unnecessary, because we are already doing this.
ParlaMint-NL_2019-06-27-tweedekamer-6.u36	I'm gonna try again anyway. What it is about is that the Chamber can also watch and read with it what is happening in it. That is not really the case at the moment. That's what I'm asking. So I get that the Minister says: we already do, so he's actually redundant. But we do not see a report on what these considerations look like and what the conclusions have been. Hence this motion. Would the Minister like to think about that one more time?
ParlaMint-NL_2019-06-27-tweedekamer-6.u37	I would like to give the following to Mrs Özütok. At the front, this is applied in the integrated balancing framework. Indeed, not everything that is taken into account in the preparation of policies and regulations is always included in the Court's documents. But it is also your job to ask for it. If you say on specific subjects: now I want to see what these consequences are, then it is up to the Chamber to ask for them. But now ask me that integrally in all pieces that effects are also included... We are already participating in the integrated balancing framework and you can ask for it. In the Progress Report Emancipation we can come back to how that integral balancing framework works.
ParlaMint-NL_2019-06-27-tweedekamer-6.u38	The motion in part No. 323 is not recommended. The motion in part No. 324.
ParlaMint-NL_2019-06-27-tweedekamer-6.u39	What the motion in part No. 324 of Mrs Bergkamp's on the detectives, I think you can guess my answer. I'm going to discourage this motion. This really is on the premises of the Minister of JenV. In the previous debate he also indicated that the approach to discrimination is part of the basic training of police academies. This will focus on further improvement. He also stated in that debate that he does not see any room at the moment to meet this wish of the Chamber. I can't give you any more judgment than his right now.
ParlaMint-NL_2019-06-27-tweedekamer-6.u40	I can well imagine the Minister of Emancipation, but it is true that we have amended the motion. The earlier motion was really about the request for pilots. Now we're saying, why don't you give us a backup or this won't help? Whether it's anti-Semitism or violence against Ihbtis, there's often not enough coverage, which also makes people say and think: there's no point in reporting. There are too few completed cases. That's what the state's attorney's office says, and that's what we can get from data from the WODC. So I find it disappointing; I get it from the Minister, but the motion has been modified. So I had a little hope that the Minister would be a little more indulgent here.
ParlaMint-NL_2019-06-27-tweedekamer-6.u41	Yes, but you also understand that if, in a debate with me, you submit a motion which is very specific in the field of JenV's colleague, I must also rely on his judgement of what can and can't be done now. I strongly advise you to have that debate with him at any other time, perhaps during the budget debate on JenV. The motion in part No. 325 is about researching the pay gap in the government. I am talking about this with my colleague from BZK to see what we already know, where further research is needed and where that leads. We will come back to this in the autumn. I would ask you to hold the motion until then, because we can look more specifically at how we are going to do that.
ParlaMint-NL_2019-06-27-tweedekamer-6.u42	Mrs. Bergkamp, are you going to hold the motion?
ParlaMint-NL_2019-06-27-tweedekamer-6.u43	I'm prepared to hold the motion.
ParlaMint-NL_2019-06-27-tweedekamer-6.u44	At the request of Mrs Bergkamp, I propose her motion (30420, No. 325). That is what is decided.
ParlaMint-NL_2019-06-27-tweedekamer-6.u45	Mr President, I have one very brief comment on the previous motion, if I may. I understand that the Minister finds it difficult to give an opinion on this motion because it is mainly about a colleague of hers, but I would like to ask the Minister if she can ask the Minister for Justice and Security to come forward with a response to the motion before the votes.
ParlaMint-NL_2019-06-27-tweedekamer-6.u46	The Minister has already given it on behalf of her colleague.
ParlaMint-NL_2019-06-27-tweedekamer-6.u47	I gave the response on behalf of JenV's colleague. It's not very helpful to ask him to write another note about that. This is the opinion you receive on behalf of the cabinet, including on behalf of JenV's colleague. We have a habit of speaking with one voice here.
ParlaMint-NL_2019-06-27-tweedekamer-6.u48	The motion in part No. 326.
ParlaMint-NL_2019-06-27-tweedekamer-6.u49	Then the motion to part No. 326 by Mrs Van den Hul. We had a debate on this in the AA. What I do is monitor with the media what it looks like. But this motion asks me to go a step further, and that is why I really must advise her against it. This motion asks me to oppose it actively. That means you're asking me to send you what's visible in the media. We're doing research, and we're having the conversation. Now you're asking me how I'm going to actively counter this. In my role, that really is a bridge too far, so I advise against this motion.
ParlaMint-NL_2019-06-27-tweedekamer-6.u50	For the sake of clarity, we do not ask the Minister to actively oppose this. We call on the Minister to provide advice on how to actively combat stereotyping. This does not mean that the Minister is in the process of actively combating it. We believe that stereotyping in the media can be harmful. I think we agree on that. There are all kinds of harmful stereotypes that limit both men and women in their final talent pledging. It is precisely because it is such an important problem that we believe that this issue calls for further advice. What comes out of it will not just be a to-do list for politics. It may also have social consequences. A tightening of the code for the sector itself may emerge. No, I want to fight how the Minister interprets this motion. We ask for an investigation where...
ParlaMint-NL_2019-06-27-tweedekamer-6.u51	Thank you very much, Mrs Van den Hul.
ParlaMint-NL_2019-06-27-tweedekamer-6.u52	I'm sticking with it. We have also seen in the debate that we must be very clear about this. Yes, I am stimulating the debate with advertisers and the broadcasters, but it is really up to them to do so. I believe that this motion carries too much weight that the government must deliberately move in a particular direction. We don't have to convince each other in substance, but this is about the role you have as a government in this. As far as that is concerned, this motion is a step too far for me, so I continue to dissuade her.
ParlaMint-NL_2019-06-27-tweedekamer-6.u53	Mrs van den Hul, we are not going to repeat the debate here, because this has been discussed extensively in the AA. The motion in part No. 326 is not recommended. Finally, the motion in part No. 327.
ParlaMint-NL_2019-06-27-tweedekamer-6.u54	Yes, and finally, the motion in part No. 327. I would also advise against this, because this motion is absolutely unnecessary. The quality standards are already there. The one for somatic transgender care is almost complete. In the broad sense there are these standards, so the motion is superfluous and therefore discouraged. Finally...
ParlaMint-NL_2019-06-27-tweedekamer-6.u55	Before proceeding, the author of this motion has a question or comment on it. Mr. Bishop.
ParlaMint-NL_2019-06-27-tweedekamer-6.u56	If the Minister says so pertinently that the standards are already there, then I wonder why it is that directly involved and experts say that such standards are not yet in place. They have been encouraged to develop, but they are not yet there. If that is so unclear, I would say that this motion is a support for achieving this in the interests of the well-being of the people concerned.
ParlaMint-NL_2019-06-27-tweedekamer-6.u57	Those standards are there. The standard for somatic transgender care is almost complete. We really don't need a motion for that. You tell me that there are people who have doubts about that. Then send them to me; then we will show them that the quality standards are real. Mr. Chairman. Finally, Mrs van den Hul's question on the Change4Fathers initiative. You always find me on your side when you say emancipation is also a father's business. If it can help if I talk to these fathers, I'd be happy to. A good division of labour and care, also the care tasks at home, is close to my heart. So I'd like to talk to them about how I can give them a little support. Mr President, then I am done answering my question.
ParlaMint-NL_2019-06-27-tweedekamer-6.u58	Thank you for your answer. Mrs Özütok has another question. Very briefly, please.
ParlaMint-NL_2019-06-27-tweedekamer-6.u59	I would like to return to the motion for a resolution on item No. 323. The minister says she's actually already doing it and that it's unnecessary if it comes back in the report. I'm holding my motion. Then we can continue to have an exchange of views after that.
ParlaMint-NL_2019-06-27-tweedekamer-6.u60	At the request of Mrs Özütok, I propose her motion (30420, No. 323). That is what is decided.
ParlaMint-NL_2019-06-27-tweedekamer-6.u61	I'll suspend for a few moments. Then we'll continue with the VAO Heritage and monuments.
