ParlaMint-NL_2019-11-05-eerstekamer-11.u1	The next item is the continuation of the debate on the Wet experiment closed coffeeshop chain.
ParlaMint-NL_2019-11-05-eerstekamer-11.u12	As I said, the scientific data on the effects and risks of THC are not unambiguous. I wrote it down like this, but I borrowed it from Knottnerus' report. It is not yet clear what the influence and effects of a high or low THC content are. That's one reason. The other is that we want to have a realistic test of practice. I could have said: if scientific research shows that there are reasons to maximize the THC content in the coming years, then you can adjust the AMvB, but given the state of the research, that is too easy a commitment, too easy an answer to the question. I do not expect the research on the THC value to vibrate in the coming years, but it is a possibility that we have in hand through the AMvB.
ParlaMint-NL_2019-11-05-eerstekamer-11.u13	Rather an easy promise than a promise. I hope the Minister still wants to do it. I think it is important, especially since more and more prominent psychiatrists are saying: there is a strong link between the occurrence of psychiatric complaints and the level of THC. Mr Van Os, professor of psychiatry at UMC Utrecht, makes it clear: if you are sensitive to mental problems, don't use it; if you do, please use very weak weed. That is why I would be so sorry if, by using this experiment, the government also assumed a certain responsibility for approving and naming what the THC content is to look away at the moment when measures can be taken. So I would like that easy commitment, and I would like it to be a little more, because I think this is just as important to this minister.
ParlaMint-NL_2019-11-05-eerstekamer-11.u14	I totally agree with that, although the causal relationship between THC and psychosis is much more telling. The scientists do not agree on this either. You don't have to. I didn't make an easy commitment. I intend to say this: through the AMvB we can maximize that THC content, but you can't do that until the scientific research has reached such a level that there is also clear evidence of it. I do not see that happening so quickly, but the possibility exists because the theme of the THC value is regulated in the AMvB. So we can change that.
ParlaMint-NL_2019-11-05-eerstekamer-11.u15	I too was not happy with the argument about being able to test realistic and the THC content. Mrs Bikker has drawn sufficient attention to this. I urge the Minister not to give the same answer again. I quite rightly had to delete some in the first period. This also concerned a question to the Minister on prevention. We read wonderful letters from the Secretary of State this week, but I think every time: fine when we do, but we notice so little about it in society. I've never seen a billboard that evokes discouragement, or really firm and determined campaigns that have an impact. Screening that employees of the coffee shops are well instructed is putting the horse behind the cart. I would like the government to give more care to our young people. I do not know if the Minister has read the annex to the NRC this weekend. Steven was a handsome, nice and smart guy, with a lot of talent, cum laude graduate, but he went to the coffee shop every day during high school. He didn't get that old.
ParlaMint-NL_2019-11-05-eerstekamer-11.u16	I understand these concerns. They live with many of you, including me. I understand the concerns about standardisation very well. It has our specific attention. What seemed important to me is not to leave the reaction alone: focus on prevention. There is also broad support for the appointment of standardisation and the prevention of undermining, especially through the attention of colleagues Blokhuis and Grapperhaus. This has just been the subject of a debate in the Chamber. I would stress that VWS and JenV must work together in this.
ParlaMint-NL_2019-11-05-eerstekamer-11.u17	Mr. Chairman. Let's get back to THC levels. The Minister rightly states that science is not yet ready to reach a unanimous judgment on the influence of THC on addiction behaviour. When we look at the Jellinek clinic and the most harmful drugs, we see that sleeping drugs, alcohol, tobacco, of course cocaine, crack, heroin, are all above cannabis in place 10. So I would indeed ask you not, in anticipation of a clear scientific opinion, to say already on the basis of political arguments about cannabis that we are going to introduce a maximum level of THC.
ParlaMint-NL_2019-11-05-eerstekamer-11.u18	Of course, I very much agree with that, because I have just tried to argue that. Perhaps in abundance: I therefore believe that there should be scientific evidence below that, that the THC value, in relation to the addiction possibilities, should be scientifically vibrated, and that this is not the case at present. In response to a question from Mrs Bikker, I also argued that I do not expect that very soon and therefore I do not want to make an easy commitment on that. I have pointed out that the subject of the THC is regulated in the AMvB, so that is the place where a legal upper limit should be set. I have just argued that I do not see it coming, because the scientific research does not yet provide a clear answer. Mr. Chairman. So much for my first topic on prevention. Then the second, about process and planning. I said something about this in my introduction, but a number of more specific questions have also been asked. Mrs De Boer van GroenLinks asked about the actual date of entry. This question was also raised last week in the health budget on the other hand. A concrete date is difficult to mention, because of course there still has to be some water through the sea. If it were possible to complete the regulation this year, and if it was possible to get the opinion of the Council of State on time, then the commitment would be to finalise the regulation this year. Then we really need the next year for the selection procedure for growers and for the assessment of their farm plans. In any case, we will be working on this in the first half of next year. After that, growers must also grow. After all, at the start of the experiment at the beginning of 2021, as I said, I can now assess that at the earliest it will be by mid-February 2021, of course, there will be enough cannabis and of sufficient quality. By the way, that's a learning experience we're taking with us from Canada. Within a few hours it was completely sold out there. I don't think that should be. That's not part of a well-prepared experiment. The expected concrete starting date therefore depends on how quickly we go through the rules and how quickly producers can be selected. I expect to need a period of about five months. Then there's those growers. Those growers have to grow. The start of the experiment is expected at the earliest on 14 February 2021, I would say. That's easy to remember. I hear Secretary Grapperhaus next to me saying it's Valentine's Day. Boy, does he know a lot.
ParlaMint-NL_2019-11-05-eerstekamer-11.u19	Thank you for this indication. The Minister's just making my question a little more complicated than I intended. That preparation time of a year is just settled, so I get that. My question, which I will make more specific, is: if we do not make it to 1 January and if the Council of State takes a little longer, can it be 2 January or 3 January, or are we equal to 1 April? That was actually my question, because the normal dates of entry into force are always at the beginning. I see no need for that in this legislative proposal, so as far as we are concerned, it could also be 3 January.
ParlaMint-NL_2019-11-05-eerstekamer-11.u20	Yeah, or July 10th, because that's my birthday. We do not need the cadence we like for legislation, 1 January or 1 July. You're right about that. I see more flexibility in that, so there are many more dates. Actually, all the data is possible. A bit of a logical date at the beginning of the month is useful, but is more convenient than it should be. Mr Grapperhaus still doesn't look angry. We do not invest on one or two dates a year. The one about this point. Then Mr Recourt asked whether it was possible to follow up the experiment. Yeah, you can, but you can't. That depends on the effects. The effects, as I have argued in my introduction, can be discussed in a subsequent cabinet. Then there are two possibilities: whether the experiment goes on and is converted into general regulation, I say a bit domestic, or the experiment goes off and the phasing-out of the experiment goes on. It's been six months. The question. The question asked by Mr Janssen is whether the Ministers agree that the experiment is a means and not an end. Yes, we agree, as can be seen from my introduction. Then there is a question from Mr Janssen as to whether or not there is room for regulatory changes following the debate. The legislative proposal contains the framework conditions of the experiment. That cannot be changed by us here today. The development of the experiment takes place in the AMvB and the ministerial arrangement. I pointed that out. Those aren't fixed yet. The contribution from your Chamber will be involved in the further completion of the lower regulations.
ParlaMint-NL_2019-11-05-eerstekamer-11.u21	I would like to return to the Minister's introduction, in which he said that there were 23 applications and that the Knottnerus Committee has selected 10. I assume that in the assignment was under the perimeter condition that it could be a maximum of ten, or was it a free assignment?
ParlaMint-NL_2019-11-05-eerstekamer-11.u22	No, definitely not. You also read this in Mr Knottnerus's second opinion. In that he not only indicated that there are ten, but also which are ten. We had discussed that number of ten before in the House of Representatives. You know that number too, because that was also in the coalition agreement.
ParlaMint-NL_2019-11-05-eerstekamer-11.u23	Sure. But that means that it was clear in advance that it would be ten. There is no longer any adjustment to that, because that was in the coalition agreement. Then we will come back to the line of my speech, namely what was in the coalition agreement, and not what was in the scientific advice. So the coalition agreement has been leading in that. You can pick 10 out of 23 and see what fits best.
ParlaMint-NL_2019-11-05-eerstekamer-11.u24	We said, between six and ten. We have received an opinion from Mr Knottnerus. On this point we say: the ten nominees Mr Knottnerus has used that word, and we think that municipalities are a good choice.
ParlaMint-NL_2019-11-05-eerstekamer-11.u25	Finally: that means that at least there is no room for adjustment anymore? We'll just peel it off.
ParlaMint-NL_2019-11-05-eerstekamer-11.u26	No, because otherwise we will certainly not be finished with the regulation. That is why this method has been chosen. The names of the municipalities are mentioned in the AMvB. We find that a nice spread, over north, east, south and west, both large and smaller municipalities. We welcome this choice and therefore propose that we do so.
ParlaMint-NL_2019-11-05-eerstekamer-11.u27	There are not only intervention municipalities, but also control municipalities. Several colleagues have spoken about the G4 municipality of Utrecht. Is there room for ministers to take advantage of the expertise of the municipality of Utrecht, as a large city with big city problems? Without driving the methodology of the Knottnerus Committee, wouldn't you like to benefit from Utrecht as a control municipality?
ParlaMint-NL_2019-11-05-eerstekamer-11.u28	According to the division of tasks, Mr Grapperhaus will be returning to this point shortly, because that is part of the evaluation and research. Then a question from Mr Dittrich, but also from Mr Meijer, was whether the Ministers agreed that the experiment could be continued successfully. The answer to that is, of course, yes, it can, but it can't. That's totally open. What we do is measure the effects. The experiment can have many effects. The cabinet is committed to jointly assessing how to proceed on the basis of all these effects. In advance, for example, it is too difficult to determine when the experiment has been successful. That really has to happen in due course. Are the Ministers prepared to draw up procedural scenarios regarding the follow-up or phase-out of the experiment? That was also a question from Mrs De Boer van GroenLinks. My answer would be that, at this stage, it would certainly be too premature to work out scenarios on phasing out. We've made the layout of the experiment. As part of the regulation, phasing-out is also foreseen, just as the possibility of extending the experiment by up to one and a half years has been created. Now we are at the stage of preparation. That first. Gradually the experiment can then be considered as to whether it is desirable to develop further scenarios.
ParlaMint-NL_2019-11-05-eerstekamer-11.u29	Short, Mr. Chairman. Apparently, I have not been very clear in my questions, because my question was not about the phasing-out, but rather about the possible continuation, and I estimated that the one-and-a-half year extension might be very short for a full legislative process, especially if it included an international integration component. Suppose you say from the results of the experiment: we want to translate that into general legislation. If you find out at that point that your legal frameworks are so tight that you are not going to make it within the time it takes, the infrastructure will still be broken down. That seems like an eternal sin to me. My question is actually: is that going to be considered while the experiment is going on?
ParlaMint-NL_2019-11-05-eerstekamer-11.u30	Yes, that will continue to be considered, but it has already been considered. In my introduction, I said that there was already three of the evaluation in year and four of the decision-making in year. If the decision-making is positive, you do not need the phasing-out and you can continue the experiment for one and a half years. It's all theoretical, but it's a matter of planning and script thinking. After the decision-making in year four, therefore, there is scope for the phasing-out period, which is not necessary, and an extension of one and a half years to make legislation for the continuation of the situation. So that's what we've been thinking about. In our correspondence you can read that the experiment lasts up to six years in total. Finally, a question from Mrs Bikker on process and planning. Does the next cabinet have control over the experiment? I will answer that question in the affirmative, assuming that this cabinet is on the way. For the next cabinet that sits out the ride, I'll rate it in the next cabinet. Control of the experiment will be exercised in the sense of: should it continue, will it continue, will it be phased out, how will it be phased out? These issues will then be dealt with. Then I have another folder "internationally." Mr Janssen spoke about this, but also Mrs De Boer van GroenLinks, Mrs Bikker, Mr Rombouts, Mr Meijer, Mr Van Dijk, Mr Recourt; in fact, you have all asked a question about the tension between the experiment on the one hand and international and European law on the other. We have also pointed this out in our explanatory statement. With the experiment we want to investigate whether it is possible to create a closed coffeeshop chain and what its effects are on the above-mentioned areas of crime, public order and public health. In view of the problems experienced in practice in the current situation, we consider that tension can be justified. At the same time, we want to reduce this tension wherever possible. Therefore, an experiment limited in time and size has been chosen. That's what I say wherever I go internationally. It's an experiment limited in time and size. It has a fixed duration, which is laid down in the law. In addition, the experiment is limited to ten municipalities. Outside these ten municipalities, the Opium Act remains in full force. Finally, there is a legally guaranteed evaluation, with a strong scientific character. That is also what I always add when I speak internationally on this subject. I think it is important that the Netherlands communicate openly and transparently about the experiment and that we do so with our neighbouring countries, but also with the other EU Member States and with the European Commission, in advance and also in the coming years: to continue to tell us what progress has been made in the experiment. We do the same outside the EU at UN level. We do this in the Commission on Narcotics Drugs and we do it in the context of the UN Office on Drugs and Crime. We also want to show international society, outside the EU, what progress has been made. This sometimes reaps criticism and sometimes approval, but in any case I think that is the best way to explain that it is a limited experiment in size and time with a legally guaranteed evaluation and with a strong scientific character. It is important to keep communicating with different parties about this, because developments in the Netherlands are not on their own. In many more countries a debate is taking place on how to handle cannabis. This has led to steps towards regulation in countries such as Canada and several states of the United States. Other countries, such as Luxembourg, have plans for a policy change or are preparing a referendum on this subject, as in New Zealand. There are also countries that deliberately do not yet take such steps. We consciously choose to test the effects first with an experiment. Only then will decision-making take place. Effects can only be measured if we experiment. That is why we are looking for scope within international and European law, precisely in order to be able to test the effects on a small scale. We explain that abroad as best we can. So far, this has not led to formal reactions. However, we note that there are questions about the design of the experiment, that there is interest in the findings that will result from it, and that there is appreciation of the open and transparent way in which we enter into the discussion both in countries and in international organisations. If the Chamber agrees to this bill, we will inform all relevant organisations and Member States, both at European level and at the UN level, about the follow-up to the experiment. The European Commission, the International Narcotics Control Board or other countries or organisations may come up with a formal response, but that is up to them to decide. It's hard to anticipate that as a cabinet. I'll repeat it again. It goes without saying that the Netherlands will continue the open dialogue conducted so far in an equally transparent manner. A few more questions, specifically on a number of international aspects. How does the Minister view Luxembourg's intention, as Mrs De Boer said. We are following developments in Luxembourg with interest. It is good to note that Luxembourg is still at the orientation stage for new legislation. We are in contact with Luxembourg. Mrs Bikker asked how we look at the situation in Canada. We are following Canada's legalisation very closely. I have just made a comment on this. It didn't come up very much this afternoon. With the information and warnings to be used on the packaging, but also for the rest, what such a packaging should look like in terms of color usage and that it should not look exciting, we have been able to learn from Canada. There are few figures available about Canada, no official figures, at least, but we are also monitoring developments closely in that country.
ParlaMint-NL_2019-11-05-eerstekamer-11.u31	The example from Canada which the Minister mentioned earlier in his speech did not reassure me, to be honest. He spoke about coffeeshops that were immediately sold out and said that this should not be the case here in the Netherlands. As far as I'm concerned, it's only good if the demand is as low as possible and we shouldn't have it in stock for as many people as possible who come storming into these new coffee shops. That's my point right there. One of the lessons I see in the situation that is developing in Canada, but also in the various states in America where this has been tried for a long time, is the standardisation of drug use. This returns several times, including in international reports. How does the Minister follow that? What concerns does he get out of that? These countries are also ahead of us and we could learn important lessons from them.
ParlaMint-NL_2019-11-05-eerstekamer-11.u32	We also discussed this in the House of Representatives. We try to follow developments in Canada and America by having regular contact. We can do that very well through the gremia of Europe and the United Nations. Reports are also being made and there are exchanges, not only at the official level, but also at the political level. I myself, for example, have regular contact with the Canadian colleague.
ParlaMint-NL_2019-11-05-eerstekamer-11.u33	That is a wonderful political, technical response, but I want to know how the Minister sees this standardisation and whether it affects him. What's he thinking about? So not only the technique, the policy and the discussions, but precisely the concerns we share. He just put it right with what he doesn't want with vulnerable target groups. How does he follow that precisely at that point and what developments can we expect there?
ParlaMint-NL_2019-11-05-eerstekamer-11.u34	We learn from experience from other countries. We can follow developments there. With regard to the phrase 'drug use is not normal', I read the remark I made earlier on the occasion of Mr Rombouts. I think that we should pay a great deal of attention to prevention, because drug use is not normal. Mr Meijer asks us to comment on the Council of State's comment on the extent of the experiment in relation to the high ambitions and expectations. The Council of State stresses the need to launch a meaningful, credible and scientifically sound experiment. The cabinet believes that it is possible to set up such an experiment within the framework laid down in the legislative proposal. We have taken advantage of the advice of Knottnerus. But we have also made a broader assessment of the tension of the experiment with European and international law. With the proposed number of these ten municipalities, we think we have an experiment of sufficient size to make meaningful statements about the effects on public health, crime or security, and to prevent nuisances. At the same time, the extent can be explained abroad in the light of the aforementioned tension. There is therefore a combination of on the one hand not all municipalities but ten municipalities, the variation in the municipalities, the spread over the Netherlands, the fact that, as Mr Dittrich appointed this afternoon, not all but about one in seven coffee shops in the Netherlands will participate through those ten municipalities. You always try to find the balance between a meaningful experiment on the one hand and not organize legalization nationally with one big throw on the other. We weren't going to. This is about international. Then I have a few other questions.
ParlaMint-NL_2019-11-05-eerstekamer-11.u35	Still, let's talk about the extent of the experiment. The coalition agreement is a starting point. That's six to ten. I have a strong impression that you are then making up arguments to sell it internationally. The Knottnerus Committee and the Council of State clearly say that the scale is too small to draw good conclusions. When you talk about internationalism, you often say: it is limited in size, there are only ten of them, then perhaps they will allow it. My reasoning is: if you have a broader experiment, you might be able to draw stronger conclusions from it, which might allow the current policy to be adapted. Today's policy is not good at international level either.
ParlaMint-NL_2019-11-05-eerstekamer-11.u36	Mr Knottnerus said in his first opinion that perhaps you could reach the number of municipalities that belong to the test in a very different way. I would like to point out that, of course, we have had a debate in the Chamber about six to ten. On the other hand, you also need participating municipalities. I am glad that ten municipalities have stuck their necks out and that they are scattered across the Netherlands. There will be 79 or 80 coffeeshops and I think that's quite a number. On the one hand, you have the limitation, on the other hand, the defence, because I see that tension with international regulation. I'm not cleaning it away. I'm trying to explain it. But it is part of my speech, also at the international table, to say that it is not an experiment for the whole of the Netherlands, but for a number of municipalities, and that in the rest of the Netherlands the Opium Act remains in full force.
ParlaMint-NL_2019-11-05-eerstekamer-11.u37	In addition, of course, there is no G4 municipality, which in my view limits the nature and extent of the experiment even further. But that will be dealt with in a moment, so I will deal with that in response to your colleague.
ParlaMint-NL_2019-11-05-eerstekamer-11.u38	That's good. Mr. Chairman. Just one more question. Mr Van Dijk asked: why not introduce a ban on counter-experiments in certain municipalities rather than tolerate them, and then see what the consequences are? That question also sounded like that in the Lower House. I reply just as I replied in the Lower House that the cabinet has opted for this experiment. Believe me, it's already quite complicated to prepare, realize and set up. That is why we do not consider it desirable to carry out further experiments at the same time. That's the answer to that question.
ParlaMint-NL_2019-11-05-eerstekamer-11.u39	Thank you for that answer, Minister. Of course I understand that, but at the same time it is a pity. Then there really would have been something to choose. We have tried it for 40 years with tolerance policies, a very half-hearted policy that has not worked out well. Surely it would be extremely interesting to fly it from the other side and simply to maintain it more strictly on a product that we as a government ban? It is a great pity that we cannot gain experience with this now.
