ParlaMint-NL_2019-02-19-eerstekamer-11.u1	The next item is the continuation of the policy debate on the state of the rule of law.
ParlaMint-NL_2019-02-19-eerstekamer-11.u12	I didn't miss that, Mr. Chairman. What is the signal you send when automatic weapons are arranged, helicopters are arranged, preparations have been made to hinder the police in pursuit and they only disappear for a few months behind bars? The signal the minister sends is: well, you guys didn't succeed, try it in a couple of months when you're on the street again. The Minister of Justice doesn't want that on his conscience, does he?
ParlaMint-NL_2019-02-19-eerstekamer-11.u13	In this context, it is not for me to give signals in or around court cases. If at any point in the search and prosecution people have been apprehended, individuals or a group, in connection with a suspicion of having committed criminal offences, then the criminal trial should then look at how and what. What is or is not proven and what has been or has not been charged, is up to the actors in the criminal proceedings. Once again, I fully respect your Members' freedom of thought, even when they say in a particular situation: as a member of the First Chamber, I see it and have certain ideas or thoughts about it. But the role of the Minister for Justice and Security is, from the legal point of view, what we are talking about today is that he is at least not involved. I really shouldn't. I have great respect for Mr Dercksen's interruptions. There will be a few more questions, so there will undoubtedly be some interruptions. But he knows that this is my firm position, that my predecessors have always taken such a position since the first officer of justice in 1789.
ParlaMint-NL_2019-02-19-eerstekamer-11.u14	Finally, Mr. Dercksen.
ParlaMint-NL_2019-02-19-eerstekamer-11.u15	Finally, on this subject. But you and the cabinet are also legislators with us. You can set the frameworks together with us and the Cabinet can propose to do so: if you take such preparatory actions, or in terrorism or in serious organised crime, we will lock you up for an x-period. That's the call I'm making, because you're frustrating society. You're frustrating all the police officers involved and all the detectives, because they're at home and they're thinking, "Why the hell did I do all this?"
ParlaMint-NL_2019-02-19-eerstekamer-11.u16	As Mr Dercksen knows, I am very much in the process of tightening up criminal law provisions on organised crime and what is happening around it. I keep saying that it must be a matter of action or omission. Mr. Chairman. Mr Dercksen also had the following question: why is there a case of selective prosecution; do we have two states of law? Let me start by saying that the prosecution has its own prosecution policy. The Minister is not going to do that. A prosecutor takes his prosecution decision following the investigation. You could say... One could say: on the basis of the dossier. And he takes into account, and then you get a whole list: the facts, the circumstances, the person of the suspect and further data from the file. If the D.A. does not prosecute, this can be complained to the court in the context of the Article 12 criminal proceedings. It is not possible for me to say that on the basis of the 33 years of practical experience I have had until 25 October 2017 midnight to compare criminal cases. That is partly because of the fact that they are always different facts everywhere, but that is also legal: we have established rules, but we do have a test that also takes into account, as has been said, all the circumstances and facts of the case. I reject the suggestion that the prosecution should have a double standard in carrying out the prosecution policy. There's no indication of that either. If such a statement is taken, we must have empirical evidence of it. I don't and I don't see it.
ParlaMint-NL_2019-02-19-eerstekamer-11.u17	I thought I'd given you a very long list of examples, but maybe we can sum it up. Could the Minister give me an overview of the arrondissement of North Holland as to how long people have to wait there on average before DNA is collected? I can wobble it too, but as a representative of the people, I may have a small mark on it. Maybe I can get that from you.
ParlaMint-NL_2019-02-19-eerstekamer-11.u18	I don't know if those data are in a database for how long people have to wait for DNA release. Let me put it this way. If there is indeed a relevant statistics of this kind, I would like to say this explicitly, then I will give your Chamber an undertaking to send it to your Chamber. If there's any relevant statistics. Mr. Chairman. Then Mr. Dercksen would have...
ParlaMint-NL_2019-02-19-eerstekamer-11.u19	Mr. Dercksen, just a few more minutes.
ParlaMint-NL_2019-02-19-eerstekamer-11.u20	I would like to know the definition of "a relevant statistics." There's just a bunch of letters over there. There's got to be a messenger on the road. He'll have to go to people's houses to take DNA. It is quite easy to write down the dates of those letters and make an analysis of them, so I think that relevant analysis can be made very well.
ParlaMint-NL_2019-02-19-eerstekamer-11.u21	The minister's moving on, I think.
ParlaMint-NL_2019-02-19-eerstekamer-11.u22	Yes, Mr. Chairman. Mr Dercksen also had a question which is actually more addressed to the Secretary of State, but which I am going to answer for you, about declarations that are not being dealt with if the perpetrators are known but are not being detained. The question is: how can you still have confidence in the rule of law? It's not like the D.A.'s office isn't gonna file a report or prosecute it. If a report is made, prosecution will take place wherever possible and the appropriate penalty mode will be examined. During the Secretary of State's work visits, it emerged that sometimes migration issues are the subject of a closer connection between the Public Prosecutor's Office and the migration chain. This is now being discussed. At the same time, there are good initiatives in several regions, such as the pilot community service for oppressive foreigners in the northern part of the country, for the application of fast-track law. By the way, I have been able to determine that myself.Now I am not speaking on behalf of the Secretary of State, but really from my own experience during a work visit in Groningen that took place on Saturday, 3 November 2018. In any case, the commitment is to share the experiences that already start there in several places and to improve the connection of the Public Prosecutor's Office to the migration chain in all places. It needs to be optimized.
ParlaMint-NL_2019-02-19-eerstekamer-11.u23	Mr. Dercksen, at this point.
ParlaMint-NL_2019-02-19-eerstekamer-11.u24	Last week we had an expert meeting in this Chamber with Commission I and A. Right in front of the chair where the minister is now sitting, was Mayor Heijmans van Weert. You don't have to believe me, but believe a D66 mayor. He said, which I believe is well known, that the Public Prosecutor's Office systematically refuses to prosecute thieving, abusive, robbing asylum seekers. Don't believe me, believe the mayor of Weert. Who was prosecuted in Weert? The mayor, who took freedom-limiting measures against this thieving scum. You can say that Dercksen lives in another universe. But I base myself on these kinds of facts and data. I hope you will join my universe and that of Mr. Heijmans. Those are the facts. How can it be that stealing scum is systematically not being prosecuted by the literal words of the mayor? How do you expect the people of Weert and surrounding areas to experience the rule of law?
ParlaMint-NL_2019-02-19-eerstekamer-11.u25	I would like to say two things about this. I would just like to stress that the problem of annoying azc'ers is well-known. I told you, that's what we're talking about. The Secretary of State is indeed in the process of looking at how this can be countered by measures. A more detailed debate on this subject goes a little beyond the limits of this issue. Secondly, I want to say that I have regular contact with many mayors. Any mayor who considers that there are abuses, as Mr Dercksen's wording in one of the departments under my jurisdiction, is immediately prevented from doing so. That applies regardless of the party's turnout. I don't care about that at all. This applies regardless of the geographical location and whatever the problem. Other mayors, such as Mr Aboutaleb, have in any case raised the issue with Secretary of State Harbers and me. There's been more. If any mayor experiences such a problem, he is very welcome to speak well about it. That happens in the pre-emia, the National Security and Police Consultation, or the Strategic Security Council. Those are two consultations which I am chairing and which could relate to this issue. But it can also be done in a different atmosphere. If there is a problem, then very often within 24 hours, within two or three days, mayors, as should be in the Netherlands, come on coffee or we eat a sandwich or both. That's all I can say. I haven't received these complaints directly.
ParlaMint-NL_2019-02-19-eerstekamer-11.u26	Mr. Dercksen.
ParlaMint-NL_2019-02-19-eerstekamer-11.u27	It is even more worrying that you have not yet received these complaints, because they are on the front page of De Telegraaf. The mayor of Ter Apel is going crazy with that azc. The people in Ter Apel want the azc to close immediately because of all the nuisance. You just say here: I haven't heard those messages yet. Then there's something far more deeply wrong than I thought.
ParlaMint-NL_2019-02-19-eerstekamer-11.u28	Mr Dercksen blames a service which falls within my remit, a service which I have very high regard for, the Public Prosecutor's Office, let me tell you that on the basis of what would seem to have been shared by the mayor of Weert. That is what I am saying: if there are abuses in a service under my command, then I expect drivers to just report to me. That's how strong the Netherlands is. We don't do that through the paper or the television.
ParlaMint-NL_2019-02-19-eerstekamer-11.u29	Finally, Mr Dercksen.
ParlaMint-NL_2019-02-19-eerstekamer-11.u30	Yeah, finally. Then I really have the request that you contact Mr. Heijmans and the mayor of Ter Apel, because it's up to them here. That nuisance continues. That azc scum is not systematically prosecuted. So please contact me. Will you undertake to put an end to this immediately, so that the Public Prosecutor will work?
ParlaMint-NL_2019-02-19-eerstekamer-11.u31	Once again, the problem of harassing asylum seekers falls within the portfolio of Secretary of State Harbers. I told you, he's really doing that. Something very different is that Mr Dercksen says that a mayor says that the Public Prosecutor's Office is dysfunctional. If that is the case, then I say very clearly: mayors know that they can go to me immediately for that. I've said it three or four times now. I don't know if there's really millions of people watching tonight, but at least it must have occurred that that conversation is always possible. I believe that such a point should be removed from the driver in question. It's not the other way around that I have to go into the country and ask people if something's wrong. Mrs. Strik mentioned the evaluation of the Law on Public Health. That's a really important subject, I think. She said that in 38% of cases the judge imposed a lower sentence than the sentence. That number looks at the administrative criminal decisions. In this respect, I will investigate the reasons for finding suitable solutions. The percentage of criminal decisions imposed by the Public Prosecutor is significantly lower. In order to counter the opposition for the reason that the judge imposes a lower sentence, the designation in the Public Prosecutor's Order has now been amended. This is also intended to ensure that the prosecutor imposes penalties in the criminal order which are more consistent with the penalties that the judge would impose. Indeed, the criminal decision has acquired a permanent place and, according to the evaluation, offers the defendant more procedural guarantees than the transaction. The evaluation also shows that the imposition of criminal decisions by the Public Prosecutor's Office, the police and administrative bodies is being carefully carried out. I would also like to point out that the Attorney General at the Supreme Court, as you know, is following and reporting on this process, at the initiative of my predecessor, but now of mine. I refer to the letters. It is clear that I fully understand Mrs Strik's questions. I follow this process very closely, precisely because I think it is an important achievement in our legal system, because it certainly still needs to be improved. Mrs Strik also asked whether I recognise that measures of a punitive nature are reserved for criminal law and how the use of these powers is monitored. Of course, that is not the case. Widely accepted - see also the Council of State's position on this last year - is that administrative measures may also be punitive, such as administrative fines, and should also be possible. Otherwise, the monitoring of compliance with the law would lead to some kind of interrogation of criminal law. You actually bring your entire society into criminal law. I don't think that's the idea. I think it is important to note in this context that the penalties imposed by administrative means should not be more punitive than those imposed by criminal law in similar cases. On this point, I intend to take legal measures.
ParlaMint-NL_2019-02-19-eerstekamer-11.u32	As a measure...
ParlaMint-NL_2019-02-19-eerstekamer-11.u33	We'll wait for the minister to join us. He's looking in his papers.
ParlaMint-NL_2019-02-19-eerstekamer-11.u34	Excuse me, Mr. Chairman.
ParlaMint-NL_2019-02-19-eerstekamer-11.u35	The point is, of course, the following. Even if it is an administrative fine, when it comes to punitive measures, it also imposes certain requirements on the judicial review of such an administrative fine. Then you also have to deal with the protection of Article 6 of the ECHR. Then there will also have to be a full review by the administrative judge. We're not really used to that in administrative law when you compare it with how a criminal deals with cases. Can the Minister comment on that? How is it sufficiently guaranteed that legal protection by means of that follow-up test fits with a fine, with a penalty?
ParlaMint-NL_2019-02-19-eerstekamer-11.u36	The complicated part of the story is: it is and remains an administrative fine. This means that in any case it happens in a domain that is expressly not criminal law. I think it is very important that you pay close attention to the fact that it does not have a more "punitive" character than if something had gone through criminal law. That is also the opinion of the Council of State on this issue. And again, that is where legislative measures are being looked at. Let me say it more generally, because this is primarily with my colleague. But yes, we must of course keep an eye on that distinction that is there. That is precisely why, says the Council of State, you have to make sure that there is a difference. Mrs Van Bijsterveld asked me about the administrative approach: in what way does the Minister facilitate that in dealing with crime both traces, i.e. criminal law and administrative law, go hand in hand and strengthen each other? I think it is a good thing that she has drawn attention to this, because these threats to mayors really are a social offense. In the fight against many forms of crime and insecurity, the integrated approach involving both instruments is important. I support this in several ways, including the money that the cabinet has provided me with to tackle this undermining crime. You can see that without that integrated approach, you can actually make far too little progress. This integrated approach also allows you to see which type of intervention is most effective in which case: criminal, administrative, fiscal or civil. Last Friday I sent a letter to the House of Representatives explaining in detail how I am stimulating this breakdown in types of intervention with money and resources. But last Friday was too short a time for your Members to be able to really get to know this letter for the preparation of this debate. However, this integrated cooperation is also mainly facilitated by the well-known system of the ten Regional Information and Expertise Centres and the national LIEC, and by the support that these centres offer to municipalities in the administrative approach. Mr President, it may be a little unusual, but I would strongly advise the Members of your Chamber to just take a visit to the LIEC here in The Hague. I believe that some of your members have also visited the Cyber Security Centre once. During such a work visit to the LIEC you can indeed see how incredibly stronger we are by bringing together that information and expertise and then opting for the integrated approach. This is particularly important in the case of organised crime. This organized crime is getting harder and harder. People go there in the field of threatening mayors. But also people are shot while afterwards it turns out: oh, we should have someone else. In short, it is of a kind of "non-gentleness" about which most crime fighters also say: this is different than it was 20 years ago. We do indeed need this mutually reinforcing approach. Finally, I would like to add that I am talking to Mr Snel van Financiën to see how we can strengthen the financial and fiscal approach even more in this context. That's what's in last Friday's letter. After all, I think it is no secret to say that intervention in the power position is above all an important weapon in the struggle. Before I come to a question from Mr Backer and Mrs Van Bijsterveld, there is now a question from Mr Dercksen.
ParlaMint-NL_2019-02-19-eerstekamer-11.u37	Taking money from criminals is, of course, very important, in order to remove the breeding ground for this crime. I saw the minister on television at Jinek's. A question was also asked to him about the double passports, because it was then about the right to vote. But these double passports are for quite a few people a free pass to bring the money to Morocco, Turkey, Suriname, because they are not or hardly paying attention. So wouldn't it be a good idea not only to abolish these double passports because of votes, but on that point, the Minister may disagree with the PVV, but wouldn't that abolition also be much better to get a grip on all kinds of money flows to the countries I mentioned?
ParlaMint-NL_2019-02-19-eerstekamer-11.u38	I would like to repeat what I said about this in the relevant broadcast, although it is of general fame, but nevertheless. In the situations where there is a dual nationality, Dutch nationality can be reduced if there is an irrevocable conviction for a terrorist offence, but also if there is a danger to national security. Especially the latter offers a certain space. In the end, I think that we in the cabinet are putting a lot of effort into tackling the undermining in terms of where the money flows are going and where we can seize them. And it is important that we do so through both digital and other knowledge acquisition and collection, and through indeed good cooperation between police, OM, Tax Service and municipalities. You were able to read in the newspaper yesterday that an amount of 45 million in hidden assets has been confiscated by the Tax Administration. You have to see that, in addition to all the efforts made on criminal law, in addition to all the efforts made on administrative intervention, I have had a few discussions with your Chamber on this subject. Before Mr Dercksen reaches the microphone, I would just like to say that I am working on a law on data processing through partnerships. It is precisely this law that sees that, in certain situations, we can also extend in cooperation between bodies and services in the case of information gathering that brings us to the money. We do so with respect for the privacy of ordinary citizens and indeed with a good involvement of the Dutch Data Protection Authority. Because, of course, we are concerned with taking away these organisations' dominant position and their resources and, apart from that, prosecuting and punishing those people.
ParlaMint-NL_2019-02-19-eerstekamer-11.u39	But you don't get that money, because in Turkey, Morocco, Suriname and such countries they were explicitly called "not a priority" at all. So you're not gonna get to that money. You didn't answer my question. Do you see the possibility of taking away a second passport as a weapon to get those money flows from the criminals in sight and to take away the money?
ParlaMint-NL_2019-02-19-eerstekamer-11.u40	Let me put it a little less. Then we should simply go into a legislative process on this point where I come across all kinds of treaty-law boundaries, and also very understandable borders. I think it is much more useful to focus on the proper mapping of these flows of money. And they may not only go to the countries mentioned by Mr Dercksen, but they also go to all kinds of islands that are a long way from here, I might add. There's a very wide variety in that. And the most important thing is that by exchanging information at a timely time, we have a picture of money flows and assets. Fortunately, you read more and more often in the media that we intercepted at the right time. Mr. Chairman. Mr Backer and Mrs Van Bijsterveld both asked about the funding of the Public Prosecutor's Office. Until recently, the funding was a so-called lump sum payment. Both from the Ministry and the Public Prosecutor's Office have expressed the desire to make the funding more transparent and to make it more consistent with the performance of the Public Prosecutor. The General Court has also, from a different point of view, in the past advised on this in a report on the performance of the criminal justice chain. It stated that the funding system of the case-law and the public prosecutor were not properly linked. In recent years, a new funding system has been worked hard in good consultation. I would like to stress here that the lessons learned from the funding system of justice have been taken into account. Point one: it has been taken into account that the D.A. carries out activities that do not always lead to criminal proceedings. This is clearly taken into account in the funding. Two: it has also been taken into account that certain types of costs, such as ICT, housing and the like, are relatively fixed for the shorter term and should therefore be included. The system, as it is now working with, is that there is a trial year first. From next year prices will be fixed every three years. According to this system, a 50% basis is established and above that, four categories of cases are covered by a reimbursement system. That system is, I honestly say, also discussed by me with the House of Representatives, because also in the House of Representatives came the groups of CDA and D66 which would have been coincidental with similar questions. So that adjustment doesn't come from myself. But that's what we're gonna do. I informed the House of Representatives of this in a letter at the end of last year. I am prepared to forward that letter to your Chamber as far as it is not yet known. I hereby undertake to send him. There's no harm in that. Then I had a question from Mr Dercksen about the uncontrolled acceptance of immigrants in the police forces. The question was whether I endorse the report to which reference was made and what I am going to do about it. The starting point for selection is simply an objective, individualised assessment of the candidates. The qualities of the staff member concerned must at all times comply with the required duties. The police are making increasing use of competence-oriented recruitment and selection. It examines what additional competences are needed in a team. Sometimes it can be speaking a particular language, having a certain network or background in terms of training. That is what is being brought to fruition. In this way, you do not have diversity as a kind of self-standing goal, but rather diversity to really strengthen the police. And, Mr President, I should like to say straight away to Mr Dercksen: I also believe, as Minister of Justice, that at least the services that come under me will only be better and that, by recruiting this very focused, responsible, transparent way, we really see the whole of society reflected in the services.
ParlaMint-NL_2019-02-19-eerstekamer-11.u41	Shouldn't the purpose be to hire qualified personnel? Do you not endorse the report by Professor Tops, among others, which I quoted and which states that recruitment is in a hurry and that promotions favour minority groups? You can say that it is not, but it is even written in internal police notes. What are you going to do about it, because I hear you telling a story that everything is going well?
ParlaMint-NL_2019-02-19-eerstekamer-11.u42	It is well known that Professor Tops and I have a very good working relationship. He has written a wonderful report on the Dutch synthetic drug industry, i.e. the report is impressive, but the conclusions are gloomy. That is what I said in last week's press release. I don't always follow the line he's putting in. It could be. I have just explained to you that the police have a conscious, good quality policy, part of which is that the police are properly reflected on society. This includes diversity, because society is not just made up of people who look like Mr Akerboom, for example.
ParlaMint-NL_2019-02-19-eerstekamer-11.u43	That's not my point at all. I'm interested in you hiring people who are qualified. Whether they're yellow, brown or green, I don't care. It's about hiring the best person for the job. The area police report is extremely critical of this. You say it's someone's opinion, but it's a professor's internal police record. It's not just an opinion, but it's a report that's just inside the police. My request to you was to do something about that: make sure you hire the best people available and do not select on all kinds of other features.
ParlaMint-NL_2019-02-19-eerstekamer-11.u44	I have just said in my reply, both in the first term and in my response to Mr Dercksen, that competences, on quality, are primarily selected. It then looks at additional competences. This includes competences that can lead to greater diversity. As far as Mr Tops is concerned, I certainly respect his research work, but I may sometimes look at a certain conclusion or opinion, based on the research that has been done, differently. The fact that this is allowed in this country makes life so beautiful. Mr. Chairman. Mr Dercksen also asked about the reports on drug crime. He said there aren't enough search frameworks. The development agenda has already been formulated for the area police. There is a balance between enforcement and detection. An important part of the development agenda is cooperation in the field of anti-undermining. The approach is that the police focus very clearly on providing staff, so that they know how to discover these phenomena in society. I can assure you that I can also see that on work visits you and I don't see it when we go down the street. Maybe you can see it, but I don't see it. Those agents have been trained to see through very small signals that there are activities that could hide undermining crime. The second is to strengthen local cooperation. I have already discussed this in detail in Mrs Van Bijsterveld's reply, so I will not repeat it here. A third point is that all kinds of small-scale projects are being organised to tackle local undermining. I also made EUR 100 million available. I am also quite willing to send the letter with the advice of the Strategic Board Undermining on where the money should go, to your Chamber. I do not want to spoil you with the pieces just before the skiing holiday, but you see very clearly an answer on how the district policemen and other policemen are equipped for this. Mrs Van Bijsterveld asked to what extent the police are supporting the points of the evaluation of the Police Act. Unless I say the improvements I have proposed. I sent the cabinet position to your two chambers in June. In the previous period, I even thought in the direction of Mrs Van Bijsterveld, I stressed that we really consulted everyone on this issue. There is broad support for this, including with the authority of the police. On 2 April there will be an oral consultation with your Chamber to discuss the cabinet position and the evaluation. I'd like to look forward to that discussion. I think that's very good. The evaluation is not the only reason to improve the police. Of course, there are also, in the on-going process, matters that are perceived to be different or better. The strengthening of detection and the area-based police are examples of this. Mr. Chairman. I also sent a letter to your Chamber last summer on the flexibilisation of the police organisation and the expansion of strength. The plans are all drawn up together with the police. Finally, I would like to say that it is well known from media statements that I have made the appointment with the unions and the corps leadership to sit together every four months to see how, on the one hand, the elaboration of the collective agreement and, on the other hand, the development process of the national police force continues. That had never happened before, and at least that works properly so far. Anyway, let's not applaud too early, because we've only had one or two of those consultations, so we're not there yet. Mrs Van Bijsterveld had a question on a very different subject, the NFI. She also addressed the criminal justice chain. The vision I suggest is that there should be a different division between the NFI and police labs and between the NFI and private labs. The starting point is to increase the supply and speed of forensic research. This is simply because there is an economic incentive for private labs, which focus on simpler tasks, to work more efficiently. At police labs we see that the proximity to the crime scene and another use of police resources, including the shift from tactical to technical research, achieves an enormous quality stroke for the police. These are pragmatic considerations; Mrs Van Bijsterveld really has a point there. It is not a new direction in principle. In the consultation with the management and works council of the NFI, I found that these are good steps to simply position the NFI more and more as the main owner of the forensic research and also really the party that continues to do the high-quality research, and also continue to do simple work. But for many of the really simple work others can be engaged, under the proper supervision of the NFI. It is not the case that this will have to lead directly to lower costs, as is now being said. But the intention is that, if it is not in the long run, if it turns out that private providers are not faster and/or cheaper than the NFI or police labs, the ratio will in any case lapse to put it down with those private labs. But we have to give that time. Based on field research, the expectation seems to be possible.
ParlaMint-NL_2019-02-19-eerstekamer-11.u45	I understand that the Minister is indeed saying that this is being done now, but that the real aim is to return to the public sector when there is a better view of the size and nature of activities that are privately outsourced. I would like to ask this because, on the one hand, I can understand what the Minister is saying, but on the other hand, of course, it is about the core of the state's tasks: detection and, hopefully, prosecution. In addition, of course, you want a good feedback to the police about the results.
ParlaMint-NL_2019-02-19-eerstekamer-11.u46	I agree with what Mrs Van Bijsterveld says, that you should continue to look very critically at this. Again, I mentioned the category of business involved. If we can say that this is done under adequate supervision in terms of quality and that there are also speed and price indicators, this is also in the interests of forensic research itself and of the NFI. Because then the NFI can use the available capacity better. Furthermore, you have money left, because there is less to spend. Another question from Mrs Van Bijsterveld was about the coordination within the chain between the police and the prosecutor. In the letter of 29 June, together with Mr Dekker for Legal Protection, I explained the expected results of digitisation. The results focus on 2021. Very briefly: minutes-verbal go digitally into the chain. That's what we call "digital born." Criminal decisions shall be prepared and processed digitally for the purpose of execution. All the image and audio material relevant to the case file, i.e. the evidence, is available to all parties, anywhere in the criminal justice chain. Then the citizen can choose in the kind of contact: face to face, telephone, paper, mail, internet. He can take care of business directly, he has 24/7 insight into the progress of his case. He can communicate with the chain in a timely and understandable manner, and he himself decides what he wants to be informed about and not about. In exercising his rights, he shall be facilitated. That goes a long way. I was in Apeldoorn last September, where I got a demonstration of how it works with BOTs that are used to collect certain people's reports and deal with them in a much more enjoyable way for people than when they might get an overloaded operator on the phone. With their questions, they can go straight to the good guys. Resources have been made available in the coalition agreement for the digitisation of the work processes in the criminal justice chain. In any case, this has an important priority, especially in order to make it more compatible and to greatly improve the provision of information. Mr President, I'm almost through. Mrs Strik asked about the state of the Netherlands' connection to the optional protocols. Your Chamber has been informed several times about the decision-making on ratification. The VWS Minister wrote in a letter last November that there is no decision yet on the ratification of IVESCR. He indicated that this is a complex decision-making process. I understand that that answer can be regarded as disappointing, but I myself think that is perhaps my legal breast-feeding that such a process needs to be carried through very carefully. There was a very recent discussion within the cabinet about the ratification of these optional protocols. My colleague, Mr Blok, will be coming up with a letter in the near future which will deal with the timetable of the cabinet.
ParlaMint-NL_2019-02-19-eerstekamer-11.u47	I certainly wouldn't call on the government to make hasty decisions. But in this case it is about signing the optional protocol in 2009 by the government. So we have been discussing for some ten years whether we think ratification is a good idea. What exactly was the idea when we signed the protocol? What are these considerations? So what has happened so far to clarify whether or not it is a good idea to finally ratify?
ParlaMint-NL_2019-02-19-eerstekamer-11.u48	I find the last part of the question a little difficult, because then I would prelude to the letter that Mr Blok is going to send. I can at least say, if that is a slight comfort to Mrs Strik, that that timetable means that the intention is to send a letter to the Chamber between now and four weeks.
ParlaMint-NL_2019-02-19-eerstekamer-11.u49	Very briefly.
ParlaMint-NL_2019-02-19-eerstekamer-11.u50	Let me make it clear that this has been in the Chamber for five years, so I would very much like some clarification. Does this mean we're getting a letter about the timeline in four weeks? Or are you predicting that we will receive a letter in four weeks' time containing the government's position on ratification?
ParlaMint-NL_2019-02-19-eerstekamer-11.u51	I believe that the position on the timetable is determined how the cabinet intends to proceed with this.
ParlaMint-NL_2019-02-19-eerstekamer-11.u52	Finally. Then you are very optimistic, because I have already seen a lot of letters on timetables for ratification, and there was nothing else to say about that. I would like to know whether that opinion is already there, what that opinion means and what the Council of State has said about the other two protocols that are still there, to possibly sign and ratify.
