ParlaMint-NL_2019-12-11-tweedekamer-11.u1	The next item is the Act on Language and Accessibility.
ParlaMint-NL_2019-12-11-tweedekamer-11.u12	Thank you, Mr. Fuzzler. Mr Bruins of the Christian Union has the floor.
ParlaMint-NL_2019-12-11-tweedekamer-11.u13	Mr. Chairman. I often talk from this place about the value of craftsmanship and our internationally highly regarded secondary vocational education, but we may as well be proud of our higher education. Our higher education is one of the world's top and our institutions attract many foreign students. This has a positive impact on our society and on our economy, especially when we manage to retain people for our labour market. Especially in sectors where we can hardly find well-trained staff, for example in the corner of science and technology, those people are worth their weight in gold. The internationalisation of our higher education certainly has a positive side, but at the same time we must note that funding, quality and accessibility of education are under pressure from the rapid increase in the number of international students. This is demonstrated, for example, by the ibo internationalisation mentioned above. The number of places for Dutch students may be under pressure if there is a large influx from abroad. The Dutch taxpayer also pays heavily for the training of foreign students because the tuition they pay is not always cost-effective. And Dutch language skills are also threatened by the large number of English language courses and the large number of foreign language students. In the meantime, the vast majority of the master's programmes are englished. More than three quarters of the masters can only be followed in English and Dutch plays less and less as a language of education and research. This is in fact contrary to the current law, because the WHW prescribes that Dutch is the language of instruction except for exceptions and those exceptions have now become a rule. It is therefore a good thing that this legislative proposal takes measures to ensure the accessibility of our higher education and to strengthen the use of the Dutch language. I would like to make a number of points. First of all, the language of training. Already in the sixteenth century, the mathematician and engineer Simon Stevin worked to promote the use of Dutch scientific terms. He was even supported by Prince Maurits. There was also a time about 130, 140 years ago when ambitious physicists around the world learned Dutch so that they could read manuscripts from our Dutch scientists without the intervention of a translator. Mr. Chairman. The bill is a bit pale about this. It regulates that institutions will now have to demonstrate the added value if they want to use a language other than Dutch as a language in their training. The NVAO will check whether this added value is sufficient. As far as my group is concerned, that is a small but justified step in the right direction. We need to look closely at whether it is really necessary to english all these training courses. Let us not lose sight of the beauty and value of the Dutch language. In this context, the term "added value" still raises questions. We are already seeing a lot of discussion, in the sector and in the written examination of the legislative proposal, about the definition of "added value" and how it should be reviewed. If this measure is intended to prevent unwanted or unnecessary ensnarment, it is questionable whether the added value criterion will succeed. How does the Minister see this? Do we have such objective criteria that the language policy of the institutions can be assessed? Can the Minister promise that the further development of this will go by AMvB, so that we as a Chamber can also have a say in this?
ParlaMint-NL_2019-12-11-tweedekamer-11.u14	Mr Paternotte has a question.
ParlaMint-NL_2019-12-11-tweedekamer-11.u15	Mr Bruins just mentioned the beautiful tradition of great physicists we have in the Netherlands. He sketched the beautiful image that there were people in the world who were going to learn Dutch so that they could read the work of our physicists. In modern times, science has a lingua franca. My question is then what Mr Bruins is looking at now. Would he, for example, want a Ben Feringa to publish in Dutch? We do beautiful things in the Netherlands. My feeling is that we can share it much more easily if it is also available in the world language.
ParlaMint-NL_2019-12-11-tweedekamer-11.u16	Mr Paternotte and I are in complete agreement. English is the lingua franca of science. My concern would be that in 20 years' time that would be Chinese. And then we have a much harder time in the Netherlands. So we're in agreement.
ParlaMint-NL_2019-12-11-tweedekamer-11.u17	Thank you. Please continue with your speech.
ParlaMint-NL_2019-12-11-tweedekamer-11.u18	Mr. Chairman. It is a good thing that the training committees in the legislative proposal have an explicit influence on the language of their training. It is good that teachers and students are actively involved in the process of internationalisation and therefore have a say in changing the language. It is precisely the participation bodies closest to the training that have an important role to play here. It is important that higher education institutions properly inform the training committees about this new possibility and precisely inform them about the precise implications of their choices. How can the Minister promote this? We must ensure that the right of assent of training committees is given real teeth and does not become a shambles. Mr. Chairman. It is a good thing that this bill promotes the practice of foreign students in Dutch expression skills. That's why I mentioned Simon Stevin. However, we do see a lot of criticism from universities and colleges of applied sciences on this point. They are concerned that the Minister is going to interfere too much with how institutions are going to do this. I think that is a valid point. It is good that we ask from a political point of view that colleges and universities promote the Dutch language skills of foreign students, but above all we should not interfere too much in how they do that. The institutions are perfectly capable of doing so themselves. Does the Minister agree with me? Is this secure enough in the law? At the same time, my group considers it important to invest in the language skills of foreign students, especially when they come here for their entire Bachelor's programme. If I were the chairman of a board of directors myself, I would offer every student an intensive Dutch course in his first two weeks. Learning our language helps to preserve people for our labour market. It promotes the stay rate, to say it in very nasty Dutch. What other options do we have, I would ask the Minister, to increase this retention ratio, apart from language policy? Can she elaborate on that? Mr. Chairman. Then the numerus fixus. There is a great deal of concern in the institutions about the new rules. The bill provides that the Minister must give prior authorisation for the use of a fixus. The universities and colleges are concerned about this, because they fear that it is unworkable and because they cannot accommodate the influx of students if the minister forbids a numerus fixus. Can the Minister take those concerns away today? She's not gonna ban all numeri filxi all of a sudden, is she? We continue to look carefully and realistically at the capacity of training, at labour market demand and at the feasibility of the number of students to be admitted. In other words, if an institution proves that a numerus fixus is necessary, then the minister will simply grant it. Can the Minister confirm that? Mr. Chairman. My group is right to think that we should look closely at whether or not to introduce a numerus fixus. There are too many stories of training with a fixus that are then not full and are therefore underutilized, or of training where the question is whether the fixus has been properly established. In any case, I believe that we should deal with this instrument carefully. For some courses we may not want a fixus at all, for others that might be good. I just had a nice little debate with Mr Futselaar on this. In this context, as far as my group is concerned, the labour market perspective should be taken into account. In the legislative proposal, the committee that judges the numerus fixus is also given the opportunity to consider the labour market perspective. But the committee can only do so at the request of the institutions themselves, and perhaps it would be good if we also looked proactively at the need for a numerus fixus in some training courses. You hear how many psychologists, lawyers, communication scientists or sociologists actually need our country? Well, I don't want to put that so sharply, because freedom of choice is a great good thing, but more guidance based on labour market perspective and macro-efficiency would not be wrong for my group, especially now that academies are training more and more for the labour market and not just for a scientific career. I would like to hear the Minister's views on this and how the committee is going to be able to make an assessment of this.
ParlaMint-NL_2019-12-11-tweedekamer-11.u19	I think Mr Bruins of the Christian Union speaks wisely about the fixus. We should not deal with that lightly. I am also highly recommended for the debate that we will hopefully have later on on whether we should not abolish this fixus in a number of studies. I also think that this brings a lot of benefits. In any case, it would be good to have that debate. However, I would like to ask Mr Bruins if he also has an idea of how we can ensure that if you start selecting 'cause there are a limited number of places in training courses where there is a fixus, we can do so in a fair way, and how we can ensure that students get all the opportunities. Does he have a visual on that? Should we do that by drawing lots or his other ways of selection in his opinion a better idea?
ParlaMint-NL_2019-12-11-tweedekamer-11.u20	There are several schools in it, even here in the Chamber. One says lottery is the fairest, the other says it's based on diploma grades. I myself am a great supporter of motivational conversations, cliffs. That's also because I have my history in relatively small courses where you can do that, with 30, 50 or 70 freshmen. Then you can do that, but it's harder when you have 1,200.
ParlaMint-NL_2019-12-11-tweedekamer-11.u21	But actually, I would like to give every young person in the Netherlands a cliff talk, one-on-one with a teacher, to look at: why do you want it exactly, what is your motivation, how did you like it at school, where were you good, what were you not good at, why do you want to do this, and what do you think you can do here? It is my dream that this happens with every education and that in this way a large proportion of young people find out themselves during such a conversation that it does not fit very well.
ParlaMint-NL_2019-12-11-tweedekamer-11.u22	Nice answer. Perhaps it is also good to discuss this in greater depth at the hopefully next debate, on how to deal with the numerus fixus. How do we ensure that selection takes place in a good way? But does Mr Bruins agree with me that it might also be a good idea that, if we allow a number of training courses to have a capacity fixus, we should give the Minister or the institutions a number of instruments to make that selection in a good way?
ParlaMint-NL_2019-12-11-tweedekamer-11.u23	Mrs Westerveld talks about "giving a number of instruments." Yes. At the same time, I think that institutions themselves are very well aware of the possibilities and the instruments they can use. I do attach great importance to the freedom of the institutions and also to the freedom of movement for how you do it. But giving 'a number of instruments' sounds enough to me to say yes to that.
ParlaMint-NL_2019-12-11-tweedekamer-11.u24	Thank you. A question from Mr Futselaar. Go ahead.
ParlaMint-NL_2019-12-11-tweedekamer-11.u25	Like Mr Bruins, I myself have experience with motivational interviews, but with a large degree programme. I am therefore a little less enthusiastic, because it is my experience that it is very pleasant for well-painted, easily sympathetic people, as I would almost say I am. They benefit from this, but a sturdy, quiet boy like Mr Van der Molen, for example, very quickly loses sight of it. I'm making it a little... But it's a serious problem. Research also shows that this method has its limitations. Let me put it this way. There is a fundamental question: is there a fair selection possible with the resources we have?
ParlaMint-NL_2019-12-11-tweedekamer-11.u26	I'm the first to acknowledge that I have a limited look, because I've always been in training courses where nice talk didn't help at all. It was pricked right through there. I don't think the ideal world exists here. You have different ways. Maybe you should combine them. Maybe you should weigh them. Think of the one-to-one conversation, attention to that student and customization, for example, to ensure that young people who are slow to start, who have only six but who are extremely motivated and want to work hard, have the opportunity to do an education. I really want to give them that chance. Just those stubborn perseverants, who really want and can put their teeth in something, are the people who build our country in the future.
ParlaMint-NL_2019-12-11-tweedekamer-11.u27	In conclusion, Mr Futselaar.
ParlaMint-NL_2019-12-11-tweedekamer-11.u28	My follow-up question concerns the labour market perspective, which Mr Bruins might wish to take into account in a fixus. I have the impression that this is very difficult in practice. In my own province there are currently the most requested vacancies: ICT and GZ psychologist. How is this consistent with the other problems that exist? In their field, we hardly need historians. What's the consequence? Politics is populated with it! You'll find them everywhere.
ParlaMint-NL_2019-12-11-tweedekamer-11.u29	I rest my case, Mr. Futselaar.
ParlaMint-NL_2019-12-11-tweedekamer-11.u30	I'm one of them myself. So it is not so easy to say: this training is only training for this profession. And we already have so many of them, so we need to limit the number. This is a very complex consideration, which is almost unfair. Does Mr Bruins agree with me?
ParlaMint-NL_2019-12-11-tweedekamer-11.u31	I agree with Mr Futselaar that this earth and the whole universe are extremely complex. This is one of those. Mrs Westerveld mentioned earlier in the debate... No, that was in a VAO this morning. She said that technicians are going to work for a large part outside of science, or even outside their field of expertise. Why? Well, they can do anything. You can put them anywhere. So let's train a lot more, because you can use them anywhere. There are, of course, a lot of very wide-ranging training courses. The historians, Mr Futselaar and his colleagues, are also extremely valuable. You can use them extremely widely, because they've learned to think academically. They can think critically and they can see the future from history. So I would not say from any study that it leads to unemployment. Someone who can just think wisely will get a job. So it's pretty complex. At the same time, we know that there are major shortcomings and that there are professions where we are incredibly short of many people. I would really like to place more emphasis on that than we are now daring to do politically.
ParlaMint-NL_2019-12-11-tweedekamer-11.u32	You will continue your speech.
ParlaMint-NL_2019-12-11-tweedekamer-11.u33	Mr. Chairman. The legislative proposal also provides for the possibility that only a numerus fixus can be carried out on a foreign language course within a Dutch language course. In this way it is possible to respond to capacity problems that arise only on the non-lingual route, without limiting accessibility for Dutch-speaking students. However, the risk may arise that the other-language track will be seen as more prestigious and that the Dutch track will fill itself with students who did not pass through the selection of the other-language track. How do we guarantee the quality of both tracks, I ask the Minister. Finally, Mr President. Simon Stevin praised the ability of the Dutch language to move and convince. Let's cherish his beautiful words like "triangle," "medium line," "parts" and "root pulling." But let us not be unnecessarily afraid that Dutch will perish without protection, as long as we see words from our language, such as "pump," "polder," "dijk" and "dam," in international words and even in twentieth-century Dutch inventions like the blow skating, basketball and, yes, the rollator. Thank you.
ParlaMint-NL_2019-12-11-tweedekamer-11.u34	Thank you. I looked in the direction of Mrs Van den Hul, but she already came forward for her input. I am happy to give the floor to Mrs Van den Hul. It shall give its contribution on behalf of the Labour Party. Go ahead, ma'am.
ParlaMint-NL_2019-12-11-tweedekamer-11.u35	Thank you, Mr. Chairman. This time I've got everything I need. Today it is a lot about the problems of internationalisation, but let me begin by saying that internationalisation is primarily an enrichment of our education. Fortunately, more and more students experience this in person. Whether it is as a Dutch student abroad or as an exchange student in the Netherlands, an international study experience I really do give everyone. I say this both as a former student who studied Arabic in Tunisia and as a former teacher at a class of different nationalities, here at the Hague University of Applied Sciences. But of course it's not just roses and moonshine. Several institutions and student organisations rightly warn that there are limits to growth, while many employees, researchers and teachers have long reached the limits. It is not for nothing that hundreds of scientists, under the leadership of WoinAction, have already reported to the inspection because of too high a workload. So it is clear that something must be done. Then the first question we need to ask ourselves is: what problem exactly solves the proposals on language and accessibility? There are two things that stand out. First of all, we must continue to discuss language in proportion. I say this as a daughter of a Dutch teacher. The idea that Dutch should be the absolute language of teaching in our higher education is now really an outdated discussion, donquixoterie, as Fathernotte called it so beautiful. I immediately think of the lecturer of the Year 2019 elected by the ISO, Calvin Rans of TU Delft, a Canadian lecturer in Aerospace Engineering. For example, there are many examples of driven top teachers from all over the world who are settling in our country for a shorter or longer period of time, because of our academic climate, because of our top institutions and because of the opportunities our country offers them. We want to preserve these opportunities, not only for top teachers and researchers, but also for non-European students. The purpose of the law we are discussing today is twofold in this respect. It aims to ensure accessibility for Dutch students while at the same time controlling the influx of international students. But access must also be guaranteed for those international students as far as we are concerned.
ParlaMint-NL_2019-12-11-tweedekamer-11.u36	A question from Mr Van der Molen. Go ahead.
ParlaMint-NL_2019-12-11-tweedekamer-11.u37	My question is based on Mrs Van den Hul's statement that the whole idea that we should be teaching Dutch is outdated. She's linking that very much to accessibility. Before she talks about the African student who would like to come to the Netherlands, I would like to mention another example of a little closer. I've had a lot of tech students, regular boys and girls who want to take that step, at my table. They complained that, in addition to an apology, which was very complicated, they also had to show some kind of bilingualism, which meant that they could not actually go on in that first year, while they could do it on the basis of their technical skills. Are you saying to those students that they should get used to the fact that they will be fully English-speaking in the Netherlands, or are you also worried about the accessibility of education to that type of student?
ParlaMint-NL_2019-12-11-tweedekamer-11.u38	It is true that this situation also exists. I fully agree with Mr Van der Molen that accessibility must also be guaranteed for Dutch students. That is why it is very important to ensure that the whole educational pipeline is in order. We're still freaked out by falling PISA scores this week. I will come back to that later in my speech. We can see that students' reading skills are deteriorating. Unfortunately, language skills in other languages are sometimes also deteriorating. Fortunately, we also read that the Dutch language level is still very positive at international level. It's been referred to a few times. But I fully agree with Mr Van der Molen that it is very important to ensure that everyone can come along and that the language should never constitute a threshold for participation in a study.
ParlaMint-NL_2019-12-11-tweedekamer-11.u39	In conclusion, Mr Van der Molen.
ParlaMint-NL_2019-12-11-tweedekamer-11.u40	In the latter I can go along very well, in the sense that the language should never be a threshold, but you started your statement by saying that there is some kind of rearguard fight that we at least have the education in Dutch multilingual or otherwise, and then you suddenly switched very much in your care to groups that would like to come here. This is something I would like to point out to you at the moment when we are not going to deal with it, and I hope that you will agree with the CDA. We are also losing students who are not as easily involved in, for example, a full English education or who are not as well-spoken as you and I might wish for them.
ParlaMint-NL_2019-12-11-tweedekamer-11.u41	That is a complex question which Mr Van der Molen is putting before us. What I was just referring to and what it was about earlier in terms of donquixoterie, is that of course we should not pretend to be sitting here on an island with each other. The Netherlands and therefore our Dutch academic sector and our Dutch researchers are connected to an increasingly internationalising world, where the lingua franca that used to be Latin and then French is English. This means that a large part of the literature you will have to study as a student is also in English and that you will also have to publish in English. That takes a bit of your language skills. We certainly have to invest in this and that starts very early in the p.o. and the vo. There are certainly concerns there.
ParlaMint-NL_2019-12-11-tweedekamer-11.u42	There is still a difference between having to publish and reading literature in a particular language and being consistently taught in that language. We run into the situation that Dutch-speaking students of Dutch-speaking origin receive lessons from Dutch-speaking teachers. For example, the groups that suffer most from this are stackers, people who reach the university via an MBO and HBO route and are suddenly confronted with a level of English that they have never had before and then run into an additional barrier. Does the PvdA see that problem?
ParlaMint-NL_2019-12-11-tweedekamer-11.u43	Oh, yeah. I have already asked in other sections and debates for extra care for the most vulnerable students. We see that stackers, first-generation students and other students who may have gotten a little less from home are at greater risk of failure. If this is one of the factors involved, I would say that you should help those students to invest in their language skills, even if it is in English.
ParlaMint-NL_2019-12-11-tweedekamer-11.u44	Rounding up.
ParlaMint-NL_2019-12-11-tweedekamer-11.u45	If English is a big barrier here, then you can also say that we have to help those students to cross that barrier, but I think it makes more sense to remove the barrier. I would like to add one more thing, because I went to look a little bit too. The university in Europe, which according to the lists is most highly regarded outside the English language area, is the Eidgenössische Technische Hochschule Zurich, where Einstein studied. If you look at their website, there is education: you can take all kinds of Bachelor's programmes with us but they are all in German. And that's how the rest of the world handles this. We're an exception. We're not the rule.
ParlaMint-NL_2019-12-11-tweedekamer-11.u46	Mr. Chairman. I was talking about international students and that accessibility should remain secure for them. My question is how this relates to the proposals to charge students their administrative costs for graduation and a contribution to language courses and enrolment fees. How does the Minister ensure that not only students with a thick wallet get access to our higher education and Dutch institutions do not become Oxford at the Amstel, Oxford with a d, let me say in the direction of the people who wrote the college agreement here with a t- or Cambridge on the Meuse? Our concern is clear. This proposal threatens to increase inequality of opportunity. Let me start with the international students. That is what we are concerned about. As shown by ISO, LSVb and ESN's Annual International Student Survey, many international students struggle to find accommodation but also to find their place in Dutch society. Sometimes poignant situations, such as a separate entrance week, are of course not helpful. By the way, why doesn't the Ministry carry out that research that is now being carried out by student organisations itself? I also express a special concern here about the position of foreign scholarship students who are neither students nor employees and are therefore often unable to claim existing facilities and are therefore particularly vulnerable.
ParlaMint-NL_2019-12-11-tweedekamer-11.u47	End of cup?
ParlaMint-NL_2019-12-11-tweedekamer-11.u48	End of cup.
ParlaMint-NL_2019-12-11-tweedekamer-11.u49	I recognize what Mrs van den Hul says about the pressure on the facilities. In Delft, for example, the municipality also complains about this: if a lot of students come, we simply cannot act here. It puts pressure on the housing market and on the rental market. This also increases the prices for Dutch students who were already looking for a room. So this is not exactly one of those points where the PvdA also says: "That is why we must pay close attention to the influx and also give the education space to be able to steer it, also in consultation with municipalities. We have to give them the confidence so that they can get it right. We can't do that from here"?
ParlaMint-NL_2019-12-11-tweedekamer-11.u50	I will return to that selection in a moment, so I would ask Mr Wiersma to be patient for a moment. Then there's the point of the housing market. These are precisely the points on which we are very concerned. That is why we are also making many proposals to ensure that much more is invested in accessible social housing, including for students and also for start-ups in the housing market. Those are the people who are very difficult to find a place to live right now. So you can't separate this from each other. I also find it a little too easy to project all of that into this law now. But is there some kind of congestion, because the pressure is increasing enormously? Yes, I do, and I will come back to that in detail later in my speech.
ParlaMint-NL_2019-12-11-tweedekamer-11.u51	Very brief, finalizing. I'm really gonna call on you to keep the interruptions short, and so are the answers. Otherwise, we're really gonna be in a time trap tonight. Mr. Wiersma.
ParlaMint-NL_2019-12-11-tweedekamer-11.u52	Then I wait for the answer about accessibility, but this is also just a reality call: this is happening in those cities.
ParlaMint-NL_2019-12-11-tweedekamer-11.u53	Sure!
ParlaMint-NL_2019-12-11-tweedekamer-11.u54	Does it have to be solved? We can say from here that everyone is welcome, but it just can't always be. And then I think you have a little butter on your head, when you say as a party: then we have to plan here at the housing market... We have the problem now. That's what we need to solve now. So we must now also give room for institutions to offer these solutions. So let us have a little understanding of that.
