ParlaMint-NL_2019-10-09-tweedekamer-8.u1	We continue with the discussion of the budget Agriculture, Nature and Food Quality (35300-XIV).
ParlaMint-NL_2019-10-09-tweedekamer-8.u12	I can answer that last point with a yes: yes, we want to intensify nature in the Netherlands. That's beautifully summarized by the CDA. Media, take over most of all, I'd say! Mr. Chairman. If there is anything that the agricultural spokesmen in this Chamber agree on, it is that we talk about NVWA more often than we like. We're gonna do that again next week. The NVWA is under attack. And without wanting to do the hard work that the men and women of NVWA do in practice, that seems to be right. The NVWA is undermanned and overmanaged, and this is evident over and over again in the event of incidents, from ICT dramas to failing supervision at slaughterhouses to, for example, the lack of enforcement in the case of fraud involving engines on fishing boats. It just keeps happening. It is an organization that has many different tasks with a hugely limited capacity to carry out those tasks. Moreover, we see a waterbed effect: if there is a fuss about something, then they put in and then you see the supervision disappear elsewhere. Mr. Chairman. Next week, we'll talk about the 2Solve report on the abattoirs. There was one sentence in there that I would like to read anyway, because it almost woke me up. That is the following sentence: "The fact that a number of supervisory veterinarians do not maintain or do not maintain enough is due inter alia to the fact that they were appointed to NVWA at a time when maintaining was less priority." A period where maintaining had less priority? We are talking here about the probably largest enforcement organisation in the Netherlands, after the police. It's not acceptable for things like this to happen, is it? We are talking here about the organisation responsible for the safety of our food, for the safety of boilers, for the safety of trampolines; it is the organisation that is responsible for ensuring animal welfare and that pays attention to environmental standards. We believe that something must be done about this. I would like to propose something for that, but perhaps it is good if Mr Graus asks a question first.
ParlaMint-NL_2019-10-09-tweedekamer-8.u13	I would suggest that you conclude your speech, because I believe you have ten seconds left.
ParlaMint-NL_2019-10-09-tweedekamer-8.u14	I think I can make it 20.
ParlaMint-NL_2019-10-09-tweedekamer-8.u15	Well, go ahead.
ParlaMint-NL_2019-10-09-tweedekamer-8.u16	I don't need that much time in the second term, because there will be no rain of motions.
ParlaMint-NL_2019-10-09-tweedekamer-8.u17	You can finish your story.
ParlaMint-NL_2019-10-09-tweedekamer-8.u18	Okay, Mr. Chairman. When I speak of NVWA, it is my custom to ask the Minister, formerly the Secretary of State, if the NVWA has enough capacity to do its job. I am not going to do that now, because as far as I am concerned, the answer is simply no; we can draw that conclusion. I would like to propose the following. Let us ask an external organisation, for example the Safety Research Council, to conduct a wide-ranging investigation into all the incidents that have occurred in recent years and the reports that have appeared about the NVWA, so that it can give an opinion on what needs to be done with the NVWA in order to ensure that it can really carry out its safety task properly. That can be done and will, I expect, lead to, for example, an opinion for additional capacity. I would like to ask the Minister what she sees in this. I would like to end by saying that we have to make tough decisions and that the SP does not hesitate to do so. We must act quickly now, on the basis of the facts. The time for us to close our eyes to problems in the sector is really over.
ParlaMint-NL_2019-10-09-tweedekamer-8.u19	I had to ask Mr. Geurts if you needed a KITKAT. Oh, Mr. Geurts says he didn't say that. Then I misunderstood. I have one short question. There will be two major general discussions on the NVWA and a plenary debate. I also brought up the subject of the vet who recently worked on the ground. A vet in function, who went to check, was intimidated by a slaughterhouse owner. She was working on the ground and had a head wound. She sits at home and never comes back to work. We have been arguing for minimum penalties since we were born since 2006. Such a person must at least be sentenced to prison and, in this case, a professional ban. I'm talking about the slaughterhouse owner who did that.
ParlaMint-NL_2019-10-09-tweedekamer-8.u20	Violence against people is in any case unacceptable and violence against people acting on behalf of the government is often even more severe. You can see that in the police and the fire department, for example. I say honestly that I find it difficult to deal specifically with this, because at some point it's just the D.A.'s office. It's supposed to judge what kind of punishment someone should get. Mr Graus also spoke of a professional ban. We are in favour of making more possible in the Netherlands when it comes to a professional ban on people dealing with animals, such as people in slaughterhouses, farmers, livestock farmers, whatever kind of group. If you misbehave, clearly misbehave, you should be able to easily get a life-long professional ban, not just a restraining ban.
ParlaMint-NL_2019-10-09-tweedekamer-8.u21	The Minister may still make promises, but if necessary, I will table a motion. Then Mr. Futselaar can co-sign my motion in this. But here's the thing: shouldn't we decide as a chamber? We're gonna go over whether there's gonna be a minimum sentence or not. That's what we Members of Parliament are about. That's when the judge decides how long, okay? But there's been a serious assault on a vet. That dear lady, that dear lady, who did not let herself be intimidated, is now sick at home and never comes back to work. Once again, through the President, do you think that such a person should have at least a prison sentence and a professional ban? Do you agree with the prohibition of employment, but do you not agree that such a person should be sent to prison instead of a 50-hour community service?
ParlaMint-NL_2019-10-09-tweedekamer-8.u22	You just asked the same question, didn't you?
ParlaMint-NL_2019-10-09-tweedekamer-8.u23	Yeah, but I didn't get a clear answer.
ParlaMint-NL_2019-10-09-tweedekamer-8.u24	Perhaps Mr Graus will not be satisfied with it, but I think that politics should be extremely reluctant to make statements on individual cases involving the prosecutor and the judge. So I do not go into the question of what I think would be a correct punishment.
ParlaMint-NL_2019-10-09-tweedekamer-8.u25	No, Mr. Graus. You made your point.
ParlaMint-NL_2019-10-09-tweedekamer-8.u26	But this is very important, because that is what we have been fighting for since 2006. It's not about this case right now. I'm talking about the future. We're about the structure, we're co-legislator. We are auditors and co-legislators. You have the highest office in the Netherlands and you can find something or say something about this. And that's what I'm asking for.
ParlaMint-NL_2019-10-09-tweedekamer-8.u27	Then I come to the same area as why I briefly asked Mr Geurts about his bill. We can find something like Chamber, but then you also have to incorporate it into a legislative proposal, into a concrete proposal. If there is a specific proposal, whether it is from Mr Geurts or from Mr Graus, we will be sympathetic to it. And if we disagree, we'll explain why we disagree. But giving an opinion in the Chamber is not enough.
ParlaMint-NL_2019-10-09-tweedekamer-8.u28	Thank you, Mr. Fuzzler. I now give the floor to Mr De Groot on behalf of D66.
ParlaMint-NL_2019-10-09-tweedekamer-8.u29	Mr. Chairman. D66 stands not only for clean water, clean air and a robust nature, but also for a good farm income. That is why I want to talk about circular agriculture. But first, let's get back to base. Why do we want to do that? First of all, it is because of nature in the Netherlands. There is only 15% left of the number of plants and animals we originally had in the Netherlands. Secondly, we are doing so precisely because of the farmer's income. A lot of farmers are on the verge of water. But we do so mainly because of the efficiency that, contrary to what Mrs Lodder says, is not at all so high. Yes, we are very efficient per unit of product. All we need is a lot of raw materials... feed... to get the animals to make their own food. Let me give you an example. If you give soy, you give ten soya beans to a pig or chicken, and eventually protein comes out about the amount of three soya beans. So there's a loss in it. And that's actually a loss for Earth. So what's smarter than just giving waste streams to animals? Insects for chickens, grass for cows and residual streams for pigs. Pigs are cleaners. They're very useful for that. That is why we are in favour of circular agriculture: to increase the efficiency of Dutch agriculture, which is rightly praised as such, without compromising the earth. And what movements are these when it comes to circular agriculture? First of all, I mentioned it: feed. It has to go slowly to food that no longer competes with our own food. Secondly, I call manure. Now, neatly put, the thick and the thin fraction of pee and poop are coming together in a dungeon with huge emissions of ammonia from methane. That's bad for nature and bad for the climate. We need to get rid of that. Then the bottom. Now we keep the soil and our crops alive with a lot of chemistry, fertilizer and lots of pesticides. We're doing a hell of a job. But also there: nature can be very kind to us; let's use that soil biology to have healthy and robust crops. Finally, the last movement we need for circular agriculture is animal welfare. Animals just have to have it right. This makes circular agriculture good for the farmer and good for the earth. The trick is to make more money with less cattle. With lower costs for animal feed, lower costs for pesticides and lower costs for fertilizer, you support the farmer's income.
ParlaMint-NL_2019-10-09-tweedekamer-8.u30	I am almost inclined to nominate Mr De Groot as a lecturer in circular agriculture. Mr De Groot is a firm supporter of this. I have always been taught: to be right is not to be right. How does Mr De Groot intend to be right, even if there is to be cooperation from the sector and also in the light of the fact that the sector has regarded Mr De Groot's statement to say goodbye to 50% of livestock farming in the Netherlands as a knife in the back?
ParlaMint-NL_2019-10-09-tweedekamer-8.u31	A good conversation also starts with facing the situation as it is now. That's why I started it. Nature in the Netherlands is just not doing well. This means that you share with each other what the cabinet has written down in the vision paper, namely that the current system is no longer sustainable. That is a painful message, but it precedes the real movement towards change as I have outlined it.
ParlaMint-NL_2019-10-09-tweedekamer-8.u32	There is now something that is given in a way that is done with geese in France. Gavage is called, a form of compulsive nutrition. Wouldn't it be much better if you and nature and environmental organisations, agricultural organisations and other stakeholders tried to set a common course?
ParlaMint-NL_2019-10-09-tweedekamer-8.u33	The story of D66 is a story of choice. Four out of ten farmers want to stop. That means that you have to help in a good, social way. A lot of farmers are on the verge of water. They don't want to go any further. Make sure you take them in a good way to a life after farming, so retire and so on. Other farmers want to go through. Also make sure that they can get on with circular farming in a good way. That's the story of D66. That's just the story where you can go on, on one road you're gonna stop or the other way you're gonna go on, but in a good way. That's how you offer farmers perspective. There is actually no intermediate route, so say: we are going on for twenty or thirty years, which we know has considerable disadvantages for our nature and our environment.
ParlaMint-NL_2019-10-09-tweedekamer-8.u34	I have two questions about D66's perspective on animal welfare. We know that the gigastal in Grubbenvorst, with 35,000 pigs, is a kind of Remkesproof. In the Minister's circular note, there is no concrete reference to what we are going to do for animal welfare. When D66 says "animal welfare is important," I'm curious how D66 sees it and what proposals she's going to make. The second question is this. If circular agriculture is to be a success, it is important that we do not allow products produced below our standards to enter the border. So what does Mr De Groot think of the Mercosur Treaty?
ParlaMint-NL_2019-10-09-tweedekamer-8.u35	That's two questions. Such a large stable is not desirable if you look from the animal. Animal welfare is really a crucial part of the vision. The Minister writes it himself. It's just that I don't see much effect. We have tabled a motion on this earlier. It is therefore extremely important that we really think about that position of the animal. That's why I said, and D66 also says: an animal must just have a good life. It needs to be worked out exactly how you're going to do that. So yes, such a stable that are also dilemmas, I honestly admit that maybe environmentally fine, but you work with living animals, intelligent animals, who get bored in that kind of stables, and you just shouldn't want that.
ParlaMint-NL_2019-10-09-tweedekamer-8.u36	Fine. Then I look forward to the proposals, because so far D66 said: the recycling note is good enough. I believe that the cabinet should honour the promises already made by Verburg that animals can show their natural behavior by 2022 at the latest. I hope D66 agrees with us. My second question was, just a moment ago, about Mercosur. If you want to make circular agriculture successful, I do not think you can just allow cheap beef from Brazil at the border. So what does Mr De Groot think of that treaty?
ParlaMint-NL_2019-10-09-tweedekamer-8.u37	D66 is a party in favour of free trade. Free trade also brings benefits. When it comes to CETA, you are talking about a country that also has high growth, a civilised country with high standards in many areas. So that's what you need to talk about, including sustainability. Mercosur also gives you the opportunity to talk to that country about climate, for example. You wouldn't have that without a trade agreement like that. For example, they stayed on board at Paris. I find that rather difficult, I have to be honest. And that's why I'm going to be there in the future on "supermarkets" also have a major role to play in making circular agriculture a success. For it is not possible, apart from a trade agreement, that supermarkets, on the one hand, confess with their mouths that they find circular agriculture fantastic and have written an open letter to the Minister, and on the other hand, they put such cheap pieces of meat at the bottom of the box. There is a responsibility of the supermarkets, just as separate from trade.
ParlaMint-NL_2019-10-09-tweedekamer-8.u38	Mr Futselaar... no, very briefly, Mrs Ouwehand.
ParlaMint-NL_2019-10-09-tweedekamer-8.u39	Yeah, just a little bit longer. As far as Mercosur is concerned, the Foreign Trade Minister has just confirmed, in response to parliamentary questions, that these products do not meet European standards and that you cannot enforce them. So we already know it's below our standards. Is that another reason for Mr De Groot to say now that we really should not do it?
ParlaMint-NL_2019-10-09-tweedekamer-8.u40	We're going to have another debate on that. That is what my colleague Bouali is doing. But you can be assured that we are looking at it extremely critically.
ParlaMint-NL_2019-10-09-tweedekamer-8.u41	I always like to listen to Mr De Groot's reflections on circular agriculture. I'm pretty much in favour of it, too. What I would now like to ask Mr de Groot is whether, as far as he is concerned, this agricultural budget is actually the right way of achieving circular agriculture as he sees it. Does this budget satisfy, simply, what Mr De Groot wants?
ParlaMint-NL_2019-10-09-tweedekamer-8.u42	I'm gonna take it a little wider. In the follow-up to my speech, I will say that we are not there with a good story. Policy making is more than the frequent interpretation of a desired situation. There must therefore be a more direct relationship with the budget. There must be a direct relationship with clarity for farmers: what is circular farming? As far as D66 is concerned, this includes a law. Not to create new rules, I say explicitly, but at the same time to provide clarity with rules and also to be able to break them down. I do not yet see sufficient action to really move this cabinet period towards circular agriculture.
ParlaMint-NL_2019-10-09-tweedekamer-8.u43	That's clear. We will wait for the law, but we are talking about the budget now. So if we want to make changes to the budget, we have to announce it now and vote on it next week or later. What is Mr De Groot going to do in this area, then, is my next question, or should I wait for the rest of his speech?
ParlaMint-NL_2019-10-09-tweedekamer-8.u44	Of course, additional funds were announced last week, also for the warm investment in agriculture. So we're gonna take new steps. They are also necessary with regard to D66. This budget is a step in the right direction. We're going to agree to that, too. But there will still have to be the necessary steps to provide clarity to farmers about what it is now. Those aren't necessarily things that cost money right away.
ParlaMint-NL_2019-10-09-tweedekamer-8.u45	I would like to ask another question about circular agriculture in relation to trade agreements. The Group of the European People's Party (Christian Democrats) and European Democrats is strongly in favour of circular agriculture. So is my group. Now I find myself experiencing a dilemma in ourselves when it comes to trade agreements, because we believe that this can be at odds with each other. However, I hear the D66 Group, Mr De Groot, saying: I want to get the front door straight. The supermarkets must ensure that there are as many products as possible from their own region on the shelf. They should contribute to circular agriculture. But he's going to open the back door wide for products from faraway countries. My question is: is there really no tension for the D66 Group, as my group feels? How do you handle this?
ParlaMint-NL_2019-10-09-tweedekamer-8.u46	That's definitely a tension field. You're talking about "driving wide," but that's not the right term. We have a trade surplus with Canada, for example. So Dutch agriculture, which you often represent, has every interest in trade. So we need to take a nuanced look at that. It's also a way to talk to each other about standards. But, yes, supermarkets really have a separate responsibility in this. They tend to make good decorations with one beautiful meadow product or a nice cheese, such as "look at us responsibly" while at the bottom of the shelf lies the meat, the kilo-blaster, or the cheapest milk. We need to change that. I will in a moment call for a kind of private quality system for supermarkets, call it a green dot, to ensure that they are not only in name sustainable, but also in reality have a sustainable policy and participate in the transition to circular agriculture. At the moment, there is only one supermarket that meets that requirement, and that is the Lidl.
ParlaMint-NL_2019-10-09-tweedekamer-8.u47	I have heard a whole speech from Mr De Groot. He started with: yes, that is a dilemma for us too. But then he didn't go into what exactly is a dilemma for him. If it is a dilemma for the D66 Group, what is your commitment to the discussion you are going to have with your own minister on this issue?
ParlaMint-NL_2019-10-09-tweedekamer-8.u48	Once again, that conversation is being held by the spokesperson in this area, and that is Achraf Bouali. From this point of view, he will look critically at the whole, but also at what it means for the Netherlands. The Netherlands has an open economy and it is also to be commended that at this time, when large countries such as the United States are increasingly closing their borders, we are still making trade agreements in this world, which is under pressure. That is a good way of working together in peace, and that will appeal to the Christian Union as well.
ParlaMint-NL_2019-10-09-tweedekamer-8.u49	Please continue.
ParlaMint-NL_2019-10-09-tweedekamer-8.u50	I'm coming to the transition to circular agriculture. We've talked about it before and the minister has a strong tendency to focus and focus on the primary business. The Maij Committee also did so this week. It is then about creating the conditions to take steps for farmers. It's about money. The Minister has taken a good step towards European agricultural policy by putting that European agricultural money behind these circular farmers. It's also about knowledge. The Minister comes up with proposals for independent advice for farmers. That's great! In the area of rules and chains, the D66 group does not yet see sufficient action. That is why two things must be done. Firstly, we see a kind of recycling law before us and secondly, a private quality system. That recycling law is for the primary sector. The Maij committee came up with a kind of dashboard, but that is very similar to what we exchanged here last year. At that time, the Chamber also adopted a motion asking for a circular efficiency indicator at company level. That was a year ago! Now a committee comes up with such a report that it's a little watered down. As far as I am concerned, it is a lost year, because what has happened to that motion that this committee has accepted in its entirety and unanimously? That law will also have to include experimental space, because that is very important. Furthermore, that law will have to clarify what we want with the feed. We have to switch to real recycling within a period of ten years. The chicken sector has already said this and then make sure that you regulate it by law or declare it universally binding, so that everyone is actually involved. This also applies to pigs. The dung. I told you, pee and poop come together, and that cranium emits huge emissions from stables. Eventually, you have to make sure you don't have that anymore. The Minister should therefore be clear and indicate when a residue ban will be imposed. Then all the innovations will come to these new stables and their recognition will be followed very quickly. It's market maturity, but there's got to be a clear signal from the government. The bottom. It is still often practice for maize to be grown on sandy soil. Maize is not recycled feed and those sandy soils are run-off sensitive. It is a bad combination and therefore: Minister, please clarify that this is not the intention. Mr. Chairman. A suggestion. If an entrepreneur is going to invest in a stable for circular agriculture, it would be nice if he doesn't have to buy rights. He does not need animal rights because he has no emissions. That saves a lot of investment. You give that farmer a boost and that way he doesn't have to fill himself with strange money from the bank. Mr President, I see a whole series of interruptions.
ParlaMint-NL_2019-10-09-tweedekamer-8.u51	Are you done with this point?
ParlaMint-NL_2019-10-09-tweedekamer-8.u52	Well, I think this might be a good time.
ParlaMint-NL_2019-10-09-tweedekamer-8.u53	I could just grab a cup of coffee, 'cause you guys can figure out who's interrupting when. Mr. Funtselaar.
ParlaMint-NL_2019-10-09-tweedekamer-8.u54	I would like to have a little more clarity about this circular law, because I have not yet fully understood what to imagine. Are we talking about limiting what can be landed and what can be disposed of from manure on a farm? Is that what I'm supposed to imagine, because it's a little less tangible for me now?
ParlaMint-NL_2019-10-09-tweedekamer-8.u55	The Maij Committee calls for clarity and, above all, for that primary company. Last year, the Chamber said, "Come up with an indicator that will allow a farmer to look at his own business." How efficient am I from a circular perspective? So I'm looking for a way to give that clarity. There are two ways of doing that, and I would like to leave that to the Minister. It can, for example, be fed. That is where the chicken sector itself said: we want to be at 100% recycling by 2030. That's really commendable. In practice, it is easy to make agreements as a representative of the chicken sector, but much more difficult to follow. For example, the Minister could make these agreements generally binding, so that all chicken farmers would also participate. So it doesn't have to be a law in the literal sense, but it differs from one subject to another. As long as there is clarity in the area of feed, manure and soil.
ParlaMint-NL_2019-10-09-tweedekamer-8.u56	Mr De Groot is good at test balloons, but I'm going to give him a service announcement. I do not accept that there will be a ban on fertilizers.
ParlaMint-NL_2019-10-09-tweedekamer-8.u57	I'll take note of that.
ParlaMint-NL_2019-10-09-tweedekamer-8.u58	I think Mr Geurts's clarity is clear. Mr De Groot referred to the report of the Task Force on Earning Power Circulation Agriculture. I went into that in my speech and I concluded that this task force is very far from practical. Now, last week, Mr De Groot launched a huge test balloon, and we are less than a week away or Mr De Groot is in favour of all kinds of bans. In what way does Mr De Groot think he can get farmers and gardeners in a different direction, a direction that we too want, in which there is better use of residues, in which raw materials are handled carefully if I hear him only about prohibitions? In what way does he expect to bring the farmers along?
ParlaMint-NL_2019-10-09-tweedekamer-8.u59	There was no question of a test balloon, because that is the consequence of government policy. We can discuss this again, but I would advise you to read this Minister's note. It is clear: the current system is no longer sustainable and we are eventually going to a system with fewer animals; there is no doubt about that. I would like to say to Mr Geurts that there is another way of dealing with it. It doesn't necessarily have to be a ban. If we can seduce farmers, that is much better, I will also say to Mrs Lodders. But we have to realise together that if we do not achieve this innovation in agriculture and those stables simply continue to emit as much nitrogen, ammonia and methane as they do now, then you have to reduce that agriculture far more than you can imagine now. If you think about it, instead of putting the heels in the sand, we'll get somewhere. It doesn't have to be banned, as long as we get rid of it. Then we can give these farmers a future again. You're not helping the farmers like this.
ParlaMint-NL_2019-10-09-tweedekamer-8.u60	Now my nugget breaks. If we are talking about bans, it is certainly Mr De Groot who I hear here one time after another say the word 'bans'. Seducing begins with changing our regulations so that all those farmers and gardeners can indeed make green fertilizer from the manure from the stables. That is still not settled, I say in the direction of Mr De Groot. Let's start with that! What are all those farmers and gardeners who listen at home and hear you leave another test balloon here?
ParlaMint-NL_2019-10-09-tweedekamer-8.u61	That D66 is serious about taking steps with the sector that provide clarity. It is often said from the point of view of the sector: give us clarity, if necessary in the form of a ban, then at least we know where we stand. It may, once again, be different, but we must stand up for a choice not only to express a beautiful vision, but also to ensure that clarity. You can say whatever you want, but often people find... Look, it's about the innovations that come from back here. You know, and you are always right to be very critical of that whole system of recognising innovations that we have now. You're always very critical about that. When it comes to clarity: then and then we are not going to continue with it, it is very good for the farmers, because it doesn't stink like that anymore. And then there's all these innovations that you've praised for innovations that haven't been around for 30 years, they're gonna come. Then you help each other take steps.
ParlaMint-NL_2019-10-09-tweedekamer-8.u62	I'm rounding up. I thought I was speaking here with Mr De Groot, Mr De Groot, who has a great deal of experience in the sector. He's worked in the sector for years. I really thought Mr De Groot would bring a little more practical experience. How many innovations are there outside this house that can't get through because the legislation blocks it? If we find each other at that point, we can see if we can tempt farmers to go along with us to a different form of agriculture using residuals, fertilisers and dealing with raw materials in a careful way. It starts with seducing farmers, and Mr De Groot does not.
ParlaMint-NL_2019-10-09-tweedekamer-8.u63	I like this. We'll really find each other here, too. All the rules that have been drawn up so far are about a partial aspect on a farm, so that the farmers no longer see the forest through the trees. Some of the rules contradict each other. D66 wants to break those rules, but that can only be done if you are very clear about what is and is not allowed. That is indeed sometimes painful, but that is decided in the consequence of the vision we have set out together. Again, there's definitely talk about the way we're gonna do it, but D66's gonna have to do it.
ParlaMint-NL_2019-10-09-tweedekamer-8.u64	While we're at the interruptions, I thought I'd go too. I am very curious whether Mr De Groot is aware of what he has caused by his firm statements over the last few weeks and also now by the farmers at the table. I'm very curious about that, but that's not my question. If Mr De Groot is so of the tough statements, I have a proposal for financing innovation in the near future. When he joins, he also makes a very tough statement. Shall we raise the prices of airline tickets? This is also an activity that emits a lot. The 250 to 300 million that this brings in, we put into innovation in agriculture. I'm very curious if we can find each other there.
ParlaMint-NL_2019-10-09-tweedekamer-8.u65	A specific question.
ParlaMint-NL_2019-10-09-tweedekamer-8.u66	I think it is a good question, but I would like to comment on the comment. I've noticed that message has arrived hard. It's an uncomfortable truth and a taboo. I started talking to farmers. In that conversation, it was very clear that something like this is coming out loud. In the same conversation, one of the farmers said: it makes sense, we have to go to fewer cattle, we have to halve the livestock. It was funny that they discussed that with each other. That's exactly what needs to be done. The question is, how are we gonna do it? You also have a very creative idea. I can't judge that right now, but I think it's a nice idea. D66 has consistently argued in this cabinet for the firmer pricing of flies and with success. We're going a long way to see you. I also know that my colleague in the financial sector has a great deal of difficulty if we start spending that money on something right away. You can be sure that we will find each other in the firmer pricing of flies.
ParlaMint-NL_2019-10-09-tweedekamer-8.u67	If I file that motion tomorrow, you'll sign with me?
