ParlaMint-NL_2019-12-11-tweedekamer-19.u1	We continue with the VAO Maritime. I would like to give the floor to Mrs Kröger.
ParlaMint-NL_2019-12-11-tweedekamer-19.u12	As far as we are concerned, it is really scandalous how the Netherlands and this minister dealt with the Sea-Watch, while the Netherlands is pursuing an open arms policy. That is why I signed Mrs Kröger's motion with complete conviction. I have also signed a number of motions on a compensation fund and limiting the southern sailing route at the Wadden Islands. That motion will come later from Mrs Van der Graaf. Action is needed to protect nature there and to prevent similar disasters. Finally. The Minister has promised to examine the offer of berths where ships can dock for more than three days. I'm happy about that. I hope that the Minister will soon be able to share this with the Chamber, and that is why I am not tabling a motion on that point. Thank you, Mr. Chairman.
ParlaMint-NL_2019-12-11-tweedekamer-19.u13	Thank you. Mr Dijkstra of the VVD.
ParlaMint-NL_2019-12-11-tweedekamer-19.u14	Mr. Chairman. I said in the debate that I think it would be wonderful to have a small party with this permanent Committee on Infrastructure and Water State when a large cruise ship of up to 200 or 300 metres long with thousands of people on board, comes back to the Dutch drying docks to be repaired. That's why the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that in 2014 the Inspection SZW imposed a fine of almost EUR 1 million on a cruise company for being in a Dutch dry dock with its ship for two weeks and that, according to the Inspection SZW, violations of working time regulations and the employment of foreign workers were committed;]] [[Whereas the imposition of a fine caused a stir and since then international shipping companies have been avoiding Dutch shipyards for this type of large project and this has been going on for five years;]] [[Whereas, until then, major maintenance of international cruise ships has resulted in around EUR 100 million per year;]] [[Whereas this increased maintenance of cruise ships is now taking place abroad;]] [[calls on the Government to put an end to the competitive disadvantage resulting from this fine as soon as possible for the Dutch maritime sector;]] [[calls on the government also to act internationally for the Dutch maritime sector, making it clear that maintenance is an excellent place in the Netherlands,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Remco Dijkstra. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31409-264]]
ParlaMint-NL_2019-12-11-tweedekamer-19.u15	I'll be brief. I am also in favour of a thriving sector when it comes to maintenance, but it is not the case that the offences have been committed: they have been made. They were detected by the inspection and a fine was also paid.
ParlaMint-NL_2019-12-11-tweedekamer-19.u16	That's right, and there's still a lawsuit going on. But I think we share with the PvdA that that fine didn't help get cruise ships here. So we missed about 100 million a year for five years. That's an expensive price to pay for losing a lot of jobs. I hope that we can resolve this, together with the unions, together with the employers and with this minister, who is going to make the Dutch maritime sector big again internationally. Then we can have a drink together if we can.
ParlaMint-NL_2019-12-11-tweedekamer-19.u17	Thank you. I now give the floor to Mr Schonis of D66.
ParlaMint-NL_2019-12-11-tweedekamer-19.u18	Thank you, Mr. Chairman. To speak with Mr Van Gent, who was at a previous VAO, it has been a long day for me too, so I will not table any motions. I have three more questions. Between the AO and this VAO has been for a very short time. Two weeks ago, we exchanged views, but a lot has changed at that time. Today, EU Commissioner Timmermans presented the EU Green Deal. We are very curious how this Green Deal relates to the Green Deal maritime, and whether there are still opportunities for the Minister to get something more out of it for the Netherlands. That's my first question. My second question is a little bit more sustainable. This week the message in NRC was that marine vessels appear to emit much more CO than companies themselves indicate. How's the Minister gonna handle this? This sounded a bit like the new shuffle fraud, a new shuffle dieselgate for sea-going vessels. That does not seem to us to be the point, so this question to the Minister. Finally, a question about the Sea-Watch 3, which is somewhat in line with what has just been said. Sea-Watch has indicated his intention to sail under German flag. Is the Minister prepared to evaluate the progress of the Sea-Watch 3, flagging and in particular the role of the Netherlands in this respect, especially in the light of our open arms policy? As a flag State, we want to serve as a safe haven for ships from ideal organisations. So is the Minister prepared to evaluate that process? Mr. Chairman. I am a very stubborn lawyer, so as I indicated at the AA, I looked at the UNCLOS Convention, the UN Convention. I come with a nice conclusion, but it is up to Mrs Van der Graaf to read a motion to that effect. Thank you.
ParlaMint-NL_2019-12-11-tweedekamer-19.u19	Thank you. Let us now give the floor... Oh, there's another question from Mrs Kröger to you.
ParlaMint-NL_2019-12-11-tweedekamer-19.u20	I think it is an elegant request from Mr Schonis to the Minister to evaluate the departure of Sea-Watch, but I am very curious how he himself would evaluate the role of the Netherlands in this whole process.
ParlaMint-NL_2019-12-11-tweedekamer-19.u21	Are you referring to the role as a flag State? Sea-Watch chooses to flag to Germany. Of course they do for a reason. The reason is that, in the interim, Sea-Watch is subject to technical requirements, which the judge has said are not unreasonable in itself. The time limit within which these requirements had to be met was considered unreasonable by the court. That has led to a discussion with this ship. I don't think that attitude is gonna show you're acting like a good flag state.
ParlaMint-NL_2019-12-11-tweedekamer-19.u22	Thank you. Then Mrs Van der Graaf of the Christian Union.
ParlaMint-NL_2019-12-11-tweedekamer-19.u23	Thank you, Mr. Chairman. Partly on behalf of a number of colleagues I come back to the conclusion of the southern sailing route above the Wadden because of the aftermath with the MSC Zoe. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that a coastal State is empowered, on the basis of the UN Convention on the Law of the Sea, to impose conditions on the passage of ships into its territorial waters on the basis of coastal protection, safety and environmental risks,]] [[noting that in its investigation of the MSC Zoe disaster, the OVV issued an interim warning for sailing with very large ships on the southern navigation route near the Wadden Islands;]] [[Whereas the disaster involving container ship MSC Zoe has caused very significant ecological damage within the Dutch territorial waters;]] [[Whereas the stormy season is imminent and action should be taken as soon as possible in order to ensure safety, viability on the islands and to prevent further damage to the sensitive nature reserve;]] [[Calls on the Government to consider how, as an emergency measure, it can prohibit large container vessels of dimensions similar to those of MSC Zoe from sailing south over the Wadden Islands during a storm and inform the Chamber within two weeks;]] [[calls on the Government to examine the possibilities for permanent closure of the southern navigation route for large container vessels and to inform the Court of Justice thereof,]] [[and goes to the order of the day.]] [[This motion was proposed by Mr Van der Graaf, Mr Schonis, Mr Kröger, Mr Laçin, Mr Gijs van Dijk and Mr Van Esch.]] [[She's getting No. kst-31409-265]]
ParlaMint-NL_2019-12-11-tweedekamer-19.u24	I give the floor to the Minister.
ParlaMint-NL_2019-12-11-tweedekamer-19.u25	Thank you, Mr. Chairman. Eight motions and a number of questions. I shall begin with the questions that have been asked. Mrs Van Esch, as well as Mr Laçin, asked questions about the accident with the couple on the inland waterway ship. I think we're all comfortable with that. Of course, it's terrible what happened to them. Then I'm talking about the rat poison found in the shipment of cattle feed. I was indeed informed of the report on that accident. It is, as I understand it, very serious health damage for the passengers. Of course, we all sympathize with those involved and their families. The use of such means, if necessary, must always be done in a truly safe way. We don't know exactly what happened at the moment. The facts are getting straightened out. Action has been taken and research is being carried out, both by the Inspection SZW and by the ILT. As soon as we have the results of those investigations, I will, of course, share them with your Chamber.
ParlaMint-NL_2019-12-11-tweedekamer-19.u26	I hope that can be done as soon as possible. To correct, phosphine gas is simply forbidden in Europe. Safe application cannot therefore be achieved in Europe.
ParlaMint-NL_2019-12-11-tweedekamer-19.u27	Well, I didn't mean to say that either, but that kind of means of protecting a cargo must indeed be safe. Of course, Mr Laçin is quite right to say that it must comply with our laws and regulations. Mrs Van Esch also asked about the Romanian Minister. Well, did I just... The Commissioner, I mean. I spoke to the Romanian minister in Madrid, but that is something else. I was only able to shake my hand with the Romanian Commissioner at the Transport Council for a very short time and so it did not happen. I don't suppose we'll be able to meet her for Christmas either, but it's on the list for the first quarter. Then, of course, I will raise this issue, as promised. Mr Schonis has asked questions about the European Commission and the European green deal. How does he relate to our green deal? I am actually giving the same answer as in the previous VOC towards Mrs Kröger. Of course, we are going to look precisely and very seriously at all the modalities where it fits or does not. However, in general terms, I think we can do very well with the European Commission, because we are also ambitious in our green deal. I have also had a conversation with him twice before this, for example about shore flow for cruise ships. I have advised him to do so in particular, because of course it would be nicer if this were to happen in a European context, because then we will also be rid of all kinds of state aid issues. Well, that just seemed fine to me. But we will come back to that in detail. The same applies to Mr Schonis' question on CO emissions from maritime transport. This is taking place too far, but we shall come back to that in that context. Then Mr Schonis asked one more question: does the Minister wish to evaluate the Sea-Watch 3 trial? I don't see any reason for that. You indicate, Mr. Schonis, that you wish to reconsider the state of the flag State. I believe that we have done everything that can be expected of a flag State. And that you're making demands on security, I'm still in full support of that. So I see no reason to evaluate this process.
ParlaMint-NL_2019-12-11-tweedekamer-19.u28	In your last sentence, you are actually evaluating it, because you say that I have been allowed to make these demands and I think that I have acted as a good flag State with them.
ParlaMint-NL_2019-12-11-tweedekamer-19.u29	Yes. That is indeed the very brief evaluation.
ParlaMint-NL_2019-12-11-tweedekamer-19.u30	Okay.
ParlaMint-NL_2019-12-11-tweedekamer-19.u31	You're gonna have to do it with that.
ParlaMint-NL_2019-12-11-tweedekamer-19.u32	Yeah, well, that's what I'm gonna have to do. Well, thank you.
ParlaMint-NL_2019-12-11-tweedekamer-19.u33	Then I'll get to the motions, Mr. Chairman. The first motion in part No. 258 is by Mrs Kröger's hand. It invites the Government to set up a compensation fund to finance research and prevention of long-term damage to the Wadden, and to recover the costs for this fund from the shipowner. This motion, I advise against, and that's only because of the word "fund." In the AO I already exchanged with Mrs Kröger that we really do see the importance, otherwise I would not have been in favour of the plastic ball stop to limit the long-term damage and get everything we can. I certainly want stories on the shipowner wherever possible, but it really goes too far to set up a fund.
ParlaMint-NL_2019-12-11-tweedekamer-19.u34	The motion in part No. 258 is not recommended. Mrs. Kröger?
ParlaMint-NL_2019-12-11-tweedekamer-19.u35	"Funds" is a word. It is, of course, about the fact that research will be needed in the coming years and damage will still have to be cleaned up. We're gonna have that plastic ball stop now, but if a real plan of action comes out of it, there's gonna be a cost. Anyone who investigates or eliminates this plastic damage must know that these costs can be incurred and ultimately tried to be recovered from the shipowner. There will have to be some comfort in it, whether it's in a fund or in a guarantee or something else. It's about the signal being sent out. For small nature or environmental organisations or municipalities it is now really a lot of money.
ParlaMint-NL_2019-12-11-tweedekamer-19.u36	Could we then agree with Mrs Kröger that we should talk to all those involved to see how we could finance those costs for the investigations? Well, let's get back to that. I'm really interested in setting up a fund. You know what kind of situation I have to deal with with the Minister of Finance. It is not easy to set up a fund. That's where it really is. I would also like to ensure that we are able to carry out these studies and that we map the long-term well. If that's the way we can get together, I'd be happy to do it.
ParlaMint-NL_2019-12-11-tweedekamer-19.u37	I'm hearing a handout from the Secretary of State. I think the advice will then be to hold the motion.
ParlaMint-NL_2019-12-11-tweedekamer-19.u38	Yeah, or you're gonna have to get the word "fund" out somehow.
ParlaMint-NL_2019-12-11-tweedekamer-19.u39	I'm not much in favour of negotiating motions on the interrupt microphone. The motion will be dissuaded if you submit it in this manner, but you will also receive a handout.
ParlaMint-NL_2019-12-11-tweedekamer-19.u40	I hear the hand-off. I can see what the minister's running into. I'm gonna find a solution to this, and I'm gonna hold the motion for now.
ParlaMint-NL_2019-12-11-tweedekamer-19.u41	At the request of Mrs Kröger, I propose her motion (11409, No. 258). That is what is decided.
ParlaMint-NL_2019-12-11-tweedekamer-19.u42	Motion in part No. 259 is about shaping the open arms policy in such a way that NGOs with humanitarian missions feel welcome and are actively supported. I'd advise against that motion, because it's unnecessary. We're already doing that and we're going to keep doing that.
ParlaMint-NL_2019-12-11-tweedekamer-19.u43	Motion in part No. 259 is not recommended. Mrs Kröger, may I ask you to be very brief in your response?
ParlaMint-NL_2019-12-11-tweedekamer-19.u44	I'm sure you can ask. I did not respond to the Minister's reply to Mr Schonis' question on an evaluation, but I find it very difficult for the Minister to discourage this motion because she does not recognise that Sea-Watch was obstructed in the work. The Netherlands has not been a flag State for the work of this organisation. The Minister does not want to acknowledge that and now advises against this motion, but I hope that she will stand firm in the future if ideal organisations are obstructed in their work by other countries in this way.
ParlaMint-NL_2019-12-11-tweedekamer-19.u45	Then I'm going to fall into repetition of what I indicated during the AO. The Dutch flag State shall treat each vessel registered in the register equally. This has also happened in this case.
ParlaMint-NL_2019-12-11-tweedekamer-19.u46	Mr. Laçin, we're not going to do the debate again. I have reason to believe that you agree with Mrs Kröger. Or do you have another comment?
ParlaMint-NL_2019-12-11-tweedekamer-19.u47	I agree with Mrs Kröger, but I have another comment. The Minister says that everything has been done, that the open arms policy is in place and that the motion is superfluous. I would like to make two observations. The judge in the Netherlands said that the safety requirements set by the Minister are subordinate to the mission being carried out by Sea-Watch. That's one. The second is that WOB requests have shown that the main reason for this requirement was not security, but simply obstructing the migration process. That has been established twice: in WOB requests and by the judge. On the basis of these two comments, I should like to hear from this Minister whether she thinks this is appropriate to the open-arm policy that the Netherlands should pursue.
ParlaMint-NL_2019-12-11-tweedekamer-19.u48	I distance myself from Mr Laçin's two conclusions. It wasn't determined that way by the judge. Our security requirements have just been maintained in court. Only a little extra time has been given to the ship in question to comply with it. Such judgments have not been delivered in any way. With regard to the WOB request, you also draw a different conclusion than I do.
ParlaMint-NL_2019-12-11-tweedekamer-19.u49	I have a point of order, Mr President.
ParlaMint-NL_2019-12-11-tweedekamer-19.u50	Mr. Laçin, it's 10:40 p.m. This is a VAO. We're not going to do the debate again. I can now give you the floor again so that you can repeat your point.
ParlaMint-NL_2019-12-11-tweedekamer-19.u51	I would like to make a point of order, Mr President. These aren't my conclusions, they're the judge's conclusions and literally from the WOB request. The Minister can't put that in my mouth. It is two conclusions that stand in black and white. I can't take it. Those are just facts.
ParlaMint-NL_2019-12-11-tweedekamer-19.u52	Thank you.
ParlaMint-NL_2019-12-11-tweedekamer-19.u53	I'm not denying anything that's written in black and white somewhere. You draw conclusions and I do not share them.
ParlaMint-NL_2019-12-11-tweedekamer-19.u54	The motion in part No. 260.
ParlaMint-NL_2019-12-11-tweedekamer-19.u55	Then I come to the motion on part No. 260. It's Mrs. Postma's hand. It is about a completely different subject, namely how to reduce the nitrogen deposition of shipping. The motion calls for the most important consideration to be given to changing the speed of sailing and changing the routing of ships. That motion I can give judgment Chamber. I also think it would be a good idea to refer to the Commissioner to look beyond CO and to certainly bring nitrogen with him.
ParlaMint-NL_2019-12-11-tweedekamer-19.u56	The motion in part No. 260 gets judgment, Room. The motion in part No. 261.
ParlaMint-NL_2019-12-11-tweedekamer-19.u57	Then the motion to part No. 261 by Mrs Van Esch. It invites the Government to monitor whether there is an increase in sailing degassing in the designated areas and, if so, to reconsider the introduction of an early national ban. If I could do that sooner, I'd definitely do it. But it can't be, because that's exactly what the legal basis is for. So I'm not suggesting this motion.
ParlaMint-NL_2019-12-11-tweedekamer-19.u58	The motion in part No. 261 is not recommended. Mrs. Van Esch had another motion.
ParlaMint-NL_2019-12-11-tweedekamer-19.u59	Yeah, that's the motion in part no. 262. I understand that Mrs Van Esch and Mr Wassenberg would very much like to remain on top of this. It is about the negotiations that are being conducted with MSC Zoe. We're doing these negotiations with the help of the state's attorney. So we do that very carefully. It is in the interests of the State and other parties to maintain the negotiating position as strong as possible. That goes with discretion and secrecy. Of course, I will answer for this afterwards, as a minister should. Once again, I am absolutely motivated to get the last euro from the causer, as far as we can. I indicated this in the direction of Mr Van Dijk and Mr Laçin.
ParlaMint-NL_2019-12-11-tweedekamer-19.u60	For the sake of clarity, what judgment does the motion receive in part No. 262?
ParlaMint-NL_2019-12-11-tweedekamer-19.u61	Dissuade.
ParlaMint-NL_2019-12-11-tweedekamer-19.u62	Dissuade judgment. Then the motion to part No. 263.
ParlaMint-NL_2019-12-11-tweedekamer-19.u63	For the motion in part No. The same applies to 263 of Mr Laçin. It calls on the government to make every effort to bring into force a national ban on degassing by 1 July 2020. I am dependent on the other Member States for ratification. So I'm afraid I can't do that sooner.
ParlaMint-NL_2019-12-11-tweedekamer-19.u64	The motion in part No. 263 is not recommended. Mr Schonis has a question.
ParlaMint-NL_2019-12-11-tweedekamer-19.u65	I could have just put it to Mrs Van Esch's motion on the same subject. I was one of the statesmen who voted in favour of the ban in Zeeland. So I was somewhat familiar with the subject matter. In 2018, the story was that the ban could be introduced on 1 January 2019. Then it became January 1, 2020. The SP now requests 1 July 2020. I don't think that's very unreasonable. We can keep going. You are awaiting ratification of Germany. Can you not just let the ban enter into force now, in anticipation of ratification? It's not like we don't know this is coming.
ParlaMint-NL_2019-12-11-tweedekamer-19.u66	No, that's not the point. The Netherlands also meets its obligations in time. I cannot, of course, force other countries to ratify this as soon as possible. That's what I'm after. That's what I'm talking about. But I can't force it one-on-one. So if they don't ratify it, we do have a problem. But I am very willing to make this point to you earlier, for example, when we organise the Rhine Commission in the Netherlands, and to talk to colleagues about it.
ParlaMint-NL_2019-12-11-tweedekamer-19.u67	Mr. Laçin, your motion to part No. 263 is not recommended.
ParlaMint-NL_2019-12-11-tweedekamer-19.u68	I have a question about what the Minister says: if other countries do not ratify, we have a problem. We've already banned provincial law, and it's already being enforced here and there when it happens in the act. What does that mean for a national ban? If Germany does not ratify, does that mean that we will never be able to impose a national ban in the Netherlands on degassing sailors? I do not think it is possible for that to be the case, but it is what the Minister says, so please respond.
ParlaMint-NL_2019-12-11-tweedekamer-19.u69	It is in fact a treaty that only applies when all the States of the Treaty have ratified it. The Ship Waste Convention enters into force six months after ratification by the last State. Again, I really don't think there are any countries that want to interfere with this. It is simply a matter of keeping the pace and I will certainly insist on it, so that they will ratify it as soon as possible after we have done it.
ParlaMint-NL_2019-12-11-tweedekamer-19.u70	The motion in part No. 264.
ParlaMint-NL_2019-12-11-tweedekamer-19.u71	The motion in part No. 264 is Mr Dijkstra's cruise motion. It asks the government to stand up internationally for the Dutch maritime sector, making it clear that maintenance is an excellent place in the Netherlands. I can wholeheartedly give them "judge chamber."
ParlaMint-NL_2019-12-11-tweedekamer-19.u72	The motion in part No. 264 gets "judgment chamber." Finally, the motion in part No. 265.
ParlaMint-NL_2019-12-11-tweedekamer-19.u73	The motion in part No. I find 265 by Mrs Van der Graaf very sympathetic. However, I would like to ask Mrs Van der Graaf to keep it, because of course I have already followed the instructions of the OVV in relation to the warning. I also asked the OVV: should I close that route now, even for this kind of circumstance? I have been told: no, we advise you to make this warning now. So I really do not want to anticipate that, because I must also be able to argue that something is proportional. So I would really like to ask Mrs Van der Graaf to hold the motion until we have the OVV investigation. Of course, if there is any reason to do so, I will be happy to do so as soon as possible. I have also promised you during the debate that you will be able to identify and let you know what is needed and what we will have to do. But right now, if Mrs. Van der Graaf isn't holding her, I have to dissuade her.
ParlaMint-NL_2019-12-11-tweedekamer-19.u74	In the debate we have indeed tasted that the Minister says: I am following the OVV. But the Minister also noticed that the Chamber asked for a map of the possibilities. Can we not, with storms coming and the OVV warnings in mind, take a measure? That is actually what this motion calls for, at least to see it, and also to examine the possibilities of permanently closing it down. I don't think it bites each other.
ParlaMint-NL_2019-12-11-tweedekamer-19.u75	So you're putting the motion to the vote? And then this motion gets dissuaded from judgment.
ParlaMint-NL_2019-12-11-tweedekamer-19.u76	Yeah, I'm not gonna hold her.
ParlaMint-NL_2019-12-11-tweedekamer-19.u77	Mr President, I know you are not one of them, but may I make a suggestion to Mrs Van der Graaf? Because about the second part, which calls for possibilities to be explored, I actually promised to do so during the AO. My point is actually with the request for it, because there you say: ask the government to see how it would do that. If you make "how" "or" out of it, I could use it. Because I don't want to say in advance that we are going to do that.
ParlaMint-NL_2019-12-11-tweedekamer-19.u78	The text proposal is to change "how" to "or."
ParlaMint-NL_2019-12-11-tweedekamer-19.u79	Actually, this is the core. It is a question of taking the measure, if it is possible.
ParlaMint-NL_2019-12-11-tweedekamer-19.u80	So you hold on to the operative part as it is now formulated. Then the motion will be denied judgment.
ParlaMint-NL_2019-12-11-tweedekamer-19.u81	Dissuade. Mr. Chairman. That's it.
ParlaMint-NL_2019-12-11-tweedekamer-19.u82	This brings us to the end of this VAO.
