ParlaMint-NL_2019-12-11-tweedekamer-7.u1	I'm suspending the meeting for a minute and a half.
ParlaMint-NL_2019-12-11-tweedekamer-7.u26	Mr. Chairman. Then there are two important conditions for internationalisation to be genuinely of added value. The first is that training in internationalisation needs to be properly thought through. Putting a group of Dutch students in a lecture room with a group of international students, after which everyone will visit each other during the break and speak their own language: that should not be the intention. The examples and cases used must also be international. We need to work actively to create interaction between Dutch and international students. International students should be able to count on fair information and assistance in finding a student room. So much more is needed to make the international classroom truly a success. The Interstedelijk Studenten Overleg asked for attention on this subject, for bilingual communication from DUO, from institutions and from the municipalities. Does the Minister see an opportunity to work on this in consultation with DUO, the institutions and the municipalities, so that these international students are better informed? They also said that these introduction weeks are often separate now. There is a separate introduction week for international students. I have also often heard that they are their own communities and that they are staying in other places, so there is actually very little contact between them. No matter how open the Netherlands as a society is, we may not be the people who make sure that you have international contact when you put international students together. Whatever goes with it is the opportunity to participate fully in participation within an institution. The question to the Minister is what opportunities she sees for doing something about this. Then there is my second point. We must also actively do our best to keep those students here. I just had a disagreement with colleagues Van der Molen and Wiersma, but what I think we agree on is that if international students come here, they will be much more useful to us if they stay here than if they leave soon. They're our best ambassadors abroad. Given the shortage of people in the Netherlands, we also need them very much. From teachers to programmers, every talent counts. They often manage to hold them. That's what the CPB of the summer showed. But there's a lot more to that. From 2013 to 2016, universities, colleges, student organisations and municipalities worked together with Nuffic in the Make it in the Netherlands programme. That programme has received a positive evaluation. Colleagues Özdil and Tielen have drawn attention to this earlier. The programme is over, but the task of keeping as many students as possible after completing their studies in the Netherlands is not yet complete. How do we ensure that internationalisation really leads to quality in education? And in what way does the Minister now work on increasing the stay rate, the residence rate, of international students? Are municipalities, student organisations, universities and colleges involved in this? Mr. Chairman. I have another point. We're going to make institutional tuition the minimum for students from outside the European Economic Area. That's fine. We can imagine simply saying that the cost is the minimum, not the tax money. But it also means that many institutions will get much more than that cost. Then we think it is very important that this revenue should go to education and research, or possibly to help these kinds of students. Now there are safeguards for that in itself. It is not for nothing that students also have approval in their institution's budget. However, I would like to ask the Minister to monitor carefully that, if very high tuition fees are charged for non-EEA students, the proceeds do indeed end up in the place where they are to end up, namely in broad education and research. Mr. Chairman. I have another point about internationalisation. That's the Brexit. Science has always been international. Ideas must have a free flow, flow for the benefit of all of us. We are increasingly seeing, in the developments in the world, that countries are turning their backs on each other. Horizon is indispensable for cooperation in the European Union. The special thing is that it is one of the most popular research programs in the world. From Canada to Japan, they knock on the door in Brussels to join. But one concern is also that there are countries in Europe that say that we should no longer set up this programme on the basis of excellence, but that we should look at a kind of division between Europe, also called wideening participation. My question is what the future of this is. What does the Council's playing field look like? Could the Royal Netherlands Academy of Sciences have a role to play in getting European countries in which the ecosystem for research is still under construction and ensuring that excellence is also an advantage for them? Then the Brexit. For scientists in the UK, the Brexit is a disaster. 95% of them voted against the Brexit for a reason. 11,000 people have already left British universities. That's a fact. That's what we're dealing with. But we also see that there are countries such as France and Germany after France and Germany, we are the largest partner of the British in research programmes that are committed to bringing British researchers who want to get away to their countries. Berlin universities have adopted the University of Oxford. From Munich, they did the same thing to Cambridge. Emmanuel Macron presents his country as the best alternative to London. The question is, what do we do? There's a nice network: Dutch Academics. This was started at the Dutch embassy for Dutch researchers in the UK, some of whom might want to go back. But there are perhaps many more researchers and teachers in the UK, whether they are from England or other European countries, who think: I do not want to stay here any longer. That is one aspect. My question is what we can do for them. In addition, of course, we want to maintain these links with the United Kingdom as well as possible, because after France and Germany, the Netherlands has the most joint research programmes and perhaps relatively most of Europe at all. These are people who are working on curing diseases and people who are working on new linguistic research. There are a lot of universities in the Netherlands that have a profile that fits very well with universities in the Russell Group. Maastricht University has created a kind of virtual institution in the North Sea with the University of York, in which you with mutual appointments ensure that you have access to each other and more student exchange is possible and that there is also the possibility to apply for research money in England and vice versa. Should we not get that much more and will the Minister, together with the Association of Universities, look at how we can contribute to the creation of many more such partnerships? Otherwise, I know that Germany and France will have made a lot of universities before it goes further in the Netherlands than in Maastricht alone.
ParlaMint-NL_2019-12-11-tweedekamer-7.u27	We have very good universities in the Netherlands, but we are not in the top twenty yet. It starts with ambition. At the same time, we do see a number of institutions from England that are in it. It would be very nice to succeed in bringing these institutions closer to the Netherlands. So I like this plea, but at the same time there are more institutions outside England and the rest of the world which I would also find interesting that the Netherlands is seeking more cooperation with and even opening up its own system in the Netherlands to such institutions. Does Mr Paternotte agree with me that this would be a good idea to include?
ParlaMint-NL_2019-12-11-tweedekamer-7.u28	The answer is yes. I think that the Brexit is now a very topical urgency because the universities there are very much concerned about access to Europe and therefore really open to much closer cooperation than they are to date. In general, I do agree with you. There are a lot of universities in the rest of the world that have that top level and in many cases also fit very well in terms of profile. So I think this is a very nice call.
ParlaMint-NL_2019-12-11-tweedekamer-7.u29	You will continue your speech.
ParlaMint-NL_2019-12-11-tweedekamer-7.u30	Which brings me to the language section. Engelsing has been a hot topic in recent years. Here too, it is important that the choice of language is proven with added value and that it is thought through. That is why it is also right that a test should be carried out from now on and that we should also look at courses already given in English or that added value exists. If you have considered such a language choice and there is added value, it is absolutely not a problem for us, but we must protect Dutch. The Minister strengthens the maintenance obligation of colleges and universities to maintain the Dutch language skills of Dutch students. Those requirements shall be developed in a general measure of governance. We are concerned that this should not lead to subjects of Dutch or additional language tests. We receive calls from concerned training coordinators that they do not want compulsory Dutch language courses for international students to be included in curricula. It is desirable that international students, if they so wish, should have the opportunity to learn Dutch. So can the Minister outline what her intentions are now for the general measure of governance? Is it true that this is a maintenance obligation for Dutch students and not compulsory lessons for international students? Then English-speaking education. There are plenty of training courses that it is obvious that they should be English speaking, for example if the field of work is English speaking. I am thinking of hotel schools in Leeuwarden, The Hague and Amsterdam, hotel management in Breda or electrical engineering at TU Delft. Courses on which it depends on each case are of course also available, such as public administration or pedagogy. There are plenty of opportunities for situations where international students already have the opportunity to learn Dutch. I recently had a very nice conversation at Maastricht University with Canadian, Iranian and German students, half of whom now spoke quite Dutch and the other half said that this was just too big a threshold for them. Then academic English, because part of the discussion about englishing was also about the accessibility of education for Dutch students. It is sometimes warned that teachers would speak too much broken English. It has been said: broken English is the language of science. The fact is that there are quite a few students who do a full Dutch bachelor's degree, while most masters are English-speaking and they, after working alone in Dutch for a few years, suddenly have to do the most important and difficult part of their study completely in that other language. If three quarters of the master's programmes are English, you get that effect. From the point of view of accessibility, we therefore wonder whether it is not necessary for every student at least to have the opportunity to develop his English during the Bachelor's phase. Does the Minister share this vision with me? And does the Minister have any idea how many universities and colleges have such an offer at the moment? Mr. Chairman. Then the final part: accessibility. This, of course, particularly affects the consent requirement for the numerus fixus. We believe that this is a necessary measure. The numerus fixus is not intended as a shortcut to enable selection at the gate, but is only intended for if there is a real lack of capacity or if the labour market is clearly saturated. Then a limit may be set. We have a joint responsibility to give each student the chance to make the most of himself. This also means that, where we cannot do so and where we must refuse students at the door, we have a joint responsibility to see if we can't achieve any more places, especially if that demand on the labour market is there for that training. Mr. Chairman. With the consent requirement, you can see that the deadlines are on the long side. The application must be submitted by 1 July at the latest, while institutions officially know on 1 October how many students there are. Now I can imagine that training on 1 July will in principle also have sufficient information, but I also want to prevent institutions from applying for numeri fili as a precautionary measure. That is why we also find the VVD's amendment to provide an emergency response to emergencies interesting, but the question is: how often is the numerus fixus currently requested from the Ministry? Are there any options to move the deadline for an application to October 1st? And is the amendment that the VVD offered as an emergency solution feasible? Mr. Chairman. This law is called "language and accessibility."
ParlaMint-NL_2019-12-11-tweedekamer-7.u31	There is a question from Mr Wiersma. Go ahead, Mr. Wiersma.
ParlaMint-NL_2019-12-11-tweedekamer-7.u32	I was just getting the positive response of D66 to my amendment.
ParlaMint-NL_2019-12-11-tweedekamer-7.u33	But I see you've recovered from it quickly.
ParlaMint-NL_2019-12-11-tweedekamer-7.u34	Sure. That's what's happening to me very quickly. I also have a critical note. It's about the consent requirement. The Council of State says quite firmly that there is no need to do so, because there is no reason to assume that institutions set up a capacity standard without good grounds. This is serious, because this is how we put the minister in the chair of the education director. That's what institutions say. You must have a very good reason to do so. I would therefore like to hear an explanation from Mr Paternotte as to why he sees this need so hard.
ParlaMint-NL_2019-12-11-tweedekamer-7.u35	Well, I can see that with the effect that selection has. That's why we think your selection should be avoided as much as possible. The effect of this is quite significant for students. The winner of last year's thesis prize of the LSVb and ScienceGuide was a research project at Utrecht University which examined how selection requirements were formulated by programmes. She found out that respondents often say that there is arbitrariness or that there is a very short-term definition of selection requirements. One doesn't really know exactly what effects they have either. "We have a lot of work to do, but I don't really believe in it myself," says a responder, for example. An important conclusion from the research is that selection requirements must be linked to the specific educational vision and the final terms of the training. It is a somewhat longer answer, but I think Mr Wiersma is right to ask, because you must have a good reason. I also look at the effect it has on students. You can see that selection is not only selection, but also self-selection. There are students, especially from the first generation, who think: I probably won't make that selection. This makes student populations more homogeneous. This would reduce equal opportunities. In my view, then, we really have a duty to ensure that selection is used only if there is no other way: if there is a lack of capacity or if the labour market is otherwise fully saturated. That is why I think it is legitimate to use such a heavy substance as the consent requirement.
ParlaMint-NL_2019-12-11-tweedekamer-7.u36	In conclusion, Mr Wiersma.
ParlaMint-NL_2019-12-11-tweedekamer-7.u37	I'm wondering. I understand your arguments about selection. I'm in there a little different than D66. However, then there is still the question I asked: are these institutions not able to make that assessment themselves? So you don't actually trust them? The Council of State also says: it is only a question of whether the Minister is in the right position to really assess the need for a fixus. You are actually saying that you trust the minister rather than education, when education says the right thing: trust us and give us that space. You won't. You're not gonna stand next to education, you're gonna stand opposite. Then you must have some good arguments. And I sympathize with the need to secure something, but I am not yet convinced that these institutions could not do that properly themselves. So are you also thinking of other ways of achieving that same guarantee?
ParlaMint-NL_2019-12-11-tweedekamer-7.u38	In itself, it is very good to hear that the VVD expresses confidence in education and the institutions. Of course, we're gonna use that more often. I believe that the development of the binding study opinion is a good example of this. I've been talking to a lot of people about that lately. You can see it's used more often. In some universities it has become a kind of point standard or selection after the gate. What's the effect of that? Of course, it sometimes means that students have a stronger motivation; I believe that too. But there are also a lot of students for whom things are different. I am thinking, for example, of the first generation. You don't have any brothers, sisters or parents who've also been running around in college or college. You're the first. You're in a different town sometimes. If you don't get all your points in the first year, because that's the case with some institutions, it's also done. For students of the second or third generation, it is easier to study in another city, but this is often not the case for them. Then I'm thinking, does that contribute to equal opportunities? No. That's what we need to worry about. We need to see how we can better guarantee equal opportunities. Selection should not become a shortcut to make a training exclusive. So it really only applies if capacity is not there otherwise or if labour market demand is not there. Mr. Chairman. I have said a number of things about accessibility. I'll see if I have any more questions. I think it is important to ensure that the selection requirements, if you use them, are in line with the training in question as much as possible. I have therefore tabled an amendment to include the selection criteria in the OER of the training, rather than in a general scheme applicable to the entire university, so that the selection requirements are formulated by the training that the selection applies. I would like to receive a response from the Minister, but an amendment usually takes its own course. I hope that we will continue the debate on internationalisation. We have been doing this for 400 years and I think we will continue to do so for a very long time, because it suits the Netherlands.
ParlaMint-NL_2019-12-11-tweedekamer-7.u39	Thank you very much for your input, Mr. Paternotte. I am happy to give the floor to Mr Wiersma. Mr Wiersma speaks on behalf of the VVD Group. Go ahead.
ParlaMint-NL_2019-12-11-tweedekamer-7.u40	Thank you, Madam President. Where a small country can be big. The Netherlands is that small country, but because of our open economy and our international connections we are a global player in many areas. We sometimes forget, but we are in the top five of the world's largest exporting countries. We earn most of our economy beyond our borders. Internationally highly regarded education and research are therefore crucial, both to get the most out of our own people and to bind talent to the Netherlands. The Netherlands is the country to be, when it comes to knowledge acquisition, development and knowledge transfer. Look at the facts. We have fantastic research institutes that do hugely important research around the world, such as nanotechnology or cancer, you name it; the examples can't be counted on a few hands. We have fantastic innovative courses that attract talent from all over the world and bring their knowledge to other parts of the world to make the world more beautiful. Look at Wageningen, with everything we do about agriculture and food technology. Look at Delft, with everything we do on space technology. Look at all these colleges, setting up nice exchange programs. That is the value of internationalisation. Then we are also the country where most people speak English best and where we speak 3.2 languages on average. The Netherlands therefore has a very good starting position for further internationalisation. And internationalisation, if you want to prepare students for the future, because the world is changing rapidly and the labour market is becoming increasingly international. Students from today have to work for at least 40 years, perhaps much longer, and then that international world might be much closer than it is now. Internationalisation must also be done if we want to remain that top exporting country, if we want to make our money across the border. Most of what we earn comes from across the border, too. Then we speak our languages. Then we have the most and the best innovation. Then we have the best colleges and universities. That's the ambition. We share this ambition with the Minister. Of course, this ambition in such a bill does not come to full maturity. I understand that, but we share the place where we want to get out. Only on the route there are some bumps and we don't quite share them. First of all, I have a somewhat general question in a broader picture. Then I come to language, then to accessibility, and finally I have a few small points. I'll start with the general picture. There are two key advisors of the cabinet who are nuanced in the discussion, but who are also critical. The Council of State says that you have to look at the link between funding, language policy and internationalisation, because they relate to each other. We are taking up part of that challenge in this bill, but I would like the Minister to reflect on what the Council of State says about it and where this fits in with the steps that she has left in her agenda for the coming period. The ESC, another important body, says that it is important that the international role of our higher education is not ignored, but strengthened and improved. That is support, but at the same time there is the nuance: it is important that the added value of internationalisation should be given more scope, but you should also pay attention to the negative aspects, such as increasing the workload. You must also dare to make choices for students who are particularly needed in our labour market. I'd like a reflection on how the Minister looks at that. I will start with the bad news, because the proposal is also a missed opportunity. The Netherlands benefits from international talent in every possible way, but at the moment there is no real strategy that guides proactive recruitment of knowledge and talent, but also offers opportunities to steer the influx, so that quality, capacity and workload are mainly safeguarded. That's what institutions are calling for. Several committees have already provided input to the internet consultation. Part of the Minister's position is to ignore it. Indeed, she received a motion from VVD and CDA on this matter last week. I am very curious to see how the Minister intends to implement this. There are also examples of countries that do: Canada, Denmark, the United Kingdom. There are two sides to it: instruments to control the influx, but also and above all making the Netherlands attractive abroad, so that people want to come here. This is essential in the context of the future earning capacity of the Netherlands. But then we must also pay attention to all the facilities that are under pressure: housing and other facilities, such as international schools, for example. Do we have enough of that? I see that the Minister is on the agenda for higher education. Now we have some things to fill in. I would like to give the Minister a first answer to that hook and ask her to speed it up. Attention to housing is one aspect. I also mention the facilities. But also: can we not give a place even more explicitly in trade missions talent? Can we not put universities and colleges on the agenda even more explicitly and with even more enthusiasm from OCW? Can we even set up specific talent missions where we need very specific knowledge? Maybe we want to tighten up our ties in certain countries. Can we make real talent deals with more countries? We then come to agreements with these countries on the basis of reciprocity. Now it's true that when you want to come here as a Chinese student, you need a Nuffic certificate. Actually, that's kind of a check on your diplomas. Is your grade list correct? And you name it. It would be interesting to use that as a means of extending the agreements on the basis of reciprocity. Can we meet security guards with the Chinese, too? Last week there was a Chinese scientist in a somewhat suspicious situation with blood samples from Uighurs. Questions have been asked about this too. These are situations that you want to tackle and which you also want to make agreements with each other with these countries. So the question is: would the Minister also like to examine security safeguards in the agreements with China?
ParlaMint-NL_2019-12-11-tweedekamer-7.u41	Mr Wiersma refers to the work that Nuffic does in China when it comes to all the papers and diplomas they have to look at. I think that fits in with what Mr Wiersma and I want, namely that you are also trying to steer qualitatively on the influx into the Netherlands. At the same time, the Minister also proposed to see if we could organise these offices in a very different way at embassies, which Nuffic himself says is being lost quite a lot. Let me take a look at that point you mention. Then how do you look at the Minister's intention when it comes to Nuffic's offices?
ParlaMint-NL_2019-12-11-tweedekamer-7.u42	That is a very good point and it was also in my text. To be specific, I would like to make a commitment on this point that we should first carry out the evaluation of these offices in an orderly manner, so that we can also look at what we need to guarantee. What might be lost and how are we going to do it? I think it's a good thing we're gonna get more attention to that in the embassies. At the same time, the same embassies say: because we have that network now, we can do it well. If that's suddenly gone from one day to the next, I'm not sure we're gonna get it right. There has been a very nice mission to Indonesia. There's a really big office there. That's where they work very well with the embassy. So I think you should do that nicely. I think this is a little too soon. So I'd say do an evaluation first. See what you want to keep and where the networks can or can't play a role. Bail then, and convince me, that the embassies are going to be able to take over that well. I'm not sure yet.
ParlaMint-NL_2019-12-11-tweedekamer-7.u43	I don't know about that last one either. I am quite convinced that a lot of embassies, especially in terms of knowledge diplomacy, are doing a very good job. However, I welcome Mr Wiersma's reply, which requires a thorough assessment. So thank you for turning that in, because the CDA can go along with that.
ParlaMint-NL_2019-12-11-tweedekamer-7.u44	Looks like it's a done job, but it wasn't. But you don't believe that anymore. I'd have had the talent deals. We are also curious about the Minister's plans for the stay rate. Mr Paternotte was actually asking about it. A motion was tabled earlier by Mr Özdil and my colleague Tielen on that programme'make it in the Netherlands'. At that time, the request was to come up with a follow-up programme with Economic Affairs, BZK and SZW, in order to improve the recruitment and bonding of international talent. The motion was from July 2018. Then I wonder what happened to that. It would be very good to have that programme now, without having to draw attention to it again. So what happened to that motion? How is it implemented and how is the Chamber informed? That stay rate is important, because in large, important companies such as ASML, the influx is sometimes one-on-one. A lot of people are coming, but a lot of people are leaving. That does not always have to be bad, but in many cases it is a sin: a waste of what we could have gained from that talent, but also a waste of the investments that we or those companies have made in that talent. Mr. Chairman. Finally, I come to the same point as Mr Paternotte, namely international cooperation. How beautiful it would be... We may not succeed in getting all kinds of Dutch universities in the top twenty or in getting into the top ten of the colleges, but we can succeed in making it more attractive for very good colleges and universities worldwide to come to the Netherlands. We can open up our current system to this and also give them the opportunity to offer their education here. I would ask you to explore that further.
ParlaMint-NL_2019-12-11-tweedekamer-7.u45	A question from Mr Paternotte.
ParlaMint-NL_2019-12-11-tweedekamer-7.u46	I support that plea. Because of course we are also talking about accessibility here, I was wondering if we are looking at this in the same way. Indeed, there are universities that offer even higher levels, whether you're talking about the Massachusetts Institute of Technology or a university like Oxford. But a great disadvantage of these institutions is often that you can only go there if you either bring a lot of money, or happen to be such an exceptional talent that you can get that scholarship to avoid that system. While in the Netherlands it is sometimes referred to as "a plateau" universities that are indeed in the world summit and almost all in the top 100, but are nevertheless accessible to every Dutchman who can handle that level. Would you like to retain the accessibility that we have in the Netherlands if you said it would be nice if we had even more in the top?
