ParlaMint-HR_2014-07-02-0.u77771	I swear.
ParlaMint-HR_2014-07-02-0.u82009	So what you're saying, thank you very much, Mr. President, Your Honor, is what you're saying about some sort of numbering that might have been done in the past, maybe, I'm not saying anything. I'm just saying that in 2011, when you left the deficit as much as you left, then when EUROSTAT came, it wasn't so much a deficit, it was that the deficit wasn't 15 but 27 billion. So the same thing in this deficit is a unique methodology, not our accounting one, but the one that confirms EUROSTAT. We are now a member of the European Union, all of these figures reviewed by EUROSTAT and you know very clearly that we are in the excessive deficit procedure, very clearly numbers are known and publicly published in European reports. And the numbering is in 2011. For years, the deficit of 15 billion and when EUROSTAT comes, says gentlemen, it wasn't your deficit of 15, but it was your deficit of 27 billion.
ParlaMint-HR_2014-07-02-0.u82010	A respected representative of Dujomir Marasovic replica.
ParlaMint-HR_2014-07-02-0.u82011	Dear Mr. President, Mr. Minister, I've somehow counted more than half your exposure time you've spent on exposure to fiscalization. You don't ask me, what is fiscalization? It's for, it's not for you, Mr. Minister. It's for the officials of the third echelon. It was me in Banja Luka five, six years ago in a bar, everything was fiscalized, nothing we invented there. And don't think that this increased income from fiscalization, don't let it keep you convinced that you said that there was no consumption in Croatia. That's what people pay as soon as they don't pay, and spending in Croatia has fallen because the people are poor. But what I want to tell you, Mr. Minister, is what you didn't say, the Croatian budget broke. Former Minister Linic and you are now going to New York every month to borrow money. And if it wasn't for the checks, it would have taken a boat of money, it would have gone across the ocean. We've fallen apart, we don't function as a state, the deficit is so much that nobody can take it anymore. You didn't do anything to get state finances in line. And don't brag about anything. I like a good mood even in Parliament, but this is the mood to cry. And you were supposed to be crying out about our budget today, not with a smile. Thank you.
ParlaMint-HR_2014-07-02-0.u82012	The reply to the replica, the respected Minister Boris Lalovec.
ParlaMint-HR_2014-07-02-0.u82013	Thank you very much, Mr. President. Your Honor, why was I talking about fiscalization? Just to show you about introducing order and in a fair game that you've had a chance all these years to introduce a fair and fair game among entrepreneurs. If you had that and had the strength, had the courage, had the instrument that you introduced it from 2004 to 2008 probably wouldn't have been so much. Why are we talking about this? Because in Europe, we are recognised for making one of the best instruments and the best measures for impact and fair match among entrepreneurs. We can talk about a deficit like this or one. And I agree... that it's not good to have a major deficit, but when we don't have a fundamentally correct right in entrepreneurship that we all have to be even, we all have to be equal in a business game. [[The speaker doesn't understand.]] Then all these other measures that you speak fall into the water. And I would be happy if you had introduced it and would have supported you in every way that we would have introduced a straight and fair match among entrepreneurs, and therefore these figures that show, show that in Croatia, which all the time, whether it was deliberate, I believe that it wasn't, but if you had the strength, this, as we did in 2013, introduce this measure, certainly deficit, would not have happened to us as they did today in 2013. Therefore, such measures should be taken in good times. Thank you.
ParlaMint-HR_2014-07-02-0.u82014	Honorable representative Ante Babic. Let go of the pitch. Honorable representative Ante Babic, replica.
ParlaMint-HR_2014-07-02-0.u82015	Thank you very much, Mr. President. Well, Minister Lalovac, you're talking about execution, so I understand, about the implementation of the state budget, you're actually saying everything that's a feature that marked the 2013 budget. However, you said little about, let's say, GDP is actually lower by 1%, that GDP deflator growth was 0.9%, that the number of employees was around a million and 364 thousand, which is actually almost 30 thousand less than in 2012. You didn't talk about the total foreign debt, the annual inflation rate, which is 2.2%, etc., etc. What's really important to bring here is that the 2013 Budget Law actually limited the total government debt to 60% even though it passed 65% in 2013. It is also related to 2014 where it is limited to 62%, and it is actually increased. The question is, in fact, where is this responsibility under the Fiscal Responsibility Act, and is it necessary in this case and should someone then be given a mandate at their disposal? And then you were talking about the effects of fiscalization, the fact is, and as far as you know, you were saying in this House that there are incomes somewhere between 8 and 9 billion kunas and the question is actually where did that money go, where are actually taxes from those revenues? Maybe that fiscalization by you... it worked, it was actually economically definitely failed, and what you said, you said you were putting order in the field of the gray economy, I think it's not true, the order was probably being introduced in front of the hospital, in front of the Department of Employment, in front of the soup kitchen, and not only that, I think what hurts, that fight against the gray economy,...I think you fought any economy in the Republic of Croatia.
ParlaMint-HR_2014-07-02-0.u82016	Thank you very much. Thank you very much. Replication response, Honored Minister Boris Lalovac.
ParlaMint-HR_2014-07-02-0.u82017	... Thank you very much, Mr. President. [[The speaker is not enabled.]] Your Honor, what I was saying about these figures, I was talking about the economy being encouraged. And in this part of the burden, fostering the economy has taken over the state budget on itself. These measures I've been telling you about... profits, 99 thousand people who work in these companies for small entrepreneurs, reducing gross labour prices, these are all the measures I showed that in 2013 give results, to give 2014 and thank God, will give 2015. You have to give something to entrepreneurs and businesses in the 5th year of recession, I cannot endure and especially EU entry under great pressure and you know how many internal imbalances we have had. According to the European Commission's report, not what the Government of the Republic of Croatia wrote, internal imbalances on the burden, which happened to us in the economy, occurred before the economic crisis, before 2008, had occurred before and about these internal imbalances to encourage economic growth, the government gave to itself, took over the burden and put on the economy. The effects will be shown. The effects will be seen. And that's why I talked about the effects and the positive things that will come. This is something for us, and we hope that in 2014, when economic growth begins, these effects will be seen in full, and you know that they always come with years and two delays, but the direction is good. Thank you.
ParlaMint-HR_2014-07-02-0.u82018	Dear Representative Stjepan Milinkovic, replica.
ParlaMint-HR_2014-07-02-0.u82019	Thank you very much, Mr. President. Mr. Minister, you were talking about social sensitivity and incentive measures. In part of social sensitivity you spoke about support for families, households, which is unfortunately better if there were more jobs, and in encouraging measures you also talked about certain achievements, etc., but you did not mention a single very important segment in a word. You didn't mention farmers, family farms, and there would be much to say in this context. Since the drastic fall in support, that's the first thing that should have been said, and the other thing about social support, and other than those that failed the family holding, 67% last year were in the social category. This year, another 40,000 joined them, and there is certainly something to say in that part. And surely there was an irreparable damage here, and in an area of great potential and that repair is hard to expect. And what you're saying is that it's not fair and correct, it's not that 21% gets almost 80% of that support, and that 70% or something almost gets, it means 16%. That's the problem, and that's why this thing needs to be completely cleared up, and in that part of it, I warn you, that's one big problem and that you've done a huge one damage to our village, of course, to the even development of our homeland. Thank you very much.
ParlaMint-HR_2014-07-02-0.u82020	Replication response, Honored Minister Boris Lalovac.
ParlaMint-HR_2014-07-02-0.u82021	Thank you very much, Mr. President. Dear fellow MP, I may not say, I didn't mention that you would answer because I like to communicate with you, especially in the area of agriculture. You know for a fact that the incentive policy in the agricultural sector is not just about subsidies. They show a number of research that the more we gave the subsidy, the less it is produced in Croatia. And then the fundamental question arises is it a real policy, is it a social policy or is it a policy of agriculture and production? The more money we give and the more Croatian citizens need to know if they give from increased VAT from increased revenues... transfers, less products. I would also like to come up with a key answer on how to increase agricultural production, not just to look at the revenue or expenditure side of the incentives. We have a great example of now taking advantage of these funds by entering the EU and subsidies will be given from the EU in the future, not from the Croatian budget. and here we will give full support to our farmers that the money is being drawn from Europe is unfortunately in that part of a very poor country for such incentives not only in agriculture but all with huge transfers and pressures on the budget we must and transfer and therefore we have entered Europe to be a common part of the policy and to draw money from them, but to use them to produce not for social transfers. Thank you.
ParlaMint-HR_2014-07-02-0.u82022	Dear Representative Darko Milinovic, replica.
ParlaMint-HR_2014-07-02-0.u82023	Thank you very much. Mr. Minister, when you mentioned the expenditures of the state budget, you mentioned a health debt recovery of 3.3 billion kuna, and you said that we were saying it was a waste of money. We said it was a waste of money in a bag with no bottom. That this is how it says that despite this 3.3 billion kuna recovery, the health system has created a new debt between 4 and 5 billion kuna in 2.5 years. So we were saying that throwing in a bag is bottomless because of the suspension or absence of health reform. That this is what the 2011 deadline for prescription medicines was 90 days, and in two years it increased by 120% and today it is 180 to 200 days, and the law requires that the deadline be 60 days when Croatia enters the EU. The fact that the health system is missing now 150 to 200 million kuna per month says that at the end of this year you will have to reach for either a new task or a health system recovery. When we talk about the implementation of the state budget, I ask you to tell me here why the state budget from the general taxes did not make a transfer to the HZZO, which is 1% of the contribution to pensions of those who are more than 5,634 kuna, which is 50 million kuna, 32% of the tobacco spending is one billion kuna, 500 million kuna for the supplementary insurance of those who have been released from participation payments and 2 billion kuna in Article 63. The health care law. So based on the law I ask you to answer here why no transfer from the general taxes to HZZO... [[The speaker doesn't understand.]]
ParlaMint-HR_2014-07-02-0.u82024	Thank you very much. The reply to the replica, the respected Minister Boris Lalovec.
ParlaMint-HR_2014-07-02-0.u82025	Thank you, Mr. President. Your Honor, I can give you a written answer to this last question of yours. It is currently too many items at this time to know the answer to each of your asked questions. But I can see that you're very good at dealing with minuses in health, probably because you've been seeing the same minuses all these years. I trust you that it wasn't easy for you. To any health minister the same as the Minister of Science is not easy because it's a large system, over 60 thousand people about 20 billion, everyone always wants a quality service. We can also talk about these figures in health care, by creating a minus on the left and right but without my opinion in health reform without any general consensus, neither side will be able to correct it. Is that what Croatia's citizens feel directly. So these negatives that you're mentioning today were happening both in your time and you know very well what these are on the daily level of minuses. These may not be the 2013 minuses, in fact, they may be identical in those past years. But health care is something we're looking for and it's a lot more than just accounting. Health care isn't just accounting and how much it's creating for us. Health care is a service that we're participating whether we're a social state or not. And that's why this kind of answer to give you just a technical answer has something moved to one side, I don't think it's enough. About health reform, I hope we find a consensus. Thank you.
ParlaMint-HR_2014-07-02-0.u82026	Dear Representative Josip Djakic, replica.
