ParlaMint-HR_2014-01-23-0.u64071	[[CONTINUE AFTER MEETING IN 11.50 HOURS]] On behalf of Croatian Labourist fellow Tušak, please.
ParlaMint-HR_2014-01-23-0.u66343	Thank you, Your Honor. We have a replica, a respected representative of Bora Grubisic. Here you go.
ParlaMint-HR_2014-01-23-0.u66344	Thank you very much, colleague Baranovic, using the thesis on the free electricity market, you said that, therefore, in Croatia it opened up for more distributors that electricity market. And you didn't mention that the government set an example immediately, so I don't think it's very great, that it's moved on to a Slovenian power distributor next to our domestic HEP and all of those possibilities provided by our HEP. Here we can see today that for the first time in Croatia television has been advertised very much by HEP distributor for a long, long time. But here's the government, without any doubt, went straight into, and embraced a foreign power operator. Interestingly. Thank you very much.
ParlaMint-HR_2014-01-23-0.u66345	Replica response, respected representative Petar Baranovic.
ParlaMint-HR_2014-01-23-0.u66346	Dear colleague, my opinion is quite the opposite, the government has actually shown by this procedure that it is the first one to comply with the laws it has prescribed. And when mastering the funds of Croatian citizens, it would be truly unwarranted to take for his supplier the one who offers a higher price. On the other hand, it has shown another bright example, which is an educational measure towards state-owned enterprises which has given a clear message that the conditions of the free market must be adapted... Be nice to your colleague, please, I didn't interrupt. [[You can't hear the intruder.]] She set an example, the best example of how and how to act when available to Croatian citizens, each kuna taken from citizens in this situation has a special value and weight. On the other hand, state-owned companies must understand that jobs have to be taken, so HEP began to advertise, and HEP began to correct its price. And the final result of the satisfaction of these very citizens of the Republic of Croatia who are experiencing difficult moments, social, financial, significantly lower prices offered by distributors on the free market. No monopoly, no price blackmail, no irrational behavior to a state-owned company. Because he'll either do the right thing, or he'll master right or he'll fail. And that's only fair, it's fair to all private entrepreneurs in this country, their employees fighting in the free market to survive. State firms are of interest to the Republic of Croatia, so they need to be constructed, raised and forced to work, to earn profits from which investments can be launched. We will not make Pharaohs or sacred cows of them. Thank you very much.
ParlaMint-HR_2014-01-23-0.u66347	Thank you, too. Dear Representative Igor Radinovic and the Social Democratic Party Club of Croatia in the Croatian Parliament. Here you go.
ParlaMint-HR_2014-01-23-0.u66348	I thank Mr. President of the Croatian Parliament, Mr. Deputy Minister with associates, colleagues and colleagues. I apologize in advance for repeating some thesis, affirmative thesis in favour of this law, since I am speaking of course on behalf of another club of the ruling coalition. And here's the first sentence, of course, that the SDP Club will also support this proposal, the final bill of the oil and oil derivatives market. The basic objective of this law is to create conditions for the safe and quality supply of the oil and petroleum products market based on market principles and that is the fundamental difference. By repealing the rules laying down the maximum retail prices for petroleum products, as provided for in this law, the prices of petroleum products will be completely free of charge according to market requirements and laws. The most important thing is the most sensitive newspaper in this law. The topic was very interesting to the media especially at this time of year, so at the transition from one calendar year to another, when many media reported that free price formation would take place from January 1st. However, the ministry had to issue a statement that before that the law must be passed, so that we will all have to wait together for this law to be passed and the law to be published in the National Journal, but it will certainly be relatively quick. Although this free formation is of course the most significant for our citizens and most interesting, it is not the only one that is governed by this law, it is a fairly complex law in line with the laws of the countries, other European Union countries. It also regulates, among other things, the rules and measures for the safe and reliable production of oil products for the transport of oil and petroleum products, for trade in large and small, storage, trade in large and small-scale oil gas, third-party access rights, open market access, emergency intervention plan, supply of oil and oil products markets, and operational and mandatory oil supplies, i.e. oil derivatives, which I will discuss later. Similarly, this law regulates the establishment and implementation of measures for the safe and reliable supply of oil and petroleum products. In addition to Article 9, which prescribes this most important amendment, in particular the important assessment and Article 8 which speaks of how oil derivatives of course when placed on the market must meet the conditions laid down in the rules on the quality of liquid oil fuels and what is novelty in relation to current regulations, that the legal person, therefore accredited according to the requirements of the relevant standards, will control not only the quality but also the quantity of oil derivatives. Says one well-known politician that trust is good, and control is even better, so I believe that this measure will also contribute to security with quality, but also to the quantity and everything we have decided to enter the family of European countries. Article 9 is the short and most interesting, therefore only one sentence which speaks of the fact that oil and oil derivatives prices are determined in accordance with the rules governing market laws. Sometimes even the most complicated things can actually be solved the best in a simple way. But what's good is that we have a second paragraph of that law. In fact, all estimates and experts and governments do not expect an increase in prices but rather a decline in oil and oil prices, but it is good that this Article 9 exists, in fact Article 2(9) as a single fuse, which says that in order to protect consumers, market regulation or other justified reasons, the regulation can prescribe a maximum level of retail prices for individual oil derivatives for a continuous period of no more than 90 days. I am obliged by my colleagues and colleagues to inform you, those who have looked more closely at the law, that we have one mistake to say so. As with all the laws, this law follows a united report on the objections that have come to these laws, so the Union of Consumer Protection Associations has requested that this measure of single prices not only be introduced into this law but rather, as they propose, that the retail price of the oil products of an individual energy entity be equal throughout Croatia, which in practice would mean that the individual entity must therefore keep the same price in all its facilities. The truth works, and with so far functioning in this area, and you know it, whenever you went into a smaller environment, especially on islands, prices were slightly higher and oil derivatives prices weren't equal everywhere. If this provision and I support the Proposer, if this provision were introduced in this form then there would probably be an even greater disproportionateity, i.e. consumers would, for example, be deprived of uninteresting areas because the big players would probably not come to that market at all, only small players who could then make some extra profits and I think it's a good thing that it's not accepted. But I'm saying it's a mistake and it's in these materials that it's accepted so it doesn't accidentally confuse anyone. As regards other provisions, operational and mandatory supplies of oil and petroleum products are therefore detailed. As regards operational supplies, they are formed to ensure stability and security, primarily the production of electricity and heat, and for those customers that require special security and quality of supply and for the continuous and secure operation of transport. The law therefore provides for which derivatives are formed and which are insurance bonds, which energy entities are obliged to take care of their operational supplies and regularly inform the ministry. As regards mandatory oil and oil products supplies, that is what we are practically harmonising with the European Union countries. Therefore, mandatory supplies are formed for oil and derivatives supply insurance in the event of an energy security threat due to exceptional market supply disturbances and for the purposes of meeting as I have said to the international obligations of the Republic of Croatia, and based on decisions by the International Energy Agency and the European Commission on the release of mandatory stocks of oil and derivatives on the market. What is important and of course has weight and media is interesting, so this law obliges us to through HANDA, an agency that cares about mandatory oil supplies, to keep them in the amount of 90 days of average net imports or 61 days of average daily consumption. Depending on which of these quantities, which of these figures is larger in a given calendar year, and therefore is determined by the first April of the following year and is valid until March, the calendar year is not bound but the calculation is carefully done. The law also stipulates which quantities do not enter into compulsory stocks, from strategic stockpiles, from the operational stocks in containers of ships, pipelines, etc., as well as those in the Armed Forces of the Republic of Croatia which are therefore either physically for defence purposes or are secured in this way. They are kept in finished raw oil products, and the law also prescribes that at least 1/3 must be in real products, and the minimum share of those most concrete must be the minimum share of 75%. Now what might be interesting and what was interesting to the media, where and how these mandatory oil supplies are kept. It is no secret that so far Croatia has done so in warehouses abroad since domestic warehouses have not been enough. If I'm not mistaken, these days... the conditions in JANAF, so, very soon, that virtually gro of these amounts are over 80% kept in the Janaf warehouses, and that's for sure. As far as the latter is concerned, this law allows them to be kept elsewhere, and also paragraph 2 of the last article says that mandatory supplies of other countries can also be kept in Croatia, but in no way can Croatia harm the availability of these supplies. That's about what the content is. The second part of the law I expect may be some criticism from the opposition side, which is therefore a very complex task of HANDA which therefore has in these circumstances which I have only touched so superficially in this presentation. Of course it's necessary to set up an agency to do it. So she's a public institution, she's a budgetary user, and a colleague before me says I don't have to go on with it. We know what her job is. The Agency shall be managed by the Administrative Board appointed by the Director and the Deputy Director. It shall be specified in detail by the powers of the Director and the Deputy, the conditions which meet. They're choosing what might be important to say in a public competition, so I think that's one standard definition of the agencies we have. Finally, this law creates conditions for the safe supply of oil and oil products in a qualitative but quantitative sense, based on market laws, which will also have a positive effect on the protection and rights of consumers as well as on some other areas in recent years from telecommunications to, for example, taxis and services. Furthermore, this law lays down energy activities in the field of oil and oil derivatives as well as how licences are to be issued, action in cases of possible exceptional market supply disturbances, restrictions on availability and enhanced control of mandatory oil and oil products supplies, and operations related to oil supply obligations, oil supply and oil derivatives obligations. All of these are colleagues and colleagues of the reasons why the SDP club will support this bill. Thank you very much.
ParlaMint-HR_2014-01-23-0.u66349	Thank you, Your Honor. We have a few replicas. The first replica and respected representative of Mirela Holly. Here you go.
ParlaMint-HR_2014-01-23-0.u66350	Thank you, Your Honor. So here is what I would like to refer to what my colleague said about the fact that the non-compliance of what is said in the table of consultation with the interested public and where, during the public consultation, the observations made by different associations, and so the Union of Consumer Protection Associations, which asked for a new item to be entered in Article 7, which would be the same in the area of the Republic of Croatia as the retail price of the oil derivatives of an individual energy entity, and the table shows that this remark has been accepted. However, if you read Article 7 then you can see that there is no such item and we have warned on the Committee on the Economy, and we believe that this should be corrected because we, as advocates and advocates, have been led in principle into error and in doubt about what is ultimately accepted or not, and I hope that in the final document that will be published on the Parliament's web pages, it will nevertheless be corrected so that people, and yet it is the observation that the Consumer Protection Association would not be brought into any doubt and doubt about it.
ParlaMint-HR_2014-01-23-0.u66351	Replicate response, Honored Representative Igor Radjanovic.
ParlaMint-HR_2014-01-23-0.u66352	Thank you, Mr. President. Well, at one point, I thought I'd have to answer more in content. I said in my debate, although only harshly why I personally and the SDP club thinks that the provision should not be accepted since it practically touches the very core of the law and then everything else about freeing the market would actually be pointless and it would not be released and all the benefits that this bill carries would not have been realized. So this isn't about my court and my colleagues' court on a good proposal, but I fully support this fellow Holly, as you said. Unfortunately, it slipped somewhere even though the representatives of the Ministry of Economy immediately did so on the Committee. We did it a new year ago, obviously it got lost somewhere. Whoever's working, he's wrong. I hope we can fix it in the papers because it's actually the key point of this bill. Thank you.
ParlaMint-HR_2014-01-23-0.u66353	Thank you, too. Dear Representative Boro Grubisic, his replica.
ParlaMint-HR_2014-01-23-0.u66354	Thank you very much, Mr. President. Comrade Radjenović, you also spoke about the free oil and oil products market. Here we are before this law has come to the benches of the Croatian Parliament, and by traveling across the beautiful part of ours we will not see that we all see gas stations, clearly and distributors in the Republic of Croatia. So, I don't see any special, so it will be particularly encouraging, so some new freedom or new distributors will be, that they haven't had a chance to work on the Croatian market so far without the adoption or this law that's talking about it. So here I will not speak only on road A3 and on our Dalmatian you can see various types of gas stations, and clearly behind them are distributors who supply oil and oil derivatives in the Republic of Croatia. That's how it's gonna be in the future whether we adopt this law or not. Thank you very much.
ParlaMint-HR_2014-01-23-0.u66355	Replicate reply, respected representative Igor Radjenovic.
ParlaMint-HR_2014-01-23-0.u66356	Well it is certainly that the market in Croatia is partly open, but it is certainly that we want and we have signed and we want to play by the rules of the game as it is in other European countries. This regulation that further liberalises actually only the price formation of producers is additional in all countries where he, therefore, took a step forward further strengthened the price correction, the price correction down and on that side turned competition stronger. What he said if I'm not mistaken and the Deputy Minister is invoking. Then there are very fast investments and the simple market becomes more interesting. You know there are several global companies that find the market interesting and it becomes more interesting from the point of view and investment and investment, so in the retail facilities themselves, but also some other facilities that I'm not going any further around. Therefore, competition itself has a positive birth and price. I said in my own debate something similar happened about telecommunications, something similar happens about services, about the liberalisation of taxi services in all our major cities. Thus, there was a good effect everywhere. We expect it to be like this here. If this is because of "Croatian" as some of our colleagues say, something different happens, a strange country around us, I don't believe it, but there is a theoretical possibility, there is this Article 2 of Article 9 that practically allows the government to move on to the old overnight and that it lasts 90 days. Therefore, there is no fear. If it happens to go wrong, we have a mechanism to practically call a session or any session of the government of things back to the beginning and to be as it is today. Thank you very much.
ParlaMint-HR_2014-01-23-0.u66357	Honored representative Goran Maric and his replica.
ParlaMint-HR_2014-01-23-0.u66358	Thank you very much. We look forward to the market forming prices. An effective market is more faith than fact. On the oil market, if there is a market price then it should be created on the basis of supply and demand functions. Since supply and demand functions are so stable for years, and oil prices are the most unstable prices of almost all products on the world market, up to 60, 70% annually, this means that the supply and demand function does not even form the price of oil and markets, but that these are speculative prices where stockbrokers most often form. Therefore, there is a very important role of the state, especially AZTN and where your predecessor to the Competition Protection Agency says that in certain cases AZTN or the Competition Protection Agency which is one of the most important agencies in the Republic of Croatia is one of the worst and I dare say the worst agency in the Republic. It does not work in the interest of the Republic of Croatia because prices are not formed on the basis of supply and demand but on the basis of someone's needs, and that is not good. As for the agency run by the board of directors, it is predicted that the ministry's proposal will appoint five members, says the chairman of the board of directors is a representative of the ministry, but the ministry of finance also writes here. What ministry is responsible for finance? So can't it be written whether it's the Ministry of Finance or maybe we're predicting that another ministry will be in charge of finance tomorrow? What are the conditions for members of the Governing Council who make extremely important decisions and professional decisions? There are no prescribed conditions. It may be through the statute that these members of the governing council are about to prescribe their own terms.
ParlaMint-HR_2014-01-23-0.u66359	Thank you very much. Replicate response, Honored Representative Igor Radjanovic.
ParlaMint-HR_2014-01-23-0.u66360	Thank you, Mr. President. Hey look, we can always be anti-insistant and make arguments that we don't even fit in two minutes about it, but objectively there's a lot of content. I don't agree with my colleague Maric about your AZTN evaluation. Of course, like any other agency, it can and must be better. There have now been some changes and at the head, a longtime director has left but in any case I would not agree with your assessment that it is the worst agency in the Republic of Croatia. God forbid Croatia is such a happy country that it would be the worst agency. After all, international assessments of the agencies themselves are not so bad, although they are diametrically contrary to what you're saying. Even though I'm not happy with everything that's possible. But in relation to some other indifferences in this country, I think it worked quite solidly. Of course we'll force her here when the debate comes about the agency's own annual report to be better and more effective. Yes, prices form supply and demand. You yourself said it was a sophisticated market, international with a lot of speculation, right. But this particular liberalisation will allow those who are better, who will sooner come to the market that precisely with that quality, by buying, by selling, by terms, etc. which will have a quality market appraisal at times when it suits them, in summer, in winter. The demand is with us you know about 4 million kunas and economies but also as a significant tourist country, given how small and sometimes sad we are about it, we are not as insignificant to these companies either. The best evidence is that other big companies are coming now. You also have here not to advertise some who have even praised this arrival, see that they are coming and believe me that prices will go well and that is our ultimate goal. And for citizens, therefore, the sharper quality, the sharper control of the quality of fuel on one side, but also the price that will be even more favourable. And let's not forget that for the economy too, a bigger offer will come to lower prices. Thank you, Mr. President.
ParlaMint-HR_2014-01-23-0.u66361	Thank you very much. We're going to continue to discuss the club representations. It's the HDZ Club and the Honorable Representative, Đuro Popiac. Here you go.
