ParlaMint-HR_2014-05-23-0.u77720	Looking for a club? Yeah.
ParlaMint-HR_2014-05-23-0.u79323	Thank you very much, Madam Vice-President, distinguished MPs and MPs. So this is actually the continuation of yesterday's debate on areas and courts' seats. The state's attorneys follow the same logic, which means that we would now significantly decrease the number, so from 33 we would go to 21. What's important about this, I'll say right away, we talked a lot yesterday about Velika Gorica, so how do we solve the matter of the court, and we'll solve the issue of the state's attorney's office. Well, here's the thing, if that question opens, yesterday as we agreed, we'll sit down and talk about it. As for other specificities, we don't predict them, so it's going to be a very similar network. What's important here might be one distinction. We talked a lot yesterday about why we're doing this reorganization of courts. One thing is, let's say, mobility. The same applies to state attorneys, however, it exists to a greater extent now because of their hierarchical structure. Different loads and the same thing as courts happen at the state's attorney's offices. Better resource and personnel management absolutely the same. Not only that, but we plan to allow the transfer of officials primarily from the state's attorney's office to courts primarily from courts to the state's attorney's office because there is a huge lack of official staff in the state's attorney's offices. And we in the whole structure and in the whole network have enough. So that's one extra thing. However, when we talk about state attorneys, we also need to take another element, which is that because of the nature of their work, it is always better when they are concentrated in one place, when they are separated from a smaller environment and when they are located in a larger environment. Simply then it is better done, then it can be treated better when there is one distance from the local environment and compared to the criminal cases but maybe even primarily compared to the civil ones. Also, this will allow specialization. What we were saying about the courts here might be even more necessary because you have a much smaller structure in many places. You have two, three deputies somewhere. Now one works civil and civil objects can differ terribly. This way when they're in one place more they'll go to the debate but they'll be able to specialize more in one or the other. So, I'm saying I won't be long with the debate because we talked a lot about it yesterday. All those arguments that we made here yesterday are a team bigger and mainly with this need actually concentration in the larger environments, moving from the local environments, simply so the system will be more operational and better functioning. This is something that also supports the structure of the state's attorney's office because they also see advantages here from easier supervision until I say simpler treatment. So here, I'm here for all the questions. Thank you.
ParlaMint-HR_2014-05-23-0.u79324	Thank you very much, Minister. Do the committee's reporters want to take a word for it? No, I don't. I'm opening a debate. It's the clubs. On behalf of the club of Independent Representatives Damir Cain. Excuse me. Here you go. It was a replica. Nenad dances.
ParlaMint-HR_2014-05-23-0.u79325	I thank the esteemed vice president. Mr. Minister, I support your request to restructure the judiciary and bring it closer to the citizens. However, in a country where the need for a state's attorney is increasing, you are reducing the number of courts of the state's attorney's office from 33 to 21 which I do not think is a very wise political decision. So already when you decided to cut down, here I would give you one proposal to establish a bar of permanent service in places where it is needed or in companies such as state forests, Croatian highways, Croatian waterways, such as tax administration and so on. Well, here's a little something to think about. I think there'd be enough work for the state's attorney's office. Thank you.
ParlaMint-HR_2014-05-23-0.u79326	The reply to the replica of Minister Orsat Milenic.
ParlaMint-HR_2014-05-23-0.u79327	Thank you very much. So, absolutely permanent services are provided for in the bill. So, look are foreseen permanent services. As for the reduction of numbers, it's structurally they're uniting. However, only increases can occur in the number of people who will work on the subject. So this will raise efficiency. Because you can always think about whether you're going to put a structure in five places per man or you're going to put five people in one place that you can do much better and use much better. So this isn't supposed to be a reduction of people. I just said there's going to be a certain increase, because from this part of the extra officer we have at the courts we're going to transfer to the State's Attorney's office. So their work will only be more efficient. And the demands that can then be put before them are much, can be much greater than they are now. There'll be permanent services. I'm saying not a reduction, but a rise in efficiency.
ParlaMint-HR_2014-05-23-0.u79328	And now we're going to have a club debate. On behalf of the Club of Independent Representatives Damir Cain. He's not there, so the club's losing track of this point. On behalf of the SDP club colleague Ingrid Antičević-Marinović, please.
ParlaMint-HR_2014-05-23-0.u79329	Thank you very much, Madam Vice President, Mr. Minister and Associates, colleagues and colleagues. The SDP Club supports the adoption of a proposal for legislation on areas and national courts. Of course, for almost all the reasons he supported yesterday and the draft law on areas and courts' seats, but also some other reasons that are specific to the structure and part-time work, and ultimately the efficiency of the State's attorney's office itself. We know that criminal policy in the Republic of Croatia is not unique. Yesterday, there was a minister, and we agreed that we had some kind of feudal system and justice. They're all closed. At the end of the day, it is often that such consequences of such a structure rather than being closer and more efficient to citizens have arisen in some way the opposite and legal uncertainty of citizens despite the new modern laws, especially the procedural laws, but also the material law and the enormous financial resources that are being invested, do not give or give adequate results not quite as much as our citizens expect. Now here we have heard from the beginning in one remark from our colleague that's why they're being abolished, so at least give permanent service, there will be a permanent service somewhere. But otherwise, the trend and thought in Europe was in the 1970s and 1980s to develop as dense a network and courts and state attorneys as they could intensify that they would be closer, more accessible to the citizens, that justice would be more accessible and closer to the citizens. However, a wealthy American has been going some other way for 70 years because he thinks there is not enough, she does not have enough resources to build new courts, to build new offices of state attorneys, but intensities are just putting on a peaceful settlement of disputes and to be able to conclude a settlement even in a criminal trial. And what we did far away in 2002, I would say in the CAP is a major step forward, which later resulted in a new Criminal Procedure Act that the defendants and the State's Attorney's Office could be negotiated before the court. So that one branched network we see has not produced such results and what needs to be done. So this is exactly what we need to do here is unique when we're talking about state, districts and state's attorney's offices for a single criminal-legal policy, a persecution policy. We have a situation today, and that's what I said yesterday that some of our counties are acting like countes and simply something that is a crime in one part of Croatia in another part of Croatia is not or at least we don't see results or attempts to resolve such things. Whether it depends on the geographical position or on names and last names. I think it's going to be a good deal of this bill, too. Why this is necessary, and what the minister said, works and the spatial concentration is important, if not extremely important. We are still far away in 2002 as a ministry gave up our own space to secure space in Gajevo for USKOK. It was therefore inadmissible after 2004, that the ministry that had free accommodation in the Street of the Republic of Austria moved to Djezmanovo and paid huge, huge amounts. That's why Mr. Minister, it's a great honor that you took care of the savings right away and moved to a lot I'd say not only cheaper, in a much cheaper space, but also more economical space for the ministry itself. So, it is certain that law enforcement authorities have better control over the state's attorneys, we know that it is specific though we have given the law and the deputies themselves a similar trend, as well as EU directives more independence but we cannot run away from it nor should we run away from the state's attorneyship being hierarchical, has a hierarchical structure and therefore a concentration here is desirable in a certain space for better control, doing better than he said right now and the minister is doing better specialization. We live in such a time that once knowledge, general knowledge was enough. However, the modern way of life and the increasingly complex laws and their application of each individual, from each profession, and especially here in the judiciary, require very narrow specialization. So, ever since I started working as an intern in the '80s, that was until 2002, we celebrated every small court opening in the third year, the state's attorney's office, so we only founded 12 in that period, unlike the 1990s, when it was founded on paper, and they didn't work at all. So, that model didn't invest, it didn't give results and big funds were invested. In fact, they have given one result in terms of reducing the number of objects, solving the number of objects but not the speed and not the quality we expected. Many here argue, especially if the mayors, that the very State's Attorney's office is staying with them, they don't really want it, but mostly the court to be with them, it's kind of their primary interest. I think it's a renegade and that people and that citizens don't really want it. People want their case solved as soon as possible, and where it's going to be, it's going to be in one place that's maybe just one street away from their place of residence, from their apartment, or a few dozen miles away is less important. What good does a citizen who lives across the street from the court have to do with his case for 10 years? Therefore, such populistism should be put to the end. These are not the interests of the citizens above all. Because this reform that now seems to be with this network of courts and state attorneys is now going towards a level playing field so that all state officials in the judiciary are equally burdened so that there is no more justification that the number they received could not be solved. It was a source of great injustice. I'm overloaded, I've got 100 items, I can't solve it monthly, and most of all, the norm is 30, and then he can pick which items he'll solve and which ones he won't. So we have cases not only in court but also in the State's Attorney's Office, although much less because the penal branch is much more up-to-date, that some cases take dozens and dozens of years. It's not a rare case for some to last 20 years. Meanwhile, some judges or state lawyers have made progress, and these cases have remained with some new ones. With a more rigorous monitoring of the work of all judicial officials, and especially state attorneys, they sanction how many cases they haven't solved within the time limit. Of course, there's an excuse for me being the subject of only six months and others he's been with for a few years and he's still an official and he's made progress. That's what we need with all not only government officials, but all the people in the administration. So we see one more rigorous approach in solving all cases especially those which damage the state budget, but it is equally necessary to see, there is still no statute of limitations, which has been done in recent years 5, 6, 7, 8 and some of the cases that have been damaged by the state budget have not been resolved. This remains the task of the State Attorney's Office itself, and the proposal of the Law on Areas and Headquarterss of State Lawyers will certainly contribute to this. But speaking of this proposal, which only seems to be of a formal nature and which produces essential improvements, the time is also the place to say exactly something about the relationship between the Police and the State's Attorney's Office. The state's attorney's office can't win that true role that he's given under the law or by the Constitution if that relationship between the State's Attorney's Office and the Police isn't good, it's not solid. But we've arranged the relationship. So, the police have their own actions, especially when it acts preventively, but equally when it's alone looking for the perpetrator and for providing clues to the crime. However, when the State's Attorney's office initiates the procedure then the regular authorities, police act on their orders. However, this apparently did not work out in the system of the last government. Well, we also remember the change in the rejection of criminal charges that since the police then wanted to have a man, even if he controlled the state's attorney's office whether he rightly or not rejected the criminal charges. These were some hints of the police state's intensities that we must stand up to at all times. The very institution of an investigative judge in his procedure that we have now left and we have a judge of investigation, and not an investigative judge, he was a rescue in relation to what the police were doing back in the '50s and back in those moustached times, and then the public prosecutor's office, and without the court's control. Therefore, it was a major democratic step in the development of criminal law, especially criminal proceedings. Now it is precisely because of the principle of efficiency, but also the judicial control of the proceedings itself given to the State's attorney and the judge of the investigation. So here's why I'm once again potentialing this relationship between the police and the state's attorney's office. We can't get the impression that even the recent situation wasn't an enormous attack by the police a few years ago at the State's Attorney's Office, which is inappropriate. But what do we have now? Recently, we had this through the media, and it was published in many of the shows that some judicial officials performed to teach the State's Attorney's Office. As it is unimaginable that the State's Attorney's Office is giving lessons publicly criticizing the work of the judiciary, it does so in its complaints, in its submissions, but not in this way. We had it from the courts. Whether or not an appeal should have been made in any particular case by the State's Attorney's Office. Is that the job of the judge, especially the one who ruled, he said it all in judgment. And the second-degree court will tell about the appeal if there are any of them on either side. Something else that is very important to us, and I would say about the state of the nation and the health of our institutions. Our institutions have developed cooperation in the fight against international crime and the highest level. Also where they can be suspects and international officials, some foreign officials of very prominent and strong countries, and we work well with them. However, the question arises: Do they work well with us? That should certainly be known whether they provide the necessary documents that require our state's attorney's office or whether we are in a position not to get the papers from the countries we give people to. It is also very important that our citizens have confidence in our institutions and we are not as this part of the government, but we are invited here to strengthen our judicial bodies, the state's attorneys and as executive and as the legislative authority to give them support in such cooperation. Here, dear colleagues and colleagues, once again, I point out that the SDP club supports the adoption of the Law on Areas and Headquarterss of State attorneys, expecting that also by applying this law, we will get a more effective state attorneyship and that we will get one clearer and universal, as is the law in all parts of our beautiful, unique criminal and legal policy based on the law. Thank you very much.
ParlaMint-HR_2014-05-23-0.u79330	Thank you. Replica Boro Grubisic.
ParlaMint-HR_2014-05-23-0.u79331	Thank you, my colleague, thank you, Madam Vice President. My colleagues, Ingrid Antičević-Marinović, spoke about the progress of the state's attorney's office, and you have chronologically compared it since the 1950s when, and before that, when in the name of the people, it was killed without proof and without trial by hundreds of thousands of Croats. About that and yesterday this verdict to Mr. Bolkovec, I won't comment on it, but I'm saying there's no written order to liquidate 21 people. And that's the only proof that what's very important in our people is regret, no regrets, no forgiveness, no reconciliation. If there were regrets in those who killed 200 civilians in Slavonski Brod, if there were regrets with those of the Serbians who killed 28 children in Slavonski Brod, then perhaps we would have the possibility that the State Attorney's Office in Slavonski Brod should initiate proceedings against known and unknown perpetrators, and so far has not done so. For 28 dead children in Slavonski Brod during the Homeland War, the ordinary peaceful City of Slavonski Brod when it was bombed from the air and from the ground, artillery and aviation of Republika Srpska. Furthermore, you talked about settlements, but you forgot to say that the people, citizens, ask the citizens for settlements, ask for a sip of potatoes in some nursing home. If someone were to expose a criminal organization before an investigation was initiated, before it was launched, then that's okay, then it's really true repentance or a deal with that man. But when an investigation is launched and I say criminal law machine, then it's just saving your own head and betraying the other, the third that are in sequence or the first as it is now happening in courts.
ParlaMint-HR_2014-05-23-0.u79332	Thank you very much.
ParlaMint-HR_2014-05-23-0.u79333	If someone exposed like a whistle whistler what was going on and a deal was made, and that participant himself in that crime scene, then it would be a real deal.
ParlaMint-HR_2014-05-23-0.u79334	Thank you. Reply to the replica Ingrid Antičević-Marinović.
ParlaMint-HR_2014-05-23-0.u79335	Well, she's just such a good part, and she is, we're not the ones who're going to judge what kind of settlements are made, it's not in our domain. In our domain, it was to enable this through our legislation as well as almost all modern, modern legislations and what was settled in their procedural provisions when criminal matters were resolved. Of course these settlements are necessary, especially in this kind of crime in bribery, corruption, various abuses where you can't be a witness, where the witnesses are those who took part in it. And according to the contribution obviously all of these are, so when we see all these recent trials they're just trials based on people who have direct knowledge of it. And to do that it was necessary to develop a political climate if it was possible to happen. And so in what you're saying about these crimes, the most terrible crimes and war crimes, and the crimes in Porac, we're just about to get serious murders, and every such murder motivated by some political motives or any serious murder, whether it's politically motivated or not, we're just looking for a constitution to be introduced and never to get old. But what's lacking today isn't just a lack of opportunity, or political will in the state's attorney's office, is that what's going on? However, they face a very difficult deficit situation, so people need to be encouraged, a lack of witnesses who are willing to testify who are presumed to be witnesses either directly or even, or at least indirect knowledge.
ParlaMint-HR_2014-05-23-0.u79336	Vesna Skare-Ozbolt replica.
ParlaMint-HR_2014-05-23-0.u79337	Thank you very much, Madam Vice President. Here, colleague Anticevic, you may have talked at least in your presentation about the reorganization of the state's attorney's network, but I would simply refer to one of your thesis that I personally agree with to put an end to populistism. I absolutely agree with this thesis, because indeed on populistism, and even in this assembly should be put to rest, especially when praise is given to the austerity of the move of the ministry from the Dežnjanovo building to a new location because, of course, it should be a great savings for the state budget because of the rent. But that's what I would experience as a populist for the reason that it's in that building in Djmanovo, which you say is a lease, a new state-owned institution, a state-owned state-owned property management office, has been moved in. Therefore, there is no savings for the state budget of the Republic of Croatia.
ParlaMint-HR_2014-05-23-0.u79338	Replication response, Ingrid Antičević-Marinović.
ParlaMint-HR_2014-05-23-0.u79339	There's savings because it wasn't at that price. I wouldn't go back in such a distant past, but I think it was completely unwarranted. The ministry, the ministry, is there to serve its judicial authorities and there is nothing to boast and spread in Dzhmanovo, were good rooms in the Republic of Austria. And I'll repeat, then the ministry had rooms in Gajevo, but it gave up these rooms, the people who worked very hard, right at the adjustment of our laws, they gave up those spaces, we gave up those spaces for USKOK so that they could start working. And when I was talking, I wasn't talking about the law at least, these are the consequences we expect from the law, it's not the question here that the numbers are being combined, that are being separated. After all, I'd have a lot to say about it if I wanted to talk like that because for my time, for our time as coalition authorities, we founded 12 courts and state lawyers and they did... certain results, but we can see that it wasn't the one that fits the latest trends and what people expect. Therefore, I support this bill once again.
ParlaMint-HR_2014-05-23-0.u79340	Jadranka Kosor, replica.
ParlaMint-HR_2014-05-23-0.u79341	Thank you very much, Madam Vice President. Fellow Members of Antičević-Marinović, this better organisation or reorganisation, merger, i.e. the concentration of courts and state lawyers, is something that is not new, especially what we have committed ourselves to, and this is the way we set out during the negotiations for Croatia's entry into the EU in Chapter 23 when we, among other things, strengthened independence and the state's attorneyship, i.e. the state, judicial and state council. You remember, of course, the 2010 amendments to the Constitution and that was passed by consensus. However, all of these procedures that we are talking about today, as the minister called it, from local backgrounds, which I think is good, of course always come up with resistances, depends on who we are from which political side, so we are in opposition, we are in opposition, personally I think that we should really be able to reach an agreement about it because the better organisation and of course the effectiveness is the goal of each of us, which is the real concern then about the citizens of the Republic, especially in terms of moving from the local environments because we have witnessed both 2 and 3 and 4 years ago and here these days and today, and I believe that there will be also tomorrow that some items are just moving from the local environment and then the investigation, or the initiation of the procedure, or everything that is on the trail of the processing of crimes has a real impact. And I agree with you that judges who criticise the state's attorney's actions do inadmissible things, but that's normal, and that's logical in Croatia, but when one of the politicians dares in any way to make any kind of remark, then he gets stuck to the cross, and that's the same thing we need to talk about once we have the strength to talk about and the reason why there are still insufficient numbers of solved cases, whether judges should, for example, work more and longer, I dare say it now, but there must be topics that we have to discuss in the Croatian Parliament, so where the laws are decided.
ParlaMint-HR_2014-05-23-0.u79342	Thank you. Replication response, Ingrid Antičević-Marinović.
ParlaMint-HR_2014-05-23-0.u79343	Especially the reply to the replica requires this last thing you said because I think it's crucial. And I think it dawns on all of us that whether we're in opposition or in power or even in certain environments, that we realize that we need to do something to make the citizens happy, and whether one judicial body is there or not, and especially when you're talking in the local environment,... and worse, that it is, especially in that situation where it's a small environment, when with that middle, all the factors of the government and when all the criticism and all the public remains powerless on that one network, I would say that with one bench and simply the central government is difficult to touch, with all the mechanisms that we have to solve, to start things going on, no different than by law. What you said was that, the truth is, even the politicians, I said yesterday, that there are some politicians who would be persecuted, there are rare ones that would judge, instead of proposing laws here, and these laws have judges and state lawyers. Rarely, norms do not require interpretation, but there are standards that do not require interpretation, but only application. However, there are also problems, but we must be the ones to encourage the judiciary, to uphold the law and the Constitution, and if some laws are not good, to listen to practice just so that we can change them better than by interpreting the law to seek a way out of a situation.
ParlaMint-HR_2014-05-23-0.u79344	Josip Djakic, replica.
ParlaMint-HR_2014-05-23-0.u79345	Thank you very much, Madam Vice President. Well, here's my colleague Ingrid, you said in your debate on behalf of the club that there was no such up-to-date handling of government attorney's orders by the police, the USKOK, and that the laws and work of the state's attorneys are not the same in all counties because some act as... and thus influence the work, independent work of the state's attorneys. So I'll remind you that in the past government chapter 23 has been closed, that half of the ministers and Prime Ministers at the head of the prison today, in Remetinco, have been imprisoned, but we have clearly seen today that they have not been operating state's attorneys in Sisak, or in Rijeka, you've reminded me well neither in Zagreb for a year against former President Mesic, although the state's attorney from Finland clearly says what the defendants have admitted in the procedure... and the purchase of a vehicle, until today there is no reaction. I don't know what time you lived and when you noticed it, that you didn't notice that so many ministers were responding or responding, that they were being punished and that the Prime Minister had been tried several times already. I think you're still blind in healthy eyes and there's a difference in the work of the state's attorneys, but that the police didn't prevent or reject it, but that the state's attorneys rejected or kept it in the drawer as was the case...
ParlaMint-HR_2014-05-23-0.u79346	Reply to the replica Ingrid Antičević-Marinović.
ParlaMint-HR_2014-05-23-0.u79347	I didn't say they weren't up-to-date, there may be consequences that they weren't up-to-date, but it's doubtless that a few years ago the police were putting pressure on the state's attorney's office. It's facts, it's one thing. You're talking about individual cases now, ours isn't here to talk, it's not our job. It's our job, but to spot that something is a felony somewhere, I said it was... I'm also asking this way if it depends on the geographical position he is somewhere, somewhere he isn't. For a short time, for a longer period of time that lasted in a state of lawlessness or doubt of lawlessness is not. Therefore, and this bill, we return to a very well-founded law, which is what the minister said, to end these feuds, and to have a single legal application, to have greater legal certainty for the citizens, and greater uncertainty for the perpetrators.
ParlaMint-HR_2014-05-23-0.u79348	On behalf of HDSSB representative Boro Grubisic. The replica? ... [[The intruder doesn't understand.]] You have a word on behalf of the club about the wheel we're discussing. Here you go. Boro Grubisic on behalf of the HDSSB club.
