ParlaMint-HR_2014-02-28-0.u64252	And now I see a colleague of Mile Horvat reporting, no. Mr. Pupovac, come in.
ParlaMint-HR_2014-02-28-0.u64264	Dear Mr. President, dear colleagues and colleagues. This proposed conclusion of the Club of Representatives of the Independent Democratic Serb Party has also helped us to remove some of the dilemmas and I can say that this is also a condition to support the law in the first reading and the Croatian party of pensioners. In fact, regardless of the quality of the debate here and the arguments pro counter us in Croatia, we believe that social dialogue has come out of the stage of the discussion with arguments and that it has entered an emotional phase that is not good. It is not good for the parties who are in conflict in emotional or emotional, to declare each other's performances a liar, and their goal is to build such a legislative infrastructure that leads in some way towards Croatia towards prosperity, not Croatia back. Social dialogue is a civilizational reach of Croatian society and we should all be concerned about the level of social dialogue, and it certainly is not, or will not, develop if each other through the media calls for them to sit at the negotiating table, and surely will if we institutionalise this social dialogue as we did before, where there are services, where there is correspondence between partners and who do concrete things and agree, in this case agree on the law of common positions and what is common good for workers, employers, authorities and all citizens of the Republic of Croatia. It can't be that the interest of one another is above the interest of another. There must be a balance of interest here and a deal must be reached between the social partners here. This, colleague Lesar said this is a deep social contract, no, gentlemen, this is the law. This is a law but this law is not expected to be passed by experts in the ministry but agreed by the social partners in a way that they think about what will happen and how the labour market will develop in the future in Croatia. Therefore, this conclusion of the Croatian Parliament expresses the desire for the partners to sit at the common table, to go from an emotional stage to the discussion of arguments, facts and planning of the future, so HSU, the club of representatives of HSU, will vote for this conclusion and thank a fellow SSDS for making it easier for us to have a dilemma and in some way give us the opportunity to support the law in the first reading, of course, on the condition that we accept this conclusion. Thank you very much.
ParlaMint-HR_2014-02-28-0.u64265	Thank you, too. On behalf of the HDZ Club in the Croatian Parliament Ivan Shuker.
ParlaMint-HR_2014-02-28-0.u64266	Thank you very much, Mr. President of the Croatian Parliament, Minister, colleagues and colleagues. So at the time it was announced that the decline in gross domestic product in the fourth quarter last year was 1.2% and the decline in gross domestic product was 1% for 2013. However, colleagues and colleagues fall for the government is not 1% point but 1.2% because the government has practically assured us that up to 31.12. that we will have economic growth 0.2%. So, when we have such a situation in terms of GDP, when we have 385 thousand unemployed, when we have estimates of both domestic experts and experts from international financial institutions outside the European Commission that the labour market will unfortunately stagnate in 2014, 2015 we in Croatia are abolishing, not us, but the government's social dialogue has practically disappeared. There is a Labour Act which is not accepted by those who should accept it and at least agree on it, which is trade unions, cups and governments, and if I repeat, the Government is here in double the role of one of the legislators, so as a bill promoter. However, let us not forget that the government is the largest employer in the Republic of Croatia, that it was very interested in what the Labour Act would look like. So we don't have social dialogue and what's worst about this Labour Act is not part of the package, part of the system reforms that should change these negative trends that we are talking about in Croatia. Because this Labour Act itself will not change anything in Croatia, because of it no new investor will come, it will not increase competitiveness and unfortunately will not reduce this number of 385 thousand unemployed but if this Labour Act were to result from any systematic reform that the state public administration as a result of removing obstacles to investors and a series of other reforms would probably make it easier for social partners to discuss certain provisions of this law. Why? So because these reforms would see something that is positive, which will simply eliminate a part of Croatian citizens from the stock market, lead to the growth of gross domestic product, lead to reduced social tensions that we have in the Republic of Croatia and lead to the growth of standards, and when you offer such arguments, no matter how much someone doesn't like some things, changes to the Labour Act because they might lose their own positions, the public will simply force them to vote for it. Why? Well, because then that law offers something that's for the greater good. Since such a proposal of the Labour Act is unfortunately neither but what is the biggest tragedy, when you look at the laws that the Government of the Republic of Croatia has sent over the past two months, then you will see that unfortunately for us in 2014 it has failed because in the first two months we did not have a single system law that would change this economic course, which would tell us, this law of the consequences of this law will be some significant investment or the consequences of this law will be the more significant change in the Croatian economy. That's why colleagues and colleagues when we talk about this Labour Act, then we need to look at it a little bit wider, and I'll talk about it later when there's a discussion about the addition of the agenda. Unfortunately, those who should offer reforms, those who should force us in a certain way to maybe think differently about this Labour Act, did not offer it to us. We have some technical laws, but I repeat, Croatia had a 1% drop in GDP last year. At this point, we have 358, 86 thousand unemployed, and this Labour Act is not going to change anything. Because of the lack of social dialogue, practically there is no social dialogue and because the Labour Act is not part of the systematic reforms in the Republic of Croatia, the HDZ Club cannot support this law in its first reading. And what we were saying when we debated the law, we suggest that the government try the second reading if it is possible... this dialogue with the unions, with the social partners and that this law be passed as part of the consensus. Thank you very much.
ParlaMint-HR_2014-02-28-0.u64267	Thank you, too.
ParlaMint-HR_2014-02-28-0.u72866	Dear colleagues and colleagues, we continue our work. We will discuss - Proposal for a Law amending and supplementing the Law on the System of State Administration, first reading, P.Z. No. 619 Proposer of the Law is Government of the Republic of Croatia. You've received the motion for an act. In the case of the adoption of this law, the provisions of the Rules of Procedure relating to first reading of the law shall apply. The debate was conducted by the Committee on Law and the Committee on the Constitution, Rules of Procedure and the Political System. You received the reports at the session. I ask, does the proposal's representative want to further explain the proposal? Yes, Your Honor's Minister of Management, Arsen Bauk, come in.
ParlaMint-HR_2014-02-28-0.u72867	I would like to thank Mr. Vice President, ladies and gentlemen of the Parliament, by proposing the Law on Amendments and Supplements to the Law on the System of State Administration, it is proposed to re-establish the Office of State Administration in the Countys. Instead of 20 state administration offices in the counties, it is proposed to set up five state administration offices established in the area of several counties. The new model extends the local competence of the state administration's office to several counties, which will allow for more efficient distribution of jobs, i.e. even burdens in doing jobs in the wider area and thus faster solving of cases, which will ultimately affect the improvement of services to citizens and other parties. In order to achieve a level playing field for the Office of the State Administration, the proposal provides for the possibility that the Office of the State Administration may act in certain cases in the place of jurisdiction of the second State Administration Office if necessary in order to carry out operations effectively in a particular administrative area similar to that of the Court Act. The draft law also proposes that the establishment of a single administrative position of the State Administration's office in all administrative units of the State Administration's office, provides that at the unique administrative place of the Office of the State Administration of the Party, all requests may be made for the exercise of any right under the jurisdiction of the Office, obtaining information in the course of the case resolution, receipt of certificates, extracts and other documents, obtaining the prescribed forms, notices, advice and other assistance from the jurisdiction of the Office. The new office model allows for a stronger and more rational deconcentration of the state administration’s affairs, the unifying of administrative tasks in a single body of a much wider local authority under the sectoral principle of organisation and functioning will facilitate the coordination of operations and efficient offices. At the same time, the territorial expansion of the single administrative posts of the office will ensure easier and more direct provision of services to citizens. Although the main objective of the reorganisation is to improve, to provide administrative services, to establish a new model for the state administration's office, certain savings will also be achieved. The proposed law also addresses the issue of entry into force of the implementing rules and provides for the possibility that implementing rules may be exceptionally effective on the first day of publication in the NN, for particularly important reasons which must be clearly and accessible. In accordance with the decision and resolution of the Constitutional Court of the Republic of Croatia, the draft law distinguishes intervention measures from other implementing rules, regulates the arrangements and assumptions under which intervention measures are authorised and regulates the time of entry into force of them. Intervention measures within the meaning of this law propose to establish measures whose adoption and implementation are necessary for the immediate protection of freedom, the rights of other people, the legal order, public morality or the health of the population. For the purpose and purpose of which they serve, immediate protection, intervention measures shall take effect on the date of adoption and the intervention measures adopted will be published in the National Journal. The proposal for a law also proposes to regulate the way in which implementing rules are adopted in cases where several central authorities of the state administration need to cooperate to adopt certain implementing rules. The practice of joint adoption of implementing rules has already been introduced through a series of specific laws, with different normative solutions with previous opinions, with the agreement of the central authorities of the state administration to resolve the issue systematically, has been proposed to establish the possibility that in such cases a special law may authorise the heads of the central authorities of the State to jointly adopt a single implementing regulation or that the head of one central body of the state administration adopts an implementing regulation with the consent of another head, the central authority of the State administration. According to the current Implementing Regulation resolution, only the heads of the central authorities of the state administration may bring legal powers. It is estimated that such a solution is restrictive in relation to legal persons with public powers established for the performance of independent regulators’ activities and which, by nature, things as independent regulators should have at their disposal all legal instruments to regulate different relationships in their jurisdiction. It is therefore proposed that the implementing rules for the implementation of the law on the basis of explicit legal powers and within the limits of the powers conferred on legal persons with public powers whose special law establishes the status of independent regulators. The proposal for a law also provides for the possibility that the conduct of inspection tasks can be entrusted by a special law to a legal person who has public authority if the tasks of implementing the law relating to a specific area are fully entrusted to that legal person and the exercise of inspection supervision in that area, given the necessary expertise, could not be effectively carried out without additional costs in the body of the state administration. Such a possibility is not currently provided for by law, however, in practice the need for different regulation, the conduct of inspection tasks, in particular in cases where the implementation of laws relating to a specific area is fully entrusted to a legal person with public authority. In such cases, the central authorities of the state administration and do not have staff with adequate specialist knowledge of the conduct of inspection supervision, and it is necessary to provide for the possibility for legal persons with public authority to be entrusted and to carry out inspection tasks in such cases. It is a proposal, therefore, to amend the law in the first reading, and I call on MPs to discuss it and accept it. Thank you.
ParlaMint-HR_2014-02-28-0.u72868	Thank you very much. We're moving on to replicas. First honoured Josip Salapic, please.
ParlaMint-HR_2014-02-28-0.u72869	Thank you very much, Vice President. That's what you ministers presented quite quickly, I guess you got tired yesterday in this debate that lasted all day. So, of course, we support from the HDSSB club this all you said, but with one, or a little bit of a grudge, that's that this reduction in the number of public administration offices from 20 to 5 needs to be implemented, but we need to give them the exact names, because this is just the beginning of what we're all going to have to admit at some point, which is that the territorial structure of the Republic of Croatia, as it was 20 years ago, can no longer survive, and that we need to introduce regions or districts to call regions, however, one doesn't think that one of us wants to remove the counties for some political or other reason, should call the exact name of every unit of the state administration's office, and not count. Let them be called Slavonia and Baranja, Dalmatia, the city of Zagreb, southwestern Croatia, northwestern Croatia or already as it arises in a debate over all the apartments of political ones, but they should have their name in relation to the area of jurisdiction, not these numbers, because these numbers are as if you have come into a large hallway of various offices, so you don't know who the room belongs to. So we should call it true, we should not be afraid of the truth and the problems, we finally need to understand that the time when the Croatian state was created, that the counties and offices of state administrations and county administrations and a large number of municipalities and cities, that this is something that burdens Croatia, we just need to look at EU countries, for example. Denmark, as she did it, it was painful, there was a lot of rebellion, but in the end it all got effective, that's the goal, it should be the goal of every policy, so here, I want to sort of agree that we don't need to run away from the name of these state, the unit of state administration.
ParlaMint-HR_2014-02-28-0.u72870	Minister Arsen Bauk responds to the replica.
ParlaMint-HR_2014-02-28-0.u72871	Thank you. Mr. Representative, I am pleased that you support the amendment proposal, and you are probably glad that I agree basically with what you said and if you look at the number 1 you recognize Dalmatia, in issue 2, 3, 4, 5 Slavonia, Baranja, central Croatia, northern Croatia and Istria, Croatia Primorje, Lika and Gorski Kotar. If that's how it's going to be in the second reading, I'd like it to be, and of course we're going to discuss and find the best solution for names. Here I have deliberately avoided talking about this issue because it has caused the public's greatest attention and I think we will find it relatively easy to find common language, so let's discuss it in substance, and then we'll look at this part outwardly, so we'll present what we're doing. Yes, in this first reading, we have decided on a neutral proposal, but we are certainly ready to consider these slightly more direct proposals, of course, along with the sentence that this can and does not have to be announced by a territorial reshuffle, so it does not have to be. Many state institutions have long been organised on this principle, which includes more counties and as you can see counties still exist, and what you said, so this proposal to round up the state administration's offices is being discussed at the Ministry of Administration and before I became a minister, so no one has been running from it, I think even somewhere since 2008, we've been talking about it, so here we are to discuss and see how we continue. Thank you.
ParlaMint-HR_2014-02-28-0.u72872	The replica was also answered by the esteemed Ivan Shuker. Here you go.
ParlaMint-HR_2014-02-28-0.u72873	Thank you very much, Mr. Vice President of the Croatian Parliament. Mr. Minister, by reading this explanation of the amendments and the addition of this law, I really don't understand why... this, but a particularly interesting assessment of the source of the necessary means to implement the law and quote. You are saying that the implementation of this law does not require the provision of additional resources in the state budget of the Republic of Croatia, the costs of implementing this law relating to the reshuffle of the Office of State Administration, means signboards, stamps, memoranda, will also be provided at the position of the Office of State Administration and County. This means that you have planned more funds for the 2014 budget than you need, that means that you have deceived this High House, which is not surprising for you as a Bračanin, known for saving that you have done it. However, according to the Fiscal Responsibility Act, you had to do something in the draft of this law, and you had to assess its fiscal impact. So, in this explanation of this law, you didn't specify the key thing because it's how many people work in these offices of the state administration that you want to reassess, what you're going to get with it, whether you're going to burn the money, and then if you're going to do it, then you should have said it in an assessment of the necessary means that it will take so much and so much less money and what jobs these new government offices will do because you haven't missed out here pointed out that doing inspection jobs can be entrusted with a special law to a legal person, meaning someone who's out of the state administration. So, there's a lot of data missing and this is unfortunately a quiet continuation of a policy that led us to a tragedy in the '90s.
ParlaMint-HR_2014-02-28-0.u72874	This replica certainly deserves an answer, Minister Bauk.
ParlaMint-HR_2014-02-28-0.u72875	I didn't get this last line, but there's probably going to be a chance that you'll be directly in somebody else's replica, so I'll answer you. So, as far as the asset assessment is concerned, it's true that the funds are secure and it's very simple, unless there's a change, it won't be necessary to place the records, but it's going to be left with these people who are working now, and then we're going to go the way it is now, and if the number of leading places is reduced, which is what it says, then part of the funds that the reduction is going to be able to put on to get rid of those panels and all that together. As for the number of employees, it has been significantly reduced in the past few years, so in the past 2 years about 200 people are smaller and this is seen by the allocations for employees in the offices of the state administration who are in the department of administration, but are not part of the Ministry of Administration, so fiscally responsible persons are head of the office, not the minister, in that part and it will certainly have a certain reduction in costs. The second cost reduction will be a natural outflow because unfortunately in the offices of the state administration work on average some older officials and the structure is such that a certain part of the people under the law will have to retire and then there will be some cuts but this has already reached the level of being replaced, that they should receive some people. As far as the second part of the inspection law is concerned, this law on the state administration system is not only about offices, because in offices it is 2700, 800 and in the state administration it is 60 thousand, therefore with public services it is another 200. Therefore, the State Administration System Act speaks of all, and these inspections are normally carried out by other state bodies not themselves. We, in a good part of these provisions of the law, regulate the existing state for which we have assessed that this is necessary by intervention in the law. Thank you.
ParlaMint-HR_2014-02-28-0.u72876	Do the committee's reporters want to take a word for it? No, I don't. I'm opening a debate. On behalf of the Croatian Labour Party, the respected Dragutin Lesar will speak.
ParlaMint-HR_2014-02-28-0.u72877	Dear colleagues and colleagues. I'll start with what I think is good in law. Introducing the possibility for citizens to obtain, seek information, obtain certificates, extracts or other documents, to take or take the prescribed forms, notices, advice and other assistance to receive or be able to obtain in one place not only within one office of the State Administration but in one office, regardless of whether it is the powers or competences of another State Administration office. This certainly goes in favour of the citizens because this bill and this establishment of the state administration's office goes in favour of citizens who, if well implemented, will not have to visit each service individually, demand, teach, take over or ask for what they need from the state, and these offices on the ground represent the state government, so what citizens need from them. How long will it take for these unique places to be formed and to start functioning not only within one office of the state administration but the five offices of the state administration to be provided, we will see. I think it would be good for a second reading to consider the possibility that this provision, which speaks of the possibility of giving such powers to the Office of State Administration to other legal persons with public authority, but it now writes if it is prescribed by a special law, is prescribed by this law. Why? If the State has given a legal person public authority by some law, it means that it has transferred some of its powers to that legal person. And now, if you would like, in special laws, that possibility and the jurisdiction of the state administration's office to service citizens on contact with those who have those powers, you should probably intervene in 15 or 20 laws. I think that this law should be the one that simply clearly and unequivocally regulates that all legal persons with public authority must be networked and connected to the offices of the state administration and that this is the place where citizens can make contact, right or resolve their obligation to the state and also to those legal persons to whom the state has transferred its public powers. I think there's enough reason for that to be regulated by this law. So this step, this newspaper, that kind of structure of the state administration's office really encourages us, goes to the citizens and what's important is that we treat each other in this way in all the restaurants. What I have doubts, and it is not well enough, is the proposal that the heads of the state administration's office be state officials. What are the reasons, the arguments that this situation has caused this proposal that the head of the state administration's office has the status of a state official? And I believe the minister will answer those dilemmas. And third vague, undefined but uncoordinated. The fact is that in the law of the administration of state administrations which are not given their names but numbers, but I already have a problem, a number or a name, however, that this law does not define the headquarters of these offices of the state administration. So the Parliament will pass the law that we have five offices of the state administration but will not decide where those seats are. For this I do not see any reason, and I do not believe that there is any reason for the Parliament to be devoid of such opportunities or to transfer its right to anyone, or to the government, to the Minister or the Ministry, and that is why it must be regulated by this law. If we go to this law to regulate the details of daily work and structural units then I believe that only the law and only the Croatian Parliament must be the one to determine the seats of these offices. Also, knowing and having certain experience with this, I think that within the establishment units of the state administration's office and their county services there must be one person as the extended hand of the head of the or the first man of the Office of State Administration, the head of the office, who will be on the ground day-to-day management of the office. I simply don't believe in the ability and the possibility that the head of Office number 3 will be on the ground every day in every part of his office without any of his captains there, let's call him that, someone who, along with his day-to-day jobs, performs the work of co-ordination, control, supervision, organization, work of individual units in the county. And now what's most important. It's interesting that this process of concentration of state authorities. In fact, Croatia has been in the process of deconcentration for a large part of the state administration and state affairs over the past 20 years. And it opened different bodies of state administration, justice, tax system, customs, pension, health insurance in a large number of cities, smaller, medium or larger and deconcentrated their services. There's now a process of concentration. A large part of the administrative units of the state service are abolished and is concentrated, and it is now quite certain, although the government and the ruling coalition do not want to publicly acknowledge it, it is going towards not only a new territorial structure of regionalisation completely clear introduction of five regions that will surely bring with them the abolition of the counties and we must not deceive people and lie that this is not the case. This is just one of the links in a series that drags both the issue of local and regional self-government to be resolved in a way that exists regions, municipalities and cities. Because if that's not the case then it's going to be about rigid deconcentration and decentralisation because regions and counties with municipalities and cities are not simply a meaningful and possible organisation. But why do I blame the government as a whole, but in view of this law, am I speaking to Minister Bauku? About every two weeks, one move comes to a new concentration. Today, let's say we discuss this concentration of state administration and see what it plans. At the same time, a fellow justice minister travels through Croatia and is a concentration of the judicial authority. The fact that we do not have a comprehensive, united joint debated concentration of the state government of course makes part of Croatia justifiably dissatisfaction with the existing units of local and regional self-government. So, according to one model, the concentration of municipal state attorneys, county, municipal courts, county courts with or without permanent service in those cities is being prepared, where so far there have been lawyers and courts. Well, then the police, or the police department. Behind that, customs and customs administration. So the tax administration will come to order as one of the important authorities of the state and the issue of their concentration or deconcentration is not only a matter of will and state how it will organise it but also the interest of citizens in which it is available, grantovnica, cadastres. Croatian Institute of Health Insurance, Croatian Pension Insurance, Croatian Employment Service, Inspection Services, all part of the state government that citizens often or less often have to use and reach out to the state to achieve their right or resolve their obligation to the state. Such a segmented debate when each resort and individually comes before the Croatian Parliament makes it impossible for us to see the whole. Let's see a complete map of the government's concentration or deconcentration in all segments to understand and understand what we really want right now. Will all ministers in their structure stick to the principles that the headquarters of all offices must be in the main cities of the county, whether it will be the criterion of the largest cities, the second largest, by political agreement, by random choice. So that's a series of things that if we had a whole table we'd see more easily, we'd probably take away some fears, the dilemmas that were caused. And that is a recommendation from Mr. Minister and you, as well as the Government to slow down with the speed of this law for a second reading and to have all the resolutions come before the Parliament to see the whole. At that time, a more quality debate will probably be freed from some unwarranted fears, freed from too much emotion and local patriotism, and of course these criteria that will be set must be kept in mind that indeed the metropolis of Croatia at five centres will come up with a legitimate resistance from people in this country. It's just a deconcentration of metropolision and nothing else because if we base ourselves on just five points of resistance, five regional seats, it doesn't matter to the citizens whether it's red tape in Zagreb or in another city that's 100 or 200 km away from it. In the expectation that you will truly understand and accept that we will get the whole until the second reading and the removal of these dilemmas that I have set up, we will eventually decide on the vote in this law. Thank you.
ParlaMint-HR_2014-02-28-0.u72878	Thank you. We're moving on to replicas. First Reverend Davor Bozinović, please.
ParlaMint-HR_2014-02-28-0.u72879	Thank you very much, Mr. Vice President. Mr. Lesar, you've actually opened a fundamental debate here saying that this is about deconcentration, so moving state affairs to levels below the central government and you've seen it well, and the theory of it is actually going towards the centralization of regional models, and that's the essence of the story, especially when we compare it to what's been announced to be going into real decentralisation. So decentralisation with this doesn't matter, this is a process that's the opposite of decentralisation. Decentralisation can be administrative and this is about deconcentration but it must be fiscal and it must be democratic and therefore development models are created as the basis for Croatia's regional growth and growth, and ultimately our coordination with the regional models that exist in the European Union. Without it, this story actually makes no sense. The whole lacks because there is neither political will nor political courage to talk about the whole, not just the reform of the administration, but a whole series of reforms that must lead to Croatia's economic growth, and this should be the incentive to go towards reforms. I'm afraid this way with such ad hoc measures, we're actually just dealing with adjudicating reforms. Thank you.
ParlaMint-HR_2014-02-28-0.u72880	The replica matches the esteemed Dragutin Lesar.
ParlaMint-HR_2014-02-28-0.u72881	Yes, a respected colleague, so this time it is not a matter of deconcentration of the state government but of concentration and I must admit that it is quite cleverly prepared for all phases of debate because of course this model of forming a state government and its concentration on five regional units will later be just another argument that the issue of local and regional self-government will follow that same model. Because it's also normal that when you form a local and regional self-government in the most part, you follow and form a state government because otherwise you simply come into disharmony, discord and pointlessness. That is why I stressed that offering partial solutions hides the whole of the structure and organisation's intention and that offering to debate in the Assembly of the whole was an extremely high-quality step towards seeing in what direction Croatia goes not only in terms of the formation of the state government and its deconcentration because it is the predecessor of that regionalisation in terms of local and regional self-government.
ParlaMint-HR_2014-02-28-0.u72882	Another replica, the esteemed Josip Salapic.
ParlaMint-HR_2014-02-28-0.u72883	Thank you, Vice President. Dear colleague Lesar, I feel that sometimes concentration is needed to avoid deconcentration. In some public administration offices, given their different size, the same is not the same office of state administration on the territory of 700,000 inhabitants or 50,000 inhabitants. Somewhere in the offices of the state administration, and I've had a chance to convince myself of that, and that's what I'm going to say in the debate, people really have nothing to do and it's true and it's true, and it's probably painful given the working legal relationship that someone loses their job, and that's true and painful, it should be admitted. In your discussion you said that this was the beginning of a territorial reform, i.e. the reconstruction of the Republic of Croatia I would say it may be, but at a small door it should be said once and for all and at a large door done because in Croatia we have 557 units of local, territorial self-government, administration, municipalities, cities, 20 counties and the City of Zagreb. Until we realize that this is no longer the way Croatia will go forward. These are solutions that are what they are in the first reading, and we need to contribute to the debate to be better, I think they're good. You're often in favour, and I support you here, for a referendum. This is precisely one of the questions where we should invite the citizens, the people of Croatia to a referendum, not about this particular law but about the territorial structure. If we're going to talk about it, and the IRS is already on the move, the pension system, the health system, HZZO, the courts, the state's attorney's office, and that's what the former government started. The only problem is in the leaders who lead certain institutions because it is normal for the Chief of Staff to protect the interests of his municipality, mayor of the city, mayor of the county, Prime Minister, Prime Minister of the State, and we must once and for all say that Croatia needs such reforms, that we all need to be together without demagogy and politicization to say that it has come... to do so, otherwise we will not be better.
ParlaMint-HR_2014-02-28-0.u72884	Replication response, dear Dragutin Lesar.
ParlaMint-HR_2014-02-28-0.u72885	When deciding on such things, then you can apply different criteria and have different approaches. Let's say one of the approaches can be the mere numbers on the head, on the leg, on the eye, on the hand, all sorts of things. I am the advocate that we are finally starting to apply a quality criteria in Croatia. I simply don't believe that all of Croatia's Offices of State Administration are equally good and equally bad, that there are better and weaker organized or almost unorganised these offices. That they're dealing with about 900 people, about 1200 items, that something's been waiting for 6,000 months somewhere, and in some office, it's being solved in two to three weeks. And every time you leave out the quality criteria, you punish them for applying dry figures. And that's where we lose the state administration's quality core because we've caught up with the criteria of mathematics, patterns and calculations, and dimming any quality. I just don't believe that we can't admit to ourselves what state administration offices are the best these 20 days. Rang them seven, five, eight, whatever. If I were a minister, I'd pick the best office and he said he'd be a headquarters and he'd be a father and a mother to everyone on the ground because they showed they knew. And those who don't know, they won't get it no matter what the numbers are. That and the judiciary are able to apply the criteria. And why in Croatia we have so many municipalities and cities. Citizens' resistance against metropolis. The whole of Croatia is angry at Zagreb, in every county citizens are angry at the headquarters, the town of the county headquarters. Within that city, the settlement that is the periphery is angry at the heart of that city because it has been acting, setting up, and always dragging everything towards the center, and by the question of deconcentration and even development, we will break this problem of metropolis.
