ParlaMint-NL_2021-10-28-tweedekamer-10.u1	The next item is the follow-up to the budgetary treatment of Health, Welfare and Sport.
ParlaMint-NL_2021-10-28-tweedekamer-10.u12	The minister shouldn't wear me out for stupidity, because the last few months after Catshuis's presentations, there has been a regular leak to the press. We have talked very often here in the House of Representatives about the fact that the press is being leaked from the cabinet to the press about what the next measures are, and that they are looking at how society reacts and what the reactions are. Then the House of Representatives should simply read in the media what is said on Tuesday night. So you can say here "we've always done that very well; you never had to read in the press what happened," but that's pertinently not true.
ParlaMint-NL_2021-10-28-tweedekamer-10.u13	I'm not saying that. In fact, the Prime Minister has stated once again here that it is bloody irritating when things are published in the newspapers, leaking things and lying on the streets that you do not want to do, because that is not courteous towards the Chamber but certainly because it is not good in the context of the public campaign, the public information you have to provide. It's incredibly complicated and very annoying, but it's leaking. But what we have to do next Tuesday is to publish at once the measures we are taking; I will do the same. We will then send a letter to the Chamber on the same evening and the next day we will have the debate on it.
ParlaMint-NL_2021-10-28-tweedekamer-10.u14	The House of Representatives is really put away a bit as a dummy, while the Minister knows very well that the cabinet is leaking to the press. The Minister says: yes, I find it annoying and I find it annoying, but that happens. That's just what happens from the cabinet. We all know that. I wish the Minister would just admit that: indeed, that happens, that is a strategy. Well, at least we know what we're talking about. Anyway, I have a second question. The Minister spoke of the "pandemic of non-vaccines." We have heard Mr Osterhaus say that we could put unvaccinated people on an island. Last week, the newspaper said that the vaccinees are tired of the unvaccinated. But do we really know of all the unvaccinated people who are in the hospital on the ic why they have not been vaccinated? I heard the chairman of the board of the Gelderse Vallei Hospital on Radio 1 last week say that in her case there are people with serious underlying suffering or serious medical conditions who cannot be vaccinated. I think that is a very important difference in the whole discussion. So can we get a current overview of the people on the ice? How many of these people are unvaccinated, and how many of them are seriously suffering from underlying or medical conditions? And what's the reason these people haven't been vaccinated? Apparently there are many more reasons, for example because people cannot be vaccinated. It's not just people who think "I don't trust it" or "it's gonna suck, I'm just doing what I want." Because that's how it's put down in society, and that's how unvaccinated people are looked at.
ParlaMint-NL_2021-10-28-tweedekamer-10.u15	To come back to the leaks: I understand that you are bothered by them. That bothers me, too. I have often been disturbed by this, because I have often experienced the most of it myself. I am responding to all sorts of half leaked messages, where I would like to tell the story properly in one go. Does that ever come from the cabinet? Yes, that has indeed come from the cabinet. That's my impression, too, although of course the unsub never comes forward. I've learned that every time you try to find out who did it, it fails. That is also because information in preparation for decision-making ends up on many tables. There's no other way. It does indeed end up with colleagues from the cabinet. The ship of state often leaks from the top. But that ship of state also has all kinds of consultations with all kinds of parties before you can actually come to any decisions. There too, leakage could come from. Sometimes that is strategy; much more often it is clumsyness or interestingness or whatever. But it's annoying. It is not chic towards the Chamber and it is not good in the context of public communication. That's one. Two is the very important question of why. We try to ask this question in all kinds of research: why people do not allow themselves to be vaccinated. I agree with Mrs van der Plas that these reasons are really very diverse. I'm not gonna judge hard why people won't be vaccinated. I only know that not all of these are refusers, but that they are very much doubters too. That doubt has been sown by all kinds of fake information that has been acquired everywhere. This means that we have to go into the neighborhood almost door-to-door in order to ensure that we remove that doubt. We are. I can explain to you in detail, but let us do it next week: what we are doing in the meantime in the fine-meshed vaccination, really in every neighborhood where the vaccination rate is below the mark. The story that this would have to do with people who can't be vaccinated is really not true. The RIVM's assessment is that it could be up to a few tens of thousands of people who cannot actually be vaccinated. These are very vulnerable people with, for example, a really strong allergy to vaccination. Moreover, the number of people who are unable to be vaccinated is considerably higher, but that is not the case. In fact, you hear a lot of stories from people who say: I just had an oncological treatment; I don't know if I can actually get vaccinated. Yeah, right. You're not sure if it works well enough, if it works well enough; that's true. Because you have a vulnerable immune system. But it's very important that you protect yourself.
ParlaMint-NL_2021-10-28-tweedekamer-10.u16	That's only a half answer to my question. The minister says RIVM estimates there are only tens of thousands. I'm not asking for judgements; I'm asking for figures. In the interview, the chairman of the board of the Gelderse Vallei Hospital simply said: they are often people who suffer from serious underlying or serious medical conditions that prevent them from being vaccinated. That's just a fact in that hospital. Nursing knows what kind of illness that person has. It'll just be registered. So we can just get those numbers from all the hospitals. Then we know how many people we're talking about. I'm not saying it's because all these people aren't vaccinated because they're sick. No, I want those figures because then we can have the discussion purely. Then we know exactly what we're talking about. Then we can also separate those percentages and say: "This percentage really can't. And when I say something in the media as Minister Hugo de Jonge, I'm going to say that it's not just people who don't want it, have no time for it or for whatever reason, but that's also a group." Then we're going to try to get out of that polarization where people who haven't had vaccination now are all being put down as the causes of all the suffering that's going on in the care sector. I'm just asking for actual figures, and there are.
ParlaMint-NL_2021-10-28-tweedekamer-10.u17	What we know when registering vaccination status in the hospital is whether or not people have been vaccinated. By the way, we do not know about a certain percentage and we do not know about it at all. But you don't know if that's because people can't, because then you should have people's allergies perfectly in the picture. That's just not an automated process. It is not currently known as the vaccination status of people being asked out in hospitals. If Mrs Van der Plas thinks that that is a large group, the answer is really negative. It's not a big group. Nor is it the majority of the people who are in the hospitals. That's not true. The vast majority of people can be vaccinated, except for a very small group. There is a larger group that says that it cannot be vaccinated, but it is not. Or it has been cast into doubt and therefore does not want to be vaccinated. That is by far the largest group: the group that has been questioned and for that reason has not yet chosen to be vaccinated. I'm deliberately saying "most of all." Another reaction to the apparent idea that these are hard qualifications. On the contrary, I share the starting point of keeping care accessible to everyone, because it is much harder for us to tell people that their operation is being postponed once again. That's very harsh. I think we all know people around us who do. That's a very hard message. If we want to avoid that hard message, we must, precisely in order to keep care accessible to everyone, see how it is that a large part of the care is needed at the moment to ensure that we can properly serve our corona patients.
ParlaMint-NL_2021-10-28-tweedekamer-10.u18	The minister just wanders off all the time and sends me into the woods, but I'm not gonna let him send me into the woods. I am simply asking if we can get up-to-date figures on the current state of affairs. How many people are in the hospitals on the ICUs? How many of them haven't been vaccinated? And what is the reason why they haven't been vaccinated? Again, those medical conditions... I heard the minister say "allergies," but it's not about allergies. They are people with cardiovascular disease or with neurological disorders, people who are so seriously ill that they just can't handle such vaccination. That's what I'm talking about. Those numbers are just there in the hospital, because it's just registered. If someone's in the hospital, they'll just record what condition they have. So I don't understand how that's so hard. The Minister also says that is not the majority. If you are so sure about that, you obviously have figures, because you are quite sure that that is not the majority. That's what I'm asking for. I just want those numbers and I don't want to stand here dimming a little bit about whether it's an allergy or whatever. That is my question: can we get those figures? And that it is a hard message is a very different discussion, because that is not what I am asking the question about. Of course that is a hard message and of course I am worried about it, but that is not what this question is about. It's about those current figures, which I just want to have.
ParlaMint-NL_2021-10-28-tweedekamer-10.u19	You also have all the figures to give at the moment, because I report on them and RIVM reports on them twice a week; I think even weekly. So you know the vaccination status of the people in the hospitals and you also know the vaccination status of the people on the ic's. To provide more information about it in the sense of what the reason is... There is not always known what the reason is. That is also not recorded in a way that allows you to automatically ask out. So you'd have to interview all the people in the hospitals every day. And yet you won't always be able to rely on the answer. So that's a type of registration that I can't and can't provide either. But the fact is that the vast majority of people in hospitals have not been vaccinated. It is also a fact that the number of people who could not actually be vaccinated for a medical reason is very, very, very small.
ParlaMint-NL_2021-10-28-tweedekamer-10.u20	I think I'm speaking Swahili, because the Minister obviously doesn't understand what I'm asking for. I didn't ask for vaccination status and whether or not they were vaccinated. Why can the chairman of the board of the Gelderse Valley Hospital say on the radio that they were people suffering from medical conditions or seriously underlying suffering and why can't the minister say so, while the minister says in the same breath that there are not many at all and that this is not the most? If the Minister says so, he obviously has information. So the question is very simple. I have already lost all my interruptions to a very simple question: can the Chamber get those figures? That question is very simple to answer with "yes, you can" or with "no, you can't." In the latter case, I could ask why that is not possible. But I've just been sent into the woods six times. I just want to hear yes or no, and if not, why not.
ParlaMint-NL_2021-10-28-tweedekamer-10.u21	No, you can't, because you already have all the numbers out there.
ParlaMint-NL_2021-10-28-tweedekamer-10.u22	I think it's really shameless, really serious. Those numbers are just there. So if I went to Deventer Hospital right now, they wouldn't be able to tell me how many patients they have, for example, pneumonia and how many with a broken foot? That's just registered, right? A hospital knows all the patients why they're in the hospital, doesn't it? Don't they know about all the people on ICU who have diseases at the time? They just know that, don't they? The Minister isn't going to tell me that those figures aren't available or aren't available? It's just a drop-off: you already have all the numbers. No, I don't have those numbers. If I had those numbers, I wouldn't be asking for those numbers here. I don't have those numbers.
ParlaMint-NL_2021-10-28-tweedekamer-10.u23	Finally, the Minister.
ParlaMint-NL_2021-10-28-tweedekamer-10.u24	Maybe I can just try to explain it one more time. The figures you have are about the people who are in the hospitals, whether or not they are vaccinated. In order to prevent you from getting all kinds of fluctuations, you always have to look at them over a certain period of time. That's why RIVM provides an update on them every two weeks. We have seen in the example of Maastricht that if you take a picture instead of watching the whole movie over the month, you can publish very different numbers. So you have to look at it over a longer period of time, and then look at how many of the newly admitted patients have been vaccinated and how many have not. Why do you want to know? Because you want to know if the immunity that was built up after vaccination, the protection against hospitalization, is decreasing. This is relevant information for the vaccination campaign. That is why RIVM investigates this and also digitizes it in hospitals. That is the data flow that goes from the hospitals to the RIVM, and that is why we have an insight into that. Of course, what you have no insight into at a central level is what per patient, every day, is the reason why one has not been vaccinated and whether there could have been a medical reason for that. Whether this medical reason would rightly be provided by the patient in question or by the family in question is still very much the question. That is one point of complexity. The second point of complexity is that it is not registered at all centrally. And the third point of complexity is that it is not centrally identified. Because that's just not possible. That would be a bureaucratic burden of having you there, with an image that changes every day. In short, the answer is: no, it is not easy to ask out; that is not possible. Does an individual doctor or nurse know when someone is in bed whether or not they have been vaccinated? Yes. Does that matter in the quality of care? No. And does anyone know for sure that the medical reason that might be given for not being vaccinated is true? No, you just don't always know that.
ParlaMint-NL_2021-10-28-tweedekamer-10.u25	The Minister is now bringing up the UMC again, but I did not mention the eight out of ten that was photographed. Let me give you an example of the Gelderse Valley Hospital. It's in Ede. I mentioned that example. But if we take on the academic hospital in Maastricht: apparently they can say it there too. Apparently they can say it there too, even if it's a photo moment. And then I still can't figure it out with my hat. The minister says we can't just do that for a second. But I'm not just asking for a minute. I'm not saying, can we have that in ten minutes? I'm asking if that can be figured out and if we can get those numbers. And when the minister says, "Yes, it may be, but it's gonna take a while, because it's a lot of research," well, okay, then that's figuring it out. But to get rid of me with "that's not easy to figure out, we don't do that," I just don't accept that. Unless the minister says he doesn't want to.
ParlaMint-NL_2021-10-28-tweedekamer-10.u26	First of all, on the Maastricht communication and the communication from the Gelderland Valley. They are quite different, and yet they also resemble each other. The Gelderse Vallei apparently says 'I haven't heard that statement, by the way, that most of its patients suffer from underlying suffering. Of course it is. That makes sense, too. Many patients who end up in hospital suffer from underlying suffering. So that "underlying suffering" is not one-on-one the same as "for the reason of that underlying suffering, people could not have been vaccinated, because that underlying suffering was a condition that was a contra-indication for vaccination." Why do I know that's a very small group? Well, because that's just a very small group across the country as a whole. The second is that which is actually recorded. You ask for a data that is not included in the automated registration. If I demanded hospitals to let me know in real time every day, that would be incredibly much administrative burden on the hospitals themselves. And for what purpose? Because it's just not good to do it. The reason people haven't been vaccinated can be incredibly diverse. How the hell would you turn that into a centralized register? I just don't see it in front of me that I can make a central report on that. That's what I'm saying. What is relevant to our approach is the fact that most people in hospitals are not vaccinated. We do know that. You even filed a motion earlier stating that you wanted to know. You wanted to know how many people were vaccinated in the hospitals or not. You said we need to know. That's when I said I think we should know. I also honestly said that I would not be able to do that next week and not even in two or three weeks, because that really takes time. Well, it took even more time than I hoped then, but we did it. There is simply no way of doing more and more detailed registration per patient. There's really no way to do that.
ParlaMint-NL_2021-10-28-tweedekamer-10.u27	Mrs. Van der Plas, finally.
ParlaMint-NL_2021-10-28-tweedekamer-10.u28	I'm sorry, but that's just too easy. The Minister could also simply say: Mrs van der Plas, you are asking a lot of us; I do not know if we can do that, but I will do my best to see if we can do it in an easy way with the hospitals in the Netherlands. First of all, I really am not trying to trivialize the whole problem or to say that it's fine if you haven't been vaccinated. I am also in favour of people protecting themselves from disease, from corona or the flu. I'm sure that's what I'm here for. That's not my point at all. I am concerned that we have seen over the last week that the discussion is polarising very seriously. Mr Francisco van Jole says on Radio 1 just out loud that Christians who do not allow themselves to be vaccinated should just die. That's what we're in right now, and that polarization is gonna get a lot worse, I predict the Minister. In connection with this polarization, we need to be able to let people know exactly what we are talking about. Because we just don't know that. We don't know exactly what we're talking about. So let me ask you again: can we get these figures and is the Minister prepared to at least consult with the hospitals to see if that is registered or not? Because I think it is far too easy for the Minister to say that it is not happening and that it cannot be, because we have not even discussed it further. I think we can do it. We can go to Mars, so we can do this.
ParlaMint-NL_2021-10-28-tweedekamer-10.u29	That's hopeful. Let me respond to two elements, first of all the element of polarisation. I very much agree with Mrs van der Plas that we are concerned about this. The point is only: if we do not face that reality and if we do not see that precisely the people who are not vaccinated need the most protection for any reason they have not been vaccinated, then we will not keep care accessible to both vaccinees and unvaccinated patients, as well as corona patients and non-corona patients. That's the point. That is what you think; we are not opposed to each other in this respect, but on the same side of the line. The accessibility of care to all patients must be our goal. That's one. The second is the registration. I am not going to repeat what I said about that. I'm going to make a commitment in two ways that doesn't go far enough. I'm gonna say that as a warning, too. At least it does not go far enough in Mrs van der Plas' eyes, but it is something I can do. Firstly, this is about the assessment of the group that cannot actually be vaccinated. I think you have a right to have as precise a number as possible of the size of that group as possible based on international literature. I'm gonna have to see if I can do that through RIVM or the Health Council, but I'm gonna estimate that size. That's one. The second point is: can there be enrichment in the registration that we are now getting centralised from the hospitals? I am not yet saying how it is not a question of why, because it is not asked to do so, but whether it would be to register a medical counter-indication for vaccination. That will probably be different in all hospitals again. Anyway, I'd like to go after that, see if we could enrich that central registration and therefore central reporting to the Chamber.
ParlaMint-NL_2021-10-28-tweedekamer-10.u30	I give Mrs Van der Plas the opportunity to respond very briefly and then we will go to Mr Van Haga.
ParlaMint-NL_2021-10-28-tweedekamer-10.u31	We could have had this answer half an hour ago. This commitment is already a start, let me put it this way. I ask the Minister to do so before. It started with: it's not and it can't be. In the end it can, at least an attempt, that is my conclusion. Anyway, thank you for the commitment.
ParlaMint-NL_2021-10-28-tweedekamer-10.u32	No misunderstandings, anyway. I think I'm right to say that I can't. You say, "Go talk to those hospitals and see if you can't do it." So I say, after a lot of talking back and forth: okay, I'll talk to the hospitals, see what I could do to enrich the centrally reported information. That is quite different from the question put by Mrs Van der Plas. That is why I announced myself: I do not know whether you will be madly enthusiastic about my promise.
ParlaMint-NL_2021-10-28-tweedekamer-10.u33	I am now going to Mr Van Haga of the Van Haga Group and then to Mr Van der Staaij, Mrs Agema, Mrs Gündoğan and Mr Van Houwelingen.
ParlaMint-NL_2021-10-28-tweedekamer-10.u34	First of all, I would like to thank the Minister for answering many of my questions in writing, because that saves a lot of time. It saves me a lot of interruptions and it also saves a lot of questions that are normally not answered. And it's a lot faster to read it than when the Minister answers it, so thank you again.
ParlaMint-NL_2021-10-28-tweedekamer-10.u35	Often less flowery.
ParlaMint-NL_2021-10-28-tweedekamer-10.u36	Yeah, less flowery, that's very nice. Anyway, 80% of the hospital hasn't been vaccinated according to the Minister. Well, I'm constantly intruding on the way those percentages are called. They are always round numbers and therefore often estimates. Then you will see that the President of the Maastricht UMC says that 80% has been vaccinated. And then we get another story about the picture and the movie. It does not apply to me that the photo shows 80% vaccinated and that if you look at it in a month, because that means that the Minister would be 60% unvaccinated on average; another round number. Those are all estimates, I think. I would like to know how it is possible for such a chairman to say so and that the Minister, when he looks at the film, comes to a completely different number. I think registration's the problem. That's what we saw at the coronados. There were a lot of deaths that would have died of corona, but in the end it turned out that a lot of people had died with corona, whether it was a car accident, cancer or whatever. We saw that there was a massive under-registration in the vaccination side effects. For example, we see in Belgium that it is well registered, if you look at Flanders.
ParlaMint-NL_2021-10-28-tweedekamer-10.u37	You ask a lot of questions, but maybe it's okay if...
ParlaMint-NL_2021-10-28-tweedekamer-10.u38	Let's look at my first question. How is it possible that this picture and this film are so far apart and that the President of the Maastricht UMC says 80% vaccinated and that the Minister suddenly comes up with 60% unvaccinated when we watch the film?
ParlaMint-NL_2021-10-28-tweedekamer-10.u39	That was indeed my question. How is it that the President of Maastricht calls this number? When asked, Maastricht says that in that particular week a lot of older people with comorbidity or multimorbidity were included and it was that number. I think she meant to say that as a warning that even if you're vaccinated, you're still at risk of getting into the hospital. Of course it is. There you can see that it is different in one umc from the average, but in Maastricht it is also different from the average one has in hospitals. Over the whole month of October, it's about 64% of what I said was 60%, but that was indeed a round number of patients who weren't vaccinated. That is the figure that Maastricht itself reported to RIVM in that month. So these are different numbers. If you would like to communicate about it, you should not look at a week or a day or what is at any time in any department anywhere in the country, because it may contain all kinds of selection bias effects. You have to look at the whole thing. What RIVM does, therefore, is review the report a few weeks back. The group has to be big enough not to get outliers. So the group with large enough are in terms of the number of patients. So they'll be looking at it in a couple of weeks. At this time every two weeks it is possible that they go to every week they report to us about that. It may well be that the larger the group of people who have been vaccinated and the group of people who have not been vaccinated or who have not built up immunity, the smaller the proportion will be. So it is not that four out of five or three out of four is given one standing. That might be a little different. Only, at the moment, I wanted to mention the fact, because I think it is a relevant fact. Because then you know who you have the most to protect from hospitalization. And it confirms that vaccines work, that they work 95% against hospitalization.
ParlaMint-NL_2021-10-28-tweedekamer-10.u40	It is at least a little more specific and 60% is suddenly 64%, for which I am grateful. So it turns out to be really a calculated number. But of course it's weird that if you take the average of a week, you reach 80% and if you take the average in four weeks or a month, then suddenly it falls back to 36%. That is statistically almost impossible, because then you must have almost no vaccinees in the other three weeks. I just don't understand that. Anyway, I was just working on a state in Belgium where they administer everything very accurately. In Flanders, for example, you will see 70.9% completely vaccinated in the hospital and a total of 54.4% vaccinated in the hospital in Belgium. Could it not be because the protection of the vaccine simply decreases and people who have been vaccinated a long time ago no longer have protection but are still registered as vaccinated? Or could it not be because, for example, we here do not register people who have been vaccinated as vaccinated if they have only had a first shot? And maybe we'll start registering people as unvaccinated if they haven't had their third, fourth or fifth shot. Could those two things have something to do with it?
ParlaMint-NL_2021-10-28-tweedekamer-10.u41	The reason we asked for RIVM is because Mrs Van der Plas said months ago that she wanted to know, is that we want to know what the effectiveness of those vaccines is. The primary reason why we want to vaccinate at all is, of course, to protect people from serious diseases and preferably hospitalisations. Now we know that the vaccine effectiveness against hospitalisation is 95%, but we also know about all the vaccines, especially in people with a weaker immune system, that there is decreasing immunity. The reason we asked RIVM to put this in the picture for us once every two weeks is that we know when and where to start the booster campaign. Internationally, a lot of research is being done. The protection of vaccines decreases slightly, but in fact every immunologist says: it is very special how long these vaccines will actually continue to be well protected. However, what we do see among the oldest elderly is that the protection against infection is actually reduced and the protection against hospitalization is still very little. To get ahead of that moment you want to keep an eye on it and give it that booster on time. With regard to partially vaccinated persons, this is kept up to date. So as far as the people who have or have not been vaccinated are concerned, how much is classified, how much is classified in part and how much is covered, partly of course not so much.
ParlaMint-NL_2021-10-28-tweedekamer-10.u42	I do make it difficult for myself to ask two different questions and then I get talked into the woods; I get that very well. Okay, again. In Flanders, 70.9% have been fully vaccinated in hospital, 80% unvaccinated in the Netherlands. How do you explain that difference?
ParlaMint-NL_2021-10-28-tweedekamer-10.u43	I don't know, but I don't know the Belgian figures either. I'm so glad I memorized all these Dutch figures. So I really don't know. I really should check that out. But let us not pretend that the Netherlands and Belgium are so different. The vaccine effectiveness studies are all international studies. The Health Council and also the RIVM always have all the connections, including internationally, with all the other health councils and also the RIVM's to co-ordinate vaccine effectiveness studies. Between these studies there are all kinds of differences, all kinds of selection bias differences; that is also logical, but the effectiveness of all over the place is very high, precisely against hospitalization. That really is the image that is seen everywhere. And there is still very little evidence of a reduction in immunity. This is particularly the case with infection, and certainly not with serious infection or hospitalization. That's where the vaccine protects pretty well all the time. We can only see that the older elderly are taking a little bit away.
ParlaMint-NL_2021-10-28-tweedekamer-10.u44	Would you mind if I gave Mr Van Houwelingen the floor, Mr Van der Staaij? For Mr Van Houwelingen wants to continue on this same point. Is that correct? Yeah? Thank you. Mr. Van Houwelingen.
