ParlaMint-NL_2021-12-14-eerstekamer-8.u1	The next item is the continuation of the government's first-term response.
ParlaMint-NL_2021-12-14-eerstekamer-8.u33	Sure. I would like to report both issues to my successor, but I would say that the first issue is primarily a matter for the Minister of the Interior. On the second issue, I would very much like to mention that point. I am not going to say the word 'compensation' here, but I will draw attention to this issue. Mr. Chairman. That brings me to my last comment, I'm sorry, it's going to be a minute after two. I haven't heard the word "infamous" in so long and I liked it so much that I wanted to repeat it once: the infamous blacklist. The Secretary of State and I and the Minister had a debate last week and were invited by the House of Representatives tomorrow for a two-minute debate on FSV. That is a very serious matter; one of the first things we encountered in our term of office. In any case, we know that there is one group of about 8,000 people, we think, who has been severely damaged by this. Those are people who are not allowed a friendly debt restructuring. We're trying to find out if that's right or wrong, but we think those people have been really wronged. Following Mr Snels' motion, then by GroenLinks in the House of Representatives, I am working on a compensation scheme. With all the others on that list, there is a complicated question: what do you do with people who have been wrongly on a list, whose privacy has been violated, but who have not been harmed by it? We're thinking about that, too. That is an enormous task for my successor, and I regret to say that I cannot spare him having to look at this subject. Mr. Chairman. That brings me to the end of my first term and I am happy to give the floor... but not yet. Not quite yet. Almost.
ParlaMint-NL_2021-12-14-eerstekamer-8.u34	I am still missing an answer to the question of the extension of the first-drive profit tax and the tax avoidance, provoking effect that this entails.
ParlaMint-NL_2021-12-14-eerstekamer-8.u35	You were right to miss that answer. I have had a long debate on this with Mrs Maatoug, colleague of Mr Vendrik in the House of Representatives. That debate ran along the following lines. Mrs Maatoug wanted to amend the tax plan immediately and get this out. I pointed out to her at the time that companies not only split up because of this argument, but also because of other arguments. Secondly, I have pointed out that companies which are in good faith and do not split up for this reason are in themselves subject to a tax disadvantage if we do not introduce this. In addition, whatever I said straight away in the Lower House, this extension of the first disc in itself, considered in isolation, may lead to more split-up. That's a truth like a cow. I did not recommend the amendment in the House of Representatives. I would like to be consistent, so I do not intend to change anything about that at the moment, too, again, given the state in which the cabinet is in. It could just... no, I'm not saying anything about it.
ParlaMint-NL_2021-12-14-eerstekamer-8.u36	Thank you. Members also have a second term, but I can still allow short interruptions. Go ahead.
ParlaMint-NL_2021-12-14-eerstekamer-8.u37	I thought the Secretary of State had a moving insight, but that's disappointing.
ParlaMint-NL_2021-12-14-eerstekamer-8.u38	That is not a question but a observation. And it's a false observation. As I have already said in the House of Representatives, on the occasion of a motion by Mr Delors, I always remember my own party members, Mr Hammelburg, with someone else, Mr Grinwis of the Christian Union, that we are going to monitor the effect of this cutting. That was the progressive insight that the newspapers thought they were finding. That's right. We are concerned that this is going to happen, but on the other hand, this is a fine regime for good-will SMEs in itself, and we also need to keep an eye on it.
ParlaMint-NL_2021-12-14-eerstekamer-8.u39	Then I'll go with you to Mr. Ester.
ParlaMint-NL_2021-12-14-eerstekamer-8.u40	I have listened with great interest to your initial sentences about the four dilemmas you have shared with us. That took some time, but I thought that was a very intelligent beginning. I would like to thank you for that. You already feel: this is a stepping stone to a negative remark. That is the conclusion that...
ParlaMint-NL_2021-12-14-eerstekamer-8.u41	And above all, a question, I hope?
ParlaMint-NL_2021-12-14-eerstekamer-8.u42	... almost ten questions from my group have not been answered. We are talking about the high tax rate on energy prices and not an increase in excise duty on tobacco next year. That's totally contrary to the Prevention Agreement. It's about the VIK, the retroactivity to January 1, 2021. Are the companies that used them compensated? It is about cutting up companies to avoid the boarding rate at the OECD minimum tax. We were just talking about that. It's about the MIA. How do we reach those who are left behind? And I can go on like this. So I'm not really happy about it. Then we can do three things. Or you will go into that now, but that takes a bit of the momentum out of the discussions, and it may not make the President very happy either. The second option is that you will return to that in the second term. And the third option is that you write a note in which you will answer the questions of my group. I will leave the direction to you, but I have noticed that I am not the only one who is a little dissatisfied with the number of questions that have remained.
ParlaMint-NL_2021-12-14-eerstekamer-8.u43	I fully understand that, but I would point out to Mr Ester that a huge number of questions have been asked. I didn't count them. I've been trying to get as many things together as I can. If I have forgotten specific things he would have liked to know, of course I would like to say that again. I have just dealt with tobacco duty. Some of Mr Ester's questions are a little under the heading that, when I answer them, I am really confused about my role at the moment. I said what I wanted to say about tobacco duty, namely that this cabinet is not going to do so. Do you want me to say anything else? On the MIA question, too, I said that the MIA could go higher, as Mr Van der Voort wanted, but also lower, as Mr Ester wanted. I've tried to get all the key points out. I'd like to mention one more. The question about the BIK can be taken with me in the second term, namely the retroactive effect. That's a good question that I didn't answer. On the other questions, however, I would really like to ask the First Chamber to take note of the state of the cabinet and of this Secretary of State.
ParlaMint-NL_2021-12-14-eerstekamer-8.u44	Of course, I understand very well what the Secretary of State says. The question then is which questions are answered and which questions are not answered. Is there an idea? However, I have noticed that many of our questions have not been answered. I am very sorry to hear that, because I am very interested in your answers to that. Most of the questions I asked were independent of the missionary status of the cabinet and the cabinet that is now coming.
ParlaMint-NL_2021-12-14-eerstekamer-8.u45	Let's do this. I haven't left yet. If Mr Ester wishes to repeat those questions in second term, be my guest, but I warn you that I will manage them again.
ParlaMint-NL_2021-12-14-eerstekamer-8.u46	I had a very specific set of questions about KLM and tax delays. Would the Secretary of State be willing to answer this question now or later?
ParlaMint-NL_2021-12-14-eerstekamer-8.u47	I'd be happy to do that now. Mrs Prast knows better than anyone that I cannot answer questions about individual companies. I thought it was an open secret, but I'm not going to say anything else about size and so on. But there are big companies in the tax reprieve, that's right.
ParlaMint-NL_2021-12-14-eerstekamer-8.u48	Let me add to the list of questions that are still waiting for an answer. One may have been given in the large stream of words concerning the targeted exemption for homework costs, whether the burden of proof was on employers or employees. That was the first question. The second question was a more general one. It was about the Council of State's remark that increasing use of policy rules is being raised and that the Cabinet has announced that it will develop a framework for this purpose. Is there a timetable for that and will the Chamber be informed?
ParlaMint-NL_2021-12-14-eerstekamer-8.u49	This is a coincidence, it must be a coincidence, but it is on top of my stack: the framework to which Mr Schalk refers is still under development. I expect my successor to be able to send this to both Chambers in the first half of 2022. So you will be served immediately. And I'll take your first question with me in second term. Thank you.
ParlaMint-NL_2021-12-14-eerstekamer-8.u50	In fact, I do share the negative remark that my colleague Mr Oomen-Ruijten referred to earlier. I have made a detailed speech and I have prepared it in detail, just like Esser. I don't think my name's even mentioned at all. I didn't get an answer at all. I am, of course, open to detailed second-term responses, but I fear that I will have to repeat many things in the second-term. I would like to spare the colleagues that. So let's take a look at a practical modality. The officials still have time with you to prepare a little. I'm not at rest here.
ParlaMint-NL_2021-12-14-eerstekamer-8.u51	I should never have used that term with Mr Van Rooijen, because that was, of course, an insult in itself. I should not have used the word'rest' with Mr Van Rooijen, that is clear, so I apologise for that. I will see what I can answer to these questions in the second term, but Mr Van Rooijen's questions were in extremes what I said to Mr Ester and to Mr Schalk earlier, about questions about the level of the AOW, whether something is just or not, etc. I'll give it a try later. I will try to answer as factually as possible, but I really will stay away from that political point. But I don't know if that's what he means. If he just means factual questions, I'm gonna answer them.
ParlaMint-NL_2021-12-14-eerstekamer-8.u52	That's perfectly clear. I very much agree with that. My argument was not so much to hear or receive things as an answer about the future. I have presented a detailed picture of the current situation, which I am not happy with. I have also explained this in detail. I wanted to have a reflection on this from the Secretary of State, on the status quo, regardless of how this critical status quo can be improved in our view.
ParlaMint-NL_2021-12-14-eerstekamer-8.u53	Mr. Chairman. I'll do my best. Shall we leave it at that? Otherwise, this period will be even longer.
ParlaMint-NL_2021-12-14-eerstekamer-8.u54	Then I will give the floor to the Secretary of State for Finance - Supplements and Customs.
ParlaMint-NL_2021-12-14-eerstekamer-8.u55	Mr. Chairman. It's been about two years since I was involved here as one of your members in the treatment of the Tax Plan. We also discussed the issue of childcare payments, among other things. It is now an honorable task for me to try to solve these problems. Fortunately, a lot has been achieved recently. As a result of your questions, I'm going to tell you a little bit more about that. I was also inspired by my colleague, Mr Vijlbrief, to tell you about two great lessons we have learned in recent times in solving this problem. One is about a dilemma, namely about speed versus care. I would like to say a little more about this in my answers. It is partly the same dilemma that has been outlined in the context of taxes: are you going to quickly compensate many people and are you doing it grossly, or are you opting for a careful approach? That is not a choice that you can only make from the policy maker, the politics, but one that, of course, also has to do with the question of what the people who are doomed really want. What I have learned in recent times is, in particular, that care is incredibly important for many of the injured parents. The second theme is, as far as I am concerned, the human dimension. That, too, is a subject that we exchanged extensively with each other two years ago. At that time we mainly talked about the human measure as a human measure in the system itself. Are you able to apply rules to the specific situations of the specific people for whom the policy is intended? We were talking about the human dimension in the context of services. About counters. About making sure you have people who do the job well, who are well trained, who have the right policy freedom to do things and who have the confidence of their executives to do that. We were talking about the human measure of enforcement, for example, and we were talking about trust. What I have actually learned in recent times is that, when we were talking about the human dimension, we were often talking about the ability to do so, but we were talking too little about talking to those for whom the policy is intended. It constantly, not only in policy making, but also in implementation, check with each other whether what you have devised actually works. Of course, you can do that by speaking very much to those for whom that policy is intended, but also to those for whom it is intended, and that is also not insignificant with those who implement it at the basis of an organisation. That is, I have learned, one of the things that we have missed most in all those years with the problems surrounding the childcare allowance. Talking to those who were meant for the policy. Speaking with, and of course listening to, the employees who had to implement the policy. On top of that, make sure that we also talk to each other when it comes to the institutions involved in implementation. I think that all those reports that have been published recently, from the judiciary, from the Council of State, from ourselves and the parliamentary survey, show that there was not enough talk with the people for whom this policy was intended, but also that we often did not speak with each other. For example, the judiciary indicated that they had doubts at some point, but that they did not discuss them with the Council of State, and vice versa. There are reports from the Ombudsman, but in the end those who had to change policy with those parties did not speak well. When we talk about that issue of human size and how we ensure that this problem is never again prevented, what is a great claim, and what matters is that our lesson is not just human size with space for customization, with counters, with well-educated people at the base, with confidence. Above all, we must ensure that we keep in constant contact with those people for whom we make that policy, to ensure that, if something goes wrong, we are able to adjust earlier. I have also learned these lessons in the context of the recovery of the childcare allowance. I will come back to that in a moment when I am going to answer the questions. That's what I'd like to start with. Let me give you an introduction to where we are now. As you have read in the progress report, we are working with man and power to restore everything that has gone wrong. In the meantime, a small 50,000 people have reported to us. For 40,000 people we have done a first test. This showed that 23,000 parents have been hurt and a large part of them have now received a first payment of €30,000, a large part of them already more. All public debts were then cleared. We've started resolving the private debt. We have already completed a so-called integrated assessment with a large part of the parents, with the aim of achieving the objective we set earlier: 8,300 integrated assessments. In other words, not only are we working very hard, there are also many results being achieved. But what also turned out to be clear is that there is still much to do. Not only have an incredible number of people reported around this time last year that were still about 9,000 parents and now there are 50, 000 parents and we have also learned that we needed additional arrangements for the additional target groups that we didn't initially have in mind: children, the ex-partners of those who have been duped by surcharges, parents abroad and of course also affected by other fees. It is important that I come back to why we want to make these supplementary arrangements in a moment. That's because children have gotten into a lot of trouble, especially the children who are older by now, because they have grown up in poverty and there were not enough resources and opportunities to encourage them to go to school, for example, to make sure that they didn't get into trouble, that there was attention and time for them. As far as the ex-partners are concerned, there is actually the same thing as with those who apply for the allowances, because in many cases it was completely arbitrary who was the applicant for the allowances. It had to be one of the two partners, but that means, if you're not together anymore, that the person who accidentally applied for the supplement will be compensated and the person who didn't happen to do so at the time. So we'd like to fix that. Furthermore, there is a problem of a considerable amount of other allowances, such as rent and care payments, and not least of parents abroad. In order to ensure that we continue to improve the approach to recovery, we have recalibrated. I've sent information about that to this Chamber before. The essence of it is that we have asked a large group of parents what better to do about their recovery. We have learned from that that recovery is far from just about financial recovery. It's also about emotional recovery. In fact, in many cases financial compensation of any size is totally insufficient to allow parents to start their lives again, to make a fresh start. We have dealt with the review very extensively and we have drawn a number of important conclusions. In the recovery process it is important to have personal contact with parents much earlier. This means that we are able to distinguish much better whether people are heavier or less heavily injured, rather than being helped or perhaps waiting a little longer, but also, above all, to identify what is needed. We want to do so, among other things, by introducing a so-called trilogue. The municipality, the parent and the repair organisation work together to identify the needs to be able to choose and differentiate the right approach on this basis. The following is also important as part of the project. That's what I've been trying to tell you with the numbers I just gave you. There are also parents who do not appear to be affected by the childcare allowance. And what is important is that these parents are motivated by us and that we make sure that they, if they do have problems, and that is what many of them have come to the right place. This also requires a greater role of municipalities to provide parents with a permanent point of contact in the right and targeted support. Furthermore, it is incredibly important to pay much more attention to emotional recovery in the approach. In the context of the review, we have also looked at possible interventions in the recovery arrangements as we have them, the financial recovery arrangements. There are two directions that we want to investigate further. One is about making the compensation of part of the actual intangible damage more part of the integral assessment. The other is working with so-called fixing agreements, in which it is possible to determine, together with the parent, what financial compensation should be fixed in order to achieve actual satisfaction. This means that we will work in the coming period on the basis of everything that needs to be done and on the basis of what we started in the review. We will discuss this revised approach with the House of Representatives. It is special that we first discuss this subject here and next Thursday in the House of Representatives. On the basis of this review, we will come up with additional arrangements for further implementation of all this. The idea is that we do this on the basis of the new arrangements, sound execution tests and a new planning. We make sure that we help as many parents as possible as quickly as possible, although not unimportant parents have always said, even in this review, that carefully helping, personally, transparently and on the basis of very clear agreements, is heavily elected for them rather than quick handling. They consider this personal, careful approach to be very important. I think that has a lot to do with the fact that many parents consider it important to get a little more confidence in this way that they are actually compensated in a good way.
ParlaMint-NL_2021-12-14-eerstekamer-8.u56	The Secretary of State will first discuss the review further with the House of Representatives. It's not finished yet. Careful, transparent and personal, that's what the Secretary of State just said. It has to be done. Not only quickly, of course as soon as possible, but also carefully, transparently and personally. That's what the bad guys are insisting on. I share that with the Secretary of State. Can the Secretary of State say a little more about how this is being put into practice? Does the Secretary of State implicitly acknowledge that, looking back on the past two years, this has actually not been done sufficiently so far, so not sufficiently carefully, personally and transparently? There are a lot of parents who are still in uncertainty and confusion about how things are going to go on and how this nightmare can finally end.
