ParlaMint-NL_2021-12-02-tweedekamer-9.u1	I give the floor to the Secretary of State.
ParlaMint-NL_2021-12-02-tweedekamer-9.u12	It was actually my intention to leave only the people who have tabled a motion. Do you have a brief, clarifying question on Mr De Jong's motion? Yeah?
ParlaMint-NL_2021-12-02-tweedekamer-9.u13	If it's okay.
ParlaMint-NL_2021-12-02-tweedekamer-9.u14	It's really short.
ParlaMint-NL_2021-12-02-tweedekamer-9.u15	However, I would ask the Secretary of State to ensure that such figures and reports are not looked at in the light of a welfare state that would be under pressure. Assistance is a right for everyone, and descent is not really relevant. Personally, I am not in favour of taking this with me, but if the Secretary of State is going to do so, I would ask him to do so carefully in that light.
ParlaMint-NL_2021-12-02-tweedekamer-9.u16	I share that and therefore we advise against the motion. That seems clear to me. Distinction on the basis of origin is not permitted by law. In my view, this underlines what Mr Van Baarle is saying. It is also a personal data that is not relevant for the granting of a social security benefit. But we do have a numerical insight in the group with a non-Western background, and also in the group with a Western background. Of course, you also have insight into the costs. We can both report those two. Everyone is there for what they want or not. We have tried to answer this question neatly and in fact, but the request, as in the motion for a resolution, in part No. 37 states, we won't take over. So that motion has been dissuaded. The motion in part No. 38 has also been dissuaded, as I just said. The motion in part No. 39 we're also going to dissuade. The closure of borders for asylum seekers is contrary to all kinds of international conventions. So I'm going to have to dissuade that motion. Then the motion to part No. 40. The Dutch Constitution prohibits the making of distinctions according to origin, race or belief. That's what I just said. The distinction sought is contrary to that. That's why I need the motion in part No. 40 also dissuaded. Then the motion to part No. 41. Islam is a religion that is constitutionally governed by the freedom of creed. With that, I must advise against this motion. Then I come to the motion on part No. 42. The motion gets judgment Chamber. The motion in part No. 43. Around the summer of 2022 the Chamber can be informed with an intermediate position. So that's around the summer. If I may interpret the motion in this way, that judgment will be given to Chamber. Then the motion to part No. 44. It calls for central control, and that is complicated. We support the movement towards a more skill-based labour market and also the various initiatives, but it is up to employers and employees themselves to agree on the deployment and implementation of skills passports. So the use of these skills passports is up to them too. But I can call for their use. If the motion is really being asked to take the lead here, then I must discourage the motion. The motion in part No. 45 is about a broad public campaign that fits in with this time of year. Thank you, Mrs Tielen, for the initiative and for the great poster I have received. I have heard from a number of comments that various parties in the Chamber agree with this. I think this fits in with something that we could do something with. That's how the motion gets judgment, Chamber. Then I come to the motion on part No. 46 by Mr De Kort. The motion is about an appropriate offer for people without initial qualification. If I may read the motion in such a way that I call on the municipalities to lead more people to practical training, then I can leave it to the Court's opinion. The operative part in its present form is contrary to municipal policy freedom. If Mr De Kort makes a change to that, I can give that amended motion a Chamber.
ParlaMint-NL_2021-12-02-tweedekamer-9.u17	Mr De Kort is prepared to do so. It was about the motion in part No. 46.
ParlaMint-NL_2021-12-02-tweedekamer-9.u18	Look, fantastic. The motion in part No. 47 gets judgment, Room. Then the motion to part No. 48. Mr Van Kent has also asked written questions on this subject. I suggest he wait for that answer. If he is not satisfied, he can put this motion to the vote. My request would therefore be to hold the motion. If not, the motion will be dissuaded.
ParlaMint-NL_2021-12-02-tweedekamer-9.u19	Mr. Van Kent, would you like the motion to part number? Forty-eight arrests?
ParlaMint-NL_2021-12-02-tweedekamer-9.u20	I think that's a reasonable proposition, so I do.
ParlaMint-NL_2021-12-02-tweedekamer-9.u21	At the request of Mr Van Kent, I propose his motion (35925-XV, No. 48), as last amended by Regulation (EC) No 40/94 of the European Parliament and of the Council on the common organisation of the market in milk and milk products and on the common organization of That is what is decided.
ParlaMint-NL_2021-12-02-tweedekamer-9.u22	I find that very reasonable of Mr. Van Kent. Thank you. We're gonna do our best on the answer. Mr. Chairman. Then the motion to part No. 49 by Mr Van Kent: increase the minimum wage by 20%. The cabinet chooses a different route. That is what we discussed in the debate. I must therefore advise against this motion. The motion in part No. 50: reign, judgment Chamber. The motion in part No. 51: Judgment Room. The motion in part No. 52: Judgement Room. The motion in part No. 53 asks the government, in consultation with municipalities, to extend the experimental article in the Participation Act in order to provide more opportunities for municipal pilots. I agree with the importance for municipalities to be able to develop new ways. Good and methodological experiments also contribute to this. There's room for that already. The choice of a legal extension is a choice for a new cabinet. That's why I have to discourage this motion. Then the motion to part No. 54 by Mrs Van Beuker-Huijbregts, Mrs Tielen, Mrs Palland and Mr Ceder on a campaign on the workload in childcare. I am prepared to see how I can resupport an extension of the campaign if the sector also decides on a follow-up. With that, I can leave the motion to judge Chamber.
ParlaMint-NL_2021-12-02-tweedekamer-9.u23	The motion in part No. 54 gets judgment, Room. Mrs Maatoug has a question on the motion for a resolution on item No. 53.
ParlaMint-NL_2021-12-02-tweedekamer-9.u24	Because it helps in the assessment by the political groups: is there no other objection for the dissuade, apart from the political objection of the outgoing cabinet?
ParlaMint-NL_2021-12-02-tweedekamer-9.u25	Now to Mrs Maatoug's comments, I am having a discussion with the municipalities about the approach. We have also announced this in the support package. I think it is good that I can have that conversation with municipalities about what they need to be relevant to the approach. I can come back to the Chamber on that. I would like to keep the discussion as open as possible to see what is necessary. I can also ask Mrs Kat to hold that motion for a moment, so that we can inform you about the conversation with these municipalities. You may then still decide to submit that motion. In addition, the debate on the Participation Act is indeed a politically wide-ranging discussion. It seems logical to me to feed it to the formation table. If Mrs Kat could arrest her, I don't have to advise her now and we can wait for the conversation with the municipalities.
ParlaMint-NL_2021-12-02-tweedekamer-9.u26	What period should I think about? When are you going to talk to the congregations?
ParlaMint-NL_2021-12-02-tweedekamer-9.u27	That's what we do. Anyway this year, but whether an action plan comes in December or January, I do not know. But let's say by January.
ParlaMint-NL_2021-12-02-tweedekamer-9.u28	Ms. Kat, are you prepared to hold the motion?
ParlaMint-NL_2021-12-02-tweedekamer-9.u29	No.
ParlaMint-NL_2021-12-02-tweedekamer-9.u30	Then you put him to the vote and continue to dissuade him.
ParlaMint-NL_2021-12-02-tweedekamer-9.u31	Yeah, highly dissuaded.
ParlaMint-NL_2021-12-02-tweedekamer-9.u32	We don't know that variant.
ParlaMint-NL_2021-12-02-tweedekamer-9.u33	Even heavier than just now. This is gonna get another tail, Mr. Chairman.
ParlaMint-NL_2021-12-02-tweedekamer-9.u34	We were at the motion in part no. 55.
ParlaMint-NL_2021-12-02-tweedekamer-9.u35	It was also very cruel that I used Mrs Maatoug to get that motion to be held. Anyway, I went through it so fast. Mr. Chairman. The motion in part No. 55. An earlier motion on this matter has also been rejected. If a partner and children do not have a right of residence, there is no right to a child-related budget through the application of the linking principle. This is government policy and recently endorsed by the House of Representatives. In case the children are Dutch or have a right of residence, an exception is now made which has been assessed for feasibility and costs. Re-examination of the situation in which the child's residence status is not checked has no added value. We also had an amendment by Mrs Maatoug, which was rejected. I make it clear that I indicated in the debate that otherwise we will not allow the article in the collective law to enter into force. I must therefore reject this motion, but I also point out that if it is adopted, it will be delayed. There is no other way to say that.
ParlaMint-NL_2021-12-02-tweedekamer-9.u36	That argument of delay seems to me to be the least useful argument to be put forward now. Secretary of State, I understand what you're saying. You indicated in the debate that there are still some points concerning implementation and that you are talking about this with the Tax Administration. I think it is only logical that you should take the Chamber into account when it comes to making this implementation clearer. I'd like to ask the Secretary of State. Secretary of State, I understand what you're saying about the motion. You also say that it has already been dissuaded. However, we also hear signals that the implementation really doubts whether this is possible and how it should be carried out. In this respect, I would be grateful if you would come back to the Chamber and let us, as a Chamber, take another decision on this.
ParlaMint-NL_2021-12-02-tweedekamer-9.u37	You say that checking whether or not a child's residence status can lead to the possible allocation of child-related budget to illegal children. The Cabinet doesn't want to do that, in any way. That's why we asked for execution tests. They were part of the collective bill. They were positive about that. Then the Secretary of State for Finance said that she had doubts about this. We have written back a letter about this. We will see if we can find a solution with them. Of course, we'll inform the Chamber about that. We must avoid taking the political point here. That was only the subject of the Maatoug amendment. That was rejected by your room. So here we are talking about implementation. Of course, we're seriously looking at that. If it does not succeed in implementation, then we will not have to allow the article in the Collecting Act to enter into force. That would be a shame, because then 950 children will not get a child-related budget.
ParlaMint-NL_2021-12-02-tweedekamer-9.u38	So the motion in part No. 55 is dissuaded?
ParlaMint-NL_2021-12-02-tweedekamer-9.u39	Yes.
ParlaMint-NL_2021-12-02-tweedekamer-9.u40	The motion in part No. 56.
ParlaMint-NL_2021-12-02-tweedekamer-9.u41	The motion in part No. 56 is van Van Beuker-Huijbregts/Gijs van Dijk. If I may read it as an appeal to the next cabinet as well, I can give the motion judgment Chamber. Is that okay? Mrs Van Beuker-Huijbregts is in favour of the next cabinet. That's good.
ParlaMint-NL_2021-12-02-tweedekamer-9.u42	The motion in part No. 57 belongs to Mr Nijboer.
ParlaMint-NL_2021-12-02-tweedekamer-9.u43	I can already hear Mr Nijboer complaining. I am going to give that even more opportunity, because I have to make the motion in part No. 57 dissuaded. We find it undesirable to compensate for the higher energy costs from the government through the unwound foot, because that only compensates for people who have to do with their income. It is, of course, undesirable for people to be affected by higher energy prices with their income. In my opinion, helping is a very relevant point in this motion. People can talk to the bailiff with the help of a debt helper or a volunteer to see if the bailiff can provide more space and opportunities for someone. They may also ask the canton court to raise the attachment-free rate. I inform the Chamber for the Committee debate Poverty about this point and how we are going to help the people together with municipalities to bear the energy costs. I can promise that we will discuss this request from Mr Nijboer with the professional association and how we can improve that assistance. That help is a very relevant point.
ParlaMint-NL_2021-12-02-tweedekamer-9.u44	The energy bill is more the reason than the precise design. So I'm going to hold on to this motion. Instead of putting the motion to the vote, I would ask the Secretary of State if, in the letter which he is undoubtedly sending before the committee debate, he will address the question of whether he can look in the same spirit at the seizure-free rate when he makes the benefits. That's the message I want to deliver.
ParlaMint-NL_2021-12-02-tweedekamer-9.u45	We are going to try to have a conversation with that professional association. We'll inform you how far that goes and whether we can take anything with us.
ParlaMint-NL_2021-12-02-tweedekamer-9.u46	At the request of Mr Nijboer, I propose his motion (35925-XV, No. 57). That is what is decided.
ParlaMint-NL_2021-12-02-tweedekamer-9.u47	The motion in part No. 58.
ParlaMint-NL_2021-12-02-tweedekamer-9.u48	The motion in part No. 58 belongs to Mr Nijboer. We see that living together has financial consequences. We switched that, too. We also exchanged the view that we do believe that the information we are looking for is really available. So many reports have been published, such as the ibo, Committee on Portable Power, Exploration lifestyles and the exploration of different design cost-sharing standard. These include many policy options. The bottleneck letter from SVB mentions the bottlenecks. In the Commission, the carrying capacity of different household types has been compared with taxes and surcharges, among other things. Policy options have also been included here. I therefore advise against this motion. There is a lot of it and a choice can very well be made. It's good to do that, but that's up to a new cabinet. Then the motion to part No. 59 from Mrs. Palland and Mr. Ceder. I can allow the motion to judge Chamber if I may consider the motion as an appeal, so that, given the policy intentions of women's participation in the labour market, childcare and income policies, a new cabinet can consider whether and how the comprehensive examination of the state of the family requested by Mrs Palland can contribute to this.
ParlaMint-NL_2021-12-02-tweedekamer-9.u49	It just happened real fast. You mentioned the employment rate of women and, I think, the part-time ibo.
ParlaMint-NL_2021-12-02-tweedekamer-9.u50	Yes.
ParlaMint-NL_2021-12-02-tweedekamer-9.u51	I think my motion is just asking for something more and something wider. I understand that these are good building blocks, but I would like us to look more broadly at family policy. I understand you're talking about part of it, but can you at least pull the other departments on that?
ParlaMint-NL_2021-12-02-tweedekamer-9.u52	Then I'd have to discourage the motion. My problem is in here. The cabinet's already done several investigations. We did the ibo part-time. This gives an objective picture of the state of play, but above all includes many of the policy options you are asking for, also to influence the decision on hours. The tax and supplement system is explicitly included, the leave arrangements are explicitly included and childcare is explicitly included. We also had the scenario study design children's facilities, SVK. The final report contains four scenarios which provide insight into the possibilities of a different arrangement of the system. These have also been assessed on the impact on employment rates, child development and the simplification of the system. We therefore believe that there are a lot of ingredients for the next cabinet on the basis of which a choice can be made. If it is necessary to add more, I can imagine that. That is why I ask you whether we can interpret the motion as an appeal, so that a new cabinet with new policy ideas, hopefully also aimed at the participation of women, childcare and income policies, can consider whether and how this can be helpful in completing these policies. If I may interpret the motion in this way, I can give the motion judgment chamber.
ParlaMint-NL_2021-12-02-tweedekamer-9.u53	I can live with that last addition. Then I think I have some missionary work to do towards other rulers, but I'm going to do it with enthusiasm.
ParlaMint-NL_2021-12-02-tweedekamer-9.u54	Judgment Chamber for the motion in part No. 59. Mrs. Van Beuker.
ParlaMint-NL_2021-12-02-tweedekamer-9.u55	It just happened very quickly with the reading of the motions. I should have asked the question to the CDA, of course, but I want to do it now through you to the Secretary of State. I suppose that includes single-parent families. That is, of course, a financially vulnerable group. I'd like to confirm that for a moment.
ParlaMint-NL_2021-12-02-tweedekamer-9.u56	The author of the motion calls very loudly: of course! So I think the answer is yes.
ParlaMint-NL_2021-12-02-tweedekamer-9.u57	I heard. Thank you.
ParlaMint-NL_2021-12-02-tweedekamer-9.u58	The motion in part No. 60.
ParlaMint-NL_2021-12-02-tweedekamer-9.u59	That is Mrs Maatoug's motion. The cabinet has this package, and as I said, we are monitoring it. We exchanged that in the debate. So I must advise against this motion. Then the motion to part No. 61, also from Mrs Maatoug. I think that's a nice motion. He's gonna get judgment, Room. Oh, I can see it's not pretty enough.
ParlaMint-NL_2021-12-02-tweedekamer-9.u60	Mrs Maatoug undoubtedly has a question on the motion for a resolution on item No. 60.
ParlaMint-NL_2021-12-02-tweedekamer-9.u61	That's right, but the compliment's in the pocket. So thank you, and a compliment back for the speedy handling. My question to the motion for a resolution on part No. 60 was or you can outline what the process looks like. We'll get another letter setting out the package. The political question that my group wants to answer is whether that is enough, also in view of the third-term debate in the Financial Reviews. Mr Nijboer has also made good reference to this. So let's get to the trial question, because this wasn't clear in the letter. We have already voted on the budgets. How does this Secretary of State see it?
ParlaMint-NL_2021-12-02-tweedekamer-9.u62	We tried to make that clear in the letter by saying that we are sending this to the Chamber before 15 December. Then the debate on poverty and debt. Then the Chamber can take stock of that. Perhaps it is good to know: I understand that the debate on the Navy note will also take place on that day. If there are any specific wishes, then this could still be an opportunity. Of course I speed up with the municipalities, but it can't be faster than possible to achieve something good, including for them. I hope Mrs Maatoug will be able to deal with that.
ParlaMint-NL_2021-12-02-tweedekamer-9.u63	We were at the motion in part no. 62.
ParlaMint-NL_2021-12-02-tweedekamer-9.u64	The motion in part No. 62 belongs to Mrs Maatoug and Mrs Simons. He's gonna get judgment, Room. The motion in part No. 63 from Mr Ceder and Mrs Palland can be judged Chamber if point two is deleted from the operative part. I understand that has already happened. Is that indeed the case?
ParlaMint-NL_2021-12-02-tweedekamer-9.u65	Has there been a revised, modified motion in your possession? Excuse me, Mrs Palland, if you'd like to say something, perhaps you could stand by the interrupting microphone. I know it's late, but yelling from the hall...
ParlaMint-NL_2021-12-02-tweedekamer-9.u66	You're absolutely right, Mr. Chairman. I have to get on my feet, too, especially for rulers. I am also looking at Mr Ceder. In our version, the second operative part reads "to inform the Chamber before 1 February."
ParlaMint-NL_2021-12-02-tweedekamer-9.u67	Then I'll have to discourage the motion. If we can get that point out of the operative part, we can give the motion judgment Chamber. I am not sure if we will make it to 1 February.
ParlaMint-NL_2021-12-02-tweedekamer-9.u68	But it won't be a year later, I'll ask.
ParlaMint-NL_2021-12-02-tweedekamer-9.u69	Just to negotiate with the interrupting microphone.
ParlaMint-NL_2021-12-02-tweedekamer-9.u70	As far as I have any influence on that by then, that seems strong to me.
ParlaMint-NL_2021-12-02-tweedekamer-9.u71	Mrs. Palland, what do you do?
ParlaMint-NL_2021-12-02-tweedekamer-9.u72	I'm gonna have to take a look at the principal, too, but I think we're gonna get out. Then before the vote, let's see if we can change the motion.
ParlaMint-NL_2021-12-02-tweedekamer-9.u73	Yes, but for now, I note that this motion is not recommended. If you have an amended motion with another operative part, we will see.
ParlaMint-NL_2021-12-02-tweedekamer-9.u74	Yes.
ParlaMint-NL_2021-12-02-tweedekamer-9.u75	Okay.
ParlaMint-NL_2021-12-02-tweedekamer-9.u76	I think it's our intention to change the motion.
ParlaMint-NL_2021-12-02-tweedekamer-9.u77	Look. Now, sit down. We were at the motion in part no. 64. We still have a lot of motions.
ParlaMint-NL_2021-12-02-tweedekamer-9.u78	I have just heard Mrs Palland screaming about single-parent families. It shouldn't get weirder. The motion in part No. 64 is among others by Mr Ceder, but also by Mr Stoffer, Mr Peters and Mrs Kat. That's a nice motion. We can do something with that, and that's why the motion gets judgment Chamber. Then the motion to part No. 65 of the members Ceder, Van Beuker-Huijbregts, Tielen and Palland. For this purpose, a tradition has been built up in this Chamber for the Craft Academy during the budget. We talk about this very often, and always with good hope that we can continue the initiative. That is also clear from this motion. We have the agreement that the Craft Academy will present results as well as alternative funding opportunities. That was a wish from the Chamber. For the moment, the results, as far as we can see, are disappointing. On the basis of the report, I think it would be very good to start that discussion, including on the guarantee of knowledge, expertise and infrastructure. That's not a conversation for which we reserve money. I would like to make that very clear. With those comments I can give the motion judgment Chamber.
ParlaMint-NL_2021-12-02-tweedekamer-9.u79	Then we come to Mr Van Baarle's fine handwritten motions.
ParlaMint-NL_2021-12-02-tweedekamer-9.u80	You say it and I thought so. And they're also readable.
ParlaMint-NL_2021-12-02-tweedekamer-9.u81	The motion in part No. 66.
ParlaMint-NL_2021-12-02-tweedekamer-9.u82	It's good to say something about that motion. Mr Van Baarle asked about the action plan. That's what the next story is all about. That action plan is coming to an end, but the activities are actually going to continue. This concerns legislation, research, awareness and support for employers in the approach. We agree with Mr Van Baarle that it is a good idea to combine policy in the activities as much as possible and to inform the Chamber periodically. We're looking for the way in which we find that bundling most to his liking. This is also linked to the approach of the national coordinator in a moment's time. I would like to keep an open mind as to whether this is a continuation of the current action plan or more with that plan. With that, I can certainly give the motion judgment Chamber.
ParlaMint-NL_2021-12-02-tweedekamer-9.u83	The motion in part No. 66 gets judgment room. Then the motion to part No. 67.
ParlaMint-NL_2021-12-02-tweedekamer-9.u84	The motion in part No. 67 is about a bill that has been declared controversial. A reporting point or code requires a good impact and should also be supported by the intermediaries who will implement it. It is also possible to add a hotline or reporting code later to the bill, if the cabinet then takes it further, or develops it separately, and it effectively shapes it. But for that, the bill has to be dealt with first. It's also controversial. So this motion must therefore be discouraged.
ParlaMint-NL_2021-12-02-tweedekamer-9.u85	The motion in part No. 67 is not recommended.
ParlaMint-NL_2021-12-02-tweedekamer-9.u86	I may be wrong, Mr. Chairman, but I think the bill sees equality in recruitment. The draft law on the monitoring of equal opportunities in recruitment has been declared controversial. It was initially the intention to put that obligation of notification in it, but later it was decided not to use that obligation of notification there. The latest information was that the government was still working on this reporting obligation. I would like us to get that quickly in the form of a law.
ParlaMint-NL_2021-12-02-tweedekamer-9.u87	Then I'll have to check it out. As I understand it, the legislative proposal does not include a hotline or a reporting obligation, because the proposal was not yet sufficiently developed. This was also due to motions in this area: the Jetten motion and the Van Weyenberg/Peters motion. We're working on that effect, but I can give you the answer, Mr. Van Baarle. I'm gonna start doubting what's happening there and what's not. Let me get this straight. Shall we?
ParlaMint-NL_2021-12-02-tweedekamer-9.u88	That's how we're gonna do it.
ParlaMint-NL_2021-12-02-tweedekamer-9.u89	That helps you, I think, the most.
ParlaMint-NL_2021-12-02-tweedekamer-9.u90	That with regard to the motion in part No. 67. Let me now turn to the motion for a resolution on part No. 68.
ParlaMint-NL_2021-12-02-tweedekamer-9.u91	The motion in part No. 68 asks the Government to legally prohibit the use of risk profiles in a property survey if it includes the criterion "a country of origin other than the Netherlands." Among other things, the Constitution and the European Convention on Human Rights prohibit discrimination. So these are legal imperatives. This is different from a ban on the use of the "other country of origin" criterion. On the basis of case law, "a country of origin other than the Netherlands" is only permitted as a single selection criterion if there are sufficient objective reasons for doing so and if the investigation is not carried out into beneficiaries of assistance of only one nationality. That's how we answered it in the set. As far as I am concerned, we have good and adequate safeguards against discrimination. Through knowledge sessions organised by, among others, the VNG and a hand delivery, this is also continuously brought to the attention of municipalities. There is reason to do that, because there is a small part where this happened. Van Baarle referred to that as well. So we'll have that conversation with them. But I must advise against this motion.
ParlaMint-NL_2021-12-02-tweedekamer-9.u92	The motion in part No. 68 is not recommended. Then the motion to part No. 69.
ParlaMint-NL_2021-12-02-tweedekamer-9.u93	That is Mrs Den Haan's motion and many others. If the question can be interpreted in such a way that special attention should be paid to the "older unemployed" target group and there should be a discussion with the parties mentioned, then I can see this motion as a motion building on our policy. And with that, I can give her judgment room.
ParlaMint-NL_2021-12-02-tweedekamer-9.u94	I don't see Mrs. Den Haan herself.
ParlaMint-NL_2021-12-02-tweedekamer-9.u95	They're nodding, Chairman. They totally agree with me. Whoever shuts up agrees, Mr. Chairman.
ParlaMint-NL_2021-12-02-tweedekamer-9.u96	I hope someone's listening. One of the other signatories?
ParlaMint-NL_2021-12-02-tweedekamer-9.u97	Do I hear the Secretary of State say "only older unemployed"? It could also be about job seekers, because I think Mrs De Haan had a slightly wider...
ParlaMint-NL_2021-12-02-tweedekamer-9.u98	Sure. No, it's 45-plussers. The scope is the same, but when are you old, huh? 45-plus, that's a tough discussion.
ParlaMint-NL_2021-12-02-tweedekamer-9.u99	I wouldn't want to label 45 years as old right away.
ParlaMint-NL_2021-12-02-tweedekamer-9.u100	No. I understand you're both saying that.
ParlaMint-NL_2021-12-02-tweedekamer-9.u101	Yes! But before the Secretary of State becomes too jovial: if I listen to Mrs Tielen in this way, Mrs Den Haan can agree to the reading of the Secretary of State for the motion in part No. 69.
ParlaMint-NL_2021-12-02-tweedekamer-9.u102	We can live with that, Mr President. Excuse me, Mr. Chairman. I'll do less jovial.
ParlaMint-NL_2021-12-02-tweedekamer-9.u103	The motion in part No. 70.
ParlaMint-NL_2021-12-02-tweedekamer-9.u104	It was a joke, of course. The motion in part No. 70 calls on the government to remove obstacles so that people with benefits during the pandemic can volunteer in healthcare. I can give him a ruling room. Volunteering can already be done, also in the WW. And as of 1 January 2019, the possibilities for doing so have been extended. If I may explain the motion in such a way that we will keep that voluntary scheme in place and bring it to the attention of the House where we can do so, then I can give the motion judgment Chamber. There is indeed a great need for support in the care sector.
ParlaMint-NL_2021-12-02-tweedekamer-9.u105	That was the motion in part No. 70. He gets a ruling from the Chamber and now the motion in part No. 71.
ParlaMint-NL_2021-12-02-tweedekamer-9.u106	The motion in part No. 71 deals with an inventory of different policy options. There are a variety of reports. I have just mentioned a number of them. There will also be a committee on the social minimum. That is why I do not recommend this motion. Then the motion to part No. 72 from Mrs Simons and others. A great deal has already been mapped out for the increase in wml, including its effects. I also think that it has been changed in the Chamber many times and that it is waiting for choices. That's why I can advise against the motion. The motion in part No. 73 on the minimum youth wage, I have to advise against. That's up to a new cabinet. The motion in part No. 74 is about sex workers. I responded to this in the written set. We also had a brief debate on it. I very much agree with Mrs Simons that sex workers deserve full protection. I do not agree that it would be necessary to place the entire file at SZW. A good collaboration between the different angles, i.e. between JenV, VWS and SZW, is also important for the future. That's why I have to discourage the motion. The motion in part No. Mr Omtzigt's 75th and others' 75th are about the minimum wage. I've already said a number of things about it. So I must discourage this motion. Then the motion to part No. Mr Omtzigt. The cabinet has its own plan. We've had a lot of exchanges about that. That's why I have to dissuade this one. The motion in part No. 77 is about the cost sharing standard. We're talking to VNG, but those conversations are broader and are about how to deal with cramped ones. There has already been talk of customisation in the cost sharing standard. That is what has been called for. There is customization possible. It is also not subject to a maximum time limit. That's what municipalities think. That is not the case. The subject has been controversially declared in the exploration by your Chamber, but we have taken your calls to heart and made a handout for municipalities together with Divosa. The new cabinet can take steps on that, but that is why I must now discourage this motion.
ParlaMint-NL_2021-12-02-tweedekamer-9.u107	The motion in part No. Seventy-seven is not recommended.
ParlaMint-NL_2021-12-02-tweedekamer-9.u108	Yes. That was another motion that was passed. I also think I have the motion in part No. 41, or did I just have it?
