Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2021-07-06-eerstekamer-9	ParlaMint-NL_2021-07-06-eerstekamer-9.u1	Report of the meeting of the Dutch Upper House, Meeting 44, Session 9 (2021-07-06)	2021-07-06	Upper house	Meeting of the 36th Eerste Kamer	Session 9	Meeting 44	Sitting 2021-07-06	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2021-07-06-eerstekamer-9	ParlaMint-NL_2021-07-06-eerstekamer-9.u12	Report of the meeting of the Dutch Upper House, Meeting 44, Session 9 (2021-07-06)	2021-07-06	Upper house	Meeting of the 36th Eerste Kamer	Session 9	Meeting 44	Sitting 2021-07-06	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2021-07-06-eerstekamer-9	ParlaMint-NL_2021-07-06-eerstekamer-9.u13	Report of the meeting of the Dutch Upper House, Meeting 44, Session 9 (2021-07-06)	2021-07-06	Upper house	Meeting of the 36th Eerste Kamer	Session 9	Meeting 44	Sitting 2021-07-06	-	COVID	English	Guest	notMP	notMinister	SP	Socialistische Partij	-	Left	TinyKox	Kox, Tiny	M	1953	
ParlaMint-NL-en_2021-07-06-eerstekamer-9	ParlaMint-NL_2021-07-06-eerstekamer-9.u14	Report of the meeting of the Dutch Upper House, Meeting 44, Session 9 (2021-07-06)	2021-07-06	Upper house	Meeting of the 36th Eerste Kamer	Session 9	Meeting 44	Sitting 2021-07-06	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2021-07-06-eerstekamer-9	ParlaMint-NL_2021-07-06-eerstekamer-9.u15	Report of the meeting of the Dutch Upper House, Meeting 44, Session 9 (2021-07-06)	2021-07-06	Upper house	Meeting of the 36th Eerste Kamer	Session 9	Meeting 44	Sitting 2021-07-06	-	COVID	English	Guest	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	TheoRietkerk	Rietkerk, Theo	M	1962	
ParlaMint-NL-en_2021-07-06-eerstekamer-9	ParlaMint-NL_2021-07-06-eerstekamer-9.u16	Report of the meeting of the Dutch Upper House, Meeting 44, Session 9 (2021-07-06)	2021-07-06	Upper house	Meeting of the 36th Eerste Kamer	Session 9	Meeting 44	Sitting 2021-07-06	-	COVID	English	Guest	notMP	notMinister	PVV	Partij voor de Vrijheid	-	Right to far-right	AlexandervanHattem	van Hattem, Alexander	M	1983	
ParlaMint-NL-en_2021-07-06-eerstekamer-9	ParlaMint-NL_2021-07-06-eerstekamer-9.u17	Report of the meeting of the Dutch Upper House, Meeting 44, Session 9 (2021-07-06)	2021-07-06	Upper house	Meeting of the 36th Eerste Kamer	Session 9	Meeting 44	Sitting 2021-07-06	-	COVID	English	Guest	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	TheoRietkerk	Rietkerk, Theo	M	1962	
ParlaMint-NL-en_2021-07-06-eerstekamer-9	ParlaMint-NL_2021-07-06-eerstekamer-9.u18	Report of the meeting of the Dutch Upper House, Meeting 44, Session 9 (2021-07-06)	2021-07-06	Upper house	Meeting of the 36th Eerste Kamer	Session 9	Meeting 44	Sitting 2021-07-06	-	COVID	English	Guest	notMP	notMinister	PVV	Partij voor de Vrijheid	-	Right to far-right	AlexandervanHattem	van Hattem, Alexander	M	1983	
ParlaMint-NL-en_2021-07-06-eerstekamer-9	ParlaMint-NL_2021-07-06-eerstekamer-9.u19	Report of the meeting of the Dutch Upper House, Meeting 44, Session 9 (2021-07-06)	2021-07-06	Upper house	Meeting of the 36th Eerste Kamer	Session 9	Meeting 44	Sitting 2021-07-06	-	COVID	English	Guest	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	TheoRietkerk	Rietkerk, Theo	M	1962	
ParlaMint-NL-en_2021-07-06-eerstekamer-9	ParlaMint-NL_2021-07-06-eerstekamer-9.u20	Report of the meeting of the Dutch Upper House, Meeting 44, Session 9 (2021-07-06)	2021-07-06	Upper house	Meeting of the 36th Eerste Kamer	Session 9	Meeting 44	Sitting 2021-07-06	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2021-07-06-eerstekamer-9	ParlaMint-NL_2021-07-06-eerstekamer-9.u21	Report of the meeting of the Dutch Upper House, Meeting 44, Session 9 (2021-07-06)	2021-07-06	Upper house	Meeting of the 36th Eerste Kamer	Session 9	Meeting 44	Sitting 2021-07-06	-	COVID	English	Guest	notMP	notMinister	PVV	Partij voor de Vrijheid	-	Right to far-right	AlexandervanHattem	van Hattem, Alexander	M	1983	
ParlaMint-NL-en_2021-07-06-eerstekamer-9	ParlaMint-NL_2021-07-06-eerstekamer-9.u22	Report of the meeting of the Dutch Upper House, Meeting 44, Session 9 (2021-07-06)	2021-07-06	Upper house	Meeting of the 36th Eerste Kamer	Session 9	Meeting 44	Sitting 2021-07-06	-	COVID	English	Guest	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	TheoRietkerk	Rietkerk, Theo	M	1962	
ParlaMint-NL-en_2021-07-06-eerstekamer-9	ParlaMint-NL_2021-07-06-eerstekamer-9.u23	Report of the meeting of the Dutch Upper House, Meeting 44, Session 9 (2021-07-06)	2021-07-06	Upper house	Meeting of the 36th Eerste Kamer	Session 9	Meeting 44	Sitting 2021-07-06	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
