ParlaMint-NL_2021-05-20-tweedekamer-7.u1	I call the Secretary of State.
ParlaMint-NL_2021-05-20-tweedekamer-7.u13	I think we are in danger of getting into a semantic discussion about a piece that is not yet in the Chamber. So let me suggest that I send the documents to the Chamber as planned. The Chamber can always talk about that. I would like to add the information on the lists adopted by the European Commission. If Mr Van Raan believes that he is still missing something from the documents sent and the decision, then he can always ask about them. In this way, we will at least avoid getting into a semantic discussion with each other. The Labour Party asks why the increase in biofuels is being chosen for lighter vehicles. First of all, we have the objectives of the Climate Agreement and, on top of that, the Urgenda objectives. In the discussion on the Climate Agreement, we looked at the sectors within which there is potential to achieve that 49%, and the overall cost-effective implementation across the different sectors, with all sectors facing a challenge to grow. At that time we said that there is also a button on biofuels that we can turn to achieve this CO reduction, because that 49% we simply wanted to get as a cabinet. Then we had the PBL calculate what possibilities there would be in which sectors. That's where biofuels, I say from my head, came out a potential of about 5 megatons. We didn't take it. We've maximized it to 2 megatons, precisely because of the desire to really fill it in and fill in the increase with advanced biofuel. Then you must also be limited in the amount that you can generate until 2030. As the annual reports of the NEa show, diesel substitutes are also used in particular. Those diesel replacements also focus on heavier transport. This also fits in with the system of the biomass framework that actually says: you have sectors where you are gradually going to reduce again, sectors where you are going to rebuild and sectors where you are going to build. Thus, for passenger transport, this legislation contributes precisely to electrification and thus to strengthening the phasing out of lighter transport by allowing renewable electricity. The Netherlands has been at the forefront of this for years. In addition, there is an existing fleet of cars that are slowly phased out, including fuel conservation. How do we see the timeline? That question might be linked to that. We're clearly focusing on electrification. Part of the agreement in the Climate Agreement is that we do not want to add new fossil cars to the Dutch fleet from 2030 onwards. In Europe, too, negotiations are indeed underway and discussions are being held on the possible introduction of an end date for the sale of fossil fuel cars. Because you also have the hydrogen car. It's electrification, I'll just say for the sake of completeness. With this, and also with our own objective, the use of biofuels is of course gradually shifting from light to heavier transport, because we are simply phasing out these light vehicles in the use of biofuels. We are also committed to accelerating the development and availability of alternative energy sources in order to facilitate this. In my opinion, Mr Grinwis recalled the fact that the Netherlands is truly a frontrunner in the field of loading posts. I believe we have about 66,000 charging points in the Netherlands. That's what makes us the frontrunner. That is also what we are continuing with our National Agenda Loading Infrastructure. In short, we are working on this sustainability and, in practice, on that reduction. How was the sustainability framework included in this bill? Well, this whole bill is, of course, drafted. The choices that have been made and the framework conditions for this concern, of course, European legislation, but also our Climate Agreement, the Urgendadacht and, of course, the sustainability framework that we have put in place to ensure that bio-materials are actually used in a good way across all sectors. The Economic and Social Committee has concluded that, in principle, sufficient bio-raw materials are available at global and European level to meet the Dutch needs. The question, which also came a bit from the PvdA, was: can we work with a fair share? Well, the Economic and Social Committee has also concluded, on the basis of the PBL's research, that fair share is difficult to assess. They strongly recommend to focus on fair trade and certification of the sustainability of biomaterials. That advice was taken by the cabinet. The Christian Union asked about the timetable. I think 2030 is an important moment, because then we want to stop selling fossil fuel cars as a cabinet. In addition, road transport, both light and heavy road transport, must be zero emissions by 2050. That's what we strive for together. For passenger transport, this is likely to be faster than for freight transport. I am also thinking of the whole range of zero emission zones in the inner cities. 30 to 40 Dutch inner cities are going to announce a zero emission zone for cargo. In the Netherlands we are also working very actively to make that heavier transport more sustainable, on the one hand via electrification but also via hydrogen. In particular, hydrogen has a number of major advantages for this heavier transport. We also look at both in the loading infrastructure. Then there's a question of fry fat. All efforts, whatever we use, have to meet both reduction and sustainability criteria. The whole chain is looked at. A large part of the effort in the Netherlands is also from the EU. Those are all the conditions that we put in place. Am I willing to take the chain as well? Yeah, we're also actively targeting waste and residues. These are characterized by high chain reductions. We also exclude high-ILUC crops. As a result, the Netherlands achieves higher chain reductions annually than other Member States. Those were a few general questions. Then I come to a block across different flows, then some more about EV, and then some other questions. A number of members have drawn attention to PFAD in the various flows. That is indeed a by-product. ILUC is not a criterion. Palm oil is of course also used not only for biofuels, but also to a significant extent for food and cosmetics. Palm oil really is in a lot of products. Then there is a residual stream that can then be used. Despite this, this current is hardly used in the Netherlands. But he's under the limit of food anyway. So he's being used very limitedly. "Food crops in the Netherlands" was 1.7% of fuel use in 2020. The VVD's question was about the use of residual biomaterials. Indeed, the Netherlands has been using waste stream residues as a raw material for biofuels for many years. We will certainly continue to do so, because they generate large CO gains and have no risk of deforestation. Sometimes new flows come up and the question is whether these can be certified as residual current. As I said to Mr Van Raan, this is a European matter. For example, at the request of the CDA and the VVD groups, for certain fats, we supported the industry to see if it should indeed be certified according to the criteria as a residual stream and then brought to the attention of the European Commission. So if there are specific questions, we'll see if it meets the criteria, because if we can deploy residual flows, we'll all be better off.
ParlaMint-NL_2021-05-20-tweedekamer-7.u14	I sometimes have the idea that I am in some kind of theoretical approach and that the practice is very different. It all sounds nice: residual flows, Dutch production. I see precisely that the import of oil for diesel substitutes in the Netherlands has almost doubled under your Secretary of State. So we've been importing a hell of a lot more since you've been Secretary of State here. That's the practice. Then there are countless reports that say that all those biodiesels are worse than regular diesel, worse for the climate as well. So it is also very missing in terms of CO emissions. These emissions are just gonna go on and on. We are going to increase the use of biodiesel in the coming years, not reduce it. So are you not in a theoretical exercise by calculating with your accountants in Brussels whether we are doing everything while the practice is quite different, namely that we are destroying jungles?
ParlaMint-NL_2021-05-20-tweedekamer-7.u15	I recognize the PVV's concerns about the primordial forests. I also appreciate their commitment to this. I hope that this commitment also applies to Dutch nature. I also hope that climate concerns will be widespread and that concerns about CO emissions will encourage the PVV to fully support its broad commitment to combating climate change, which indeed has all kinds of impacts on biodiversity. When it comes to combating climate change, we also need to replace fossil fuels with biofuels. You have to check every time that biofuel under the line is really better for the climate, otherwise you're not doing the right thing. That is why it is so important for the European Commission to carry out this research in a structural manner and also to draw up lists based on the latest scientific findings. They also update that list at regular intervals. If an update is taking place, I will certainly inform the Chamber about what the latest investigation actually shows about what it yields under the line. Of course, that is crucial: if it doesn't work out under the line, we shouldn't do it. We agree on that. If it is successful, I hope that Mr Madlener will also support it.
ParlaMint-NL_2021-05-20-tweedekamer-7.u16	Well, sure. We are not at the kitchen table; we are in the parliament of the Dutch people. If I'm going to look for facts, I'm just going to come up with completely different figures than you. Then I see that the current use of palm oil, but also soya, is worse than the use of regular diesel. It is also more expensive for the motorist, but it is also worse when it comes to CO emissions and destruction of jungle, which we are, of course, concerned about. How come you come here with beautiful stories, with calculation exercises and "we have to meet" while practice is a whole different one? Who are we kidding?
ParlaMint-NL_2021-05-20-tweedekamer-7.u17	In any case, let us ensure that we do not fool the electorate, because palm and soya are not used in the Netherlands because of the concerns that are indeed there about the durability of these oils. We have made an agreement with the sectors that these oils are not used in the Netherlands. Well, that's not gonna happen. It is an agreement we made under the Climate Agreement that will not happen either. Palm oil is also excluded in this legislation. Again, there is an amendment from D66 to ask the question for soy too: if it is soy that you can really say there are high risk factors... If it is grown in the Netherlands, then there will be no jungle for it, but if that threat is there, you should not want it. I will come back to that amendment later, but no palm oil and no soya oil are being used in the Netherlands for the production of biofuels.
ParlaMint-NL_2021-05-20-tweedekamer-7.u18	I do agree with the PVV a little bit in this respect, because when I hear the story of the Secretary of State, it seems that we all agree and that we come out easily, but the practice is another. She says, for example, that we should focus as much as possible on the reuse of substances and that waste streams should be mainly used for the production of biofuels. But does she see that the outcome of the law we are discussing today will be that imports of conventional biofuels will increase? Does she see that?
ParlaMint-NL_2021-05-20-tweedekamer-7.u19	No, because we are there ourselves how we set a limit to the extent to which those primary biofuels, those first generation biofuels, are used. According to European regulations, the Netherlands was allowed to use up to 7% of those primary biofuels, of those first generation biofuels. That was the European cap. I reduced that in my time as a Member of Parliament together with a Member of Parliament from GroenLinks. By 2020, it was 1.7%. There is European regulation that then indicates that you can only be up to 1% above that figure by 2020. So we're a long way from the cap that was there at first. We're really at a low percentage, and I think we should keep that low. That really is our joint commitment. I also feel support for this from the input into the Chamber. We are going to talk about it further in the decision, but I share with Mr Alkaya that we should not see this great growth. Then we'll go into the decision with each other.
ParlaMint-NL_2021-05-20-tweedekamer-7.u20	It is nice that we are far from that cap, but the question is of course: is the use of that primary raw material for biofuels going to increase with this law compared to the current situation or not? I do not hear the Secretary of State say: no, it is not going to increase significantly. Wouldn't it be nice if we could decide that here? Then we've already taken some of the concerns away and we can talk about the rest. Does the Secretary of State rule this out?
ParlaMint-NL_2021-05-20-tweedekamer-7.u21	I can certainly underline the intention, but the decision itself comes when we take it together here. The law contains brackets. Mr Van Raan and a number of others asked whether we were still discussing this with the Chamber. In that decision are the percentages and then you can record what is and is not increasing. It is my commitment, which I think is shared by a whole section of the Chamber, that we are very careful with those first-generation biofuels. Our joint commitment is not to increase that. That's what we'll decide in that decision. For the viewers at home, that may sound a bit strange, but the regulation is so structured that we are now creating a law as a kind of framework. In addition, further legislation will be introduced which will cover a number of aspects of this law. It sets out those percentages.
ParlaMint-NL_2021-05-20-tweedekamer-7.u22	Does the Secretary of State see that one for some groups, at least for my group, is very important to the other? There is a theoretical possibility that today we will adopt a law laying down ambitions, and then the decision shows that we will not reduce the use of those primary crops. In that case, today, we would legally lay down that we are going to cause all kinds of misery in the world. We all have to be able to rule that out, don't we? Could the Secretary of State at least undertake to ensure that this does not happen?
ParlaMint-NL_2021-05-20-tweedekamer-7.u23	Our common ambition is not to increase the misery in the world. I think that we should also ensure that we translate that correctly between this law and the actual decision. Absolutely.
ParlaMint-NL_2021-05-20-tweedekamer-7.u24	You're continuing.
ParlaMint-NL_2021-05-20-tweedekamer-7.u25	Yes. The SGP asked about the distinction between those categories of "by-product' and "waste'. I can tell Mr Bishop that this is in the annex of the European Commission. It makes that distinction and has very clear criteria for it. If there are questions like "where does a substance fit" there is always an opportunity to bring that to the attention of the Commission. There is therefore a balancing framework for this. There was another question from the Party for Animals about woody biomass. How do we look at not allowing woody biomass? All efforts must demonstrate compliance with sustainability criteria. Woody biomass can contribute in this way. Some of these raw materials have been put on the advanced list by the European Union. It would be a shame to exclude something that is advanced, whereas we want to make the movement from conventional to advanced. That remains the case for everything that we need to ensure that it is certified sustainable. Does the Secretary of State recognise that there are CO concerns in soy as well? That is a question from the SGP. As far as I am concerned, it is extremely important that the use of biofuel must meet sustainability criteria and reduction criteria in the chain. The Dutch line remains in order not to use soy for fuel. Fortunately, this has been the practice for many years.
ParlaMint-NL_2021-05-20-tweedekamer-7.u26	About the woody biomass. It's kind of special, isn't it? On the one hand, government policy is to exclude woody biomass as quickly as possible in terms of energy generation and not to grant new subsidies for it, etc. But on the other hand, the Secretary of State says: for transport it would be a shame if we didn't use it. That depends on two thoughts, doesn't it? Does she see those two thoughts? I see her shaking no.
ParlaMint-NL_2021-05-20-tweedekamer-7.u27	No. If you say you don't want to use any more biomass for anything, you see that it doesn't play any role at all...
ParlaMint-NL_2021-05-20-tweedekamer-7.u28	Correction: woody biomass.
ParlaMint-NL_2021-05-20-tweedekamer-7.u29	I call the Secretary of State.
ParlaMint-NL_2021-05-20-tweedekamer-7.u30	For all biomass, if you had the view that it could not be used in any way in the transition to climate neutrality, there would be a huge gap in the possibilities of achieving that climate neutrality quickly. I see that Mr Van Raan nods and agrees. The use of bio-raw materials is therefore always a matter of making the most of them in the best possible way possible. Then burning for only heat is one of the most low-grade ways. That is why the cabinet is indeed in the process of looking at phasing it out. The use in advanced briofuels is just a step higher on that ladder of high-quality use. That is, of course, what we are looking for with each other: as high a commitment as possible. It also fits to be sharp all the time. That is why I appreciate Mr Van Raan's question, as always. It will be a process in which we see in time that an increasingly high-quality application of certain biomaterials is possible. That is why the SER also starts from a phasing-out and building-up path in terms of transition. In doing so, we move gradually, step by step, towards the highest possible use of these precious raw materials.
ParlaMint-NL_2021-05-20-tweedekamer-7.u31	I'll watch my body language, because nodding doesn't mean I agree that you need to use biomass to solve a climate problem. That is not the case. The Minister generalises it again and talks about biomass in general, but this is really specifically about woody biomass. That story is really different. Does she at least recognize that?
ParlaMint-NL_2021-05-20-tweedekamer-7.u32	I think that for every substance, for every stream of bio-raw materials, you should always look at that high-quality bet. Also when it comes to woody biomass, we need to analyse together the extent to which this can play a role in the joint task we have. That task, that purpose, we must achieve. That's what we're all responsible for. We want to achieve this in the best possible way. In doing so, we really need to keep an eye on the concerns about biodiversity loss and pollution concerns. We are talking about a covid crisis, but there are also a number of other very large crises that are coming towards us. In doing so, we must always use the touchstone, such as: does this help, does it help enough, or is it time to go to a next step? That is how I interpret Mr Van Raan's question for the future. Let us continue to focus on the question of whether, for example, for woody biomass, we could move towards a next more high-quality application. I am also sure that the House of Representatives will keep the ruler of service on top of that. That will continue to be a development. Then stimulate hydrogen. Suppose we gradually, especially in light transport, want to achieve the highest possible use of biofuels. If we then see that there are alternatives to biofuels at some point, such as electrification, then it is also important that we ensure that we can make the transition to electrification where that can be done and that we do not make unnecessary use of those scarce bio-raw materials. In addition to the RED, the cabinet stimulates electric transport in a variety of ways. We have deployed this in many ways in the Climate Agreement. But also through RED II we are committed to stimulating the use of electricity and hydrogen. Hydrogen becomes an important energy carrier for the sustainability of transport. Not only for light transport, but especially for heavier transport, this is a really interesting option. That is why the move towards green hydrogen.................................................................................................................................................................................................... This policy, which focuses on renewable energy, can stimulate it. Therefore, this legislative proposal introduces possibilities for using renewable hydrogen and related fuels for the annual obligation. Nationally, for example, I intend to grant an incentive factor that is not currently foreseen by RED II. So we're gonna make it extra attractive. In addition, we have the DKTI grant scheme, the roll-out of service stations and the development of innovative applications. I am also actively involved in the European hydrogen innovation programme. These include 60 hydrogen buses that will soon be driving in the Netherlands. I was also able to introduce the first hydrogen train in the Netherlands, to the north. The Labour Party has also explicitly asked for it. It is, of course, important that green hydrogen has to be shown to contribute to CO reduction at the same time. We have discussions with EZK and the sector about this. Its operationalisation will also land in later regulations. I think that to a large extent meets the question of how to deal with such an electrolyser. Should it enter into force immediately and so on? Hopefully we will have worked out all these questions well together. We want to record it because we want to encourage it. Then we must also ensure that it is an incentive in practice and not unworkable for the sector. That is certainly how I interpret the questions at this point. We will ensure that we implement this in a proper way. The debate on hydrogen in refining is also ongoing, I say in response to Mr Geurts' question. In my view, he also asked for some of the practical obstacles that might arise. I would also like to say to Mr Geurts: we really need to make sure that it works in practice as we do with each other. Hydrogen in refining is covered by industry and not by transport, even when we are talking about incentives within the RED II. Then we are really focused on stimulating the deployment in transport. In addition, there are other instruments that we are also using, for example, the SDE+........................................................................................................................................................ I'm sure we'll be very careful about that. This also has to do with the question of additionality. This follows from a European delegated act; Mr Geurts asked for it. The effects of this are still ongoing. I am, of course, looking for as much space as possible in Europe in defining what is allowed in relation to additionality. In short, we're putting together a little puzzle. How do these different instruments and legal frameworks relate to each other? How do we ensure that we stimulate where we want to stimulate it, not only on paper but also in practice? And at the same time how do we prevent some kind of double support? 'Cause then we're gonna shoot again. It is an important discussion with EZK to ensure that this is properly aligned. How do we guarantee that this law stimulates the transition to EV, asked D66. I hope that I have given an important response to that. I will come back to the stakes in inland waterway transport in a moment. D66 asked how we look at the double count factor four for EV. The electrification of transport is a very important development and the annual obligation contributes to this. A double count is laid down in the Energy Transport Scheme; so here again the hook in the scheme with the final values. In itself, I am in favour of this factor four, because this will strengthen the commitment to this development once again. When we see how fast this development is going, we would like to strengthen it. I am in favour of this, but we will come back to the regulation. The CDA asked how an HBE could help with loading stations at home and SMEs, so that not only the large high-speed charging stations could benefit from them. Can we not make this attractive to smaller producers as well? I think this is certainly an interesting option, once again in view of the desire to encourage the transition to electricity in light transport as much as possible. This means, once again, that we do not use these precious biofuels where this is not necessary. Loading posts at home do have a low occupancy, and as a result the administrative burden is relatively high. A possible solution would then be to create the possibility of pooling loading posts, as it were, through intermediaries. Mr Geurts referred to the German example. I will certainly look into that, because I do have a number of questions about feasibility, double counting and fraud. If the Germans have found a solution, I wonder what that solution is. I want to see if this is possible. I will inform the Chamber about this, but I will also deal specifically with the questions I am referring to here. Of course, we would have liked to have worked that out with each other before we decided to do so. Mr. Chairman. A number of other questions, first of all about supervision. Public oversight is risk-driven. It looks at how mass and balance connect and knock together. Private supervision is currently being shaped at European level through a delegated act. In the chain analysis I also paid attention to the private working methods and the possibilities for necessary improvements. This bill is also a way of strengthening that supervision. We actively sent this bill to that effect. I would remind you once again of the concerns about the biodiesel fraud that has occurred. Strengthening public oversight through the NEA is really an important element for me. That's what we're anchoring with this law. I therefore hope, of course, that the House will support it. Then there was the question of the Party for Animals to ensure that palm oil can be converted. I think it's going to affect PFAD, too. Indeed, we need to focus on making the system more robust and strengthening transparency and supervision. I remain committed to this with like-minded Member States. Again, on the issue of biodiesel fraud, we have really actively sought out contacts and, with our German, French and Belgian colleagues, looked at what the other major producers in Europe are and how we can ensure that, after any fraud that we have discovered, we all close the loopholes. So it's just about continuous vigilance. Every time we get signals again, we have to make sure that we examine these signals carefully and see if there is any reason to tighten up monitoring and monitoring. Then the question of the CDA was whether the influence of covid is known. That has to do, I think, with the objective of the first generation of biofuels. Renewable energy consumption in 2020 was around 13% less than expected. Where necessary, we will take the impact of corona with us. That's what we do in all the policies. What we're going to look at most is whether it's a trend break or not. If it fits the normal trend, there need be no reason to change anything there. But we will come back to this decision. The Party for Animals asked about the reflection on the amount of bio in aviation that is reasonably possible. That is mainly the Minister's area. Mr Van Raan knows that. But in broad terms, for aviation and shipping, we know that we are talking about huge amounts of fuel. At the same time, these sectors have a great deal to do in order to make their sector more sustainable. The discussion on how this should be done and on what role biofuel, hydrogen or other technologies can play will certainly be discussed. At the moment in the use of bio in aviation very limited. The first draft proposals on the EU obligation to add aviation are based on 5% by 2030, consisting of almost entirely advanced biofuels: 4.3 would be advanced biofuels and 0.7 renewable synthetic fuels. That is what is currently being discussed in the first draft proposals. Bet in the Netherlands from 2030 to 2050: broadening and deploying raw materials on synthetics. Further details can be found in the Sustainable Aviation Fuels Action Programme.
ParlaMint-NL_2021-05-20-tweedekamer-7.u33	Those numbers are familiar to me. It's nice that we're talking about the same numbers. What is not included is how much energy is needed to produce, in particular, those synthetic e-fuels, which are 0.7%. I wonder if the Secretary of State is prepared to put together how much energy is involved and put it in a letter.
ParlaMint-NL_2021-05-20-tweedekamer-7.u34	Let me pass on the request to the Minister who is discussing this dossier with the Chamber and ask if she can provide further information at any time. Again, we want to know exactly what we're doing with each other. Actual information helps with that. Many of you have asked questions about inland waterway transport. In inland waterway transport, major steps are being taken in the coming years for further sustainability. At present there is no annual obligation, but as an Urgenda measure in that green deal inland navigation and in the Climate Agreement the agreement is made to bring inland waterway supplies below the annual obligation. This legislation provides the basis for this, i.e. the hook. The decision on energy transport will make the final choice. Some of the concerns you mentioned are also being discussed by the Minister with the sector, because this is also covered by the Minister's portfolio. She is still talking to the sector about this. I think it is very important that all these concerns are discussed. It is good to note that the European Commission has drawn the Netherlands' attention to the fact that inland waterway transport should have been covered by the Fuel Quality Directive's CO2 reduction obligation by 2020 and that this should also be corrected. So we do have a challenge from European legislation. This bill corrects this by bringing fuel suppliers to inland waterway transport under the reduction obligation. Once again, the Minister is still talking to the sector, taking into account all your concerns, about how and in what way exactly. The reduction obligation is also demonstrated by submitting an HBE. The reduction obligation and the annual obligation were almost equal in 2020. Even though it was not yet covered by the annual obligation, the reduction obligations and the annual obligations were about the same in 2020. Then the concern of the SGP how we ensure that there is no bunkering in Germany. We have been fooled by the Commission because we have not implemented it properly. You would say that this would ensure a level playing field in the EU. Then that risk should be small, too. This is also partly due to the European obligation. Once again, these concerns come back to me in a few nice suggestions for answers to specific questions. We take the concerns seriously. It is being discussed with the sector. In the TNO report, a question from the ChristianUnion related to this issue was made by his suggestions for good housekeeping. That will, of course, be looked at. We will also, of course, monitor the situation closely during the first year. The Minister will return to that in her letter to you. Then I have a few more answers here. The SP had indeed asked whether it is true that other Member States exclude inland waterway transport and which countries do or do not. All Member States should bring inland waterway transport under the reduction obligation. The Commission has called on Member States that have not done so, including the Netherlands, to make this right. So that gives you a level playing field. Is it true that the environmental advantage is low in inland waterway transport? No, all the use of renewable energy in this system, regardless of destination, has climate gains. This is selected, because all efforts must meet strict criteria for sustainability and chain reductions. The SGP still asked for quality standards for biofuels in inland navigation. These requirements are laid down in the European Fuel Quality Directive. Then there was another question from the SP as to whether there will be no enforcement until quality is guaranteed. Once again, all fuels supplied to inland waterway transport must meet the quality standards. I think there was actually a specific concern. If there is one, I can imagine that I will pass it on to the Minister for her discussions with the sector and we will see how we can clarify that. Then a separate slow build-up in inland waterway transport. With the law, we control raw materials, not sectors. That would really require a system change with multiple HBEs. You'll get a segmentation. This takes a great deal of time and does not fit in with the progress we will have to make in inland waterway transport. Then the SGP asked: why are we sending at 27% in 2030, when the Commission goes up to 7% to 14%? In addition to a European commitment, the Netherlands has made an agreement in the Climate Agreement to use more renewable biofuels. We have done so on the basis of the overarching objective that we have wanted to share it with each other in such a cost-effective way across the different sectors. That's what I started my input on. Both objectives for road transport together with inland waterway transport result in these 27%. Then the quarterly booking of HBE in the shipping industry. This legislative amendment takes steps to facilitate booking during the year for companies. We are not yet ready to do so on a quarterly basis, because this means a major burden increase for the market, especially for the smaller book-iners. Perhaps we can think a little further about this direction of the decision, but in advance administrative burdens seem to be particularly problematic.
ParlaMint-NL_2021-05-20-tweedekamer-7.u35	Where are you, Secretary of State? It sounds a bit like you've finished a block of varia.
ParlaMint-NL_2021-05-20-tweedekamer-7.u36	It sounds like I have answered Members' questions, but at least one question has not yet been answered.
ParlaMint-NL_2021-05-20-tweedekamer-7.u37	Yes, but this was your term?
ParlaMint-NL_2021-05-20-tweedekamer-7.u38	Yes.
ParlaMint-NL_2021-05-20-tweedekamer-7.u39	Oh, very nice. Well, Mr. Alkaya, you have the floor.
ParlaMint-NL_2021-05-20-tweedekamer-7.u40	I understand that inland waterway transport should also be included in the reduction target, but that is different from participating in this obligation to mix fuels. My question was: is it true that inland waterway transport is excluded from this directive by certain Member States and, if so, which Member States are they?
ParlaMint-NL_2021-05-20-tweedekamer-7.u41	Before we also enter into a semantic discussion on this issue: there is a directive that we have to comply with and a green deal has been concluded as part of the agreements in the Urgenda package. Together they lead to the agreement with the sector to set it up in this way. Once again, the Minister talks to the sector about the specific impact and a few concerns that have also been mentioned in your Chamber. In doing so, it may be somewhat different from the countries around us, because they do not all have an Urgenda pronunciation and a Climate Agreement in the same way.
ParlaMint-NL_2021-05-20-tweedekamer-7.u42	I get that. At the same time, the Secretary of State does not answer the question of which Member States have done so. I have heard from the SGP Group that it might be our neighbouring countries that exempt inland waterway transport from the directive, the implementing law, which we are discussing today. In any case, I see a practical risk, but also a more fundamental risk, namely that our inland waterway vessels will soon be faced with an unworkable situation, because we are here to adopt a law which still has a number of things to settle in a decision, as has just been the case. But we don't have that decision yet. So we're going to lay down things in the law that the skippers say they can't handle because it doesn't work. The Secretary of State then says: yes, but the Minister is still in discussion and we are going to talk about the decision. But then we can't vote on the law with peace of mind, can we? Isn't there something essential going wrong here?
ParlaMint-NL_2021-05-20-tweedekamer-7.u43	I don't think so. The law lays down the European legal framework: we are going to comply with the obligation that the European Commission has imposed on us all and for which the European Commission has turned a blind eye to the Netherlands. We make that translation here in the law, and the further elaboration on it......................................................................................................................................................................................... We are not deciding on this now, it will only come in another round. Then we can see whether the effect of this obligation as laid down in the law does not lead to insurmountable problems. The context is that we have also concluded a climate agreement and a green deal. This is a context that is slightly different in the Netherlands than in a number of other countries.
ParlaMint-NL_2021-05-20-tweedekamer-7.u44	Finally. That context is clear. But it is now specifically about this implementation law. What is the impact of this on inland waterway vessels, not only on their ships, but also on the waterbed effect, which the SGP Group also indicated? So we don't have that information yet. Can the Secretary of State send us that information, or is she going to believe that we are going to vote on this law without having that information? Will Germany and Belgium also ensure that their inland waterway vessels are required to refuel with fuels in which biofuels are mixed? Or aren't they going to?
