ParlaMint-NL_2021-12-01-tweedekamer-6.u1	Then we continue with part two of the budget for Agriculture, Nature and Food Quality.
ParlaMint-NL_2021-12-01-tweedekamer-6.u12	Then why did the Animal Party vote as the only party against a CDA motion that went this way last summer?
ParlaMint-NL_2021-12-01-tweedekamer-6.u13	The one motion that went one way? I'm sorry, I really can't judge that. I'd love to see which motion that was exactly. Then I'm sure the Party for the Animals had an incredibly good reason for that. It was not good for nature or not good for the animals; one of those reasons will undoubtedly have taken into account in a motion from the CDA.
ParlaMint-NL_2021-12-01-tweedekamer-6.u14	Then something more concrete, on another subject. Does the Party for Animals also see a role for farmers in, for example, agricultural nature management or hardcore nature management? Does the Party see that for the Animals? Or do they only see this for, for example, land management organisations, or you name it? Do you see a role for farmers in this?
ParlaMint-NL_2021-12-01-tweedekamer-6.u15	I certainly think that it is also necessary for farmers to work more closely with nature. So maybe we can find each other in that definition a little more. Mr. Chairman. We think it is important that this minister, and also her successor, takes her task seriously, so that farmers and citizens can regain confidence in the government. We can choose the path of an agricultural system that is in harmony with the environment: with the environment, man and animal. It is the way of clarity for farmers, craftsmanship, healthy and sustainable food and appreciation from society. It is the path of cooperation with nature and the way out of the nitrogen crisis, the nature crisis, the biodiversity crisis and the climate crisis. Mr. Chairman. The budget, as it is before us, unfortunately stops us on that old dead end. That is why it will not be able to count on the support of our group. Thank you.
ParlaMint-NL_2021-12-01-tweedekamer-6.u16	Thank you. You did it four minutes faster than you indicated. My compliments on that. There is another question from Mrs Van der Plas.
ParlaMint-NL_2021-12-01-tweedekamer-6.u17	Of course, I'm not done with Mrs. Vestering. I've rarely heard so much nonsense in 45 minutes. It just hurts my ears. I do have a few questions for Mrs. Vestering. She's talking about those puffy chickens. She's talking about "those poor puffy chickens," "all stuffed together in those stables," "all wounds"; it's all one hell of a mess. But the puff chicken actually doesn't exist anymore. I assume Mrs Vestering knows that on 1 August 2023 everything comes under the single star Better Life hallmark and that a lot of companies have just been switched over. The Dutch chicken meat in the Dutch shops; all these chickens just get a run.
ParlaMint-NL_2021-12-01-tweedekamer-6.u18	Clear.
ParlaMint-NL_2021-12-01-tweedekamer-6.u19	I think it's weird. My question is also: why does Mrs Vestering use such a false frame, when she simply knows how many steps are being taken in the sector to keep improving animal welfare, also thanks to supermarkets? Why does Mrs. Vestering keep doing that?
ParlaMint-NL_2021-12-01-tweedekamer-6.u20	First of all, the first question. There were a lot of them in one interruption. I'd count them as multiple, too, Mr. Chairman.
ParlaMint-NL_2021-12-01-tweedekamer-6.u21	Well, I think we're gonna do something really fake right now.
ParlaMint-NL_2021-12-01-tweedekamer-6.u22	Yeah, you think so?
ParlaMint-NL_2021-12-01-tweedekamer-6.u23	I think it's a little close, but okay.
ParlaMint-NL_2021-12-01-tweedekamer-6.u24	Then there is one more: I think we live here in the year 2021 and not in the year 2023. Mrs van der Plas would be extremely adorned if she recognized that the way we keep animals in the Dutch livestock farms does not do at all justice to what they need, to their natural needs. It would be nice if we could make a fist with each other to treat these animals a little better.
ParlaMint-NL_2021-12-01-tweedekamer-6.u25	Mrs van der Plas' seventh interruption.
ParlaMint-NL_2021-12-01-tweedekamer-6.u26	Look, I am sorry that Mrs Vestering and the Animal Party, which is always so full of it that they are not at all against our farmers, have actually just kept a huge tirade against farmers for 45 minutes. She may be packing it in the system and how we keep animals, but actually it's just one big charge against the farmer. Because the farmer takes care of those animals. Mrs Vestering also said something about pneumonia in goat farms. But I also think Mrs Vestering knows that there have not been enough cases of pneumonia in the areas concerned to complete this investigation. So my question is, does she know? Why does Mrs Vestering say that everyone who lives near a goat farm is getting very sick, that the Minister has to do something with it and that the Minister has no sense of public health? While there are simply not enough cases of pneumonia found in the areas concerned to complete this investigation. Why doesn't Mrs. Vestering say that?
ParlaMint-NL_2021-12-01-tweedekamer-6.u27	I'll answer the first question first. Mrs van der Plas said that the contribution of the Party for Animals would be one big charge against the farmers. In all the fifteen years that the Animal Party has contributed during the debate on the LNV budget, it has always brought an action against the failing agricultural system. What we especially blame the VVD and the CDA, but also her party, is that constantly but is told that we can continue with business as usual. I refer to all those rules which she says 'the farmers have taken steps'. They have had to comply with this over and over again, they have had to jump through all kinds of hoops to end up in a situation where the PAS has granted 10,000 permits, which should never have been granted, and we are in a situation where farmers need to be bought out. That is the consequence of the failing agricultural system.
