ParlaMint-NL_2021-02-09-eerstekamer-11.u1	We need the response of the initiators and the government in the first term.
ParlaMint-NL_2021-02-09-eerstekamer-11.u12	Mr. Van Hattem, your third interruption.
ParlaMint-NL_2021-02-09-eerstekamer-11.u13	The point is this. Not in 1983, but fifteen years ago, in 2005 or 2006, the then cabinet mentioned a second ground. That cabinet said that it has already been adequately included in the current provision and that is why it does not need to be extended. At the same time, the initiators also say that there are already enough regulations and standards in place. So there's a lot more to be done. The second conclusion of the cabinet at the time actually stands, namely that it is already adequately regulated at the present time.
ParlaMint-NL_2021-02-09-eerstekamer-11.u14	As initiators, we have looked very closely at the Commission's report on legal effects. That committee concludes that it can indeed provide legal protection against the legislator and against the administration. That is a form of social legal protection. The judge may also attach some importance to it in individual cases. That has been our starting point, regardless of the fact that it certainly has social value. It is a standard, as a number of senators have indicated, and it increases awareness. For us, the balance is positive, so that we say: it does matter. It could have been included in 1983 but then the time was not right. Now we hope that this is the case.
ParlaMint-NL_2021-02-09-eerstekamer-11.u15	Like Mr Koole, I would like to touch on constitutional maturity. In her speech, Mrs Bergkamp stated that sexual orientation was already included in the General Equal Treatment Act in 1994. But last year, you brought in heterosexual and homosexual orientation. The constitutional maturity of that word is therefore evidently at a very late stage. The first question is: is it ripe? The second question is as follows. Take, for example, the whole discussion about color. You have just said in your speech that there are personal characteristics that you are not so easy to access. Color is one of them. Yeah, we've had Black Lives Matter. Wouldn't that be a reason to take that too? That probably also applies to a lot of other parts. In other words, why these two and not exhaustive? Or why not just slim down?
ParlaMint-NL_2021-02-09-eerstekamer-11.u16	These questions are noted. Mrs Van den Hul is about to comment on that. We've divided the questions among the three of us.
ParlaMint-NL_2021-02-09-eerstekamer-11.u17	Excuse me, Mr. Chairman. Because Mrs Bergkamp was extensively concerned with constitutional maturation, I thought: here I must be. But I'll come back later.
ParlaMint-NL_2021-02-09-eerstekamer-11.u18	That was provoked.
ParlaMint-NL_2021-02-09-eerstekamer-11.u19	I understand the confusion, but this point is for the other window. Mr. Chairman. I'll just go a little further. I think that I have responded sufficiently to the issues of constitutional maturity and legal necessity. That's how I can skip a few cases. I come to an important question, which has been asked by Mr Koole, the PVV, Mrs Baay-Timmerman and the Otten Group, among others, namely: what about the grounds that have not been included? I would just like to read out Mr Koole's question: 'Does it lead to better legal protection against discrimination, or does it not matter at all? Can the term 'or any land' cover grounds such as age, last name or social origin and are they less or just as much protected as those non-discrimination grounds?' I think I have just indicated in the debate with the PVV that we certainly see the inclusion of grounds. The nature of the grounds included is based on suspect grounds in advance, with a greater presumption of discrimination. Legal protection against the legislator and the administration by the judge may be based on this in any interest in individual cases. Age, last name or social origin may fall within the group "and other grounds." Sure. Let us also make it clear that discrimination against these initiators must not be allowed on the basis of whatever. I'm sure that includes you as senators. So you can also include those grounds. Then I come to the question: are they less or equally protected? I therefore say carefully: it can lead to more legal protection, because in the end, of course, it always depends on how this is done in practice. When it comes to age, the judge can also check whether there is indirect discrimination. The same applies to surnames, for example. So there are always different facets to which the judge should look at at such a time. The judge often invokes more concrete legislation such as the General Law on Equal Treatment, which is an effect of Article 1. But, of course, we also have the principle of equality and the prohibition of discrimination, which have their effect in the Code of Criminal Law. That question therefore depends on the circumstances that exist. Of course, the judge always has to weigh that up. Then I come to the horizontal effect. Questions have been asked about the horizontal and vertical effects, among others by Mr Koole and the Otten Group. The question has been asked: how do the initiators look at the operation of the horizontal effect in practice? Horizontal action is to work through fundamental rights in the legal relations between citizens. Vertical effect is the transmission of fundamental rights in the legal relations between the State and the citizen. Let me start by saying that the initiators see no reason to distance themselves from the classical theory that the Constitution is aimed at protecting citizens. The Constitution is intended to protect citizens from the state. Nevertheless, citizens can, of course, go to court for horizontal relations and invoke Article 1 of the Constitution. In the end, it's up to the judge to honor it or not. It is a little more in the imagination that in practice the judge will rather invoke the General Law on Equal Treatment, which focuses precisely on that horizontal effect and is intended for that purpose. The argument was, of course, that you would otherwise be dependent on that judge and those rulings in incidental cases. Now you have the AWGB, which gives much more direction and effect. Otherwise, you'll still have the Code of Criminal Law. We are therefore seeing the vertical effect of the Constitution in the first place, but of course people can appeal to it. And, of course, you can see that people in society often resort to Article 1 of the Constitution, and that they also appeal to each other. I just reported that. The Otten Group spoke about the operation. We see this effect particularly in the practice of the General Law on Equal Treatment, which is of course also widely used and in which the College of Human Rights plays an important role. Mr. Chairman. A question has been asked about the ranking of the grounds, and in any case of the Constitution. Mrs Baay-Timmerman pointed out that there is no ranking between the grounds. The PVV actually confirmed that and I agree with that. Nor is there a hierarchy between the various articles of the Constitution. If there is a conflict of fundamental rights, it is ultimately up to the courts to deal with them. It will have to look at the situation on a case-by-case basis. Mr. President, let's go. I have already dealt with a number of questions in passing. I'm gonna have to browse through my pieces. Among other things, the Group of the European People's Party (Christian Democrats) and European Democrats has asked a question about positive discrimination. Can positive discrimination still be covered by the bill we are discussing today? That is the question that has been asked. Oh, yeah, you can still do that. Our bill is about unfair discrimination, unauthorized discrimination. There are, of course, opportunities for positive discrimination. In the general law on equal treatment, for example, extra things can be done for women, cultural minorities, people with disabilities, people with a distance from the labour market. The first sentence of Article 1 of the Constitution states that unequal cases may be treated unequally according to the degree of inequality. So that positive discrimination is allowed. Mr. Chairman. Among other things, Mrs Karimi asked how the Constitution and the AWGB relate to each other. That was indeed a question you had to think about for a while; it is not a very easy question. How does that relate to you? Surely it cannot be that with all kinds of terms such as "sexual orientation" and "sex" you are dependent on the interpretation from the AWGB, because the Constitution is the "top law"? We'll share that. It is important that the Constitution is leading. The AWGB should actually be an effect on the way it is intended in the Constitution. What is happening in the AWGB should also take place within the framework of the Constitution. We are therefore in complete agreement with that. My colleagues will answer later on the question of gender and sexual orientation. But it is true that the Constitution is leading, and that it is therefore sometimes very useful to use the same terminology to avoid confusion in it. Mr. Chairman. It has also been asked whether it should be feared that land is worth less if you do not mention it. This is again about the relationship between appointed and unappointed grounds. Let me clarify this once again: discrimination is unacceptable. It doesn't matter whether or not a land is in it. It concerns certain personal characteristics; there is the difference. It concerns certain personal characteristics with a history and suspicious grounds in advance. There's that difference. And let me also say once again: the a-contrario-reason is therefore not at issue. So it is not the case that if you name a land, it would destroy the land that has not been mentioned. I think it is very important for the legal process to confirm that here again. This brings me to the end of the answer to the general legal questions.
ParlaMint-NL_2021-02-09-eerstekamer-11.u20	However, I would like to ask a question about the point about positive discrimination. This can be done, because unequal cases must be treated unequally. Do I understand correctly that the initiators mean that positive discrimination can be done, provided that it is aimed at eliminating inequality?
ParlaMint-NL_2021-02-09-eerstekamer-11.u21	Positive discrimination means that you must always be able to legitimise it objectively and that there is never any arbitrariness. You must always be able to back it up. The general law on equal treatment, for example, does attach an objective to this and concerns, for example, the position on the labour market. So you always have to be able to explain why you're making that distinction. We know that the AWGB is a closed form, so in the AWGB it is well explained that the standard is to "do not make a distinction, if." The basis is then decided when a derogation is made.
ParlaMint-NL_2021-02-09-eerstekamer-11.u22	I understand that it needs to be properly explained. Of course, every policy must do that. Discrimination can't be, that it's the first. The answer to the question of positive discrimination was yes. My question then is whether that is allowed to eliminate inequality and I do not get a good answer to that, other than that you need to be able to explain it properly. The Equal Treatment Committee rejected the procedure at the University of Eindhoven. It has been said that this positive discrimination is aimed at eliminating inequality in the appointment of female workers at the University of Eindhoven. And yet this committee says that that goes too far. In such a discussion, do we have any use for your view that positive discrimination should be possible, provided that it can be properly explained?
ParlaMint-NL_2021-02-09-eerstekamer-11.u23	No, and I think that's right. That is why it is never good to respond to this in individual situations. In this case, it is the Human Rights College that has made that assessment and presented a result. To answer your question: you can't say that you can, as long as you explain it correctly. It's always dependent on the situation and the rationale "How far does anything go?" The Court of First Instance held that the Court of First Instance erred in You can never answer the question with "yes" or "no," as much as I'd like to. The most important thing is that there must be an ID, that it must be objective and that it fits a purpose. These are basically all the requirements laid down in the General Law on Equal Treatment; that is what it has to comply with. Random isn't allowed. In the specific situation it ultimately depends on several factors and then comes the College of Human Rights with a ruling or the judge. You can't say "it's allowed if it helps in the labour market." The foundation is very important. In the end, it is a trade-off that depends on other factors. That is also the difference between Article 1 of the Constitution, which has been formulated openly, and the General Law on Equal Treatment, which has been closed and which means that you have to meet much more of the requirements in the justification. In the end, the balance lies with the judge or the College.
ParlaMint-NL_2021-02-09-eerstekamer-11.u24	Mr Koole, third.
ParlaMint-NL_2021-02-09-eerstekamer-11.u25	I understand that, but I am still trying to conclude, with the question of whether the proposers agree, that arbitrariness should not in any case be allowed to be a general standard and that further in any particular situation you must have a specific basis. I would say that positive discrimination can go as far as that leads to the elimination of inequality. Is this not of the same category as 'no arbitrariness', as a requirement to be able to motivate in a specific case?
ParlaMint-NL_2021-02-09-eerstekamer-11.u26	As tempting as it is to answer that question with "yes," we cannot do that. That's so dependent on circumstances. This is a legal treatment, so I think we should also be careful to steer too much in that area. The General Law on Equal Treatment really offers a lot of scope for formulating rules for positive discrimination, but the balance and assessment are ultimately up to the judge and the College, who can say "that meets and that does not satisfy".
ParlaMint-NL_2021-02-09-eerstekamer-11.u27	I had the feeling twice: what exactly is it? I have heard twice the phrase 'unfair cases may be treated unequally'. Can I conclude that Mrs Bergkamp only allocates this to cases where positive discrimination is possible? Because you can also have the reasoning that equal cases can be treated unequally.
ParlaMint-NL_2021-02-09-eerstekamer-11.u28	Look at the first sentence of Article 1 of the Constitution "like cases must be treated equally', as it is given a concrete expression in terms of equality. This can also be reversed: treating unequal cases unequally to the extent of inequality. This means, for example, someone who has dyslexia and needs more time to study. This is a form of unequal treatment that is justified because someone has a disability. These are examples that are possible from this positive discrimination. And that was the fear when we talked about disability years ago. People thought: people with disabilities, chronically ill, there is so much diversity in that; how are you going to do that? Well, the rest of this file came by saying that unequal cases can also be treated unequally to the extent of inequality. And I understand that you're trying to connect the two now, but I'm actually going to tell you how to look at the first sentence of Article 1 of the Constitution, how it's interpreted.
ParlaMint-NL_2021-02-09-eerstekamer-11.u29	I'm gonna take a very close look at that. Because we have, of course, also asked questions to the Minister, which indicates that at some point you can certainly distinguish if it is something that is essentially legitimate, a legitimate requirement, for example. Then you can have equal cases that are treated unfairly, I think.
ParlaMint-NL_2021-02-09-eerstekamer-11.u30	That is the possibility that the AWGB also offers for a form of positive discrimination, as in Mr Koole's interruption. Yeah, so there's room for positive discrimination. Mr President, that brings me to the end of my first term.
ParlaMint-NL_2021-02-09-eerstekamer-11.u31	Thank you, Mrs Bergkamp. Is Mrs Van den Hul next? Now let's go clean the cathedral.
ParlaMint-NL_2021-02-09-eerstekamer-11.u32	Thank you, Mr. Chairman. I would now like to address some specific legal questions and questions on the subject of sexual orientation. First of all, I would like to address the question: why not get rid of all the grounds? That question was rhetorically asked by Mr Dittrich of D66, but I think less rhetorically also by the PVV and 50PLUS. In the opinion of us as initiators, it is undesirable to delete all the grounds mentioned in Article 1. Article 1 sets a clear standard with regard to non-discrimination, and shortening Article 1 would make that standard less clear. This concerns non-discrimination and religion, belief in life, political orientation, race and gender. The deletion of these grounds has never been the subject of a wide-ranging discussion. There is therefore no indication, as previously argued in the House of Representatives, that there would be a significant public support for such a fundamental amendment to Article 1 of the Constitution. And we suspect that such a change of law would not be properly understood in our society either and would lead to many questions about the importance that the constitutionalist attaches to preventing discrimination based on the explicit grounds of religion, belief, political orientation, race and gender. "Why not include categories?', among others 50PLUS, but also the SGP and the Party for Animals, "why not name all other elements?'. Age has been mentioned, for example. Or color, mentioned among others by the Party for Animals but also by the SGP, as an example following the Black Lives Matter movement. Don't they have maturity? Let me say first of all that the Constitution is sober. We, as initiators, wholeheartedly endorse this point of departure. For the two reasons, explicit inclusion is a translation of broad social acceptance, in which the social debate can be considered crystallised. In addition, the grounds of disability and sexual orientation are related to Mrs Bergkamp already pointed out at the beginning a history of structural persecution and far-reaching legal disadvantage. Handicap and sexual orientation are also personal characteristics of which you cannot renounce. Broad social acceptance has led to other legislation that protects against discrimination on these grounds, such as the Equal Treatment Act based on Disability or Chronic Disease, the aforementioned AWGB and the Code of Criminal Law. The fact that these personal characteristics enjoy special legal protection also indicates the material severity of a discriminatory expression of those personal characteristics. Inclusion of the grounds disability and sexual orientation in Article 1 is a confirmation of this. For other reasons, the discussion cannot yet be regarded as crystallised. Sometimes there are also explicit reasons not to include a land, for example because it does not fit within the system of the current land, as is the case with age. I shall deal with this in a little more detail later. Among others Mrs Teunissen specifically asked about the ground color. In response, it is good to say that Article 1 of the Constitution has its effect in the AWGB and in criminal law provisions. The concept of race has a broad meaning and is in line with the broad definition laid down in the 1966 International Convention on the Elimination of All Forms of Racial Discrimination. Different characteristics are then associated, which may include geographical or ethnic characteristics. Apart from that, if I may finish this point, it is true that the call for the inclusion of the grounds of disability and sexual orientation in Article 1 has existed for a long time, as Mr Bergkamp explained in her contribution. These are grounds already contained in legislation and treaties. These are grounds on which the aforementioned groups continue to suffer a great deal of nuisance. I will say more about discrimination later. Fully objective criteria cannot be given. Given the nature and history of these grounds, as initiators, we find that they now explicitly belong in Article 1. Now I'd actually get to the block of age, but I see there's a question.
ParlaMint-NL_2021-02-09-eerstekamer-11.u33	For the Acts, just a little correction. 50PLUS has not advocated a restriction on the grounds already listed. On the contrary, my question was why, for example, birth, ethnic origin, language and genetic characteristics, which are also very personal, are not added immediately.
