ParlaMint-NL_2021-11-18-tweedekamer-4.u1	We shall then proceed with the examination of the Foreign Affairs budget.
ParlaMint-NL_2021-11-18-tweedekamer-4.u12	Thank you to the Minister for his plea on this point and his willingness to give the amendment Chamber judgment. But I would like to make one further comment. The Minister states that we must be careful to set new priorities each time. In my opinion, this is not a new priority. I had the honour to be a member of the Parliamentary Interrogation Committee on Fiscal Constructions shortly after my election. There is a great deal to be done to tackle tax evasion/avoidance/fraud especially in people with a lot of capital. Two interests come together here, something that has been pointed out for many years. So it's not a new wish at all. My perseverance also stems from the bewilderment that it takes so long to bring together here the knowledge, the skills and any capital that you know you usually earn more back once you have invested well. My appeal to the Minister is therefore: not only support this amendment, but make sure that colleagues in other departments give much more priority to this.
ParlaMint-NL_2021-11-18-tweedekamer-4.u13	I consider this to be a policy support and I very much agree with it. Mr. Chairman. Then I come to my second block...
ParlaMint-NL_2021-11-18-tweedekamer-4.u14	Before you start, Mr Sjoerdsma has another question on the previous subject.
ParlaMint-NL_2021-11-18-tweedekamer-4.u15	The Minister clearly describes the importance and purpose of the specific sanction instruments. At the same time, he also describes the important role of the knowledge and skills of Finance. This amendment, which has been tabled by a number of parties, naturally takes the view that the capacity for foreign affairs to achieve unity is being strengthened. I would like to add a supplement to his own remarks from this Chamber. We do not demand it in this amendment, because this does not apply to this budget, but we expect the Ministry of Finance to also release the FTEs to provide that knowledge and skills. As Mr Van der Lee rightly says: if you have found the culprits, the human rights criminals, then you also want to scratch behind the letterbox companies and secret accounts, which are sometimes also in the Netherlands, in order to be able to take away their finances. I hope the Minister will agree to this in the direction of his colleague.
ParlaMint-NL_2021-11-18-tweedekamer-4.u16	I don't know what I can commit to in other departments, but if we follow this route, it makes sense for this to be included. I would like to add something to that. ICT is also crucial in this regard. Of the NGOs involved in this field, half of the employees from the world of accountancy and the other half from the world of ICT often come from the world of ICT. I believe that, in addition to finance, this plays a major role in ensuring that these kinds of units can function properly.
ParlaMint-NL_2021-11-18-tweedekamer-4.u17	Good. I think that can also very well come back to this. In the letter on the drafting of the amendment, we see how the discussion with the finance colleague has turned out. Then there is a question of substance which I did not see in the written reply on sanctions. I asked how next of kin are gonna get involved. That was included in the letter prior to the debate on this budget. But I had also asked a question about harmonising and coordinating sanctions between the United States and the European Union. That's what the minister called in a subtlety. I had previously requested that those who are already on the lists of the United States, Canada and the United Kingdom be properly screened by the European Union to see whether they should also be on our lists. My question to the Minister is what is the situation and whether we can expect progress in this respect.
ParlaMint-NL_2021-11-18-tweedekamer-4.u18	That's what's being looked at right now. The ambition is to keep this parallel as much as possible. What does play a role is that the underlying legislation in the various European Member States is, of course, very different from the United States, especially in relation to all kinds of extraterritoriality elements. So that's what we're looking at, but at the same time I'm saying that it shouldn't be a doer of death. That needs to be taken seriously to see how far you can get.
ParlaMint-NL_2021-11-18-tweedekamer-4.u19	Speaking of sanctions, I asked questions about Iran. I think they have been answered unsatisfactoryly in the written reply, so I would like to continue with that. Mr. Raisi is responsible for the execution of nine children in 2018 and 2019. He is also personally responsible for the fact that dozens of children in Iran are still on death row waiting for their execution. However, the Minister does not want to consider sanctions against President Raisi, at least that is how I understand him. He does not want to argue in favour of this, not even in the EU. I don't understand why he doesn't want to. Does that have to do with getting his hands dirty in international politics? The Minister does not in himself argue for this, but he does point out that he thinks we should do it sometimes. The same story applies to the disruptive Iranian drone program, which causes great disaster in the region. People and countries suffer from this. The Minister also says that it is not appropriate to impose sanctions against this. I don't understand. Is that dirty hand story pointing again here?
ParlaMint-NL_2021-11-18-tweedekamer-4.u20	I do not think I have replied to Mr De Roon that it is not appropriate, but that there is a wide range of EU sanctions, including sanctions against the entire Iranian ballistic missile programme and weapons of mass destruction. It is also stated that this sanction regime is periodically reviewed and, if appropriate, supplemented. So it is not appropriate not to impose these sanctions, but if appropriate, if beneficial, if it is recommended, it will be supplemented. So I may have expressed myself in answering this question in a way that could lead to misunderstandings, but that is what is meant. Mr De Roon's first question: what about sanctions against the President? Of course, we can find anything from everyone, but in order to be able to be in any form and negotiate, it is imperative that you do so with the person responsible for what is happening there. And that's the president. So that would put an end to all the possibilities of negotiating with Iran, which the United States and the main European countries are doing together. It's only possible if you negotiate with someone you can negotiate with. So we crash ourselves when we start to make impossible in such a situation all possibilities of contact and negotiation at the level of heads of state and presidents, by saying that they are no longer acceptable to us as such. I can't. That is separate from our appreciation of a regime.
ParlaMint-NL_2021-11-18-tweedekamer-4.u21	Yes, but the conclusion is that you can draw the conclusion that we are just making dirty hands, and that the fact that dozens of children in Iran are sitting on death row waiting for their execution does not make it appropriate to take action towards the President himself, who is also the main person responsible for that. It's not like he's responsible for it remotely. He's the main responsibility in that whole story. The same goes for the drone story. This is simply disruptive in the region, but apparently 'we', the government and the EU do not think it is appropriate to impose sanctions on it. For me, that's incomprehensible. I find dirty hands making something you should stay as far away from as you can. Only the reason you want to negotiate so badly can, in my opinion, never be enough to say: we are making dirty hands, because we do not want to talk about sanctions in relation to these serious things.
ParlaMint-NL_2021-11-18-tweedekamer-4.u22	I'm not gonna repeat myself. The fact that you negotiate with someone and have contact with them is completely unrelated to the question of what your political and moral judgment is about the situation in such a country and the person in question. We've often rejected what happens to those drones. We have an arms embargo on Iran, so, as far as we are concerned, we are watching for the international community in the broadest sense, although we all know the shortcuts that exist, as well as possible, that where we can, Iran is being deprived as much as possible of the possibility of doing this kind of thing. But it is not just in the world that we are in charge, as I say to Mr De Roon.
ParlaMint-NL_2021-11-18-tweedekamer-4.u23	Finally, Mr President. The bottom line, then, is that we are not man enough or that we do not think we are man enough to act stronger and more decisively than we are now, because the serious things I have pointed out are going on, despite what you have already done.
ParlaMint-NL_2021-11-18-tweedekamer-4.u24	The international world is a world of flaws. Although it might not be entirely my words, I can understand a sigh in this context very well. And yet we must move on. We have to ensure that, wherever possible, we can stay in conversation to see if we can save anything from the whole non-proliferation regime and the threat it poses. That is also something of an order that we cannot just put aside because we are dealing with a president in which we can all invent the adjectives that you would be allowed to invent outside this square kilometre.
ParlaMint-NL_2021-11-18-tweedekamer-4.u25	In the last block of geopolitics a lot came along. So it takes some balancing skills to put that together in a precious question, but one thing that came along was the Atlas of the Armed Forces. I offered it to the minister yesterday. In it, we explain how much money goes to defence worldwide. For example, $1,000 billion goes from NATO to defence. That's more than ten times more than Russia spends on defence. We're gonna talk about Afghanistan. My question is whether there is not much reason to reflect before the government starts saying rashly again: we need to invest even more in Defence, because there are so many threats. I also see these threats; there is no misunderstanding about them, but there is also a lot going wrong and a lot of money is already going to the Defense Department. Does the Minister share the view that reflection on this point would also be sensible?
ParlaMint-NL_2021-11-18-tweedekamer-4.u26	Who am I to deny that reflection is wise? I would not dare to do that, and I would be unfaithful to myself, but earlier reflections have led to the observation that, in the field of defence, we undoubtedly disagree with Mr Van Dijk, who has to do more himself than we have done in the past. The United States always insists on this. They're right about that, too. This president does so in constructive, mild terms. The previous one had a different vocabulary for that, but the trend is the same: you can't always knock on our door for your safety; you have to do something for that yourself. Defense is defense. Weapons can be used for an attack, aggression, wrong things, but weapons can also be used to protect yourself and your people. It is a fundamental duty of every government to ensure that one has the capacity to protect people. In that sense, I look a little differently at weapons than Mr Van Dijk. They shouldn't be here. Ideally, we should all decide to create a little more of a paradise on earth, but there isn't. Ever since Adam and Eve left paradise, we've been living in a transition period. That also means that you have uncertainties to deal with. These uncertainties simply mean that in case of emergency you must be able to defend yourself. That's part of the defense. It would be nice if everyone did it a little less, but unfortunately the world isn't that big of a deal.
ParlaMint-NL_2021-11-18-tweedekamer-4.u27	It is good to hear from the Foreign Minister that we are in 'a transitional period'. Maybe we can come back to that later, but can I specify something? I already indicated: NATO spends around USD 1,000 billion on defence and Russia spends around EUR 62 billion. Why don't you let that work on you? Now there is thought of a European military force, a strategic compass. That needs to be built up, too. Does the Minister share my concern that you shouldn't be organizing duplicates? You already have NATO. Why do you have to build a European military force that may be doing all kinds of things from Brussels that the Dutch House of Representatives is not waiting for at all? Does he at least share the view that the House of Representatives should always have full control of this and that we should not hand it over to a more anonymous entity in Brussels?
ParlaMint-NL_2021-11-18-tweedekamer-4.u28	We are your servant as a cabinet. If your Chamber says we have certain things to do or to leave, then so be it. I do agree with Mr Van Dijk that we should avoid duplication here at all costs. I shall come back to this later, but on the basis of what I have seen so far, that is not the case. So I'm not so worried about that right now, but of course every organization has its own natural mission creep. So every organization always tends to grow slowly instead of shrink. We must therefore pay attention to this. But in the field of defence, I really do not think that Mr Van Dijk is the one who has to pay attention to the fact that we are getting bigger secretly. We want to invest more in Defence, which is also stated in the Defence vision 2035.......................................................................................................................................................... We simply have to relate to that.
ParlaMint-NL_2021-11-18-tweedekamer-4.u29	Maybe it comes up in another block, you know, but I've been asking questions about the climate. Of course, I also saw the written reply. Thank you to all the officials for doing this again and for having responded in writing. My question was also about how to work better with a country like India, especially in the area of climate. Of course, that country has its own challenges with the smog and the lockdown they have because of it; Mr Van der Lee said it yesterday. That's all true. But did Mr Timmermans in the front perhaps not invest just a little too little in this climate diplomacy? In the written reply it is quite solid and well placed here. However, we may not have completed the climate summit as much as we wanted.
ParlaMint-NL_2021-11-18-tweedekamer-4.u30	I find it difficult to give a review now of what our Commissioner should have done and could have done differently in the field of climate change. I think it was an extremely harsh environment in which he operated. We have to admit that to be fair. Until the second week of the summit China did not give home. It wasn't clear what Australia would do either. That is an important country when it comes to this issue. India has, even a little bit in the shadows, always tambourized at the fact that it is very easy when we ask for fewer coal plants to be built, after we ourselves have been able to build up our infrastructure and environment here for 200 years. They still have a lot to catch up on in that area. I am therefore very reluctant to say that too little attention has been paid to this issue. It's simply a turbulent subject. Prior to the conference, India has also given little scope to take initiatives. I agree with Mrs Mulder that India, also given that it is structured as it is, may need our cooperation much more to ensure that it comes to something than China. China is of course very different organised. In that case, you're more dependent on what the country's leadership wants. In China it went like this; I remember it myself. At some point in Beijing you only saw the sun one week a year, because of the pollution. Then, at some point, an executive came from above and you saw the sun again. A number of power stations were shut down. That was the beginning of all sorts of actions to ensure that something was done. India isn't that one dimensional. Of course, we also have something to do with the fact that India does not have such a tight, hierarchical context as China. Well, that's a good thing, but there's consequences. Having said that, it is a little too far for me to say: that is neglected. I dare to doubt that. Moreover, at the end of the day India showed willingness to stick its neck out, with all the comments made. So we are not here, but we have taken a step forward with India.
ParlaMint-NL_2021-11-18-tweedekamer-4.u31	I share with the Minister that small steps forward have been taken at the climate summit. That will also prove to be such a process, including for the future. But we know that it will be discussed again in Egypt in a year, because it has actually been extended by one year. What do you do after five years? Where are you? I would ask this minister and this cabinet, even though they are outgoing, to see how you can contribute to the fact that next year in Egypt a slightly bigger step will be taken with each other.
