ParlaMint-NL_2021-03-16-eerstekamer-15.u1	I give the floor to the initiator, Mr Nijboer.
ParlaMint-NL_2021-03-16-eerstekamer-15.u12	Mr President, thank you very much. Mr Nijboer began by saying that he finds it special to be here. I agree. I am here as an advisor to the Chamber, but also in the capacity as a legislator, because we are dealing with both the initiative law and a number of other matters. I heard Mr Nijboer take back the history he has with Mr Crone. Then I thought, "Would you like me to do that?" Mr Crone and I are going back a long way, but I am not going back. I don't have anyone in this room to pick up on either, so I'm gonna go straight to the content. This is an important subject. Living and the affordability of living are subjects on which I have often had the opportunity to debate in this Chamber. We all know that the cut on the housing market puts pressure on affordability. I have tried to work hard on this over the past year, together with other parties, because it is partly also about building and making more homes. In the meantime, we have been able to take measures to keep living affordable for low incomes and middle incomes. The House is right to draw attention to this today. Mr Nijboer's own-initiative proposal contributes to this affordability. I would like to support this wholeheartedly: to keep the free rental sector affordable and to remove the uncertainty among tenants due to large price increases that can come towards them. So we also have two other legislative proposals today, namely on the temporary rent discount and on rental and income limits. These are legislative proposals which should also contribute to improving the affordability of rents. I'll be very brief, Mr. Chairman. After that, I will immediately answer the questions. At its core, these two legislative proposals are divided into three parts. By distinguishing SGEI income limits according to the size of the household, we improve access for families to the social rental sector. I am not lowering the limit for single people, because that does not fit in with the present times and the uncertainty that Corona has brought with it for many people. I shall now turn to the questions on this subject. Housing corporations will also be given more room for customization in the free allocation area. I better align the limit for income-dependent rent increases with income, so that people with their income just above the social rent limit cannot face a high rent increase. At the same time, higher rents can be requested more quickly from households with the highest incomes, thus making a more appropriate contribution to keeping rents affordable for lower income households or, of course, for investments in new buildings and sustainability. So it's a big deal. In addition, barriers are removed so that landlords can more easily apply the temporary rental discount to the tenants who need it. This is actually an important prerequisite for implementing the customisation of the agreements between tenants and landlords, for example if there is income decline due to corona or other personal circumstances that may exist. Mr. Chairman. Here's what I wanted to do. I shall begin with the questions that have been asked to me about Mr Nijboer's bill. Next, I will address the questions about the bill rent and income limits and the bill temporary rent discount. Then I will deal with the questions that have been asked about the freezing of rents and finally I have a number of other questions. So I'm actually doing it in fours. Mr Nijboer himself has just defended his proposal. There were a number of specific questions. Mr Van der Burg said that this law, which I am positive about and which the cabinet is positive about, should counter excessive increases. At first we thought of 2.5%. So he was actually wondering why this was the case. That has, I think, very to do with the fact that we live in a special time with corona and many uncertainties. Indeed, I intended to maximise the rent increase in the free sector, but that was inflation plus 2.5%. After that, there was good consultation between the cabinet and two opposition parties, GroenLinks and the Labour Party, in which we were able to make a number of agreements on the dossier. We then agreed with each other on the housing fund and also on this rent increase. I think this serves a purpose at the moment. I think it's the right balance in the end. It is necessary, because on the one hand we have to make sure that landlords can get a return to balance the other things we expect from them, namely building and sustaining, with the security that tenants need on the other hand.
ParlaMint-NL_2021-03-16-eerstekamer-15.u13	I understood the Minister's second argument very well: I made a deal with the PvdA and GroenLinks; at least she said it a little more diplomatic, but that was what it was. I didn't get the first argument. Because the minister said: we live in difficult times because of corona. But that was the argument that Mr Kox and his many supporters used nine months ago to intervene at that time. Then, among other things, I supported your argument: no, when it comes to corona, there is only one small group affected by the combination of loss of income and rent. The discussion about the 800,000 is independent of corona. So I don't understand the first argument, because this is exactly what you used nine months ago to disagree with Kox and his people.
ParlaMint-NL_2021-03-16-eerstekamer-15.u14	But Kox cum suis also asked for something else. They asked for rent freezes across the board, while the cabinet already intended to look at a ceiling in the free sector. That was only higher than the maximum that we finally agreed, that is to say, we have finally also agreed to Mr Nijboer's proposal, which is 1%. I would like to comment on this in a little more detail later. Mrs De Boer and others have asked for a reflection on the past year, the appeal of the Chamber, the steps that I then took in the sphere of rents and rent reductions and finally the motion adopted in the House of Representatives. If Mr Van der Burg agrees, I shall come back to that later in my speech.
ParlaMint-NL_2021-03-16-eerstekamer-15.u15	Another point, because I understand that it is debatable whether it is 1%, 1.5%, 2% or 2.5%. At some point there comes a number where you can say: this is an excessive increase in housing costs. Mr Nijboer mentioned the number 5, because 5 times 5 is 25. That's just your argument, Mr. Nijboer. But housing costs aren't just rising because of rent charges. They're going up different, too. I happen to know that you live in Amsterdam. I have just looked at the fact that this year's waste tax increased by 18% and the IZB by 22%. Would you call that an excessive rise in housing costs for the people who have to pay it, if 5% is?
ParlaMint-NL_2021-03-16-eerstekamer-15.u16	Mr Van der Burg has just asked the same question. The waste levy must be cost-effective. Mr Van der Burg knows this very well as a former alderman and councilman. There is, in a sense, a limit to that through cost security. The IZB is an instrument that is ultimately the competence of the municipalities, i.e. of the municipal councils. They have also used them sometimes because of the problems that are widespread in the municipal finances. Of course, it's the one who has to pay for it. But I think it is a different matter from the rent increases that people have to deal with.
ParlaMint-NL_2021-03-16-eerstekamer-15.u17	It's true: I was alderman; even stronger, I was with the minister. Moreover, the waste levy must be maximum cost-covering. So this one doesn't have to be cost-effective. That's one. Two. You say that it is the power of municipal councils to determine how much the ozb may increase. At the moment it is the power of landlords in the free sector to choose the rental they want. We're just saying to each other: we're setting a line there. I do not need to tell you, as Minister of the Interior, that there are many examples where you limit the powers of the city council. So why do you think 5% is excessive? I will go along with Mr Nijboer's example and go along with a limit, but do you not think 22% is a reason to limit it?
ParlaMint-NL_2021-03-16-eerstekamer-15.u18	Mr Van der Burg makes it very political and pulls it very wide. It's okay. That's perfectly legitimate. When we look at the rent developments in recent years and the rent increases that people are facing, I think that, with Mr Nijboer and many others with me, they have often been excessive. Of course, that has everything to do with the market conditions, which led landlords to choose, I'll say. That is an undesirable development. I'm not from the very quick intervention if you don't have to. But in this case, I think you can argue and argue that it is necessary to set a limit here as a government. People who have no other options can otherwise not move and face a rent increase for them almost impossible to bear. That's what we do here. Of course, you can always question any form of taxation and judge it, regardless of what government layer you are. But that is how the system works in my view and why I support this proposal. I think it's very useful to get a better and healthier rental market.
ParlaMint-NL_2021-03-16-eerstekamer-15.u19	Mr. Van der Burg, I have a feeling you're not going to get another answer. So unless you have another question, I ask the Minister to move on. Thank you.
ParlaMint-NL_2021-03-16-eerstekamer-15.u20	Mr. Chairman. A few other questions on this subject. A question has been asked about the IVBN, which says that this is actually already happening. Members do not even need this bill, because they are already doing so in practice. That is true, of course, because the rent increase for sitting tenants in the free segment has been on average low. It's been kept below inflation. But this is not meant to stop all rent increases forever and ever, but it ensures that excessive rent increases are simply no longer possible. The security we offer to individual tenants is, I think, very important. At the same time, a balance has been found, so that landlords can still get a real return. In my view, this is an added value. Then Mr Van der Linden of the Nanninga Group asked whether the rise in house prices should not be a component if we look at inflation, for example. After all, we limit inflation plus 1%. The allowed rent increase in the social sector is based on the consumer price index. That is what Mr Nijboer has based his proposal on, or he has actually connected it to it. The landlords have property. They can also buy, but of course they don't do that every year. In this sense, the landlords do not have to deal with these rising rents every year. So I think this is a good way to assume, to base it on. Then there was another question about the derogation. That was actually a question to the initiator, but the question was also asked to me, I think. I just need to explain what it's about. It is about the derogation and how we can achieve the natural gas free objective. Very often you see that the removal of natural gas from a house can be combined with measures to improve the energy label of the home. You're taking isolation measures. You improve certain things by replacing the resume with a heat pump. These are all ways to improve the home, so also to improve living comfort. Then an additional rent increase is possible. I think it is very important that this sustainability should continue and that we should not take measures that hinder this sustainability. Mr. Chairman. I wanted to move on, because that is how I dealt with the questions on the initiative proposal. I'm moving on to the bill rent and income limits.
ParlaMint-NL_2021-03-16-eerstekamer-15.u21	But there's a question for you, so I'm gonna stop you right now.
ParlaMint-NL_2021-03-16-eerstekamer-15.u22	I hear the Minister say: I think it is very important that the rent... no, that the sustainability continues. That was a slip of the tongue from me, which is not really a slip of the tongue, because that sustainability ultimately leads to rent increases. Sustainability, or just degassing, costs on average €40,000, or perhaps €50,000 per house. So when the Minister says it must continue, I ask: at what price? Can the Minister also indicate what it is going to mean for possible rents in the future? Because this of course has a big price tag on it and you don't solve it with a slightly lower energy bill, which is hardly noticeable in the long run.
ParlaMint-NL_2021-03-16-eerstekamer-15.u23	This issue is worth a whole debate, I think. I stress that it is indeed important that this sustainability, which runs through the route of insulations, replacement measures and the improvement of the energy label, continues, so also that landlords have the space to do that kind of improvement. One of the measures is then "which is important': it is important that a rent increase is possible if there is an improvement in housing, because the comfort of living improves and the energy bill can go down. Of course, we want to achieve this in the end, but at this stage, where we are experimenting with, for example, the freeing of natural gas in whole neighbourhoods, we simply do not have so much experience with it and we see that money will indeed have to be invested to make it profitable. But we are actually only on the verge of the goal of the energy transition, so we are moving away from fossil fuels and moving towards the use of renewable fuels. Much remains to be done.
ParlaMint-NL_2021-03-16-eerstekamer-15.u24	So the Minister says: sustainability must continue. But the question remains: at what price? The minister says it has to be comfortable, but if there's one comfort that doesn't stand up to it, that's the beautiful old-fashioned gas genre. They're taking people away from them. People can no longer cook finely on gas and no longer simply heat their house with a gas boiler, but depend on such a poor heat pump. So that comfort is still a long way to go. Then how can you justify a rent increase like that? At what price does the Minister intend to continue this sustainability?
ParlaMint-NL_2021-03-16-eerstekamer-15.u25	I know the PVV likes natural gas. We did that for a long time in the Netherlands, until there were far too many earthquakes in Groningen. People have been sitting there for years with subsidences and problems with their homes. So we want to turn off the gas tap in Groningen. We also do not want to depend on Russian gas, for example. We can still differ on that, but I think it is wise to go to renewable energy sources anyway. The gas the PVV loves so much stops. And that's a good thing. There is a price tag in the transition, for which this cabinet has also made a lot of money. I am convinced that these costs will eventually go down and that we will be able to make the whole built environment in the Netherlands more sustainable at a reasonable price.
ParlaMint-NL_2021-03-16-eerstekamer-15.u26	Mr. Van Hattem, last time, because it's a little out of the debate right now.
ParlaMint-NL_2021-03-16-eerstekamer-15.u27	It has everything to do with rental prices, especially in the long term. The Minister says we have to get rid of the gas completely. But gas is really clean. We do not have to pump it up from Groningen anymore, but it can be bought from abroad. Whether via Russia, Norway or any other country, or via biogas...
ParlaMint-NL_2021-03-16-eerstekamer-15.u28	And your question is?
ParlaMint-NL_2021-03-16-eerstekamer-15.u29	The question is: shouldn't we simply use this kind of means to keep the houses comfortable, without us all having to make rent increases in the future, so that our tenants are confronted with even higher prices and no more comfort, even more so, the gas comfort is taken away?
ParlaMint-NL_2021-03-16-eerstekamer-15.u30	Now I thought through the first part of Mr Van Hattem's contribution that we were still approaching each other, namely that we put the comfort and rental prices at the centre of the tenants, but he ended up again by declaring his love for the natural gas. However, I can fully support the first part of his contribution. Mr. Chairman. Then I'll go to the rental and income limits and the bill that sees it. Some questions have been asked about that. First of all, Mr Crone regretted that we have incorporated the sweet and the acid into a single legislative proposal. Well, it's just the way you look at what's sweet and what's sour. But the only thing I am concerned with is that there is a substantive policy link between the two proposed measures. There is also technical coherence with regard to the target group. So it makes sense to incorporate it into a single bill. This means that it can also be discussed in coherence here and in the Lower House. That's all it is. It's just the substantive coherence. Mrs De Boer asked what legislation lays down the level of the SGEI income limit. The income limits mentioned by the Implementing Law on rental accommodation are related to the income-related high rent increase. This is not about the differentiation of the SGEI border but about the income-dependent high rent increase. Only the differentiation of the income limit to household composition is made possible by this bill in the Housing Act. The level of the income limits is not laid down in the legislative proposal itself, but in the amendment of the Decision permitted institutions of housing 2015. It's in front of your room. Mr Kox asked why we are not extending the target population for social housing even further. The problem is, of course, that a higher SGEI income limit does not immediately create more homes. It does provide a larger target group. We know there are waiting lists right now. We all think it is important that the existing housing stock is used as well as possible. I think that's important. You always have to consider which households are eligible for a social housing. And what are their chances of success in getting such a social housing? That will, of course, be under pressure when you expand the target group. Nevertheless, I think it is important, in what we are proposing and agreeing on, that we should be able to distinguish between single and multi-person households. This way we can also create some more opportunities for those multi-person households. And we have to do it well, but Mr Kox and I are probably a little different from the definition of the target group, so that, according to the European Commission and on the basis of European legislation, it can and is state aid proof. I think we can just do it with this proposal. Mr Rietkerk also asked about these borders, but I would like to say the same to him. The target group will be expanded. We are now talking about an extension of 241,000 multi-person households. We are also doing a number of other things, such as extending the free allocation area. I therefore think that, with what we are doing now, I am also referring to the answer I gave to Mr Kox on European state aid and so on. But it would also be very difficult to do a lot more than this. Then I come to the feasibility of the free allocation. Mr Van Rooijen asked for that. The income of tenants of corporate housing is assessed, either in the allocation of the property or in the test for the income-dependent rent increase. This means, in practice, that the corporation must classify that allocation to municipalities in its administration. That's basically basic. That's what's happening now. That free allocation is going to be 7.5% by default, but this can be what the incentive is, I think, also for municipalities through the performance agreements will be extended by another 7.5%. So it is 7.5% plus 7.5% up to 15% of free allocation space, locally, through performance agreements, in the annual cycle as used by municipalities. The entry into force is 1 January next year, 2022. This means that housing corporations and municipalities have sufficient time and opportunity to prepare themselves for this. That was also Mr Van der Linden's question, I think. I therefore also refer him to these possibilities through the performance agreements. They can start now, so that it can enter into next year, with the new performance agreements. Then the section higher rent increase for very low rents. Mrs. De Boer asked for that. It is actually an old proposal, because it already dates from the Social Rental Agreement of 2018. It agreed that only for housing corporations that maximum rent increase would go to inflation plus 4.5%. There was then a desire to achieve more equality in the price, so that the price would be about the same in the case of equal housing quality. For very long-term tenants, with very limited rent increases, it may have happened in practice that the rent was very low compared to the quality of the house, if it was relatively good. But that agreement................................................................................................................................................................. Individual tenants of housing corporations could therefore receive a higher rent increase than tenants of the other landlords. This is why an alternative proposal has been made, which allows very low rents to be brought more quickly, independently of income, in relation to the quality of the home, but which does not lead to that legal inequality. That's the underlying idea.
ParlaMint-NL_2021-03-16-eerstekamer-15.u31	Mr Van der Linden has a question on the previous part.
ParlaMint-NL_2021-03-16-eerstekamer-15.u32	The Minister will continue if the President does not give the floor. The minister went very quickly over the point of local customization. My question was actually more to make it more concrete. In the municipal councils all over the country there are council members, but also in the colleges of B and W there are mayors and aldermen who are eager to get to work on that customization and housing market. We heard here in that little debate that one puts the ball in the national government and points the other to the municipality. If this bill is adopted, I am counting on it. How can these municipal councils and lectures start implementing this customization in practice next week? What's the route planner? What can they do in the coming weeks and months to ensure that this leads to more customisation and suitable housing as soon as possible?
ParlaMint-NL_2021-03-16-eerstekamer-15.u33	We know that they are currently not making full use of the free allocation space available. So in many cases there is still a lot of room to do that better. The intention of the proposal before us is to make real use of it next year. This means that municipalities and housing corporations can already start to work there and, to some extent, fill in the free allocation space that is still available, perhaps a little more, on the way to this new method of working.
ParlaMint-NL_2021-03-16-eerstekamer-15.u34	And is the Minister willing, for example, to give some kind of easy instructions in consultation with the Association of Dutch Municipalities, so that these municipalities can get to work and make use of it? I mean, some kind of manual, hand-outs, so they can pick that up right away?
ParlaMint-NL_2021-03-16-eerstekamer-15.u35	I think that's a good suggestion. I have to say honestly: I do not know exactly if we had provided for this and whether municipalities also need it. But I certainly want to conduct that consultation with the VNG to check that out. If there is a need, I will, of course, take care of it.
ParlaMint-NL_2021-03-16-eerstekamer-15.u36	You will continue your speech.
