ParlaMint-RS_2017-10-06-0.u21951	Honorable President, Honorable Ministers...
ParlaMint-RS_2017-10-06-0.u21977	Dear Ministers Ljajic and Ruzic, respected colleagues and fellow Members of the People's Parliament, distinguished citizens, we are today discussing a set of laws that are important for depolitisation and professionalisation and public administration and local self-government. These laws are undoubtedly important for Serbia's further progress, economic sustainability and progress. That's why I will support this set of laws in the voting day. When it comes to the Law on civil servants, amendments and additions to this law, we had three years ago, it is an important system law, and the working group is beside newspapers, important for the lives of citizens and citizens of Serbia, and has seen shortcomings in the functioning of this law for the past three years. The aim of this law is to introduce order into the public administration system. It increases the responsibility of the employees. The goal is to balance, reward those who work hard and educate those who work weaker, that there are no fragrant differences between those who do the same job and have different incomes. Also, effective local self-government must be our standard, so it is important how we manage human resources, because people who do work in local self-government and in public administration directly affect the lives of our citizens. Local self-government must be transformed into a modern, capable, economical and responsible administration. From experience in the work of local self-government, I find it very important that all local self-governments have their own five-year or ten-year development strategies. They must also have teams that monitor projects and work on projects and I believe that the Ministry of State and Local Self-Government takes care of other activities and that. We need to understand that only good and motivated personnel, well deployed, achieve the efficiency in the work we need for progress and wider social development. Of course, it is important that we take on the experience of the EU, the countries that have already solved these issues. I think it's a good thing we're going in this direction, and it's important that we draw the line and really look at where we are based on identified deficiencies and move further towards the planned goals. Public debate was held for this Civil Service Act. Following a public debate, more than 70% of remarks were accepted. I have to admit that I didn't understand the recent protest of one of the unions who, in his protest, expressed disdain for their view that this Law on civil servants is simply denying the rights of workers. I don't see any way that this law can be suspended from any public service talking to the minister or representatives of the ministry about the basics, the coefficient and everything they care about. Because of the citizens of Serbia, I wanted to ask you two questions, Minister Ruzic, because I think it would be very important to point out that the criteria for objectively measuring the efficiency of the work process, as well as the standards and the clear criteria that would be applied in the evaluation? How do government officials evaluate themselves in a position when civil servants stop working in a position? I think it's very important that in the course of the debate you once again point out the answers to these questions I've asked you. As far as the Law on the Electronic Document is concerned, I would like to say very briefly that it facilitates administrative procedures and improves the provision of services to citizens. I believe this law is about the way we seal over time into the past, where it belongs. How important e-Government and the new e-Government Act is, as one of the system laws that we expect in this high house by the end of this year, I will point out only two examples. This, the entry of newborns back in maternity homes, and from June 1st to today, the administration of Serbia, using e-ZUP, exchanged over 15,000 documents. So I find this set of laws very important for further progress and progress in Serbia. Once again, I will support them in voting day.
ParlaMint-RS_2017-10-06-0.u21978	Thank you. Bosko Obradovic is not here. The word is Milimir Vujadinović.
ParlaMint-RS_2017-10-06-0.u21979	Thank you, Chairman. Dear Presidents, distinguished ministers with associates, I would say that the predecessor of these legal proposals that were before us today was the government's work programme, which was presented to both MPs and citizens in the day of the government's election in this honored home. In fact, an emphasis was put on modernising and improving the work of the public administration already at the time. I think these laws are actually a product or, to put it that way, the fulfillment of that plan, which is somewhere and fine. In fact, strengthening the capacity of the public administration is probably a prerequisite for the development of a state and its modernisation, after all. It is important for this system to grow from one regulator to a clean citizen service. It is certainly important to establish a new body called the National Public Administration Academy, which will in fact be an upgrade to that formal part of education that each public administration official has. We have heard various criticisms in the past few days, but I have somehow found the most striking criticism that this is a slap with a formal education system in Serbia, and I have also noticed that some opposition MPs have somehow treated that name with nationalism. But, well, I guess that's part of their political agenda. Namely, this is something that is an upgrade of this formal education of every official and way to sort of standardize and uniformize this learning, professional training, exchange of experiences of every public administration official, certainly not questioning everything that is formal education and improvement in some private direction of every citizen of this country. I've seen in Article 6, the Honorable Minister, in article 6, you've foreseen a wide range of associates, both persons and institutions, who can help in the work of the National Academy. It's a good thing higher education institutions are conditioned to be accredited, that's a condition for them to be co-workers of the National Academy. We thus disprove the view that this is somehow a slap to the education system. It can be concluded from this that it is clear that the Academy will depend on these and such institutions, on these and such faces, not the other way around. I don't even want to talk about that other part, which is about contempt for the name National, I think it says enough about themselves. Otherwise, this is a problem that has been burdening Serbia for decades. I think, in any case, this government deserves to be commended for the step it's decided upon. Finally, someone decided after decades to deal with this problem, and it should certainly be appreciated. The fact is that the number of employees in both public administration and public enterprises, in public institutions, is 80,000 smaller, but in itself it would not have been a success if these people had ended up on the street, as it was by 2012, when people who had lost their jobs and measured hundreds of thousands of people, ended up on the street, unemployment grew. It should be noted that 80,000 people have been fired, but that the unemployment rate in Serbia has been drastically reduced. This is where the success of this government is seen when it comes to public administration reform and I believe it is a success, in fact I know that it is the success of the government and Alexander Vukic, but also others led later by Prime Minister Ana Brnabic along with you, honourable ministers. Everything else is, of course, floscule and demagogy and this is the only measurable result and this is the only thing that is seen in the light of the political action of today's government. This is the only thing that will remain behind this government and be measurable. Therefore, Your Honors Minister, I will definitely support these proposals in the voting day, as well as any other proposals leading to the modernisation of this country. Thank you.
ParlaMint-RS_2017-10-06-0.u21980	Thank you. The word is Ivan Bauer.
ParlaMint-RS_2017-10-06-0.u21981	Thank you. Dear Presidents, honourable ministers, respected colleagues and fellow MPs, the SDPS parliamentary group will support all proposed laws, and in this short time, as far as I have it available, I will try to refer to this law on e-business. It's a very important law that surrounds an area where we started working a few years ago. A pretty big job has been done, a high-quality law has been passed that puts things in one balanced way, some in law, and some in sublaws. I think it's something worth commending. Of course, we still have one big job left, and that's the one about the implementation of this law. After the law has been passed, as the minister said, 17 sublaws should be passed over the next 12 months, i.e. if the proposed amendment is adopted, in the next six, 12, 18 months, and after that the implementation of the whole law, which is certainly the biggest job. I think it is very important to point out, and that is what the minister has already said, that it is very good that technical specifications, to say, are derived from the law, that the law represents practically one core of the most important things, those things that are unchangeable, and that sublaws contain those things that change, or those things that are in the era of an Internet revolution that brings us tremendously fast changes, which are almost impossible to predict and are beyond the legal solution. That makes us sure we don't have to change that law on an annual basis or maybe more often than that. When we talk about IT, telecommunications, mobile phone, we talk about an area where almost every day something new is happening. He didn't even have a full 4G, and we have a 5G today. The cell phone today is more and more of a mobile wallet. I believe it's not far from the day when our mobile phone will become a mobile remote control, and not just those devices we're used to managing, like air conditioning or televisions, but I also believe some devices we don't have today, like smart refrigerators, and I believe they'll become a mobile key that will open our offices, our apartments, our cars, and run the engines of our cars. If so, why wouldn't a cell phone be the key to this kind of communication? I believe that we all agree that this is something that is necessary in today's day. However, some colleagues ask a question and fear, which is not unjustified, about data security. They say -- there was a leak of some data from the Swedish Ministry of Defence, and that is why I don't remember, I must admit, the Swedish Defence Minister had to resign, but not the minister in charge of IT affairs that passed the law. Why am I stressing that? Because the Ministry of Trade, Tourism and Telecommunications is responsible for the adoption of this law and for the adoption of sublegal acts and possibly for providing some kind of professional assistance in the implementation, but not for maintaining the system afterwards and not for the security of the data that are being stored, nor for the security of the communication that will take place. So we need to distinguish these things, we need to understand where the responsibility of the Ministry of Trade, Tourism and Telecommunications is. Of course, the legal framework when it was being set was also thinking about it, so that's why we have different levels of data protection, depending on how important these data are. So, we predict everything that can be controlled by one legal proposal, and then we have sublegal acts that we're trying to establish complete control, as far as possible in this current era, of data security. We need to understand that data security, so to speak, is the scene of a continuous, continuous, therefore global war between those who are trying to protect you and those who are trying for different reasons to get their hands on these sensitive data. What is very important and what we need to know is that the more the diapazone of mobile telephony services or generally in electronic communications, the more security these data will be, not because it's logical, but because simple data security will become imperative, given the dissemination of services, and the dissemination of services is almost daily. Thank you.
ParlaMint-RS_2017-10-06-0.u21982	Ivan Kostic. He's not here. ) The word is Mary Janjušević. Here you go.
ParlaMint-RS_2017-10-06-0.u21983	Thank you, Chairman. I order the violation of Rule 27 of the Rules of Procedure. You, as the chairman, are obliged to take care of the application of this Rules of Procedure, but you are constantly showing that you are not in a position to chair the Assembly and to hold this session.
ParlaMint-RS_2017-10-06-0.u21984	When was that?
ParlaMint-RS_2017-10-06-0.u21985	You use force all the time. You have given two warnings to Ambassador Bosko Obradovic, you have taken away... [[Disabled microphone.]]
ParlaMint-RS_2017-10-06-0.u21986	You can report directly, this is the abuse of the Rules of Procedure. Thank you very much. Just directly, I won't let the Rules of Procedure be broken. Thank you very much. Learn. (National MP Marija Janjusevic approaches the chair of the chairman. Don't come near me, please, I didn't let you. I didn't let you do this. Hold it, hold it, hold it. I didn't let you. You brought a stone into the parliament of the Republic of Serbia in a woman's purse the other day, which I forgave you. Will you step aside, please? Yes, you've brought a stone into a woman's purse on fraud, I've forgiven you, behave yourself, you're a lady, please stay away. Don't be abused by your fellow MPs, don't be. (The National MP Marija Janjusevic stands in front of the table of the chairman-in-Office to the MPs and points to a violation of article 27. Rules of Procedure. I have to give you a warning. It's very difficult for me, you're young, you have no experience, but the reminder may help you. The word is Nikola Jolović. Here you go.
ParlaMint-RS_2017-10-06-0.u21987	Honorable President, Honorable Ministers... (The National MP Marija Janjusevic stands in front of the table of the chairman-in-Office to the MPs. )
ParlaMint-RS_2017-10-06-0.u21988	The letter gets another warning because she thinks she's on a fashion runway or in a theater. Go ahead. Let Nikola Jolovic speak.
ParlaMint-RS_2017-10-06-0.u21989	Amendments to the Law on civil servants, professional training, establishing a framework and implementing measures...
ParlaMint-RS_2017-10-06-0.u21990	I'm sorry, Nikola. (The National MP Marija Janjusevic is still standing in front of the table of the chairman-in-Office to the MPs. ( 2) Fellow Members, you have received another warning, which means you have no right to participate in this session. Thank you very much. Let her go, she's young, she has no experience. I ask the MP not to record because the opposition rebelled when an MP upstairs from those benches was recording, so it's worth everything equally, please. Thank you. Nikola Jolovic wants to talk?
ParlaMint-RS_2017-10-06-0.u21991	The Presidents, fellow MPs, amendments to the Law on State Servants, professional training and the establishment of the framework and implementation of the measures and activities envisaged by the Public Administration Reform Strategy in the Republic of Serbia and the Action Plan for its implementation, as well as the establishment of a legal and institutional framework for professional training of employees in other bodies and public administration organisations on the basis of single programmes of professional training, as well as the additions proposed by the National Assembly, will be regulated and relations that ensure mutual compliance of the state-level system with the official system and the establishment of the Law on Employees in Autonomous Areas and Units of Local Self-Government. The amendments and additions to the law referred to above lay down the tasks of the National Public Administration Academy in the system of professional training of civil servants, as well as training programmes. The general training programme covering the initial training programme and the training programme will contribute to the fact that public officials who for the first time establish a working relationship within the state authority are trained to carry out this type of work, i.e. the introduction programme will provide them with an elementary level of knowledge that will help them carry out their professional examination, and the training programme will raise the level of expertise and practical skills of civil servants. Given that the professional training of civil servants located in management posts or preparing for it is as important as the professional training of other categories of civil servants, the law also provides for the introduction of training programmes for managers. This law enables the professional training of civil servants in accordance with the needs and responsibilities of the public authorities, i.e. the achievement of the needs of individual jobs, types of jobs or special groups of users, by prescribing specific training programmes carried out by the authorities that bring them in, with the possibility that their implementation can also be entrusted to the National Academy. The law also addresses issues relating to lecturers and training and professional training programmes for the work of the state authority. In this context, it is arranged who can be a lecturer in professional training programmes by defining that the lecturer selection is carried out from the order of experts in the field relevant to the work of the national authorities, primarily from the public body's staff order, and in a way that the lecturer is selected on the basis of its professional, working and teaching experience in the field to which it is applied. This law brings forth a number of other benefits when it comes to professional training and training of civil servants, in the most qualitative way possible, which will help our country, with so well-educated and improved officials and procedures to improve, to come another step closer to EU accession. Given this, it is essential that this law on amendments and additions to the Law on civil servants be adopted as soon as possible. That is why SNS MPs will support this bill in the voting day. Thank you.
ParlaMint-RS_2017-10-06-0.u21992	Thank you. Sanda Raskovic Ivić is not here. The word is Ljubica Mrdaković Todorovic. Here you go.
ParlaMint-RS_2017-10-06-0.u21993	Dear Presidents of the National Assembly, honourable ministers with associates, colleagues and fellow Members of the People's Parliament, I will remain in my presentation today at the draft law on the National Academy. Namely, one of the fundamental human rights is the right to education and perfection. In this case, it is a matter of professional training, so that the National Academy of Public Administration, as provided for by this law, is precisely intended to respond to the requirement of professional training in the public administration, and all for the purpose of obtaining appropriate knowledge, expertise and other necessary technical skills necessary for the performance of business tasks under the jurisdiction of public administration. Experience and practice from EU countries suggests that this type of improvement is necessary in order to raise the very efficiency of the results of employees to a higher qualitative level in local self-government bodies, thus also increating quality levels in providing services and competencies within the working collectives themselves. Accordingly, the need to adopt good and stable practice, which undoubtedly produced good results in the Western countries of democratic order, is in itself imposed. One of the necessary steps towards achieving this goal is to adopt this bill. The draft law on the National Academy of Public Administration aims to start through the permanent and comprehensive education of existing staff in the public administration, but also personnel that are yet to begin work, with the education of their employees. It is one of the significant steps taken to creating a modern, stable and orderly administration. In fact, we live in the 21st century, times have changed and a modern state, with all its advantages and disadvantages, with an energetic and progressive pace that dictates urban life, requires a faster functional operation above all else, a system-educated public service and administration that will not exist for itself, but exclusively in the interests of citizens and the exposure to their elemental needs, in translation, to be a service of citizens. There have been situations in the past that we are welcomed by various Shojici, Pantici and Mice murderers, mostly with comments on what we have no right to, what we lack of documentation and that a colleague who signs this very solution that we need is currently on vacation, and after a vacation he goes to sick leave, and after his retirement, and so on. Such situations are being corrected and brought into order by a number of quality legal proposals that we have adopted, and thus by this bill which we are now discussing and which will be adopted. I would like to say further that this law provides for the unification of processes and practices. This basically means that the uniformity would overcome the difference in the regulations that exist in different local self-governments, since the metric decision-making of the administration itself was often so, that what is right in one city, i.e. the municipality, not necessarily in another city of the municipality, etc. incessantly. This unified the uniformity of municipal acts concerning certain areas would simplify the work of local self-government authorities and allow for a more efficient approach to the achievement of the primary objective, which is to raise the quality of life of citizens themselves and general qualitative standards, which is quite correct, since in that case citizens would not be forced to take an annual vacation to resolve some administrative formality or obligation, as even employers are not willing to tolerate several hours of absence from work by an employee, due to his efforts to meet his obligations of private character during the working shift. Finally, there is a potential risk of compromise of well-designed action. Given the characteristics of the mentality of the dominant population and the extremely unpopular practice of a previous period, it is necessary that the process of education to be conducted by the National Academy of Public Administration, through permanent programming committees, be accompanied by an adequate knowledge check, as provided for by this draft law, in Article 4 point 9 and in Article 8 point 7. So in voting day, I, as well as my colleagues from the SNS, will support this and all these bill proposals, which are on today's agenda. Thank you.
ParlaMint-RS_2017-10-06-0.u21994	Okay. You can only speak from your place. You can't speak from here. Marija Janjusevic: No, I can tell you that you are violating the Rules of Procedure. This is terrible.
ParlaMint-RS_2017-10-06-0.u21995	You can't do this to us, you have to understand.
ParlaMint-RS_2017-10-06-0.u21996	What I'm going to experience, so this is amazing. This is worse than Shojic's. Let's move on. So you don't want to talk. (National MP Marija Janjusevic addresses the president directly. Messengers, so what's the matter with you?
ParlaMint-RS_2017-10-06-0.u21997	We have our rights.
ParlaMint-RS_2017-10-06-0.u21998	I believe everything. Unbelievable, if you're not feeling well, we have a doctor just calm down. Don't shoot me, please. All right, call who we need to call. Calm down. It's gonna be okay. Take it easy. The word has the People's MP, Djordje Vukadinovic. It's gonna be okay.
ParlaMint-RS_2017-10-06-0.u21999	I don't touch you, and you accuse me of touching you.
ParlaMint-RS_2017-10-06-0.u22000	And what you're doing is forbidden in parliament. Don't make a circus.
ParlaMint-RS_2017-10-06-0.u22001	It is forbidden to trample on people's messengers.
ParlaMint-RS_2017-10-06-0.u22002	MPs, I'm taking you out of the O.R. I won't. For nothing, but it's not worth it. Djordje Vukadinovic, does he want to speak in these conditions?
ParlaMint-RS_2017-10-06-0.u22003	Thank you. Dear colleagues, the Honorable Presidency, I would very much like to say a few minutes about these things, but unfortunately, in this atmosphere, I don't think it's right and it's not fair to talk. I urge the presidency, or the president, to take some steps in order to interrupt the session, call for consultations, a college. I think the College of the Assembly, in these conditions, I don't think it's right, no matter what we have to say, specifically from the agenda. So, thank you, but under these circumstances, I would use this right. I think it's better for everyone and for the dignity of this home and for all of us, that we try to reset our relationships in some way. I, and I end up, for the past ten days in two moments speaking on those parliamentary issues, talking about it, it's part of it, let's just pounding empty straw, I didn't know what was going to happen, but I saw things going wrong. I appeal to everyone, therefore to my colleagues and to you, but above all, to the leadership and the president of the Assembly to try to reset these relations. Thank you, but since this discussion, I have abstained. Thank you.
ParlaMint-RS_2017-10-06-0.u22004	Thank you very much. Let's see who needs to talk now. (The National MP Marija Janjusevic stands in front of the chair table and points to a breach of the Rules of Procedure. Please refrain.
ParlaMint-RS_2017-10-06-0.u22005	But I'm asking you to just respect the Rules of Procedure.
ParlaMint-RS_2017-10-06-0.u22006	Please calm down, if we have any doctors, let them in discreetly. I also know the minister is a doctor and everything is fine, if necessary, if you don't leave me alone. The word is made by MP Dragan Vesovic. You have seven minutes and 59 seconds, if you want to talk about the law, and if not, then no.
ParlaMint-RS_2017-10-06-0.u22007	Thank you, Chairman. Otherwise, I thought I'd ask you how much time there is and I'd use those seven minutes to stand and keep my mouth shut on this pay phone.
ParlaMint-RS_2017-10-06-0.u22008	I respect your decision, but it says very clearly in the Rules of Procedure that you have to talk about the subject. I can sit for eight minutes, I'll order coffee, it's no problem, but according to the Rules of Procedure that's been brought in and who's been coerced past this call to us to work, you have to talk about the subject.
ParlaMint-RS_2017-10-06-0.u22009	I've been trying to study the Rules of Procedure and I don't know which member of the Rules of Procedure says I have to use my time. And silence is sometimes more than a word.
ParlaMint-RS_2017-10-06-0.u22010	So you're still talking.
ParlaMint-RS_2017-10-06-0.u22011	It represents a view of what is happening in the congregation.
ParlaMint-RS_2017-10-06-0.u22012	You're still talking. Thank you.
ParlaMint-RS_2017-10-06-0.u22013	I'm talking about why I don't want to talk about it, because I think I need to keep quiet.
ParlaMint-RS_2017-10-06-0.u22014	Okay, thank you very much, then you can stand those seven minutes we'll keep working. The word has Zvonimir Djokic. Here you go.
ParlaMint-RS_2017-10-06-0.u22015	Thank you. I'm sorry to have to interrupt the party of some MPs and MPs, but I have to tell you, what you're doing leads to anarchy and you need to be aware of that. This isn't parliamentary democracy, this is an anarchism.
ParlaMint-RS_2017-10-06-0.u22016	Thank you so much for understanding. The next speaker is Zoran Radojcic. Then, Mikhailo Jokic. Here you go.
ParlaMint-RS_2017-10-06-0.u22017	Dear gentlemen, although these are specific conditions, I pray for a little silence. I'm inspired by a young lady standing in front of the president to speak better than I'd say if she wasn't here. I only ask Minister Ruzic to be focused, because I will give some suggestions that will be concrete and I will try to say what no one has said so far. So I'm not repeating myself, and you're gonna see from my statement that I'm right. First of all, no one has said that this Law on civil servants has changed six times so far, which says a lot about the problems we've been in. On the other hand, this is a continuation of the reforms initiated by Ana Brnabic, who served as minister for local self-government. This is a step forward and I will, of course, vote for these laws, but I put certain objections or suggestions, or I point to certain dangers. First, in order for an officer to change his post without a competition, I think it's not enough, and I need his and both of his executives' consent. I mean, mathematically stated that this can only be a necessary condition, that it's not enough, that criteria and procedures must be developed when this is done, so that there can be no abuse, because those three faces can make abuse. It takes control. On the other hand, the law says exactly in which cases professional training is needed, and there it is said – if the obligations are not met at least 10%. It's okay, but it's not said who determines those 10% and how. That's got to be ensured. What's important, the National Academy of Public Administration is not a new agency, it's not a new imposition. It replaces the Staff Management Service, which is very important for Serbian citizens to know. She has a legal personality, she's funded from the Republic's budget. The Academy is taking over all personnel management workers. She perfects, but what is important, she keeps perfecting, so the emphasis on this word is "permanent" perfection. What's commendable, it connects personnel records. Within the prescribed time limit, the public authorities must provide information to the academy. So all the data would have to be centralized. Now, what's the danger? You wrote here that the National Academy can deal with commercial programs. Minister Ruzic, it is a danger that must be sanctioned, which must be limited. And, what Comrade Seselj says, it's a gig. Now, when that income is realised, then it must be said and where that income is going, whether that income is going back to the budget or remains academia and what the academy is doing with that money, which has to be written. Minister Ruzic, what is necessary, beware, all the laws, all the regulations, all that is fine, but if there is no supervision and if there is no control of the regulations and the law has nothing. I suggest you, as minister, form flying expert teams that will suddenly check how local self-government works. Go ahead, Comrade Seselj. (Vojislav Seselj: This idea is something I know. )
ParlaMint-RS_2017-10-06-0.u22018	Thank you very much.
ParlaMint-RS_2017-10-06-0.u22019	No, no. I'm not finished, please.
ParlaMint-RS_2017-10-06-0.u22020	Oh, I'm sorry. I see you've entered communication with the MP second.
ParlaMint-RS_2017-10-06-0.u22021	Please, the weakest, Minister Ruzic, the weakest point in the city administration, in the municipal administration, is a public procurement service. In municipalities, city administrations usually do so by a man who is very easy and very softly arranged with a manager. And that's the main source of corruption in local self-government. Please train these people to pay attention. Secondly, to prescribe that one person can't do this, but has to work three, one of which must be a graduate law student at the state college, one must be an economist, too, at the state college. This, if you stop, you stop 90% of the corruption in local self-government. So much for me. So these are my suggestions, these are my references to the dangers that are hidden in these laws, and on the day of the vote, of course, I will vote for this law, because this is a step forward. Thank you.
ParlaMint-RS_2017-10-06-0.u22022	Thank you. The People's Messenger Miladin Shevarlic has the word. (The National MP Marija Janjušević addresses the president directly: Double Archini, when are you going to stop? You can't stop. (Maria Janjušević: So you have double arches. So Miladin Chevarlic isn't here. Your arm's shaking, take it easy. He's shaking. Miladin Chevarlic isn't here. So... (Maria Janjušević: I know you would love it, but I don't shake my hand. I wouldn't like anything right now. Miladin Chevarlic isn't here. It's all right. So the Dverry parliamentary group has no more time. According to the list, Dalibor Radicevic. Does he want to talk? (Yes)
ParlaMint-RS_2017-10-06-0.u22023	The Honorable Presidents, gentlemen of the Ministers with fellow Members, ladies and gentlemen of the People's Parliament, are today before us four laws. In my presentation, I will refer to the proposal for a law on electronic document, electronic identification and services of trust in electronic business. We are in a century where electronic business has reached such a level that daily life is more unimaginable without the help of computers, e-mails, electronic banking. The law we are talking about today aims to enable faster and more efficient business with a reduction in the cost of business, modernisation and more efficient work of public authorities, as well as easier and safer access to services provided by public authorities by electronic means. This law will allow faster and more efficient business. The time it takes to do a certain job, and what bothers all of us, will be reduced, there will be no need for us to go from the counter to the counter and waste time needlessly. In order to contribute to the modernisation and efficiency of the work of the authorities, the law regulates the following areas: electronic document, electronic identification of trust services, electronic signature, electronic stamp, time stamp, electronic delivery, web site authentication, as well as electronic document keeping. All these areas are detailed in this law, so I can freely say that we have a good law in front of us that is equally important for citizens, businesses, government, local self-government and other entities. The application of this law will allow, not only to save time and money, to make progress in the international situation. The application of this law will be slow and difficult, but we all understand the necessity of applying such legal solutions. To facilitate the application of this law, as well as any future legal solutions, today we are also discussing the draft law on the National Academy of Public Administration. The goal of the National Academy is to train unspecified employees in the state administration and local self-government to train them professionally for all the jobs in their work. Given that we often have amendments to the rules and all in order to comply with the legislation and procedures in our country, legislation and procedures of EU member states. Given that the legal solutions ahead allow us to modernise and catch up with developed countries, in the voting day, I will support the bill's proposals. Thank you.
ParlaMint-RS_2017-10-06-0.u22024	It's Alexandra Mike's turn now. Here you go.
ParlaMint-RS_2017-10-06-0.u22025	Dear Presidents, the Presidency, honourable MPs and MPs, respected ministers and representatives of the ministry, are four laws ahead of us today, although from two different ministries, we can say that they have the same objectives, which are the modernisation and more efficient work of the public administration body, easier access to public administration services, reduction of the operating costs of public administration authorities, and, also, the business sector and citizens associated with public administration bodies, and more efficient and more polite and better-oriented officials. What had to precede the adoption of these laws, which we can say was very brave to do, is to pass a law on the maximum number of public sector employees, so we can say that for 37,900 is less and employed in public administration since the end of 2013, and including public enterprises, it is 80,000 people. Although, we can say, that was kind of hard, because again, it's about people's lives, we have to say that it was necessary for the administration to be effective and tailored to the needs of citizens today. It certainly made savings in the Republic of Serbia's budget, so we can say that in 2016, 43m euros have been saved, and more than 100m euros have been saved since May 2013. What will facilitate the implementation of these laws that are today ahead of us, and in general the law relating to public administration reform, is that the EU budget provides 80m euros, which will be spent for the period from 2016 to 2018 on state administration reform, all thanks to the presented results of a comprehensive reform that took place in the previous few years in the bodies of the state administration. What is important and what is new is being regulated by these laws, and above all, the establishment of the National Academy, and then, for the first time, the education of civil servants at all levels, both at the state and at the local level, is being introduced for all those who are employed in the state administration and so on for the executives, because we all come less from local self-government. We know here about what the state of local self-government is, and we can say that a lot of young people employed in the state administration don't have much to learn, so the education of those who operate in the state administration is important for both themselves and those who learn from them. These laws also introduce education, i.e. training for technical skills, i.e. for administrative procedures, knowledge of the work of the administration, as well as so-called soft skills that are very important for working in all bodies, as well as bodies in state administrations, such as communication, project leadership. For the first time, these laws have been regulated by electronic security, electronic delivery and electronic seal. All these reforms will not go easily, first of all, because many and sublegal acts and other laws need to be agreed on in the next few days, and also because of the human factor. We introduced an electronic assembly in Kikinda at the end of 2013, which is that the material is delivered by the city's electronics and we can say that at first there were little problems, primarily because of the human factor and those people who were in the city administration, they worked in the secretariat for 20-30 years, and that the problem was that they were now electronically delivering material, but we can say that, first of all, it saved time because it was much faster to send an e-mail than the one going from man to man to deliver that material, and also that there was savings in the budget of Kickinda. Also, one example, and for example, the Anti-Corruption Agency, which we have led some controversy about in the previous days, namely, how much do you want to report the property to the Anti-Corruption Agency, first you need to fill in an e-mail containing your personal data, including your personal home number, after you e-mail you get the bar code, you need to sign that document and send it to the Anti-Corruption Agency or personally take it away. What, if he's already sent to the e-mail, I don't see why he should be sent in person or in the mail? So I believe that this gap will also be in line with the new law that we need to adopt in the next few days. What is basic, regardless of some of the criticisms that have been referred to the previous days of this law, is - whether citizens are satisfied with the work of public administration authorities, I think they are not, and therefore it is very important that management and officials have to catch up with flows, to respond to the request of the private sector and citizens. This reform is necessary. Reforms are also working on much more developed countries, so we must do so in Serbia, so full support for the adoption of these laws. Thank you.
ParlaMint-RS_2017-10-06-0.u22026	The word is made by the People's Messenger Ivan Kostic. Here you go.
ParlaMint-RS_2017-10-06-0.u22027	The chairman, you've been in violation of article 108 for 20 minutes, where it says that the regular session of the National Assembly is the former president of the Assembly. There's no point in having a session like this. You've got all kinds of people coming up to you. They're suffling something. They're suggesting something.
ParlaMint-RS_2017-10-06-0.u22028	You have a warning. "What kind of people" are MPs. Thank you.
ParlaMint-RS_2017-10-06-0.u22029	They have no right. Where does it say they have the right to approach you and advise you? There's no point in keeping it here anymore. The best thing to do is to disband the congregation, because there's no point in working in this kind of a congregation anymore. What right do ordinary people's messengers have to approach you? (Maria Janjušević: I am also an MP, and I have rights. Let me say the chairman.
ParlaMint-RS_2017-10-06-0.u22030	I can't, I can't give you your letter.
ParlaMint-RS_2017-10-06-0.u22031	It doesn't make sense. (Maria Janjušević: Abort session. How come they have the right to approach you, to bring you cell phones and this. What's this? Well, people laugh at what you do. The whole country is laughing.
ParlaMint-RS_2017-10-06-0.u22032	They're laughing at you, MP. You've been making a circus for days.
ParlaMint-RS_2017-10-06-0.u22033	You've seduced the dictatorship. No one can say anything in this assembly. (Maria Janjušević: I too have my rights. )
ParlaMint-RS_2017-10-06-0.u22034	Do you see what he's doing?
ParlaMint-RS_2017-10-06-0.u22035	Well, it should work for you when you act like one.
ParlaMint-RS_2017-10-06-0.u22036	Don't do this, MPs. What are you doing? Well, she's a woman.
ParlaMint-RS_2017-10-06-0.u22037	You gave Bosko Obradovic two warnings, Srdjana three yesterday.
ParlaMint-RS_2017-10-06-0.u22038	What are you doing? Why are you trying to get her to do this stuff, to bring in rocks, to make a mess here? A woman shakes here whenever she approaches. He's picking up a microphone. Well, it's not my microphone.
ParlaMint-RS_2017-10-06-0.u22039	Here, see what you've been doing for a year, the chairman.
ParlaMint-RS_2017-10-06-0.u22040	Ambassador, thank you. If it's not working for you...
ParlaMint-RS_2017-10-06-0.u22041	No, it doesn't make sense. Disband the Assembly...
ParlaMint-RS_2017-10-06-0.u22042	Abuse of the Rules of Procedure's injuries so you can talk here whatever you want. I'm extremely intolerant. (Maria Janjušević: I find you intolerant. ) Here, MP Maria Janjusevic has a stand-up show here, and I don't know what she's got. We're here to work. If it's not working for you and if the Dverry Group wants to... (Maria Janjušević: You do not allow the opposition to say what he has. You're not the opposition, you're nothing right now. (Maria Janjušević: I am nothing? Thank you, Chairman, for telling me I was nothing. You don't have to apologize. All right. Is this part over now? (Maria Janjusevic: I hope that the Women's Parliamentary Network will condemn such sexism in the hall. ) Okay, we stopped at Milanka Jevtović Vukojičić. Here you go.
