ParlaMint-UA_2017-04-06-m1.u1	Colleagues, please come into the hall and prepare for the registration in the evening session.
ParlaMint-UA_2017-04-06-m1.u12	Let me remind you, it's not a veto, it's just 226 votes. I'll give you an accent, 226 votes. And our main task right now is to invite all the fellow MPs into the hall and maximize the factions. Colleagues, we're done talking about the amendments. We had a big discussion with Minfin on the subject. And that's why I'm giving the floor to Deputy Finance Minister Andrew Ivanovich Grill. Turn on the microphone, please, in the government box.
ParlaMint-UA_2017-04-06-m1.u13	Thank you. The Ministry of Finance fully supports the need to strengthen State guarantees for those who have been injured in a conflict zone and when performing military duties. It is therefore appropriate to provide for increased assistance in the proposed bill for those involved in hostilities or in military service. Proposals by the Ministry of Finance regarding the draft Act on Amendments to certain Ukrainian laws on raising the level of social protection of military personnel and their families. Article 16, paragraph 1 (a), para. The Ukrainian Act on Social and Legal Protection of Soldiers and Their Families. The bill proposes the addition in the following edition: "750 times the minimum living minimum set for working persons on 1 January of the calendar year in the event of the death, death of a soldier, a military officer or a reserve, in the cases referred to in article 16, paragraph 2, paragraph 1, of this law"; "a 500-fold subsistence minimum set for working persons on 1 January of the calendar year, in the event of death, death of a military officer, a military officer or a reserve, in the cases referred to in paragraphs 2-3(2) of Article 16 of this Act." For the sake of clarity and clarity in the application of the law, the text of the new article 16 prime is proposed. 2 The Ukrainian Act on Social and Legal Protection of Military Servants and Members of Their Families stipulates that the subsistence minimum is set for working persons on 1 January of the calendar year. In this regard, in paragraph (b) of the new article 16, prime. 2 The Ukrainian Act on Social and Legal Protection of Military Servants and Members of Their Families, as amended by the bill after the words "profit minimum set for working persons" add with words and figures: "On 1 January of the calendar year." Three. In article 162, paragraph 2, of the Ukrainian Act on Social and Legal Protection of Military Servants and Members of Their Families, the bill suggests that the amount of one-off cash assistance may not be less than 70 times the subsistence minimum set for working persons on 1 January of the calendar year. And the last. In the new section 6 of article 21 of the Ukrainian Act on Combating Terrorism, which proposes to supplement the mentioned article with the words "On Social and Legal Protection of Military Workers and Members of Their Families" replace the words "On Social and Legal Protection of Military Servants and Members of Their Families" and "On National Police" respectively. Thank you.
ParlaMint-UA_2017-04-06-m1.u14	Thank you. Please, Irina Lucenko, one minute. Representative of the President to the Supreme Council of Ukraine. And, colleagues, please come into the hall. Please invite everyone into the hall.
ParlaMint-UA_2017-04-06-m1.u15	Ladies and gentlemen, I would like to remind you that the reason for the return of the President of Ukraine to this law for a re-examination by Parliament is precisely the conclusion of the Ukrainian Ministry of Finance, with a comment on the State's financial capacity. In view of the noted and bugged by the Deputy Minister of Finance, please support the amendments of the Ministry of Finance of Ukraine and allow the adoption of the law in the form that will be supported if approved by the Ministry of Finance of Ukraine and the Cabinet of Ministers of Ukraine. Thank you.
ParlaMint-UA_2017-04-06-m1.u16	Thank you. Please, Sergey Volodymyrovich, and let's proceed to the vote. Please come into the hall.
ParlaMint-UA_2017-04-06-m1.u17	Dear colleagues, I'd like to address everyone again. Despite not being able to count the money stolen by Yanukovich because of the corruption of the Supreme Council against the budget, despite the fact that the forces of the pro-Russian elements of our country are causing enormous economic damage, the government has now achieved that we have an overturning of the state budget by about 15 percent. I'm very grateful, this is one of the few examples where the Ministry of Finance supports a social law related to enhancing the protection of all categories of military personnel, starting with disability, death, at the same time, I want to emphasize once again -- at the same time. And it will be a shame for the entire Supreme Council if we fail this bill now. Everyone concentrate, please forget our interfractional disagreements and vote for this law.
ParlaMint-UA_2017-04-06-m1.u18	Please turn on the Pashinski microphone.
ParlaMint-UA_2017-04-06-m1.u19	Given the legal and legal rights, including the sound and the Ministry of Finance, the entire Ministry of Finance supports the text of the law in its entirety.
ParlaMint-UA_2017-04-06-m1.u20	Colleagues, let's move on to making a decision. I ask everyone to take their seats and prepare for the vote. Colleagues, this is a very important vote. This bill has long been passed by Andrew Antonishtak and other fighters, and ATO participants have sought to have it voted in the hall. I'm asking everyone to come into the hall and take jobs. And I, my colleagues, have put to the vote the Ukrainian Act on Amendments to certain Ukrainian laws on raising the level of social protection of military personnel and their families" with proposals by the President of Ukraine since 07.08.2015, with a proposal made by Irina Lucenko, and the text was delivered by the Deputy Minister of Finance and was supported by the Committee (number 2406) as a whole, taking into account the Committee's proposals and with technical and legal rights. Colleagues in charge of the bill, I ask everyone to vote responsibly. Please vote and please support, colleagues. We will support our fighters and their families. Let's vote, colleagues. Please be supportive. Please vote. Vote. [[16:19:16]] For 222 We didn't make it, colleagues. I'll be back in a minute. Please take up jobs. Please do not discuss these important bills, and please vote. Please take your jobs. I'll be back in a minute. Invite the deputies to the hall. Please invite me to the hall. Colleagues outside the hall, please come into the hall and take up jobs. I'm voting on the proposal to return to the Ukrainian Law 2406, asking everyone to take a seat and prepare for the vote. Colleagues, each voice weighs, please take up jobs. Please take your seats, and I'm proposing to return to the 2406 vote. Please vote and please support. Let's vote, colleagues. Please support. Please vote. [[16:20:46]] For 235 We're back. And I put to the vote the Ukrainian Act on Amendments to certain Ukrainian laws on raising the level of social protection of military personnel and members of their families, as amended by Irina Lucenko, and under the transcript by Grill Andriy Ivanovich, Deputy Minister of Finance, as a whole, taking into account the Committee's proposals and technical and legal regulations (number 2406). Please vote and please support. Let's vote, colleagues. Please be supportive. Vote. [[16:21:31]] For 249 The law is passed. Colleagues, the following few laws, I stress, are very simple to consider. I'm asking everyone to work very closely. The next is Law 5564, the draft Act amending article 42 of the Ukrainian Labour Code on the protection of workers of pre-pensional age (5564). Please support the consideration of the reduced procedure. Please vote. Let's vote, colleagues. [[16:22:17]] For-162 Decision taken. And I'd like to invite you to the report of the National Deputy of Ukraine, Biozore Oksana Volodymyrovna, please.
ParlaMint-UA_2017-04-06-m1.u21	Dear Mr. Head, distinguished fellow national MPs, citizens of Ukraine! Now we're going to consider a very simple bill with you, but from a very important, very humane one, and for a large number of our Ukrainian citizens, it will remove tension and anxiety, especially if the issue concerns pension reform. The draft Act amending article 42 of the Labour Code of Ukraine (on the protection of labour rights for workers of pre-retirement age) was initiated with the aim of protecting the social rights of Ukrainian citizens who have three or less years left to retire. Article 42 of the Labour Code of Ukraine defines a number of categories of workers who are given the most right to leave work when the number or state of workers is reduced due to changes in the organization of labour production. There are only nine of these categories in this list. This is the list of employees who are given an advantage under equal conditions of productivity and qualifications at a given enterprise. However, such formulation does not directly favour the preservation of employment for older workers, since the internship factor is secondary and comparable to the quality and productivity of the work. It should be noted that the Ukrainian Labour Code prohibits discrimination against older workers – article 2 has been acquired. In 2015, you received national MPs. At the same time, sociological research has shown that such practices continue and, in particular, when workers are released. Of particular concern is the fact that it is quite difficult to find work for those who have a few years to reach retirement age. Thus, there is a need to supplement article 42 of the Code of Laws on Ukraine’s work with a norm, according to which, under equal conditions of productivity and competence, there is an advantage in leaving work, including.
ParlaMint-UA_2017-04-06-m1.u22	Please, 30 seconds.
ParlaMint-UA_2017-04-06-m1.u23	These include those who have less than three years left before retirement. The Ministry supports, the Pension Fund supports, the unions support. Please also have your support.
ParlaMint-UA_2017-04-06-m1.u24	Thank you. The co-report invites the head of the Committee on Social Policy’s subcommittee Drozdik Alexander Valeriyovich. And I have a huge request as concise as possible, Mr. Alexander. Please.
ParlaMint-UA_2017-04-06-m1.u25	Thank you. At its February 22nd meeting, the Honourable People's Deputies Committee of the Supreme Council on Social Policy, Employment and Pensions considered a bill (No. 5564) amending article 42 of the Code of Law on the Work of Ukraine on the Protection of Employment Rights of Pre-Retirement Workers. The bill proposes that article 42 of the Labour Code should be supplemented by a standard whereby workers under the age of 3 or less are given the right to leave work when they are released in connection with a reduction. I want to point out that it's really hard to find a new job for workers who have a few years left before they retire. And despite the fact that age discrimination in Ukraine's labour market is prohibited by legislation, unfortunately there are cases in practice that say that there are such violations of labour rights, because employers prefer to recruit staff. There are also difficulties in adapting such pre-pensive persons to new working conditions by applying new technologies. At the same time, I would like to remind you that on January 11, 2015, article 49 of the Employment Act was deleted, which provided for a five-and-a-half-year retirement period. Thus, the adoption of this rule of law will provide additional protection for the specified category of workers. The main scientific and expert office supports the bill in the first reading on the basis and the committee also proposes to adopt the bill as a basis. Thank you and ask everyone to support this bill.
ParlaMint-UA_2017-04-06-m1.u26	Thank you, colleagues. It's only a bill on the ground. Colleagues are willing to discuss, right? Okay. Please record: two in, two in. Please. Colleagues, while the recording is going on, we have two forms of work: one – or we will discuss in full, and we will not be able to go through the agenda; the other – or we will discuss very briefly. In advance, there are many important laws that apply to parking spaces for people with disabilities, which again apply to humanitarian aid for the sick. If we can work hard, we'll adopt more laws. I'm always in the middle of a full discussion, but in this case, I'm asking as much as possible to adopt more laws. And I look forward to the understanding and responsibility of all the national MPs. Please "self-help", Kostenko Paul.
ParlaMint-UA_2017-04-06-m1.u27	Please pass the word to Roman Semensi.
ParlaMint-UA_2017-04-06-m1.u28	Dear colleagues, the bill proposes measures to prevent the release of people of pre-pensionable age as part of a reduction in enterprises in the country. It's about people who have less than three years left to work before they retire. It is clear that this category of people needs to be protected in line with international standards, the interests of workers and the interests of the State that invests spend billions of dollars in order to reach pensions to the minimum. Because many people do not have enough insurance, so they receive a modest pension. Additional guarantees are essential for the elderly. The priority right to preserve the work of older persons is exercised in many countries with a developed economy. But I want to say that these dot changes are unlikely to solve systemic problems that cause low pensions. While the pension system is in need of major reform, Parliament is unfortunately working on cosmetic changes and additions to the Labour Code. Just think: This year, the pension deficit is nearly 142 billion dollars. Clearly, today’s system of solidarity is bankrupt and needs immediate reform. And those older workers who pay, especially the EU, are among those who fill the income part of the Pension Fund. Well, for example, what we could do to make the situation a little bit more even: bring the system together. In particular, experts estimate that 90 billion dollars make up a variety of social benefits and allowances paid by the Pension Fund. These benefits have nothing to do with the pension. If this is taken out of the budget of the Pension Fund and transferred to Minnesota, it is only by doing so that the pension deficit can be reduced by 50 billion dollars. Self-help supports in the first reading, maybe in general, if there's any change, this law. But we demand a review of a system law that will ensure a decent life and a decent pension for our pensioners. Thank you.
ParlaMint-UA_2017-04-06-m1.u29	"Paternity." Alexandra Kugel, please.
ParlaMint-UA_2017-04-06-m1.u30	In support of the previous colleague's speech, I want to thank Oksana Bilozer for a very simple but very important bill. This has nothing to do with whether we will accept pension reform or not, it has to do with the terrible problem of inequality between people and women of pre - retirement age. It touches all government officials, it touches business structures. If you have three years to retire, and then you can't find a job, you won't get a decent pension. Therefore, such questions are addressed to the deputies at each meeting. I'm asking everyone to support this bill. This is the support of people who have worked their entire lives for our country. That's about pension reform. We're looking at the bill, not just what it was put into the agenda, but the next day we're going to be looking at it in the hall. Pension reform needs to be discussed. In the "Fatherland" faction, we're prepared to answer for our future generations, not to commit fraud, to open state-owned private pension funds and to issue government loans under them. And that's why we encourage both the government and the Ministry of Social Policy to start round tables, to start talking to the deputies on the issue of pension reform, so that we don't "stretch" it without reading it in this room. It's very important. Thank you. And the law has to be upheld.
ParlaMint-UA_2017-04-06-m1.u31	Thank you. I'm reminding you. That we're looking at Bill 5564. Everyone has a day’s order, and everyone sees how important the bills are. And so I continue to urge, as much as possible, to speak out as easily as possible so that we can adopt as many laws as possible. Please, from the Peter Dust Block, Paul Kishkar. Mr. Paul, please.
ParlaMint-UA_2017-04-06-m1.u32	Paul Kishkar, National Movement of Ukraine Using the chairman’s requirement, I will be brief. I would like a colleague to support this bill, and I agree with Mrs. Kugel that the issue of pension reform needs to be studied more deeply both in this room and in the relevant committee and in society as a whole. Thank you and please support.
ParlaMint-UA_2017-04-06-m1.u33	Thank you, thank you for your understanding, for your support. From the Radical Party of Oleg Lazko.
ParlaMint-UA_2017-04-06-m1.u34	Oleg Lazko, Radical Party. Dear Ukrainians, who have been prepared by today's authorities for a pension reform, can read each of you in the published memorandum of the International Monetary Fund. Instead of creating jobs, modernizing the Ukrainian industry, wasting credit to be available to the national business, we are offered an increase in retirement age, an increase in employment, which gives us the right to a pension. If you, honourable members of the Compradorian Coalition, really want to help people of pre-retirement age, I demand that you bring to Parliament a bill that the President vetoed, a law authorizing deputies from the Radical Party that women, Ukrainian women, have the right to retire at 55 years of age on the condition that they have 30 years of internship. I demand that the government of Groysman, from the Comprador coalition, vote immediately in Parliament on the Retirement Act. Half a million people in Ukraine receive less than a thousand dollars. Millions of Ukrainians, who had 30 or 40 years of service after 50 years of service, receive a copycat’s pension. It's not up to date, it hasn't been counted since 2012. Thanks to the Radical Party, minimum wages have been raised. As a result, the Pension Fund’s budget is overturned. We demand an increase in pensions, an opportunity for people to get normal pensions. Well, finally. If you really want to help people of pre-retirement age to retire and get a normal pension, you have to raise wages. So we registered a minimum wage law of 5,000 dollars. And I call for this law to be voted on. And get over it.
ParlaMint-UA_2017-04-06-m1.u35	Guys, I'm about to make my last speech. That's why I'm asking everyone to come to the hall. Go in and prepare for the decision. From the Opposition Block, Royal, two minutes.
ParlaMint-UA_2017-04-06-m1.u36	Dear colleagues! We have been thoroughly familiar with the draft law and believe that it is worth supporting in general. Today, everyone knows that Ukrainian pensioners are the most vulnerable category of the population. And what the government is doing today in the pension system is not trying to improve the situation, it's trying to eliminate the Pension Fund and transfer all pensioners to minimum social benefits. In Parliament we have registered Bill 5724, which we now demand to increase the minimum pension to 3,000 dollars. The bill clearly states what to do and how to do it. So we say, let's think of it as a front and find consensus in the hall. So do we. to report urgently to the government on the social situation. Because thanks to the benefits of today’s authority, 90 percent of pensioners are now outside the poverty line, receiving a pension lower than the actual subsistence minimum. Real minimum and average pensions have been reduced nearly threefold, and now the minimum pension is almost $45. In just three years, the actual deficit of the Pension Fund increased 1.7 times. Think about it! And it's all because of the mistakes that were made here when you looked at the sole social contribution. The pension deficit has increased by 96 billion dollars! That's four tranches of IMF! This is the kind of money that you didn't get the Pension Fund because of your mistake. So we demand that we review pensions and correct those mistakes.
ParlaMint-UA_2017-04-06-m1.u37	Thank you. Please, one minute, Drozdik Alexander Valeriyovich. Please turn on Drozdik's microphone.
ParlaMint-UA_2017-04-06-m1.u38	I wanted to add that the bill in general could be supported and voted. But I'm tasking the Legal Office to work with technical legal rights. Because there were little technical points to the bill. So if there is such support, please support and vote in general.
ParlaMint-UA_2017-04-06-m1.u39	Okay. Please, from the non-fractional 30 seconds, Sergey Mishchenko. And if you'll excuse me, we're going to vote now. Please, Mischenka.
ParlaMint-UA_2017-04-06-m1.u40	Dear colleagues! Sergei Mishchenko, 98th District, Kyivshina. We really should thank Oksani for this bill. Because the urgent problem of hiring pre-retirement people is not solved by this bill, but those who are at work and through the restructuring of the enterprise can be released from this job, and now the unique cases in this, I propose it in a different way to be accepted as a whole. We're told by the science department.
ParlaMint-UA_2017-04-06-m1.u41	30 seconds. You promised you'd say change, not talk about the bill as a whole. 30 seconds, please finish your sentence.
ParlaMint-UA_2017-04-06-m1.u42	Then I propose. That the Science Administration made one point. That in the name of the law, in the name, not in the text, but in the name of the law. Pre-retirement workers, these are the people who, up to two years old, have been left to retire, the text of the law suggests that they are people who are three years old. So you just have to change the name of the law and say that this law is for the protection of workers' rights. And a dot, no pre-pension age. Then everything goes out and there is no need for legal subtleties. And so they passed this law in general with this law in the name of the law.
ParlaMint-UA_2017-04-06-m1.u43	Is the committee okay? I'm good. Okay, let's put it to a vote. So, colleagues, I'm voting on the draft Act amending article 42 of the Code of Labour Laws for Ukraine on the protection of workers' labour rights, without "pre-pension age" (number 5564) with technical and legal rights on the basis and in general. Please vote and please support, colleagues. We also vote on the basis of a total of 5564. Vote. Please vote. [[16:40:37]] For 239. The law is passed. Colleagues, the next will be an important law, but before that, there's an application for a break from two factions of the Radical Party and Self-Help. They're ready to take a break. I'll have three minutes of the show. Ah, "Paternal" and "self-help," right? Three minutes of the show, colleagues, and take your seats, then we go straight to the next draft of Law 5629. Please, who's going to perform? Oleg Berezuk? Yegor Sobolev. Please, Yegor.
ParlaMint-UA_2017-04-06-m1.u44	We often talk not only in this room about Russia occupying a vast part of not only Ukrainian land, but also Ukrainian politics, Ukrainian economy, Ukrainian media. It seems that even we do not imagine the true extent of this occupation. I ask every Ukrainian national deputy to pay attention to the video that is being distributed today, which shows how the person who was brought to this room on March 15th was behind this rostrum, who is in the form of Ukrainian police, and in 2014 is among the so-called Battles of the So-called East Battalion, which consisted of traitors, first of all from the Daughter Alpha, was organized by the then head of the Donetsk "Alpha" Hodakovsky. And Yuri Goluban, mentioned earlier, was preparing with Hodakovsky, on this video, for the attack on Ukrainian soldiers. This is a video, the date of his publication, the date of his shooting will be identified by the Donbas Battalion fighters as preparing to attack them under Karlovy Vary. In this battle, Ukrainian traitors from the East battalion killed five Ukrainian soldiers. Next, one of them was cut out of his heart, tied to the CAMAZ on this video, and drove down the streets of the occupied Ukrainian city. I know that Yuri Doluban has already admitted that he is in this video. He says it's a mounted part, and it's actually cut out of another operation, from other shots. You and I have been asked by the Attorney General’s Office, the Ukrainian Security Service to investigate how Yuri Goluban approached and appeared in the Supreme Council Hall and what his connections to Hodakovsky and other traitors to Ukraine. More than two weeks have passed since then. We ask the Speaker of Parliament to immediately call on the Attorney General, the head of the Ukrainian Security Service, to inform Parliament of the circumstances of this investigation, which has been established with regard to this officer who is now in the form of the Ukrainian police. Similarly, we ask that the results of the parliamentary investigation be made public as Yuri Doluban appeared in the Supreme Council Hall. In our view, it is a deadly danger to the Ukrainian state.
ParlaMint-UA_2017-04-06-m1.u45	Thank you. Dear colleagues, let's move on to the next issue of the agenda. This is a draft law amending some Ukrainian legislation on increasing the responsibility for parking, parking, parking, and parking of vehicles in places intended for disabled persons (5629). Please support the consideration of the bill by a reduced procedure. Please vote and please support. We're voting on our colleagues. [[16:45:00]] For-151 Decision taken. And I invite you to report to the First Deputy Head of the National Police of the Ukraine of Trojan Vadim Anatoliyovich. From the rostrum, please, Mr. Troyan. Vadim Anatoliyovich, please.
ParlaMint-UA_2017-04-06-m1.u46	Good afternoon, Your Honourable Chairman, Honorable People's Deputies! Today, you have before you a bill to amend some of Ukraine's legislation on increasing the responsibility for parking, parking, parking, parking of vehicles in places designed for people with disabilities. Designed by the Ministry of Internal Affairs of Ukraine, taking into account the proposals made by the President-designate of Ukraine on the rights of persons with disabilities by Suskhevich Valeri Mikhailovich. The project envisages amendments to the Ukrainian Code on Administrative Offences and the Ukrainian Law on Fundamentals of Social Protection for Persons with Disabilities, which will allow legislative protection of the rights of persons with disabilities or drivers who transport persons with disabilities to free parking or parking in specially equipped places with road signs and markings. The bill also proposes to increase the responsibility for stopping or parking vehicles in places designed for disabled drivers or drivers carrying persons with disabilities, as well as to prevent drivers with disabilities or drivers carrying them. Please support and vote on this project. Thank you.
ParlaMint-UA_2017-04-06-m1.u47	Thank you. Thank you. Palamarczuk is invited to the report. Please. I'm sorry, Troyan Vadim Anatoliyovich is the deputy minister. I'm sorry I said that, and I was wrong, Vadim.
ParlaMint-UA_2017-04-06-m1.u48	Dear Chairman, dear colleagues! A law enforcement committee has considered a draft of the Ukrainian Act to amend the responsibility for parking, parking, parking, and parking for persons with disabilities (registration number 5629). The project proposes to amend articles 122, 152 with the symbol 1 and 255 of the Ukrainian Code on Administrative Offences and the Ukrainian Law on Fundamentals of Social Protection for Persons with Disabilities, which establishes responsibility for stopping or parking vehicles in places marked with appropriate road signs, where only disabled drivers are allowed to stop. According to article 255 of the Ukrainian Code on Administrative Offences, it is proposed to empower officials of the National Police to draw up protocols on the above-mentioned administrative violations. It is also proposed that officials authorized by the Rural (rural) Committee, city councils, and members of public organizations of persons with disabilities be granted the right to do so. The committee noted that the adoption of the bill would allow legislative protection of the right of persons with disabilities or drivers who carry persons with disabilities to free parking in specially equipped places with road signs and markings. The committee therefore decided to recommend a bill to the Supreme Council of Ukraine. The main science-expert management is of the same opinion. Please be supportive. Thank you.
ParlaMint-UA_2017-04-06-m1.u49	Thank you. Colleagues, according to the information provided by the apparatus, all factions of Parliament support the initiative. Are they willing to discuss? Yes. Please sign up: two in, two in. Please, Alexeyev Igor Sergiyovich, People's Front.
ParlaMint-UA_2017-04-06-m1.u50	Please pass the word to Andrew Teteruk.
ParlaMint-UA_2017-04-06-m1.u51	The People's Front faction is proposing and supporting, voting for this bill. It is just one of the first steps toward the attitude of people with disabilities who need attention and support from the whole society. This is the first step in providing unhindered parking places for disabled people who travel by car. We have a lot to do in order to have all the places equipped with the most convenient transitions for people who move by wheelchair, and this will be a demonstration of our, in fact, humanitarian attitude, humane treatment of people who need much attention from society and the state. We have to vote in favour. And I urge all the national MPs to vote in favour of this bill. Thank you.
ParlaMint-UA_2017-04-06-m1.u52	Now, dear fellows, I'm sorry. Please, Mr. Costenko of Self-Help passes the word to Taras Shepherd.
ParlaMint-UA_2017-04-06-m1.u53	Irina Sisoyenko. Irina Sisoyenko, please.
ParlaMint-UA_2017-04-06-m1.u54	Ah, Irina Sisoyenko. You can't see much from the rostrum. I'm sorry.
ParlaMint-UA_2017-04-06-m1.u55	Dear colleagues, this is an extremely important bill. It is fully in line with the United Nations Convention on the Rights of Persons with Disabilities in Part of Housing, Social and Cultural Accessibility. The bill also lays down administrative responsibility for violations that take place in relation to persons with disabilities, namely, the bill provides for administrative responsibility for stopping or parking vehicles in places where stop or parking is permitted exclusively for disabled drivers. There is also responsibility for parking on specially equipped or designated areas. Administrative commissions are also given the right to deal with administrative misconduct in rural, rural, and urban bodies. In addition, it is also granted the authority of the National Police to deal with relevant cases of administrative misconduct. The bill provides for the possibility of free parking of vehicles operated by disabled drivers or drivers carrying persons with disabilities on specially equipped or removed sites. So the self-help faction will support this bill in the first reading as one that will be very useful in all the rights of people with disabilities. But I also point out to the entire Parliament that we have to adopt legislation that will do everything possible to make the number of people with disabilities in our country as small as possible. And there's a bill in Parliament for the faction of self-help on a warning.
ParlaMint-UA_2017-04-06-m1.u56	Please finish 30 seconds.
ParlaMint-UA_2017-04-06-m1.u57	There is an extremely important bill of self-help faction on disability prevention and a comprehensive system of rehabilitation, which is essentially meant to create a state programme, programs at the level of local self-government -- and to improve health care for people with disabilities, and to do everything to make people with disabilities as little as possible. Thank you for your attention.
ParlaMint-UA_2017-04-06-m1.u58	Please, from the Rebirth Group, Anton Kisse.
ParlaMint-UA_2017-04-06-m1.u59	Respectable colleagues may have said enough words. We support, our group, the bill. And just so that I do not speak for a long time, I ask all my colleagues to vote, to support this draft law. Thank you.
ParlaMint-UA_2017-04-06-m1.u60	Please, Mrs. Royal of the Opposition Block. And everyone who hasn't been able to sign up, factions, let's give everyone a word, don't worry.
ParlaMint-UA_2017-04-06-m1.u61	Ladies and gentlemen, I would like to point out that a government bill in general deserves support. But raising a fine is not a decision to protect people with needs. And it's socially fair to look at the issue more comprehensively and, above all, it's raising social benefits and pensions for people with needs. As well as the payment of pensions to care for people with needs. Today, it is wonderful that perhaps for the first time in three years Parliament has finally found time to consider social issues. But I want to make a point and I want you to know that the questions that we're going to get answers to today are just spreading. And first of all, it's a matter of signing a Memorandum with the International Monetary Fund by the government of Ukraine. And first of all, these are the social risks and consequences that it carries. I want to pay attention, Mr. Speaker, to what is the registered decision that we require the Cabinet of Ministers to tell us in detail to the people of Ukraine, to which they have changed one billion dollars, because this is a very relevant issue today, and we want to see how they will implement this Memorandum and what global risks will be for our citizens. Because now what we've seen is shocking information, and no billion dollars is worth our future country. Thank you.
ParlaMint-UA_2017-04-06-m1.u62	Thank you. Colleagues, we have a very tense and long schedule of our work, and a lot of bills, so in a minute, please. He's a bad guy. Then – Lord Ariev. And then there's Eutusek. Please. [[B in m in s a l in]] I didn't say. One minute, please.
