ParlaMint-IT_2014-10-21-LEG17-Senato-sed-334.ana.u1	I'm asking to talk.
ParlaMint-IT_2014-10-21-LEG17-Senato-sed-334.ana.u12	We greet and welcome to the Senate the students and students of the middle school "Fresa-Pascoli" of Nocera Superiore, in the Province of Salerno, who are following our works from the gallery. [[Applause.]]
ParlaMint-IT_2014-10-21-LEG17-Senato-sed-334.ana.u13	Let us turn to the illustration of the motions presented. I call Senator Di Biagio to explain motion 178 (text 2).
ParlaMint-IT_2014-10-21-LEG17-Senato-sed-334.ana.u14	Madam President, kind Minister, thank you for the full evidence and information you have presented in your speech, a guarantee of the attention of the Government to the topic, also through the targeted interventions announced on an issue that presents profiles of great criticality. In our country, unfortunately, this issue no longer represents - I say it provocatively - an emergency, because the emergency is something sudden and unexpected and, tendingly, in time. In the case of the hydrogeological failure, instead, we are faced with a structural characteristic of our territory, so we face cyclically, or rather seasonally, emergent states determined by landslides, floods and floods, which do not resolve - we know - with a cure of the emergency, which remains only an aspect - of course important - of the problem itself. We have long known that our soil is vulnerable. The Italian soil is vulnerable for various reasons, which relate, on the one hand, to a human intervention too often reckless and to an equally irresponsible carelessness, and, on the other hand, to the current climate changes that affect the entire planet. The policies of attention to the government of the territory are, in this perspective, fundamental and indispensable both for the correct and balanced environmental development of the country, and for the not negligible consequences that the environmental events of calamitous have on the territory itself and on the citizenship. As I pointed out in the motion at my first signature, the data are very clear: there are more than 29,000 square kilometers of national territory that present high aspects of hydrogeological criticality. More than 10 million people live in inhabited settlements built on these areas, while more than 40 percent of the municipalities have areas of high seismic risk. In this way, the dramatic emergency taking place on almost all of the national territory, the consequences of which, in terms of loss of human lives and economic damage, are known to all. However, this vulnerability situation is not only an Italian feature. As highlighted in all the motions submitted, there are many policy actions defined in the European framework on the subject. As early as 2009, the European Commission adopted the White Paper "Adjustment to Climate Change: Towards a European Framework for Action." More recently, on 20 November 2013, the European Parliament and the Council adopted Decision No 1386 on a general Union environmental action programme up to 2020, entitled "Living well within the limits of our planet'. The Decision highlights the significant challenges arising from non-sustainable land use throughout the Union and reiterates specific objectives to be achieved by 2020 on environmental protection, as well as the need to ensure investment in support of environmental and climate policies. As you have also pointed out, Minister, the National Strategy for adapting to climate change, which in recent days has come to the examination of the State-Regions Conference, for serious environmental protection in a key to sustainability, has long been drawn up. This protection must be articulated in a wide-ranging investment network that affects the different levels of criticality; it is necessary that they are properly implemented at national level by the Member States. For this reason, too, by sharing and appreciating the commitment made by the Government and by you, Minister, on this issue, we wanted to strengthen the positive intentions expressed on this subject, pointing out specific commitments, which want to support an approach that - I repeat - we appreciate and share. Our motion therefore commits the Government, in the first place, to devote resources to the implementation of the extraordinary plan of interventions for the safety and redevelopment of the national territory and of the public and private housing exposed - unfortunately - to seismic and hydrogeological risk. In fact, as you yourself pointed out, we need resources. Secondly, coordinated initiatives are needed and, also on this, the Government has shown attention, defining a directional cabin; it needs coordination with all the actors involved - i.e. the regions and local authorities - that can define a plan of works, at least twenty years old, that takes into account - clearly - also the forecasts of the National Strategy of adaptation to climate change and that provides for the safety of the national territory through a full estimate of the areas to intervene, of the works and of the related costs, as well as the identification of the interventions on the basis of technical indices that determine its priority. However, it is also necessary to provide for a reasonable annual allocation of resources for the optimisation of the national territory and, for this reason, we have requested an annual allocation of resources and the evaluation of an intervention aimed at binding a share of the state budget to the establishment of a guarantee fund for the economic activities existing in the territory object of seismic and hydrogeological event. All these measures can find appropriate articulation in the 2015 Stability Act, which is at the door. Among the legislative review measures, it would also be appropriate to promote a review of the provisions on controls on the behaviour of individual citizens, but also of public administrations, including the introduction of sanctioning mechanisms in the event of non-compliance by public administrations, and also to develop an efficient system of combating abuse and savage edification. The legislative review should also cover the procedural process of the works, in order to allow in short time the realization of those interventions of pre-eminent interest for the protection of public safety and of the territory. In this context, the Government's commitment must certainly be directed towards fully implementing the National Climate Change Adaptation Strategy, providing adequate funding and operational coordination powers for the Ministry of the Environment. Finally, it is necessary to strengthen the link with Europe and, in this sense, the Italian Presidency is a great opportunity to pay close attention to the issue, urging the adoption of effective and effective measures, aimed, for example, at defining in Europe the organic and permanent exclusion of all interventions for hydrogeological reorganization from the Stability Pact, as essential infrastructure for the development and security of the country, overcoming those impediments that too often hinder the action and effectiveness of the Government. There is a clear path of actions to be undertaken, on which we commit the Government and assure our commitment to the Government itself and to all political forces who want to put themselves at the service of the common good in this framework. So, as you said, Minister, we will be constructive and, for this reason, I should like to point out that we are already ready for a joint motion which can give citizens the necessary signal of unity in the face of a problem which concerns everyone and on which we are all called to bear responsibility. [[Applause from the PI, PD and SCP Groups]]
ParlaMint-IT_2014-10-21-LEG17-Senato-sed-334.ana.u15	I call Senator Fucksia to explain motion 253.
ParlaMint-IT_2014-10-21-LEG17-Senato-sed-334.ana.u16	Madam President, Minister, ladies and gentlemen, in 2013, natural disasters resulted in 22,000 deaths worldwide, with estimated damage of around 119 billion dollars. In Italy, between 1963 and 2012, 782 municipalities suffered floods and landslides, which caused more than 6,000 deaths including deaths, wounded and missing, and more than 420,000 displaced and homeless (CNR data), with an average cost of 0.2 percent of annual GDP (OECD 2012 data). The recent episodes of Genoa, Parma, Tuscany, Veneto and other places are only the epilogue of a long list of floods that only in this 2014 have caused already 13 victims; of these, three occurred during the flood of Senigallia last May 3 when, due to intense rain, occurred the break of the right bank of the river Misa and, above all, the overflow of the river Triponzio, which determined a tremendous wave of water and mud that hit the south of the city, in particular several fractions, countryside and much of the valley bottom, with flooding of roads and considerable damage to homes, businesses, schools and health facilities. Overall there were 99.355,000 euros of damage. Unfortunately, the facts described do not represent, for Senigallia, a novelty. Senigallia is vulnerable to rain. I quote a few lines from a page in the newspaper "La Stampa" in Turin, September 13, 1955. Following a flood, from the casinos of Ostro for 11 kilometers there is a sea of water and mud. Casine di Ostro, Bettolelle, Vallone, Borgo Bicchia, Bassa di Ripe, Brugnetto, Cinnella, Senigallia present a spectacle of equal desolation. The Turin newspaper continues remembering also the death of a person and an ecatombe of animals and adds that "tens of houses have been evacuated in haste while many anxious people have fled to the top of the buildings to escape the water". Gentlemen, a newspaper from the 1950s describes the same scenes of destruction and death as today. This means only one thing: since then little or nothing has changed. In fact, if anything has changed, it's been worse. In the last report of the Higher Institute for Environmental Protection and Research (ISPRA), on soil consumption in Italy, in our country there is a land consumption of 70 hectares per day. More than seven square meters of green per second disappear! In this context the Marche Region in particular recorded one of the highest data, reaching 10.2% of the area consumed. In the 1960s in the Marches, the agricultural area covered 92 percent of the regional territory, today only 69 percent. We have increased from 900,000 hectares of agricultural land to 671,000: a negative balance of 229,000 hectares in favour of cement and sheds, today in many cases empty and unused. Over the past fifty years there has been a 240 - percent increase in the cemented area in the Marches, compared with a 15 - percent increase in the population. The data is commented on by itself. He's cemented himself more than he needs. To complete the picture, I remember that, in addition to bad speculative building, the Marche are among the 10 regions with the highest number of corporate failures, feeding considerably, with 379 failures in 2014, the pressing pace of the 61 companies per day, over two hours at national level that disappear from the market. There is not only the senseless anthropization of the territory to the detriment of the river areas; there are, besides the abuses, also the lack of rules, apart from those already contained in the Royal Decree No. 523 of 1904 where it was well specified that the golenal areas, those which normally the rivers fill when they are in full, must be left clear. It was not necessary, therefore, to establish us neither productive activities nor housing. But in addition to that, there are also the inadequacy of the competent offices, where no one puts his face and takes responsibility for it, with executives and officials engaged in taking 2 percent of incentive without the responsible spirit of the good father of the family in science and conscience, and doing works to justify expenses and not to do what would be most useful and logical. Managers who, in order to design their own house, call other professionals, who would not even be able to design the dog's bed, but who put their hands on bridges and palaces and judge the work of others. Result: According to Legambiente, 99 percent of the Marche Municipalities are classified as hydrogeological risk. The simulation of the theory is something else than a done thing. In Marche there is a lack of regional urban law that serves as a framework for soil protection and hydraulic invariance. The decisions are left to improvisation (no urban law for twelve years, then maybe they will do it a month after the next regional elections). A concrete example of this disorderly policy: the Giano River in Fabriano. If the city of Fabriano itself exists, it is due to its presence. For centuries the city has absorbed its characteristics, drawing lifeblood and labor force: settlements of paper mills, cones, forges, vegetable gardens and many other activities. Fabriano took shape and modeled around his river. Then this indissoluble thread with the city broke. The city turned its back on the river, reaching its grave. Now work has begun to bring it back to light. It is not only a matter of beauty, landscape, culture and history: it is a very important signal that prevents the damage of hydrogeological failure caused by cementification and forced manipulation of nature. The rivers must be left in peace and flow into their beehives. In Fabriano the Committee was formed three years ago to discover the Giano, whose motto is "The river is life," we revive Fabriano. Well, if we succeed in achieving something, it will be thanks to dozens and dozens of citizens and serious professionals who are committed to understanding and proposing solutions, asking without having an answer. These are the voices unheard in the silence that precedes every flood, are the past, the story that is ignored until the tragedy arrives and emergencies are mobilized. But - we know well - this is a problem that affects the whole country from North to South, with over six million citizens in areas at risk of hydrogeology. The failure can only be remedied by a policy of land improvement, redevelopment and respect. There is no need for concrete gabbions or walls: every element of sclerotization of the territory carries an increased hydrogeological risk. We will turn the page on soil protection and prevention of hydrogeological risk only when the issue will be addressed three hundred sixty-five days a year, and not - as it is punctually happening - only after the tragedies, with the theater of the hindsight, of which the pits are full! After every calamity, with the resonance of the media, phase 1 starts, the post-event one, where dramas, emotions, the exchange of generalized accusations, requests for help, meaningless justifications, the assumption of commitments that will never be completed and the allocation of money that suddenly are available. Then? Then comes phase 2, the one with no microphones and cameras off. But also the one where there's money to handle. My colleagues probably know that, precisely because of the frequent flooding of the river Misa, since the 1980s, with the then resources of the FIO (Invest and Employment Fund) were allocated about 16 billion of the old lire for the project of the Misa expansion and rolling chests. The project was planned by the Aquater company of the ENI group, but never realized, hostage of the institutional ping pong. Follow me: after a phase of first regional management, the same Region delegates the Municipality of Senigallia. The Municipality, after years of stalemate, returns the delegation of the realization of the work to the Region. Subsequently the Marche Region sends the delegation to the Province of Ancona. This in 2009 finally approves the final project (in fact, it is another project, with a cost of 130,000 euros). In 2010, the environmental impact assessment procedure, which ends the following year, begins in 2011. Now we are at the end of 2014, and nothing has been achieved. In the meantime, in May, it reaches out to the river and causes three deaths and 100 million damage! Now here we are again, in this macabre game of goose, to pass again from the road. President Renzi, who always likes to quote Germany as an enlightened example to follow, forgets to look in Berlin also with regard to environmental policies and protection of the territory. The government of Merkel, in fact, has indicated a great objective on the subject: to reach zero consumption of territory in 2050. What about Italy? Here, although there has been no Minister of the Environment in recent years who has not shouted, especially in the face of disasters already happened, how urgent a law is, still nothing. The 5 Star Movement has presented a bill that provides for the zeroing of soil consumption, there are also other proposals; how about to schedule them, a good time? It's crazy to have to start over every time, to disaster. Faced with reasonable, operational, appropriate proposals for the protection of the territory, the 5 Star Movement will support them. In the face of anti-environmentalist measures such as the unblocking Italy (or sphascia Italy), which says yes to drilling and deregulation for soil consumption, we can only oppose to overflow. In the meantime, with this motion, we call for the Government to commit itself: firstly, to provide contributions for the repair, restoration or reconstruction of damaged buildings; secondly, to exclude from the Stability Pact resources to cope with the flood emergency (in this regard, I express solidarity with Enrico Rossi, young Mayor of Cartoceto, a country of 8,000 inhabitants in the province of Pesaro and Urbino, who shouted: "I do not want another Genoa", last week it remained hoisted on a crane on hunger strike, to signal to everyone the delay in the beginning of the works of reconstruction of the city walls, damaged by a flood of two years ago: delay due precisely to the Stability Pact, bureaucratic pastures, judicial appeals); third, to prepare a national program of security of the territory, fourth, to strengthen the coordination of the various bodies and bodies that have competence in the maintenance of the territory, fifth, to transfer the resources from the emergency to simplified prevention. They are long-term objectives shared with certain funding. Enough with rising estimates, enough with appeals and counter-criticism and endless stories without happy endings. Last but not least, Italy participates in many multilateral banks, including the Council of Europe's Development Bank, which we reserve a percentage share of about 16%, one of the highest among all states. Nevertheless, of the 28 projects approved in 2012 by the Board of Directors of the Bank, for a total of almost 2 billion euros, none concerned Italy. Think of it: among the areas of intervention of this institute, environmental or ecological disasters are explicitly included. With this motion, the Government undertakes to evaluate the opening of a credit line in favour of the territories of the Marches affected by the flood. A palliative, since - according to estimates of the plans of hydrogeological order - to secure the national territory would take at least 40 billion. Our President-in-Office's slides are now well known to be always very clear and incisive. But unfortunately they struggle to become real images. What happened, for example, to this beautiful slide with which at its debut at Palazzo Chigi had promised a billion and a half euros for the protection of the territory? [[Senator Fucksia shows a paper bearing the inscription "The economy carried out - Terra firma, 1.5 billion for the protection of the territory - Mission Unit since 1 April." Applause from Senator Bisinella]] I therefore ask you today to follow this slide, which is not of the 5 Star Movement but of President Renzi, and to approve this motion, because Senigallia, the Marches, the whole of Italy, can no longer afford the luxury of waiting. [[Applause from the 5 Star Movement and Senator Bisinella]]
ParlaMint-IT_2014-10-21-LEG17-Senato-sed-334.ana.u17	I call Senator Ruta to explain motion 308 (text 2).
ParlaMint-IT_2014-10-21-LEG17-Senato-sed-334.ana.u18	Madam President, I should like to begin by making a few premises. In September 2006, the European Commission adopted a thematic strategy for soil protection and a proposal for a framework directive on soil, aimed at ensuring its sustainable use and protecting its fundamental environmental, socio-economic and cultural functions. Secondly, in November 2007, the European Parliament approved, at first reading, the proposal for a framework directive on soil with a majority of about two thirds, but a minority prevented progress in the Council, despite the support of more than 20 Member States. Unfortunately, in the last eight years there has been little progress on European soil policy and the degradation of this limited resource continues in all European countries. Recently, the European Commission, despite its commitment to achieving soil protection, withdrew from its agenda the proposal for a framework directive on soil; while the European Parliament and the Council adopted Decision No 1386 of 20 November 2013 on the VII Environment Action Programme up to 2020 - Living well within the limits of our planet - which is a declaration of intent binding on the environment. This Decision underlines that soil degradation, fragmentation and non-sustainable use in the Union are jeopardising the provision of several important ecosystem services, threatening biodiversity and increasing Europe's vulnerability to climate change, natural disasters and desertification. The European Union Biodiversity Strategy envisages a new and ambitious plan to halt the loss of biodiversity and ecosystem services in the Union by 2020 and new Millennium Sustainable Development Goals with which Europe intends to send a message on the universality of the principles of sustainable development. The Europe 2020 strategy, endorsed by the European Council in 2010 and currently under review, highlights, inter alia, the need to create the conditions for smart, sustainable and inclusive growth. European Commission President Juncker also promised to launch a €300 billion public and private investment plan for the Union's new economic strategy by February 2015. In this strategy it would be necessary and appropriate to stress the importance of soil as an economic resource, both in terms of its productivity and food security of the Union, and because its defence has a fundamental role to fight the hydrogeological failure and reduce the very high costs that its unwise use has produced to date, both in Italy and in other European countries; I would also like to point out that soil protection contributes to ensuring food safety and agricultural productivity, the two underlying elements of the common agricultural policy financed by the Union, in the medium and long term. Moreover, the possibility of having common principles and a uniform European regulatory framework to define what is meant by sustainable land use would ensure greater protection of European environmental quality in all sectors and better soil management would allow for the articulation of research programmes at national and European level, optimising the use of funds for research and development, avoiding possible market distortions related to the different requirements, burdens and obligations in the Member States. Soil is a limited and substantially non-renewable resource, supporting the planet's life cycle; it has many essential ecosystem functions, such as food and biomass production, carbon storage and reduction of greenhouse gas emissions into the atmosphere, filtering and buffering pollutants, creating habitats for biodiversity, supplying raw materials. It is one of the key components contributing to the richness of the European landscape and its cultural heritage. Soil is a natural resource and a common good to protect for future generations, to keep its social, economic and environmental functions intact; unanimous is the consensus of scientists and experts on the need to guarantee to the ground the same level of protection reserved for other environmental matrixes such as air or water, because the irreplaceable functions it carries out are crucial for the survival of people and ecosystems. Increasing parts of European soil continue to be seriously, and in many cases permanently, degraded with significant consequent costs, assessed by the European Commission in 2006, in the order of about EUR 38 billion per year. The phenomenon of soil waterproofing (with the effect that water flows superficially overwhelming everything on its path with disastrous consequences) and the phenomenon of soil consumption and degradation in Europe and Italy (the ISTAT census indicates that more than 300,000 hectares of agricultural land have been lost from 2000 to 2010) have grown exponentially, while the previous processes of industrialization and land management have left hundreds of thousands of contaminated sites in the territory of the European Union. On 4 October 2013, the Senate was also approved an agenda with which the Government undertook, in particular, to take initiatives of competence to ensure that additional resources were foreseen in the Stability Act for 2014 to be allocated to interventions of prevention from the hydrogeological risk and ordinary maintenance of the territory, identifying the financial mechanism able to guarantee its continuity every year, as well as to adopt initiatives to make changes to the regulatory framework in force in the unitary logic of hydrogeological defense, integrated water management and water management, assuming the initiatives of its own competence aimed at overcoming the current situation of fragmentation of land protection policies and of the national territory, simplifying the governance system. Moreover the fragility of the Italian territory is documented: the data supplied by the Ministry of the environment and the protection of the territory and the sea classify about 10 percent of the national territory with high hydrogeological criticality, that is at risk of floods, landslides and avalanches; the two thirds of the exposed areas at risk concern the urban centers, the infrastructures and the productive areas; more generally, and with different intensity, the risk of landslides and floods covers the whole national territory: 89 percent of the municipalities are subject to hydrogeological risk and 5.8 million Italians live under such threat. According to ISTAT data, the trend of soil consumption in our country has grown at impressive rates, equal to 244,000 hectares per year of soil devoured by cement and asphalt. In recent decades, there has been a continuous growth in urbanization, the spread of a often uncontrolled cementification, and the subtraction of their natural destination of floodable areas and of free, agricultural and wooded areas, which are instead principals for the keeping of the Italian territory, of which a very high price is paid whenever particularly intense rains fall on the country; a phenomenon that, due to the current climate change, is destined to intensify in the coming years. Climate change is no longer a future forecast, but a given of the existing one, which has changed forever what was once called the Mediterranean climate. According to the latest studies, including the Intergovernmental Panel of Climate Change (IPCC) and the European Environment Agency, the Mediterranean region will have to cope with particularly negative impacts caused by climate change in the coming decades. Our country is among the most vulnerable regions. The fragility of our territory, adding to the repetition of particularly intense atmospheric events, has caused the loss of numerous human lives and considerable damage, as has been dramatically verified, in recent weeks, in many Italian regions, among which the Liguria, now, despite it, the paradigm of what is happening in almost all the country. European-level initiatives to support national, regional and local climate change adaptation policies must be combined with the essential actions to mitigate and reduce climate-related gases. Italy is among the countries that are preparing a national strategy for adapting to climate change. The processing was initiated in July 2012 by the Ministry of the Environment and the process of acquiring the basic information ended in July 2014. During the Senate session n. 323 of 2 October 2014, in response to some immediate questions, the Minister of the Environment had the opportunity to underline to the Assembly that the available scientific data confirm that our country is particularly vulnerable to the impacts of climate change, both those in place and, above all, those expected in the coming years, with negative effects on all environmental and socio-economic systems. In order to prepare the country and increase the resilience of natural and socio-economic systems, a complex and complex work has been carried out to identify the impacts, vulnerability and criticality resulting from climate change. The result of this long work will have to be condensed into the national strategy for adaptation to climate change, the formal adoption of which is expected to take place by October 2014. In this context, it is noted that the Government's intention to include in the Stability Act for 2015 the allocation of adequate resources to counter the hydrogeological failure and to unlock the existing ones is considered the need for an extraordinary commitment. In this regard, it is recalled that the withdrawal of the proposal for a framework directive on soil from the European Commission's agenda has prompted soil scientists to promote a petition, the first signatory Professor Fabio Terribile, who to date has collected more than 1,400 entries from scholars and researchers from European universities, academies and research institutes to ask the President of the Council of Ministers Matteo Renzi, as President of the Council of the European Union, to work for a new and immediate initiative aimed at the approval of the European framework directive for the protection and sustainable management of soil, also in view of the proclamation by the General Assembly of the United Nations of the World Soil Day on 5 December 2015, the international year of soils and the theme of Expo 2015 on the diet of the planet. The current Italian Presidency of the Council of the European Union is therefore a great opportunity to open a new road for the European Land Directive and therefore the motion commits the Government to take action, during the Italian Presidency of the Council of the European Union, in the Commission to open a close debate and resume the work of conciliation on the proposal for a framework directive on soil, so that the European Union can quickly reach the adoption of an incisive legislation aimed at protecting the soil and maintaining its capacity to carry out environmental, socio-economic and cultural functions. The motion also commits the Government to encouraging, in the appropriate European fora, within the Italian Presidency, the closure of the negotiations on the 2030 package with targets for reducing emissions, energy efficiency and the development of the production of energy from renewable sources, including the 40% reduction of climate emissions and to present, within the foreseen time, the National Strategy of adaptation to climate change and to report in Parliament on the results of the work carried out, as well as on the actions planned and those carried out to this end. It also commits the Government to take initiatives to allow the use of resources for land protection, prevention and maintenance interventions of the territory to be excluded from the financial balance relevant to the verification of compliance with the Internal Stability Pact, in order to allow the investment by local authorities in activities and works that have the primary aim of protecting the lives of citizens and protecting the socio-economic fabric of the territories concerned; to promote through the initiatives of competence, a reform of governance widespread in the field of hydrogeological risk and adaptation, giving full implementation to the current legislation, clarifying the tasks of the various technical and scientific institutions, eliminating the role of the various local authorities involved, coordinating local authorities, regions and central administration in planning for strategic macro-zones, such as urban areas, coastal areas, mountain areas, and ensuring a simplification of procedures and the necessary technical support to local authorities; to promote, through every useful initiative and with the provision of appropriate incentives and facilities, the role of territorial principals, national agricultural systems and green infrastructure in the action to reduce hydrogeological risk, through the recovery of abandoned land and investing in the return to agriculture of the young generations, and the provision of environmental management, the role of land and to promote the conservation of the existing works, and the role of the conservation of land and conservation of land and conservation of land. The motion contains commitments to provide for the Department of National Civil Protection, which plays an essential role in the increasingly frequent emergency situations that occur in our country due to floods, landslides and floods, the allocation of adequate resources to meet the different needs and to ensure, in favor of the Presidents of the Regions, in the functions of the extraordinary commissioners delegates for the realization of interventions to mitigate the hydrogeological risk, powers and resources adapted to the concrete and rapid realization of the integrated actions aimed at the safety of the territory, the reduction of the risk, the protection and the recovery of ecosystems and biodiversity... PRESIDENT. - The debate is closed. Senator Ruta, I invite you to conclude. RUTA (PD). I shall conclude, Madam President. In addition, the resources necessary for the refreshment of citizens and local administrations hard hit by the calamitous events that have occurred over the past few weeks, in order to adequately address the difficult emergency situation and the rapid return to normality. It also calls for a commitment to promote, through every initiative of competence, the rapid approval of the draft law on the protection of the soil currently under consideration by the Chamber of Deputies such as the bill on the use and sustainable management of the soil assigned to the joint examination of the permanent committees 13a (territory, environment, environmental goods) and 9a (agriculture and agro-food production) of the Senate and to allocate, in the first useful measure, and in particular with the next law of stability for 2015, all the resources necessary for the realization of an extraordinary plan for the protection of the soil and the start of the set of works aimed at the mitigation of the hydrogeological risk and the safety of the Italian territory. PRESIDENT. - The debate is I call Senator Tarquinio to explain motion 314.
ParlaMint-IT_2014-10-21-LEG17-Senato-sed-334.ana.u19	Minister, it is embarrassing to have to intervene for an area of Italy, the Gargano, in a context like what we live in the whole country for what happened in many other areas. It is dramatic, uncomfortable, but I would first of all like to make a general speech. We all have been complaining for twenty-five years and we continue to say that this is a tragedy, but nothing is done. It's everyone's fault, it's nobody's fault, but the problem is, and it's dramatic, very serious. We are all aware that we must intervene seriously with exceptional resources, putting aside other issues, because on this issue we play the future of the country. Italy is beginning to be no longer credible even for the structure of its territory, for the disruptions that affect the entire country. Perhaps we do not realize that, when we pursue employment, work and so on, if we allocate resources to a serious issue like this, we will solve both problems. At the same time, however, I must complain to you, who is Minister, but first of all is representative of the Government, that even today on the Gargano has not been declared the state of emergency or that of natural disaster, although the problems have occurred before the others. It is a lament without any localistic or regionalistic accent: I am simply disconcerted, because it is not possible that this happened. The fact that it will happen tomorrow morning or Thursday does not save the Government from responsibilities. I emphasize that the Region has done its part, and it has done it all. It is truly incredible to forget these people, as well as Genoa or any other area of the country. You yourself, Minister, as far as I know, have been to the affected territories of Gargano, you have been to San Marco in Lamis. The responsibilities of the administrations, in general, there are all, on the Gargano as in other parts of Italy, but they affect other bodies of the State. There are investigations into this for manslaughter at the Prosecutor's Office of the Republic of Foggia, which I do not know what they will lead to. But we have a duty to intervene. This part of Apulian territory is totally devastated, as you know. Agriculture is the most damaged, beyond the infrastructure as such: tomato production is virtually zero, despite the fact that in the province of Foggia there is at least 50% of Italian tomato production. No way! Even today there is no declaration of the state of natural disaster; therefore, there can be no reduced contributions, there can be no suspension or reduction in relation to agricultural credit; neither has the suspension of the type of levy for other activities been declared. It is such a situation that it has incredible and I put it before it, of course not shouting. I am shocked: I come from his own ancient school, politically speaking, so I am surprised that all this happened. The catwalk was there (I'm not talking about his, but about others): on the Gargano there was a race from everyone, but the next day they all disappeared, except the Region. I give credit to the Region that has done everything that belonged to it. For the Gargano there are funds: there are 156 million euros that are there, in the special funds of the Region; it is only necessary to clarify whether the responsibilities of the non-use belong to the Ministry or to the Region itself. I repeat that they are available, they are dying, like so many other money, like the resources, equal to 1.6 billion, about which Senator Fucksia has spoken, that they are still available; we have not activated even the 180 million that concerned the part before, the 30 million of 2014. You have made another structure in the Presidency of the Council, which has even become an obstacle and further delays the solution of the problems. I would like to make a sincere appeal to you, in addition to the approval of the motion for my first signature and those relating to other realities and beyond the fact that we are witnessing incredible situations: amendments have been tabled to the Chamber of Deputies by Apulian Members to fix at least the sums to be allocated to the Gargano, but these amendments have been rejected as inadmissible in the Italian unblocking measure. It is clear that we will resume them, but we would like certainties, beyond - I repeat - the approval of the motion; we would like to understand exactly for the Gargano, for Genoa and for all the other areas, what will be foreseen in the bill of stability; we would like certain moments, certain figures. You can't play on this anymore. Let's forget who ruled for 30 years. Today answers those who rule. And those who govern, since they speak so much, must also do much. It has to do a lot, in fact and in the data. This is what we expect, and this is what people expect, beyond any consideration. Of walkways, as far as Foggia is concerned, I haven't done any. I have tried from the first moment to move with motions and amendments, trying to bring those who have to do their duty and their part. To date, however, for that territory, only the Puglia Region has done the part. Minister, I have also heard you speak of regional co-financing. But, with all the affection, if we do not overcome some issues, some Regions will not be able to co-finance anything. I already note that we are talking about the elimination of the Stability Pact for the Municipalities and I hope that this will also apply to the Regions themselves, otherwise we are not there. We must take it seriously, and not make a useless list of a thousand problems and possible responsibilities, which is of no use to anyone. People, in the field of hydrogeological failure in Italy, are waiting for answers. Words and chatter are no longer of use to anyone. Even the minute of silence that every time there is a victim we see in this House becomes almost ridiculous, compared to the many victims. And I'm also referring to the induced victims, because these people are being abandoned. At a time like this, of the crisis of the country, we do not respond with concrete, real, immediate acts, and with certainties that give the real times of some intervention. And if not, honestly there is something to be disconcerted about. I speak for the Gargano, but I make the situation of Genoa and other areas mine. I try to be Italian and not to represent only a part of Italy. But I just want to tell you that this part of Gargano has been shocked to see the inertia of a government that, to date, has not issued the declaration of the state of calamity and emergency. What steps is the government taking towards the European Union to recover money from the European fund? There's no news. Are we moving or are we limited to the continuous list of troubles and the denunciation of the tragedy, without which nothing happens? I make an invitation and an appeal. I hope that there are certainties in the law of stability. Otherwise, this situation would really be unbelievable, and people would be absolutely right to kick us all out, including myself. In fact, one has the impression that everyone plays on misfortunes, that everyone is insensitive. It's not like that. Let us not foment the squares; let us speak in the proper places; let us not demagogie and let us not seek clientele, which are useless, whether they come from opposition or from the majority. But I expect, at a time like this, truths and certainties, and will have all my, and our, collaboration. I expect that in its future reply and in the possible unitary motion that will be made. It must, however, be a realistic motion, which seriously commits the Government and which contains certain and irrefutable data, that are then brought back within the law of stability, with certainties of the sums, everywhere destined, as well as the modalities of their use and the expected times. This is the real message that I send back to you. I have little more to say: seriousness on the part of everyone, but in particular on the part of those who govern us. [[Applause from the FI-PdL XVII and PI groups and Senator Rossi Luciano.]]
ParlaMint-IT_2014-10-21-LEG17-Senato-sed-334.ana.u20	I call Senator Donno, to explain motion 316 (text 2).
ParlaMint-IT_2014-10-21-LEG17-Senato-sed-334.ana.u21	Madam President, it is a long list of dramatic phenomena of hydrogeological failure and violent floods, which have alternated in a syncopated succession just before and following the arrival of autumn: finally, the flood in Maremma, and, going back in time, the flooding and flooding of Parma, Alexandria, Genoa, Imola and Alta Romagna, to arrive at the apocalyptic scenery of Gargano. This motion, although it was tabled before the most recent events mentioned and specifically concerns the Gargano, acts, in its contents, as a reminder and at the same time as a warning. Madam President, I would ask you to draw the Minister's attention. If he speaks on the phone, he will not be able to deal with the motions later.
ParlaMint-IT_2014-10-21-LEG17-Senato-sed-334.ana.u22	I agree. I invite the Minister to listen to the senator's speech.
