ParlaMint-RS_2001-12-06-0.u14854	It's a business thing.
ParlaMint-RS_2001-12-06-0.u14879	You would be absolutely right if the Rules of Procedure had not been provided that I was obliged to put to the vote the objection of the MP that there had been a breach of the Rules of Procedure. Of course, it allows abuses, allows terror for the majority, but it is, simply so, and I will go much more dignifiedly under such circumstances than under different circumstances. So, the answer, and then the vote to comment on breaking the Rules of Procedure. To read again, Article 88 requires me to do what I have done, which is that the National Assembly may, during the session, without a search, make a change in the order of the agenda points, with the agreement of the promoters of the relevant acts. The agreement is gone, Mr Jovanovic pointed out that I broke the Rules of Procedure by reading this article, so let's put it to a vote. You've explained to me, to the MPs, too, no replicas, no debates, and I'm putting forward a proposal... He has the word Mr Tomislav Nikolic, according to the Rules of Procedure.
ParlaMint-RS_2001-12-06-0.u14880	I will warn you, Mr. Martian, that you are correctly quoting members of the Rules of Procedure, which regulates our work. The position of Article 2 88 speaks of new proposals for the agenda during the debate, while Article 4 discusses the rotation of agenda points, which is a big difference. The rotation needs agreement, and the new agenda should not be agreed upon, but a statement of the Assembly should be made. You've confronted two members of 88 with each other, and I really don't know what you're trying to do. You can't put those two attitudes together, because they're completely opposite and they don't deal with the same problem.
ParlaMint-RS_2001-12-06-0.u14881	He has the word Mr Tomislav Nikolic, according to the Rules of Procedure.
ParlaMint-RS_2001-12-06-0.u14882	In order to avoid confusion, ladies and gentlemen of the People's Parliament, I ask you to interpret Article 88(2) to which Mr Jovanovic is called. Here is what it says: "The new points entered into the agenda on the basis of a proposal to supplement the agenda, a proposal for a merger of the debate or an emergency procedure shall be included in the agenda in the order of the proposal, unless the applicant has proposed a second order of consideration". Please, what the Assembly decides about, it doesn't matter for this, and here's why it doesn't matter -- we have new points, proposed options by three basics, and this time it's proposed on this basis, based on an emergency procedure, but this order that we're talking about, that's the order of just those points, not the agenda. Interpret, please, they are included in the agenda in order of the proposal, so if there are several proposals for supplementing the agenda, they are included in the agenda in their order, in order of how they arrived here, unless the person who proposed did not ask that item to be the first of the additions, because all the agendas are regulated in Article 88(4). The agenda has been established, a new emergency proposal has arrived. The promoter may request that it be a post on the agenda immediately, but it must get the consent of those whose points are included in the agenda. Well, by yelling, you can scream anything, but you can't scare the Rules of Procedure of the National Assembly, it's written once and for all. President, you're hurting the Rules of Procedure more than once this year. You spoke to a People's MP who has no right, if he reports a breach of the Rules of Procedure, you simply said, non-chalantly -- no violations of the Rules of Procedure, you ruled on it, and you didn't even put it to the vote. This time you're putting something to the vote that's obviously not a breach of the Rules of Procedure. I will no longer report to the Rules of Procedure, but the debate on voting, the resolution of the president of the National Assembly, can only be at the end of the established agenda, obviously.
ParlaMint-RS_2001-12-06-0.u14883	I always put it to a vote when the MP wasn't happy and asked for a vote. I'm putting on the vote to object that there's been a breach of the Rules of Procedure, Article 88. For 129, against 72, there were no abstentions, no 37, a total of 238 MPs. I find that the National Assembly has determined that there has been an injury to Article 88. Rules of Procedure. I find that this is what the National Assembly has declared to be a violation of Article 88. Rules of Procedure adopted by the Proposer to break the current agenda point - Labour Act and move on to a new point. So we interrupt the 11th point work. We move to the 12th item of the agenda: – Proposal FOR THE SECURIT OF THE PRESIDENT OF THE NATIONAL COMMUNITY OF THE REPUBLIC OF SREBIA AND THE CHOICE OF THE PRESIDENT OF THE National COMMUNITY OF SERBIA
ParlaMint-RS_2001-12-06-0.u14884	I can't lead, you have to give someone the authority to run the session. Since this item of the agenda has been merged, and since I am a candidate for Parliament's president, I am authorising Rodoljub Sabic to hold a session on this agenda point.
ParlaMint-RS_2001-12-06-0.u14885	Here you go, according to the Rules of Procedure.
ParlaMint-RS_2001-12-06-0.u14886	Mr. Vice President, please comply with Article 81. The Rules of Procedure propose to Parliament that we make a decision on the basis of which the debate on this item of the agenda would take place until the end, so, given the delay in our work and the lack of quorum during yesterday's work, we are not using the scheduled break from 14 to 15 hours, but to end the debate on the proposed agenda by voting on the resolution of Mr. Marsican and then by voting on the election of Natasha Micic as Parliament president.
ParlaMint-RS_2001-12-06-0.u14887	Here you go.
ParlaMint-RS_2001-12-06-0.u14888	Ladies and gentlemen, MPs of the SPS (Mr Sabic, you have the bell) will not vote during this item of the agenda, they will only participate in the debate. However, I would like to point out Article 31(3). The Rules of Procedure, which says: "If the president of the National Assembly has suspended his term before the time he was elected (Dragane, you have not found a good point for me), the office of the National Assembly president, until the election of the new president, shall be held by the oldest vice president of the National Assembly. "As the debate on resolution is under way, we propose that the oldest vice president lead the session at this point in the Rules of Procedure.
ParlaMint-RS_2001-12-06-0.u14889	Here you go, Mr. Martian.
ParlaMint-RS_2001-12-06-0.u14890	Ladies and gentlemen of the People's Parliament, please don't do this today. Natasa Micic is the deputy president of the National Assembly, under my authority. It is natural that, as a candidate for the National Assembly, it would not be appropriate for her to take the lead in this session. I can't lead this point -- by the Rules of Procedure and by logic, the old one, too, by some conscience. Therefore, let us pass that, regardless of what is not regulated by the Rules of Procedure and that it cannot be authorized by Mr. Sabic, we will continue to lead this session, and that we still have in mind that this is not about a simple resolution, but rather about resolving someone who is headed by an institution that is the Supreme Authority of the Republic of Serbia.
ParlaMint-RS_2001-12-06-0.u14891	I suppose it's clear that your observation applies only to any future situation. So now we're doing what we've done. Here you go, Mr. Nikolic.
ParlaMint-RS_2001-12-06-0.u14892	On the basis of Article 31(2), which is well mentioned here, but not well explained, you, Mr. Sabic, can lead this session, but only if you are the oldest vice president of the National Assembly. Namely, at this point in the agenda, at the same time, you choose a new president. You have a debate about a candidate for National Assembly President. At the same time, we will discuss what the Martian did not do well, but we must also talk about a proposal for the National Assembly president. On that basis, the session must be led by the oldest vice president of the National Assembly. If it's Mr. Shabic, everything's fine. But if it's someone else, let him take that place.
ParlaMint-RS_2001-12-06-0.u14893	Mr. Nikolic, if I have to answer, what is quite certain is that the term of office of Parliament of Dragan Marsicanin has not ceased. Since he did not stop, the question opened by Mr Ivkovic and which you are opening is not yet on the agenda. He can chair anyone. The term of office has not stopped. That question opens when his term of office ceases. If you're not satisfied, I can put you to a vote. Here you go, Mr. Michael.
ParlaMint-RS_2001-12-06-0.u14894	The Honorable Chairman, ladies and gentlemen, honourable MPs, we have a bit of an illogical matter. I don't know if, when we vote automatically by one vote, we're going to vote for the appointment of a new president, because now it's one point of the agenda; how we're going to run the debate, what we're going to do; and it's a bit strange, quite unusual in parliamentary practice, to tie up resolution and appointment at one point in the agenda. Okay, the parliamentary majority can do anything. Someone here has already said that anything is possible in Serbia, so this is possible. It's possible to vote as it was voted. But, well, we won't talk about it. What's important to us in this situation, is whether two different debates can be held on one point. If this is possible, if the Assembly decides that it is possible to discuss two completely different things within one item of the agenda, then it is again possible and is again unique to our Parliament alone. Someone's saying it's adopted; of course it's adopted, and we're not surprised at that again. What I'd like to suggest, since we already have two points connected at one point and since we can't conduct two discussions, that we should extend the time for the debate in principle, if anything, for 10 hours. Since we are having two debates at one point, since we are having discussions on a very important institution - a resolution of Parliament President and a proposal for a choice of office; from which the elected person, if the president of the Republic of Serbia resigns, carries out the duties of the President of the Republic of Serbia; we are talking about one responsible job, one responsible institution. I therefore propose that, if nothing else, double, that we have time to talk about this resolution, and also about the appointment of a new MP, that we show in this Parliament that, although anything is possible, there is at least some minimum tolerance, respect for this institution and this home.
ParlaMint-RS_2001-12-06-0.u14895	Here you go.
ParlaMint-RS_2001-12-06-0.u14896	Mr. Vice President, the Honorable Presidency, ladies and gentlemen of the People's Parliament, we need to make a preliminary statement about the initiative I have proposed, which came from the rights defined in Article 81. Rules of Procedure on the work of the Republic Assembly. So, I ask that the Parliament vote on the debate on this agenda point without interruptions scheduled for an hour's break, so until a vote is held, which is very clearly proposed in the initiative, and only then can we plead on the proposal of a fellow from the Democratic Party of Serbia.
ParlaMint-RS_2001-12-06-0.u14897	It's his own understanding, Mr. Jovanovic. We'll put both proposals to a vote, in the order they're proposed. Anybody else answer for a word? No, I don't. ) So, the president of the DOS parliamentary group, Mr Cedomir Jovanovic, put forward a proposal to conduct today's debate without the Rules of Procedure, so we should work without a break until the end. I'm putting that proposal to a vote. For 128, against 65, the abstentions, did not vote 41, a total of 234 MPs. I find that Mr Jovanovic's proposal was adopted to work without a break and work until the debate is over. Mr. Dejan Mihajlov, president of the DOS-DSS parliamentary group, has tabled a proposal to double the Rules of Procedure's proposed time of debate, so the debate instead of five, takes 10 hours. I'm putting that proposal to a vote. For 66, against 116, the abstentions were not voted 52, a total of 234 MPs. I find Mr. Dejan Michael's proposal not accepted. Here you go, Mr. Pelevic, according to the Rules of Procedure.
ParlaMint-RS_2001-12-06-0.u14898	Mr. Chairman, ladies and gentlemen of the People's Parliament, I suggest we separate the vote on the resolution of the President of the National Assembly and the appointment of the President of the National Assembly.
ParlaMint-RS_2001-12-06-0.u14899	So, Mr. Pelevic's proposal is, of course, involved, but I think it's also too high, since we'll certainly vote separately. If you insist on voting on Mr Pelevic's proposal, I will put the proposal to a vote, but in itself it is understood. So, I will put Mr Pelevic's proposal to vote separately on the resolution and separately on the election of the new speaker. I'm putting a motion to vote. For 131 against 41, the abstentions were not voted 57, a total of 229 MPs. So we will vote separately on the motion for resolution. Please, Mr. Wolfie, don't comment. You're throwing me out of my place and instead of giving you a warning, please don't throw me away. I won't give you a warning. You have no right. Mr. Nikolic can do it, and if he's looking, he'll get it. (Alexander Vukic, from the scene: You decide nonsense. ) Before we approach the search, I will remind you of the time available for representatives of individual groups. So, since we have established that we will work for five hours, the DOS parliamentary group has two hours, seven minutes and 12 seconds; DOS - Dr Vojislav Kostunica, Democratic Party of Serbia 54 minutes; the Socialist Party of Serbia 44 minutes and 24 seconds; the Serbian Radical Party 27 minutes and 36 seconds; the Party of Serbian Unity 16 minutes and 48 seconds; DOS - New Serbia nine minutes and 36 seconds; DOS - The League of Social Democrats Vojvodina, the League for the Shumadium eight minutes and 24 seconds; DOS - the Reformists of Vojvodina and Sandzak Democratic Party seven minutes and 12 seconds. And of course, the MPs who are not members of the MPs, three MPs who apply first, every five minutes. I'm opening a search on this agenda point. Here you go, Mr. Jovanovic. (Tomislav Nikolic, from the scene: Injuring the Rules of Procedure, how can someone register when there is no form? ( b) Why would it be a violation of the Rules of Procedure? Does the President of the Assembly or the Chairman give you a form? (Tomislav Nikolic, from the post: Secretary of Parliament. Mr. Nikolic, I assume you've got the form. Does the proposal's representative want to explain the proposal? Mr. Jovanovic, please.
