ParlaMint-BG_2020-11-27.u1	Hello, colleagues who are remotely involved in the meeting! Anna Alexandrova?
ParlaMint-BG_2020-11-27.u91	Colleagues, speeches? I won't. I put to the vote: the version of § 36, which becomes § 35 of the Commission Report; the text of the importer for § 37, which becomes § 36 with the corresponding replacement; the version of § 38 which becomes § 37 of the Commission Report; the text of the importer for § 39, which becomes § 40, and 42, which becomes paragraphs 40 and 41 respectively; the version of § 43, which becomes § 42 of the Commission Report; the version of § 44, which becomes § 43 of the Commission Report; and the text of the importer for § 45, which becomes § 44 with the corresponding replacements in the text. Mr. Popov?
ParlaMint-BG_2020-11-27.u92	Yeah.
ParlaMint-BG_2020-11-27.u93	There's a MP who voted remotely. They voted 111 MPs plus one remote 112: for 106, not against, abstention 6. The proposals have been accepted.
ParlaMint-BG_2020-11-27.u94	Under § 46, there is a proposal from Stanislav Ivanov and a group of MPs in accordance with Article 46. In addition, the Court of Justice has held that there is no legal basis for the application of Article 107 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union. 5, t. 2 of the Rules of Procedure of the National Assembly. The Commission supports the proposal. The Commission shall, in principle, support the text of the importer and propose the following version for § 46, which shall become § 45: ssssssssssssssssssssssssssssssssssshsssssssssssssssssssssssssssssssssssssssssssssssssssssssshssssssssssssssssshsssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss.ssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss In Article 4 (1) (b), point (c) is replaced by the following: 117b The following amendments and additions are made: 1. In para. 1: a) in the text before t. 1 words "al." The following points are inserted after point 1 (Commission Implementing Regulation (EU) No 540/2011): the following point is inserted (b) c. 5 words within the meaning of art. 162 of the Tax and Insurance Procedure Code to the State and to the Municipality shall be replaced by the State or to the Municipality for taxes or compulsory insurance contributions under art. 162, para. 2, p. 1 of the Tax Insurance Procedure Code, including their interest; c) create new t. 6 and 7: It's six. maintain a certified quality management system according to standard EN ISO 9001:2015 or equivalent; 7. has established the necessary organisation to ensure the availability of the maritime and technical port service 24/7, without interruption and weekends, throughout the year and for its operation without undue delay of ships; (d) the so-called t. 6 is going to be t. 8 and amended as follows: It's 8 o'clock. in cases where ships are used for the operation of a maritime technical service: (a) have one or more vessels meeting the technical requirements for the safety of navigation and the requirements of art. 6 of the Code of Commercial Shipping; (b) have the minimum number of seafarers required for the assembly of crew vessels; (c) maintain a certified system for managing the safe operation of ships and preventing pollution by ships when the service is carried out with one or more vessels subject to provisions of an international contract requiring the maintenance of such a system to which the Republic of Bulgaria is a party; in such cases equivalence under point (c) 6 shall not be proven; (d) maintain ready for immediate response to its vessels in accordance with the emergency plan of the port and the orders of the officials of the Executive Agency of the Sea Administration; (e) Previously on Seven and eight are canceled. 2. In para. 2 words.............................................................................. The Commission shall be empowered to adopt delegated acts in accordance with the examination procedure referred to in Article 1 to amend this Regulation by means of implementing acts in accordance with the examination procedure referred to in Article 4 (2). 117, para. The words 3. They're creating an al. The Executive Agency of the Sea Administration shall exercise control over the compliance of port operators with the requirements of para. 1 and 2 under the terms and conditions of the ordinance under art. 117, para. 5. (4) In the event of non-compliance with the requirements of para. 1, t. 5, 6, 7 or 8, or by para. 2: 1. the master of the port shall give the port operator mandatory prescriptions for the removal of the non-compliance and shall set a reasonable period of time for their implementation; 2. The Executive Director of the Executive Agency of the Sea Administration shall temporarily apply the activities of the port operator until the non-compliance has been resolved, where the mandatory provisions laid down in point (c) of this paragraph are not complied with. 1 are not fulfilled within the time limit; 3. The Executive Director of the Executive Agency of the Sea Administration shall remove the port operator from the register of port operators upon suspension of activities lasting more than 12 months. (5) The provision of para. 4 t. 3 shall also apply in the event of non-compliance with any of the requirements of para. 1, t. 1........................................................... (6) Mandatory prescriptions under para. 4 t. 1, suspension of the activity of the port operator under para. 4 t. 2 and deletion from the register of port operators under para. 4 t. 3 and para. 5 may be challenged by the order of the Administrative Procedure Code. An order giving the port operator mandatory prescriptions or ordering its suspension shall be subject to immediate enforcement.
ParlaMint-BG_2020-11-27.u95	Statements? I won't. I shall put to the vote the version of § 46, which shall become § 45 of the Commission Report. Mr. Nunev, how do you vote?
ParlaMint-BG_2020-11-27.u96	Yeah.
ParlaMint-BG_2020-11-27.u97	They voted 118 MPs plus one colleague from remote to 119: for 112 plus one remote to 113, against 1, abstention 5. The motion is accepted. Declaration on behalf of the parliamentary group of the Bulgarian Rhodolyptics. Here you go, Mrs. Taskova.
ParlaMint-BG_2020-11-27.u98	Dear Madam President, honourable Members of the National Assembly, honourable Bulgarians! The declaration on behalf of the group of the Bulgarian Rhodophilizers (Bulgarian Rhodophiles) which I want to make is rather an address to the Bulgarians. Today in this Chamber, the Minister of Environment and Water eight months later, after being a minister, came and exposed really stressful facts. We will miss the fact that his party has actually been part of the government of Bulgaria for three and a half years and apparently today he has decided to tell us all this. But what became clear, dear Bulgarians?! It became clear that there was no municipality not lobbying for these water resources. It became clear that this was the result of long managements of various parties, because the problem is not from today. He hasn't been since yesterday. What, though, not the MPs heard, but the representatives of the various political parties in this House. For example, BSP heard that the problem is GERB. They didn't hear about the mayor of Pernik, they didn't hear they were involved in all this all these years. GERB didn't react. The DPS didn't hear about the municipalities where they created the problem. But what we heard from Volya and what you heard from all of Bulgaria that only we, only we, have not participated in all these years and in no way... [[noise and lines]]
ParlaMint-BG_2020-11-27.u99	Colleagues, please be quiet!
ParlaMint-BG_2020-11-27.u100	...we are not responsible for the state of water resources in the country. Only we of the Vol were not mentioned to have lobbied for anyone in this country and led to this situation that the state would really wonder what would happen to water resources.
ParlaMint-BG_2020-11-27.u101	Quiet, please, colleagues!
ParlaMint-BG_2020-11-27.u102	I hope you've really all heard this, colleagues, because very often some of you are exercising on our names. We of Volya remain representatives of the Bulgarian people, not of the interests of a political party or of certain businessmen, fishermen, farmers and so on to the detriment of the Bulgarian people. We at WALK are the only ones as pragmatists, as people who are looking for quick solutions, want to get acquainted with the problem. We will obviously be the only ones to respond to the Minister's call and we will go to the Ministry of Environment and Water today to look at all these stressful facts with which he wanted to introduce the MPs of the Republic of Bulgaria. Thank you for your attention and I wish you to start reacting as quickly as the People's Representatives of the Volya. [[Private applause by the Bulgarian Rhodolists]]
ParlaMint-BG_2020-11-27.u103	Thank you, dear Mrs. Taskova. Colleagues, I will put to the vote the version of § 40, which becomes § 39 of the Commission Report. I missed a vote. He was in a series of many paragraphs, but I guess I didn't read it, so let's vote on it now. Mr. Nunev?
ParlaMint-BG_2020-11-27.u104	Yeah.
ParlaMint-BG_2020-11-27.u105	Thank you. Vote 105 MPs plus one remote turn into 106: 100 plus one remote turn for 101, not against, abstention 5. The motion is accepted. [[Noise and lines.]] Come in for a statement, Mr. Mihov.
ParlaMint-BG_2020-11-27.u106	Madam President, ladies and gentlemen of the House! It's 10:30. Exactly at this hour 101 years ago in the suburbs of Paris Neui Sur Sen begins the procedure for signing the peace treaty with Bulgaria. [[Noise.]] This procedure lasts exactly 25 minutes... as long as an execution. The treaty is signed between the Contracting Parties...
ParlaMint-BG_2020-11-27.u107	Quiet, please, colleagues!
ParlaMint-BG_2020-11-27.u108	...winners in World War I, and Bulgaria. The treaty was made by the Paris Peace Conference, where the Bulgarian delegation practically does not participate and has the character of a dictator whose main purpose is to punish Bulgaria. The winners forget their assurances about the fair Bulgarian demands of the summer of 1915, which remained in the history of World War I as the Bulgarian Summer. The interests of the Balkan neighbours who were on the side of the winners in order to preserve the stolen Bulgarian lands after the inter-Union war of 1913, topped the proclaimed principles for post-war device. Bulgaria emerges from the war in the hope that the 14 points announced by US President Woodrow Wilson will be followed in the development of peace treaties after the war. This programme promises the right of peoples to have their own and the right to national self-determination. It is envisaged that the defeated countries will conclude open peace treaties made after an open discussion in front of everyone. For the Bulgarian society, the application of the principle of self-determination is a guarantee that the predominantly Bulgarian population of land in Thrace, Dobrudzha and Macedonia will remain within the limits of the kingdom. The Bulgarian statesmen rightly rely on President Wilson to support the fair demands of the Paris Peace Conference, because during World War I, the United States of America is the only power of the Antanta that does not declare war on Bulgaria and the US diplomatic representative in Sofia Dominic Murphy plays an active role in the conclusion of the 1918 Thessaloniki truce. Bulgarian hopes, however, remain in vain. European cases are decided by the French-English duet, led by Georges Clemento and Lloyd George, which outline the conditions of peace, defined as a second national disaster. President Wilson is leaving the September Conference, and Congress has not ratified the peace treaties following the Versailles-Washington Agreements. Under the treaty, the lands for which Bulgaria fought in Dobrudja and Macedonia, inhabited by over 1,400,000 people, remain within Romania, Yugoslavia and Greece. From the old lands of the kingdom are cut off parts of Kulsko and Trunsko, the entire regions of Tsaribrodsko, Bosilegrad and Strumishko, which amount to 2566 km with over 92 000 people. Twenty-five Bulgarian villages are divided in half. Western Thrace with territory over 8700 sq. km and population 261 000 Bulgarians were handed over to Greece, with which the White Sea escape was lost. Bulgaria must pay the winners the huge amount of 2 billion. 250 million. golden leva. for a period of 50 years, and the Bulgarian Army is reduced to 20,000 volunteers, with all armed forces, along with police, gendarmerie and border guards, cannot exceed 33,000 people. The development of a navy and an air force is prohibited. Bulgaria is treated as a non-sovereign state and is placed under the control of an Inter-Union Control Commission. The New York Treaty determines the historical development of Bulgarians throughout the 20th century. The national catastrophe creates a deep crisis in Bulgarian society. The destruction of national ideals, the enormous sacrifices, the material losses lead to acute polarisation and political opposition. The question of the causes and responsibility of the disaster raises some Bulgarians against other Bulgarians. Here comes the time of violence and civil war. Authoritarian regimes are alternated with military coups. Democracy is rejected and is designed in its place "orange" or "proletary" dictatorship, elite management or non-party power. The peaceful revision of the New York Treaty became a fundamental principle of Bulgarian foreign policy in the coming decades. Bulgaria refuses to seek changes along the way of the war and relies that minority rights can be secured through protection by the League of Nations. This issue is rejected by the ruling in Belgrade, which proclaims Vardar Macedonia Old Serbia and prohibits the use of the term "Macedonia" at all, and the Bulgarians "Serbs." Athens imposes, together with the signing of the Neucoin Treaty, the conclusion of a bilateral agreement on the exchange of populations, which marks the beginning of the removal of the Bulgarians from Aegean Macedonia and later from Western Thrace. Set in conditions to border on itself, Bulgaria cannot forget and survive the wounds of the war. Over one million refugees from Macedonia, 400,000 from Belomorie and Thrace, 100,000 from Dobrudzha and over 50 000 from the Bulgarian lawn and the Western suburbs arrive in the free borders of the kingdom. They create numerous earth-based, charitable, scientific and social organizations. They create families, work, raise children and keep looking with hope at the homeland where they have left their property, relatives and memories. This national tragedy defines Bulgarian history in the next world war. During World War II Bulgaria managed to correct one of the injustices by returning South Dobrudja peacefully, but the decisions of the Great Powers in the other directions are for preserving the Balkan status quo. The resuscitation of Yugoslavia in the form of a federal communist state leads to the establishment of the People's Republic of Macedonia, the predecessor of the Union Republic of Macedonia, the Republic of Macedonia, the former Yugoslav Republic of Macedonia and the present-day Northern Republic of Macedonia on an anti-Bulgarian basis. The territorial status quo was established at the expense of the Bulgarians. And today the Bulgarian people continue to pay the price of this injustice. The heirs of Serbian occupiers and Yugoslav communists, innocently defined today as the deep state, continue to divide and oppose some Bulgarians against other Bulgarians. This cannot be forgotten. This can't be undone. Thank you for your attention. [[Applause from the... United patriots.............................................................................................]]
ParlaMint-BG_2020-11-27.u109	Thank you, Mr. Mihov. Here you go, Mr. Ivanov.
ParlaMint-BG_2020-11-27.u110	Thank you, Mr. Chairman. Honourable Members, I am doing a procedure to extend legislative activity at today's meeting until this bill is completed. Thank you.
ParlaMint-BG_2020-11-27.u111	Thank you, Mr. Ivanov. A reverse opinion? Here you go, Mr. Prodanov.
ParlaMint-BG_2020-11-27.u112	Dear Mr. Chairman, honourable Members! You became a habit of extending the legislative part on Friday and completely ignoring parliamentary control. [[Noise and lines from GERB and OP.]] In the last month there were four Fridays for parliamentary control, of which two were dropped as parliamentary control at all, and two were extremely reduced. Just about an hour ago, the Minister of Environment and Water told you how you manage. What we want is really control over how you manage. You're all trying to hide how you rule, so we're against it. [[Noise and lines from GERB and OP.]]
ParlaMint-BG_2020-11-27.u113	Thank you, Mr. Prodanov. I put to the vote the proposal to extend the legislative part of today's sitting until the end of this law. Vote 112 MPs: 82, against 29, abstention 1. The proposal to extend the legislative part has been adopted. Here you go, Mr. Letifov.
ParlaMint-BG_2020-11-27.u114	The Commission shall, in principle, support the text of the importer and propose the following version for § 47, which shall become § 46: sssssssssssssssssssssssssssssssssss. In Article 4 (1) (b), point (c) is replaced by the following: 117c the following amendments shall be made: 1. Paragraph 1 is amended as follows: s (1) the provision of a service of service of service of service under art. 116, para. 2, p. 2 and 3 and of maritime and technical port services in the cases referred to in art. 117a, para. 4 t. 1 of one or more works of state, shall be awarded with a concession for services under the terms and conditions of the concession law. 2. Alinea 2 is canceled. 3. In para. 3 words................................................................................. 1 or 2 is replaced Under § 48, there is a proposal from Stanislav Ivanov and a group of MPs in accordance with Article 48. In addition, the Court of Justice has held that there is no legal basis for the application of Article 107 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union. 5, t. 2 of the Rules of Procedure of the National Assembly. The Commission supports the proposal. The Commission shall, in principle, support the text of the importer and propose the following version for § 48, which shall become § 47: ss ss s s s s s In Article 4 (1) (b), point (c) is replaced by the following: 121 the following amendments and additions are made: 1. Paragraph 1 is amended as follows: 1 An official who violates the provisions of art. 92, para. Art. 6 or Art. 6 112, para. 5 concerning the entry in the register of ports and specialized ports or registered in the register of port operators a person in violation of the requirements of art. A fine from BGN 1000 to BGN 3000 is punishable by 117b. The master of a port which ordered or allowed entry in the first sentence shall be punished with a fine from BGN 2000 to BGN 5000. 2. A new para is being created. 2: . (2) Whoever violates or allows to be violated the prohibition under art. 92, para. 7 or under art. 112, para. 6, or the order for carrying out port services under art. 116, para. 5, is punished with a fine from 10 000 to 50 000 BGN, respectively with a penalty from 50 000 to 300,000 BGN if the infringement was committed by a legal person or a sole trader. In the event of a repeated infringement, a fine shall be imposed, respectively, in a double amount. 3. So far, the Al. 2 becomes para. 3 and is amended as follows: . (3) Whoever violates other provisions of the law or of its implementing regulations shall be punished with a fine from 2000 to 10 000 BGN, respectively with a penalty of 10 000 to 50 000 BGN, if the infringement is committed by a legal person or a sole trader. 4. So far, the Al. 3 becomes para. 4 and in it the words "use of craft for sport, tourism and entertainment" are deleted. 5. The creation of para. 5. . (5) Whoever violates the provisions of the law or the act of the Council of Ministers under art. 5, para. 4 on the order of use of craft for sport, tourism and entertainment is punished with a fine from 500 to 1000 BGN. In case of repeated infringement, a fine of double size shall be imposed. 6. So far, the Al. 4 becomes para. 6 And in it the words are said. The following points are inserted after point 1 (Commission Implementing Regulation (EU) No 540/2011 of 25 October 2011 laying down detailed rules for implementing Under § 49, there is a proposal from Stanislav Ivanov and a group of MPs under Article 49. In addition, the Court of Justice has held that there is no legal basis for the application of Article 107 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union. 5, t. 2 of the Rules of Procedure of the National Assembly. The Commission supports the proposal. The Commission shall, in principle, support the text of the importer and propose the following version for § 49, which shall become § 48: ............... 48............................................................... Art. 1 (2) (a) and (b) and (c) 121b and 121c: Art. 121b. (1) A penalty of 10 000 BGN shall be imposed. of a State-owned enterprise, Port infrastructure, where: 1. enter into a contract under Article 1. 106e, para. 2 for which there is no decision of the Executive Director of the Executive Agency of the Sea Administration to justify the need to impose a public service obligation, respectively, without any of the circumstances under art. 7 (4) of Regulation (EU) 2017/352; 2. fail to fulfil an obligation under Article 2. 13 (5) of Regulation (EU) 2017/352; 3. adopt a decision under art. 106b, without a public consultation procedure in accordance with art. 106b, para. Three and four. (2) In case of repeated infringement under para. 1 a double-size penalty is imposed. Art. 121c. (1) A penalty of 10 000 BGN shall be imposed. to a port operator providing port services in port under art. 106a, which failed to fulfil an obligation under art. 15 (3) of Regulation (EU) 2017/352. (2) A penalty of 10 000 BGN shall be imposed. to a port operator under art. Article 12 (1) of Regulation (EU) 2017/352 which has not been fulfilled within the period referred to in Article 12 (1) of Regulation (EU) 2017/352. 106z, para. 2, p. 3 obligations under art. Article 12 (3) of that Regulation. (3) In case of repeated infringement under para. A double-size penalty shall be imposed on 1 or 2. Under § 50, there is a proposal from the MP Stanislav Ivanov and a group of MPs under Article 50. In addition, the Court of Justice has held that there is no legal basis for the application of Article 107 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union. 5, t. 2 of the Rules of Procedure of the National Assembly. The Commission supports the proposal. The Commission shall, in principle, support the text of the importer and propose the following version for § 50, which shall become § 49: ssssssssssssssssssssssssssssssssssshsssssssssssssssssssssssssssssssssssssssssssssssssssssshsssssssssssssssssssssssshssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss.ssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss The additional provisions shall make the following amendments and additions: 1. In § 1a: (a) paragraph 1 is amended as follows: (1) The plans for acceptance and treatment of waste shall be developed in accordance with the requirements of the ordinance under art. 95, para. 1 by State-owned enterprise 106a and for public transport ports, state property, respectively by the owners of the territory and the infrastructure for the other public transport ports and for the ports under art. 107 "109." Before being approved by the Executive Director of the Executive Agency of the Sea Administration, the plans shall be agreed with the Minister of Environment and Water or with an official authorised by him. (b) in para. 2 words.............................................................................. 92, para. 5, t. 2, 3, 4, 5, 6, 8, 9, 10 and 12 92, para. 5, t. Two, three, four, five, six, eight, nine and ten. 2. In § 2: (a) c. 20 after the word "Secures', the word "Secure' shall be added and after the word "Safety'; (b) point 23 is repealed; (c) point 42 is repealed; (d) shall be established. 52 - 56: "52." The total technical infrastructure of the port is a collection of buildings, facilities and linear engineering networks of transport, water supply and sewerage, electricity, heat supply, gas supply, electronic communications, waste treatment and geo-protection activities which serve more than one terminal from a public transport port and, as foreseen by the master plan of the port, are intended for general use by all port operators and port users under the same conditions. The deviation from linear engineering networks to the border of the port terminal concerned shall be considered as part of the common technical infrastructure. 53. The access point shall be the part of the common technical infrastructure of the port including the facilities and linear engineering networks of transport by which access is ensured to users by land and by sea, by inland waterways, respectively, by port and entry into it. 54. The road and rail approaches to the port border ensuring its connection to the road network, respectively to the railway infrastructure, are 55. The approach channels, approach areas and maneuvering areas of ships, as well as external rails or anchor stations, are the maritime access and inland waterway access facilities. 56. A national system for the electronic exchange of information in public transport ports is an open electronic platform that ensures an intelligent and secure exchange of information between public authorities, port operators and port users for the purpose of managing, optimizing and automated port and logistics processes through one-off data submission and interconnection of transport and logistics chains.
ParlaMint-BG_2020-11-27.u115	Are there any statements under paragraphs 47 to 50 by importer? I won't. I'm calling off the debate. I shall put to the vote paragraphs 47. 50, which shall be renumbered by numbers from § 46 to § 49. Voted 103 MPs: for 101, against none, abstention 2. The proposals have been accepted.
ParlaMint-BG_2020-11-27.u116	"Transitional and final provisions." The Commission shall support the text of the importer on the name of the subdivision. Under § 51, there is a proposal from the National Representative Halil Letifov in accordance with Article 51. In addition, the Court of Justice has held that there is no legal basis for the application of Article 107 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union. 5, t. 2 of the Rules of Procedure of The Commission supports the proposal. The Commission does not support the text of the importer and proposes that § 51 be rejected. Under § 52, there is a proposal from the MP Stanislav Ivanov and a group of MPs under Article 52. In addition, the Court of Justice has held that there is no legal basis for the application of Article 107 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union. 5, t. 2 of the Rules of Procedure of the National Assembly. The Commission supports the proposal. The Commission shall, in principle, support the text of the importer and propose the following version for § 52, which shall become § 50: .................................................................................. In the Code of Commercial Shipping (promise, SG No. ...) the following amendments and additions shall be made: 1. In Article 4 (1) (b), point (c) is replaced by the (a) c. 1 words.............................................................................. 103c, para. The Commission shall adopt implementing acts laying down detailed (b) A new item shall be created. 7. "7." the part of the port charges under art. 103c, para. 1, t. 1 of the Law on marine spaces, inland waterways and ports of the Republic of Bulgaria, determined by size and collected under the terms and conditions of art. 106c, para. 2 of the same law; c) the current t. 7 is equal to 7 is equal to 7 is equal to 7 is equal to 7 is equal to 7 2. In Article 4 (1) (b), point (c) is replaced by the following: 362a, para. 3 t. 10 is canceled. Under § 53, there is a proposal from the MP Stanislav Ivanov and a group of MPs under Article 53. In addition, the Court of Justice has held that there is no legal basis for the application of Article 107 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union. 5, t. 2 of the Rules of Procedure of the National Assembly. The Commission supports the proposal. The Commission does not support the text of the importer and proposes that § 53 be rejected. The Commission shall support the text of the importer for § 54, which shall become § 51. The Commission shall support the text of the importer for § 55, which shall become § 52. Under § 56, there is a proposal from the MP Stanislav Ivanov and a group of MPs under Article 56. In addition, the Court of Justice has held that there is no legal basis for the application of Article 107 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union. 5, t. 2 of the Rules of Procedure of the National Assembly. The Commission supports the proposal. The Commission shall, in principle, support the text of the importer and propose the following version for § 56, which shall become § 53: ssssssssssssssssssssssssssssssssssshsssssssssssssssssssssssssssssssssssssssssssssssssssssssshsssssssssssssssshsssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss.ssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss.ssssssssssssssssssssssssssssssssssssssssssssssssssssss (1) The Minister of Transport, Information Technology and Communications, on a proposal from the Executive Director of the Executive Agency of the Sea Administration, shall determine by order the limits of the aquatory, territory and infrastructure of the ports under art. 106a in accordance with the data listed in the register under art. 92, para. 5 and in accordance with the plans in force until the entry into force of this law. (2) The Minister of Transport, Information Technology and Communications and an official authorised by him shall re-issue, within 3 months of the entry into force of this Act, the certificates for the operational suitability of the terminals of the ports under art. 106a. Under § 57, there is a proposal from the MP Stanislav Ivanov and a group of MPs in accordance with Article 57. In addition, the Court of Justice has held that there is no legal basis for the application of Article 107 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union. 5, t. 2 of the Rules of Procedure of the National Assembly. The Commission supports the proposal. The Commission shall, in principle, support the text of the importer and propose the following version for § 57, which shall become § 54: s) § 54 (1) The pending assessments and security plans of the port areas approved until the entry into force of this law shall remain effective as assessments and security plans of a port under art. 106a. (2) The closed assessments and security plans of ports approved until the entry into force of this law shall remain effective as assessments and security plans of a port facility. Under § 58, there is a proposal from the MP Stanislav Ivanov and a group of MPs in accordance with Article 58. In addition, the Court of Justice has held that there is no legal basis for the application of Article 107 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union. 5, t. 2 of the Rules of Procedure of the National Assembly. The Commission supports the proposal. The Commission does not support the text of the importer and proposes that § 58 be rejected. Under § 59, there is a proposal from the MP Stanislav Ivanov and a group of MPs under Article 59. In addition, the Court of Justice has held that there is no legal basis for the application of Article 107 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union. 5, t. 2 of the Rules of Procedure of the National Assembly. The Commission supports the proposal. The Commission does not support the text of the importer and proposes that § 59 be rejected. Under § 60, there is a proposal from the MP Stanislav Ivanov and a group of MPs under Article 60. In addition, the Court of Justice has held that there is no legal basis for the application of Article 107 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union. 5, t. 2 of the Rules of Procedure of the National Assembly. The Commission supports the proposal. The Commission shall, in principle, support the text of the importer and propose the following version for § 60, which shall become § 55: ........... 55....................................................................... (1) Until the entry into force of the decision of the Management Board of the State-owned enterprise "Port Infrastructure" for the structure and amount of the port fees under art. 103c, para. Art. 1 and Art. 1 109a, para. 3 in port under art. 106a, designated by the current order and amount of port charges, shall be collected. (2) Until the approval of the plans for acceptance and treatment of waste in ports under art. 106a shall apply the welded approved until the entry into force of this law of the plans for acceptance and treatment of waste by collecting the fees laid down in the current order and size. (3) The plans for the acceptance and treatment of waste of public transport ports to which Regulation (EU) 2017/352 does not apply shall remain valid. (4) Paragraph 3 shall not apply where changes to the circumstances in which the plans for acceptance and treatment of waste have been approved have been made to the entry into force of this Act. Under § 61, there is a proposal from the MP Stanislav Ivanov and a group of MPs under Article 61. In addition, the Court of Justice has held that there is no legal basis for the application of Article 107 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union. 5, item 2 of the Rules of Procedure of the National Assembly. The Commission supports the proposal. The Commission shall, in principle, support the text of the importer and propose the following version for § 61, which shall become § 56: ssssssssssssssssssssssssssssssssssshsssssssssssssssssssssssssssssssssssssssssssssssssssssssshsssssssssssssssshsssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss.ssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss.ssssssssssssssssssssssssssssssssssssssssssssssssssssss (1) Within 6 months of the entry into force of this law, the State-owned enterprise shall submit the application under art. 112a1, para. 1, t. 1 for the establishment and (2) The predictions of the general plans under para. 1 as regards the infrastructure for access shall comply with the approved until the entry into force of this Act, the master plans for port terminals of a port under art. 106a.
ParlaMint-BG_2020-11-27.u117	Just a minute. Please put your masks on at the bottom! Mr. Pawnov, please put your mask on.
