ParlaMint-BG_2020-12-02.u1	Good afternoon, fellow Members. Please, registration mode. Anna Alexandrova?
ParlaMint-BG_2020-12-02.u15	Thanks, guys. Seven MPs, registered remote. Registered in the hall 121 MPs plus 7 registered remote The minimum number of MPs required to take a decision in the Chamber shall be 65. Colleagues, there's a quorum. [[PHONE RINGING]] I'm opening the meeting. Honourable Members, I will present to your attention the National Assembly's Work Programme for 2 December 2020: Today is the first Wednesday of the month and the groups have the opportunity to make proposals to supplement the Programme. There was a proposal made by the United Patriarchs, which was withdrawn, so under art. 53, para. 8 no proposals have been received. "1." Second vote on the Draft Law on Amendment and Supplement to the Law on Persons with Disabilities. Importer of the Council of Ministers, on 10 November 2020. Adopted at first vote on 18 November 2020. 2. First vote on the Industrial Parks Bill. Importer of the Council of Ministers, on 13 August 2020 3. First vote on the Draft Law amending and supplementing the Energy Act. Importers. s Valentin Nikolov and a group of MPs, 11 November 2020.......................................................................................................................................................... At the decision of the Conference of Presidents, the point of railway transport will be seen next week. "4." New discussion of the Law amending and supplementing the Law on Value Added Tax, adopted by the National Assembly on 19 November 2020, returned for a new discussion with Decree No 247 of 25 November 2020 to the President of the Republic under art. 101 of the Constitution of the Republic of Bulgaria. Point 1 for Thursday, 3 December 2020 5. Election of the Chairman of the Economic and Social Council. The procedure of choice shall be in accordance with rules adopted by decision of the National Assembly of 5 November 2020. Point 2 for Thursday, 3 December 2020 6. Second vote on the Bill amending and supplementing the Law on the Execution of Punishments and Detention. Importers.. Krasimir Tsipov and a group of MPs, 13 November 2020. Adopted at first vote on 26 November 2020. Point 3 for Thursday, 3 December 2020 7. Second vote on the Draft Law amending and supplementing the Health Act. Importer Daniela Daritkova on 13 November 2020. Adopted in first vote on 20 November 2020. Point 4 for Thursday, 3 December 2020 8. Draft Decision approving the participation of the Republic of Bulgaria in the preliminary agreements concluded by the European Commission and the manufacturers of drugs AstraZeneca, Sanofi and Pfizer Inc. and BioNTech Manufacturing GmbHand for the purchase of vaccines in relation to the pandemic of COVID-19, as well as the taking of action for the conclusion of a contract for the purchase of vaccines by Janssen Pharmaceutica NV. Importer of the Council of Ministers on 20 November 2020. Point 5 for Thursday, 3 December 2020 9. Second vote on the Draft Law amending and supplementing the Tax and Insurance Procedure Code. Importer of the Council of Ministers, on 21 October 2020. Adopted at first vote on 18 November 2020. Point 6 for Thursday, 3 December 2020 10. Draft Law on the ratification of the Agreement on the provision of reputable advisory services "Support for territorial de-preservation' between the Ministry of Energy and the International Bank for Reconstruction and Development. Importer of the Council of Ministers, on 9 November 2020 Point 1 for Friday, 4 December 2020 11. First vote on the Law amending and supplementing the Law on the Film Industry. Importer of the Council of Ministers, on 27 November 2020 Point 2 for Friday, 4 December 2020 12. First vote on the Bill amending and supplementing the Value Added Tax Act. Importers - Menda Stoyanova and a group of MPs, 27 November 2020 Point 3 for Friday, 4 December 2020 13. Bill for ratification of the Credit Line Agreement between the Republic of Bulgaria as creditor and the Single Resolution Board as borrower. Importer of the Council of Ministers on 4 November 2020 Point 4 for Friday, 4 December 2020 14. Parliamentary control. Please vote on the proposed agenda. Anna Alexandrova?
ParlaMint-BG_2020-12-02.u16	Yeah.
ParlaMint-BG_2020-12-02.u17	Vladimir Toshev?
ParlaMint-BG_2020-12-02.u18	Yeah.
ParlaMint-BG_2020-12-02.u19	Georgi Dinev?
ParlaMint-BG_2020-12-02.u20	Yeah.
ParlaMint-BG_2020-12-02.u21	Georgi Kolev?
ParlaMint-BG_2020-12-02.u22	Yeah.
ParlaMint-BG_2020-12-02.u23	Desislava Kostadinova?
ParlaMint-BG_2020-12-02.u24	Yeah.
ParlaMint-BG_2020-12-02.u25	Konstantin Popov?
ParlaMint-BG_2020-12-02.u26	Yeah.
ParlaMint-BG_2020-12-02.u27	Plamen Nunev?
ParlaMint-BG_2020-12-02.u28	Yeah.
ParlaMint-BG_2020-12-02.u29	Slavko Atanasov?
ParlaMint-BG_2020-12-02.u30	Yeah.
ParlaMint-BG_2020-12-02.u31	Thanks, guys. Eight MPs who voted remotely. They voted 119 MPs in the hall and 8 remotes. Vote 127 MPs: 120 against 5, abstention 2. The motion is accepted. Honourable colleagues, a proposal from the parliamentary group of BSP for Bulgaria is made: "On the basis of art. 113 - - I assume that there is a technical error because they have not indicated where to be as a item on the agenda. In order to carry out the hearing, it must be specified exactly which point to be in the Programme. I will allow for a vote on the point: on the basis of art. 53, para. 5 of the Rules on Organization and Activity of the National Assembly I suggest to be included as a point in the Work Programme hearing the Prime Minister of the Republic of Bulgaria Boyko Borisov on the basis of art. 113 of the Rules on Organization and Activity of the National Assembly on 27 November 2020 in the National Assembly contradicting its information from members of the Council of Ministers on the danger of a major water crisis in Bulgaria. Importer "Kornelia Nino', 27 November 2020 Colleagues have two minutes to present, Mr. Genov.
ParlaMint-BG_2020-12-02.u32	Madam President, honourable Members! What happened within three working days from Friday to Tuesday around the threat of a water crisis in Burgas and the region turned out to be a true political and management guideville. It would be funny if it was not such a serious and even critical occasion, and this is the risk of serious flooding crises in whole regions of the country in the case of Burgas. Minister Emil Dimitrov made confessions to parliament on Friday for the management chaos, for a critical lack of coordination between ministries and even within a ministry. First of all, what an outrage and appearances the water system has in its possession, dams, irrigation infrastructure, access and use of drinking water tanks, intentional refusal of investment, even refusal of access to documentation. Of course, for us at BSP, that's not news. It was no accident at the beginning of the year that our serious vote of mistrust for the water crisis was also taken. We deeply and sincerely sympathize with the Minister of Ecology mostly that he is a minister in this government, wherever you want to work, there are plenty of people who are in your way. Something similar, by the way, one coalition partner of the ruling GERB said. Can you imagine how much Minister Dimitrov has gotten on his mind, who in a complete lack of communication and interaction in this government urgently asked parliament for help!? He was angry, helpless, he didn't hide his outrage. No one imagined that through what we heard and the request from us the Prime Minister would come to explain. As usual in such cases, the ministers themselves were sent to justify themselves, but with their express appearance something even more unpleasant happened.
ParlaMint-BG_2020-12-02.u33	The weather, Mr. Genov.
ParlaMint-BG_2020-12-02.u34	There was no rebuttal with facts. There were no arguments, there were only serious charges against the same minister. Our question and amazement is how suddenly on Friday there was a water crisis, and how...
ParlaMint-BG_2020-12-02.u35	The weather, Mr. Genov.
ParlaMint-BG_2020-12-02.u36	I'm finishing up.
ParlaMint-BG_2020-12-02.u37	Finish up, yeah.
ParlaMint-BG_2020-12-02.u38	...in a few hours it turns out that there will be water in Burgas for 50 years. Thank you.
ParlaMint-BG_2020-12-02.u39	Thank you, dear Mr. Genov. Procedure Mr. Ivanov.
ParlaMint-BG_2020-12-02.u40	Thank you, Madam President. Ladies and gentlemen, before the upcoming vote, I am doing a roll call procedure. Thank you.
ParlaMint-BG_2020-12-02.u41	Thank you, dear Mr. Ivanov. Adlen Shukri Shevked is absent. Albena Vladimirova Naydenova- here Alexander Dimitrov Pawnov- here Alexander Ivanov Matsurev- here Alexander Koychev Ivanov- here Aleksandar Mairov Siddi-here Alexander Nikolaev Sabanov- here Alexander Petrov Alexandrov- here Alexander Rumenov Nenkov- here Aleksandar Tihomirov Simov- here Altimir Emilov Adamov- here Anastas Marinov Popdimitrov- here Angel Iliev Isaev- here Andrian Ivanov Raykov-- here. Anna Vasileva Alexandrova (through the Internet) video conference platform) - here Anna Nikolaeva Slavova- here Anton Konstantinov Kutev- absent Asya Atanasova Peeva- here Atanas Ivanov Tashkov- here Atanas Petrov Kostadinov- absent Ahmed Recepov Ahmedov is absent. Bogdan Emilov Botsev- absent Boris Vangelov Borisov- here Boris Petkov Kirchev- absent Boris Yankov Yachev- here Borislav Ivanov Borisov- here Boryana Lyubenova Georgieva- here Bürhan Ilyazov Abase - absent Valentin Alexiev Nikolov- here Valentin Georgiev Lambev- here Valentin Ivanov Radev- here Valentin Kirilov Kasabov- absent Valentin Mirchov Milushev- here Valentina Alexandrova Naydenova- here Valeri Mirchev Zablyanov- absent Valeri Simeonov Simeonov- here Vasil Milanov Antonov- here Vasil Tsvetkov- here Eyebrows Letif Rashidov - here Velislava Ivanova Krasteva- absent Venka Kostadinova Stoyanova- here Vesela Nikolaeva Lecheva- absent Veselin Naydenov Mareshki - absent Veska Marinova Nencheva- absent Violeta Ruseva Jeleva- here Vladimir Slavchev Valev- here Vladimir Tsvetanov Toshev(through the Internet) video conference platform)- here Vladislav Toshkov Nikolov- here Galya Eneva Zaharieva- here Galya Stoyanova Zhelyazkova - here Georgi Georgiev Mihailov- absent Georgi Georgiev Stoilov- here Georgi Dimitrov Andreev- here Georgi Evdokiev Markov- absent Georgi Zaprev Dinev (through the Internet) video conference platform) - here Georgi Yordanov Yordanov- here Georgi Kolev Kolev (through the Internet) video conference platform)- here Georgi Nikolov Vergiev- here Georgi Strahilov Svilenski- here Georgi Tenev Stankov- here Georgi Chenkov Turnovaliski- absent Georgi Yanchev Gokov- absent Gergana Zhelyazkova Stefanova- here Daniel Petkov Yordanov- here Daniela Anastasova Daritkova-Prodanova- here Daniela Vladimirova Saveklieva- here Daniela Dimitrova Maleshkova- here Daniela Dobreva Dimitrova- here Danka Evstatieva Zidarova-Lurtova- here Dean Stoyanov Stanchev- here Delyan Slavchev Peevski- absent Desislaw Petrov Taskov- here Desislaw Slavov Chukolov- absent Desislava Angelova Todorova- here Desislava Valcheva Atanasova- here Desislava Yordanova Kostadinova-Gusheva (through an internet platform) video conference connection)- here Jevdet Ibryam Chakarov is absent. Jayhan Hasanov Ibryamov is absent Dilyan Stanimirov Dimitrov- here Dimitar Boychev Petrov- here Dimitar Borisov Glauchev- here Dimitar Velichkov Georgiev- here Dimitar Ivanov Avramov- absent Dimitar Ivanov Gechev- here Dimitar Ivanov Danchev- absent Dimitar Krumov Alexandrov- here Dimitar Nikolov Lazarov- here Dimitar Stoyanov Stoyanov- here Dobrin Nenov Danev- absent Donka Dimova Simeonova- here Dora Ilieva Yankova- here Dora Stoyanova Hristova- absent Dragomir Velkov Stoynev- here Evgeni Genchev Budinov- here Evgenia Biserova Alexieva- here Evgenia Danielova Angelova- here Evdokia Slavchova Asenova- here Elena Vladimirova Angelina- here Elena Stefanova Pesheva - absent Elhan Mehmedov Kulkov- absent Emil Marinov Hristov- here Emil Seraphimov Tonchev- here Emilia Veselinova Staneva-Milkova- here Erjan Sebytin Ebatin is absent. Errol Osman Mehmet-- absent. Zhelyo Ivanov Boychev- here Brought to you by Vassilev Iankov- here Ivan Valentinov Ivanov- here Ivan Dimov Ivanov- absent Ivan Ivaylov Chenchev- absent Ivan Nikolov Mihovski- here Ivan Stefanov Valkov- here Ivan Todorov Ibrishimov- absent Ivelina Veselinova Vasileva- here Ivo Angelov Hristov- absent Iglika Ivanova-Subeva- here Ilian Angelov Timchev- here Imren Ismetova Mehmedova- absent Irena Metodieva Dimova- here Irena Todorova Anastasova- here Honest Vasilev Veselinov- here Ihsan Halil Hakke is absent Yordan Apostolov - here Yordan Iliev Yordanov- here Yordan Kirilov Tsonev- absent Kalin Dimitrov Vassilev- here Kalin Lubenov Velev- here Kalin Nikolov Popovski- here Kiril Boyanov Kalfin here Claudia Georgieva Grigorova-Gancheva- here Kolyo Yordanov Milev- here Konstantin Veselinov Popov (through the Internet) video conference platform)- here Cornelia Petrova Ninova - absent Krasen Georgiev Krastev- here Krasimir Georgiev Tzipov- here Krasimir Iliev Bogdanov- here Krasimir Lubomirov Velchev- here Krasimir Mitkov Subev- here Krasimir Hristov Jankov- here Christian Ivanov Vigenin- here Cristina Maximova Sidorova- absent Krum Kostadinov Zarkov- absent Krastina Nikolova Takova- missing Lalo Georgiev Kirilov- here Lilyana Drumeva Radeva- here Lachezar Bogomilov Ivanov- here Lyubomir Boykov Bonev- here Manoil Minchev Manev- here Manol Trifonov Genov here Margarita Nikolaeva Nikolova- here Maria Yordanova Ilieva- here Maria Yordanova Tsvetkova- here Maria Shtereva Belova- here Martin Stefanov Obreshkov- here Menda Kirilova Stoyanova- here Milen Vassilev Mihov- here Milena Tsvetanova Damyanova- here Milko Nedyalkov Nedyalkov- absent Mitko Kostadinov Polychronov- here Mikhail Ivaylov Hristov- absent Mladen Nikolov Shishkov (through the Internet) video conference platform)- here Mustafa Sally Karadaye- absent Nadia Spasova Klisurska-Zekova- here Nelly Ruskova Petrova- here Nigyar Sahlim Jaffer is absent Nikola Iliev Dinkov- absent Nikolay Asenov Tishev- absent Nikolay Veselinov Alexandrov- absent Nikolay Georgiev Ivanov- here Nikolay Dimitrov Penev- here Nikolay Ivanov Tsonkov- absent Nikolay Krastev Boshkov- absent Nikolay Tsvetanov Sirakov- here Nikolina Panayotova Angelkova- here Nona Krasteva Yotova- here Pavel Alexeyev Hristov- here Pavel Dimitrov Shopov- absent Petar Georgiev Kanev- here Peter Hristov Petrov- here Plamen Dulchev Nunev (through the Internet) video conference platform)- here Plamen Ivanov Manushev- here Plamen Tachev Petrov- here Plamen Trifonov Hristov- here Polina Alexandrova Shishkova- here Colleagues, I will only read Mr. Slavcho Atanasov because he is the only one left unmarked. Slavcho Stoev Atanasov (through the Internet) video conference platform)- here We've got a meeting to go on. I put to the vote the hearing of the Prime Minister of the Republic of Bulgaria Boyko Borisov on the basis of art. 113 of the Rules on Organization and Activity of the National Assembly on the issue in the National Assembly of 27 November 2020 contradicting its information from the members of the Council of Ministers on the danger of a major water crisis. Importer "Cornelia Nino" and group of MPs. Mrs. Alexandrova?
ParlaMint-BG_2020-12-02.u42	That's against it.
ParlaMint-BG_2020-12-02.u43	Mr. Toshev?
ParlaMint-BG_2020-12-02.u44	That's against it.
ParlaMint-BG_2020-12-02.u45	Mr. Dinev?
ParlaMint-BG_2020-12-02.u46	That's against it.
ParlaMint-BG_2020-12-02.u47	Mr. Kolev? Mr. Kolev, I don't see him. Mrs. Kostadinova?
ParlaMint-BG_2020-12-02.u48	That's against it.
ParlaMint-BG_2020-12-02.u49	Konstantin Popov?
ParlaMint-BG_2020-12-02.u50	That's against it.
ParlaMint-BG_2020-12-02.u51	Mr. Nunev?
ParlaMint-BG_2020-12-02.u52	That's against it.
ParlaMint-BG_2020-12-02.u53	Mr. Atanasov?
ParlaMint-BG_2020-12-02.u54	That's against it.
ParlaMint-BG_2020-12-02.u55	Thank you. Seven MPs voted remotely. Vote 159 MPs in the House plus 7 remote.. become 166: 57 against 88 plus 7 remote.95, abstaining 14. The offer is not accepted. Revoting? Here you go, Mr. Genov.
ParlaMint-BG_2020-12-02.u56	Madam President, a re-voting procedure because there are colleagues who could not vote.
ParlaMint-BG_2020-12-02.u57	Please, re-vote procedure. Mrs. Alexandrova, re-vote procedure?
ParlaMint-BG_2020-12-02.u58	That's against it.
ParlaMint-BG_2020-12-02.u59	Mr. Toshev?
ParlaMint-BG_2020-12-02.u60	Against.
ParlaMint-BG_2020-12-02.u61	Mr. Dinev?
ParlaMint-BG_2020-12-02.u62	That's against it.
ParlaMint-BG_2020-12-02.u63	Mr. Kolev?
ParlaMint-BG_2020-12-02.u64	That's against it.
ParlaMint-BG_2020-12-02.u65	Mrs. Kostadinova?
ParlaMint-BG_2020-12-02.u66	That's against it.
ParlaMint-BG_2020-12-02.u67	Mr. Popov?
ParlaMint-BG_2020-12-02.u68	That's against it.
ParlaMint-BG_2020-12-02.u69	Mr. Nunev?
ParlaMint-BG_2020-12-02.u70	That's against it.
ParlaMint-BG_2020-12-02.u71	Mr. Atanasov?
ParlaMint-BG_2020-12-02.u72	(OP, via Internet platform for video conference) : Cons.
ParlaMint-BG_2020-12-02.u73	Thank you. Vote in the House 152 MPs plus 8 remote votes 160 total: 55 against 87 plus 8 remotely 95, abstention 10. The offer is not accepted. Draft and draft resolutions from 26 November 2020 to 1 December 2020 shall: Bill amending and supplementing the Value Added Tax Act. The importer is Menda Stoyanova and a group of MPs. The Committee on Budget and Finance is the lead. It has been allocated to the Committee on European Affairs and Control of European Funds and the Committee on Health. A bill to supplement the Law on Medicinal Products in Human Medicine. The importer is Valeri Simeonov and a group of MPs. It's been assigned to the Health Committee. Bill amending and supplementing the Law on the Film Industry. Importer is the Council of Ministers. Distributed to the Committee on Culture and Media and to the Committee on Budget and Finance. Draft Law on the ratification of the Agreement between the Republic of Bulgaria and the Kingdom of the Netherlands on the avoidance of double taxation on income taxes and the prevention of diversion and circumvention of taxation. Importer is the Council of Ministers. The Committee on Budget and Finance and the Committee on Foreign Policy is the lead. A bill for truffles. Aleksandar Sabanov and a group of MPs are importing. It is allocated to the Committee on Agriculture and Food as the lead, the Committee on Environment and Water, the Committee on Regional Policy, Public Works and Local Self-government. Draft Law on the ratification of the Charter of the Nuclear Energy Agency of the Organisation for Economic Cooperation and Development. Importer is the Council of Ministers. The Committee on Energy is the lead. It is allocated to the Committee on Economic Policy and Tourism, the Committee on Budget and Finance and the Committee on Foreign Policy. Report of the Bulgarian National Bank for January June 2020. Importer is the Bulgarian National Bank. It is allocated to the Committee on Budget and Finance. Report on the implementation of the privatisation and post-privatization control process during the period 1 January 30 June 2020. Import is the Supervisory Board of the Agency for Public Enterprises and Control. It is allocated to the Committee on Economic Policy and Tourism. Messages: Deputy Prime Minister for Public Order and Security and Minister of Defence of the Republic of Bulgaria in implementation of art. 18 of the Law on the passage through and residence in the territory of the Republic of Bulgaria of Allied and Foreign Armed Forces informs the National Assembly that by its order he has authorised the passage through the airspace of the Republic of Bulgaria of the non-military nature of an airplane with its crew of the members of the Air Force of Ukraine. The permit is valid for passing through the airspace of the Republic of Bulgaria on a flight on the route. "Girgael. Ukraine, without landing on the Bulgarian territory, between 9 and 12 December 2020 including, for the purpose of taking Ukrainian citizens from Algeria to Ukraine. The order issued is within the competence of the Minister of Defence, concerning the assessment of the military parameters of the country's transition to defence. On the issues concerning export control and compliance with international plantation regimes mandatory for the Republic of Bulgaria, the permission to fly over the country's airspace should be granted to the State concerned after a positive opinion from the competent authorities in these areas, the Ministry of Economy and the Ministry of Foreign Affairs. The notification was received on 25 November 2020, inc. No 003ör09-99, and was granted to the Defence Committee. The National Assembly received a Report of the Chairman of the Governing Council of the Bank Deposit Guarantee Fund on the performance of its functions under the Bankruptcy Act for the period 22 October 2020. "21 November 2020" and Protocol No 36 of a meeting of the Governing Council of the Bank Deposit Guarantee Fund on 23 November 2020, at which the Report is reviewed and discussed. By letter of the President of the National Assembly, the report and the Protocol were sent to the Budget and Finance Committee. The materials are available to the MPs in the Library of the National Assembly. And the last message: The National Statistical Institute has received information on: - Price indexes of producer on the domestic and international market in industry, October 2020; - Business Conjuncture in November 2020 The materials are available to the MPs in the Library of the National Assembly. Moving on to the first item of today's agenda: THE SECOND VOICE OF THE LAW FOR CHANGE AND COMPLIANCE OF THE LAW ON PEOPLE WITH CONVERSIONS. Here you are, Mr. Ademov, to introduce us to the Report.
ParlaMint-BG_2020-12-02.u74	Thank you, Madam President. I am making a procedural proposal in the Chamber to allow the Deputy Minister of Labour and Social Policy Adriana Stoimenova and Lubomira Arshinkova from the Ministry of Labour and Social Policy.
ParlaMint-BG_2020-12-02.u75	Thank you, Mr. Ademov. Please vote on the procedure. Mr. Popov?
ParlaMint-BG_2020-12-02.u76	Yeah.
ParlaMint-BG_2020-12-02.u77	Mr. Dinev?
ParlaMint-BG_2020-12-02.u78	Yeah.
ParlaMint-BG_2020-12-02.u79	Mr. Nunev?
ParlaMint-BG_2020-12-02.u80	Yeah.
ParlaMint-BG_2020-12-02.u81	Mr. Toshev, what's your clearance procedure?
ParlaMint-BG_2020-12-02.u82	Yeah.
ParlaMint-BG_2020-12-02.u83	Mrs. Alexandrova?
ParlaMint-BG_2020-12-02.u84	Yeah. They voted 134 MPs in the hall plus 5 remote.. became 139: for 128 plus 5 remote.. 133, not against, abstention 6. The motion is accepted. Please invite the guests to the hall. Here you go, Mr. Ademov.
ParlaMint-BG_2020-12-02.u85	Report on the Draft Law on Amendment and Supplement to the Law on Persons with Disabilities, No 002-01-67, submitted by the Council of Ministers on 10 November 2020, adopted in the first vote on 18 November 2020. The Act for amendment and supplement of the Law for the People with Disabilities (prom., SG No. ...).................................................... The Commission supports the text of the importer on the name of the Law. The Commission shall support the text of the importer for § 1. The Commission shall support the text of the importer for § 2.
ParlaMint-BG_2020-12-02.u86	Statements on these two paragraphs? I can't see. I shall put the text of the importer to the vote on the name of the Law, paragraphs 1 and 2. Mrs. Alexandrova?
ParlaMint-BG_2020-12-02.u87	Yeah.
ParlaMint-BG_2020-12-02.u88	Mr. Nunev?
ParlaMint-BG_2020-12-02.u89	Yeah.
ParlaMint-BG_2020-12-02.u90	Mr. Popov?
ParlaMint-BG_2020-12-02.u91	Yeah.
ParlaMint-BG_2020-12-02.u92	And Mr. Dinev?
ParlaMint-BG_2020-12-02.u93	Yeah.
ParlaMint-BG_2020-12-02.u94	Mr. Toshev?
ParlaMint-BG_2020-12-02.u95	Yeah.
ParlaMint-BG_2020-12-02.u96	Thank you. They voted 135 MPs in the House plus 5 remotely voted 140: for 104 plus 5 remote turn 109, against no, abstention 31. The motion is accepted. Here you go, Mr. Ademov.
ParlaMint-BG_2020-12-02.u97	According to § 3 there is a proposal from the MPs Milko Nedyalkov, Nadia Klisurska, Violeta Zheleva, Georgi Gokov, Vessela Lecheva and Anton Kutev: supposed. The Commission does not support the proposal. The Commission shall, in principle, support the text of the importer and propose the following version of § 3: .................................................. In Article 4 (1) (b), point (c) is replaced by the following: 26 the following amendments and additions are made: 1. Alinea One is canceled. 2. The creation of para. 6: In the event of a change of circumstances on the basis of which support has been provided under art. 25, para. 2, The Director of the Social Assistance Directorate is preparing a new individual assessment of the needs.
ParlaMint-BG_2020-12-02.u98	Statements? Here you are, Mrs. Jeleva, for a statement.
ParlaMint-BG_2020-12-02.u99	Madam President, honourable Members! The importers shall offer in § 3 art. 26, para. 1 to be repealed and I want to read what is involved in this paragraph: "The conclusions and directions set out in an evaluation under art. 20 are mandatory for all bodies and organisations responsible for the realization of the rights of people with disabilities. We propose that this article not be cancelled and rejected because several times, speaking on this subject of the rights of people with disabilities, we have said that at the heart of this article, and what we all want is to have equal and equal access to public, political, social life like all of us. This will contribute if we approach them through the individual assessment made in art. 20. At the moment, we can really agree that the procedure is sometimes complicated for people with disabilities, for their families and for the administration, because there are a lot of files that need to be dealt with. This also contributes to the condition of a new assessment of all needs when applying for financial support. Yes, it is somewhat so, but we cannot avoid the fact that, in fact, the idea and philosophy of the Law was such that everyone would receive an individual assessment according to the needs of the individual, his functional difficulties and the need for support. What is proposed is to drop this assessment and to be only for providing financial support for housing, for a motor vehicle and, in fact, financial support for other hypotheses to be dropped. The assessment under the Law on Persons with Disabilities is a right and basic level of every person who needs support. We believe that there is no need in the proposed paragraph to drop this, because, as we have said in the previous paragraph, financial support for granting aids, facilities and facilities to be granted by the Drug Executive Agency, they will be granted from there and we agree for them that the assessment of financial support may need to be dropped. However, first of all, we must defend what is in the philosophy of the Law, the Convention on the Rights of Persons with Disabilities of the United Nations, providing support to people with disabilities according to their needs, which is regulated and in the main objective of the Disabilities Act, to guarantee the rights of people with disabilities in such a way as to ensure respect for human rights, for their dignity and equal treatment in social, social and political life. Thank you.
ParlaMint-BG_2020-12-02.u100	Thank you, dear Mrs. Jeleva. Are there any lines? I can't see. Any other speeches, colleagues? I can't see. I'm closing the debate. Let's move on to the vote. First, I will put to the vote the unsupported proposal of the MP Milko Nedyalkov and a group of MPs. Please, voting mode. Mrs. Alexandrova?
ParlaMint-BG_2020-12-02.u101	That's against it.
ParlaMint-BG_2020-12-02.u102	Mr. Toshev?
ParlaMint-BG_2020-12-02.u103	That's against it.
ParlaMint-BG_2020-12-02.u104	Mr. Dinev?
ParlaMint-BG_2020-12-02.u105	That's against it.
ParlaMint-BG_2020-12-02.u106	Mr. Kolev, I don't see him. Mrs. Kostadinova?
ParlaMint-BG_2020-12-02.u107	That's against it.
ParlaMint-BG_2020-12-02.u108	Mr. Popov?
ParlaMint-BG_2020-12-02.u109	That's against it.
ParlaMint-BG_2020-12-02.u110	Mr. Nunev?
ParlaMint-BG_2020-12-02.u111	That's against it.
ParlaMint-BG_2020-12-02.u112	Thank you. They voted 120 MPs in the House and 6 remote " 126": for 34, against 63 in the House plus 6 remote "69" became the total result that abstentioned 23. The offer is not accepted. I shall put to the vote the version of § 3 of the Commission Report. Mrs. Alexandrova?
ParlaMint-BG_2020-12-02.u113	Yeah.
ParlaMint-BG_2020-12-02.u114	Mr. Toshev?
ParlaMint-BG_2020-12-02.u115	Yeah. Mrs. Kostadinova?
ParlaMint-BG_2020-12-02.u116	Yeah.
ParlaMint-BG_2020-12-02.u117	Mr. Dinev?
ParlaMint-BG_2020-12-02.u118	Yeah.
ParlaMint-BG_2020-12-02.u119	Mr. Popov?
ParlaMint-BG_2020-12-02.u120	Yeah.
ParlaMint-BG_2020-12-02.u121	Mr. Nunev?
ParlaMint-BG_2020-12-02.u122	Yeah.
ParlaMint-BG_2020-12-02.u123	Thank you. 6 remotely voted MPs. They voted 108 MPs in the House plus 6 remote.. becomes 114: for 80 in the Chamber plus 6 remote.. 86, against 27, abstention 1. The motion is accepted.
ParlaMint-BG_2020-12-02.u124	The Commission shall, in principle, support the text of the importer and propose the following version of § 4: ............................................ In Article 4 (1) (b), point (c) is replaced by the following: 38 the following additions 1. In para. 3 in the text before t. 1 after the words "al." In the case of a calendar year, the calendar year concerned shall be added to the calendar year in question. 2. They're creating an al. 7 and 8: In the case of undertakings undertaking undertakings under para. (7), the obligation under para. 1 shall occur in the year following the year of their entry. (8) The specific factors in the working environment under para. 3, p. 1 shall be established according to the number of employees who: 1. work under the conditions of first or second categories of work; 2. operate under the conditions of established reduced working hours or are entitled to additional paid annual leave under art. 156, para. 1, t. 1 of the Labour Code. The Commission proposes to create a new § 5: .................................................................................. In Article 4 (1) (b), point (c) is replaced by the following: 51 after the word "damages" shall be commaed and added with mental disorders and/or intellectual difficulties. Paragraph 5 by importer. The Commission shall, in principle, support the text of the importer and propose the following version of § 5, which shall become § 6: ........................................................... In Article 4 (1) (b), point (c) is replaced by the following: 52 Anywhere after the word "damaged" is a comma and is added with mental disorders and/or intellectual difficulties. The Commission shall support the text of the importer for § 6, which shall become § 7. The Commission shall support the text of the importer for § 7, which shall become § 8.
ParlaMint-BG_2020-12-02.u125	Thank you. Statements, coworkers? I can't see. I shall put to the vote the version of § 4; the creation of a new § 5; the version of § 5, which shall become § 6 of the Commission Report; and the text of the importer for paragraphs 6 and 7, which shall become 7 and 8 respectively. Mrs. Alexandrova?
ParlaMint-BG_2020-12-02.u126	Yeah.
ParlaMint-BG_2020-12-02.u127	Mr. Toshev?
ParlaMint-BG_2020-12-02.u128	Yeah.
ParlaMint-BG_2020-12-02.u129	Mr. Dinev?
ParlaMint-BG_2020-12-02.u130	Yeah. Mrs. Kostadinova?
ParlaMint-BG_2020-12-02.u131	Yeah.
ParlaMint-BG_2020-12-02.u132	Mr. Popov?
ParlaMint-BG_2020-12-02.u133	Yeah.
ParlaMint-BG_2020-12-02.u134	Mr. Nunev?
ParlaMint-BG_2020-12-02.u135	Yeah.
