ParlaMint-BG_2020-12-18.u1	Good afternoon, fellow Members. Please, registration mode. Mr. Kirchev?
ParlaMint-BG_2020-12-18.u12	Yeah.
ParlaMint-BG_2020-12-18.u13	Mr. Atanasov?
ParlaMint-BG_2020-12-18.u14	Yeah. Thank you.
ParlaMint-BG_2020-12-18.u15	I can't vote for half an hour! [[Don't worry about it. Calm down!]]
ParlaMint-BG_2020-12-18.u16	They voted 121 in the hall and 3 remotes became 124. There are 97 of them, against 5 abstentions, in Hall 94, plus 3 remotes. The motion is accepted. Please help Mr. Tachev to be able to vote. I'll read you a message. On 17 December 2020, the Council adopted Regulation (EU, Euratom) No 966/2012 of the European Parliament and of the Council [2] appointing the members and alternate members of the Committee of the Regions for the financial year 2013 (OJ L 298, 26.10.2012, p. 1). 2 of the National Assembly Decision of 13 December 2019 adopted in connection with the debates on the inquiry by the MPs Cornelia Ninova and a group of MPs, by the Minister of Regional Development and Public Works Petya Avramova received information as at December 2020 on the progress of the implementation of the Action Plan for the implementation of the measures of the Strategy for Development and Management of Water and Sewerage for the period 2014 - 2023. The material was sent to the MPs at their e-mail addresses and is available at the Library of the National Assembly. Moving on to point one: FIRST VOICE OF THE LAWPROECTION FOR COMPLIANCE OF THE PUNCHED-PROCESUAL CODEX. The report will introduce us to Mrs. Alexandrova. Here you are, Mrs. Alexandrova.
ParlaMint-BG_2020-12-18.u17	Madam President, ladies and gentlemen of the House! ♪ I can't believe for the first vote on the Draft Law supplementing the Code of Criminal Procedure, No 054-01-110, submitted by Krasimir Georgiev Tsipov and a group of MPs on 3 December 2020. At its meeting held on 16 December 2020, the Committee on Legal Affairs discussed a Draft Law supplementing the Code of Criminal Procedure, No 054-01-110, submitted by Krasimir Georgiev Tsipov and a group of MPs on 3 December 2020. The meeting was attended by the Ministry of Justice: Mr. Evgeni Stoyanov. Deputy Minister; and by the Prosecutor's Office of the Republic of Bulgaria: Mrs. Krasimira Filipova Deputy of the Prosecutor General. On behalf of the importers, the bill was presented by Mrs. Dessislava Atanasova, who pointed out that it aims to create a new figure of investigating prosecutor to investigate the actions of the Prosecutor General, and that prosecutor should have the status of acting prosecutor with the full extent of powers under Bulgarian law, similar to the European Delegated Prosecutors under Council Regulation (EU) 2017/1939 of 12 October 2017, to establish enhanced cooperation for the establishment of the European Prosecutor's Office. This prosecutor is scheduled to have a 7-year term, to be nominated by no less than six members of the Prosecutor's College of the Supreme Judicial Council and to be elected by the Plenum of the Supreme Judicial Council by a simple majority. It has been noted that the presence of a prosecutor engaged only in investigations and investigations against the Attorney General will ensure his direct referral by competent authorities or citizens without being dependent on the receipt of information from the prosecutors or investigating authorities in force. Mrs. Atanasova pointed out that the requirements for this prosecutor are to have at least 12 years of internship, to have high professional and moral qualities, to have a positive complex assessment of the last testimonial and in the last 5 years, not to be imposed on one of the four toughest indictments. With the appointed seven-year term of office of the prosecutor for the investigation of the Prosecutor General, his work in the mandates of various chief prosecutors would be guaranteed, leading to the impossibility of potential influence in view of his future situation in the prosecution system. Candidates are scheduled to rise from at least six members of the Prosecutor's College within 7 days of the opening of the procedure, with the Plenum of the Supreme Judicial Council setting the date of the interview, which is public and intended for non-governmental organisations to be able to deliver opinions. It was pointed out that the selection of the first prosecutor investigating the Prosecutor General was intended to start one month after the adoption of the changes in the Code of Criminal Procedure and the Law on the Judicial Authority, until then candidates will be put forward, and after two more months the Supreme Judicial Council should make the choice. Ms. Atanasova added that the reason for the early release of the prosecutor, who will investigate the Prosecutor General, is established by the Plenum of the Supreme Judicial Council, such as disciplinary proceedings against the Prosecutor investigating the Chief, will take place in front of the Plenum of the Council. There are two types of punishments envisaged for the claim and dismissal as well as for the members of the Supreme Judicial Council. It is envisaged that the prosecutor, who will investigate the Attorney General, may appear only before the Specialized Criminal Court, the Appeals Specialized Criminal Court and the Supreme Court of Cassation. Ms. Atanasova noted that with the changes in the Code of Criminal Procedure, the new prosecutor is excluded from the internal institutional control in the prosecution regarding the decrees and refusals to initiate pre-trial proceedings and is not subject to supervision and methodological guidance by the Prosecutor General. Accordingly, it is excluded from the application of the similar provisions of the Law on the Judiciary, which govern the hierarchy in the prosecution and the institutional control. Ms. Atanasova stressed that the amendments to the Code of Criminal Procedure were provoked by the Report of the European Commission on the Rule of Law from all recommendations and opinions of the Venice Commission, from the cases against Bulgaria in the European Court of Human Rights and last but not least are consistent with the expectations of the Bulgarian society for active and efficient judicial reform. On behalf of the Prosecutor's Office of the Republic of Bulgaria Mrs. Krasimira Filipova expressed her opinion that the proposed changes are not necessary because according to the current legislation every prosecutor has the opportunity to conduct an investigation against the Prosecutor General. The Bill received a positive opinion from the Ministry of Justice. The discussion was attended by MPs Philip Popov, Todor Baychev, Yavor Notev, Christian Mitev, Krum Zarkov and Krasimir Tsipov. The MPs from the parliamentary group of BSP for Bulgaria and Mr. Notev expressed their negative opinion on the bill, noting that the proposed provisions are impractical, insufficiently effective, with their adoption would duplicate the functions of the investigation and would not achieve the desired result. Members of parliament Hristian Mitev and Krasimir Tzipov said they would support the bill, as the debate on this issue has been taking place for several years and it meets the expectations of society and European partners. As a result of the discussion held, the Committee on Legal Affairs with 12 votes for the Code of Criminal Procedure, No 054-01-110, submitted by Krasimir Georgiev Tzipov and a group of Members of the National Assembly on 3 December 2020, submitted by Krassimir Georgiev.
ParlaMint-BG_2020-12-18.u18	Mr. Tsipov, please come in.
ParlaMint-BG_2020-12-18.u19	Thank you, Madam President. Dear Madam President, honourable Members! I will not dwell in detail on the motives that we have prepared with fellow importers in relation to this bill. I'll try to do a flashback. The theme of the chief prosecutor's accountability is ensuring independence of investigation in cases where he may commit a crime is debated in the public domain over the past few years. At the end of last year, the Council of Ministers prepared a Draft Law, which envisaged the creation of such a figure to guarantee the independence of an investigation against the Attorney General, in case he committed a crime, with the Bill envisioning the Supreme Judicial Council, the Prosecutor's College to elect the Chief Inspector of the Supreme Cassation Prosecutor's Office. The proposal could also be made by no less than three members of the Prosecutor's College... [[Loud noise.]]
ParlaMint-BG_2020-12-18.u20	Mr. Tzipov, please hold. Guys, it's too loud in the hall! Anyone who wants to talk, please leave the room! Here you go, Mr. Tzipov.
ParlaMint-BG_2020-12-18.u21	...and be elected by a qualified majority of the prosecutor's college. This bill, honourable Members of Parliament, was sent for a preliminary opinion by the Venice Commission, which gave its opinion and developed in detail the thesis that a more flexible approach to the interpretation of the so-called prosecutorial monopoly on the investigation must be found. In line with this opinion of the Venice Commission, honourable Members, and with the first report adopted by the European Commission this year on the rule of law in the Member States of the European Union, we importers in interaction, of course, with the Ministry of Justice, have prepared this bill, which is presented today to your attention. We firmly believe that such a figure should be created to ensure the independence of the investigation against the Prosecutor General in the event that he commits a crime, but we find it necessary to change both the procedure for the selection of this figure and the importers of the relevant proposal and the body that will actually carry out this procedure and will choose a candidate who meets the requirements set out in the Draft. Dear Members of Parliament, taking into account precisely the opinion of the Venice Commission and the Report of the European Commission on the Rule of Law, we strongly believe that such a procedure should be carried out, and I would like to announce in advance that we intend this bill to become a fact by the end of the term of office of this National Assembly and to launch, of course, the procedure for the selection of such a candidate. I would like to look a little more closely at the need to carry out such a procedure and the possible options that were discussed in the public domain after the adoption of the Council of Ministers' Bill last year. Various options were presented to the attention of the Magistrate community and the Bulgarian society. First of all, it was proposed to discuss the idea that this figure, which will carry out the investigation, should the Prosecutor General carry out an investigation to be either the Director of the National Investigation Service or the Inspector General of the Inspectorate of the Supreme Judicial Council. The following circumstances should be addressed. In choosing the Director of the National Investigation Service, prosecutors also play a crucial role in the prosecutors' college. The latter shall be elected on a proposal from the Prosecutor General or on a proposal from not less than three members of the Prosecutor's College and shall be elected by a majority not less than eight members. With regard to the Inspectorate also in the public domain, as we importers believe that the Chief Inspector cannot be proposed as a candidate, to conduct an investigation against the Prosecutor General, as he does not possess prosecutorial functions under the Constitution and therefore requires a change in the Constitution if such an approach is chosen. Also discussed were possible options for creating an Adhok prosecutor to be approved by the Supreme Judicial Council, including launching the idea of a prosecutor who is at the end of his magistrate's career, or just over the age limit. But we felt as importers that these ideas could not be implemented without amendments to the Constitution, because this would mean giving such functions to persons who are also outside the prosecution system. The only option in this context is the designation of an active prosecutor for an Adhok prosecutor to carry out the relevant investigation. But in the end, honourable Members, the idea of chance in choosing one of these candidates does not fully meet the requirements for ensuring an independent investigation against the Attorney General. In order to ensure such a guarantee, any alert or complaint should be examined in depth and developed depending on the facts established. For this reason, we offer to your attention this bill, which envisages not less than six members of the Prosecutor's College to submit a proposal for the respective candidacy, with the difference with the Bill the Council of Ministers proposed at the end of last year, is that the candidates will be elected by the Plenum of the Supreme Judicial Council with a simple majority of not less than 13 votes from the members of the Plenum of the SJC. [[Noise.]] We believe that it is only in this way that independence can be guaranteed in the investigation of the Prosecutor General, in case he commits a crime such as, of course, the debate that will be held today in plenary, I suppose between the first and second votes and the second vote, will enable us to carefully discuss all the proposals that will take place. [[Noise.]] To conclude, Madam President, I would like to state our firmness as importers that we will do what is necessary and possible to adopt these changes, because we will thus respond both to public expectations and to the expectations of our European partners. Thank you.
ParlaMint-BG_2020-12-18.u22	Thank you, dear Mr. Tzipov. Colleagues, I'm opening the debate. You have the floor for speeches. Here you go, Mr. Popov.
ParlaMint-BG_2020-12-18.u23	Thank you.
ParlaMint-BG_2020-12-18.u24	Just a moment, Mr. Popov. Guys, one more time, please be quiet in this room. The noise is very loud, you're even distracting the speaker right now. Here you go, Mr. Popov.
ParlaMint-BG_2020-12-18.u25	Thank you, Madam President. Dear Members of Parliament, we are witnessing another mess of the government after they have turned the theme of the Attorney General into a religious ritual and no longer dare anyone under the fear of forming a crushing public opinion to ask the logical question how can the Prosecutor General influence or violate the internal conviction of prosecutors' acts in the various prosecutions by appointing them, by firing them, by punishing them? This is within the jurisdiction of the Supreme Judicial Council, repealing, giving binding instructions in the exercise of their powers under the PPC for a specific case or their act. The PPC lists nine cases of powers of the Prosecutor General and the Prosecutor General, and they relate to cases outside the criminal trial. What does the Attorney General really do? What puts only the sky above it? This is the Law on the Judiciary and Art. 139. This is the instrument for unconstitutional intervention in the Prosecutor General's trial. Article 139, which was last amended in 2016, reads: "The Chief Prosecutor and his alternates, to whom the relevant powers have been conferred under para. 1 may, in writing, revoke or amend prosecutorial acts unless they have been subject to judicial review. "This is where the dog has actually been buried because of the fact that these procedural powers have been governed by a constitutional law and are absent from the Code of Criminal Procedure, there is also no order of appeal by the prosecutor whose act has been amended or revoked or of persons with legal interest therein. This text enables the Prosecutor General and his alternates to effectively influence, modify and revoke acts of prosecutors in specific cases contrary to their internal conviction. The process of limiting prosecutors' rights in violation of their constitutional functions and directly affecting citizens' rights began in 2006, continued with editorials in 2007 and 2016, as has already become clear. And now, with these crazy texts, everything turns into total chaos so that nothing can actually change. Well, I guess that suits the importers. How else can we explain their actions, which, instead of a solution to the question, suggest another nonsense? And this is done against the backdrop of a constitutional decision, which categorically states that the supervision of legality and the methodological management of the activities of all prosecutors carried out by the Prosecutor General within the meaning of art. 126, para. 2 of the Constitution shall not include cases where a prosecutor conducts an inspection, investigations and other procedural actions on an alert against the Prosecutor General. Why is it that none of you in charge comment on this clear unconstitutional provision of art. 139? Instead, we are offered chimeras in the style of investigating the investigator, sort of repairing the repair. So how long? I am not talking at all about the apparent unconstitutionality of the proposed texts. All of this shows a misunderstanding of the prosecution's functions. It is the figure that must protect the rights of citizens and the state without giving priority to anyone. The prosecutor is not the one who simply dropped some allegations in court without being convinced, and based on the evidence collected in the case, on the defendant's guilt. It thus undermines its constitutional function to protect, apart from the state and the rights of the citizen, against whom there is insufficient evidence to submit an indictment to the court. This is now a mass practice. Who is responsible for this? Who's responsible for bringing down the entire state's repression on one citizen, and then the court finds out he's innocent? Nobody! There are no regress claims against magistrates who have caused damage to citizens who have condemned the state under the State's liability law and the municipalities for damages. If we want to make independent prosecutors not only from the Attorney General, but also from illegal economic interests, the prosecutors are called by virtue of their duties to pursue, we have to lean on four pillars. The first pillar is the acquittal, then is the indictment, conflict of interest and access to justice. Regarding the acquittal. It is incontrovertible evidence that the prosecutor who brought the charge and brought an indictment to the court has violated the rights and legitimate interests of the citizen by failing to fulfil his constitutional obligation: to collect evidence and establish facts and circumstances proving and his innocence; facts, circumstances and evidence established in the court's prosecution and motivating his ruling with an acquittal; acts with an extremely high degree of public danger; a sufficient reason for verification by the Supreme Prosecutor of a criminal offence by him; and in the absence of such an alert to the Supreme Judicial Council for the examination of his professional capacity and the imposition of disciplinary punishment. In terms of incriminating. It's a defense against false accusations. This is the responsibility for allegations we make when it comes to crimes. I am not aware that there are accusations of incrimination in this connection, the accusing of committing a crime, of a tool for solving other, mostly economic disputes between the issuing country and the issuing country, and the prosecutor becomes an instrument in the hands of the issuing person. The subject of the inspection, which lasts for years and ruins his life and business, has no opportunity for protection, has no responsibility for the one who used to say his contacts for the execution of a criminal advocacy. We are witnessing a number of such cases, and the totality of them is the impunity of the complainant and the prosecutor performing the verification. Conflict of interest. For no one is the secret of the family in our justice system. The existence of an undeclared conflict of interest is not sufficient grounds for disciplinary dismissal and the initiation of an investigation. Example: when the lawyer wife appears in cases in the department of the relevant court, where the other spouse is a magistrate, or where in the same judicial area spouses and relatives carry out activities as magistrates, notaries, court performers, Syndicates, expert investigators. Access to justice. Correct the role of the human rights authorities of quasi-deeding agencies. The point of their existence is for citizens to receive justice a function which, unfortunately, society is not convinced that they are performing. Many citizens tolerate the violation of their rights because they have no means to meet the costs of a possible trial. This is particularly visible in both civil and commercial disputes. In force, unfortunately, is the rule that the people have formulated like this: "With stronger not fight, with richer is not judged! " These are the real problems of our justice system, not just another chaos you're serving us with a claim to solve them. The right is a system and the problems in it are solved by systemic action, a policy to overcome them and a reform plan based on the objectives set. Not by poking around where you want to like each other and hiding the lack of vision. Thank you.
ParlaMint-BG_2020-12-18.u26	Thank you, dear Mr. Popov. [[Noise.]] - What's the line? I can't see. Any other speeches? Here you go, Mr. Yankov. Mr. Rashidov, please don't distract Mr. Kanev, Mr. Hristov, they want to follow the debate in my opinion. [[Radio and laughter among the mentioned MPs.]] Here you go.
ParlaMint-BG_2020-12-18.u27	Please, Madam President, more persistently bring order to this House!
ParlaMint-BG_2020-12-18.u28	I'm trying, Mr. Iankov, but I guess it's no good! Here you go.
ParlaMint-BG_2020-12-18.u29	Take your seats, fellow Members. Mr. Rashidov!
ParlaMint-BG_2020-12-18.u30	Don't take my functions, Mr. Yankov! Please come in for a statement.
ParlaMint-BG_2020-12-18.u31	Madam President, ladies and gentlemen of the House! It is proposed by a fellow MP, apparently rushing this proposal, investigating a prosecutor to investigate the actions of the Attorney General. Such a figure so far does not exist. It became clear from the motives that it would clearly have to be reacted to because of the European Commission's report. What exactly is offered? A figure of an investigative prosecutor with a 7-year term issued by not less than six members of the Prosecutor's College of the Supreme Judicial Council. There were quite a few arguments regarding how this would allow this investigative prosecutor to be independent. And the most bizarre thing is that in the motives we read: The presence of a prosecutor engaged only in checks and investigations against the Attorney General will ensure his direct referral by competent authorities or citizens, without the same being dependent on receiving information from the prosecutors or investigating authorities. Until now, the work of the Prosecutor's Office and the investigating authorities has been questioned in so far as the regulation and regulations allow. This was announced by the representatives of the Prosecutor's Office during the discussion in the Commission that each prosecutor has the power to investigate information, criminal data and the Attorney General. Questioning that they will not benefit or will be limited in such an action in the presence of information questioning the work of the entire Prosecutor's Office. This may open up the possibility of a debate whether the Prosecutor's Office should be left in the judiciary, or whether the government should be a function of election by the National Assembly. This, of course, can happen after a broad consensus, a discussion, perhaps by a qualified majority. But this debate is coming up and it is very important. What worries us is the way this investigative prosecutor is proposed to be elected. Between first and second readings, we will make a proposal that is precisely to guarantee independence in nomination, a choice that will guarantee the future work of this figure of the investigating prosecutor. The Law on the Judiciary provides for a procedure for the nomination and election of members of the Prosecutors' College of the Supreme Judicial Council and this is from the General Assembly of Prosecutors, which is the widely representative body of the Prosecutor's Office of the Republic of Bulgaria. The General Assembly of the Prosecutor's Office should broadcast the investigating prosecutor. The nomination and election of European prosecutors was omitted to be from this general meeting and the majority did not support the proposal. But when we are talking about an independent investigative prosecutor, we need to give him the opportunity to have the legitimacy of broad representation as well. This will guarantee his independence. I understand the desire of the ruling majority, including to wave a finger at the Attorney General. This is probably dictated by the upcoming elections. This is probably dictated by the discontent of a large part of the Bulgarian citizens who expressed it through thousands of protests. However, for the way an investigative prosecutor is proposed to be elected, I do not think that it will satisfy either the wishes of those who raised the question of the integrity and uncontrollability of the Attorney General and of the European partners. I call on the MPs to consider, above all, whether they can mislead that they are making some reform of the Prosecutor's Office with the proposal so made. I call on them to seriously consider and support the proposal that will be made: the General Assembly of the Prosecutor's Office to be the body that enables the independence and legitimacy of the future figure of the investigating prosecutor who has the function to investigate the Attorney General. Thank you for your attention.
ParlaMint-BG_2020-12-18.u32	Thank you, Mr. Yankov. - What's the line? I can't see. Any other speeches? Here you go, Mr. Baichev.
