ParlaMint-BG_2020-12-17.u1	Colleagues, please register. Colleagues who are with us in the hall remotely: Mr. Kirchev?
ParlaMint-BG_2020-12-17.u13	Thank you, Mr. Budinov. Adlen Shukri Shevked is absent. Albena Vladimirova Naydenova- here Alexander Dimitrov Pawnov- here Alexander Ivanov Matsurev- here Alexander Koychev Ivanov- here Aleksandar Mairov Siddi-here Alexander Nikolaev Sabanov- absent Alexander Petrov Alexandrov- here Alexander Rumenov Nenkov- here Aleksandar Tihomirov Simov- here Altimir Emilov Adamov- here Anastas Marinov Popdimitrov- absent Angel Iliev Isaev- here Andrian Ivanov Raykov-- here. Anna Vasileva Alexandrova- here Anna Nikolaeva Slavova- absent Anton Konstantinov Kutev- absent Asya Atanasova Peeva- here Atanas Ivanov Tashkov- here Atanas Petrov Kostadinov- here Ahmed Recepov Ahmedov is absent. Bogdan Emilov Botsev- absent Boris Vangelov Borisov- here Boris Petkov Kirchev (through the Internet) video conference platform)- here Boris Yankov Yachev- here Borislav Ivanov Borisov- here Boryana Lyubenova Georgieva- missing Bürhan Ilyazov Abase - absent Valentin Alexiev Nikolov- here Valentin Georgiev Lambev- absent Valentin Ivanov Radev- here Valentin Kirilov Kasabov- absent Valentin Mirchov Milushev- here Valentina Alexandrova Naydenova- here Valeri Mirchev Zablyanov- absent Valeri Simeonov Simeonov- here Vasil Milanov Antonov- here Vasil Tsvetkov- here Eyebrows Letif Rashidov here Velislava Ivanova Krasteva- absent Venka Kostadinova Stoyanova- here Vesela Nikolaeva Lecheva- absent Veselin Naydenov Mareshki - absent Veska Marinova Nencheva- absent Violeta Ruseva Jeleva - absent Vladimir Slavchev Valev- here Vladimir Tsvetanov Toshev- here Vladislav Toshkov Nikolov- here Galya Eneva Zaharieva- here Galya Stoyanova Zhelyazkova - here Georgi Georgiev Mihailov- absent Georgi Georgiev Stoilov- absent Georgi Dimitrov Andreev- here Georgi Evdokiev Markov- absent Georgi Zaprev Dinev- here Georgi Yordanov Yordanov- absent Georgi Kolev Kolev- here Georgi Nikolov Vergiev- absent Georgi Stratilov Svilenski- absent Georgi Tenev Stankov- here Georgi Chenkov Turnovaliski- absent Georgi Yanchev Gokov- here Gergana Zhelyazkova Stefanova- absent Daniel Petkov Yordanov- here Daniela Anastasova Daritkova-Prodanova- here Daniela Vladimirova Saveklieva- here Daniela Dimitrova Maleshkova- here Daniela Dobreva Dimitrova- here Danka Evstatieva Zidarova-Lurtova- here Dean Stoyanov Stanchev- here Delyan Slavchev Peevski- absent Desislaw Petrov Taskov- here Desislaw Slavov Chukolov- absent Desislava Angelova Todorova- here Desislava Valcheva Atanasova- here Desislava Yordanova Kostadinova-Gusheva- here Jevdet Ibryam Chakarov is absent. Jayhan Hasanov Ibryamov is absent Dilyan Stanimirov Dimitrov- here Dimitar Boychev Petrov- here Dimitar Borisov Glauchev- here Dimitar Velichkov Georgiev - absent Dimitar Ivanov Avramov- absent Dimitar Ivanov Gechev- here Dimitar Ivanov Danchev- absent Dimitar Krumov Alexandrov- here Dimitar Nikolov Lazarov- here Dimitar Stoyanov Stoyanov- here Dobrin Nenov Danev- here Donka Dimova Simeonova- absent Dora Ilieva Yankova- absent Dora Stoyanova Hristova- absent Dragomir Velkov Stoynev- absent Evgeni Genchev Budinov- here Evgenia Biserova Alexieva- here Evgenia Danielova Angelova- here Evdokia Slavchova Asenova- here Elena Vladimirova Angelina - absent Elena Stefanova Pesheva - absent Elhan Mehmedov Kulkov- absent Emil Marinov Hristov- here Emil Seraphimov Tonchev- here Emilia Veselinova Staneva-Milkova- here Erjan Sebytin Ebatin is absent. Errol Osman Mehmet-- absent. Zhelyo Ivanov Boychev- absent Brought to you by Vassilev Iankov- here Ivan Valentinov Ivanov- here Ivan Dimov Ivanov- absent Ivan Ivaylov Chenchev- absent Ivan Nikolov Mihovski- here Ivan Stefanov Valkov- here Ivan Todorov Ibrishimov- absent Ivelina Veselinova Vasileva- here Ivo Angelov Hristov- absent Iglika Ivanova-Subeva- here Ilian Angelov Timchev- absent Imren Ismetova Mehmedova- absent Irena Metodieva Dimova- here Irena Todorova Anastasova- absent Honest Vasilev Veselinov- here Ihsan Halil Hakke is absent Yordan Apostolov - here Yordan Iliev Yordanov- here Yordan Kirilov Tsonev- absent Kalin Dimitrov Vassilev- here Kalin Lubenov Velev- here Kalin Nikolov Popovski- here Kiril Boyanov Kalfin here Claudia Georgieva Grigorova-Gancheva- here Kolyo Yordanov Milev- here Konstantin Veselinov Popov- here Cornelia Petrova Ninova - absent Krasen Georgiev Krastev- here Krasimir Georgiev Tzipov- here Krasimir Iliev Bogdanov- here Krasimir Lubomirov Velchev- here Krasimir Mitkov Subev- here Krasimir Hristov Jankov- here Christian Ivanov Vigenin - absent Cristina Maximova Sidorova- absent Krum Kostadinov Zarkov- absent Krastina Nikolova Takova- missing Lalo Georgiev Kirilov- here Lilyana Drumeva Radeva- here Lachezar Bogomilov Ivanov- here Lyubomir Boykov Bonev- absent Manoil Minchev Manev- here Manol Trifonov Genov - absent Margarita Nikolaeva Nikolova- absent Maria Yordanova Ilieva- here Maria Yordanova Tsvetkova- here Maria Shtereva Belova- here Martin Stefanov Obreshkov- absent Menda Kirilova Stoyanova- here Milen Vassilev Mihov- here Milena Tsvetanova Damyanova- here Milko Nedyalkov Nedyalkov- here Mitko Kostadinov Polychronov- here Mikhail Ivaylov Hristov- absent Mladen Nikolov Shishkov- here Mustafa Sally Karadaye- absent Nadia Spasova Klisurska-Zekova - absent Nelly Ruskova Petrova- here Nigyar Sahlim Jaffer is absent Nikola Iliev Dinkov- absent Nikolay Asenov Tishev- absent Nikolay Veselinov Alexandrov- here I see Mrs. Margarita Nikolova is here. Nikolay Georgiev Ivanov- here Nikolay Dimitrov Penev- here Nikolay Ivanov Tsonkov- here Nikolay Krastev Boshkov- here Nikolay Tsvetanov Sirakov- here Nikolina Panayotova Angelkova- here Nona Krasteva Yotova- here Pavel Alexeyev Hristov- here Pavel Dimitrov Shopov- absent Petar Georgiev Kanev- absent Peter Hristov Petrov- here Plamen Dulchev Nunev- here Plamen Ivanov Manushev- here Plamen Tachev Petrov- here Plamen Trifonov Hristov- here Polina Alexandrova Shishkova- absent Polina Tsvetoslavova Tsankova-Hristova- here Radoslav Lubchev Stoychev- absent Radoslava Plamen Chekanska- here Radostin Radoslavov Tanev- here Ralitsa Trilkova Dobreva- here Ramadan Bajram Atali is absent Rosen Zhivkov Ivanov- here Rosen Malinov Malinov-- here. Rumen Vassilev Gechev- absent Rumen Nikolov Georgiev- here Rumen Petrov Genov- here Ruslan Zdravkov Toshev- here Svetla Marinova Bachvarova-Piralkova- missing Svetlana Angelova Naydenova- here Sevim Ismail Ali is absent Sergey Manushov Kichikov- absent Simeon Georgiev Naydenov- here Simeon Hristov Simeonov- absent Slavi Dichev Netzov- here Slavcho Stoev Atanasov (through the Internet) video conference platform)- here Smilyana Nikolova Niva-Krsteva- here Spas Georgiev Gurnevski (through the Internet) video conference platform)- here Save Yanev Panchev- here Stanislav Ivanov Popov- here Stanislav Ivanov Stoyanov- here Stanislav Stoyanov Ivanov- here Stanislav Todorov Stanilov here. Here you go, Mr. Budinov. With us will be Mrs. Silvia Georgieva, who will provide us with a sign translation in the hall. [[(From the parliamentary group of the BSP for Bulgaria..............)..................................................)...........................................)]] Before that, we must vote on a tolerance procedure. Please vote for admission in Mrs Amelia Ghesheva's room. Boris Kirchev?
ParlaMint-BG_2020-12-17.u14	Yeah.
ParlaMint-BG_2020-12-17.u15	You saved Gurnevsky?
ParlaMint-BG_2020-12-17.u16	Yeah.
ParlaMint-BG_2020-12-17.u17	Slavko Atanasov?
ParlaMint-BG_2020-12-17.u18	Yeah.
ParlaMint-BG_2020-12-17.u19	Colleagues who are remote can also express themselves a little more freely, while colleagues in the hall can't. Voters from the House 131 plus 3 MPs from remote control make 134: 125 plus 3 remote control 128, not against, abstention 6. The motion is accepted. Invite Mrs. Gesheva to the hall. In the manner of holding Mrs. Yotova.
ParlaMint-BG_2020-12-17.u20	Madam President, honourable Members! I would like to address you and ask you to explain to my dear colleague Evgeni Budinov exactly where it is located that this is the National Assembly, we are a parliamentary republic. This is an extremely serious place. He can't afford to be here, out of this tribune, which I respect infinitely, to act like he's in some bad theater. It's not a haltura, it's not a place to make fun of ourselves, it's a place that's the last resort in the country, you know, there's an extremely important problem being solved here and it's just unacceptable to act like we're playing some pretty sleazy plays. And our failure, you know very well, we have explained it 100 times, this is a political solution because we do not want to maintain the quorum of a delegated parliament. Thank you. [[Private applause from BSP for Bulgaria.]]
ParlaMint-BG_2020-12-17.u21	Thank you, Mrs. Yotova. Mr. Budinov, we continue with the second reading. [[From the parliamentary group of GERB want the word for procedure in the manner of conduct.]] Here you go, Mr. Rashidov.
ParlaMint-BG_2020-12-17.u22	Dear Madam Chairman, colleagues! It's the way it's supposed to be. To ask you, Madam President, when laws are adopted, which are very important to the fate and life of the people, that parliament not become an arena of personal sympathy and strife. What's wrong with him that cheers Budinov up? That he's an artist. His main role is this. Too bad you and I aren't making a joke, we're not laughing. And to be honest, you suck...
ParlaMint-BG_2020-12-17.u23	No, no, Mr. Rashidov, please.
ParlaMint-BG_2020-12-17.u24	...even for a quorum.
ParlaMint-BG_2020-12-17.u25	Mr. Rashidov, please!
ParlaMint-BG_2020-12-17.u26	So, Mr. Budinov, it's what you read that matters what's in this law, not how you behave. You act the way you think you're doing. Thanks.
ParlaMint-BG_2020-12-17.u27	Thank you, Mr. Rashidov. Mr. Budinov, come in. [[(From the parliamentary group of the BSP for Bulgaria..............)..................................................)...........................................)]] Mr. Popdimitrov, come in.
ParlaMint-BG_2020-12-17.u28	Madam President, honourable Members! I'm taking attitude in the manner of conduct. It was unacceptable to give Mr. Rashidov the opportunity to speak that way. The mood, Mr. Rashidov, is a good thing when it is well-meaning, does not affect the personal dignity of anyone in this room and is correct to his colleagues. What Mr. Budinov has allowed himself to do is a cheap act, I'm sorry, colleague, with a simple... You have allowed by some simple means of self-loathing to make jokes with a parliamentary group and with some colleagues who have exactly the same rights as him. This is not the first time, colleague Budinov, in which you allow yourself tasteless jokes from this tribune. I appeal to your intellect, upbringing and vocational training, to focus and fulfill your commitments to the MP in the way that this is acceptable to everyone. Thank you, Madam President. [[Private applause from BSP for Bulgaria.]]
ParlaMint-BG_2020-12-17.u29	Thank you, Mr. Popdimitrov. Mr. Budinov, come on in, let's continue watching a second reading of a very important Law.
ParlaMint-BG_2020-12-17.u30	Report on the Draft Law amending and supplementing the Law on Radio and Television, No 002-01-62, submitted by the Council of Ministers on 30 October 2020, adopted in the first vote on 26 November 2020. The Law on Radio and Television is being amended and supplemented by the Law on Radio and Television. The Commission supports the text of the importer on the name of the Law. The Commission shall, in principle, support the text of the importer and propose the following version of § 1: ................................................................................... The name of Chapter 1 shall be amended as follows: "Media services and services of video-sharing platforms'. The Commission shall, in principle, support the text of the importer and propose the following version of § 2: ..................................................... In Chapter 1 before Art. 1. 1 is created "Section I General". The Commission shall, in principle, support the text of the importer and propose the following version of § 3: .................................................. Article 1 is amended as follows: Art. 1. This law lays down: 1. media services provided by media service providers under the jurisdiction of the Republic of Bulgaria; 2. services on video-sharing platforms provided by providers of video-sharing platforms under the jurisdiction of the Republic of Bulgaria in so far as they fall within the areas coordinated by Directive 2010/13/EU of the European Parliament and of the Council of 10 March 2010 on the coordination of certain provisions laid down in laws, regulations and administrative acts of the Member States relating to the provision of audiovisual media services (Audio Media Services Directive) (OB, L 95/1 of 15 April 2010) , as amended by Directive (EU) 2018/1808 of the European Parliament and of the Council of 14 November 2018 amending Directive 2010/13/EU on the coordination of certain provisions laid down in laws, regulations and administrative acts of the Member States relating to the provision of audiovisual media services (Audio Media Services Directive), taking into account changing market conditions (OB, L 303/69 of 28 November 2018) , hereinafter referred to as "Directive 2010/13/EU," as amended by Directive (EU) 2018/1808 The Commission shall support the text of the importer for § 4. The Commission shall support the text of the importer for § 5. The Commission shall support the text of the importer for § 6 as in art. 4b, para. 1, t. 3 the word "successful" is replaced by "in conformity" and in para. 5 words everywhere at the level shall be deleted. The Commission shall in principle support the text of the importer and propose the following version of § 7: .................................................... In Chapter 1 of the Annex to Regulation (EU) No 182/2011 of the European Parliament and of the Council of 16 February 2011 laying down the rules and general principles concerning mechanisms for control by Member States of the Commission's The Commission shall support the text of the importer for § 8.
ParlaMint-BG_2020-12-17.u31	Statements? I can't see. I put to the vote: the text of the importer for the name of the Law; the version of § 1, § 2 and § 3 of the Commission Report; the text of the importer for § 4 and § 5; the text of the importer for § 6 with the corresponding changes; the version of § 7 of the Commission Report; and the text of the importer for § 8. Mr. Kirchev?
ParlaMint-BG_2020-12-17.u32	Yeah.
ParlaMint-BG_2020-12-17.u33	Mr. Gurnevsky? We can hear you, but we can't see you, Mr. Gurnevsky.
ParlaMint-BG_2020-12-17.u34	Yeah.
ParlaMint-BG_2020-12-17.u35	Mr. Atanasov? Mr. Atanasov, maybe he'll miss this vote. Vote 141 MPs in the House plus 2 remote.. are 143: for 138 in the House plus 2 remote.. 140, against 1, abstention 2. The motion is accepted. Here you go, Mr. Budinov.
ParlaMint-BG_2020-12-17.u36	Thank you, Madam President. The Commission shall support the text of the importer for § 9, as in art. 5a, para. 8 the word "emergency" is replaced by "immediately" in para. 10 words provided for in this Article shall be replaced by the words referred to in this Article and in art. 5b, para. 9 the words of the Rules shall be deleted. The Commission shall support the text of the importer for § 10. The Commission shall support the text of the importer for § 11. Under § 12, there is a proposal from the National Representative Toma Bikov, made in accordance with Article 12. In addition, the Court of Justice has held that there is no legal basis for the application of Article 107 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union. 5, t. 2 of the Rules of Procedure of the National The Commission supports the proposal. The Commission shall, in principle, support the text of the importer and propose the following version of § 12: ................................................................................... Art. 1 (2) (a) and (b) and (c) 8a "8c: Art. 8a. (1) Media service providers shall ensure that content in their services is gradually made available to people with impaired vision or hearing. The means of achieving accessibility of the content of audiovisual media services include, without limitation, sign translation, subtitles for deaf and hearing impaired people, subtitles with speech and sound description. Radio service providers shall provide in time and in ways specified in the action plans under para. 2, p. 1, via the Internet, mobile applications or other technical means available to them, programmes and programmes accessible to people with impaired vision or hearing. (2) Media service providers shall provide the Electronic Media Board with: 1. Action plans relating to the continuous and gradual increase of the accessibility of the services they provide to disabled persons for a three-year period; 2. Annual reports on the progress made with regard to the accessibility of their services to people with impaired vision or hearing. (3) Media service providers shall ensure that emergency information, including public and natural disaster communications, is made available to the public through audiovisual media services in an accessible manner to disabled persons. Public disclosure of emergency information through audiovisual media services should not be hindered if, in exceptional circumstances, it is impossible to provide information in a manner accessible to disabled persons. (4) Public media service providers shall create and provide news and up-to-date public television broadcasts for distribution in accordance with technological development and economic capacity of providers in such a way as to be accessible to persons with impaired vision or hearing. Public suppliers' action plans are aimed at and sub-titling all language television programmes such as news, up-to-date public broadcasts, films, series and others, gradually covering the relevant non-linear services on request. The specific obligations of BNR and BNT for the accessibility of the content of their services shall be determined by their licences. (5) Media Service Providers with national scope and terrestrial digital broadcasting of television programmes with a polythematic or informational program profile and an average daily audience share of more than 20% and BNT TV programmes must provide in at least one of their broadcasts news in the range of 19,00 to 23,30 h translation into Bulgarian sign language. (6) The Electronic Media Board shall keep on its website up-to-date contact details of an administrative officer appointed by the order of the Chair of the Electronic Media Board, who shall be entrusted with providing information and receiving complaints on accessibility issues. The Council for Electronic Media shall carry out its duties in close cooperation with the organisations of the disabled. (7) The Electronic Media Board shall report to the European Commission on the implementation of accessibility measures for media services for disabled persons. Art. 8b. The Council for Electronic Media may take measures to ensure sufficient visibility of media services of common interest in accordance with objectives of common interest such as media pluralism, freedom of speech and cultural diversity. Art. 8c. (1) Audio-visual media services provided by media service providers shall not be supplemented by third parties with new elements for commercial purposes and shall be modified without the explicit consent of those providers. (2) The Council for Electronic Media shall not apply para. 1 in relation to the protection of the legitimate interests of consumers in accordance with Directive 2010/13/EU, as amended by Directive 2018/1808, taking into account the rights and legitimate interests of media service providers. The Commission shall support the text of the importer for § 13. The Commission supports the text of the importer for § 14, and the word "rules" shall be replaced by "laws" and "laws" shall be replaced by "laws." The Commission shall support the text of the importer for § 15. The Commission shall support the text of the importer for § 16, as in para. 3 words, "In order to implement' shall be replaced by "In relation to the implementation', in para. 4 words The measures taken shall be replaced by the measures under para. In paragraph 3, the following paragraph is added: 5 the words after which the words are inserted shall be replaced by the words shall be replaced by the words shall be replaced by the words shall be replaced by the words shall be replaced by the words shall be replaced by the words shall be replaced by the words shall be replaced by the words shall be replaced by the words shall be replaced by the words shall be replaced by the words shall be replaced by the words shall be replaced by the words shall be replaced by the The Commission shall, in principle, support the text of the importer and propose the following version of § 17: Seventeen. In Article 4 (1) (b), point (c) is replaced by the following: 18, para. 1 after the word
ParlaMint-BG_2020-12-17.u37	Statements? Here you are, Mrs. Yotova, for a statement.
ParlaMint-BG_2020-12-17.u38	Madam President, honourable Members! I would like to say that in this case we can set a good example of good work for the Bulgarian Parliament because, after the Association of People with Disrupted Hearing addressed us and almost all representatives of the different groups in Parliament, there were two proposals. One was done by me on behalf of our group and the other was by Mr. Bikov from the group of GERB. Turns out they were a match, so we teamed up. In this way, we have voted together for these changes, precisely in order to help those people who have an extreme need for gestures. They were worried that after the pandemic situation, this translation might disappear. Thus, an extremely important problem has been solved for them. I am pleased that good examples of Parliament's work can also be pointed out. Thank you.
ParlaMint-BG_2020-12-17.u39	Thank you, Mrs. Yotova. It's good to see you, too. Colleagues, lines, other speeches? Mr. Bikov, come in for a statement.
ParlaMint-BG_2020-12-17.u40	Madam President, honourable Members! First of all, to thank the representatives of the deaf community in Bulgaria, who signaled us something extremely important, which perhaps would not have been heard if it had not been for them. I would like to thank all colleagues from all parliamentary groups, of course, and national televisions, who also committed to providing this translation for over a hundred thousand people in Bulgaria, who would have access to this information and who would finally be included in that wide audience, which is watching the news of the three national television stations. Thank you all again for your support. Thank you.
ParlaMint-BG_2020-12-17.u41	Thank you, dear Mr. Bikov. Let's move on to the vote. I shall put to the vote the text of the importer for § 9 with the corresponding adjustments; the text of the importer for § 10 and § 11; the version of § 12 of the Commission Report; the text of the importer for § 13; the text of the importer for § 14 with the corresponding change of the word; the text of the importer for § 15; the text of the importer for § 16 with the corresponding changes made to the text; and the version of § 17 of the Commission Report. Mr. Kirchev?
ParlaMint-BG_2020-12-17.u42	Yeah.
ParlaMint-BG_2020-12-17.u43	Mr. Gurnevsky?
ParlaMint-BG_2020-12-17.u44	Yeah.
ParlaMint-BG_2020-12-17.u45	Abort the vote and announce the result. They voted 144 MPs from the House plus 2 remotely, became 146: for 146, against and abstention. The motion is accepted. Here you go, Mr. Budinov.
ParlaMint-BG_2020-12-17.u46	According to § 18 there is a proposal from the MPs Vejdi Rashidov, Asya Peeva, Radoslava Chekanska and Emilia Milkova. The Commission supports the proposal. The Commission shall, in principle, support the text of the importer and propose the following version of § 18: .............................................................................. Article 19 is amended as follows: Art. 19. (1) The providers of audiovisual media services on request shall provide at least 30 percent of the share of European works in their catalogues, as well as a visible presence of these works. (2) The visible presence shall include an accessible and attractive presentation of European works, for example through a special section for European works to be accessible from the home page of the service, through the possibility of searching for European works from the search tool offered as part of the service, by using European works in service campaigns or by a certain minimum percentage of European works advertised in the catalogue of that service, for example through banners or similar means. (3) The obligations under para. 1 shall not apply to suppliers which are micro-enterprises within the meaning of Commission Recommendation of 6 May 2003 on the definition of micro-enterprises, small and medium-sized enterprises (listed under number C(2003) 1422) (OB, L 124/36 of 20 May 2003). , as with regard to providers with an audience share less than 1 per cent of the total audience of all audiovisual media services on request offered on the territory of the Republic of Bulgaria. (4) The obligation under para. 1 shall also not apply where it would not be applicable in practice or unjustified due to the nature or the subject of audiovisual media services. (5) The Electronic Media Board shall prepare annual reports on European works in services on request and publish them as part of its annual report. The Council for Electronic Media shall report to the European Commission on the implementation of the measures under para. 1. (6) The proportion of European works in media services catalogues on request shall be calculated on an average annual basis and based on the number of titles in the service catalogue. (7) The Council for Electronic Media shall adopt rules for determining the relative weight of individual types of titles in the catalogues of media services on request when calculating the share of European works therein, as well as for measuring the auditor's share of audiovisual media services on request, in accordance with the Communication from the European Commission (OJ C(2020) 4291 of 2.07.2020.) (see Annex I to Regulation (EC) No 1107/2009). The Commission shall support the text of the importer for § 19. The Commission shall support the text of the importer for § 20, and the words 19c Section III is created and in art. 19e, para. 11 the words................................................................................................... The Commission shall support the text of the importer for § 21 as in para. 3 in the sentence first, the word "Search" shall be replaced by "Search for electronic media" and the second sentence shall be deleted. The Commission shall support the text of the importer for § 22. The Commission proposes to create a new § 23: ..................................................... In Article 4 (1) (b), point (c) is replaced by the following: 33, p. 2 words as well as the criteria under art. 32, para. 5 and the agreement under art. 32, para. The following entries are inserted in the Annex to Implementing Regulation (EU) No 540/2011 of the European Parliament and of the Council concerning the list of The Commission shall support the text of the importer for § 23, which shall become § 24, and the words shall be created art. Art. 33a (a) shall be replaced by "In chapter two, Section III shall be created. 33 a.m. The Commission supports the text of the importer for § 24, which becomes § 25, and the words "Create" shall be replaced by "In Chapter Two, Section V" shall be created. The Commission shall support the text of the importer for § 25, which shall become § 26. The Commission shall support the text of the importer for § 26, which shall become § 27. The Commission shall support the text of the importer for § 27, which shall become § 28. The Commission shall support the text of the importer for § 28, which shall become § 29. The Commission shall support the text of the importer for § 29, which shall become § 30. The Commission shall support the text of the importer for § 30, which shall become § 31. The Commission shall support the text of the importer for § 31, which shall become § 32. The Commission shall support the text of the importer for § 32, which shall become § 33. The Commission shall support the text of the importer for § 33, which shall become § 34. The Commission shall, in principle, support the text of the importer and propose the following version of § 34, which shall become § 35: .............................................................................. In Chapter 4 of the Annex to Regulation (EU) No 182/2011 of the European Parliament and of the Council of 16 February 2011 laying down the rules and general principles concerning mechanisms for control by Member States of the Commission's
ParlaMint-BG_2020-12-17.u47	Statements? Here you are, Mrs. Tsvetkova. [[Reply from MP Maria Tsvetkova.]] You have a procedure? Here you go.
ParlaMint-BG_2020-12-17.u48	Madam President, ladies and gentlemen of the House! Madam President, I object to the fact that I made a proposal during the meeting of the Committee on Culture and Media on the basis of art. In addition, the Court of Justice has held that there is no legal basis for the application of Article 107 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union. 5, t. 2 of the Rules of Procedure of the National Assembly is not reflected in the Commission Report. We of the United Patriarchs will submit this proposal as a bill. While the current amendments to the Law on Radio and Television aim to bring it into line with the Eurodirection, with the proposal we propose from "United patriots" we aim to bring it into line with the Constitution of the Republic of Bulgaria, because at the moment the Law on Radio and Television is not in line with the Constitution of the Republic of Bulgaria, namely we insist that all programs and broadcasts on radio and television are in the official language, which, according to the Constitution of the Republic of Bulgaria, is the Bulgarian language. In this regard, we propose that programmes or separate programmes be dropped in another language when they are intended for Bulgarian citizens for whom the Bulgarian language is not native. At the moment, under Article 3 (1) (b) of the Treaty on the Functioning of the European Union, Member States may decide to apply the provisions of the Treaty on the Functioning of the European Union on the Functioning of the European Union ("the Treaty') on the Functioning of the European Union ("the Treaty on the Functioning of the European Union'), on the European Union ("the Treaty') and on the Functioning of the European Union ("the
ParlaMint-BG_2020-12-17.u49	We're not there yet, Mrs. Tsvetkova.
ParlaMint-BG_2020-12-17.u50	...to create such shows. We are witnessing the wicked practice, Madam President, introduced by the legal changes of 2000, to broadcast news in Turkish on the air of the Bulgarian National Television. [[Loud noise.]] We believe that this is an unnecessary privilege of a certain ethnicity, which is contrary to the constitutional obligations and rights of the Bulgarian citizens to study and use the Bulgarian language. [[Loud noise.]]
ParlaMint-BG_2020-12-17.u51	Mrs. Tsvetkova, the procedure does not include this. That's a statement, basically. I understand what your procedure is.
ParlaMint-BG_2020-12-17.u52	Let me finish.
ParlaMint-BG_2020-12-17.u53	Do what you have to do...
ParlaMint-BG_2020-12-17.u54	The division of ethnic principle should not be made in Bulgaria.
ParlaMint-BG_2020-12-17.u55	...which you have to do to enter the Bill.
ParlaMint-BG_2020-12-17.u56	In this regard, such tolerance of individual populations is unacceptable. Otherwise...
ParlaMint-BG_2020-12-17.u57	The weather, Mrs. Tsvetkova.
ParlaMint-BG_2020-12-17.u58	...should have news in Armenian... [[The President turns off the microphones. The orator continues to speak with microphones off.]]
ParlaMint-BG_2020-12-17.u59	Thank you. The weather, Mrs. Tsvetkova! Colleagues, I shall put to the vote: the version of § 18; the text of the importer for § 19; the text of the importer for § 20 with the corresponding amendments; the text of the importer for § 21 with the corresponding amendments to the texts; the text of the importer for § 22; the creation of a new § 23; the text of the importer for § 23, which becomes § 24 with the corresponding replacement of the terms within the text; the text of the importer for § 24 with the replaced words; the text of the importer for § 25, which becomes § 26; the text of the importer for paragraphs 26 and 27, which respectively become paragraphs 27 and 28; the text of the importer for paragraphs 28, 29, 30, 31, 31, 32, 33 and 34; and the version of Paragraph 34 which becomes § 35 of the Commission Report. Mr. Kirchev?
ParlaMint-BG_2020-12-17.u60	Yeah.
ParlaMint-BG_2020-12-17.u61	Mr. Gurnevsky?
ParlaMint-BG_2020-12-17.u62	Yeah.
ParlaMint-BG_2020-12-17.u63	Thank you. They voted 137 MPs in the House plus 2 remotes " 139" total: 131 in the Chamber and 2 remotes "133," against none, abstentioned 6. The proposals have been accepted.
