ParlaMint-CZ_2018-06-27-ps2017-016-02-001-999.u1	United debate on paragraphs 13, 14, 15 / House prints 35, 111, 117/
ParlaMint-CZ_2018-06-27-ps2017-016-02-001-999.u12	Thank you. This dealt with all the factual points. Next, Mrs Valachová is enrolled in the debate. Let me read your apologies. Mr Radim Fiala apologizes for today's work-related meeting, and he apologizes to . Andrej Babiš from 12.30 pm until the end of the day for business reasons. Please, you have the floor.
ParlaMint-CZ_2018-06-27-ps2017-016-02-001-999.u13	Mr President, ladies and gentlemen, ladies and gentlemen, please allow me, as the last one, to sum up my position as Chair of the Permanent Commission on the Constitution, even though, of course, some of the conclusions of the Permanent Commission on the Constitution have been raised here from the mouths of honourable colleagues who are members of the Permanent Commission or who are in charge of the Permanent Commission. The first thing I want to emphasise is that the issue of the national general referendum as the Constitutional Institute, with which our Constitution counts and which is still incomplete from the point of view of how citizens can and could comment on issues of public interest, has been addressed at this moment only as an institution of the House of Permanent Commission for the Constitution, several times during the last six months, as well as under the auspices of this Permanent Commission and the Committee on Petitions, which was the task of this Chamber of Deputies to discuss all the subjects, as has already been the result of the three proposals submitted to amend the general referendum. This has, of course, been the case, and I must therefore say that, on the basis of these, in particular, expert discussions, on the basis of the Permanent Commission for the Constitution, the opinion actually prevailed that the principles of the national general referendum should come first of all from the proposal for social democracy and should be supplemented by amendments in the next legislative process in the Chamber of Deputies in terms of the discussion of experts, professional representatives, but also representatives of political parties, I note all political parties in the Chamber of Deputies. This is, in my opinion, the most practical solution, and I, from the point of view of the recommendation on how to proceed with the general national referendum at the House, would like this very proposal for social democracy to be the starting point. The reason is simple. It is a constitutional law, it is a complex material and the proposal presented by social democracy is based on the previous legislative process of the government's proposal of the previous government and therefore has the appropriate quality, including that it has been discussed by the Legislative Council of the Government, i.e. it is a text with which we can, from a professional constitutional point of view, count effectively and safely. I would also like to stress that, let us say, the amendments to this proposal will indeed be necessary so as to find the 120 voting majority here in the Chamber of Deputies, but not only in the Chamber of Deputies. Here I would like to point out, and it has not yet been said here, although perhaps it is not good news for the House, that the Senate across the political entities represented there at this time and in this composition is not willing to support even the most conservative current proposal for social democracy. That's the reality. And we will need both chambers to enforce the national general referendum. I say this not because of malice, but because we are very sensible about whether we really want to introduce a general referendum, not just talk about it for another term of office, and whether we want to introduce a referendum that will not crash because the Constitution does not count on it, the current constitutional representative democracy in our country. I would like to say that the changes that can be expected during the procedure in the Chamber of Deputies, so that we can achieve at least 120 heads of support for such a proposal by a general referendum in this term, really envisage changes, say softening in the initiation of a referendum, as has already been said here from the mouth of Professor Válková in the sense of the binding nature of the referendum, and other amendments, particularly inspired by some of the subjects of the pirate party, can be expected, as they have been said at the hearing of the Permanent Commission for the Constitution. As regards the initiation of the referendum, there I think that this is probably the most important report for citizens, that everything is led to the fact that the number of signatures for the initiation of the referendum should be between 300 and 500,000 signatures. I note, as chair of the Permanent Commission on the Constitution, that I was inspired here or convinced by the arguments of the pirate party, which argued with a number of signatures on various petitions of very fundamental social importance in recent years, or, say, tens of years that citizens were able to collect to initiate a solution through a petition of a problem. I think that this is a practical matter and it is a matter which, in my opinion, should also be inspiring for other colleagues and colleagues in the discussion of a general referendum. To conclude, then, my fellow Members, I would like to ask you, in the following vote, to be aware that we are voting on the Constitutional Act, to implement the Constitution of the Czech Republic, to proceed with the utmost responsibility and also to consider it, and maybe now it will come and maybe some colleagues from other political parties will give a little nudge and will not like it, but I think it must be heard, let us also consider whether, as the House at this time and on the first day of the appointment of ministers of the new government, we want to send a signal to the public that we are releasing proposals for the possibility of voting on the Czech Republic's withdrawal from the European Union, which allow the vote on the state budget or on taxes, and whether we really want to start communication with the public. Thank you for your attention.
ParlaMint-CZ_2018-06-27-ps2017-016-02-001-999.u14	Thank you. At this point, I am not registering another application for a merged general debate. I ask if anyone else is interested in speaking on these points in the merged debate. If this is not the case, I am done with the debate. I draw attention to the fact that the general debate has been merged, but we will vote on all points and on all proposals separately. First, I'll call... [[Gong.]] Will I ask if there is any interest in the final words of the appellant or rapporteur? There is interest, so please the rapporteur.
ParlaMint-CZ_2018-06-27-ps2017-016-02-001-999.u15	Thank you for the floor. I very much welcome the speech by my colleague Valachová, who mentioned that the ČSSD is open to negotiations on reducing the parameters of their proposal in order to reduce the number of signatures needed to call for a referendum and to reduce the quorum for its binding nature. This is absolutely essential for us to support this at third reading. At the same time, we think that the ČSSD proposal is the best in terms of potential risks of referendum, and that is why we support the proposal from the ČSSD workshop as a medium for a comprehensive change in the second reading on the basis of an agreement in the Chamber of Deputies, and that is the proposal that we will support as a pirate club. We think that the whole discussion would be greatly simplified if there was only one carrier. That's why we support printing 111. Prints 35 and 117 are recommended to be rejected.
ParlaMint-CZ_2018-06-27-ps2017-016-02-001-999.u16	Thank you. There's interest in the plaintiff. Please. [[Members are coming into the hall.]] I got a little early for the colleagues who came. But I think it's a good thing. Please, you have the floor.
ParlaMint-CZ_2018-06-27-ps2017-016-02-001-999.u17	Thank you, Mr President. Ladies and gentlemen, I would ask you very much to support our proposal for a referendum law and send it to second reading. Thank you.
ParlaMint-CZ_2018-06-27-ps2017-016-02-001-999.u18	Thank you. I'm still the rapporteur.
ParlaMint-CZ_2018-06-27-ps2017-016-02-001-999.u19	I still wanted to propose a procedure to vote on press 111 first, so that the will of this House is actually voted on to deal with the law at second reading, because if it fails, we are willing to move some of the proposal forward to second reading, of course. And we do not want our position to come to the conclusion that nothing will be accepted.
ParlaMint-CZ_2018-06-27-ps2017-016-02-001-999.u20	I think we should follow the order of the points that this is not a procedure that we should vote on somehow. With priority rights, Mr. Chairman Kováčik.
ParlaMint-CZ_2018-06-27-ps2017-016-02-001-999.u21	Thank you for the floor. Mr President, Mrs and gentlemen, I believe that we are at this point in the debate on the subject of referendums, a general referendum, a point that is the programme pillar of at least three political parties, the parliamentary clubs in this Chamber of Deputies, perhaps even more, which is, say, the Constitution promised but not yet respected, and I therefore believe that we should not change the procedure. As far as the KSČM club is concerned, we will support all three proposals to go to second reading. And as part of the second reading, we need to sit down as promoters over all the proposals, and without assuming which of them I like or dislike, because everyone has their advantages and weaknesses, so that we can agree, for example, in the form of a comprehensive proposal on some basic solution, which we will then move forward, so that all three parties that bear the proposals can sit down together at the same table and have a substantive discussion. Therefore, I say, the KSČM club will not support rejection or return, nor any other obstacle to any of the three proposals. Thank you for your attention.
ParlaMint-CZ_2018-06-27-ps2017-016-02-001-999.u22	Thank you. So we're going to follow the order of the points. I cannot consider any of the proposals to be a favorite. The House will decide by vote. We will therefore vote on paragraph 13 first.
