ParlaMint-ES_2020-02-04-CD200204.u1	Good afternoon, ladies and gentlemen. The meeting was called to order.
ParlaMint-ES_2020-02-04-CD200204.u47	Thank you very much, Mr. Salvador. For the Confederal Parliamentary Group of the United Nations, Mrs Pita Cárdenes has the floor.
ParlaMint-ES_2020-02-04-CD200204.u48	Good afternoon. Madam President, ladies and gentlemen, the first thing I will do from this rostrum with regard to the actual pension revaluation decree is to thank the thousands and thousands of pensioners who have made it possible, through a powerful and democratic tool such as peaceful mobilization, that today somehow sees the light of this decree. This is just as fair as our pensions are revalued according to the CPI. Therefore, the first thing is to truly thank all pensioners. [[Applauds]] It says our Constitution - some fellow who has preceded me in the use of the word has mentioned it - in its article 50, that the public authorities will 'guarantee' through adequate pensions and regularly updated the sufficiency - I repeat, the sufficiency - of the citizens during the elderly. It is clear that this decree is intended to be a first step in that direction, in that constitutional guarantee which establishes - I insist - article 50. That is why we hope that those parties that are self-proclaimed constitutionalists will vote in favour, because if they do not, they will once again show that they use the Constitution as a make-up for their policy of chrispation and permanent conflict, trying to somehow cover up the unacceptable of their pension proposals. Because you made your intentions about our public pensions very clear in your 2013 counter-work reform: reduction of the average pension, rate of revaluation that was just the opposite, depreciation of pensions and, of course, the diabolical rate of sustainability. Because they like to pervert language: sustainability. The sustainability factor you speak of in your law is nothing but an algorithm by which to higher life expectancy, less pension pay. It is perverse and also useless for the purpose conceived, for what you had conceived, because, in fact, it does not serve to reduce spending. You always have an impact on the issue of pensions in expenditure. For you sustainability is spending; for you pensions are spending and pensioners are spending, but for us not. For us the public pension system is one of the vault keys of the social state, which is referred to in article 1, which yesterday mentioned and emphasized the head of state and which says that Spain is a social, democratic and legal state. We have worked, we work and we will work to ensure the necessary resources, that is, sufficient for pension pay to enable the development of a decent life for our pensioners. That is our work, our commitment and our task. Our grandparents and grandmothers have been during this past crisis - hard, very hard - caring, helping, weaving nets for their children, grandchildren and grandchildren, many of whom had suffered unemployment, unemployment, eviction and even the misfortune of being poor workers, another of the scourges generated by their labor policies. Thus, this royal decree, the first of this Government, serves to do justice, but it must also serve, from our point of view, to guarantee to our young people, to those new generations of our country, that this Government of progress will work for the maintenance of the system of public pensions, solidarity and intergenerational, and will do so with seriousness and rigour. It should also serve for citizens to see that policies can be made by listening, listening to our people, in front of those who only generate uncertainty, confrontation and social alarm. Of course, there is much to be done, comrades and companions, very much; this is just a first step. The road is going to be hard, it is and it will be, but we are going to go through it working responsibly, as we have always done, but without forgetting that much harder - believe it - has been the lives of millions of pensioners and, despite that, they have had the courage to remind us that we cannot move forward in a democratic society by leaving millions of people behind. We've been talking about the Toledo Pact. We will sit on the Toledo Pact and put out the hours and the work to be done, but with light and tachographs. Sessions ended without any control, so that as in any other Commission citizens can see what they do and say their public representatives and what they defend. [[applause]] In any case - I conclude, President - this first step of the Government marks - it is to thank, Minister - a hopeful path to regain politics as a collective value, on the path of restoring that citizen confidence in politics, and it also shows us that the policy put at the service of our people can be worth more than it costs. Thank you very much. [[Applauds]]
ParlaMint-ES_2020-02-04-CD200204.u49	Thank you, Mrs. Pita. Mr González Coello of Portugal has the floor for the VOX Parliamentary Group. [[Applauds]]
ParlaMint-ES_2020-02-04-CD200204.u50	Thank you very much, Madam President. Ladies and gentlemen, I mean in this first speech that it is an honour to represent millions of Spaniards in this House, the seat of the sovereignty of the Spanish people. I ask God to help us all. We all want our elders to have greater purchasing power, especially when their work has already honoured the pensions of their parents and grandparents, but the question is not whether they are in favour of or against raising pensions; the problem is the very viability of the public pension system, of which little has been said today; there is currently a gap between EUR 18 billion and EUR 20 billion, a deficit that will increase over the years; it is a system of distribution that has become a Ponzi scheme because of the incompetence and cowardice of the various governments when introducing the reforms necessary for their permanence. Right now, it is virtually impossible to raise pensions without increasing national debt, without increasing the public deficit and without introducing measures to solve the demographic problem. Setting up an increase in pensions without including it in a framework of reforms that make the social and financial viability of the system possible is an exercise of irresponsibility. In addition, in the short and medium term this decision is particularly serious, when social security has been casting a deficit of 1.5% for years and when the deficit for the public administration as a whole will be around 2.5% of GDP this year, exceeding the targets agreed with the European Commission. In the long term, the government initiative is framed by the continuing flight forward of a whole series of governments that, regardless of their political colour, have ignored the increase in the dependency rate resulting from the ageing population and the retirement of baby boomers, who will continue to push upwards pension spending over the coming decades. You have made your own the old Keynes adage: 'In the long run we will all be dead'. And I allow myself to add: That this problem comes another and solves it. You have replaced a system, questionable or not, with absolute discretion. Its counter-reform has been accompanied by two new elements that raise structural expenditure: the removal of the sustainability factor - which was similar to that of Italy, Denmark, Finland or Portugal, to quote some countries - and the elimination of the pension revaluation rate. The thesis that the financing of the pension system will result from an improvement in employment rates is an exercise of voluntarism. When are they going to present to this House a plan to know how they are going to finance pensions and how they are going to ensure the financial sustainability of the system? At least make an effort of imagination. In January this year, the International Monetary Fund has warned that the system is at risk. Without concrete preventive measures, expenditure on pensions will increase between 3 and 4 % in 2050 - it is data from the Banco de España -, something absolutely unsustainable. Can pensions be raised? Yes, but this must go hand in hand with a reduction in political spending, a birth plan and, of course, a general state budget. Therefore, even though we want to raise pensions more than anyone else, VOX cannot support something that is contrary to the general interest of the Spaniards and the next generations. In addition, it is a royal decree that once again covers and imposes an ideological agenda. They are obsessed with the imposition of a new society. The current Government's migration policies promote mass immigration as a recipe against the demographic winter and as a solution to our country's economic problem. It should be remembered that, while the institutions offer this measure, more than three million Spaniards have no work. All parties on the parliamentary spectrum, except VOX, have created a myth: that immigrants arriving in Spain, legally or illegally, come to save our pensions. This is another false argument that is not supported when the numbers are checked. Despite this certainty, Minister Escrivá is a strong defender of mass immigration, whose aim is to alleviate - according to his thesis - the shortage of labour with foreign workers. He's been making sure Spain needs ten million immigrants for years. Immigrants arrive in Spain as if it were a land of promise because of the governments that promise them what they cannot fulfill. In this context, the attribution to immigration of a saving role in the pension system is extremely frivolous. This implies a clear lack of awareness of the economic and integration problems, already present in many parts of Spain and Europe, which mass immigration would entail. Therefore, we will present in the legislature initiatives to order immigration based on the real needs of our economy and prioritizing that which shares our roots, our customs and our values, mainly the Hispanic American. In this royal decree we are presented with another hammer of gender ideology. The differences in the remuneration of the pensions presented to us in cases of domestic violence are once again seeking to divide the Spaniards. We cannot accept that equality occurs only when there is gender-based violence from man to woman and is discriminated against when it is from woman to man, from woman to woman or from man to man. This equivalence in practice creates a comparative aggravation between orphans. Yes, ladies and gentlemen, between orphans. What is the fault of orphans? We warn you that such measures are contrary to article 14 of the Constitution. In short, if your option is to raise the maximum contribution ceiling, this will lead to an increase in unemployment and lead to an increase in pension expenditure in the future. If they decide to raise social contributions, which are above the EU average, they will increase labour costs, which will negatively affect the competitiveness of the economy and once again the creation of jobs. I'm done. VOX wants to guarantee a model that covers the retirement, that is viable and guarantees the Spaniards a decent pension, but not only to the current generation of retirees or trance to move on to the retirement, but also to our children, our grandchildren and the children of our grandchildren. This is a true intergenerational solidarity. In short, we do not support his proposal for a sense of responsibility, for rejecting the demagogy in which this Government has been established, for taking place outside a budget project and, above all, because it is not accompanied by any measure guaranteeing the financial sustainability of the system. That is why our vote will be abstention. In addition, we will require the Government to stop playing with pensions, to stop turning them into an object of political compromise, and to present an urgent programme in this House to ensure the viability of the system. [[Applauds]]
ParlaMint-ES_2020-02-04-CD200204.u51	Thank you, Mr. González. For the People's Parliamentary Group in Congress, Mr Echaniz Salgado has the floor.
ParlaMint-ES_2020-02-04-CD200204.u52	Thank you very much, Madam President. Minister, we wish you good luck and good luck in the face of the enormous challenges you face on the table: a escalating deficit in social security, a debt of more than EUR 50 billion, the sustainability of the pension system and also the maintenance of the single social security fund. We will have time - do not hesitate - to check your ability and leadership, because believe me, the real opponents will not have them in this House in the area of pensions, will have them within your own government. Not in vain, one of your colleagues in the last legislature, just over a year ago, broke the recommendations of the Toledo Pact and today we have lost more than a year in putting in place new measures to improve our pension system. Ladies and gentlemen, allow me on behalf of the People's Parliamentary Group to explain to this House, and through it to the Spaniards, what this royal decree means in terms of form, substance and content. This royal decree is, ladies and gentlemen, the paradigmatic example of the tricks that Mr Sánchez has made in order to twist the institutions of the State, to alter the procedures, to manipulate the common rules of play, the legal instruments, to falsify the reality and to mislead the Official Gazette of the State; and not to benefit the Spanish citizens, that never, but to exploit sectarianly and electorally in their favor the obligations that our public pension system has with its citizens in this case. Ladies and gentlemen, at the last Council of Ministers of the year Mr Sánchez announced the abolition of the rise in pensions or what is the same, the freezing of pensions, for the second time in his political biography, conditioning this increase to the formation of the Government, that is to say to the formation of 'his' Government, to be exact. That is to say, Mr Sánchez did not have the slightest packaging, the least modest, the least objection to using more than ten million Spanish pensioners as hostages to his partisan interests in contravention of the Toledo Pact, or what is the same, using pensions for political purposes and announcing that pensions would not be raised until there was a government. In other words, until he was appointed President of the Government. His excuse, his pretext is that his Government was in office, but all of Spain knows that its only intention was to also pressure its current partners to close this impossible, heterogeneous, centrifuge and disruptive Government. That excuse would have been easier to believe if, during the time when the Government had been in office since March 2019, it had not passed, in office as well, multiple royal decrees on social Fridays on a purely electoralist basis. For example, in office he was able to extend the paternity permit; in office he was able to reduce the allowance to fifty-two of the elderly unemployed; in office he was able to launch the calamitous compulsory time register for all enterprises; in office he was able to extend the rental contracts; in office he adapted measures to the summer or contingency plan against the Brexit or empowered municipalities and autonomous communities to invest the surplus; also the release of €45 billion to the autonomous communities by tax collection in 2019. But pensions, ladies and gentlemen, no; not that. That wanted to use it as a currency of exchange - of coercion, I would say - to convey pressure to those who wanted to vote for it, and, moreover, not to fulfil now even the commitment to minimum pensions. That is why, ladies and gentlemen, the Spanish know very well that this is a guilt complex, a Freudian problem, a post of conscience left to Pedro Sánchez that morning in May 2010 in which Zapatero proposed, on behalf of the Spanish Socialist Workers Party, to freeze pensions, which meant for the pensioners the greatest loss of purchasing capacity in our entire history, nothing more and nothing less than 2060 million euros, and which meant, because of unemployment and the decrease in contributions, nothing more and nothing less than having to consume the 66 000 euros that had the reserve fund created by the People's Party. Pedro Sánchez enthusiastically pressed that green button, a decision that, like Mr. Iglesias, now surely won't let him sleep at night. Damn button! He did not decide to climb them when he was playing, but when he wanted to use them with political criteria. That's why he used them as bait; that's why today he brings us this initiative, to purge that sin, as a late penance for the day when Pedro Sánchez voted to freeze the pensions. Damn button! Let's see if they forget, let's see if I forget! Damn button! Ladies and gentlemen, the People's Party, even in the midst of an economic crisis, in the midst of a disaster in socialist economic policies, when other things could not be paid, always, absolutely always increased pensions; it always cared for the elderly. It never allowed the loss of purchasing power and, until the end, increased minimums and non-contributory pensions by 3 %, raised the regulatory base for widowhood pensions from 52 % to 56 % in 2018 and from 56 % to 60 % in 2019; 20% nothing more and nothing less than in two years, and the rest 1,6 %. The People's Party, ladies and gentlemen, can proudly say that between 2012 and 2019 our governments made it possible for Spanish pensioners to maintain purchasing power, at a stage that took many things forward. More pensions, higher budgets than ever before, ladies and gentlemen. And we did it with employment, with labour reform, which, after thirty-five years, modernized our labour market, created millions of jobs and brought us closer to a normalized, flexible situation, compatible with the rest of the countries in our environment. Pensions, ladies and gentlemen, are employment. Without employment there are no pensions, no health, no education, no independence or nothing. Without employment there is nothing but injustice and despair for absolutely wrong policies. They want to repeal labour reform, but we already warned them not to. We can improve them among all by debating it in this House, but do not distort it because it will undoubtedly return to unemployment. We will remind you of this every day, Minister. The data is starting to be bad, and today's data is terrible: nothing more and nothing less than 90,000 unemployed and a drop of 243,000 contributors. Ladies and gentlemen, Minister, we will validate this royal decree, but do not forget that in order to guarantee the pension system we need, above all, a responsible government that cares about all Spaniards and looks at the future; not a government that takes away our dream, that uses pensions for political purposes and uses the more than ten million Spanish pensioners as hostages to their party interests. Let's get back to the Toledo Pact. We ask for loyalty with that social and political pact of such significance that, I repeat, members of his Government clumsyly a year ago and blew up the air, because for us, ladies and gentlemen, for the People's Party, the Toledo Pact is a priority. Stop using it as an electoral weapon and get to work now. Look at the deficit, look at the debt of more than EUR 50 billion, because this, ladies and gentlemen, is getting out of hand again. Thank you very much, Madam President.
ParlaMint-ES_2020-02-04-CD200204.u53	Thank you, Mr. Echaniz. Mrs Perea i Conillas has the floor for the Socialist Group.
ParlaMint-ES_2020-02-04-CD200204.u54	Thank you, President. Welcome, Minister; we cannot agree more with your intervention, frankly. I'm glad your ministry is called Inclusion, Social Security and Migration. I think it says everything: inclusion, the improvement of the protective action of Social Security. So there we are. The Socialist Group will support the validation of Decree-Law 1/2020 by constitutional mandate, social justice and the general interest. The first decree-law adopted immediately by the newly formed Government contains a clear and unequivocal message: guaranteeing the purchasing power of pensioners, in accordance with article 50 of the Constitution, which requires duly updated pensions. It has retroactive effects of 1 January 2020, and therefore it is of extraordinary and urgent need for its approval and validation - Mr Barandiaran, the Toledo Pact is not constituted, therefore, it could not be discussed beforehand - and complying strictly with what article 86 says for the purposes of the decree-law; approved, therefore, in time and form to prevent our pensioners from seeing impaired the ability to buy their pensions until the new Law on General Budgets of the State is adopted. Revaluation with the CPI is a guarantee of sufficiency. This guarantee generates confidence in the current pensioners and, in addition, creates confidence in the more than forty-seven million people we live in this country; people to whom we must transmit who have a strong social protection system based on solidarity and which responds to their present and future needs, especially in the future, as has been done throughout our democratic era. These are the firm and solvent steps that a government must take to ensure the positive future of pensioners, and this government is doing so. How does this decree-law guarantee the adequacy of pensions? Firstly, by suspending the increase of 0.25 in the current article 58 of the General Social Security Act; and secondly, by linking the increase of pensions with the forecast of the CPI, by providing for a clause in the event of a deviation from inflation. That is what the minister said. This government is convinced that linking pensions to the CPI is to support the dignity of our elders, it is to give tranquillity to over 11 million people, it is to give confidence and security today and tomorrow. But, above all, to recover the CPI is to give back to the elderly the effort they have made in recent years to help their families when their son or daughter was unemployed, by hoisting his shoulder with his pension and savings. That's the royal decree we have in our hands. Today, experts say that adequate pensions are also an incentive to increase private consumption. Without Revaluation under the CPI, consumption and growth of the economy are burdened. Finally, we must not forget that pensions, together with the municipalities, have ensured social cohesion in our territory. Ladies and gentlemen, the guarantee of pension sufficiency is due to pensioners for social justice and for the general interest of a State which declares itself social. And don't confuse some: being patriotic is not beating one's chest; being patriotic is contributing - as Maria Moliner's dictionary says - with actions like this decree-law, so that a country is more worthy of admiration or esteem. That is what the Socialists want; we want Spain to be a reference to Europe, to the world, with a system of social protection that offers present and future to the people living in it. That is real patriotism, and that is what the socialists understand. This royal decree-law is based on an ideology, indeed, on a progressive ideology, a clear and compelling ideology. Gentlemen of VOX, we come here to do politics to build, not to destroy. This is precisely the objective of the Toledo Pact. If you don't understand, we don't start well. The validation of this decree is the first step, and we have said so; indeed, it does not extend the protective action. We will need a general state budget, but we will also need a clear and strong agreement in the Toledo Pact, an agreement that instils certainty and security and responds to what citizens are waiting for. I have not just understood the matter of careful abstention, I suppose there will be more time to explain it to us, and to Mr Salvador de Esquerra, I will tell you that this government is actually going to adopt an agreement - after the agreement of the Toledo Pact comes to an end - in the sense of reversing, in the sense of repealing the 2013 pension reform that the People's Party approved with the parliamentary roll ignoring the Toledo Pact and the social dialogue; a 2013 reform that meant a reduction of 30% to 40% of pensions in twenty years; a de facto repealed reform - Mr Barandiaran reminded - by the People's Party itself in 2018 in the face of the strong social protest and the majority rejection of parliamentary groups. And, as the minister has said, we will have to continue to make reforms from generosity, with real patriotism, dialogue and agreement, listening and contributing, putting interest - above all others - in people, an effort that will require a shared work in the Toledo Pact, ladies and gentlemen, and that I demand from this rostrum that it be an agreement in capital letters, an agreement that guarantees social sustainability, economics and politics. A pension system is a country asset; it is not one's or the other's, it is everyone's. Because without decent wages, without guaranteed pensions, a country is neither solvent nor socially nor economically. Faced with the fears that Mr Casado is infusing - what a pity he is not here today! - with his sterile announcements of resorting to the courts an alleged freezing of pensions, today there is a progressive coalition government that meets the pensioners and guarantees their pensions. Mr Echaniz, as much as you repeat it, lies are lies, and here I teach you this report that Mrs Báñez had in the drawer when she was a minister and who believes that when the most loss of purchasing power occurred it was with the People's Party. [[shows a report]] I'll pass it on and look at it. [[Applauds]] Because, Mr. Echaniz, Mr. Married - and I'm finishing - infusing fear is a most nightly right technique. I want to think that you don't want that for your People's Party today. In the face of those who impoverished the pensioners - I remind them of the pharmaceutical co-op -; in the face of those who distributed crumbs in the hardest moments of the crisis; in the face of the weakening of the public pension system - the most serious deficit occurs at the time of the Government of the People's Party, 18 billion euros, and an escalated Reserve Fund; there was no Reserve Fund -, in the face of those who generate uncertainty, we say that we have a government with a clear and firm will to guarantee the real CPI, which is committed to the support - I am finishing - and the sustainability of the system and which listens to the demands of the pensioners. [[applause]] Of course, from the motion of censure to today there is only one clear statement: the pensioners of this country are better off with a progressive government, so we call for unanimity; yes, we call for unanimity. I'm done. The Government has this parliamentary group and I would like to think, ladies and gentlemen of the People's Party, that we have its wisdom and sense of state. It would be convenient to reach a good pact in this country. Consensusing a pact will be the best news for Spain, for the Spanish and also for you, right-wing gentlemen.
ParlaMint-ES_2020-02-04-CD200204.u55	Mrs. Perea, you have to finish, please.
ParlaMint-ES_2020-02-04-CD200204.u56	They would give the image of sensitivity and political solvency that they have long lost. Thank you and excuse me, President. [[Applauds]]
ParlaMint-ES_2020-02-04-CD200204.u57	Thank you, Mrs. Perea. Minister for Inclusion, Social Security and Migration.
ParlaMint-ES_2020-02-04-CD200204.u58	Thank you, President. Ladies and gentlemen, first of all I would like to thank the majority of the groups for voting in favour of the validation of this royal decree-law and for the many comments they have made. I've taken a lot of notes. I believe that many issues have been raised, the vast majority of which are for the discussion that begins now, already, and the debate within the Toledo Pact. What we are going to do from the Ministry of Inclusion, Social Security and Migration is to provide the Toledo Pact with information, precise elements that will help to acquit those issues that have been raised today. I just wanted to answer a question about the rise in minimum pensions. Minimum pensions will rise above 0.9, but it is logical to do so in the context of the budgetary process to know exactly what margin there is, how it can be financed and also to agree with all political groups in the process of discussing these budgets. Thank you very much. [[Applauds]]
ParlaMint-ES_2020-02-04-CD200204.u59	Thank you very much, Minister. - REAL DECRETO-LEY 2/2020, OF 21 JANUARY, APPROVING EMERGENCY MEASURES IN THE FIELD OF RETRIBUTIONS IN THE PUBLIC SECTOR. [[File number 130/00003]]
ParlaMint-ES_2020-02-04-CD200204.u60	Validation or repeal of Royal Decree-Law 2/2020 of 21 January, approving urgent measures in the area of remuneration in the public sector. To present the royal decree-law, the Minister of Territorial Policy and Public Service has the floor on behalf of the Government.
ParlaMint-ES_2020-02-04-CD200204.u61	Madam President, ladies and gentlemen, it is an honour for me to be able to address this House for the first time as Minister for Territorial Policy and Public Service. Allow me to say my first words to acknowledge the work they do, my consideration and my respect for what they represent and for the great task they also do to contribute to the progress of this country. This is my initial context before this first appearance. And I do so, ladies and gentlemen, because I ask you on behalf of the Government to validate Royal Decree-Law 2/2020, which was approved, as you know, by the Council of Ministers on 21 January. Ladies and gentlemen, after assuming office on the 13th, one of the first steps taken, following instructions from the President of the Government, has been to reiterate the Executive's commitment to increase the salary of public employees by 2% as soon as possible. Thus, days after the inauguration, this government complied with the agreements of the Public Service Negotiating Bureau while we materialized the second agreement in the improvement of employment and working conditions, signed in 2018 by the previous government of the People's Party and the most representative trade union organizations, that is, Workers' Commissions, UGT and CSIF. Therefore, ladies and gentlemen, this validation is the result of an agreement and what the Government is doing is to comply with that agreement by the way that our legal order establishes today in the validation of this royal decree. Ladies and gentlemen, you are well aware that, as we do not yet have the general state budgets, this increase has been approved by royal decree-law, as the conditions of extraordinary and urgent necessity that our Magna Charter establishes for this increase to be enjoyed with effect from 1 January 2020 are met. This royal decree, moreover, is a fundamental part of continuing the path of recovery of the public service, and this is because the employees and the public employees have shown outstanding commitment to the whole of a society to which they serve and to which they are a fundamental part. They, they, we charge with the education of our daughters and children, the health and well-being of our elders, the safety of our streets; they are the guarantors of equity, solidarity and also the dignity of our society. It is the public administrations at every level - municipal, provincial, autonomous and state - that have the responsibility to ensure the cohesion of our society and especially in times of difficulty. As I said since the day I assumed this responsibility, I am a public employee, I know firsthand the willingness and constant dedication to the service of citizenship. That is why, at this moment, I would like before all of you, ladies and gentlemen, to claim the importance of the public service will of all administrations and their protagonists: public employees. I think it is fair to recognize the role they play in realizing our citizenship rights, especially in the face of the situation experienced years ago where the consequences of the cuts are still well visible in some sectors of our society. It must be said loud and clear, ladies and gentlemen, the workers of the various public administrations in our country have contributed to the support of our society, together with the citizens of this country, and they and they have shown a generosity and a dedication worthy of praise and have also done so under difficult conditions, fighting against unfair stereotypes about the Public Service. As Minister of Public Service, I would like to acknowledge that crucial role that you have played, that you play and that you will play public workers in sustaining a real and effective democracy, as you contribute to guaranteeing our civil, political and social rights. They are the ones who make it possible for fundamental values of our society such as public security, equality, social justice and freedom to crystallize in public policies and services that improve the lives of our people, because, ultimately, the Public Service is made up of men and women in the service of the common good. Ladies and gentlemen, this agreement we are presenting for validation is a recognition of the indispensable work that public employees do and is also a remedy. It is a remedy because since the outbreak of the economic crisis, public employees have seen their working conditions worsen: there have been staff cuts, the replacement rate has been low, and public employees have seen their wages frozen. I therefore announce to you that it is the will of this Government to continue to recover much of the rights lost over these years. That will was enshrined in the Royal Decree-Law of 21 December of last year, with which we also assured the increase in remuneration in view of the impossibility of approving the General Budgets of the State for the year 2019. This ensured to public workers that the maintenance of their purchasing power was possible with an upward revaluation of 0,25 % in relation to the GDP increase estimated at that time. Ladies and gentlemen, we believe that the recovery of the rights of public employees is fair, even more so given that their working conditions have not diminished their dedication to public service, on the contrary. But I also wanted to share with you that for this government it is key to move forward in sustainable economic growth, economic growth - in the words of the president in the investiture speech in this rostrum - that guarantees decent work, stable work and quality work. For this reason, the reason that has led us to comply with this agreement to increase the wages indicated is the same for which we have increased the interprofessional minimum wage. It is a question - I say it well - of dignified work, because we believe that fair wages for employment benefit society as a whole and also the economy as a whole. This Government considers public employees to be a key factor in our society and in our economy. In short, ladies and gentlemen, the reasons for this decision are both fair and effective, and that applies to wages but also to the rest of the working conditions, because improving the economy of our country is to do so with decent wages and working conditions that allow public employees, workers and workers to fully develop their life plan. Let me focus on women workers, as they suffer the worst conditions in our labour market. In fact, my predecessor in office and now President of Congress, Mrs Batet, already signed agreements - I think very important - in October 2018 to improve family reconciliation and progressively equalize maternity and paternity leave for employees and employees of the General Administration of the State. These kinds of measures, ladies and gentlemen, are the ones that make the difference and also represent firm steps towards genuine policies of co-responsibility and reconciliation. All this to ensure that equality between men and women is real and effective. The same could be said of the sustainability of our public pension system in a debate that has just ended. Ladies and gentlemen, better wages, better working conditions, better living conditions, more dignified pensions for our elderly, as proposed in the previous debate, simply mean no more or less than making a better Spain, they mean making a more cohesive Spain, an economically stronger Spain, in short a Spain where people live better. I will comment on some issues you already know but I want to share with all of you. The scope of this royal decree-law extends to around two and a half million public employees, covering all areas of government at all levels, as it cannot be otherwise. In addition, the economic distribution modules are regulated for the maintenance of concerted centres, since this royal decree-law also affects salaries received by the teaching staff of such centres. You also know, ladies and gentlemen, that this royal decree provides for an additional wage increase in the event that the gross domestic product reaches, during this year, at least when the INE gives it definitively, a percentage which they know well. I would also like to point out that this royal decree allows for the possibility of an increase of 0.3% in its wage mass for additional funds that allow, inter alia, improvements in productivity or efficiency and specific supplements or other measures that the administrations concerned understand. In addition, this Royal Decree, in line with the agreement, represents an additional 0.55% increase if the deficit target for 2020 is not met. I think it is important to point out that the estimated cost is EUR 3212 million. I draw attention to this fact because it realizes the importance of what I am presenting to this House today. In addition, these data suggest why the legislative instrument chosen by the Government to adopt this measure is a measure with an undeniable impact on the economy in general and is also a basic rule of the State. Hence the importance of doing so by royal decree-law, given its extraordinary and urgent need. Ladies and gentlemen, this royal decree also complies with the cardinal values announced by the President of the Government in his investiture speech, one of which is the defence of public services. This Government understands the public administration as the most powerful tool for realizing the citizenship rights set out in our Constitution. Therefore, this tool must necessarily be equipped with those elements that are essential to guarantee such rights, because only a quality public administration is capable of fulfilling this function, indispensable for the maintenance of a democracy like ours. Ladies and gentlemen, the strengthening and improvement of public administrations, their modernisation is a definitive and essential element for the good economic progress of this country. This Government, which I represent by defending this royal decree, is in compliance with what has been agreed, and it is doing so because dialogue is one of our signs of identity. This government and this minister understand politics as cooperation, they understand that success in politics is the agreement, because politics is dialogue and politics is the search for the pact, because only from the sum will we be able to move forward. This spirit of cooperation, which we believe is essential for the good progress of this country, is the agreement that this approval has been brought to light immediately in the second ordinary Council of Ministers in order to make it effective, as I said at first, since 1 January this year, and it is also the result of the very important negotiation with all the trade union representatives of the majority unions, which I have already had the opportunity to greet and I will soon have the first meeting with all of them. This is the best way I know, improving the conditions of public employees through dialogue and improvement in its entirety. Since the conviction - I conclude - that those of us who make up this House, all of you, want the best for our country and also aspire to make it an example of full, modern democracy and that it will face the present and the challenges that the future will face us, I ask, ladies and gentlemen, your affirmative vote for the validation of this royal decree-law. Thank you very much, ladies and gentlemen. [[Applauds]]
ParlaMint-ES_2020-02-04-CD200204.u62	Thank you very much, Minister. Mr Martínez Oblanca has the floor in the Joint Parliamentary Group for the first time.
ParlaMint-ES_2020-02-04-CD200204.u63	Thank you very much, Madam President. Minister, the implementation of the agreement that led, in March 2018, the government that then presided over Mariano Rajoy and that signed the trade unions, is absolutely fair, but today it cannot make us forget the situation of workers who are not part of the public sector but belong to its immediate orbit because they are part of companies serving the administration. They were also subject to wage freezes and, however, they are subject to delays when they try to recover their wages; they are, as it were, workers who automatically count on tough decisions but are relegated to mature ones. This is the case for a quarter of the 26 000 workers in the mutual sector and collaborating entities with Social Security, who are suffering from the paralysis of the procedure to update their wages, even at risk of prescribing them, and who are victims of the fierce democratic game of passing the ball, aggravated by the readjustment of ministries and by the parsimony in the composition of this multi-government. Ladies and gentlemen, it is urgent to speed up procedures and authorizations so that the staff of the hundreds of entities listed as companies in the service of the Administration can see their salaries updated as well as public sector officials with this validation, which I will support with my vote. Thank you, Madam President.
ParlaMint-ES_2020-02-04-CD200204.u64	Thank you very much, Mr. Martínez. Mr. Mazón Ramos has the floor.
ParlaMint-ES_2020-02-04-CD200204.u65	Good afternoon. Thank you very much, Madam President. We will vote in favour of the validation of this decree not only because we agree with the form as a decree-law, but also with its content, and also because from the Autonomous Community of Cantabria we were waiting for this prediction. In the budget bill of the Autonomous Community of Cantabria for 2020, the PRC-PSOE coalition government has already included a forecast pending confirmation of this regulation in this House, and not only was 2% included, that additional amount in relation to GDP, but also additional funds and the recovery of 2017 and 2018. We understand that this is an important step towards the gradual recovery of the purchasing power of civil servants because they have also lost purchasing power with the crisis and, above all, because we are in favour of a well-paid civil service, that the benefits of civil servants will be improved, that it will also be done through agreements with trade unions and that it will always be borne in mind that the priority objective is the improvement of public services. Thank you.
ParlaMint-ES_2020-02-04-CD200204.u66	Thank you, Mr. Mazón. Mr Quevedo Iturbe has the floor.
ParlaMint-ES_2020-02-04-CD200204.u67	Thank you, Madam President. Good afternoon, ladies and gentlemen, to all and everyone. Welcome, minister; besides she is a canary minister, this is always good. I must now announce our vote in favour of this validation, which is proposed to update public salaries, for a number of reasons. A first, because since the beginning of the so-called great recession, the responsibility was to attribute to the public services; the public services were responsible for the great recession that began in 2007 and which we are still suffering its consequences. This demonisation of public services as agents of uncontrolled spending and consequently public employees as a sort of privileged beings who had guaranteed their wages has become an extraordinary degradation of public services that is absolutely necessary to recover. Therefore, this first consideration allows us to say that this decision is in the direction of recognizing the value of public services. There is no other way to ensure equal access to basic citizenship benefits, if not with powerful and developed public services. Secondly, this measure recognizes the serious damage that this kind of discourse has done to public employees, who have seen their purchasing capacity and their living conditions severely reduced. This, on the other hand, will come not only to restore dignity, but also to stimulate economic activity because, after all, higher wages will result in greater economic activity. For this reason, we will support without cracks and without any restriction is validation. Thank you.
