ParlaMint-IS_2015-12-18-58.u1	There will be time for a conference between the clocks. 13 and 14 today, due to committees.
ParlaMint-IS_2015-12-18-58.u13	V.E.G. President. The Office of Ministers, such as the European Commission Act, actually matches all the changes I have heard in a case at the highest level. Secretary of State that he wants to do something about these laws. But what we in the smaller part have put tremendous emphasis on, including Because it has been observed by all the experts who have visited the committee, it is necessary to protect the level of professional knowledge in this article. Therefore, it is stated that the Agency's staff should be excluded from transport obligations. This is of utmost importance to promote professional cooperation. So I'm going to support this team in the transition and I really hope that more people will.
ParlaMint-IS_2015-12-18-58.u14	Mr. President. I wouldn't be honest if I didn't say that I was very sad about that conclusion. I think we're here on the wrong path, but at this critical point, when a developing research organization that has done very well in all its work and has been very prominent in recent years, there is nothing more to do than ask for the highest power. Ministers and all employees linked to successful development in a new expedition. I'm afraid this will be long-term harmful for development cooperation, but I still hope I'm wrong. In this matter, it was very important that the government side stretched as far as possible, but this conclusion shows that there is nothing to mark the new members of Congress who have come in and have their mouth full of declarations of new employment, new reconciliation, and new politics. This is no more than a gap from power, and we in the government stand to take home the fact that when the government forces are offered peace and reconciliation, it prefers war. [[The president calls.]]
ParlaMint-IS_2015-12-18-58.u15	Mr. President. This discussion has been strange to my knowledge. Rarely have I found such little conviction for any matter here in the Hall of Congress, and rarely have I felt the same lack of conflict in a matter of government, and this, of course, raises doubts that there is strong conviction behind the change that is being made here. It seems to me that this is running the case through in greater force without any particular conviction than I restate what I said before, with this change as the political part of agreeing, he is highlighting his indifference to an enormously important sect. I am so disappointed to see how this greater part has been carrying both contributions for development and for its construction. I'm so disappointed, and I'm saying no to this matter.
ParlaMint-IS_2015-12-18-58.u16	A respectable president. This, sadly, is an ambitious issue of evolutionary cooperation. We would have put all this force together to do better in the group of paintings. These are some of the most exemplary institutions we have and directly submit to the minister's authority and, unfortunately, open up the risk of being a professional carp and the group's suffering. I'm totally against this change and we're in a better future, but at the same time we can only wish for the staff and the seminars to be the best of the future and hope that we'll succeed in a better outcome and a happier ending, although, unfortunately, I'm not feeling that way today.
ParlaMint-IS_2015-12-18-58.u17	V.E.G. President. I'm celebrating this ending. I am glad that the power of those who work on evolution is united under one government, that all calm in one direction, that power and knowledge will be better than ever. This is a big step forward, and I wish the Secretary of State, the State Department, and the staff of the Development Agency to congratulate them and wish them all luck in their jobs. I know this will be a good thing, and in order that the power of those who do these jobs in Iceland will be more useful, is it because of the highest satisfaction and say - can I get peace with a vote, Mr. President? [[Up front.]] [[The president calls.]] Can't humans control themselves here? I say yes.
ParlaMint-IS_2015-12-18-58.u18	A respectable president. This vote has been longer on the program than the oldest members remember, two council members, and a discussion longer than I know in such small matters. I still confess I don't understand anything in this matter. [[For example, consider: Yet you say yes.]] I let myself have it for a simple reason, for my kindness toward the minister of foreign lands, and I expect my kindness to look deeper down on him. This is not an irreversible project, there is not a explosion of an elf church, and if this proves to be wrong, it can be turned back. I'll give it to you, yes. Thank you. [[Take it back, take it back, take it back, take it back, take it back, take ……]] [[The Claus of the Assembly Hall.]]
ParlaMint-IS_2015-12-18-58.u19	A respectable president. The entire sector itself has spoken against this and has called this crisis, the Agency's employees, university scholars, and those in this field of service. Then the members of the board allow themselves to come and congratulate these people by day. One of the most presumptuous things I've ever seen. It's one of the most presumptuous things I've ever seen. It tells you people don't know what they were doing here. A respectable president. The decision being made here is something that I know people will soon regret because they are taking an institution that's done well in their field and that's healing it with the ministry. What would the same members of this room say if a decision was made to unite the energy of those who are making transport planning and building roads inside the State Department of the Vega program and enter the Ministry of travel? Then you'd hear something in men here, but not allowing it to be equal, as I do, to tell you how you respect and appreciate the group of evolutionary cooperation, the people here to decide to put it down. [[The president calls.]] It's a disgrace, a respectable president, and I'm totally against it.
ParlaMint-IS_2015-12-18-58.u20	V.E.G. President. I'm primarily sad about this vote because I'm concerned that this includes reducing the professional quality of development and in the world that truly needs to be given the greater support to the poor. A developing cohesion agency is an institution that has achieved tremendously well and should, in my opinion, continue in its professional ways. I have to hope, however, that the highest. The minister of state can keep a big point about this being all right, but I will be very close to this class in the future and leave me all the right to bring criticism if I don't seem to be doing well enough. I'm gonna say no to this.
ParlaMint-IS_2015-12-18-58.u21	A respectable president. This has been a hand of agreement in an effort to get something that men feel can find pleasure in the future order of these important matters. They are struck naturally by the hand that is in the spirit of power and indiscretion of this government. [[Let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's ……]]
ParlaMint-IS_2015-12-18-58.u22	Mr. President. We have often been able to deal with the big lines in foreign affairs in Iceland, and we have at times debated how much money we could spend on developing cooperation. It's kind of going to have to be an achievement at the highest level. Ministers of foreign countries are also able to create armed conflict over the arrangement of how we employ it. The failure of the government in this area is absolute, and it is shocking that people will spend their time in this way rather than be proud of Iceland, with increased donations for developing cooperation in harmony with the better national economy, thus contributing to the agreement to meet the UN's goals in this regard to the eradication of hunger, poverty, and disaster in the world. No, that's not what it is. Secretary of State is fighting for, that Iceland will do better on that subject, rather than on the basis of a conflict in the arrangement that has been well agreed on until now. It's hardly possible to get down in performance with this group of subjects than at the highest level. The current minister of foreign affairs, the government and most of it at the council. [[The president calls.]]
ParlaMint-IS_2015-12-18-58.u23	A respectable president. I'm pulling back to the point. Government opposers never make any savings proposals. We need to look at some savings options. paritaprevir Katrín Júlíusdóttir to unite the Roadmaker and the Ministry. I don't understand this thought, I'd think if men really were thinking that using developing help would save in the administration. [[Up front.]] This must be a way to do it. That's what people must do. [[Up front.]] There has been a tremendous increase in numbers and proportion in this budget for development support. Because we have developed assistance to the EU for some reason, I believe we should make greater use of it to help the poorest nations. I hope there's support for that. General, but let us not forget that at one time we were in the position of being the poorest nation in Western Europe. We would never have had a chance to get out of it by getting access to other markets. [[The president calls.]] The best development aid is the free trade agreements, and I hope that there's an agreement that we're adding to a vacation store in the world, but we don't go to the union. [[Up front.]]
ParlaMint-IS_2015-12-18-58.u24	Mr. President. This is a high political issue that reflects basic political differences. This aim is to reduce the efficiency of the tax system. So here it is said to reduce steps in the step - change tax system and continue to abandon the balance effects approved in the tax system of the last government. This is a basic question about the right and the left, of the ideologies that the tax system is not only a revenue but also a balance of income, and it was reflected in the discussions here yesterday. As a result, in the left movement, we will have a ◯ green supply against the reduction of tax steps, while sitting by various of the other features of this bill. The big issue in this bill is this fundamental concept of controversy, which is where we reject the national ideology of the government, where increasing insurmountation can have a damaging effect on the economy of the nation's people to work as hard in the weakening of society's income populations as has been done during this ideal period as warnings have been given. [[The president calls.]]
ParlaMint-IS_2015-12-18-58.u25	A respectable president. This bill involves a wide range of tax issues. We will not support, but vote against the money tax change proposed on the bill because it is not reasonable. Other better and more suitable tax reductions can be brought at this point that is not a source of encouragement. It would be possible to spend the same amount of money to reduce insurance and thus support the company's ability to pay more money and increase the number of employees. Here is the unwise setting of priorities. We will support some of these changes, which fall into our core policy in the Community on lower tolls and disability reforms found in these changes and otherwise sit by.
ParlaMint-IS_2015-12-18-58.u26	A respectable president. This tape worm that enters the council every year is always as much as a big testimony to how complicated the tax system is. The loss of a part of the work at the Committee on the bill went on to try to resolve a number of complications in the valuable tax system and elsewhere. This is a testimony to how difficult it is for the government to reach its high point on a simple tax system. I don't think the insurance bill was that complicated, and there seems to be a very small plan to simplify the value tax system as it should be. In this schnitzel, we have a positive, positive, and otherwise yellow. In the larger lines, we warn to reduce income taxation at this point, in the uplift of the economy. The decrease in income taxation is the quality to be owed in the event of compression. Instead, we're supposed to lower insurance money because it's supposed to be low in good times because it's gonna have to go up when it's too late. [[The president calls.]] This is a very poor economy, as well as a reduction in income balance effects in the income tax system by decreasing the paces. We're sitting by those changes.
ParlaMint-IS_2015-12-18-58.u27	V.E.G. President. For 2016, we take votes on various grounds of a bill for the budget. There certainly is the highest tax policy around here. Governments that continue to lighten the household tax, focusing on the intermediate groups, such as the highest. The government promised in relation to collective agreements in the spring months. The changes, however, benefit all income groups. The levels are reduced and the levels of income are reduced from three to two in two years. It continues on the course of toll increases, making the most of the removal of tolls on clothing and shoes. All of this is the process that enhances the income and the financial resources in the country, thereby improving the standard of living as a result of increased efficiency and simple tax and extraterrestrial subsidies, which are moderate and to the point of maintaining stability. Then, at the end, I want to thank you for your cooperation with the Committee between discussions.
ParlaMint-IS_2015-12-18-58.u28	President. The most serious elements of this bill are changes in the income tax system that reduce the income balance role of the income tax system. As a result, the growth in society will decrease. It hurts. Research shows that equalizing in society not only makes a righteous society but also good for the economic system. Economic growth is growing in such a system. Therefore, we vote against these changes in the income tax system. There could have been support for the job life to increase the pay of the people in the country who need to increase as they are now, by changing the insurance bill. It's a bad way, as unfortunately, so many things that come from this government.
ParlaMint-IS_2015-12-18-58.u29	A respectable president. As for the income tax system, I believe these measures are not primarily at the appropriate time. Piranha and I tend to listen to comments and to draw some conclusions from them. In terms of this simple income tax system, I have to state to at least myself that reducing taxes is not the only way to simplify the tax system, especially when this procedure is expanding, especially at times like this in the economic climate. It's the wrong time, that's the biggest thing I can do when I come to conclusions about this.
ParlaMint-IS_2015-12-18-58.u30	President. First, I want to thank you for your cooperation with the committee that discussed the matter. It is obvious that in this matter there are some things that must stand out, and I find it interesting to listen to this discussion about the vote. First, we are, yes, doing what was said, reducing the number of tax steps again. This decision was made in connection with the making of collective agreements in spring, and it is a cause of great happiness because of the weight of the tax and the peripheral taxes of all up to 700 up to yours. K. may be decreased. Jaret taxes are way too high in Iceland. Tolllar is taken down. This is a huge breakthrough in customs in Iceland. As early as the New Year's season, customs will be dropped by clothes, shoes, and several small groups of products, and then we'll take further steps in a year's time when everyone else will be toll on food. [[The president calls.]] I'm just saying, congratulations, Icelanders, with the huge increase in business freedoms that come with this. In the end of the tax reduction there was no time, was there, to reduce taxes during the crisis, and there is the same people who say this is neither the right time. [[The Claus of the Assembly Hall.]] Now they say it's too much better to lower taxes. [[Hairsick at the Senate Hall.]]
ParlaMint-IS_2015-12-18-58.u31	A respectable president. The search for a time convenient for a left person to lower taxes is still being carried out. It's been going on for a long time. It is not yet revealed, despite the fact that left men have been in organized political organizations for a long time. Of course, there is great joy in this regard. It's interesting that none of them had any trouble. secular authorities say that they are at all times concerned about those less fortunate, the detolls that are on the move. None of the prisoners were fully suspended in the history of this government. [[Up front.]] It's wonderful news, especially for underpayers, and I'm amazed. Government senators to calm themselves at first, and when they're down to celebrate, this is good news for Iceland and especially for low-payers eins a og. paritaprevir Skarphéðinn's ass knows what's best. [[Up front.]] [[Hairsick at the Senate Hall.]] [[Up front.]] [[The president calls.]] [[The Claus of the Assembly Hall.]]
ParlaMint-IS_2015-12-18-58.u32	Mr. President. It is sometimes said that the government fund has few friends, but most often you have confidence that the minister of finance was a decent government fund and had some concern for him. [[He owns me.]] I have to say, when I hear it, I get chills. The minister of finance and the vice-president legal committees are coming here, and they are not thrilled to learn how well they are doing down the state's income in one case after another. And the outcome? It is that this government is not successful in terms of budgeting three years in a row, and it is shoving with the regular management of state funds at zero in the third year in a row next year. It is all the responsibility shown in these matters. I have to say, just as it is, when all the NGOs have common sense, practicality, and solidarity with Iceland's state funds and welfare community, it's proof that these right groups haven't learned anything. It's the same ideologies that almost hit Iceland in 2008. [[The president calls.]]
ParlaMint-IS_2015-12-18-58.u33	A respectable president. In a brief talk earlier, I said that we welcome one thing and another on this bill, even though we disagree with the big lines, but why. paritaprevir Gullish Þór Þórðarson is not listening now. I'm going to meet his point of view here and now that no one has been happy that customs were being canceled. We rejoice in the bright future, and we do so in our committees. However, we suggest that we find it strange that we are not taking tolls off food and why are we not taking steps to eliminate customs from that important consumer product. We're also glad that the rent income is being raised, and we think it's a very good step. I came here to be positive, but I'm also glad that a tourist guide goes down to 11% on a merit tax to reduce the level of decomposition. However, I noticed why. A senator did not rejoice. Is he against it?
ParlaMint-IS_2015-12-18-58.u34	V.E.G. President. Only in terms of the tax policy of this government, its tax changes have led to the increase in government income beyond what it would have been because we have taken taxes from the population and finance companies far beyond what the left administration did in its working time, so that it has made room for the rest of the government and taxation, the breakdown of taxpaying, the depletion of tolls now, and the loss of income taxes. [["Don't... "]] It's made room for all of this.
ParlaMint-IS_2015-12-18-58.u35	A pensioner.
ParlaMint-IS_2015-12-18-58.u36	Then there is the fundamental thing that we will continue to discuss here, that the cake is expanding, resulting in increased income to the State. Therefore, there is a period of time for the relief of homes and home debt, the payment of insurance debts. I will continue to discuss tax policy and tax politics, but I refuse the judicious judgments the government receives here and say: Those who have to get excited about this are expected to speak for something known as extreme enemy Idolatry. [Applause in the Assembly Hall.]
ParlaMint-IS_2015-12-18-58.u37	A respectable president. This is evident in the speech talk of the highest degree. The secretary of finance and the vice president of the budget that the press has returned to the eyes of the lndependence Party leaders, and a coat has been placed for the ears. There's nothing to listen to, nothing to see. What we have to criticize is the timing of the total total income tax loss. When I'm at the highest. The secretary of finance says that the monopoly of high tax pressure at a bank because of its historic circumstances justifies the general tax decline does not understand why we had to increase the taxes we had to deal with the collapse. It was because all government income agencies had been decomposed, they had been destroyed because their goods had deceived men into the real administration of the State. [[Up front.]] There was no money left in the financial administration of the Independence Party to reduce taxes after a crash, as would have had to be done. [[The president calls.]] That's what needs to be avoided, but unfortunately, this government is going back to the same shit. She does not understand the disciplined financial administration, and she does not understand that tax reductions at the wrong time harm society, but tax reductions that do not result from filing, such as the reduction in insurance costs today are wise and correct. [[The president calls.]] [[The president calls.]]
ParlaMint-IS_2015-12-18-58.u38	A respectable president. It is true that here the difference between the left man and the right man in tax matters is crystal clear, but how sad it is when we consider removing the medium - income tax factor done in connection with collective agreements to listen to left men who often do not want to protect what the labor movement has been doing! [[Up in the hall: right.]] This is a pact - this is a pact -- [[What labor force...?]] [[The president calls.]]
ParlaMint-IS_2015-12-18-58.u39	That's wrong.
ParlaMint-IS_2015-12-18-58.u40	A respectable president. It's not weird, though. The chairman of the Conspiracy, the aged Páll Árnason, dislikes what I say - that is not wrong. [[Up front.]]
ParlaMint-IS_2015-12-18-58.u41	...the labor movement...
ParlaMint-IS_2015-12-18-58.u42	[[Take it up for: ASI.]] Isn't it true that you're going to a punk, huh? A senator, or a silent man? [[The president calls.]] A respectable president. Here there is a political dispute that leads to goals between right and left. [[The president calls.]] We're in charge of tax cuts, tolls de-reflances, tax bills, and we don't protect shit, okay? þm. The Árni Páll Arnason [[Up front.]]
ParlaMint-IS_2015-12-18-58.u43	You want credit. You want to tax patients.
ParlaMint-IS_2015-12-18-58.u44	While others speak, try to keep quiet for a moment. Get in a drunk.
ParlaMint-IS_2015-12-18-58.u45	It's your policy.
ParlaMint-IS_2015-12-18-58.u46	It is strange that the president doesn't even need a day but several times a day admonishing the senators to give at least one minute of the members of the council to report their vote or to address the vote, even if it is only for the one minute, and then not to continue continuously after these brief speeches have ended. After that, they continue to insist on calling forwards and staying in the chamber. The president does not appreciate it, and he has grown tired of having to give constant counsel. [[Up front.]] He directs his words to all members of the council, and he has repeatedly stated this under speeches and according to the talks of the individual council. [[Up front.]] Of course, that is true of speech, and the president has discussed it here many times.
ParlaMint-IS_2015-12-18-58.u47	Mr. President. The government's tax policy is in favor of the more prosperous ones in the country and increases the discrepancies in this society. It's just the cold reality, and when people give up money in this way, it means that we can't afford to raise the benefit of the elderly and the desperate; we can't afford to improve the situation at the Land Hospital; we can't afford to add to the community and build road transports in the country because taxes in society are a means of building a strong social welfare society. There must be right men to understand. How sad it is to see that right men are breaking down this welfare system by changing the tax system in terms of their wealthier than their material memory! [[The president calls.]]
ParlaMint-IS_2015-12-18-58.u48	Mr. President. Well, there's no reason to get upset, but I think it's a big deal. The minister of finance speaks of extreme friends, I think he said, in the case of a discussion that includes OECD. [[To answer...]] V.E.G. A minister earlier said that this was about expanding the cookie, but what does the report OECD from December 2014 show? It shows that a tax system that increases the balance of income in society is also causing greater growth in society. I haven't heard answers yet. Minister or wk. Councilmen in this report or their plans to recommend OECD to their Member States to take this into account in their economic policy. [[Up front.]] It's just talk about extreme unrest. All right, Mr. President, wouldn't it be desirable for us to have a objective discussion about this? [[The president calls.]]
ParlaMint-IS_2015-12-18-58.u49	A respectable president. I think you're absolutely right. paritaprevir Katrín, Jacob's Jakobsdóttir, said that we should be more objective in this discussion. I think she must take this matter up at a council meeting of the left green because she has to. The minister of finance was referring directly to the word. paritaprevir Steingrímur J. Sigfússon, who used this expression in no uncertain terms. V.E.G. A minister was pointing out its folly. I'm excited about the news from a council meeting with the left green because I don't doubt the only moment this will be discussed in that field. A respectable president. I'm gonna pray now. paritaprevir Guðmundur Steingrímsson's respect, I think it was the most bright speech I've ever heard from him. He certainly welcomed the changes here, and that is so well done. I want to use this opportunity to express great satisfaction but to encourage people to think only the thought to the end if they believe that a decrease in taxes always means a decrease in income. I just want to take one of the most striking examples, when the joint capital tax dropped here and, as a result, they dropped their rent from 40% to 10% and see what it came down - just for example. [[The president calls.]]
ParlaMint-IS_2015-12-18-58.u50	A respectable president. I'm just going to mention in terms of the last governments and the government of government that when the collapse had struck, the debt of the Icelandic state had been paid very much. Iceland's wealth was in a very low debt, so it was in a very different position than the government funds from most Western countries to cope with these tragedies. That's not true. paritaprevir The Árni in Árnason's life was earlier told that only some foam that certainly were problems here and nothing was done in this situation. The debt was paid, it is important to maintain it, a respectable president, but it is true that the 2008 budget, the first government budget that came into power in 2007, the 2007 government government of an independent party and the United States, became a huge increase in government spending. That is a fact that cannot be overlooked. Then I agree with what's been said here, it's understandable that if you need to talk about language here, it may not be quite fair to be the short president of the Independence Party, the Supreme Court. Secretary of finance, for what was said here at the beginning of the matter. þm. Steingrímur J. Sigfusson. [[The president calls.]]
ParlaMint-IS_2015-12-18-58.u51	A respectable president. It has been helpful to observe the debate between extreme rightness and extremeitarianism, where people strive to call each other "gammering " and to bring big things. The fact is, though, that center policy has fallen on top, and that's good, we have managed to reduce curses on the public and raise contributions to welfare that I think is exactly what we all want with the bone, right? [[Up front.]] I just want to review the story if I'm allowed to do so because of it. paritaprevir In 2007, Áll Árnason's Árni forgets that the Union had the constitution in which the state's spending was increased by 20%, and oil was put on fire, and I think it was the drop that filled the meter in terms of gradation. Then I think, "What?" paritaprevir J. Sigfússon's mask should also recall the goals set out by the last government in the Ministry's publication, goals that seemed rather modest than the government never managed to get close. [[The president calls.]]
ParlaMint-IS_2015-12-18-58.u52	A respectable president. There is much talk about the left and the right, and a certain language that follows it. In my opinion, this is not simply a question of the right or the left. More complex examples than whether you want more taxes or you want more expenses. These are bigger questions than that. The practicality of the economy also needs to be considered. Now there's more to the economy. Now is a bad time to lower taxes. I would like to have taxes as they are so that when, I say, the economy slows down is room to lower taxes. I'm in favor of tax reductions, but this is the wrong time, and here it has been noted repeatedly that when the government's budget and policy are not on the same schedule, there may be a problem. I thought it was right to come here and just mention it, not everyone is just left-handed or just right-handed. Conditions are important.
ParlaMint-IS_2015-12-18-58.u53	Mr. President. New - health policy, hard right policy, on taxes peaked in Iceland during the years before collapse when pressure on the highest income, a so - called high - income tax, was dropped in Iceland's super-paying and supernova. In the United States alone, there was a growing trend in the number of years, as shown by all national and international measurements. It's being held in the same direction. The tax system is being reassigned. That's a fact. It's the political road we're on. Besides, it's got the highest. The minister of finance is not more ambitious than the one who is happy to cut off the wealth of the state at zero for three years in a row. In the sixth year of economic growth, in a time of ebbing in the economy, this government will have no success in improving the survival of the state. It was a sexual desire, an inflammation of new - free thinking, and a new - free mind.
ParlaMint-IS_2015-12-18-58.u54	V.E.G. President. We're here to vote on the basis of budgets for 2016. In terms of the tax reductions and the tax politics that appear in this bill, and we're about to vote, we're glad to celebrate because we have governments coming to work market parties, reducing taxes, and supporting our professional life in improving the quality of life in this country. That's what this budget is all about, and that's why it's a budget.
ParlaMint-IS_2015-12-18-58.u55	Mr. President. Here we are votes for a step in reducing tax levels. As mentioned in our talks, we violate these changes in the tax system and vote against this proposal from the balance of income we've covered. We will also lie down against them, where they will happen later on in this bill.
ParlaMint-IS_2015-12-18-58.u56	You say no?
ParlaMint-IS_2015-12-18-58.u57	A respectable president. We in the United States place a lot of weight on the multi-stage tax system. The same is true of the labor movement, and it is presumptuous of the government officials to arise here and attribute the labor movement to the action here to vote for. However, this is a policy presented by the labor movement, followed by the labor movement, which, of course, has to be in accordance with the policy of government. This is an unwise change at this point, it would have been normal to spend that money to reduce insurance bills. At the same time today, the Navy complains that the government does not help to stop the thawing; it increases the growth from month to month. It's a strange contribution to that conflict by the government. This tax reduction is all likely to fade into the resulting in inflation. [[The president calls.]] It's an example of a mindless economy, as stupid as it possibly can be.
ParlaMint-IS_2015-12-18-58.u58	A respectable president. Now the spears fly between the left and the right, and we in the bright future are not involved in that war. We simply try to look at this from our understanding of and what we see. This is where the possibility of using the income tax system is reduced. We're against it, we can't support it because it's better to use the income tax system than any other system for income balance. Although we are all by trying to reduce the spell on people and we would have wanted to see insurance bills fall, we still find that when you consider Iceland's economic history, it seems more difficult to control in a more favorable way than a crisis. Today, there has been considerable financial growth, high commercial progress, and low fuel prices. [[The president calls.]] There are a lot of dressbacks coming up, and this is not the time point for loss of income tax. We're supposed to wait on her, and that's why we can't vote for this vote.
ParlaMint-IS_2015-12-18-58.u59	V.E.G. President. Regarding the article itself, I like to support these changes to simplify and reduce taxation, to make more provision, and to make more money available to the homes. The forms of change that the greater part suggests, but we call back to 3. Around., there are 1st and 2 points, facing a common tax assessment. Very good, 2nd. regarding the matter, it was said that much had been discussed in the committee on the subject of gender, just nothing, and we certainly want to set an example in this regard. So the majority decided to call it back between discussions and a meeting on that subject so that we can get the best of it.
