ParlaMint-IS_2015-05-27-113.u1	The program suggested at a meeting yesterday from Jón Þór Ólafsson, etc. is called again.
ParlaMint-IS_2015-05-27-113.u18	A respectable president. An untimely nurse's strike began at midnight and affects many people in medical institutions. Some 2,100 nurses have a strike, but some 500 jobs will be on the leave during a strike for the most urgent need. A surgeon, Birgir Jakobsson, has said that nursing procedures on other health - care problems will put patients' health and lives at risk. It is unacceptable, for there are many people who have chosen to care for the life and health of people and who are doing so with great ideals. Sadly, because of the nature of a strike, it often affects people just as much as the work effort focused on, as well as the number of strikes of different professions may have a variable degree of impact on society's mechanism of action. Hence, the strike weapon is used and used successfully. Of course, the sick and needy are to be in the utmost priority when a strike occurs. This results in agreements with a general labour market, and this is a cause of joy, but in strikes, it is so sacrificed and so strongly planned that it will have to give success to those who engage in this struggle. The most important thing is to make sure that you earn the money you earn. It is unthinkable to bring in a large amount of remuneration and then immediately burn up the inflation. Me and the Icelanders know such dressbacks from bitter experience. In order to protect the level of money, the key is that the collective agreements now being made are aimed at maintaining the quality of the economy.
ParlaMint-IS_2015-05-27-113.u19	A respectable president. I want to do like more senators and thank you to the highest degree. The president for his decision yesterday to cancel the program and to postpone a discussion on a frame plan, and to try to agree on an agreement, as well as on the agenda, that more and less members of the council are fundamentally agreed on that this is to be completed. I think that the wind that reigns at the council now at the beginning of the meeting and that last part of yesterday is a sign that we can and should work together in ways that we have not shown in the past few days. That's what I want to thank you for. A president for that and celebrates his decision. She was bold, but she succeeded, and hopefully she contributes to our being elected every four years during this term, to work out the task that we see, without excitement, and to accuse one another. Besides, I think it's clear to everyone that we are at a turning point regarding the nation's health system. It cannot be concluded that in the working environment of the profession, they are placed into a strike - strike operation and are thus beaten by our healthcare system. There are no acceptable nationalities, and there are ways to expand education and improve the quality of education. As a result, we need to work together, public employees, general market workers, members of the Parliament, and the nation as well as the rest of the nations have done and have boasted about it. So I want to agree with what. þm. Jón Þór Ólafsson, who looks forward to a common campaign in the financial, economic, and strike rights program and our status among civilized nations. [[The president calls.]]
ParlaMint-IS_2015-05-27-113.u20	Mr. President. It is in the news today that the Organization has agreed to the Passition's request to reevaluate environmental assessments of the village Chets Forest, and I would like to express my joy with that conclusion. Takes into account the changes that have been made in the road and designing across the Deep Offground and Stealfjörður. As many people know, there has been a great debate over future Western roads throughout the Gufudal Deserts of Eastern Burden County. In 2006, a planning agency was on the road to Chets Forest, and since then there has been a great dispute over the road. Another situation, whether of the necks or of the tunnels, has been tried, and no conclusion came out of it. Of course, the local people have worked very hard to find a lowland road in this area. Of course, it is understandable that people want lowland roads based on weather conditions in this area on the West, and since a tunnel has not been available, it is very enjoyable. This changed road line in Chets Forest has a much lower reduction in Chef Forest than previously anticipated. The export means about 1% of the vegetation scale, which I think is very acceptable compared to the great interests of the area, and I hope this will work well.
ParlaMint-IS_2015-05-27-113.u21	A respectable president. There is a good spirit in the chamber under the firm, well - controlled rule. I'd like to take this opportunity today and wish the island to congratulate them on getting a new Navy. But a new ship needs a good port. You and I who have been concerned about Landing Island have nothing less to worry about, even if it's decided that a new ship will come. Now, it is important that the road model place on the big crust and fix the harbor. Since its beginning, land island has been closed for months each year. There is no way to invite the island's inhabitants to see that when a new ship, less and less, has to sail for months to the Pacific. That can't be the goal. In the new ship, it's not expected special rooms but that there will be ten people's cells or the public, and I just want to say that if the government went to Island, she'd have to sleep with her partners in a cell together. If she can, of course the Islanders can. Of course, having such a situation for the island is not an acceptable thing to do. I hope that the decision the government made yesterday on transportation for the Aegeans will benefit. At any rate, I'm going to become optimistic and believe that we're taking steps forward, but in order to do so, we're going to have to make sure that the originally scheduled port of the country will be established, and that we want to see that the transport reforms that follow the port when it's in order are very important to the island, to the tourism, to the careers, and to the people all.
ParlaMint-IS_2015-05-27-113.u22	A respectable president. There is plenty of work for our nation, both homes and businesses. On the other hand, if we do not speak out on facts, we cannot succeed. Now, everyone in this room knows that the government has set the priorities for health care and largely increased contributions to health care, as well as the amount. Now everyone knows that there has been an increase in financial power, an equalizing of extreme value, inexplicably low inflation, and, fortunately, there has been a smidge of cash. If people really want us to go to the Norwegian model when it comes to labour markets, they should not criticize it when it is pointed out. V.E.G. For example, the prime minister pointed out that in the countries we would like to compare with those in the exports, it is originally composed before going to other aspects, such as in public employees. If they really want us to go that way, let them agree. If people want to go anywhere else, let's just say it. A respectable president. There's enough work to do here, and many people have pain, including patients. I call attention to an article that was written in the News magazine by Ebba Margrét Magnúsdóttir, a specialist in the Women's Hospital Department. It points out that both the director of the Land Hospital and the surgeon's comments on the situation and some other factors seem to be taking a little notice of the situation, the serious situation today. [[The president calls.]] This is one of the things we have to change because it's distressing, it's turning toward the people who are weak in our society.
ParlaMint-IS_2015-05-27-113.u23	Mr. President. I recommend here for a change in the shape of a new device. 1092, electrical law. The motion is from the one here along with Steingrímur J. Sigfússon and Svandís of Sivai Svavarsdóttir: ◯ We're on the 5th. in addition to a new paragraph, as follows: despite the regulations of these regulations, the decision-making and further preparation should be carried out under the correction of an electrical line in Iceland's central highlands until the Council has concluded its proposal for a government resolution on the development of electricity policy to be submitted to the World Council for the first time prior to 15 October 2016. We think it's very important that this is agreed, that decisions and actions will not be made, and of course we don't want that to happen, without the fact that the council will be the first to discuss it, if there's anything like that in the pipe.
ParlaMint-IS_2015-05-27-113.u24	Mr. President. I'm not going to extend this discussion, but I'm glad this transition has taken place. She's in rich agreement with my talks last night when we discussed this. The discussion made it clear that it was my attitude, in effect, on this matter here and on the other hand, the language that we have had a bit of a success over the last popular, i.e. On the framework plan, to the front line in these matters, as I allowed myself to say, not to impress everyone, but to the lower part of The Year of the Highland. That's how I'm getting close to this thing. I think that's the big thing we need to talk about when we're discussing how to use and how to protect ourselves. I told the conversation here yesterday that I thought it would require a very special look at the bill that is underneath in view of what it opens to the middle of the country. I don't quite like this bill, just say it the way it is. I feel that it is too Soviet to bleed, and there are too much power that is taken to the shipping company, and it is far too much power taken from the rurals. When I criticized this bill here with a previous discussion, actually with 2 Peter and I. Um, I said right away that I'm still not okay with the bill. I feel that it gives the power to the company, which needs normal and often with all its difficulties, to lay lines to get the electricity across the country, way too high. However, although this bill has improved with the adjustments made in the hard discussion of 2nd. The point is, I'm not happy. However, the situation still remains, so if a moving company contributes a system of 10 to the age of 10, a rural society has to arrange its land use by within 3 years, but can obtain an eight-year extension if the shipping company provides a positive report. For parlamentian sheepdant like me, this is the first thing anyone should stop at. But the rest is so, as clearly indicated in the committee list of parts, that while the local community does not want to change its organization, it still has to be a oracle. What do some vacationers here in this hall say about such an obligatory bill? It may now be understandable that a man with my past would accept it, but I wondered what those who have preached free thinking and sit here in this hall would say about this matter. In any case, I pulled up a piece of corrosion that I didn't like. It was like this: We've been talking about it here, and especially the shipping company, the need to cross a line over explosion sand. At that time, the local communities may be opposed to both sides of the fine sand. That'll give them, if the shipping company permits? Eight years off, then what? The transport company is in charge. Not the locals. I think it's awesome, I have to say, because I think the protection will soon be about whether or not we're going into the middle of the country. I'm not giving myself anything, I know that even in my category there are men who both want it and others who don't want it. But we saw a glimpse of it in the frame program, which we discussed in the development of the greater section, what was in the car. There, the first activation within the central highlands was placed on the board of the generals, and we know that there are two more doses. All right. They'd need electrical lines, they'd need a built - up road, and there's no way they'd put the dog over the sand. That's what I'm afraid of because I think the people are supposed to be talking about it. This is a prince's position for protection and use. That's why I gave the full notice of this case. We had a little discussion here that yesterday would be a great improvement in the case if there was a change in the way I'm beginning to wonder. paritaprevir Lilja Rafney Magnúsdóttir, who has contributed with her companions, was measuring the floats in which my eyes carried me on their wings here into this hall, so I became aware of this, since I didn't know it. I just want to use this opportunity, beloved President, to describe my extraordinary support - I'm not speaking on behalf of any of the officers, but this suggestion I intend to support.
ParlaMint-IS_2015-05-27-113.u25	A respectable president. I recommend the Commission's Commission's opinion of a proposal for the resolution of the Treaty of measures to prevent, prevent and eliminate illegal, unsupervised and unsupervised fishing. The Commission's opinion is that the work of the Commission will be made clear on the case, but in short, it can be said that the Parliament's proposal includes that the government will be authorized to validate Iceland's agreement on measures to prevent, prevent and eliminate illegal, unsupervised and unsupervised fishing signed in Rome on November 22, 2009. The Convention on Marine Operations is the first binding international fish contract since the 1995 fishing contract. The contract was made taking into account and considering the lack of FAO guidance on state action, which was the principal model of government rules as Iceland, as well as other coastal countries in the North Atlantic, as law No. 22/2007, about a change in law No. 22/1998, the fishing and construction of foreign ships in Iceland's fishing weekend. The objective of the contract is to prevent, prevent and eliminate illegal, unsupervised and unsupervised fishing. Member States are a member of the Treaty, but the contract holds to ships that do not sail under the flag of the ocean. The contracts recommend the obligation of countries to use different governments in order to promote responsible fishing, such as shutdown to ships that are ◯black, of regional fishing agencies, treatments to drive a flag of responsibility in foreign ports, sentences of a set of minimal management requirements, monitoring measures, preventive measures, development support, and cooperation. The exception of the United Nations Sea Treaty on limited clearances of ships to come to sea because of the situation remains. A report on the State Department stated that in this country, there is a long experience in the use of marine action in an effort to facilitate illegal fishing. Iceland has been at the head of responsible coastal countries, along with other countries at the North Atlantic. Therefore, the level of the contract should not have significant changes or costs in this country. However, it is obligatory that the contract and its validation are important in increasing international cooperation on these issues. The matter was also discussed, to mention, that the bill for the implementation of the Icelandic contract is being discussed on the job board, but the committee gave the case a review, and did not comment on the validation of the contract on its part. Under the committee's opinion, write down, and write to the people here, why. Councilmen of Ásmundur Daðason Dadian, Vilhjálmur Bjarnason, Elín Hirst, Katrín Jakobsdóttir's daughter, Óttarr Proppé, and Össur the son of Skarphéðinsson Far from handling the case, it was. Senators Frosti Sigurjónsson and Silja Dögg Gunnarsdóttir.
ParlaMint-IS_2015-05-27-113.u26	Mr. President. Unfortunately, I was not able to be with all foreign committee discussions on the subject, but I fully support it. It seems to me that the case is growing so that it strengthens our position against pirate fishing, for example, on the Smokebones ridge. I remember because it's the highest. A president who now sits behind me, that as he sat in the seat of a seafaring minister, he showed a very thorough attitude toward those who were wronged by the Icelanders and stole fish, but this is a manner that still exists in a people, and it is still appropriate for busies to this day. That's why I'd like to ask. A senator as to whether there is no more powerful weapon here. Don't I get it right? This deal gives us sharper claws to scold us against such things? Like what? A senator knows there are also superpowers that have not acted as if they were best chosen in our backyard. Doesn't count them what they are. The head of the Foreign Affairs Committee that after Iceland has in this way demonstrated its position, that the council has authorized to validate the agreement, we should use at least the spirit in it to try to push this one off our hands, I am afraid to tell pirates who are up there in Icelandic economic history, and do so first?
ParlaMint-IS_2015-05-27-113.u27	V.E.G. President. In terms of such issues, the content of the contract may not include new sources for the Icelandic government relative to what has been in recent years, i.e. We have basically adopted the rules and guidelines that the contract already contains. To validate the agreement on our behalf and formally introduce it in Icelandic legislation, of course, strengthens our position, we can say in a global way. As with other matters, it is important for us that as many as possible are involved in the common policy of the agreement. That's how I agree. Skarphéðinsson Our situation will certainly be stronger if the contract does not include such new sources or previously unknown to the Icelandic government to the extent that their jurisdiction embraces.
ParlaMint-IS_2015-05-27-113.u28	Mr. President. Thank you. paritaprevir A recent Birgir of a Ármannsson, president of the Foreign Affairs Committee, for an excellent answer. It may be true that this agreement did not bring us new weapons to deal with a pirate ship, but I put it that way, i.e. In the spirit of this contract. Since we are at the turning point to accept the government's authority to validate it, I might feel that we were allowed to drift away and take advantage of the spirit in which we live. As far as I know, it has been that those who have practiced what I'm not reluctant to call poachers - these are stocks as foreign nations far off from getting in and certainly have no share in like the cutthroats that go there, to the prizes of these nations by selling them food, providing the refuge we've always done, selling them oil to our ports because we have Icelanders from that income, but they're still stealing from us the seed. That's why I feel that we have to take it more seriously, and we've actually talked about it. But you don't think why. A senator and president of the Foreign Affairs Committee that this milestone may be held at the highest level. The minister of state, whom we see far too seldom, on our good committee and discuss these matters with him? The case is also, if I recall correctly, there is still a considerable lack of appreciation for the international agreement because there are not enough countries to validate it. I don't remember the numbers, I think maybe we're the 12th or 13th, something like that. Is that not what we need as a fishing nation?
ParlaMint-IS_2015-05-27-113.u29	V.E.G. President. Regarding the direct question as a question. A senator directed me to discuss this matter at the highest level. Minister of Foreign Affairs I agree that there is a reason for that, as well as the highest. A professional minister who conducts many aspects of these matters, as man knows. I believe there is every reason to have a meeting with them on these subjects. Whatever it is. Of course, a senator also calls attention to the position of the agreement of this kind. Of course, it is true that for this agreement to take formal value, a certain number of members of the United Nations must become members of the United Nations to him and validate him, and that we should take this step now must include certain encouragement for others to do the same. Then, in general, this issue is that for us as a fishing nation it is of utmost importance that the most clearly defined legislation on the seas and rights and duties there exist. It has been the policy of the Icelandic government for a long time to be on the lead in that, we can say that laws are overfishing in the ocean and that there are not many words about the great interests it is seeking for us in relation to the location of the country and economic interests of fishing that most people are involved in this and that the rules of this kind are respected in most nations.
ParlaMint-IS_2015-05-27-113.u30	Mr. President. In particular, I'm glad we're completing our approval with a government authority to validate this agreement. It's a contract that's important to a seabed state like Iceland. In fact, in fact, we have quite a lot of money in this contract. If you look at his story, he is, in effect, off the oceans, probably approved in 1996, and he was raised from a discussion held by Icelanders, especially by the famous Rio Conference of his time in 1992. Iceland was then a member of a group of countries who worked particularly hard on sustainable fishing roads, and Iceland stressed that there would be some way of taking measures to reduce the application of both terrestrial and ploughing institutions, i.e. establishments that had bound both within and outside the jurisdictions of various countries. During this time, a number of factors went together, first of all, a shrinking of institutions within the economic history of many countries, an increasing technology, and a new seat that led to a growing attendance on these institutions. It was the forward view of the Icelanders and other coastal countries, which led to a discussion that led to the ocean - fishing conference that returned to the treaty, to my mind in 1996. It or alongside it discussed the need to make the kind of agreement that we are now confirming. He is very good, and he provides us with many means to go against those who are wrongfully fishing at institutions they do not have the right to. On the other hand, it is a song on the advice of this contract, which was ended in 2006, and we Icelanders along with the representatives of eight other nations, just when I was a minister of foreign affairs, signed under it in Rome, that since then little has happened to him. There were nine countries that would write under him, and recall that Iceland was in a so - called nuclear group of coastal states that prepared this contract, so it is related to the beard in that subject, but the contract needs to be validated by 25 countries in order for it to take effect. Since we signed, not many other countries are fully validated, i.e. I believe that the states of Iceland have become 12, maybe only 11, but it takes 25 for him to take effect. Then I believe that at this special milestone there are two things the Icelanders should do, and the turning point is that we are here to give permission to confirm on our part to the government. These two factors are in the first place that I believe that we on the Foreign Affairs Committee are to be contacted by the State Department of State, I proposed to the minister of Foreign Affairs, to discuss how we can at least talk about it. used the spirit of these laws to those who have been completely catching up in economic history, dancing on it, and like the highest. The President knows, sometimes through her. In recent years, I feel that we may not have been sufficiently alert. This is necessary. Hv. The head of the State Department of State has said in this discussion that he might not consider it delayed to get to the highest level. Agricultural and marine minister. I agree with that. Of the two, based on their experience, I believe that that man would be as inferior as he would be to set up Iceland's affairs, to be perfectly clear. So I suggest that the Foreign Affairs discuss it with the Ministers. There's another thing I think we need to talk to these two fine ministers. As I told you earlier, it is not surprising that enough countries will validate this agreement in order for it to take effect. I have also traced the fact that the Icelanders have a part of the firstborn's right to that agreement. I also believe Iceland is one of the countries that have significant benefits from driving in the ocean so they don't have to worry about kidnapping and shrapnel. Therefore, it is important that countries like Iceland take the initiative to get support for the contract of other countries. That's the second thing I think the State Department should discuss with the two tops. Ministers who have been named, secretary of state and sea emissary; how do you intend to use Iceland, and can exert yourself to validate the agreement in the way we are here? It's a matter of concern to Iceland's interests. The class is that we are doing this formally, and it is only natural for us to use that milestone to examine how we can strengthen our contract and thereby strengthen our own interests and how we too can use certain material provisions in it that, as a matter of fact, can. paritaprevir A Birgir Ármannsson of a year has pointed out, has already been locked into various other correctities in Iceland. Still, we're supposed to use this to see how we can better protect Iceland's share from those who're fucking with us every winter on a Smokey ridge and stealing from us fish.
