ParlaMint-IS_2015-12-19-59.u1	The president considers an agreement that may last longer than the Senate allows.
ParlaMint-IS_2015-12-19-59.u12	Mr. President. A lot of what? The members of the board of directors have acted as if the ideal pensioners revolved around a certain percentage, ignoring the crowns and pennies available to these groups. It is the fact that large groups among pensioners have enormously low resources, provisions of less than 200 thoust. K. No matter how much we talk about 1 percent of that amount, they're still low. It is also true that these groups have not chosen their lot. It does not choose anyone to be an invalid. Although they do not choose to be old even if we want to be old, we also want to be able to live a decent life. The suggestion is that these groups receive repeated increases in order to improve their lives. That's what this is about. And while the sum is very high, I have often seen just the same amount of money going through these halls in a somewhat lighter way. [[The president calls.]] I'll say yes to this proposal, Mr. President.
ParlaMint-IS_2015-12-19-59.u13	A respectable president. Injustice is unjust; it shall be accepted late. This adjustment is for justice; it is that the elderly and the desperate have the same elevations as do others who have been raised by contracts or by the councils, such as the general council. I'm sure it's a matter of right and wrong. The budget bill expects unscheduled expenditures due to increases in government labour agreements. It would be easy to place it in the interest of money, but it is not taken for granted by the back - ups to the desperate and old - age pensioners. I think it's completely incomprehensible, so I beg the Senate to reconsider.
ParlaMint-IS_2015-12-19-59.u14	V.E.G. President. I agree with those who have said this is a matter of justice. This is a matter of answering the pleas of micromanagers and older citizens who asked us who have these matters to meet their demands. They have nowhere else to go. It's a call from more than they're calling for. It's actually a national appeal. Opinions have shown that more than 95% of the people want these groups to stand equal in these matters. I say as do others: I challenge the members of the administrations and the government to change their minds in this matter, and to provide such backward baloney. It would be a very good message for society today.
ParlaMint-IS_2015-12-19-59.u15	Mr. President. The social security laws were set so that the elderly and the poor could maintain their dignity and live a decent life. They weren't put to bed. Administrators could use the letter of law to keep this group of poorest people in Iceland. The same top one. Governments and the same. Council members who support votes against retrospective increases here to sensibilities and disability voted by raising the expenses paid by these same groups for training and using a tool and scraping with several hundred million in the state's funds. This was done for 2015 and is now to keep the group in even less favorable terms.
ParlaMint-IS_2015-12-19-59.u16	Mr. President. The economic benefits of which the government provides a considerable amount of money does not return to all in a just way. The stability we are constantly discussing is about securing a decent standing and decent life for all, whether for older citizens, for microtudes, or for low wages. But the government is going to leave these people behind, and we are faced with the fact that much of them cannot make ends meet with the delivered. I'm going to quote the words of Prime Minister, by permission of the president: There are a large number of people who have suffered from abnormal impairment, e.g. Old citizens and poor people need to get their money done. [...] Iceland has enough resources, production capacity, and knowledge to make everyone well-being. For that, all it takes is a sense of reason to rule the country. A respectable president. This country's government is not making sense.
ParlaMint-IS_2015-12-19-59.u17	V.E.G. President. It is a fine walk in the Icelandic economy that can be seen, among other things, in the budget where the government's income of goods and services increases by 6.6 billion. People have more money to spare, so they can have more time for them. But we who are the honour of a pensioner are not going to let them do this. This 6.6 billion is not to be used by the administrative body, which is the exact cost of our time payment proposals, comparable to that given by members of Congress, in order to improve the benefit of pensioners. To say that pensioners are to be paid less than the lowest wage is to make a political decision to leave the poorest seniors and micro-energy donors in poverty and inequities. [[The president calls.]] We at the government stand are trying to prevent this, and I encourage the members of the board to work against inequities and accept our proposal.
ParlaMint-IS_2015-12-19-59.u18	President. Here's a vote for whether the elderly and the desperate should have the same quality as that of other people in the country. There are insults to all thinking people, and especially these groups, to say that an increase of 9.7% from January 1 is repetitive when talking about the need for 10% from May 1st of 2015. It is also offensive to all thinking people, and especially to these groups, to recite a number of budgets that will be next year but not to the extent that these people will be able to survive each month. I say yes.
ParlaMint-IS_2015-12-19-59.u19	A respectable president. There was a parable, saying, Do justice, do no wrong. It is now quite easy to see that this old song is lost and given to trolls. Today, directors have been given a second chance to right the wrong, with elderly and desperate persons receiving the same clauses as others from the same time. Given the cause, the promises made by the government groups have been made to older ones and micropunchers before the last election. The red theme shows fraud, and it's shocking to see.
ParlaMint-IS_2015-12-19-59.u20	A respectable president. Today, we take counsel on a matter that has been in the progress of the council for six or seven years. Two governments have come up with this issue, two administrations in progress. It is a great deal of peace and satisfaction that this is about to become a law, for this is a matter of determining how matters about public finances will be conducted in the future. It's a lot of planning for a long time, but we're now aware of the budget. It has been a pleasure to lead this work as the chairman of the legal committee. I thank the board of budgets for their good work as well as for the members of the Committee and for all the guests who have arranged a budget. The matter remains the same between discussions like the first and the majority, and the smaller parts do not make adjustments for the 3rd Environment.
ParlaMint-IS_2015-12-19-59.u21	Mr. President. As noted in the discussions on this matter, I think at least a lot of things are good at it, but it's a major flaw, and I specifically refer them to the 7th paragraph. and the right-hand economic policy, which will actually be legalized by accepting this bill. That's why we senators of the left movement, the green offer, will not support the situation. We do not feel that in this way political economicism is legalized, and our members will either sit with the vote or oppose the case.
ParlaMint-IS_2015-12-19-59.u22	A respectable president. This situation has been handled over the last six to seven years by widespread political agreements, and it is important, since there is a need to improve the budget in Iceland, the problem of foundationing and securing greater legal discipline. We in the United States have made comments that certain financial regulations have been legally established by such narrow standards as in Article 7. The bill, and we'll declare it to votes at 2nd. that we don't think we're bound by the rule when we're in government. It is not natural that a government sector at one time contributes to political emphasis in the form of a financial rule that all should be bound by, and we leave the right to change it. On the other hand, we will vote with the bill for this advance.
ParlaMint-IS_2015-12-19-59.u23	A respectable president. This bill is based on a better rule, a more disciplined practice, and a long - term thought that is like music to our ears in a bright future. That's why we support the bill. At the same time, we would like to remind you that there is not enough law and order but that there is also a need to apply it and to apply what the bill calls for. We have tried to discipline our budget, but this fall has proved to be another time when we have failed to keep our promise of improved employment. It's not big changes. These are very big changes, so much effort is needed to live up to the thoughts behind them.
ParlaMint-IS_2015-12-19-59.u24	A respectable president. I want to use this opportunity to congratulate the nation that we are here to legalize this bill, which will without doubt be the biggest and most important law in this autumn council. This involves discipline, long - term thinking, and responsibility in government matters and public finances. But it's true what's happened here, it's not enough to legalize, practice needs to follow what it says, and it's not just a problem. The general body also holds the media and the rest of the media. In view of the discussion that included all the high value in the budget now, I think we are far from the goals we set out in this bill, and there is a pretty good cross - political agreement. [[The president calls.]] It's better to do, but congratulations on these laws.
ParlaMint-IS_2015-12-19-59.u25	V.E.G. President. As we have discussed on this matter, I believe it to be the most inexorable, as the World Bank and the concept of moneyism have subsided. A general body is placed under strict financial supervision but less given for the civil rights and legal commitments in this subject, e.g. Act on patient rights and rights of the homeless people. There'll be no surveillance. I remember as a health minister who worked under the supervision of the World Bank Fund that I was never asked about the impact of cuts into the health institutions of the country, only on the importance of surgery. This cutdown was thought, not primarily by the AGS to achieve financial balance, but to reduce the overall consumption of the welfare community and make it permanent. It's in the spirit of Iceland's Business Council. And there's gonna be a town where we'll have reason to make a big toast and celebrate like a boy. paritaprevir Gullish Þór Þórðarson is already getting ready.
ParlaMint-IS_2015-12-19-59.u26	Mr. President. I'm glad we're putting up a bill on public finances. It will set us up a work programme, both us and the executives. We need to make changes in our habits and habits, and that is why we felt that a financial committee was important to try to discuss a mutual decision. It did quite well, but when it came to the financial rule of 7th C.E. and the rules around her failed, for the rule had not gone through the consultation process that began in November 2011, as did the rest of the articles in the bill. But I'm celebrating it, and I'm telling you, like the chairman of the United States to 7th C.E. will be changed when the opportunity arises.
ParlaMint-IS_2015-12-19-59.u27	Mr. President. Public financial independence is a prime objective of the State's financial policy. However, rather than looking to the international definition that deals with social and environmental factors, this government chooses to look only at sustainability from economic factors. Left green wants the integration of these three factors to decision-making as soon as each generation is referred to as not living at the expense of others. 7. G., financial order, is unacceptable and is new and was not being discussed during the last term. There is room for the use of the government's means of life to sound economic management and balance, too tight. The 30% criteria are not based on international criteria and can be identified as the Maastricht Convention. As a whole, financial guidelines have been noted not to help with economic management during the runoff period or in the event of an imbalance but may be unnecessary to work on the consequences of the contracting process. It is clear that it will change in the future, as has been attributed here. I think a lot of things on the bill to improve the general government of the state of government, but to get along with it, it would have had to adapt to the changes we left on the green. [[The president calls.]] So I'll be sitting by the vote but I'm not at 7th degree. In particular.
ParlaMint-IS_2015-12-19-59.u28	A respectable president. I believe we're taking a very big step in creating a budget in the spirit of the 21st century by means of that bill on official financial matters. In particular, I would like to point out the article that makes it necessary for the budget to be available in computer-reading forms that make all comparisons much easier and much more readable and will make it easier for all the budgets. It hasn't been so far. Basically, I'm very much in favor of the bill. We should have done all this a long time ago. Congratulations.
ParlaMint-IS_2015-12-19-59.u29	A respectable president. I'd like to start by wishing to the highest. The secretary of finance, happy with this work and the fact that we are about to accept the laws on public finances. Work on the law began during the last terms, and we in the advance group supported her with a complete mind. I'll admit that I was surprised that the changes wouldn't go through them. As soon as I'm happy about this, because I believe this will contribute to improved work practices, increased discipline, and firmness to the fiscal arrangement, I want to point out that in the last government, the so - called museums were transferred from the legal entity to the recruitment process, and that was a mistake. That was a big, big mistake. A financial committee has now taken back one of them, which is good, but I would like to say that if it turns out later, we need to change and correct these laws, I will. [[The president calls.]] Just as mistakes were made during the last term, we must not overpower the authority of counsel. The government is supposed to be at the General Assembly, but I'm glad we're accepting the bill here today.
ParlaMint-IS_2015-12-19-59.u30	A respectable president. The Pirata House votes with the bill. I'd especially like to mention and celebrate the final verse of verse 16. dealt with the printing of a database of the budget of the budget for computerized formats. I have explained how important it is and have it developed before the release of the next bill for funding, I have to say that I am looking forward to working with it, assuming that it will further use others in the community to have a better perspective on how the budget works, what is in the bill, what can be changed, and with what result. I'm so happy and thank you very much. The budget for taking into account the viewpoints observed in the past.
ParlaMint-IS_2015-12-19-59.u31	A respectable president. I'm so glad we're finishing this matter at the council. This is a stage in the process of making more of the money. This new bill highlights long-term thinking and policy. We make a great deal of demands on the board, to the recruitment process, which will take place. There will be an increasing strain on the budget, along with the budget of long - term policy barriers in individual litigation groups. With regard to financial rule, it has brought great benefits to others. If you look to the countries where things are right, it is usually characteristic of those countries that they have financial rules. We've set such financial guidelines for Iceland's rural communities. It has also proved to be a wonderful experience. The financial rule has become the norm. It is widely recognized in local affairs to refer to the financial rule of success or failure. [[The president calls.]] We in Iceland should bear in mind that we have one of the greatest equations found in Europe. We've got a problem at the concierge gate. This is not done by setting a rule such as this in order to deal with the basic problems of the financial debt. Those who proclaim that they will change this rule are proclaiming that they will appear here before the council and later say: "Let us owe more, let's run the state with more angle than the law says. [[The president calls.]] I'll always protest it.
ParlaMint-IS_2015-12-19-59.u32	President. I put it here yesterday that I'm on notice of this bill. This is because of doubt about the need for 1st paragraph. So I'm going to sit next to her. Other than that, I support the bill.
ParlaMint-IS_2015-12-19-59.u33	Mr. President. As we know, we are what we are. paritaprevir Valgerður Bjarnadóttir to become the same person and here I could repeat her warning almost unchanged, i.e. My target is 1... which is about the volume rule outlined here in the discussion. Other than that, I support this matter.
ParlaMint-IS_2015-12-19-59.u34	A respectable president. Yesterday, I spoke in a long way about this so - called volume rule. It's pretty consistent. The 34th bill that I laid out in the fall and that has not been discussed. I'm not comfortable with the fact that, in this order, real estate sales are not being taken into account for further reviews. It is based on 40 - year - old laws, long out - of - date, and out of touch with something else in this rule. I'll let myself have a vote with this, but I'd like the bill to be discussed in the spring council. I'll say yes to this.
ParlaMint-IS_2015-12-19-59.u35	President. I thank the U.S.R. for finishing this case, whatever the case may be. Yes, it is clearly well, and I am very happy that after 12 years we will be able to validate a very important optional book making on a United Nations Convention against torture and other cruel, inhuman or demeaning treatment or punishment, called the OPCAT method. I hope we have a very good look at how this is going to be done. I thank all members of the council who have shared in making this possible.
ParlaMint-IS_2015-12-19-59.u36	A respectable president. I agree with them. A senator who spoke earlier and congratulates us on having to validate this account. Better late than never. In this context, I also encourage governments and the General Assembly to validate the rights of disabled people on the very first. We want to do well in human rights. [[Let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's ……]]
ParlaMint-IS_2015-12-19-59.u37	V.E.G. President. I'm happy that there has been a great body of agreements on this matter, since, of course, at the Allied Council of Iceland, to validate books on such important matters as preventing torture. I think it's important to say to these releases that it's fun to see so much of the Parliamentary papers, where more of all committees are united in supporting the case.
ParlaMint-IS_2015-12-19-59.u38	V.E.G. President. I share in happiness wishs, but I stress that our happiness is not meant to be in the form but in the content. We worked on this case during the last term, and I know that this case is still being handled by the State Department of the Interior. current Minister of State. What has been happening in this regard is not the will to make sure that Iceland does not practice torture or that prisoners or others who are deprived of their freedom are subject to inhuman treatment, but that the founded monitoring factor is not yet there. However, this work is being done. I want to emphasize that this case is not being born today.
ParlaMint-IS_2015-12-19-59.u39	A respectable president. I want to thank the High Council for bringing this matter to a conclusion. I think this payment must prove that the Council is not a corrupt institution, as many think. We can do good things here on a solid basis, even if the initiative is not necessarily from the administrative point. I want to congratulate not only the high Council and the inmates of the country but also the way the General has dealt with it. That is fine, and as we look to the future, let us look back to that time.
ParlaMint-IS_2015-12-19-59.u40	A respectable president. I'd like to recommend an extension party to a greater proportion of the budget board. Under the committee's opinion, you'll write to me as well. Councilmen of Guðlaugur Þór Þórðarson, Daðason Eminundon, Haraldur Benedict son of Benediktsson, Páll Jóhann Pálsson, and Valgerður Gunnarsdóttir. The committee has discussed the bill after it returned to her after the second. December 17th. The members of the Department of Economic and Economic Affairs have visited the Commission, as well as representatives from the State Reexamination and the National Bank of Iceland. These people have overstepped the government's budget for the release of capital stocks on income and financial expenses. The government's budget emissions programme is now still going into effect, since crews have agreed to a bill for broken-down agreements due to the three largest banks and a vast part of the development of more than the 3rd bill. has to do with that plan. The cover of the committee's view is a tablet that reviews the impact and what actually falls under stability. It is to form free money of 17.2 billion, inexpensive property in crowns of up to 17 billion, in county of 28.5 billion, in treaties in foreign currency of 14.9 billion, in terms of capital gains of less than 2 billion, 95% holdings in Iceland banks up to 18.7 billion, and financial bonds in Acquirement at Aron Bank of 84 billion. Then there's another effect on stability, 17 billion in minus the decrease in bank taxes due to the population of fences and a total of 3. stable donations that go on the income side of the state's budget of 338.9 billion, a respectable president. As a result, for the first time, the total income of the state is over 1. Billions at the base of the network, exactly 1,041 billion. Overall, more than 340 billion dollars are included in proposals. and cost of more than 4 billion at the base of business. It is estimated that the total income, as I did earlier, will be over 1,040 billion, and the cost will be over 695 billion next year. Without stabilisation, income will be over 700 billion and cost 693.6 billion. In view of only 6,7 billion dollars, a planned business change is expected. The greater part highlights the need to make sure that stability efforts will be fully spent on subsidies of the state's debt and will pay particular attention. In any case, this plan and plans must not be violated and referred to in this discussion in the members of the greater section of the 2nd Environment. Noting the increase in pension debt and the impact of the elderly on health expenses, it was noted that there was an increase in pensional commitment and the influence of the increase in the number of elderly. A significant decrease in the debt of state funds is the prerequisite for a longer-term sustainable budget. We're here making a special suggestion for funding on the income side of the budget because of a stability proposal total of 348 billion next year. Other contributions also affect several other income groups. It has the highest volume of 17 billion. the income of a planned bank tax that goes down, as it is now assumed that all the large swellings of the bank will be successful in paying stability instead of taxation. Another effect on the income side is the rise in interest rates where government funds earn all the money in Iceland Bank. and increase in interest, where the state's funds also receive bonds owned by Ribalbus, with a bet at Arion Bank. The result is about 1.5 billion. increase in income from a tax paid by the state's fund, but it has no effect on the whole living, where the same amount comes to pay from the state's budget and zeros it out. As long as I can remember, it is right to assume that the banks that the state is now receiving this operation will be hosted in the State Bank Office. Other assets that the State receives through the payment of this stability flow into Iceland's National Bank of Possessions. To put the active 6 gr. the contents of the pack by the end of the month 3rd. Funds have been dropped, but since then, because the legal basis for the UN Society's holding organization is not quite strong, and the secretary of finance has already provided a bill at the council that strengthens the legislation around this building. A meeting has been made between the councils to speed up this matter and that it will be the law at the beginning of February, at least In time, let's say, for it's not yet time for the state to accept these assets. On the other hand, everyone's will is that the outside of the government's belongings be built on a strong legal foundation. The pay-off is not expected to be influenced by any other effect on stability returns than the above-mentioned capital tax paid by the state fund. In the bill itself, a reduction in interest of interest due to the financial payment of the state's deposit was expected to reimburse the Federal Bank of Iceland. However, a suggestion is made about four other changes to the remuneration side. First of all, a proposal is made about 1,096 million. K. raise the budget of the rural budget, but the change is twofold. We make this suggestion to fulfill our agreement with rural society on the affairs of disabled persons, for there has been a disagreement between the local community and the state after transfer of the Party to the local community on how much the state should be brought into that group. What a joy it was that this arrangement was reached just before Christmas! This is now the time to reset it with this adjustment. Secondly, we're going to suggest 1st. Millions are making temporary contributions to the Hospital to increase the patient's resources, especially those who do not have to stay in the emergency departments of the Land Hospital. Thirdly, we're going to propose a 250 million. K. contributes to the maintenance of housing for the Hospital. A total of 3rd passes into medical procedures. 1,250 million, and how happy it is, for the government of the government! The prime minister of Jehovah's Davíð, Gunnlaugsson, has always put health matters first. Fourth, a suggestion is about 175 million. K. temporary contributions to the State Radio to promote production of acting Icelandic TVs and national programs of independent filmmakers. Here are three more adjustments that relate to all the stability initiatives. A new format of Article 1 and 2. budgets so that various joints will be shown both by and without stability. This is so that those who read and who are interested in the financial affairs of the State can better see what is meant. There are new definitions, which are greatly improved in order to see how the stability proposals will enter Congress documents and later be transferred to state accounts. We also contribute to that change of 5th suit. in addition to new numbers where financial and economic ministers will be authorized to borrow up to 200 billion dollars. or the equivalent of that amount in a domestic or foreign currency to enrich the currency exchange. It seemed necessary. This number was higher when the proposal came to the budget. It became an agreement to take it to 200 billion dollars. and I remind you this is only allowed to intervene if necessary, security clearance. If it is not used or not fully used, it will fit into budgets for 2016 as a minus number. In the chart on the stability framework of the table on page 5. 1 The commission shows that although large amounts of money are included in the donations, most of them will not be at their price immediately. The next year, free money is just over 41 billion, which will be arranged to pay off debt next year. It is thus not expected that next year the debt of state funds would drop beyond the fact that the funds due to the reimbursement of the Federal Bank will be paid up in the year. Its posts at the end of 2015 are estimated to be about 90 billion. The majority stress that the implementation of a budget will continue to be carried out in terms of prices so that property items will be sold in the years ahead and that all sales will be guaranteed to reduce the debt of the state. The government budget is covering a far greater scale than the proposed budget for 2016. In addition to the stabilisation process, increasing recovery of Iceland's National Bank on Upstate Refining can be estimated to be about 81 billion. That way 30 billion can. The weight - loss tax paid by broilers was reduced by negative tax subsidies. The total pay to the public is estimated as a total of 495 billion dollars. In addition, there are further counter measures planned and are estimated to be a total of some 660 billion. There are large and large amounts of money, but the overall impact of this government action is then some 660 billion. The majority of them call attention to drawing back 2nd round. proposal 13 million. K. As a result of lower housing costs, the financial resources of the office increase to the actual value of last year's commission. This allows for an even greater scope for taking initiative on the part of the office. We stress that we are going to fail to make this suggestion, and it comes in here, and we suggest that it will be approved and that in the coming year we will have to formalize financial relations between the Generals and the office of the General Agent. This involved some strange transactions in which the General Assembly is at the facility in which the U.S. Marshal is currently in charge. The Commission was assigned to pay stock costs, but it has come to an agreement that these matters will be reviewed and restored. On page 18. 4, 5, 6 and 7 give explanations on both the side of the income and the adverse effects. This is part of it. Here is a special consideration of the Kingdom News; here is a special discussion on the payment of legal services to disabled persons; here is also the discussion and a special section on the County Fund for the Reassessments I went over at the outset; here is a special section on the maintenance of the Land Hospital and a special section on the flow problem of the Land Hospital. But I'm only going to make the State Radio part of this talk. Other committees will talk about other chapters to be said. There's a suggestion about 175 million. K. a temporary contribution to the state radio hf. to promote a national program. This is not a change in the radio fee. It is a contribution from the government fund. The budget shall be protected in order to increase the purchase of the Kingdom News on materials from the independent national producers. During the current year, the price to buy is estimated to be about 450 million. K. and that amount is expected to be 625 million. K. next year. In view of the greater part of the 2nd. in 2015, it was concluded that a budget committee has not received satisfying answers on the business of the community and that the Minister's Committee on State Money had not agreed with a management programme, a requirement for the RUS to obtain 181 billion. K. The funds and the payment of the company would be paid. The majority expect this to change in the coming year, pointing out that with renting houses and other economic activities, the Government Radio has responded to business problems. Cabins can study about 60 million. K. In addition to sales of construction rights, a debt that could be reduced by some 1,500 to2,000 million would be reduced. The majority consider it to be a very positive development, and it encourages the government to inspect the Public Radio Network in the context of communication systems to achieve the most practicality. The greater part of the report shows that a special temporary budget for the national programme of the Kingdom broadcast is a more competitive state of the nation's illuminating systems. Therefore, it is essential that the Ministry of Education and Culture establish a future policy for the growth of national programs in general, where all the media are at the same level. It must especially be considered whether it is wise to set up an independent program fund to promote domestic programs that would become largely financed by a radio fee. The majority feel that from a cultural point of view it is important to promote national programs, both radio and television, and that the legislatator can guarantee it without increasing the cost of government funds or the increase of pay paid on individuals and legislators. At the same time, it is necessary to promote equality in the media market and contribute to the distribution and variety of programs. The majority also refer to the Ministry of Education and Culture that in the new Ministry Service Convention and the State Radio, there will be a staging strategies on the basis of a program during the contract period. At the same time, I remind you, the 2nd. was approved by the majority of the proposals to provide 60 million for the State Radio where more currency turned out to be in budgetary programmes. Now more than 200 million are being added to Our Kingdom News, and it is the hope of everyone here that the work that has been going on and that the company will lead to success and make a successful decision for all of us. A respectable president. I'll make it my suggestion that any adjustment proposed by the majority shall be adopted in vote 3rd. and, finally, thank you again for your good work as well as for the staff of the Committee for much patience.
ParlaMint-IS_2015-12-19-59.u41	Mr. President. Thank you. A senator for the speech. I'd like to ask her about the State Radio for a minute. We've got 175 billion in here. K. The conditional contribution, which is about 60 million. That's really the part the government fund was going to keep because today's entire radio bill runs to the State Radio. So it should've gone for the law anyway. But I didn't mean to talk about it. I want to discuss these 175 million. Have they been prophesied by the senator? All I'm worried about is the negative market of the road type's own money, as we know. This actually seems to be a loan to the State Radio. Does the senator understand the need to reimburse or move in the same way that is in the Road Building? There's no other entry. [[The president calls.]] How is this moving in the Book of State? I wonder because I'm worried that it'll be negative about the Kingdom News next year again. This is beyond the limits of income.
ParlaMint-IS_2015-12-19-59.u42	A respectable president. This is moving like other contributions made by the fund to make a suggestion that this proposal will be accepted. This is a temporary donation that is being implemented for the development of VOLV to promote Icelandic filmmaking. I don't even get in on them. I'm not even thinking about how RIV's going to spend that money. RUSH is the center of the program. I think this is a very positive step. Yesterday, a very interesting report came from the industrial minister on the scope of the film industry in Iceland. This industry here has a positive economic effect, but it's like all the other contributions the capital makes, it's a transition operation, and it's just going into RUS's business.
ParlaMint-IS_2015-12-19-59.u43	Mr. President. It is as if the contributions made by the Road take single action. Like what? A senator knows that we've talked about it, but that doesn't change the fact that there's more money than market money, and it's gotten to be a negative of its own. I'm really worried about this. I'd like it to be investigated because the radical contributions there have been made. Nothing confirms to me in this operation that it will not be that way. These are kindly comments because I want this to be checked carefully. I see that a minister here whispers to the chairman of a legal committee, so he directs them to the point that they have all their senses open and wondered how the Constitution intends to move these things.
ParlaMint-IS_2015-12-19-59.u44	A respectable president. I'll say again, it's a temporary donation to RUS. It's not a loan to RUSB, as it is in Vega's case. [[Up front.]] It's a temporary donation. Congress can make these decisions, and then, of course, it's coming into the dark side of the Government Radio and Create on the State Fund. I would also like to remind you that the council adopted public financial legislation just before noon. They contain largely market incomes and that each case will receive a donation from the state. That's exactly what they asked them at a congregation meeting with a budget committee in the week on how they would do it. RUSH falls under the 19th figure of that bill, and that's when it receives a national donation that is determined by a minister of education.
ParlaMint-IS_2015-12-19-59.u45	Mr. President. I cut it down in my speech anyway. A senator wrote that 1 billion are going to the Hospital. However, when the adjustment is considered, it is suggested that 1 billion go to aging institutions in general. I want to pray. A senator is going through this a little bit. There is no place to receive elderly ones who have been at the Land Hospital. We know this, but I ask, What advice is there to take in 2016? Is that a place to live? How will this crisis be solved? Is it not true that there are 1 billion non-surgents left because of more patients in 2016?
ParlaMint-IS_2015-12-19-59.u46	A respectable president. Of course, the decision to make this contribution is made in cooperation with the director of the Land Hospital. The order of the health - care minister is to have this implementation, for as we know, there are too many beds in the Land Hospital for people who are supposed to be in a different area of the medical system. I asked the exact same question at a meeting yesterday, asking if there is any of the resources, whether or not the Land Hospital could be cleared quickly and effectively. The answer was yes. There is a plan that has already worked, that money is making a quick and effective contribution to the Land Hospital so that it will be better to carry out its role as a national hospital. [[The president calls.]]
