ParlaMint-HR_2016-11-30-0.u17819	Here's my colleague Branimir Bunjac.
ParlaMint-HR_2016-11-30-0.u17831	Thank you, Mr. Vice President. Here I would like to look back at the waste management plan by 2022, which is still in public debate for a few days. Namely, this plan is one of the strategic documents of our further development, especially as regards waste management. What's quite shocking is that this program was built pretty much to say from the hills, from the valley. So the plan mentions terms that don't exist at all in professional terminology such as... compost. [[The speaker doesn't understand.]] The data that are missing in the waste management law itself are listed in order to be contained in the Waste Management Plan. There are no concrete figures in the plan, no number of capacities currently in place in the Republic of Croatia, and I believe that we should definitely, we have a few more days to fix, improve and put into the waste management plan itself. We're aware of the fact that we still have a very short deadline for this plan to be made, because we're going to have an opposite penalty. But a lot more needs to be done, repaired and seen, maybe some suggestions that have come about changing the waste plan. What is quite absurd is that we plan to set ourselves some goals that are not even prescribed in the EU. We set ourselves to recycle 60% of the waste, the EU directives say we need to recycle up to 50% of the waste. I don't see why you'd give me much more homework than they're actually needed because that's why if we commit ourselves to a larger amount of recycling then we'll have to pay for the foam because we won't do it. It's actually very difficult for us to get to that level by 2022. The 60% mentioned in the plan is in the public debate of some new directives, but we are not obliged to put it in our waste management plan. Among other things, some waste management buildings are listed in the plan itself, but it is absurd to list inside buildings that do not have work permits. So in one strategic document, the Republic of Croatia, I think it would be a shame to list buildings that don't have permits. One of the other items in this plan is quite worrying, it's dangerous waste, it's not a large amount of waste. So the Republic of Croatia has only 3% of the hazardous waste in its total waste, but it's been working on a pretty large amount, so that's about 35,000 to 40,000 tonnes at the annual level, and we pay 800 million kuna from our budget for its disposal, and we usually export that waste. So we should also work on some solution to how to take care of this dangerous waste that wouldn't be so expensive. Then let's say the absurdity in this waste management plan itself that in one part of the plan mentions that waste mud does not exist in Croatia at all, and a few pages later it says that the disposal of waste mud must be improved. Another very important item I urge the ministry to do so. The waste management plan lists the composts and mentions that we have a shortage of composts which is both the fact and the deadline for their implementation until the end means we set ourselves a 2020. The composts don't even have specific locations where they'd work for now. So you know for yourself how the procedures are going and that you should first go into changing spatial documentation in the preparation and implementation of the projects themselves, so we have again set ourselves a plan and one goal that is impossible to achieve by 2022. Here I appeal to the public debate until 2.12. I know that it is a short deadline for us to do so because of our obligations towards the EU, but I appeal to all those in charge and to the ministry to respect the remarks that will come and that this plan should be done as a strategic document which we will not be ashamed of. Thank you.
ParlaMint-HR_2016-11-30-0.u17832	Thank you. Next debate, Club of HDZ Representatives, distinguished counterpart Ivan Celic. Here you go.
ParlaMint-HR_2016-11-30-0.u17833	Your Honor, Mr. Vice President. Dear colleagues and colleagues. From 15 November to 15 December, the Republic of Croatia marks the Month of Combating Dependence. The owners of preventive programmes are the County Institute for Public Health in cooperation with local self-government units. The latest results of European research on smoking, alcohol consumption and drug use among students have recently been published. In Europe, this research has been conducted since 1995 among students who are 16 years of age in the calendar year. Thus, although there is a tendency to reduce drinking and smoking in adolescents, part of the European tobacco policy measures introduced in the last two decades and alcohol, Croatia is, unfortunately, still ahead of the results of both alcohol and tobacco consumption. What is particularly stated in the ESPAD report is the emphasis that has been placed on new psychoactive drugs, unmoderate internet use and online gambling and gambling, so for the first time it was the aim of this research. Partly used data other than ESPAD are important research data on the health behavior of children, young people, children of school age. So that compares three age groups of 11, 13 and 15 years of students and students and what is worrying about all these statistical indicators Croatia is always at the top of therefore always among the first five countries, mainly as regards the age of first alcohol consumption or smoking. So according to the latest results in Croatia 38% of students never smoked cigarettes, while 62% had that experience. So according to the 2015 results, 33% of students aged 15 to 16 in Croatia are current smokers. What is the problem also in Croatia is 72% of students say they can easily or very easily get cigarettes. As for alcohol consumption, according to ESPAD 2015 data in Croatia 92% of students in life drank alcohol, 55% in the last 30 days, and 16% experienced drunkenness in the last 30 days. So this phenomenon of consumption in one day puts five or more alcoholic beverages back at the top of Croatia compared to other countries not only the EU but the whole of Europe. As I come from the field of treatment of addiction as a psychiatrist, I can therefore say that one of the national brands in addition to transplant medicine and treatment of opiate addiction, so there is always Croatia at the top of the opiate addiction, however, indicators for young people, for under-age talking about the need for further development of preventive programmes that will be organised by competent services, so primarily for school medicine and metal health services, prevention, extra-patient treatment of addiction in the county public health institutions. One of the measures that certain units of local self-government have introduced, such as Vodice, Nasice, Rijeka, Osijek, so they have adopted a regulation at city level on the ban on drinking alcohol in a public place and is an indicator of the local self-governments' positive prognostic outcomes. As regards the use of psychoactive drugs, therefore, Croatia is above the European average according to the consumption of illegal drugs in life, thus 22% of students say that at least once in their lives they tried drugs. Once again, the biggest problem of these illegal psychoactive substances is the consumption of cannabis or marijuana, and according to the USAD study in 2015, nearly a fifth of students took cannabis at least once in their lives. It is therefore necessary to develop further preventive programmes at the level of the county, at the level of units of local self-government, with particular emphasis on Internet use, playing games and gambling. Thank you.
ParlaMint-HR_2016-11-30-0.u17834	Thank you very much. And the last debate of five minutes, a distinguished colleague of Nikola Gromoy, on behalf of the Club, a representative of the Most. Here you go.
ParlaMint-HR_2016-11-30-0.u17835	Dear Vice President, colleagues and colleagues, the colleague has had an exhibition on the waste management plan, which is important to emphasise that the public debate is still ongoing, that all constructive remarks and proposals will be respected but should also be stressed that the SDP was not where the plan was made in time. Therefore, the EU's EU pilot has EU rights violations and this plan, which the government intends to bring under the leadership of Minister Dobrović, is a plan that respects the circular economy, which is concerned about circular waste management, which does not favour the waste mafia and major waste management centres. We know that great funds have been beaten into this, we have Mariscina where 40m euros have been sheltered, and this large centre is not yet functioning and it is not in function at all, and the fact is that what he intended to bring in Minister Zmajlović for our citizens to pay more waste management, so that we would pay for burning instead of separating useful raw materials, which Minister Dobrović intends to change and that will happen regardless of the great resistance. When you question composting and you mention the concept of composting, I must warn you that management was the base of waste management because if we separate the waste, then everything else is easy to separate. And then that process goes in the right direction. Those who attack the composts are usually advocates of these big centers, which is exactly the junk mob I'm talking about. 65% of recycling is the EU's new targets by 2030 and paper is 90%. Why would we set ourselves some kind of minimum that's now set at 50%? Well, I guess we're interested in setting some more goals especially if it's going to benefit our citizens and if they're going to pay less with waste management. And not that those who are the great advocates of those centres where the waste would be burned and then we would still pay for it, so our citizens were paying for it means we're going in their favor. I am certainly not for that option, I am for the option recommended by the European Commission means where we get a letter to support this concept in which new centres can be said to be considered only if all existing capacities are used. And I think that this direction that Minister Dobrovic took is a good direction, that it is a shame that the previous ministers did not go in that direction. It is a man who understands the problem and who will certainly be able to correct it if there are things that do not stand and need to be changed. And I am sure that Croatia will get a modern waste management plan and most importantly that waste management will pay less for our citizens. Thank you.
ParlaMint-HR_2016-11-30-0.u17836	Thank you, too, dear colleague of the bush. Dear MPs, I warmly welcome you all. We're continuing at session two. I see there are some interested in taking a break, but here's just to make this introduction and then we'll take a break. As announced yesterday, we will continue to discuss the tax laws package. At a meeting of parliamentary party representatives' clubs, it was agreed to conduct four joint discussions on tax laws. The right to have a united debate on the first two points of the consolidated agenda is: - Final proposal of the Law on Amendments and Supplements to the Law on Value Added Tax, Second Reading, P.Z.BR.28 and - Final proposal of the Law on Amendments and Supplements to the Law on Profit Tax, Second Reading, P.Z.BR.18. The proposal is proposed by the Government of the Republic of Croatia on the basis of Article 85. The Constitution of the Republic of Croatia and Article 172. This Regulation shall enter into force on the twentieth day following that of its publication Rules of Procedure of the Croatian Parliament. The material was delivered to the boxes. These legal proposals will be discussed in accordance with the provisions of the Rules of Procedure relating to second reading. Amendments may be submitted by the end of the debate pursuant to Article 197. Rules of Procedure. The debate was conducted by the Committee on Legislatives, the Committee on Finance and the State Budget, and you received reports at the session. Before I give my word to the proposer's representative, I invite you now to speak to the honourable Minister of Finance, Zdravko Maric.
ParlaMint-HR_2016-11-30-0.u19786	Thank you very much, Mr. Vice President of the Croatian Parliament, ladies and gentlemen of the Parliament. Therefore, according to this proposal, I will refer firstly to those key amendments and amendments that we have proposed in the draft Law on Amendments and Supplements to the VAT Act or in the Proposal for the Law on Amendments and Supplements to the Tax on Profits Act with a specific apostrophemation, which is potentially amended, corrected in relation to first reading. The first reading where we had a constructive and dynamic debate here in the Croatian Parliament, and also at the government level in terms of additional consent, because in all these proposals that we will discuss these days, you can expect that there have been certain technical and nomotechnical additions of the bill so that they will indeed in this form, which were given before you on the table, justify this epithet of the final proposals of the law. As far as VAT law is concerned, I'll just repeat myself. So, according to this proposal, it was the biggest and part of the debate was actually about VAT rates. So we keep the system with one standard rate of 25% and two down by 5 and 13. The 5% rate remains unchanged, while the following categories cross from 13 to 25. These are the hospitality and delivery of sugar, while from rate 25 to 13 pass the car seats, the supply of electricity, the public service of collecting mixed municipal waste, the delivery of urn and leas, and the delivery of instructions to agriculture, seedlings and seeds, fertilisers and pesticides, agrochemical products, and cattle food as we called it in the first reading, and here I would point out that we explained exactly what was done in terms of the category of livestock food compared to the first reading. So, to be precise, it's animal food other than pet food. The provisions on the services of doctors on the ground are also specified. In order to implement the exemption independently on the legal form of the supplier, it is proposed to supplement the provisions concerning the exemption from VAT payment for medical care in the context of medical and auxiliary medical care activities as well as services provided by dental technicians, and the delivery of dental prosthetics, substitutes supplied by dental technicians and dental medical doctors. Also, we are in the framework of the Government's debate proposed to amend certain points of Article 131. In order to clarify the application of the infringement provisions and the erasure of paragraph 3 containing provisions on the protection of the prohibition of the exercise of activity, in view of the fact that the measure in question is prescribed in Article 54. Infringement law as a general rule. Therefore, the whole of Article 131 of the applicable law has been amended. What I would like to mention here regarding the amendment of the Law on Amendments and Supplements to the VAT Act that there are certain proposals which cannot come into force, i.e. according to this proposal, come into force after obtaining consent from the European Commission, so we have in this proposal, the final draft of the law, and we have provided for them with an entry into force of 1.1.2018. This is, above all, a deduction of pre-taxes for purchase or rental, and related services in passenger cars and other means of transport whose value does not exceed 400,000 kuna, and an increase in the threshold for entering the VAT system to 300 thousand kuna. On that first element, I'm talking about a 50% deduction on pre-tax or car rental. These are, of course, measures that will directly affect entrepreneurs in terms of simplification but of course also greater liquidity, but in particular this measure concerning the raising of the threshold for entering the VAT system is something that will make it much easier for those who are somewhere today to be on that edge of the existing 230 threshold. As regards the Proposal for a Law on Amendments and Supplements to the Law on Profit Tax, I will repeat once again that in this law, that is, in this proposal we were guided by the principle in any case of simplification, abolition, elimination of certain reliefs, releases and exemptions that made the system quite complex and difficult to monitor, i.e. implementation. But at the same time, he sent a very clear message on the tax discharge of the Croatian economy, i.e. entrepreneurs. So, what's important to mention, so to reduce the overall profit tax rate from 20% to 18%, with those taxpayers whose turnover does not exceed 3 million kuna per year, and here I'm going to say we're actually talking about 85% of the total Croatian entrepreneurs. For them, the profit tax rate is practically 12%. I repeat again. So, we're removing reliefs mostly from the one the biggest debate was being held in the first reading, so I'm going to explain it a little bit more in advance. It is a relief for the reinvested profit that I repeat again I was sure I was introduced with a good idea and a good intention to use it and to encourage the investment activity of entrepreneurs, i.e. Croatian economy. However, its results and effects are as follows. In the first two years, the tax relief was used by 1.8% of Croatian entrepreneurs, and the effect fiscally in terms of the budget was significant. Thus, there was a reduction in the tax base of slightly over 7 billion kunas, i.e. in translation, that is some billions and 400, billion and 500 million kunas of tax reduction. Afterwards, there was one correction in the law itself which meant a little service of the criteria and conditions of use of this relief in terms of the number of employees and the obligation to invest in long-term material assets, which actually meant less attractiveness for entrepreneurs, and this number was reduced. In 2015, the reinvested profit, i.e. the reinvested profit relief, was used by 0.8 entrepreneurs, and the total amount was somewhere to reduce the tax base from slightly over 2 and a half billion kuna. So, I repeat again. So these figures and all that is related to this relief, and I have to point out one more fact, which is that that relief under the law can't and couldn't be used by craftsmen, could not be used by institutions, and some companies, since, by the letter of the law, they are pronounced as such exceptional. So we think that there was one good part of it and the element and some inequality, if you want injustices, or injustices amongst, within the Croatian economy, and that is certainly one of the reasons why we have decided and why we suggest that this relief be lifted. But, of course, it's being translated into this strong message, and I'm going to repeat the reduction in the overall profit tax rate from 20 to 18, and for those whose turnover does not exceed 3 million kuna to 12%. As far as the other categories of this system are concerned, we have kept the relief for the areas, supported areas of the first category of 50%, and one change compared to the first reading, we have also noted the comments we heard during the parliamentary debate but of course also in the context of what we were conducting as a debate at the government level. So, for the city of Vukovar, there remains a 100% relief. These newspapers and all these changes come into force from 1.1.2017. As regards other details which have been changed, therefore, the infringement provisions and the article of the law governing the payment of taxes after deduction have been amended. The exact time limit in which the tax is paid after deduction is specified. The law is also nomotechnically regulated according to proposals between the Croatian Parliament's Legislative Committee where the deadlines for the adoption of certain regulations are laid down, and the reasoned feedback of certain provisions with the application of the 2016 corporate tax application, in particular the article u5. a final draft law on write-offs other than those of the NPLs. When I mentioned these NPLs here, I would just point out that, as you know, we have anticipated the possibility of fulfilling our commitments under the National Reform Programme, as well as following the recommendations of the European Commission, and, of course, some of the experiences of other countries to deal with this form of tax system in the treatment of non-refundable and hard-to-charge loans. Therefore, a one-off measure in 2017 as a expenditure shall be recognised as the amount finally written off to the debtor. Here I must again specify the first reading we added an even clearer statement in the sense that the law complemented the debtor to receive a statement that there is no debt. So I will repeat once again, this proposal that we are going before you or the Croatian public is in this sense that credit institutions have the possibility of a one-time write-off during 2017 with the state of these so-called so-called so-called credit institutions. Bad NPL loans from 31.12.2015, but that write-off must be final. They're equating, of course, with no change in tax-unrecognized expenditures, what I would say about the change compared to the first reading, I'm going to point out once again the situation that we also presented in the first reading, which is that we have given one opportunity that we consider to be welcomed and accepted by the economy, and here I mean not only great entrepreneurs but also all those businessmen who have several related companies and companies or other forms, which is the possibility of identifying and making so-called. transfer pricing agreements. This is one problem that we thus show a very clear message that the IRS is certainly trying to be a service to citizens and entrepreneurs where and where more and simply be at your service. Compared to first reading, this is also enabled for interest rates between taxpayers. Namely, the possibility of establishing a tax-recognized interest rate and applying transfer prices is prescribed. Due to large fluctuations in the financial market and open foreign borrowing opportunities, it has been observed that the market interest rate from the Republic of Croatia cannot always be the starting point as such. The taxpayer will now be able to choose the option of determining the interest rate using the transfer pricing method and the interest rate published by the finance minister. And these are about the most important notes I would like to say and mention, before we open the discussion in the second reading, there were some other petty ones, let's call them that, technical and nomotechnical finishings compared to the first reading. Thank you very much.
ParlaMint-HR_2016-11-30-0.u19787	Thank you, Minister. We have six replicas. The first one was answered by a distinguished colleague, Ivan Klarin. Here you go.
ParlaMint-HR_2016-11-30-0.u19788	Thank you, Mr. Vice President. Mr. Minister. All this sounds wonderful and wonderful, but I must conclude that this is a complete tax reform, that you break it over the back of a sector, and that's the catering sector. With this you destroy numerous families that are engaged in hospitality, not on the Adriatic, on islands in national parks what wonderful and beautiful it looks like, but in rural areas especially of my Dalmatia. It pains me to see that numerous rural households have announced the closure of their rural households in view of the huge increase in VAT rates. I have to conclude, unfortunately, and I believe that even the boss is engaged in catering that VAT would never jump from 13% to 25%, so I'm going to call this tax reform the head of reform in the future. Thank you.
ParlaMint-HR_2016-11-30-0.u19789	Replication response, Minister Maric.
ParlaMint-HR_2016-11-30-0.u19790	I'll call you, however, the honourable representative, regardless of the rhetoric you're using. And I'm going to use the same law as the minister and state official since I'm a guest here, to give you the same words. I'm going to call you Mr. Honorary, although I'm not entirely honest with you in view of your rhetoric. As for hospitality and what you've said countless times, I've also said in the first reading that in this way we're returning the tax rate that was reduced three years ago. We believe that in this way we do not do anything like you call it, damage or excessive reasons for the closure of business and so on because in the overall and comprehensive tax reform that you have sat more in the context of the first reading here in the Croatian Parliament and that you have read more of the laws we have proposed then you would see and see the comprehensiveness of the reform that, for the catering sector on a whole series of elements, mainly on the side of the imput foresees a relief and reduction of costs, but also as important as it is, especially for the catering sector and on the demand side. Thus, this tax reform also provides for raising the available income, raising and, of course, investment in general business activities that will eventually be seen on certain elements in the hospitality itself.
ParlaMint-HR_2016-11-30-0.u19791	Thank you. Another replica of the esteemed colleague Željko Jovanovic.
ParlaMint-HR_2016-11-30-0.u19792	Thank you, Mr. Vice President. Well, I also have to teach what my colleague Klarin said to express his dissatisfaction that you have not observed a single comment from the debate in the first reading about VAT in catering. Here you are today, if you have had time to read a statement of coordination of the hosts of the Primorje-Gorski County protesting their relationship, they are also protesting that no quality public debate was conducted which even the Minister of Tourism knew no details about what was proposed. I cannot agree with you on what has been answered by counterpart Klarina because it is clear that the preferential VAT rate in catering and tourism is the only tax regulation that has led to all three positive macroeconomic effects of increasing net adjectives in the budget, growing investment and increasing employment. And now it's the only tax regulation that really is abolished by this tax reform. I am therefore sorry, Ministers, that you did not respect the many remarks that came from the field of people who have just shown their justification for the preferential rate. I am also sorry that you did not respect the statement of tax exemption in the reinvested profit where also a large number of entrepreneurs from the Primorje-Gorski County asked for it to be done. And another suggestion, what you have stated about VAT-free wages in some medical activities may be that you may still be able to include the activities of the logo in your amendment. So the logos are deficiting in Croatia, there are very few of them, many parents would have to wait for years to come to health institutions and those who go privately freeing VAT would have a cheaper service which would mean a lot to them. Thank you very much.
ParlaMint-HR_2016-11-30-0.u19793	The reply to the replica of Minister Maric.
ParlaMint-HR_2016-11-30-0.u19794	Thank you very much. I would not repeat what I just said about this last topic that you said about logos and some of the others, so we can say activities. The EU VAT directives therefore speak very clearly, so in what cases it is possible to go with VAT exemptions. So first of all, it is taken in the form of a structural form, so if we talk about logos or any other activity if they are carrying out an activity that allows the profit and income to be used, then, as such, they cannot be exempt from paying VAT. But I would point out here, however, this element that I have initially said is that we have suggested that after obtaining consent from the European Commission go with raising the VAT threshold from 230 to 300 thousand. Thank you.
ParlaMint-HR_2016-11-30-0.u19795	Thank you. Dear colleague Gordan Maras, next replica.
ParlaMint-HR_2016-11-30-0.u19796	Thank you very much. Mr. Minister, in your debate, you said that it would lower the VAT rate to certain things such as electricity, municipal services, and in a picturesque way in one show, you explained that one average family that does not have any benefits from tax reform would earn 4 hundred kunas each year, meaning 4 hundred kunas each year, one family, or 330 kuna, 30 kuna per month. On the other hand, tomorrow your Income Tax Act will allow one manager in a trading corporation and his wife, for example, who earns 15 thousand kuna a year in some company to earn a year or more 10 thousand kuna, 20 thousand kuna, 30 thousand kuna, 40 thousand kuna, 50 thousand kuna, 60 thousand kuna. This, according to your tax reform, changes to the set of laws, is an average family, 400 kuna a year, 30 kuna a month, 60 thousand kuna family that you advocate manager in a commercial corporation and wife who does a well-paid job. Officer, cashier at the mall, manager on this side. That is why we cannot support these amendments to the law neither on VAT nor on income tax because of the fact that you are making such a distinction between Croatian society. Sixty thousand kunas will make the rich in their pocket neatly, they won't spend it because they've got too much money anyway. This will be one average or good car a year for such a family and on the other hand this will be said I 30 kuna a month for this average family. The picture speaks more than a word, look at each other, 60 thousand kuna for the manager, 400 kuna for the family.
ParlaMint-HR_2016-11-30-0.u19797	Thank you. It was really dramatic, I was watching a colleague of Arsen Bauk's and he was afraid it was his money and it was almost special for them. It wasn't easy for him. Here you go, fellow Maric.
ParlaMint-HR_2016-11-30-0.u19798	Thank you very much. Here's the honourable MP you've very picturesquely replicated my opening statement, though I haven't said a word about income tax, but I'm still going to refer to myself because I've talked about value added tax that even a few times we've talked about in the opening debate, regardless of what you're saying, I need to reiterate that tax laws are mainly income tax is not a law that defines how much pay or gross remuneration is paid for their work, but is talking about how much of that gross salary is taxed and indirectly cut. So, in this regard, we are talking in this proposal on tax redundancies, i.e. a reduction of tax obligations for taxpayers of income tax and then, of course, an indirect increase in the available income of these same citizens or taxpayers. As you are also now commenting on how much the pay is going to go to, I am also saying that, in terms of tax discharge, we in relation to the current 915 thousand people who are currently not in income tax scissors with these tax changes, we are releasing the next 580,000 total income tax. So I'm going to repeat one more example, and that's, say, a person who makes about a net income in a ranking of about 8,000 kuna nets with two abstentions, two children in the City of Pula, or the City of Slavonski Brod, so according to these changes, his tax discharge is 318 kuna. 318 kuna is the maximum tax charge that the taxpayer may have because he is currently paying those 318 kunas. So it's impossible to charge him with tax changes for more. Thank you very much.
ParlaMint-HR_2016-11-30-0.u19799	Thank you, too. The fourth replica is the esteemed colleague Ljubica Lukačić. Here you go.
ParlaMint-HR_2016-11-30-0.u19800	Thank you, Mr. Vice President. Dear Minister, I would like to express my satisfaction with this occasion that in your first reading, you have accepted the proposal of persons with disabilities that VAT on orthopedic aids does not grow. This allowed people with disabilities to be active, because if VAT on orthopaedic aids and went up a bit, there would be a situation where people with disabilities can't buy an orthopaedic aid. Therefore, any orthopaedic aid that is operated as an active orthopaedic wheelchair, and for the next person with disabilities, must be charged, cannot be purchased for those funds provided for in the orthopaedic aid Regulation. This allowed the situation to remain as it is and people with disabilities can still count on their activity. I also express the satisfaction that you have accepted and some interventions in some other laws that we will talk about tomorrow, so I will not mention it now. But here I believe that in the following year, we will also find ways to find even better-quality solutions for people with disabilities in tax regulations. Thank you.
ParlaMint-HR_2016-11-30-0.u19801	Thank you. There's no response to the replica, so we're moving on to the fifth line. Dear colleague Branko Hrg.
ParlaMint-HR_2016-11-30-0.u19802	Thank you very much, Mr. Vice President, Your Honor. So here I would say that my pleasure would have been much greater if it had been able to accept that suggestion that rural tourism in, and providing itself means eating services are also entering that reduced VAT rate. But I also understand your concept of a comprehensive reform, and with this part being reduced, means VAT rates on agricultural products are in principle in a way helping these rural tourism in that part, because they are actually selling their own food there. And that was kind of why I suggested something like that. At the very least, I would always look at the thing to help those who live in difficult conditions, to help those who are in rural areas and to help those where they are primarily users of domestic consumers. And it would satisfy me more personally if that reduced VAT rate for catering in these rural areas was continental, not the part where most foreigners came to us. I have nothing against foreigners, I'm for them to come, absolutely and for the development of tourism. But what's there is. I welcome this part of the tax changes, meaning in this part of the VAT reduction that has remained, although there has been a talk here about the need to consider the situation with a reduction in VAT rates on veterinary medicinal products and on veterinary services. I hope that in some, here is the time that lies ahead of us to discuss this equally seriously and there may be another such improvement in order to preserve domestic production.
ParlaMint-HR_2016-11-30-0.u19803	Thank you. Replication response.
ParlaMint-HR_2016-11-30-0.u19804	Here's a thank you, Your Honor. You have also made several very constructive proposals and comments in the context of your first reading and in your discussions. Some of them were able to fit in and adopt as you yourself say and mention about the category we have called we characterise as rural tourism, i.e. related to these activities. You have well recognised that we could not make certain differences in the forms of individual tourist activities. But in any case, you have also recognised this effort in terms of agricultural instructions, i.e. relief mainly for those who are not in the VAT system, as well as those who are liquidative natural relief. I remember saying that myself initially, but now you've offered me the same good comments on the possibility of using reduced VAT rates among other things here and on mentioned veterinary services. Those within the framework of this proposal are not such, but surely in some of the following steps, which will consider further discharging the Croatian economy and in general we will also be leading the segment. I remember that you, among other things, have also appealed to the possibility of applying reduced VAT rates to certain products, so I will refer to myself. It was children's diapers. The children's diapers, unfortunately, of the directive as such at this time do not predict that it is possible to go with them at a reduced rate, so as such we couldn't even include them, and the same thing because I think it was in the context of the first reading and discussion of e-books. However, in this field of these e-books, the initiative was launched and it was opened at European Commission level or EU level as a debate to be opened through changes to the EU directive to be used. Of course, if it is available at a certain time, we will take that option into account, of course, as such. Thank you.
ParlaMint-HR_2016-11-30-0.u19805	Thank you. And the last replica is a distinguished colleague, Tomislav Jagar. Here you go.
ParlaMint-HR_2016-11-30-0.u19806	Thank you, Vice President of the Croatian Parliament. Dear colleague Maric, I once heard a flimsy definition of economist that he is a man who will explain very well tomorrow why what he predicted yesterday did not happen today. You, a fellow Whiteman called you an accountant, I don't know if he had any intention, a good accountant, intended to insult you or not. I think you're a good accountant, a good mathematician. And I believe that everything you've balanced and what you've been trying to achieve from your point of view with this tax reform has been achieved. But what worries me and so I learned in life and they told me, once my late friend told me, always listen to people, listen to people around you, especially older ones, because they've been through it, they know what it's about. It seems to me that this communication is missing between you and the example of the caterer. I don't understand how you say they're increasing VAT by 12%. That's not a small amount. On the other hand, you're talking about tax cuts on income and profit taxes, that will make it easier for them to do business. I wonder how that communication failed? They had seen me from the media a big protest, they left the gym. So they say it's a major blow to their business, after all, and any reduction in VAT rates is in some way also a subsidy. How from your point of view, how can they really cover it? Are you sure that this won't affect their business and that many of them won't put the key in the lock tomorrow and stop dealing with this activity, especially those who have invested a lot in the development of hospitality, and not to mention Slavonia and those who, because of the economic situation, are difficult to collect daily traffic from thousands of kuna, for example, have you really thought this through?
ParlaMint-HR_2016-11-30-0.u19807	Thank you. The reply to the replica of Minister Maric.
