ParlaMint-HR_2016-03-11-0.u292	On behalf of the Club of Representatives of the Most, I'm looking for a five-minute break.
ParlaMint-HR_2016-03-11-0.u4680	The Honorable Vice-President and Secretary of the Croatian Parliament, ladies and gentlemen of the Parliament, is therefore before you a report on the implementation of the National Strategy and the Action Plan to combat drug abuse in the Republic of Croatia for 2014. On the basis of reports from the relevant authorities of the state administration, public institutions of local and regional self-government units, civil society organisations and other relevant institutions shall draw up the Annual Report on the implementation of the National Strategy and the Action Plan to combat drug abuse in the Republic of Croatia, which shall, in accordance with the obligations of the National Strategy to combat drug abuse, refer the Government of the Republic of Croatia to the Croatian Assembly. The report contains pooled data for 2014 and this epidemiological data on people treated for drug abuse, data on drug abuse, review of activities in the field of drug abuse, prevention and treatment carried out by relevant ministries, county bodies, associations and treatment communities during 2014. According to the figures shown, all resolution ministries have actively implemented measures of national strategy and action plan and have achieved satisfactory results. In 2014 a total of 7812 people were treated in the healthcare system, which was less than a year ago for 46 people. The proportion of opiate addicts in the total number of treated subjects is similar to previous years and is 79.9%. According to the main asset of opiate addicts, heroin addiction prevails, 95.1%, while opiate addicts are dominated by cannabis addiction, 70.2%. In 2014, 99 people died from the causes of psychoactive drug abuse. According to data received by the end of May 2015 in Croatia, 99 people died in 2014. It is important to point out that 13 of them had not been to treatment before. The most overdosed was due to methadone of 27.3 while heroin overdosed 14 people. It can be concluded from these data that in Croatia the treatment system is stable and that it works as well as the fact that more and more different programs are being offered to addicts and that they are being kept in treatment longer and longer. However, since there is still a very high average age of people who first come to treatment for 26 years, there is still a need to further develop selective and indicated prevention programmes to attract as many young drug and drug users as possible in the early stage of the disease into some forms of treatment. According to the interior ministry's 2014 statistics, a total of 2707 crimes related to drug abuse and trafficking were reported, representing an increase of 0.9%. The average share of drug abuse crime in the total crime in the Republic of Croatia during 2014 was 4.9%, with an increase of 0.6% in 2014 compared to the previous year, the total number of drug seizures continued to rise and a record number of seizures recorded so far was 9166, as well as 29% higher compared to the previous year. This has also contributed to increased police activity in tourist centres during the summer months when a large number of music festivals are held. It is particularly concerned that in 2014 the Center for Forensic Studies, Research and Arts Ivan Vučetic identified 8 new psychoactive substances in the form of mixtures, resins, tablets, stamps and powder. Therefore, in December 2014, the Minister of Health adopted a new regulation on drugs, psychotropic substances and drugs from which drugs can be obtained. Which, due to generic formulations under legal control, put in place a wide range of new psychoactive substances that became available in our area in the meantime. Thank you.
ParlaMint-HR_2016-03-11-0.u4681	Thank you. Do the committee's reporters want to take a word for it? Mrs Ines Strenja-Linić, chairman of the Committee on Health and Social Policy.
ParlaMint-HR_2016-03-11-0.u4682	Dear colleagues. So at its 2nd session, the Committee on Health and Social Policy discussed the report on the implementation of the National Strategy and the Action Plan to combat drug abuse in the Republic of Croatia for 2014. In the opening part of the proposal, he presented detailed data on the situation, which is still present today, Mr Petkovic, meaning on the state and measures taken to combat drug abuse in the Republic of Croatia, and this report is quite comprehensive and contains epidemiological data on persons treated for drug abuse, drug abuse data, drug abuse data, and an overview of activities in the field of drug abuse, prevention and treatment of addiction carried out by the relevant authorities of the Ministry, the county, associations and the therapeutic community. It is particularly highlighted in the report and progress that is reflected in the development of legal instruments and responses to the supply and demand of drugs that are in line with contemporary European legislation on drug issues. The importance of the adoption of standardised guidelines for the field of treatment, the acceptance of the concept of quality standards as criteria of funding for programmes and projects implemented by associations, the implementation of specific education and training in line with detected needs on the ground, the strengthening of communication and cooperation with county drug prevention policy providers, the promotion of cooperation between the criminal repressive system and the treatment system is highlighted. As the Deputy Minister said in 2014 7812 people were treated in the healthcare system, which is only for 46 people less than a year ago. Similar to the year before the new addicts were treated, there were 1055 which was 13.5% of the total number of patients treated. According to data collected by the office in 2014 the treatment community provided psychosocial treatment and withdrawal from dependence on a total of 615 people of whom 259 were new arrivals, and 42.1%, respectively. Therefore, it can be concluded from the above data that in the Republic of Croatia the treatment system is stable, it works well as it confirms that more different programmes are offered to addicts and that they are kept in treatment longer and longer. This did not agree with one of our board members by expressing his individual opinion that he did not agree with this concept of drug abuse, believing that this approach would further increase the number of addicts. I believe he may take the floor and explain his position. The board members praised the fact that heroin availability on the Croatian market has been reduced and that opiate dependence has been on stagnation or decline over the past few years, but voiced concern about the increase in marijuana consumption and some new trends in drug consumption among young people. The alarming appearance of new psychoactive substances in the form of plant mixtures, resins, tablets, stamps and powder has also been identified. Since various addictive behaviours such as gambling addictions, betting, the Internet, games and others are also seen, a new strategic framework and new forms of treatment aimed at those addicts should be developed, as highlighted in the debate. In this respect, individual board members also believe that the practice of integrated access and coordination of resolution ministries, existing resources, the holder of measures and research in the overall system should also focus on these forms of addiction and what we actually think that we will also work on. The Committee members also stressed the importance and need of inter-resorship cooperation, agreeing with the fact that all resolution ministries have actively implemented the measures of the National Strategy and the Action Plan and have achieved a satisfactory result with existing, not always sufficient resources. So all the board members unanimously supported this material before you and decided to propose means to the Croatian Parliament to accept the report on the implementation of the National Strategy and the Action Plan to combat drug abuse in the Republic of Croatia for 2014. Thank you very much.
ParlaMint-HR_2016-03-11-0.u4683	Thank you. I'm opening a debate. The first one for discussion came from a respected representative, Sandra Krpan, on behalf of the SDP club.
ParlaMint-HR_2016-03-11-0.u4684	Dear Vice President, Deputy Minister, Mr Petkovic, colleagues and fellow MPs. The SDP Club accepts the report on the implementation of the National Strategy and the Action Plan to combat drug abuse in the Republic of Croatia for 2014. The methodology for making the report is very good, and only the report contains a number of data and gives very detailed insight into this problem. The co-operation of competent authorities, institutions and institutions, units of local and regional self-government, civil society organisations is visible. 4.9% in the total number of criminal offences reported refers to drug crime. For such a low percentage, I believe that the employees of the MUP and customs are primarily responsible and I want to thank them on behalf of the SDP club. An important and positive change has taken place with amendments to the Penal Code which distinguishes drug possession from possession for further sale, and is a violation of sanctioning with fines and mandatory treatment measures. Not only is the infringement procedure simpler, faster, which saves money from the state budget, but it also fills it with the collection of criminal penalties, but it is much more important for young people who find themselves in this offence to be directed as soon as possible to treatment, work for the greater good rather than that the court proceedings take several years and thus loses the purpose itself. It's a greater benefit for society, not to mention a stigma that can mark a person's entire life when we know that, according to the results of the drug experimentation research, they're moving out of curiosity at the voice of a friend. There's a saying in our people: youth, madness, and it's okay to be slightly fonder of these youthful madnesss. In doing so, we must not interfere with two important facts. Young people in Croatia come in relatively early contact with drugs. The average is 16 years old, drugs are marijuana. When they're 20 years old, they're in contact with heroin, and only when they're 26 years old are they starting treatment. Ten years too late. That is why it is extremely important to prevent such behaviour, and this can only be done by systematic education, and I would like to highlight the importance of county committees that know the needs of their counties to control drugs, teaching institutions, welfare centres. For several years, the number of treated addicts in Croatia has been between 7,000 and 8,000, and we can talk about a controlled situation. We are also happy to live in a country where the family plays an important role and, thanks to the family, addicts are not excluded, but have strong support for their members. But we must never forget that these family members also need professional help. Wearing that cross isn't easy. The addictive population in Croatia is on average 40 years old, and it is in our interest to be working productive, pay taxes, start a family when they are finished with treatment. Resociation, schooling, retraining, hiring addicts is what we have to work on as a society more. Parents often fail to recognize their child’s drug use, and when faced with it, they often refuse to accept it as true. We can't leave our children on the street. Schooling must be extended and so not only basic, but it is my opinion and secondary school in the Republic of Croatia that is mandatory. It's that poor country that saves on education. There are too few professional school associates today, and these are the first people to see the problem, to provide help, but above all, these people can prevent risky behavior through their professional work. The health care education that was introduced to schools during Minister Zeljko Jovanovic who caused so many unnecessary storms in the public does only good to our children because our children in these matters have been abandoned. Only a troubled and screwed-up person can see bad in modules, live healthy, prevention of addiction, prevention of violent behavior, sexual gender equality and responsible sexual behavior. Not only are addictions very often followed by mental illnesses and disorders addicts at an increased risk of infections such as hepatitis B and C, and HIV, and studies show that they are more prone to risky sexual behaviour, promiscuity and sexual relations without protection. So how can we close our eyes and feel that health care is not important in 2016 in the 21st century? Every kuna invested in education is a well-invested kuna, because education is prevention. I'd like to highlight here the training of life skills that is being conducted in the schools of the Primorje-Gorski County. The programme is implemented in partnership between the school and the teaching Institute for Public Health of the Primorje-Gorski Kotar County, and is located at the European Monitoring Centre for Drugs and Drug Addiction as a Croatian example of good practice. It's a program to prevent risky behavior, smoke, alcohol consumption, drug abuse, and it's meant for third to seventh grade students. The report also lists other programmes implemented in the Republic of Croatia, and I would like to list Health for five, Mah one and Mah two because I am personally familiar with them as particularly good by the Ministry of the Interior. All programmes to be implemented must be evaluated professionally, should be closely monitored if they justify the resources achieved. Because we will all agree that those activities that achieve the best results should provide additional funding, and those who are not successful in reducing or completely denying funding through public funds. Although this report primarily refers to drug abuse, it also contains a report on the implementation of the National Programme for Prevention of Dependence for Children and Youth in the Educational System, as well as children and young people in the social care system for the period 2010-2014. It is the first document that unites preventive strategies, which aims to prevent and prevent the emergence of all forms of addiction among children and young people, and the risky behaviour of children and young people associated with experimentation with means of addiction, including prevention of drug addiction, alcohol, smoking, the Internet and betting. We especially need to take care of new forms of addiction, which are Internet and betting among young people. And I will end this exhibition by quoting you part of the sentence on page 54 of this report: "In the context of the said law, alcohol and alcoholic beverages are considered beer, wine.", the end of the quote. I know this thinking may piss off some people who do beer production but beer advertising should be banned on television. Looking at these commercials if you drink one foreign beer you can learn how to be the right man, the kind of woman who wants to know that one/one is enough. If you prefer domestic beer, you can go back to the past, get to know the wealth of Croatian dialects, toponymes, geography, develop national pride by cheering for the Croatian team. Those commercials are sending the wrong message. Alcohol is socially acceptable, part of Croatian tradition and culture. If cigarettes are no longer advertised on television, tobacco factories aren't ruined, neither are brewers. With greetings from Rovinj, we can also have greetings from Karlovac and Osijek. Thank you.
ParlaMint-HR_2016-03-11-0.u4685	Thank you. We have one replica, the esteemed representative Margareta Mađerić.
ParlaMint-HR_2016-03-11-0.u4686	Thank you very much, Mr. Vice President. A very short replica related to the discussion of distinguished colleagues and the topic of health education. Unfortunately, for the past 4 years, the government's resolute ministry has done absolutely nothing to increase the professional capacity in schools to both primary and secondary schools, which would be the main institution for the introduction of health care education into schools and to support teachers, teachers and teachers in order to get into school. And as a mother of a child who goes to class with a girl who's in a wheelchair for me, it was horrifying and horrifying to see the beginning of this school year in September when all the children were happily moving to school with disabilities and with developmental difficulties protested here at Mark's Square because the Resort Ministry reduced their funds for assistant fees in the follow-up. So it's something that's inadmissible and that shouldn't have happened. Children with disabilities were supposed to be in school benches with their peers on the first day of school year, not protesting their rights in St. Mark.
ParlaMint-HR_2016-03-11-0.u4687	Thank you. The reply to the replica, the esteemed representative of Sandra Krpan.
ParlaMint-HR_2016-03-11-0.u4688	Dear colleagues, Mađeric, cannot really agree that the Ministry of Science and Education has done nothing to introduce health care to schools, although thanks to the restoring ministry and our minister of health education has entered schools. The professional education of teachers at the activities of the Education and Education Agency and the people working at the school were conducted are quite competent to carry out a health education programme. As far as disabled children are concerned, I am truly sorry that such a problem occurred at the beginning of the school year, but this problem has been solved and today these children have assistants in the follow-up. And the way you treat people with disabilities, I think it's best seen from the budget when you want to introduce a censorship on people with disabilities. Thank you.
ParlaMint-HR_2016-03-11-0.u4689	Thank you. The next debate is the distinguished representatives of Sanja Putice on behalf of the HDZ Representatives' Club.
ParlaMint-HR_2016-03-11-0.u4690	Dear Vice President of the Croatian Parliament, Mr. Bekavac, Mr. Petkovic, distinguished colleagues and fellow MPs. I would also say that unfortunately in the term of last government in the Ministry of Science, Education and Sports while I was head of a large school in Dubrovnik, we did not have enough professional associates and health education is unfortunately not being introduced by correspondence. I really don't know who measured the relevance and expertise of the existing people in the system who were able to implement all the health care provisions that came to our tables. As far as this report is concerned, I would say that if any report is too late for discussion in the Croatian Parliament, then this report on the implementation of the National Strategy and the Action Plan to combat drug abuse in the Republic of Croatia for 2014. I must point out that the 2013 Report was held on 13 March 2015, which is almost a year ago and today we are well in 2016 and we can only assume what will welcome us in the 2015 Report. We are aware that the drug market is what is growing uncontrollably, which is imaginary and every moment the list of new drugs is spreading, that new types of addictions are emerging in Croatian society and that institutions, parents and the wider environment are finding it difficult to keep up with that market. So we'd prefer this to be something we're more up-to-date, more thorough and faster about. As I said, the market is growing unconstitutional, and with it the availability to the end-user, i.e. A drug addict. Unfortunately, drugs are increasingly available. Young people almost on the street can buy drugs every day, and what is a relatively new circumstance in the Republic of Croatia is the position of the Republic of Croatia on the so-called. The Balkan route. So on the Home Office pages, we can read that so-called The Balkan route is used to smuggle heroin due to the shortest road connection between the countries of heroin, Afghanistan and Pakistan to the countries of consumers of the illegal Western European drug market. But also the increase in the traffic of heroin traffickers and passengers use to smuggle heroin with as little investment and reduced risk of seizure and arrest. By accession of Romania and Hungary to the European Union, the so-called The Balkan route is partly only modified due to the Schengen regime and flows north, Serbia, Hungary or Romania. To mention that so-called. The Balkan route in the past few years has run two-way traffic, heroin is heading west and more synthetic drugs are being found in the east, as is evident from the seizures that Turkey is making. Unfortunately, Croatia has become more and more and more and a country in which criminal and illegal activities and ways are being brought into the Croatian market, which is why if we say anything else to the laymen in this area, many newspaper inscriptions that we witnessed in 2014 and today, unfortunately, is nothing different. So recently in February we have a big headline in a daily list that says in a major action arrested Croatian cocaine traffickers, smuggling drugs from South America and the Netherlands to Croatia. Given that we are still in 2016, we should also say that the following provisions can also be found on the Home Office's website in which many countries say that the problem of drugs is very high if not the first place on the national security priorities scale and the health of the nation itself. Drug abuse and drug addiction as a consequence affect all social layers, social communities and all countries. Therefore, the priorities that the state will give drug-related policies depend on the state of prevalence of drug abuse in society, economic opportunities and level of social awareness on all dimensions of this problem. In October 2012, the Croatian Parliament adopted a National Strategy to combat drug abuse in the Republic of Croatia from 2012 to 2017. The national strategy on the prevention of drug abuse as well as any other national strategy is, in fact, a fundamental document and has served as the basis for the adoption of legal and sublegal regulations in the area of drug abuse prevention and as the basis for drawing up annual action plans to combat drug abuse and implementation programmes in the area. The most important rule of law based on the National Strategy is the Law on the control of drug abuse and the Action Plan on drug abuse from 2012 to 2014 adopted by the Government of the Republic of Croatia and the detailed name is diluted the guidelines of the National Strategy and the specific tasks of individual perpetrators for the selected budget period based on the evaluation of the previous action plan and new needs in professional approaches. The report we have in front of us for 2014 which I consider necessary to mention and may compare with others, says that in 2014 7812 people were treated in the healthcare system, which is for 46 people less than a year before the treatment of 7858 people. Of the total number of patients treated in 2014 patients, 565 were treated as compared to 2013 when 610 patients were treated by 7.4%. In the absence of hospital treatment, mental health services, prevention of extra-patient treatment of addiction was 7246 persons or 92.7% of all treated subjects. The proportion of opiate addicts in the total number of treated subjects is similar to previous years and is 79.9% and 6241, respectively. The proportion of non-opiotic addicts is 20.1% or 1571 people. According to the main asset in opiate addicts, heroin addiction or 95.1% of all opiate addicts prevails, while non-opiate addicts are dominated by cannabis addiction or 70.2%. Similar to the year before the new addicts were treated in 1055, the proportion of 13.5% of the total number of patients treated. The distribution of treated subjects by sex has not changed significantly in 2014 compared to previous years. According to gender-treated addicts, most of them are male. Of the 7812 total treated 82.4% of subjects were male. While in the past year, 17.5% or 1371 women have been treated for abuse of psychoactive agents. The ratio of treated men and women is 4.7:1 and both men and women are dominated by opiate addiction. Unlike men, women are significantly more often dependent on sedatives. According to data collected by this 2014 office, the treatment community provided psychosocial treatment and withdrawal of addiction for a total of 615 persons, 511 men and 104 women of whom 259 or 42.1% of new arrivals. Compared to 2013 it can be said that the number of new arrivals as well as the total number of addicts in the therapeutic communities has decreased significantly. It can be concluded from these data that in Croatia the treatment system is stable, it works well as it confirms and data that more different programs are offered to addicts and that these addicts are still kept in treatment longer. As reported in the report, a very high average age of first-time users, for 6 years, should continue to develop selective, indicated prevention programmes to attract as many young drug and drug users as possible in the early stage of the disease into some forms of treatment. I also think that today I mention and comment on the fact that often after the treatment has been completed, and we have heard a little bit about numbers, these addicts cannot fit into the social environment for a number of reasons, and one of them is the public's view of the drug addiction problem that marginalises the entire addictive population, stegmatizes and excludes from work, but also from the school environment. Social inclusion should therefore be a logical sequence of psychosocial rehabilitation and treatment, and an important factor in the overall recovery of treated addicts. Unfortunately, there is also an example of criminal and criminal crimes of addicts who have or have not been cured and that socialization should be given much more attention because when a person comes out he can fall into depression and at that point harm himself or others in his environment. We also see from this report that there is a decline in employment compared to the previous year, which is certainly not good, but we are not surprised by the overall situation in 2014, an extremely bad economic situation, an increased number of unemployment and general hopelessness. The report also contributes to the fact that, according to the interior ministry's 2014 statistics, a total of 2707 crimes related to drug abuse and trafficking were reported, representing an increase of 0.9%. We can only actually be afraid of what will be in the 2015 report. The same applies also to data that say that the average share of drug abuse crime in the overall crime in the Republic of Croatia during 2014 is 4.9% and has increased by 0.6% compared to the previous year. What we were looking forward to yesterday at a debate on the Committee on Family, Youth and Sports from the director of Mr. Petkovic's office, it is an improvement in the co-operation of this office with the county offices. Also improving cooperation between the criminal-repressive apparatus and the treatment process and treatment of addicts. In 2014, 1749 addicts were in prison, of which 90% were relapsers. It is also important to stress the need to conduct the treatment in prison, which Mr. Petkovic specifically stressed. We also heard that the age limit of addicts entering treatment is, unfortunately, still high, but that from 28 years of age, it dropped to 26. The fact is also in the Republic of Croatia and the uneven spread of drugs as well as everywhere else in Europe, and is dependent on the social state, economic development of a certain area, border areas and also on the number of tourist movements in certain parts of the Republic of Croatia. Today, in our country, around 780 million kuna is spent on this problem, and regardless of how much money they have, and whatever the amount of legal acts we bring in the area of drug abuse, it will not all be enough without further improvement of cooperation, in prevention, without further promotion of the cooperation of institutions such as this Office of the Government of the Republic of Croatia, the Ministry of Internal Affairs, the Ministry of Health, the Ministry of Social Welfare and Education. Without this quality cooperation, there will be no significant shifts. All of this is said in order to protect and improve our young people. This problem can and must also be seen in the context of extremely poor demographic images in the Republic of Croatia, but also in the context of national security issues. No money in this regard can be too high and too high against the beating solutions of this issue in the Republic of Croatia. Here I can only say that the Croatian Democratic Community club will support this report for 2014. Thank you very much.
ParlaMint-HR_2016-03-11-0.u4691	Thank you. We have three replicas. The first is Honorable Representative Zeljko Jovanovic.
ParlaMint-HR_2016-03-11-0.u4692	Mr. Vice President, colleague Putica. So it is not correct to call the last meeting of the ministry for the lack of professional school associates, because it is a problem that existed before the former government took over the management of the Republic of Croatia. This is a problem that has existed for years, and from the budget proposed for this year you can see that 158 million kuna has been proposed for the system of education and science, which only shows that this government will not be able to solve and employ more professional associates. So I agree there should be more of them, but it's not the sin of the last government. And of course, health care education is well-known, you know, being introduced to schools in a way that all those who were conducting it had education. Educations were conducted by the profession, the Education and Education Agency except for one module that caused a lot of polemics, and a little shadowed the others. Other modules Live healthy, prevention of violent behavior and prevention of addiction is extremely well accepted. And there is evidence, therefore, that the conduct of health education is accompanied by the National Centre for the External Evaluation of Education and the evaluation of the implementation of the programme after the first year has shown exceptional satisfaction for both students and teachers who implemented the programme.
ParlaMint-HR_2016-03-11-0.u4693	Thank you. The reply to the replica, the esteemed representative of Sanja Putica.
ParlaMint-HR_2016-03-11-0.u4694	Thank you, Vice President. Mr Jovanovic, you speak to me today from the position of the parliamentary representative, and during the period during which we discussed you were Minister of Science, Education and Sports, so in that sense you had every authority to change such a situation in schools regardless. So we cannot justify what was in the previous period and previous governments. As for this year's budget for the Ministry of Science, Education and Sports, of course, it would be much easier for that ministry to leave a much better situation in the past government, so we probably wouldn't have to save on education. As for health care, you can correct me again, but in my five-year term, I don't remember being brought into school by health care, so we don't have it today. Thank you very much.
ParlaMint-HR_2016-03-11-0.u4695	Thank you. The next replica is distinguished representative Nada Murganic.
ParlaMint-HR_2016-03-11-0.u4696	I thank the esteemed Vice President of the Croatian Parliament. Dear fellow Putica, you've had a truly comprehensive and good debate on behalf of the club and I can certainly support it as we support this report. I do not want to diminish the efforts and efforts of the director of the office as well as of the entire office, but in your debate you started with a sentence in which you insist on the delay of this report's arrival in the Croatian Parliament. My kind of thinking goes in the direction that no matter what year our statistics are roughly equal and equal and I'm afraid that's how it's going to be in the coming years. Namely, the number and the addicts and the number of treated addicts per chance for years are already somehow moving between 7 and 8 thousand, which should certainly be much better in terms of being much smaller that number, if it does nothing at least then because we all know that our birth rate is such and we're losing the number of children. And if we look at it that way, then the number of addicts is still on the rise. Of course, we will achieve nothing without prevention, without strong prevention that will go from the earliest days, from the smallest school classes together with the family, with the education of parents who very late realize that their children are old when they can play with what creates addiction and certainly from society as a whole. As far as health care was concerned, there was a lot of talk about it, but not about suppressing addiction, there was talk about sexuality, about gender awareness, which I certainly think is important, but this is one piece of information from this report that says that we haven't really paid any attention to this.
ParlaMint-HR_2016-03-11-0.u4697	Next replica, Honorable Representative Miro Bulj.
ParlaMint-HR_2016-03-11-0.u4698	Thank you very much, Mr. Chairman. Your colleagues made a good point in the debate and talked about the problem of drug smuggling on these routes you listed on the Balkan routes. But it's a matter of prevention, it's all important, but it seems to me how important it is that these drug dealers themselves, the bosses that are the biggest problem of this society. And the key question is what do those who are paid at the MUP, maybe even do, what do they do in the DORH if they get from the MUP if they do it selectively or unselectively? That's very important. For what? Because the fact, by conducting this school prevention program, is still most likely, if children, come to drugs, that drug dealers are certainly close to school, they didn't fall from Mars. The key question is what does not just prevent what is important, perhaps the most important, what does the system that has been paid for, means the MUP, the DORH and the other institutions that are in charge of fighting the drug mob and criminals in whatever government and how many governments have made these and those programs but is it possible in the system that someone is protecting these drug dealers who are poisoning our children? Because it's obvious that the increase, regardless of the reduction in the treatment, is that the increase in drugs in society is at all levels in all places, and unfortunately around the schools themselves. There we need to take into account both the MUP and the other law enforcement authorities that poison our children in a criminal way, and basically only have profits. And that's the biggest problem of society, and there's national security at stake because they're poisoning, polluting our future and our children. Thank you.
ParlaMint-HR_2016-03-11-0.u4699	Thank you. The reply to the replica is the esteemed representative of Sanja Putica.
ParlaMint-HR_2016-03-11-0.u4700	Dear Representative Bulj, as I said in my debate without an improved co-operation between this office and the Ministry of the Interior, the Ministry of Education will not have significant shifts. And why do I say that? Because we were just on the board discussing the possibility of changing the powers of police officers and their presence in the schoolyards as well as the possibility that schools themselves occasionally when they see that it is necessary to test their students for certain drugs. Thank you very much.
ParlaMint-HR_2016-03-11-0.u4701	Thank you. The next debate is the distinguished representatives of Ines Strenja-Linić on behalf of the Club of Representatives of the Most.
