ParlaMint-FR_2017-11-16-O1058.u1	I'm going to suspend the meeting for a few moments.
ParlaMint-FR_2017-11-16-O1058.u12	Mrs Cendra Motin, Special Rapporteur of the Committee on Finance, the General Economy and Budgetary Control, has the floor.
ParlaMint-FR_2017-11-16-O1058.u13	Madam President, Mr Minister, ladies and gentlemen, rapporteurs, ladies and gentlemen, the 148 "Public Service" programme, which I have resumed this year in the context of my report, contains three inter-ministerial actions: the training of officers, inter-ministerial social action and learning. It shows part of the overall human resources strategy implemented by the Administration and Public Service Branch – AFPB – which became the Human Resources Directorate – HRD – of the Crown. The 148 programme will weigh in full just over €239 million in payment appropriations and commitment authorisations in 2018, plus 2.94 million aid funds. It is a budget that is stable compared to 2017, despite the delays in implementation that it must take into account. With regard to the action "Training of officials", the budgets of the regional administrative institutes – IRA – and the National School of Administration – ENA – are consistent with the objectives set for each institution. Particular attention is being paid this year to the ENA, which must demonstrate its structural change, through the diversification of its revenues, as well as cultural change, in order to ensure that the frameworks it forms are among the actors of change initiated by the Government. The international reach of the ENA, whose excellence is widely recognized, enables it to train not only our senior officials, but also those of many countries in Europe and around the world. This international recognition is an increasingly important source of income. We must encourage and support the development of both the training of foreign civil servants and continuing vocational training. Both contributed EUR 5.4 million to the ENA budget in 2016. As part of Public Action 2022, consideration will be given to how to provide a modernized working environment for public servants. In addition to the HRD of the state, which is a major player in this process of accompaniment to change, ENA students will have a full place in this reflection. Moreover, it is foreseen that this will fully involve all agents in the definition and follow-up of future transformations. As regards inter-ministerial social action, which accounts for half of the programme's budget, the trend is, as last year, declining. However, this reduction should be relativized as the actions carried out through this budget support the specific actions of each ministry. Efforts therefore continue to be made to maintain individual and collective benefits for all staff. It seems to me important, in a civil service with very disparate trades and budgets, to make this social action fund a real global human resources tool for the promotion of equality between women and men, personal development and social innovation. In this regard, I would like to welcome the creation of two new funds, each with EUR 1 million, one for innovation in human resources and the other for improving working conditions. Finally, the third action concerns learning. Created in 2016, it remains at a stable budget level, with almost 30 million euros. With a view to raising awareness of public service trades and attracting new talent, it would seem interesting to allow the Public Service Human Resources Directorate (PSAB) to continue to promote learning by providing financial support for related contracts in the various departments. From this point of view, it would seem equally interesting to consider a possible simplification of the administrative formalities related to these contracts and the relevance of retaining the CAPTE scheme – a career path for the territorial, hospital and state civil service – which is in direct competition with apprenticeship contracts. The major changes in the public service and the resulting management issues, the promotion of innovative social policies and the support of the integration of new talents are all projects that will have to be carried out by the State HRD. A comprehensive human resources strategy for the three sides of the public service should continue to be developed and deployed. The Public Action 2022 programme will be, from this point of view, an essential meeting to imagine and think together about the public services of tomorrow. A word, finally, on the unallocated appropriations, endowed for 2018 with 714.5 million euros in commitment authorisations and 414.5 million in payment appropriations. They will, among other things, absorb some 290.5 million of the CSG's increase compensation schemes for all employees in the three public offices. As the total cost of this increase is higher, the Government will also propose, in order to ensure the maintenance of the net salary of agents, the abolition of the exceptional contribution of solidarity and a revision of the payroll budgets of each ministry. [[Applause on the benches of the REM group]] In conclusion, I would like to point out, as has been repeatedly stated, that the title of the report is misleading: it might suggest that the payroll of public servants, which is still the first item of expenditure of the State, with a budget of EUR 130 billion excluding operators, is the main subject. But that is not the case. Moreover, to date, no report has made an overall analysis of the wage bill for public services. With a PSB that has become HRD of the state and strategic projects to be carried out for all three sides of the public service, it seems to me that this overall vision is becoming highly relevant. That is why I would like to renew today's request in my report: to create a budgetary annex outlining the evolution of the government's aggregate wage bill, which would be tabled at the same time as the annual performance projects.
ParlaMint-FR_2017-11-16-O1058.u14	Mr Jean-Paul Mattei, Special Rapporteur of the Committee on Finance, the General Economy and Budgetary Control, has the floor.
ParlaMint-FR_2017-11-16-O1058.u15	Madam President, Minister, ladies and gentlemen, rapporteurs, ladies and gentlemen, in view of the missions and programmes just presented, the special allocation account – CAS – "Management of the State's real estate assets" will appear to you, first of all, secondary. In fact, the draft finance law for 2018 envisages setting its expenditure and revenue to some 581.7 million euros in payment appropriations. This allocation is down 0.56% from the 2017 forecast, and its share is declining: in 2018, it will represent only 7.46% of the resources allocated to real estate expenditure in the general budget. However, budgetary instruments should not necessarily be judged on the basis of the expenditure they authorize. As you know, the CAS includes capital and operating expenditures related to real estate or owner-maintenance operations carried out by the Crown. It also provides for capital and operating expenditure which corresponds to transactions in the transfer, acquisition or construction of buildings in the domain of the State. Finally, since the abolition of the 309 programme, it has financed owner-maintenance operations carried out by public institutions or other State operators. Through the scope of its interventions and its financing, the CAS thus presents itself as one of the tools for the affirmation of a genuine inter-ministerial policy which must encourage administrations and operators to achieve two objectives: on the one hand, the rationalisation of the real estate assets of the State and its operators; On the other hand, efficient and cost-effective management of the park. My report acknowledges the progress made thanks to the renewed impulses of the State's real estate management. However, the trips I made to New Aquitaine and then to Brittany, as well as the hearings of many ministerial officials, lead me to believe that the CAS alone cannot satisfy the ambition expressed in the construction of a real estate policy of the State. It calls for resolute action and cannot be reduced to purely budgetary considerations. That is why, at the end of my work, I conclude that it is necessary to go beyond the first steps and I would like to call for the vigilance of the public authorities on a number of issues which are essential to the deepening of a fully-fledged public policy. The first issue of course lies in the balance of the CAS. Of course, the integration of the former 724 "Decentralized Real Estate Operations" program into the 723 "Real Estate Operations and Maintenance of Government Buildings" program facilitates the simplification of budgetary and accounting channels. But the finance bill for 2018 mainly takes note of the expected decline in the proceeds of real estate divestitures. The target of €491.7 million appears to be consistent with the revenue generated in recent years and with the scarcity of readily transferable assets in a less promising real estate market. This can only lead to a reflection on the use of state fees, whose expected revenue – €90 million – increases by 5.88% in the proposed finance bill. The second issue is the ability to maintain and evolve the state's housing stock, a heterogeneous heritage that requires recurrent operations of standardization and accessibility. This raises the question of the resources allocated to the maintenance of our assets, while the appropriations for the maintenance of buildings fall by 1.68%, but it also leads us to question the preservation of "building" engineering skills. The third issue is also about means: the positioning of the government's real estate management and the resources available to the deconcentrated services responsible for real estate policy at the local level. Should the government's real estate management be linked to the minister responsible for the estate? How can the staff of all the regional services of the State contribute to the management of its heritage? So many questions we will have to answer. The last issue seems to me to be the most decisive: it is, in the broadest sense, the exploitation of the real estate assets of public persons. Under this rather broad expression, I first include all the questions that can be inspired by the haircut authorized by the Act of 18 January 2013 on the mobilization of public land. No one is unaware of the criticisms surrounding the use of this device. At the very least, I believe it is up to us to ensure that it is used more proportionately in the territory of local and regional authorities with a strong capacity for self-financing. Secondly and above all, the optimisation of the State's real estate assets cannot be reduced to the only alternative between the maintenance of the occupation of goods by its services or their sale. In my view, the State's interest is to make more frequent use of mechanisms that, such as emhyteotic leases, construction leases or other legal instruments, allow it to retain ownership of its property while promoting its exploitation by investors, and thus to collect recurring annual rents. [[Applause on the benches of the MODEM and REM groups]] As I said, the state's real estate policy is now being affirmed as a fully-fledged public policy. It is up to us to give it today – especially in the final phase of the development of regional master plans – a real roadmap and to refine its tools. In this context, I will, of course, vote for the Mission's appropriations.
ParlaMint-FR_2017-11-16-O1058.u16	Mr Olivier Damaisin, Special Rapporteur of the Committee on Finance, the General Economy and Budgetary Control, has the floor.
ParlaMint-FR_2017-11-16-O1058.u17	Madam President, Minister, ladies and gentlemen, rapporteurs, ladies and gentlemen, in 2018, the state will spend €64.7 billion on financing a dozen special pension schemes. This expenditure is more than 90 per cent devoted to the payment of civil and military retirement pensions, as well as to the payment of State workers' pensions. They are located in the Pensions Trust Account. The remaining 10%, or €6.3 billion, corresponds to the subsidies that the State will provide in 2018 to special pension schemes which are unable to self-finance themselves: the RATP and SNCF schemes, that of sailors, but also the "closed" schemes which now have only a handful of pensioners. These are the credits from the Social and Pension Plans Mission. With regard to the special public service scheme, pension expenditure increased by almost 1.5% in 2018, as a result of an increase in the number of pensioners. This is more than the rate of expenditure growth observed since 2014. Nevertheless, this increase is expected to be painless from the state budget. Indeed, it will be offset, on the revenue side, by an increase in the wage premium rate of 0.27 percentage points compared to 2017, resulting in a surplus balance of 2.4 billion euros. This is the effect of the decree of 30 December 2010, which provided for the gradual alignment of the contribution effort of civil servants with that of private sector employees. It will therefore not be necessary to increase the contribution of the State employer in 2018. In the coming years, this increase in pension spending is expected to continue, not as the number of pensioners continues to increase – it is expected to decrease even more – but the amount of pensions will be higher. This is the result of the salary increases decided in recent years, which are also at the heart of the agreement on the modernisation of career paths, careers and remuneration – PPCR. The state's balance subsidies to pension funds operating under the other special schemes will also rise sharply in 2018, which will have a full impact on the state budget: an additional €24 million is foreseen compared to 2017. If the subsidy paid to balance the special scheme for seamen's pensions remains stable, and those for closed schemes fall by almost 3% compared to 2017, the subsidies paid to RATP and SNCF are up by almost EUR 60 million. The estimated amount of the grant paid to the RATP staff pension fund thus increases from €680 million in 2017 to €709 million in 2018, an increase of 4.2% over 2017. As for the grant dedicated to the balance of SNCF's special pension scheme, it reached €3.28 billion in 2018. It thus increased by 30 million euros compared to 2017, after having increased by 38 million euros the previous year. In addition, the line is systematically under-budgeted and, each year since 2015, it has been necessary to find additional funding during the year, through credit transfers or thaws. Minister, once again, this draft budget for 2018 shows that special pension plans weigh heavily on the state budget. These schemes cannot be self-financing, as they have a much higher number of pensioners than the number of contributors. Reductions in the number of retirees are involved, but also the factors that contribute to the increase in the number of retirees. These factors are the increase in life expectancy, which delays the withdrawal of pensions, and the rules for the liquidation of pensions. Thus, the age of entitlement and the length of insurance required for a full rate remain more advantageous than under the general scheme, so that the average retirement age is 55 years for RATP staff and 57 years for SNCF staff, while the average retirement age is 62 years for employees of the general scheme. This is clearly the limits of parametric reforms in recent years, with a view to convergence with the civil service system. These special schemes are a legacy from before 1945, the date of the creation of social security. It has been a long time since they no longer justified them and, moreover, they are no longer accepted by the public. That is why I welcome the Executive's plan to carry out a major reform of the pension system. The aim will be to harmonize the many existing schemes, in order to establish a universal system of distributed pensions, with the same rules for the liquidation of pensions for all, which will not prevent account being taken of cases where early retirement remains justified for the most difficult occupations.
ParlaMint-FR_2017-11-16-O1058.u18	Thank you for concluding, rapporteur!
ParlaMint-FR_2017-11-16-O1058.u19	[[Applause on the benches of the REM and MODEM groups]] I know that the High Commissioner for the Reform of Pensions, Jean-Paul Delevoye, must, as a first step, carry out a consultation with the social partners, and that a framework law will then be presented to Parliament in the first half of 2018.
ParlaMint-FR_2017-11-16-O1058.u20	Mrs Corinne Vignon, draftsman of the opinion of the Committee on Social Affairs, has the floor.
ParlaMint-FR_2017-11-16-O1058.u21	Madam President, Mr President, ladies and gentlemen, rapporteurs, ladies and gentlemen, this is the first time that the Social Affairs Committee, in considering a finance bill, has taken up the appropriations of the Social and Pension Schemes mission, as well as the Pensions special allocation account, for its opinion. Our committee has chosen to innovate because it felt it was important to look at the so-called "special" schemes, with a view to the systemic reform of our pension systems that was announced in the President of the Republic's programme. It is clear from the work that I have led that the call for solidarity can be justified for the regimes marked by a high demographic imbalance, which are struggling to self-finance themselves. Nevertheless, it is difficult to be satisfied with the persistence of some old advantages, which ultimately rely mainly on the national community. Despite successive parametric reforms, the pension schemes of SNCF and RATP are now subsidized three-fifths by the State, and that of sailors is even nearly 80%. At the same time, I note that, under the RATP scheme, a number of pension liquidation rules allow, in particular for rolling staff, to retire from 45 years of age or even without any age conditions. Under the same scheme, the average length of service of the pension – about 40 years – is greater than the average duration of activity – barely 35 years – which proves that the penitibility of the work does not cause an early overmortality. In the seamen's pension scheme, which dates back to 1647, contributions are determined from twenty categories taking into account criteria such as age, qualification, the responsibilities of seamen, but also the tonnage, power or size of vessels. To add to the complexity, each of these twenty categories is sub-divided into functions, with a total number of 210. Several of the people interviewed agreed that the limits of a system had been reached. The time therefore seems to me to implement Emmanuel Macron's proposal to create "a universal pension scheme by distribution, where a contributory euro gives the same rights,... whatever the status of the contributor." However, such a reform cannot, in my view, lead to a pure and simple alignment of all schemes with the general system, or to a decal of the Swedish model of notional accounts. In my view, the particularities of certain schemes remain fully justified. This is the case with the military pension system, the singularities of which are the translation of a public policy aimed at guaranteeing the youth and physical fitness of our armies, the "pyramiding" of the troops, the compensation of availability at all times, in all places and under all circumstances, as well as difficult hardships up to the supreme sacrifice. This deserves to be meditated, at a time when the gendarmerie will be forced to renew its staff massively. Of the 100,000 gendarmes currently serving, 54,000 will retire in the next five years. Retired soldiers are far from being wealthy: half of the non-commissioned members receive a pension of less than €774 per month; In 2016, close to 10,000 military personnel ceased their duties without entitlement to a pension. Military and gendarmes often retire in a deteriorated physical and mental state. Simulations conducted by the Department of Armed Forces measured the magnitude of the losses that would result from the move to the notional accounts system, which would result in a 72% decrease in the pension amount of non-commissioned members. It therefore seems to me imperative, with a view to systemic reform, not to reduce the question of fairness to that of uniformity of rules. I would therefore like to know whether, in the context of the work on the prefiguration of this reform, account will be taken of the difficulties inherent in the military condition, because they are too often forgotten. I will conclude by quoting a portrait of the gendarmes by General Ambert, more than a century ago: "I saw the gendarme [...] reconcile disputes like the justice of the peace; "I saw him fight like the warrior; [...] "You slept and he was watching; You rejoiced in the feasts, and he, standing at the dark corner, protected your joy. "He has an eye on your house, on your field, on your gold, on your rest, [...] [[Applause on the benches of the REM and MODEM groups]] "He is nothing to you, and you are everything to him. »
ParlaMint-FR_2017-11-16-O1058.u22	Mrs Emilie Chalas, draftsman of the opinion of the Committee on Constitutional Laws, Legislation and General Administration of the Republic, has the floor.
ParlaMint-FR_2017-11-16-O1058.u23	Madam President, Mr Minister, ladies and gentlemen, special rapporteurs and for opinion, ladies and gentlemen, as draftsman of the opinion on the appropriations for the "Public Service" programme on behalf of the Committee on Laws, I would like to focus my speech on the strategy for the piloting and transformation of public services and the public service for the period from 2018 to 2022. The question no longer arises as to whether the current scope of public service missions is still appropriate, but rather to determine which ones we consider to be priorities for concentrating resources, and which structure is the most legitimate or the best placed to carry out these missions. The question of the entanglement of competences seems crucial to me if quality service is to be provided at a lower cost. In my report for an opinion, I give several examples pointing out that, for the same public policy implemented in a department, more than fifteen or even thirty different actors are required to intervene in order to respond to users. I make three proposals to streamline these situations. Once this work has been completed – and only after – it will be necessary to draw the consequences on the workforce and the evolution of the wage bill of the civil service, particularly in view of the objective, set by the President of the Republic, to reduce the number of public officials by about 120000 by 2022. This is the whole purpose of the "Public Action 2022" process, launched by the Prime Minister on 13 October. In addition to the ambition of an innovative method of transforming public administration from the point of view of the user, the public official and the taxpayer in a positive sense, this process is accompanied by a fund of €700 million over five years to finance the means of this transformation, within the framework of the Grand Plan of Investment. I also welcome the Government's commitment to better involve parliamentarians as the principal managers of the territorial civil service and the hospital civil service in CAP22's work, in accordance with the first proposal of my report for an opinion. It seems to me important to stress that the success of the process of transformation of our public services requires that we rely on different levers of change and thus avoid falling into pitfalls regarding the assessment of the efforts to be made by each side of the public service in terms of the reduction of the workforce and the wage bill. In particular, I would like to recall that the trend in the number of staff between the three sides of the public service has reversed since 2015. While hospital and territorial public services grew at a high rate between 2005 and 2015, in contrast to the state civil service, the situation has been reversed over the past two years: the numbers are beginning to fall in local authorities and the pace of growth in hospital and medical and social staff has been halved, while the rate of growth in the state has been very much up again in 2016 and 2017. Despite these efforts, the wage bill on all three sides of the public service has continued to grow as a result of general measures – an increase in the index point or career paths, careers and salaries. The downsizing of the public service cannot therefore be an end in itself, but must necessarily be linked to an objective of reducing the public wage bill. It must also be conducted finely, as the room for manoeuvre is not the same within each administration. In local and regional authorities in particular, the contracting approach proposed by the Government to reduce their operating costs is particularly relevant from this point of view. I propose, moreover, to take advantage of this in order to lead them to act also on the working time, in order to reach the 1607 annual hours and thus achieve savings. I also believe that we will have to carry out an evaluation of the recent territorial reforms in order to further simplify our territorial millennium before the end of the quinquennium. Finally, if we really want to transform public action and redefine the scope of public service tasks, it seems to me essential to involve all public officials as upstream as possible. The challenge is enormous because, according to the results of a survey conducted on October 10, 2017, public officials suffer from a lack of recognition to which the only answer, if any, is of a salary nature. Unfortunately, this survey reveals a major lack of human resources management on all three sides of the public service. I therefore make several proposals which pursue three objectives. The first is the recognition of the contribution of public officials to the creation of national wealth through the public service rendered: to this end, it is necessary to stop opposing the public sector from the private sector. The second is the political reinvestment of the human resources issue: within the public service of the Crown, the recent recognition of the AFPB – Administration and Public Service Branch – as "Government HRD" must now materialize. On the other sides, middle management needs to be strengthened and managers need to have better tools to activate motivational and recognition levers for their agents. The third objective is to improve the quality of life at work and the training of public officials. [[Applause on the benches of the REM and MODEM groups]] In this context, it is first and foremost necessary for the "bashing official" to cease in France. Second, the Government's proposed waiting day scheme could be improved to focus only on abusive behaviour, on the one hand, and to protect pregnant women public officials, on the other. Finally, concrete actions could easily be taken to create territorial pools of public training and employment and to promote chosen rather than experienced mobility. I refer you to the twelve proposals in my report for an opinion.
ParlaMint-FR_2017-11-16-O1058.u24	We come to the statements of the spokespersons of the groups. Mr Jean-François Parigi, for the Group of the European People's Party, has the floor.
ParlaMint-FR_2017-11-16-O1058.u25	Madam President, Minister, ladies and gentlemen, rapporteurs, ladies and gentlemen, the mission "Management of Public Finance and Human Resources" of the 2018 Finance Bill reinforces recent developments in the administration, and in particular in the FIPB. It is, as you will have understood, the dematerialisation and simplification of procedures to improve the service to the user, while at the same time strengthening the trust between the latter and the administration, with less human and financial resources. In short, to do better with less. While this digital shift seems indispensable to the effort to control public finances, it must not ignore other considerations that may go against it. On the subject of dematerialisation, first of all, this budget lowers the thresholds at which online reporting is mandatory. However, Minister, many of our fellow citizens do not have access to the Internet as easily as you and I do, either because they live in those areas which, in 2017, still do not have access to the Internet, or because its use is too complex for them. Excuse them! So shouldn't you and your colleagues start by guaranteeing internet access to everyone before you generalize the payment of tax online? And, if they can't hope that your agents will be understanding about them, what have you actually planned for the least broken taxpayers on the internet? The so-called kick-start measures would be welcome, such as longer reporting periods, the provision of technical assistance by reception services, and even exemptions for some. The transition to digital technology is not possible without transitional and accompanying measures. Secondly, as regards the strengthening of trust between the user and the tax administration, can you tell us where the preparatory work on the reform of the right to error is and how it will be done? However, this reform should not be the last response to the main problem of fiscal insecurity, in the continuity of the surge in taxpayers' rights and guarantees for them. For several years, we have been witnessing a crisis in the tax standard due to inflation, instability and complexity. Our tax system is totally unreadable for some taxpayers. And if the rescript and the right to error mark a breakthrough in this area, perhaps you should also consider making the tax standard more satisfactory; In other words, to ensure that the taxpayer does not make the mistake. With regard to the downsizing of DGFIP, with the abolition of almost 1500 full-time equivalents, the 2018 budget is also in line with previous budgets. This is a far-reaching reduction from the perspective of other government departments, since the total reduction in the number of public jobs in the public service as a whole amounts to 1600. Mr Minister, I am not blaming the Government for not eliminating enough public jobs, on the contrary, especially after the Prime Minister announced the abolition of 120,000 posts in five years – we are far from it! Let me just ask myself about your ministry's ability to absorb such a cut in its workforce, which comes after many others in recent years. Is it really linked to the productivity gains allowed by the dematerialization process? Or is it the choice of ease? The workforce needs to be reduced intelligently, as some economies cost the state more than they do. As you know, your administration must work on the implementation of the source levy as of January 1, 2019: however, this is not a small matter. Beyond its cost to businesses and the many difficulties in terms of confidentiality, especially for SMEs, its implementation seems particularly laborious for the administrative services that are already working there since 2015! That is the complexity of this reform, which is more and more like a gas plant. Finally, with respect to the "Social and Pension Plans" mission, it must be admitted that the increased funding needs of some pension plans are a matter of concern. The imbalance between contributors and pensioners obliges the State to contribute to these closed schemes in a worrying way. Without reform, funding needs should continue to increase and thus have a lasting impact on government finances. Jean-Paul Delevoye was appointed High Commissioner for Pension Reform: is the issue of these pension plans included in his road map? What are you looking at to stop this increase? [[Applause on the benches of the LR group]] Minister, if "to say anything is the exclusive of the opposition," the government's policy seems to be to take action without any consultation or transitional measures. This was the case with the abolition of aided contracts. Understand, therefore, that, without your specific answers to the questions that these missions call, the Republican Group will abstain from voting on these credits.
