ParlaMint-FR_2017-12-12-O1094.u1	Mrs Laurence Dumont has the floor for the New Left Group.
ParlaMint-FR_2017-12-12-O1094.u12	That's a mistake!
ParlaMint-FR_2017-12-12-O1094.u13	As in Calais, we will do what is necessary to ensure that the refugees can be welcomed and that the others are far away.
ParlaMint-FR_2017-12-12-O1094.u14	Go to Ouistreham, you'll see people on the street!
ParlaMint-FR_2017-12-12-O1094.u15	[[Applause on several benches of the REM and MODEM groups]] This is the condition laid down by the President of the Republic and which the Minister of the Interior will apply.
ParlaMint-FR_2017-12-12-O1094.u16	It's not enough to say it!
ParlaMint-FR_2017-12-12-O1094.u17	The next speaker is Mr Hugues Renson, on behalf of the Group of the European People's Party.
ParlaMint-FR_2017-12-12-O1094.u18	Prime Minister, last Wednesday, US President Donald Trump alone decided to recognize Jerusalem as the capital of the State of Israel. With this unilateral decision, the President of the United States has broken the fragile status quo that previously prevailed in the Territory, creating an unequal balance of forces among stakeholders. The President of the Republic, Emmanuel Macron, has since expressed France's disapproval of this initiative as a violation of international law and a danger to peace. Indeed, this American decision revives antagonisms, provokes a new outbreak of violence and destabilizes an entire region. In the face of this worrying situation, France must not lose its hand.
ParlaMint-FR_2017-12-12-O1094.u19	Bravo Philippe Séguin!
ParlaMint-FR_2017-12-12-O1094.u20	In the Israeli-Palestinian conflict, it is the honour of our country to have always sought a balanced solution, allowing the establishment of two States, side by side and living in peace. All the Presidents of the Fifth Republic have carried the same voice, that of respect for international law and multilateralism; All adopted a mid-point position, inviting the Israeli and Palestinian peoples to dialogue. The continuity of this message from France is our collective pride on all sides of this House.
ParlaMint-FR_2017-12-12-O1094.u21	No!
ParlaMint-FR_2017-12-12-O1094.u22	It is in this spirit that the Head of State asked Israel, a friendly country of France, this weekend to act courageously against the Palestinians in order to build peace with them. [[Applause on the benches of the REM, MODEM, FI and GDR groups, as well as on some benches of the UAI and NG groups]] Mr Prime Minister, my question is simple: can you inform us today of the ways that France intends to take to ensure that the dialogue between the stakeholders resumes, and thus to contribute to the general appeasement, which is necessary for peace?
ParlaMint-FR_2017-12-12-O1094.u23	The Prime Minister has the floor.
ParlaMint-FR_2017-12-12-O1094.u24	Mr Member, the President of the United States of America took two contested decisions last week: he recognized Jerusalem as the capital of Israel and instructed the United States Embassy, which is currently in Tel Aviv, to move there. Our position on this issue has been very clear; We have said this publicly and made it known to our American contacts: France regrets these two decisions. These are, first of all, contrary to the law as set out in United Nations Security Council resolutions. Then they break the international consensus on Jerusalem. Finally, they do not serve the cause of peace and stability, and they are most likely not to improve Israel's security.
ParlaMint-FR_2017-12-12-O1094.u25	It's the other way around!
ParlaMint-FR_2017-12-12-O1094.u26	They have, moreover, given rise to widespread international condemnation. So, what to do? First, as the President of the Republic often repeats, speak and discuss with everyone.
ParlaMint-FR_2017-12-12-O1094.u27	That's all he can do!
ParlaMint-FR_2017-12-12-O1094.u28	Then call for calm, because there is no point in adding violence to confusion: this is the message that we are conveying to our partners in the region. [[Mrs. and Mr. Members of the FI Group stand up and applaud. – Vif applause on the benches of the GDR and NG groups, as well as several benches of the REM and MODEM groups]] Finally, remember the law: there is only one solution, that of the two States, Israel and Palestine, living side by side in peace and within recognized and assured borders, with Jerusalem as the capital of the two States.
ParlaMint-FR_2017-12-12-O1094.u29	Never!
ParlaMint-FR_2017-12-12-O1094.u30	The American decision is a unilateral decision, which obviously involves only the US administration. In international law, it is, of course, the resolutions of the United Nations Security Council that prevail and will continue to apply in terms of principles and methodology. [[Applause on the benches of the FI and GDR groups, and on several benches of the REM and NG groups]] Finally, we must reflect – as you mentioned, Mr President – with our partners on how to relaunch, under the new conditions created by Mr Trump's announcement, a peace negotiation between the two sides. France is obviously ready to support all constructive initiatives in this direction. It has the opportunity of an in-depth dialogue with Israel, which is a friendly and allied country of France, through the initiative of the cross-cultural season, which will take place next year. The President of the Republic had the opportunity to explain and tell the Israeli Prime Minister, Mr Netanyahu, during his visit to Paris last Sunday that it was also the responsibility of the Israelis to act towards the Palestinians, starting with the freeze on settlement. [[Applause on the benches of the REM, MODEM, FI and GDR groups, and on some benches of the UAI and NG groups]] Be sure, Mr President, France is fully committed and will remain fully committed to the search for a two-State solution, which, in our view, is the only possible solution.
ParlaMint-FR_2017-12-12-O1094.u31	The next speaker is Mr Jean-Charles Taugordeau, for the Group of the European People's Party.
ParlaMint-FR_2017-12-12-O1094.u32	Prime Minister, I know that you are certainly committed to democracy and the rule of law. I'm going to make you very comfortable, the Notre-Dame-des-Landes project has seen several executives scroll, both right and left, and this dossier is neither right nor left. The state has let go of its regional, departmental and municipal elected representatives, on the left and on the right! This accumulation of unpredictability, errors, political calculations and, worse, non-choice, has led the state to the state of lawlessness. The ZADs, initially deferred development zones, have become illegal zones to defend! All this helped to generate a ras-le-bol of politics among the French, whom Emmanuel Macron, then a candidate, exploited without sparing his pain. He made a public commitment to this case like no other candidate.
ParlaMint-FR_2017-12-12-O1094.u33	That's right!
ParlaMint-FR_2017-12-12-O1094.u34	On 6 April last, he promised to "enforce the vote and do this airport." So a candidate, Emmanuel Macron had voted in favour of the project! He even added: "I believe in dialogue. I think we can appease them in six months. And if I can't, I'll take my responsibilities and evacuate the area." The message was clear! The Notre-Dame-des-Landes file has thus become a symbol more than a new airport project. This project can be summed up in two questions: can we tolerate areas of lawlessness in the Republic? Is the 50-year-old project still relevant or needs to be technically revised? Your problem, Prime Minister, is: in what order are the two issues dealt with? But you don't really have a choice, you have to do what your predecessors have not dared to do! Prime Minister, will you restore the rule of law by evacuating the area first, while the "Zadists" already have plans to make it a second Larzac? (Applause on the benches of the LR group and on some benches of the UAI and NG groups.)
ParlaMint-FR_2017-12-12-O1094.u35	The Minister responsible for transport has the floor.
ParlaMint-FR_2017-12-12-O1094.u36	Mr President, the principle of transferring Nantes Atlantic airport to Notre-Dame-des-Landes dates back to the late 1960s. It is therefore an old project, which was relaunched by a public debate in 2003.
ParlaMint-FR_2017-12-12-O1094.u37	We know all this!
ParlaMint-FR_2017-12-12-O1094.u38	In 2010, the State granted a concession to Vinci to build a new airport in Notre-Dame-des-Landes. Its commissioning was scheduled for 2017. It must be noted that today this project has both strong expectations and strong opposition. It is the entire Greater West region that is waiting to have an airport platform to connect it to the whole of Europe. At the same time, the project is contested,...
ParlaMint-FR_2017-12-12-O1094.u39	Answer the question!
ParlaMint-FR_2017-12-12-O1094.u40	... both for its environmental impact and because the alternative redevelopment of the existing airport is not considered to be sufficiently studied.
ParlaMint-FR_2017-12-12-O1094.u41	We don't want history, we want an answer!
ParlaMint-FR_2017-12-12-O1094.u42	The challenge became more intense in the late 2000s on the legal front, but it was also embodied in a violent opposition, which led the public authorities to postpone the work. It was in this context that a vote was taken in June 2016; This vote, in favour of the draft, did not remove all the objections, since the opponents considered that not all the alternatives had been studied. Upon his appointment, the Government launched a mediation mission in order to have objective and comprehensive elements to form an informed decision. As you know, the report will be submitted to the Government tomorrow.
ParlaMint-FR_2017-12-12-O1094.u43	Mother Castor, tell us a story!
ParlaMint-FR_2017-12-12-O1094.u44	The Committee will first have to take note of the report and consider the recommendations made. Whatever solution is chosen, the republican order will have to be restored...
ParlaMint-FR_2017-12-12-O1094.u45	When?
ParlaMint-FR_2017-12-12-O1094.u46	[[Applause on several benches of the REM and MODEM groups]] ... and the rule of law in the territory of the ZAD, which corresponds to the demand of a large majority of our fellow citizens.
ParlaMint-FR_2017-12-12-O1094.u47	The next speaker is Mr Jean-Paul Mattei, for the Group of the Democratic and Related Movement.
ParlaMint-FR_2017-12-12-O1094.u48	Mr President, ladies and gentlemen, ladies and gentlemen, my question is to the Minister for Public Action and Public Accounts. Mr Minister, our colleague from Courson was alerting you last week about the existence of a prepaid card service offered by the company Airbnb, also criticized by the hotel unions, worried about unfair competition. This would be, as you said, a form of optimisation or even tax laundering. You were receiving yesterday the French director of Airbnb, who undertook to put an end to it. However, this company is not at a trial stage and often attempts to circumvent law and legislation. The city hall of Paris even plans to refer the matter to the court of high instance in order to enforce the obligation to register with the municipality, which allows the maximum number of nights allowed by law to be checked. Indeed, while the landlords had until January 1st to make this declaration, only 11,500 owners complied with it, while there were approximately 50,000 advertisements published. It must be noted that this company is not playing the game, which leads many local authorities to experience tensions in the rental housing market. Many other cities are affected by this phenomenon, which draws prices upwards, preventing many of our fellow citizens from housing themselves properly. Our assembly has dealt with this issue in the context of the Financial Amendment Bill, which provides for the increase of the residence tax for this type of rental as of January 1, 2019. [[Applause on several benches in the MODEM group and on a few benches in the REM group]] Minister, how do you intend to reconcile the integration of these companies into the market, even if they are innovative, with the preservation of the balance of the hotel industry, and to make them contribute their fair share to the development of our communities?
ParlaMint-FR_2017-12-12-O1094.u49	The next speaker is the Minister for Action and Public Accounts.
ParlaMint-FR_2017-12-12-O1094.u50	Mr Mattei, thank you for your question, which in some way gives me a right of continuation with regard to the inquiry of your colleague Charles de Courson in this House last week. [[Applause on a few benches of the REM group and on the benches of the MODEM group]] I then made a commitment to the Member and you yourself to convene with the Minister of Economy and Finance the leaders of Airbnb, which was done yesterday. The latter responded to this call last night and announced, as you have seen, the withdrawal of the card you are referring to, which allowed us to open an account outside our country, especially in Gibraltar, where the income, the payments paid could have escaped the tax. This convocation was a good thing, as was your inquiry, and it is a good thing that the French State has made Airbnb's point; We can congratulate ourselves on that. On the other hand, I would like to raise before you the work that we are doing on the finance bill and, more generally, this question about the traditional hotel industry – which I am not resented to say so – that it is not a question of destroying, and about the new economy, which it is a question of restricting when it also uses other means of consumption, but which, on the other hand, creates wealth. Above all, Airbnb, like all companies, including platforms, must accept the idea of fair payment of tax.
ParlaMint-FR_2017-12-12-O1094.u51	All right!
ParlaMint-FR_2017-12-12-O1094.u52	Be assured that the tax administration will be very attentive to this. Of course, it is not a question of restricting a new mode of consumption, which must be taken into account, but people who receive new income from this activity must therefore pay the residence tax. The Government is working with you to introduce a tax with a ceiling in the context of the amending finance bill, as you mentioned, and I know that the Finance Committee, and within it, President Eric Woerth and the rapporteur-general Joël Giraud, are working more on it. Finally, at the beginning of next year, the bill defended by Bruno Le Maire will incorporate the provision that will make the Pascal Cherki amendment concrete, i.e. the obligation for platforms to pass on user revenues to the tax administration.
ParlaMint-FR_2017-12-12-O1094.u53	What about the source sampling?
ParlaMint-FR_2017-12-12-O1094.u54	[[Applause on the benches of the REM group]] I believe that these elements answer all your questions, honourable Member.
ParlaMint-FR_2017-12-12-O1094.u55	The next speaker is Mr André Chassaigne, for the Group of the Democratic and Republican Left.
ParlaMint-FR_2017-12-12-O1094.u56	Prime Minister, last week Europe attacked "an evil that spreads terror"; "since it must be called by its name," this "pest," is tax evasion. Europe in fury has published the blacklist of tax havens. After weeks, months, years of waiting, after Panama Papers, Luxleaks and other Paradise Papers, we were finally going to see what we were going to see! The European countries, seeing without indulgence the state of their conscience, have thrown to the popular vindiction the greatest villains of international taxation, from Tunisia to Mongolia, from Granada to Bahrain, these pelts, these galles from which all their evil came. According to all justice, there is no trace in that blacklist of the Bahamas or Singapore. No trace of the British Virgin Islands, Bermuda or Hong Kong,...
ParlaMint-FR_2017-12-12-O1094.u57	He knows a lot about it!
ParlaMint-FR_2017-12-12-O1094.u58	... because, "in the words of each one, [they are] little saints. » Europe hosting Ireland, the Netherlands or Luxembourg, "we don't dare to go too far Of the Tiger, nor of the Bear, nor of other powers, The least forgivable offenses. » President Sarkozy said in 2009: "We have put an end to the scandal of tax havens. Eight years later, impunity remains the rule. Because tax evasion is like doping, Prime Minister: cheaters are always ahead of the regulator! Because in Europe, Prime Minister, cheaters are also censors. This is how "the judgments of the Court will make you white or black. » [[Applause on the benches of the GDR and NG groups as well as on a few benches of the MODEM group and the UAI group]] Mr Prime Minister, what remains of Europe's credibility in the fight against tax evasion? Don't you think it's time for France finally to take measures to match the stakes? She would be honored to be at the initiative, as she did for the climate. She'd be honored to be in charge of this fight.
ParlaMint-FR_2017-12-12-O1094.u59	The Prime Minister has the floor.
ParlaMint-FR_2017-12-12-O1094.u60	Mr President Chassaigne, your question invites me to double humility.
ParlaMint-FR_2017-12-12-O1094.u61	It's rare!
ParlaMint-FR_2017-12-12-O1094.u62	[[Applause on the benches of the REM, MODEM and UAI groups]] The first is a humility of style, because I fear that I will not live up to the literary requirement that you have demonstrated in the formulation of your question. The second is a basic humility, because the question you are talking about, important, delicate, shows, by the very choice of words you have used, how much the fight against tax evasion or tax evasion, let's call it by its name, is an old and sometimes difficult requirement to achieve. I would like to confirm to you, Mr President, that in my view, as in the eyes of the entire national representation, it is not possible to understand or accept the very idea of this tax fraud. The French consent to tax, according to the beautiful legal formula in force, if they are convinced that no one is exempt from it. The more they have this conviction, the more they will consent. This is important, because behind this consent to tax, which I would not say is always done with joy, there is the idea of the Republican pact. Therefore, in contravention of this consent, to weaken it, to weaken it, is in a way to counter the republican pact and to weaken it. The answer to the question you are asking is a determined action on at least three levels. First of all, we must act at the international level because, by definition, tax evasion requires us to work with other States on mechanisms of identification, information and, where appropriate, correction.
ParlaMint-FR_2017-12-12-O1094.u63	We need a tax COP!
ParlaMint-FR_2017-12-12-O1094.u64	This year we are celebrating the twenty years of the OECD Convention, which is an important element in the international cooperation mechanism to combat tax fraud. Starting next year, a more powerful automatic data exchange, therefore more efficient, will take place. We are also working to strengthen the list of tax havens, to increase tax treaties, such as the one recently signed with Switzerland, and to increase international sanctions on fraud. The second area we need to invest, because it is important, is the most modern means of combating fraud. This means first of all using the instruments that those who fraud do not hesitate to use: data, digital, computer, of course. We need to strengthen our expertise on data and detection of fraudulent behaviour through the specific use of data. We need to muscle our tax information...
ParlaMint-FR_2017-12-12-O1094.u65	Finally!
ParlaMint-FR_2017-12-12-O1094.u66	...– Forgive me for calling it that, but it is this logic that I want to mention – by relying on customs, tax services, Tracfin and, of course, police services. Finally, there is a national dimension in the fight against fraud; Don't forget it. She explained the closure of the STDR office – the processing service for amending returns – as of December 31, which was announced by the Minister of Public Action and Accounts. It explains the strengthening of the sanctions in the draft finance bill and the draft amending finance bill under discussion, and it requires us to reflect – an amendment has been tabled to that effect – on measures such as the deprivation of civil rights for those who are guilty of this infringement and the weakening of the Republican pact. [[Applause on the benches of the REM group and on some benches of the MODEM group]] Mr President, the Minister for Action and Public Accounts could have told you himself, he is working on a comprehensive anti-fraud plan to be presented at the beginning of next year. Mr. President, I want to assure you that no one in this Government or in this majority is satisfied with the current situation and that our objective is to strengthen the national and international measures that will enable us to reach solutions, perhaps not always as satisfactory as those you call your wishes, but nevertheless much more than what is the norm today.
ParlaMint-FR_2017-12-12-O1094.u67	We're not learning anything!
ParlaMint-FR_2017-12-12-O1094.u68	The next speaker is Mr Bruno Questel, on behalf of the Group of the European People's Party (La République) on the move.
ParlaMint-FR_2017-12-12-O1094.u69	Prime Minister, last Sunday, the voters of Corsica gave a large majority to the list led by Gilles Simeoni, outgoing president of the executive council of Corsica. Despite the low participation rate, the indisputable victory of the coalition formed by the "Pè a Corsica" movement must be taken into account by the public authorities.
ParlaMint-FR_2017-12-12-O1094.u70	With the accent!
ParlaMint-FR_2017-12-12-O1094.u71	Here, in the National Assembly, Corsica is represented by four deputies, three of whom come from this movement. Like the others, each of them exercises a share of national sovereignty. Corsica has its specificities, its rich history and its demons. It has considerable advantages – ecological, economic and natural – which must finally enable it to develop. Corsican women and men, young and old, aspire to education, training, employment, social protection and respect for their traditions.
ParlaMint-FR_2017-12-12-O1094.u72	Corsica, they are French citizens!
ParlaMint-FR_2017-12-12-O1094.u73	Corsica demands the defence of a strong cultural identity and centuries-old traditions that must be passed on to future generations. Mr Prime Minister, last Sunday's election Gilles Simeoni, as well as the women and men who were elected with him, faced with a historic responsibility: the establishment of regional public policies that meet the needs and expectations of Corsica, in particular the particularities of insularity. Last Sunday's election means that the Government – and more broadly the Republic as a whole – will respond to the issues expressed. Indeed, Corsicans expect from you as from us the formulation of a method to determine what can or cannot be heard among the known expectations and claims.
ParlaMint-FR_2017-12-12-O1094.u74	Tongue of wood!
ParlaMint-FR_2017-12-12-O1094.u75	[[Applause on several benches in the REM group]] Therefore, my question is: How does the Government intend to work with the unique community of Corsica that will be set up on 1 January so that, in the future, whatever form of autonomy Corsica might enjoy, membership of the Republic will be assured?
ParlaMint-FR_2017-12-12-O1094.u76	The Prime Minister has the floor.
ParlaMint-FR_2017-12-12-O1094.u77	Mr Member, last Sunday the second round of territorial elections took place, allowing the establishment, from 1 January, of the community of Corsica resulting from the merger of the two departmental councils and the territorial community of Corsica. This unprecedented institutional architecture will make the territory of Corsica – even more so than the current one – one of the most decentralized local and regional authorities in our Republic. First of all, I welcome the successful conduct of the election and thank all the agents of the State and local authorities who have contributed to its organization and security. I also extend, on behalf of the Government, my congratulations to the sixty-three elected members of the new Assembly, who will make up the new Assembly on 1 January. [[Claims on several benches in the LR group]] As you may know, honourable Member, I contacted Mr Simeoni on Sunday evening, who led the list with the largest number of votes, in order to extend my Republican congratulations to him, as I do regularly after an election.
ParlaMint-FR_2017-12-12-O1094.u78	We were not congratulated!
ParlaMint-FR_2017-12-12-O1094.u79	That's right!
ParlaMint-FR_2017-12-12-O1094.u80	Yes, some Members sitting on your benches have been, Mr. President Jacob!
ParlaMint-FR_2017-12-12-O1094.u81	Not me!
ParlaMint-FR_2017-12-12-O1094.u82	We're waiting!
ParlaMint-FR_2017-12-12-O1094.u83	[[Applause on a few benches of the REM group]] Of course, we also find them on the benches of the majority, and even a lot! Moreover, since I am being questioned from the benches on the right of this Chamber, I also congratulated the President of the PACA region after his election, as it is natural! I told Mr Simeoni that I was available to receive him in Paris soon after the new settled community, which I think is natural and republican. It is the responsibility of the Head of Government to engage in dialogue with all the heads of local and regional authorities, especially the largest by the size or by the powers conferred on them by the law. The Government, ladies and gentlemen of Parliament, will be attentive, in the period that begins, to the full exercise of the powers conferred by law on the new community to be set up. There would be something baroque – agree with me, Mister – to have passed a law transferring powers and then to estimate, even before it was put into practice, that it was by nature insufficient or exercised in an unsatisfactory way! Secondly, it seems to me that Corsica can constitute a privileged field of application of the logic that we want to engage with local and regional authorities, logic based on...
ParlaMint-FR_2017-12-12-O1094.u84	The bottleneck?
ParlaMint-FR_2017-12-12-O1094.u85	... the discussion and allowing, once these communities take initiatives in accordance with the constitutional framework, to entrust them with a form of authority in the exercise of specific competences. The President of the Republic has often used the phrase "girondin pact".
ParlaMint-FR_2017-12-12-O1094.u86	All right!
ParlaMint-FR_2017-12-12-O1094.u87	Corsica can be a privileged territory to test and implement it. Of course, the dialogue with the elected representatives of Corsica and the living forces of that territory concerns the entire Government. I'll take my entire share, just like I started doing on Sunday night. I'm measuring the needs, Mr. Member. I hear the demand, made by many elected representatives, that a personality embody dialogue and take an increased part in it. The President of the Republic and I made a clear choice and – hear me well, Mr. Member of Parliament – assumed. In other times, dialogue with the elected representatives of Corsica has been less clear and less engaged. [["Ah!" on several benches of the LR group]] Since I believe that clarity is an essential quality in this respect, we have asked Ms Jacqueline Gourault, Minister to the Minister of State, Minister of the Interior, that her powers place daily contact with the territorial authorities of the Republic and their elected representatives, to play the role of front door and privileged interlocutor, within the Government, in the dialogue with the elected Corsicans.
ParlaMint-FR_2017-12-12-O1094.u88	We're reassured!
ParlaMint-FR_2017-12-12-O1094.u89	[[Applause on the benches of the REM and MODEM groups]] I trust his recognized qualities of dialogue and listening, as well as his very fine knowledge of the French territories, to engage, alongside all the members of the Government, this republican, natural – normal discussion, if I dared! – with the elect Corsicans.
ParlaMint-FR_2017-12-12-O1094.u90	The next speaker is Mr Jean-Jacques Ferrara, for the Group of the European People's Party.
ParlaMint-FR_2017-12-12-O1094.u91	It's gonna be something else!
ParlaMint-FR_2017-12-12-O1094.u92	Thank you, Mr President, for giving me the opportunity to speak as a Corsican elected representative, together with my three other colleagues. Last Sunday, in fact, Corsica was called to the polls to elect the sixty-three councillors of the new single community sealing the merger of the present territorial collectivity and the two departmental councils. The results call for at least three observations: the frank victory of the outgoing territorial majority, which obtained forty-one out of sixty-three seats by mobilizing and expanding its electoral base; the defeat of the traditional parties, both from my political family and from the presidential majority, and the absence of a representative of the other two; a record forbearance rate close to 50% and even reaching peaks of almost 70% in some sensitive areas of Ajaccio and Bastia. Thus, the proposals of the traditional parties no longer federate and half of the electoral corps is not recognized in the political offer, all trends combined; It no longer moves to vote on our island, which has so far been known for its passion for political debate. This lack of interest in public action and those who embody it, which is clearer in some disadvantaged neighbourhoods, is the mark of a fracture that is only growing. Mr Prime Minister, universal suffrage is one of the pillars of our democracy, such as equality between citizens and equity between the territories of the Republic. These pillars ensure the cohesion of our country. Do you not think that this sad observation prefigures what will happen tomorrow in other regions of mainland France, facing the same difficulties in terms of employment, housing or access to care and services? [[Applause on the benches of the LR group]] These problems are more acute in Corsica because of its insularity, demographics and economic reality, but they can become so tomorrow on the continent. To remedy these shortcomings, Corsica is preparing to experiment with a new institutional organisation. It must succeed in order to guarantee a better future for Corsica and its population and to ensure that this experience serves other French regions.
ParlaMint-FR_2017-12-12-O1094.u93	The Minister has the floor to the Minister of State, Minister of the Interior.
ParlaMint-FR_2017-12-12-O1094.u94	The question is for the Prime Minister!
ParlaMint-FR_2017-12-12-O1094.u95	Let's hear the mediator!
ParlaMint-FR_2017-12-12-O1094.u96	Mr President, you have just recalled the establishment of a new territorial authority in Corsica following the election held last Sunday. Sixty-three elected members make up the new Assembly of Corsica.
ParlaMint-FR_2017-12-12-O1094.u97	The Prime Minister has already said so!
ParlaMint-FR_2017-12-12-O1094.u98	I also congratulate all those who organised the elections in Corsica, both local and state officials. Of course, I also congratulate the elected representatives of the new community.
ParlaMint-FR_2017-12-12-O1094.u99	59 seconds left!
ParlaMint-FR_2017-12-12-O1094.u100	I would point out, in the continuity of the remarks just made by the Prime Minister at the moment and in the framework of the mission which he entrusted to me in agreement with the President of the Republic, my complete readiness to work with all the elected representatives of Corsica and to receive the future leaders of the community of Corsica. Given the particular organisation of the latter, this invitation is naturally addressed to the future President of the Executive and Assembly of Corsica. I have already worked with you, gentlemen of the deputies of Corsica, alongside Gérald Darmanin, in preparing the budget for the future local authority. We have had very constructive relations and dialogue.
ParlaMint-FR_2017-12-12-O1094.u101	[[Protests on a few benches of the REM group]] Only 17 seconds left!
ParlaMint-FR_2017-12-12-O1094.u102	[[Applause on the MODEM benches and on several REM benches]] I will continue to work – you know my commitment to local authorities – so that the new Corsican community can fully exercise its skills. Success is essential for the effectiveness of public policies as well as for the economic and social development of Corsica.
ParlaMint-FR_2017-12-12-O1094.u103	Mrs Nadia Hai, on behalf of the Group of the European People's Party, is speaking.
ParlaMint-FR_2017-12-12-O1094.u104	My question, to which I associate my colleagues in the REM Group of the Delegation for Women's Rights, is addressed to Secretary of State Marlène Schiappa. I hear from here some who will think very low: "Here's an umpteenth question about violence against women"...
ParlaMint-FR_2017-12-12-O1094.u105	Think for yourself!
ParlaMint-FR_2017-12-12-O1094.u106	... and I say, "Yes, alas..." Yes, Madam Secretary of State, you have once again been asked about the issue of violence against women. Yes, we again have something to indignant about the rights of women in a great country like France, where retrograde minds are still raging, obsessed with populism at all costs, ready to trivialize violence and the violation of women's dignity. [[Applause on the benches of the REM, MODEM, UAI, NG, FI groups and on several benches of the GDR group]] My question follows the indignation aroused by the very bad taste advertising campaign broadcast in the city of Béziers – financed, moreover, from public funds. The echo that she enjoys today does not honor her author in any way, fortiori elected from the Republic. [[Applause on several benches]] Of course, freedom of expression is a jewel of our Republic. However, it cannot excuse the violation of other freedoms and our values, in this case respect for women's rights. So we say: "No to the trivialization of violence against women! No to the trivialization of sexist and violent statements against women! No to the trivialization of the reductive images of the place of women in our society! » [[Applause on the benches of the REM, MODEM and NG groups and on several benches of the UAI, GDR and FI groups]] For all these anonymous women who are victims of violence every day, it is our duty to exercise unwavering vigilance. Madam Secretary of State, as we prepare to legislate against violence against women, could you tell the national representative what form this collective indignation at state level can take?
ParlaMint-FR_2017-12-12-O1094.u107	The Secretary of State for Equality between Women and Men has the floor.
ParlaMint-FR_2017-12-12-O1094.u108	She's a secretary of state, she's not a minister.
ParlaMint-FR_2017-12-12-O1094.u109	[[Applause on several benches in the REM group]] Thank you for this very relevant and timely speech. Madam Member of Parliament, ladies and gentlemen of the delegation for women's rights, like you and like the Member of Parliament for the Hérault, I was very shocked by this umpteenth campaign in a commune of Hérault – Béziers, not to mention it – whose mayor has positions that we all know here. [[Applause on the benches of the REM, MODEM and NG groups and on a few benches of the UAI group]] This campaign is odious and violent, especially with regard to women, since it involves a femicide. This is unacceptable, especially since it comes from an elected member of the Republic. In September, he had already used images of domestic violence for another campaign. Humiliating women once again by these acts is ignoble. That is why I seized the prefect of the Hérault from yesterday morning, so that all possible remedies could be activated. During the day, the prefect himself seized the public prosecutor, who immediately ordered an investigation. It is now up to the justice of our country to do its job. It is our duty to recall that women are never responsible for the violence they suffer and that the elected representatives of the French Republic have the responsibility to create and carry out public policies to prevent all forms of violence and to protect women. [[Applause on the benches of the REM, MODEM, UAI, NG and FI groups and on several benches of the GDR group]] The President of the Republic and the Government have taken note of these issues by carrying out this cultural struggle everywhere. We remain faithful to this line, which we share, Madam Member: never let anything pass.
ParlaMint-FR_2017-12-12-O1094.u110	Mr Alain David, for the New Left Group, has the floor.
ParlaMint-FR_2017-12-12-O1094.u111	My question, which I associate with Joaquim Pueyo, is addressed to the Minister for Europe and Foreign Affairs. On 6 December, the President of the United States recognized Jerusalem as the capital of the State of Israel and requested that the United States embassy be transferred to Jerusalem.
