ParlaMint-FR_2017-11-14-O1054.u1	The next item is the discussion, for final reading, of the 2017 amending finance bill (No. 379).
ParlaMint-FR_2017-11-14-O1054.u12	That's right!
ParlaMint-FR_2017-11-14-O1054.u13	But I don't think you're doing the right thing. The massive increase in the levy – by 15% or 30% depending on the turnover of companies – is at least contradictory to the message of stability you want to send on taxation and the reduction of corporate tax. You're going to lower the IS in 2018 and, in the same calendar, you're going to increase it powerfully – maybe only once, of course, but the two messages are no less contradictory: you're lowering the IS but you're increasing it as we've never done before. The second contradiction is that you are going to repay businesses, but you are going above all to charge companies beyond the repayment to which they are entitled. In order to repay the 5000 companies that had to pay the dividend tax, 320 companies will be punctured and 223 of them will lose, as Mr Le Maire said, especially ten of them. This is the case with mutual banks. This message is totally contradictory: on the one hand, one reimburses those who have illegitimately or abnormally paid; On the other hand, companies are charged more than they will be reimbursed for, in order to make them participate in collective solidarity. Frankly, it's hard to understand anything about it. Third contradiction, you want France to be attractive – like all of us, regardless of the benches on which we sit – but you send the disastrous message to the world that at the slightest blow of wind, taxation is the ultimate recourse. Honestly, this blow of wind isn't the last one you'll have to face. It is very strong, perhaps unexpected, even though some elements have suggested it for the past few months. But should we immediately draw the tax weapon? [[Applause on the benches of the LR group]] France never resists the idea of increasing taxes to solve a problem. We only remember one thing: as soon as things go wrong, the tax coup is the best solution. This is quite contradictory with – to name but one example – the idea of lowering the ISF – the solidarity tax on wealth – by replacing it with a property tax – IFI. You tell the French who have left France for tax reasons that they can come back because there are no more ISFs but I am not sure that they receive this message very well; They are likely to think that the next time it goes wrong, a property tax will be reintroduced, or, as an exceptional measure, an additional levy on income tax will be introduced. It is therefore a very contradictory message with all the measures advocated, rightly or not, by the Government. For these reasons, of course, we will not vote for this text.
ParlaMint-FR_2017-11-14-O1054.u14	I have received a motion from Mr Franck Riester and members of the Group of the European People's Party, Republicans, IDU, independents, to refer the matter back to committee pursuant to Rule 91(6) of the Rules of Procedure. Mr Charles de Courson has the floor.
ParlaMint-FR_2017-11-14-O1054.u15	Demand and vigilance!
ParlaMint-FR_2017-11-14-O1054.u16	Mr President, Mr Secretary of State, ladies and gentlemen, "Less than three weeks have passed between the decision to create a dividend tax and the introduction of the bill in Parliament. This hastily reduces the ability of the administration to consult places in good conditions, leaves very limited time for the Council of State to decide on the text and may ultimately require adjustments, possibly with high impact, by means of amendments to Parliament. Who wrote this?
ParlaMint-FR_2017-11-14-O1054.u17	Emmanuel Macron!
ParlaMint-FR_2017-11-14-O1054.u18	[[Smile. – Applause on a few benches of the LR group]] Ladies and gentlemen, I have just read you an excerpt from page 42 of the interesting document that was distributed to us yesterday, at the beginning of the re-reading of this amending finance bill; I am referring to the report of the General Inspectorate of Finance – IGF – on the fact-finding mission on the additional 3% corporate tax contribution on distributed revenues. Secretary of State, these words are still relevant; They can be withheld, for the third time, against the two taxes that the Government proposes to create to cover half the cost of cancelling the 3 per cent dividend tax. As Karl Marx said in The Manifesto of the Communist Party in 1848... Applause, ladies and gentlemen! As Karl Marx said, "He who does not know the story is condemned to relive it! »
ParlaMint-FR_2017-11-14-O1054.u19	That's all we can keep from Marx!
ParlaMint-FR_2017-11-14-O1054.u20	He has references, the revolutionary of Courson!
ParlaMint-FR_2017-11-14-O1054.u21	Well, that's what we're living for. That is why I will try, for the third and last time, to convince you, ladies and gentlemen, to give up this terrible idea of creating two new taxes. First question: Is the cost of cancelling the 3% tax 10 billion? Read the interesting document I quoted. The Government tells us that the cost is €10 billion, but that is incorrect: this amount is undervalued by €1.4 billion. Maybe you'll tell me we're not close to this anymore, but I'm not quite sure of that.
ParlaMint-FR_2017-11-14-O1054.u22	It's the old world!
ParlaMint-FR_2017-11-14-O1054.u23	Indeed, according to the IGF report, the maximum cost of cancellation is EUR 9.9 billion, i.e. the total amount paid by companies – excluding interest on moratoria, the rate of which is, I would remind you, 4.8%. Taking these interests into account, which can be estimated at just under $1.5 billion, the cost is $11.4 billion. The figures I will give you are included in the State's general accounts for tax disputes. At the end of October 2017, there were 6388 claims for a total of $7.9 billion, plus an additional 950 million moratoriums, or $8.85 billion. It can reasonably be assumed that, if the financial managers of the companies concerned are consistent, the remaining 2 billion will be claimed very quickly as a result of advertising in all tax-related journals. [[Exclaims. – Applause on a few benches of the LR group]] Second question: Is the creation of two new taxes consistent with the Government's policy? The answer is clearly no. The Government, quite rightly, explains to us that the IS rate must be lowered to 25% in five years, at a rate slightly higher than the current average rate in Europe – which is expected to decline itself, to only around 20% in five years. We must go in this direction, because we are the European country with the highest rate of IS at 33.33% – to which the social contribution is added, bringing it to 34.4%. With the two new taxes, companies with a turnover of EUR 3 billion or more will be close to the 45% tax. You will tell me that this corresponds to the marginal rate of income tax: you have invented a progressive tax on business profits! At the same time, most countries are lowering their IS rate: I would remind you that in Britain it is 20% and will be reduced to 15% by 2020; In the United States, Trump's plan is to lower it from 36 to 18 per cent. What is quite surprising, Secretary of State, is that you are making the Brel, an artist we certainly all love: "You wanted to see the drop and we saw the rise! » Do you have to think that you like business but you have cow love? In fact, you start by sanctioning before saying "I love you."
ParlaMint-FR_2017-11-14-O1054.u24	It's Marxist!
ParlaMint-FR_2017-11-14-O1054.u25	You will confess that this is a somewhat particular psychology, which we may fear has some difficulty in being understood by our fellow citizens. Without going back to the incredible procedure you used, I want to tell you that you took two constitutional risks. The first is derived from section 32 of the Financial Laws Organization Act, since, contrary to its provisions, you have not adjusted the expenses.
ParlaMint-FR_2017-11-14-O1054.u26	That's right!
ParlaMint-FR_2017-11-14-O1054.u27	As for revenues, you have adjusted them to the provisions of the original 2018 Finance Bill, so they were based on information from September, not the date this bill was tabled. This grievance, which relates to the procedure, is one of those that we will raise before the Constitutional Council. You are facing a second constitutional risk by doing something that I have never seen in twenty-five years: tomorrow we are going to attack the examination of a second amending finance law, even though the first will not yet be published – the decision that will be made following our appeal will not take place until eight days.
ParlaMint-FR_2017-11-14-O1054.u28	You're from the old world!
ParlaMint-FR_2017-11-14-O1054.u29	I know I belong to the old world, but organic law is neither new nor old: it simply applies. It would be interesting if you could explain to us how we can debate a new law of amending finance without the previous one being published.
ParlaMint-FR_2017-11-14-O1054.u30	Yes!
ParlaMint-FR_2017-11-14-O1054.u31	This isn't the first time!
ParlaMint-FR_2017-11-14-O1054.u32	It is true that the new world is characterized by innovations, but these could cause you some constitutional unrest. I'm coming to the bottom, Mr. Secretary of State. Is this text in line with Community law and French constitutional and budgetary law? Many of us think that we don't.
ParlaMint-FR_2017-11-14-O1054.u33	That's right!
ParlaMint-FR_2017-11-14-O1054.u34	Indeed, you are facing a serious problem with regard to the principle of equality. You create a progressive tax on business profits by introducing two tranches, one ranging from 1 to less than 3 billion turnover, the other starting at 3 billion. However, the jurisprudence of the Constitutional Council is clear, as you know: it has always considered that turnover has no connection with profits. In fact, a company can generate 10 billion turnovers and generate only a very small profit or even losses. In doing so, you deny one of the principles of the Declaration of Human and Citizens' Rights: criteria should be defined that reflect the contributing powers of companies, which is not the case with turnover. That's a first problem. Second constitutional problem, you multiply the breaks in equality. First example: there is a breach of equality against mutual insurance companies, which will have to pay the new tax, while on the other hand they are not entitled to any refund since, without distributing dividends, they were not liable for the 3% tax. Second example: the three federal banking networks – Farm Credit, Mutual Credit and People's Banks. You know that contrary to the principles governing relations between subsidiaries and parent companies, in these three networks, it is not the mother who owns the daughters, but the daughters who own the mother. In the debate on the 3% dividend tax, we raised this problem and resolved it through an amendment that we had drafted with my friend Gilles Carrez. I could thus multiply examples of a breach of the principle of equality. There is another problem on which we still have no response from the Government: non-compliance with the so-called "small non-retroactivity" principle.
ParlaMint-FR_2017-11-14-O1054.u35	Absolutely!
ParlaMint-FR_2017-11-14-O1054.u36	The Constitutional Council considers that this principle should be regulated in two ways. First of all, it must respect the principle of the non-retroactivity of stricter tax sanctions, which is not a problem for this text. On the other hand, I would like to draw your attention to the second limit: the existence of an imperative reason of general interest. Indeed, the Constitutional Council considers that an exclusively financial ground does not constitute an imperative ground of public interest. It may or may not be approved, but this is its jurisprudence. However, the only reason for the creation of these two taxes is to fill half the hole. So you're taking another constitutional risk. Finally, I maintain that you are facing a third constitutional risk, it is indeed weaker, in terms of property rights. At present, a real estate company with a turnover of at least €3 billion will have its corporate tax rate increased by the social contribution and the two new taxes, reaching 44.4%: out of 100 euros of profits, will therefore remain, after tax, 55.6. But these €55.6 will be reduced by income tax, CSG, CRDS and even IFI – the property tax.
ParlaMint-FR_2017-11-14-O1054.u37	This has nothing to do with the surtax!
ParlaMint-FR_2017-11-14-O1054.u38	The Minister of Economy denied that real estate companies could be subject to the IS, but of course if it is possible: for example, companies that specialize in corporate real estate, some of which have more than EUR 1 billion or even EUR 3 billion in turnover.
ParlaMint-FR_2017-11-14-O1054.u39	Yes, civil real estate companies!
ParlaMint-FR_2017-11-14-O1054.u40	What's going to happen? As the levy is still capped at 75 per cent of income, they will remain 25 per cent. However, until proof to the contrary, 25% of 55.6% do, roughly, 14%. In other words, you risk hitting the 70-75% mark imposed by the Constitutional Council, if the Constitutional Council considers that, in the case of real estate companies, corporate tax must be included in the total. Even though he would not do so, there will remain only 14% of a pre-tax profit of 100: it is expropriatory taxation, as we used to say! Moreover, under European law, the reason for the annulment of the 3% dividend tax is reflected in the new provisions. Let us take the example of a tax-integrated group whose parent company is French. In this case, profits and losses can be accumulated, since the mother will pay the two new taxes. However, if the parent company is German and has two subsidiaries in France, one of which is in surplus and the other is in deficit, the two balances cannot be combined to establish a net amount. As far as Community law is concerned, you will once again be confronted with the problem that arose when the 3 % tax was introduced. [[Exclaims]] Finally, Secretary of State, you're young!
ParlaMint-FR_2017-11-14-O1054.u41	That's something to be commended for.
ParlaMint-FR_2017-11-14-O1054.u42	Of course, everyone started one day. But not respecting the rights of Parliament always turns against the Government. Fiscal haste has always led to disasters. I am very afraid, Mr Secretary of State, that after the first two disasters we have experienced, at an increasing cost, your project is a third one. What was the solution? I belong to the Constructive Group where we don't criticise without making an alternative proposal – if we don't have a proposal, we're silent! We have put forward a proposal – which has been made several times in French tax history, I say that for our young colleagues – that is simply to acknowledge the debt. Mr President of the Committee on Finance, we were told about 5000 claims, but we are already at 6400 and we will end up at 7000 or 7500. Our idea is to crystallize the debt, index it to the 10-year bond rate and repay it in ten years. You will tell me that this brilliant affair would plunge the 2017 deficit of 10 billion euros. Yeah, it's true, but what's the point of hiding behind his little finger?
ParlaMint-FR_2017-11-14-O1054.u43	Nothing!
ParlaMint-FR_2017-11-14-O1054.u44	Everyone knows that it costs EUR 10 billion – and in my opinion it costs EUR 11 billion or 11.4 billion. You are assuming that out of the estimated €10 billion, €5 billion will be attributable to 2017 and €5 billion to 2018. No minister has managed to explain to us why this distribution was 5 billion euros a year, and why not 7 billion in the first year and 3 billion in the second. I gave you the figures – which we were not given in committee, but which I discovered last night by reading the IGF report – which show that we are already far beyond your forecast. You do not even depend on INSEE, but on the European statistical agency, which will have to know whether the €10 billion is attributable to 2017 or 2017 and 2018, according to a breakdown that will certainly not be €5 billion in 2017 and €5 billion in 2018.
ParlaMint-FR_2017-11-14-O1054.u45	Thank you for closing, my dear colleague.
ParlaMint-FR_2017-11-14-O1054.u46	I still have forty seconds, Mr. President! The derogation you are referring to, on the basis of Article 20.189 of the European System of Accounts, does not apply at all to the present case. Indeed, there is no longer any tax, so the amount of the debt is certain. I take the bet that the charge of 10 billion euros, or even a little more than 11 billion, will weigh, for the most part, over the year 2017. Your argument that the situation is terrible and that we are going to have problems with the European Commission is unfounded. Go to Brussels, you have nothing to do with this! You inherit this, except for some 30 members of the La République en marche group who belonged to the previous majority and voted for this additional contribution – and you were, minister!
ParlaMint-FR_2017-11-14-O1054.u47	Yes!
ParlaMint-FR_2017-11-14-O1054.u48	[[Applause on the benches of the LC group and on several benches of the LR group]] You recognize him and you're right, because you have to recognize his faults. But the solution you are proposing is not the right one. That is why the majority of the Constructive Group will vote against your text.
ParlaMint-FR_2017-11-14-O1054.u49	We come to the explanations of vote of the groups. Mr Hubert Wulfranc, for the Group of the Democratic and Republican Left, has the floor.
ParlaMint-FR_2017-11-14-O1054.u50	We will not vote on this motion for referral to committee.
ParlaMint-FR_2017-11-14-O1054.u51	What a mistake!
ParlaMint-FR_2017-11-14-O1054.u52	To the argument put forward by the right, we oppose the reasoning that you also know well: the government will seek half of the amount to repay in a surcharge that the 320 largest companies will pay, but why stop in such a good way? You said it, fault confessed is half forgiven. The companies did not make the revolution when the initial measure was taken, nor today for the repayment exercise that you are proposing as a matter of urgency. It must be said that profits have steadily increased in recent years and that the tax decisions for 2018 are very strong. There is still half of the amount to be found, registered with the nation's deficit, and we all know that it will be caught in the pocket of the French!
ParlaMint-FR_2017-11-14-O1054.u53	The next speaker is Mr Gilles Le Gendre, for the Group of the European People's Party (La République en marche).
ParlaMint-FR_2017-11-14-O1054.u54	At the end of the 2017 review of this amending finance bill, there is no doubt that there is no need to epilogue and ratiocine to infinity on the losers and winners of this operation. A tax is extinguished by the will of the constitutional judge and an interim tax is created by the need to keep our budgetary commitments in record time. Admittedly, the decisions submitted to us are unprecedented by their purpose, their amount and the circumstances justifying them; They are unprecedented and therefore demanding for the Government and the majority, who must assume them without having been at the origin. [[Applause on the benches of the REM group]] Once again, the moving Republic Group will assume its responsibilities and vote against this motion for referral to committee and for this text.
ParlaMint-FR_2017-11-14-O1054.u55	Mrs Marie-Christine Dalloz, for the Group of the European People's Party, has the floor.
ParlaMint-FR_2017-11-14-O1054.u56	There are several problems, minister. On the form, first of all, we examined yesterday afternoon this amending Finance Bill for 2017 in new reading, and we are doing the final reading tonight. Two readings in 24 hours! Yesterday, the minister present at the bench, Bruno Le Maire, replied that several PLFRs had already been voted in the same exercise in the past, notably in 2011 and 2012. That's right, but we had time in between. There, we are voting for a PLFR for a new reading and final reading in two days, and tomorrow morning, Mr Gérald Darmanin comes to present another PLFR, the real one, in the Finance Committee. I don't know if you can imagine the context. The PLFRs are colliding, Minister. On the merits, you say that the chain of litigation must be closed. Either, but I have read, like Charles de Courson, the report of the IGF fact-finding mission, whose title is paragraph 1.1. The 3% dividend contribution was an additional contribution to corporate tax. Now, you're doing exactly the same thing again! You are introducing a new additional contribution to the IS, with all the risks involved. From a tax of 3%, you go to a tax multiplied by ten for companies that generate more than 3 billion euros in turnover. That's the reality! The report of the fact-finding mission I studied last night left me a little bit on my hunger, Mr. Secretary of State. He recalls the facts, but he does not shed any light or conclusions on responsibilities. However, a fact-finding mission should provide guidance on responsibilities, whether political or administrative. There's nothing there. Nada! Other difficulties have arisen with regard to parent companies and subsidiaries, as well as with regard to the level of interest rate moratoriums. [[Applause on the benches of the LR group]] In conclusion, Minister, today you want to make us think that you are in a new political world where the way of doing things is new, but I see that you are taking back the old ways of creating taxes and surcharges. We will therefore vote on this motion to refer it back to committee.
ParlaMint-FR_2017-11-14-O1054.u57	Philippe Vigier, for the group Les Constructives: Republicans, IDU, independents.
ParlaMint-FR_2017-11-14-O1054.u58	I regret that a secretary of state responsible for relations with Parliament asks Parliament to examine a text three times in a few days to create a tax, the amount of which is not nothing and everyone will be keen to reread Charles de Courson's comments. I have also read the report by Mrs Lepetit, head of the IGF department, Secretary of State, who is targeting parliamentarians. She writes that the parliamentary debate did not inform the Government, which is wrong! The report states that "The parliamentary discussion did not highlight the legal, economic and budgetary implications of this change. "
ParlaMint-FR_2017-11-14-O1054.u59	That's it!
ParlaMint-FR_2017-11-14-O1054.u60	You must all have that sentence in mind. I wouldn't want another accident to happen. If that were the case, you wouldn't be able to say you weren't notified. [[Applause on the benches of the LC and LR groups]] Mr. Secretary of State, I know your office is heavy, but we've seen that you're faced under all circumstances. You stated earlier that there was no alternative to the one proposed by the Government, but that is not the truth. This is the first time that you have done us the honour of coming to debate this amending finance bill with us, but, as I will tell you later, there is another way and another way. That is why we are asking for this referral back to committee. Not to create difficulties for you, not to say, like our colleagues on the left, that there is no problem – there is one and we have to solve it – but to propose a path that you refuse to explore. I hope that the one you have chosen will lead to a good port. Otherwise, we would have been right too early, like Gilles Carrez and Charles de Courson in 2012. We are, of course, asking for referral back to committee.
ParlaMint-FR_2017-11-14-O1054.u61	Mrs Valérie Rabault has the floor for the New Left Group.
ParlaMint-FR_2017-11-14-O1054.u62	Mr de Courson, I do not know how to interpret tax psychology, and we will not vote on your motion to refer it back to committee on that basis, but for other reasons. The report of the General Inspectorate of Finance makes three recommendations, Minister. There are not thirty-six, there are three, which I find extremely relevant. One of them aims to "provide by a supra-legal provision the presentation of the only tax articles of the Finance Act with their preliminary studies in the course of July. " The IGF states that every new tax system must be proposed as early as July, so that everyone can conduct contradictory analyses and test them with external interlocutors. The vote will only take place in October and November, and it will take four months to study it. There you are asking us in almost four days to vote for a tax to bring in 5 billion euros. Alternative proposals have been put forward, in particular that of staggering the debt over several years; We would have liked to know the analysis of the Government and the administration on this point,...
ParlaMint-FR_2017-11-14-O1054.u63	There's no analysis!
ParlaMint-FR_2017-11-14-O1054.u64	[[Applause on the benches of the NG group and on several benches of the LR. and LC groups]] ...but we didn't get it. Therefore, we will vote on this motion for referral to committee.
ParlaMint-FR_2017-11-14-O1054.u65	The next speaker is Mr Jean-Paul Mattei, for the Group of the Democratic and Related Movement.
ParlaMint-FR_2017-11-14-O1054.u66	I always take great pleasure in listening to your analyses, Mr. de Courson, but I do not fully agree with your position, particularly on the risk of infringement of property rights. Indeed, the IS is paid by legal persons, while the IFI will be paid by natural persons. I have also read the IGF report, which seems to me to confirm the path advocated by the Government, avoiding the risk of unconstitutionality. This bill does not seem to me to be contrary to the Constitution. You are giving us lessons on this amending finance bill, which immediately precedes the introduction of a new PLFR. In 2011, I did not sit in this Chamber, but I was on the other side where I saw a lot of amending finance laws – four, it seems to me. [["Ah? » on several benches of the LR and LC groups]] We are facing an emergency and we have had enough debate. We have been told why this text should be voted on quickly, and I would remind you that a corporate tax advance is set for December 15. The discussion lasted long enough, and the majority of the MODEM Group will vote against this motion for referral to committee.
ParlaMint-FR_2017-11-14-O1054.u67	In the general debate, Mr Jean-Paul Dufrègne spoke.
ParlaMint-FR_2017-11-14-O1054.u68	Mr President, Mr Secretary of State, Mr President of the Committee on Finance, Mr rapporteur-general, ladies and gentlemen, 10 billion, and even more, according to some, this is not under the hoof of a horse.
ParlaMint-FR_2017-11-14-O1054.u69	It depends on the horse!
ParlaMint-FR_2017-11-14-O1054.u70	This also did not put on the straw the companies which, since 2012, paid the tax that generated them, since by definition they distributed dividends: 300 billion euros during the period under review! Following the decisions of the Court of Justice of the European Union and the Constitutional Council, which clearly show the legal walls that have been erected to defend the financial interests of the most powerful, we are therefore forced to return this money to those who need it the least. This is deeply unjust; This is deeply immoral. This is also the result of the finance bill, which our fellow citizens see as a project for the rich; They also express it through recent polls, expressing their dissatisfaction with the policy led by the President of the Republic and his government. There are only the followers of the Coué method, many here, to say and repeat: "We are right, we are right, we are necessarily right. »
ParlaMint-FR_2017-11-14-O1054.u71	All right!
ParlaMint-FR_2017-11-14-O1054.u72	The draft finance law aims, among other measures, to abolish the ISF and thus exempt a few thousand taxpayers of more than EUR 4 billion. It aims to introduce a one-time 30% tax on financial income that eliminates tax escalation and, of course, represents a substantial benefit of €2 billion for high incomes. It foresees hundreds of job cuts, which will undermine public services where they are often the most useful, and will further strengthen the sense of abandonment of many people. These abolitions take place where, on the contrary, action by the State should be stepped up, in particular to combat tax fraud and evasion, which cost us every year the deficit of France. The deficit still serves as a pretext for implementing austerity policies that always strike the most fragile in our society. Unfortunately, the example of the abolition of half of the aided contracts is a good illustration of this. The draft finance law also calls into question taxes on financial transactions amounting to EUR 2 billion. It tends to introduce a levy of 1.7 points of additional CSG on all income which will not be compensated for pensioners whose pensions exceed 1200 euros per month, as if beyond such income one was among the wealthy.
ParlaMint-FR_2017-11-14-O1054.u73	It's not fair!
