ParlaMint-GB_2022-01-11-commons.u1	1. What steps he is taking to improve productivity levels in the UK.
ParlaMint-GB_2022-01-11-commons.u51	I welcome all the support the Government have given to businesses and all the work the Minister has done personally in this area. However, hospitality and the night-time economy in Bexleyheath town centre still face real challenges with staffing as well as finance. Will my hon. Friend continue to meet representatives of these sectors to take their views on board and see what more can be done, particularly on staffing?
ParlaMint-GB_2022-01-11-commons.u52	I absolutely agree with my right hon. Friend. Interestingly, we now have 400,000 more people in work than before the pandemic, which is testament to the plan for jobs and the plan for growth, but we need to address the record number of vacancies. We need to match them with the people in work who want to work more hours, and we will do that between the Department for Work and Pensions and my work in BEIS. There will be a cross-Government approach to make sure hospitality can thrive.
ParlaMint-GB_2022-01-11-commons.u53	The Minister knows that Newcastle’s night-time economy is absolutely core to our city’s appeal and character. But we know that businesses in the night-time economy have accrued massive debts during this period. They are struggling with the continued uncertainty that omicron is bringing. We know that the night-time economy—our nightlife—is what makes Newcastle great and discretionary grants are welcome, but we know that some areas are impacted worse than others and have less discretionary ability to spend that on the night-time economy. So, will the Minister look at specific, targeted support for that sector, for those areas that really need it?
ParlaMint-GB_2022-01-11-commons.u54	We are trying make sure that the cities can open in full. That is a return to work, a return for students, a return to domestic travel, and a return to international travel. All those people contribute to that ecosystem of hospitality, and indeed the night-time economy, so cities have a particular view that we need to approach. We will continue to flex and work with businesses as they open up fully to pay down their debt and to trade as normally as possible to ensure that the hospitality sector—the night-time economy—can thrive in Newcastle.
ParlaMint-GB_2022-01-11-commons.u55	7. What steps he is taking to support the transition to net zero carbon emissions for homes not connected to the mains gas grid.
ParlaMint-GB_2022-01-11-commons.u56	I would like to reassure my hon. Friend that if we look back at where we were this time last year, we came out with the heat and buildings strategy, which directly answered this question, and also a very generous comprehensive spending review settlement.
ParlaMint-GB_2022-01-11-commons.u57	I thank the Secretary of State for his answer. In Sevenoaks we are keen to play our part in achieving net zero, but many of my constituents in more rural areas are worried about the costs and feasibility of replacing their oil boilers as they are phased out. Can the Secretary of State provide reassurances to them, and all in a similar position, that safeguards will be put in place to ensure that alternatives are affordable and practical?
ParlaMint-GB_2022-01-11-commons.u58	Very specifically in regard to her question, my hon. Friend will know that there is a £450 million boiler upgrade scheme, which was outlined in the CSR, that will provide up-front capital grants for the installation of low-carbon heating systems. She will also be aware that for lower-income households we have a £1.1 billion home upgrade grant, which will upgrade energy efficiency and increase low-carbon heating of non-gas homes across the country.
ParlaMint-GB_2022-01-11-commons.u59	I am sure that the Secretary of State is aware that off-grid customers’ gas and oil supplies are not covered by the price cap, and that they will therefore experience even higher price fuel price increases this spring than the £600 or so now predicted for on-grid customers. Is the Secretary of State intending to provide any special assistance to off-grid customers, or is he going to let them stew alongside their on-grid neighbours, as the Government seem happy to do at the moment?
ParlaMint-GB_2022-01-11-commons.u60	I think that is a complete misrepresentation of all the work that the Government have done to help customers. There are the winter fuel payments, as the hon Gentleman well knows, and £300 for 8 million pensioners is worth £2 billion. We have the warm home discount, we have cold weather payments. We have a full range of measures that will help off-grid customers in a difficult time.
ParlaMint-GB_2022-01-11-commons.u61	8. What support his Department is providing to life sciences clusters across the UK.
ParlaMint-GB_2022-01-11-commons.u62	12. What steps he is taking to develop the UK’s life sciences sector.
ParlaMint-GB_2022-01-11-commons.u63	As a result of this Government’s long-term life science strategy, now a 10-year strategy, I am delighted to be able to share with the House that the life science sector has grown, in terms of private investment, by 1,000% in the last 10 years and is creating jobs all around the UK—in Northern Ireland, Scotland, Wales. At the heart of our strategy for the innovation nation, in our life science vision last summer we set out a plan, with £5 billion in the comprehensive spending review of funding for life science research, and we intend to support those clusters all around the UK.
ParlaMint-GB_2022-01-11-commons.u64	I welcome the effort that my hon. Friend has given to developing this important policy and his characteristic kindness in engaging with me on it. Clusters will be crucial to improving UK resilience and building our manufacturing capacity. In Ulverston we have an established base with GSK, but I want to see that grow, with new entrants like Lakes BioScience coming in, building high-skilled jobs and the supply chain. With that in mind, may I ask how the strategy will apply to south Cumbria? May I also invite him to the sunlit uplands of Ulverston to visit and see for himself?
ParlaMint-GB_2022-01-11-commons.u65	I thank my hon. Friend and pay tribute to his tireless campaigning for Barrow and Furness and on this issue. I understand well the concerns following GSK’s movement from the Ulverston site. I would just make this point: quite often such moves of pharma from one site to another create an opportunity. As the Minister for Life Sciences, I launched the life science opportunity zones and we created thriving clusters at Alderley Park and Sandwich; it would be my ambition to do the same up at Ulverston. I very much look forward to coming up and visiting, and my officials are working closely on that as we speak.
ParlaMint-GB_2022-01-11-commons.u66	Central Park in my constituency is furthering Darlington’s ingenious spirit as it drives forward UK life sciences, with firms on our golden mile creating and developing the medicines of the future, as the Secretary of State knows from his recent visit. Will my hon. Friend outline what steps his Department is taking to ensure that firms in Darlington use local talent in the pursuit of further scientific breakthroughs?
ParlaMint-GB_2022-01-11-commons.u67	My hon. Friend makes an important point about talent and is right that a powerful cluster is taking shape in the north-east. Following my return to the Government two months ago, my first visit was to the north-east. From Darlington to North of Tyne, an incredible cluster is taking shape, with the National Biologics Manufacturing Centre, the Centre for Process Innovation and the National Horizons Centre all in that golden mile in Darlington. It is an incredibly exciting time and I look forward to going back up to see my hon. Friend’s constituency and how we can develop a skills plan so that the sector can grow in the next five to 10 years.
ParlaMint-GB_2022-01-11-commons.u68	In his earlier answer, the Minister alluded to co-operation among the various parts of the United Kingdom; will he ensure that there is maximum co-operation so that sites such as the centre for drug discovery, which is linked to the life sciences faculty at the Coleraine campus in my constituency, can maximise their opportunities?
ParlaMint-GB_2022-01-11-commons.u69	I am grateful to the hon. Gentleman for raising that issue. With Queen’s University Belfast and the Randox cluster, Northern Ireland is a powerhouse in life sciences and both the Secretary of State and I have been to visit. I am delighted that the hon. Gentleman has made that point and will make sure that the Northern Ireland cluster is powerfully at the heart of our innovation strategy.
ParlaMint-GB_2022-01-11-commons.u70	In York, we want to maintain momentum around the BioYorkshire project—York’s green new deal—so will the Minister set out when the project can apply for funding under the Biotechnology and Biological Sciences Research Council funding regime?
ParlaMint-GB_2022-01-11-commons.u71	I have had meetings with the hon. Member since she raised this issue previously. We are in the process of allocating—I repeat—the biggest ever increase in science and innovation funding for a generation. Once that process has been completed, we will begin to allocate the money throughout the country. The hon. Member has made a powerful intervention on behalf of that cluster, which I am going to come up to see. There is an exciting cluster of companies in the York, Harrogate and east of Yorkshire area.
ParlaMint-GB_2022-01-11-commons.u72	The Minister is absolutely right about the overall success of the Government’s life sciences strategy, but he will be aware of the chilling effect on UK manufacturers, including one in my constituency, of the outcomes of the coronavirus test device approval process. I know the Minister is a believer in agile regulation, so will he conduct a review, with the UK Health Security Agency, to understand what lessons can be learned to assist UK manufacturers in future?
ParlaMint-GB_2022-01-11-commons.u73	As per usual, my hon. Friend makes an important point. I am not the Minister responsible for the vaccine taskforce, but I am already reaching out to my colleagues at the Department of Health and Social Care on that very point to make sure that in the light of this pandemic we boost our manufacturing centre as well as our research.
ParlaMint-GB_2022-01-11-commons.u74	British life scientists led the world in the battle against covid, and we need them to lead the fight against another great health challenge: dementia, which destroys so many lives and imposes huge private and public health and social care costs. This month, research published in The Lancet found that by 2050 worldwide dementia cases will treble and cases will go up by 75% in the UK. That is why Labour is promising to double research and development spend on dementia—a commitment that was also in the 2019 Conservative manifesto. Will the Minister confirm that dementia R&D spend has gone down since his Government took office?
ParlaMint-GB_2022-01-11-commons.u75	I agree with the hon. Lady that that the dementia research and treatment sector is incredibly important, which is why, when then Prime Minister Cameron set up the G20 summit, I was incredibly proud, as Minister for Life Sciences, to launch the UK Dementia Research Institute. In the CSR, we announced another £340 million for motor neurone disease research. As I say, I am in the process of allocating the biggest ever R&D increase and we will look to make sure—[Interruption. ] The hon. Lady is heckling me from a sedentary position; perhaps she will listen. We are in the process of allocating that money to make sure that dementia gets the recognition that it needs.
ParlaMint-GB_2022-01-11-commons.u76	To ensure that our fantastic life science sector continues to prosper and lead the world, we need to inspire the next generation of life scientists. What more can the Minister’s Department do to show that there is a place for everyone in the sector, regardless of race, background or gender, and that their future efforts could change lives both at home and abroad and tackle some of the great challenges that we know exist.
ParlaMint-GB_2022-01-11-commons.u77	Not surprisingly, my hon. Friend, who is an expert in this field, makes an important point. In the people and culture strategy that we set out this summer, we make that very point: we need to build a diverse eco-system. I have already reached out to the Royal Society and picked up and commended its work on science, technology, engineering and maths and diversity in the sciences. The truth is that our science sector is creating opportunities all around the country, and we are absolutely committed in the innovation strategy to make sure that every community in this country has access to those jobs and opportunities.
ParlaMint-GB_2022-01-11-commons.u78	9. If he will make an assessment of the confidence of Scottish businesses in the UK Government.
ParlaMint-GB_2022-01-11-commons.u79	Business Ministers regularly engage Scottish businesses on policy making and to discuss business-related issues. In challenging times, the UK Government have provided significant taxpayer support to businesses across the UK, including in Scotland, and we will continue to work with them in the months ahead.
ParlaMint-GB_2022-01-11-commons.u80	Just last week, the Federation of Small Businesses flagged up the grim realities of Brexit, citing that 74% have experienced a sharp fall in international sales and exports because of import checks on trade with the EU, yet that reality is completely at odds with the outpourings of Lord Frost who used the new year honours list to purport an opaquely upbeat metric on the success of businesses across these isles. How are Scottish businesses supposed to feel any shred of confidence in this Government when such comments are completely at odds with what is happening on the ground? Even Baroness Davidson, the face of the Scottish Tories for the past decade, says that “I despair when I see people—even those of my own party—dismissing business or disrespecting the herculean efforts that people have gone to”. —[Official Report, House of Lords, 9 December 2021; Vol. 816, c. 2021. ]
ParlaMint-GB_2022-01-11-commons.u81	I know that this is a surprise to the Scottish nationalists, but we have made the decision as a country to leave the European Union, and we are now in the process of ensuring that that is a success, not just for businesses in Scotland, but for businesses all across the United Kingdom as a whole, and we will continue to do that in the months ahead.
ParlaMint-GB_2022-01-11-commons.u82	Given that shops in Scotland had a greater reduction in footfall than any other part of the UK, given that the Scottish Licensed Trade Association has called the additional restrictions in Scotland a “knock-out blow”, given that the Aberdeen and Grampian chamber of commerce has called on the Scottish Government to pay up or open up, and given the abandonment of the Scottish oil and gas sector and its workforce, will my hon. Friend be able to give an assessment of Scottish businesses’ confidence in the Scottish Government?
ParlaMint-GB_2022-01-11-commons.u83	I am grateful to my hon. Friend for his apposite and very important intervention this morning. He is a huge and doughty campaigner for Scottish interests, unlike individuals on the SNP Benches. It is comments such as those from the Aberdeenshire chamber of commerce that demonstrate how the confidence of Scottish businesses should be in the UK Government rather than the Scottish Government.
ParlaMint-GB_2022-01-11-commons.u84	10. What recent discussions he has had with the Welsh Government on ensuring that the power supply for Baglan energy park remains connected until a permanent connection to the national grid is secured.
ParlaMint-GB_2022-01-11-commons.u85	I am grateful to the hon. Gentleman for his question and for raising this issue. I know that this has been a challenging time for some tenants on the energy park. Given that these issues are largely devolved, officials from the Department for Business, Energy and Industrial Strategy and I are regularly in touch with the Welsh Government on this matter and this includes, as he is aware, an exchange of correspondence in the past few days, along with regular meetings between officials.
ParlaMint-GB_2022-01-11-commons.u86	The Minister knows that in just three days the official receiver is due to turn off the power on the Baglan energy park. The intransigence of the official receiver is putting huge pressure on local businesses and also creating massive environmental and public health risks. Section 400 of the Insolvency Act 1986 clearly gives the Business Secretary the power to direct the official receiver. Why will the Minister not step up, take urgent action and direct the official receiver so that the potentially catastrophic consequences for these businesses, houses and communities can be averted in just three days?
ParlaMint-GB_2022-01-11-commons.u87	As I have said, I completely appreciate that this is a challenging time for tenants on the energy park. We have, as a UK Government, sought to review all of the powers that are available to the Government, including section 400 of the Insolvency Act. It is our view that it is not advisable to use that process at this stage. We have, as the hon. Gentleman knows, written to the Welsh Government giving a number of indicators about how we can mitigate the challenges and I look forward to speaking with the Welsh Government further, including in my meeting with the Minister for the Economy tomorrow.
ParlaMint-GB_2022-01-11-commons.u88	11. What new support he plans to provide to energy transition projects in Scotland.
ParlaMint-GB_2022-01-11-commons.u89	May I start by welcoming the hon. Gentleman back to his place The Government support the energy transition by harnessing the industry’s existing potential to exploit new and emerging green technologies. As regards Scotland, we have a £20 million pot for tidal stream. The Acorn project has been allocated £40 million in carbon capture, usage and storage development funding so far, and in the hon. Gentleman’s own area, the Ayrshire growth deal has secured investment of £251 million, including up to £18 million for a centre for research and a low-carbon energy and circular economy.
ParlaMint-GB_2022-01-11-commons.u90	I thank the Minister for his response and his kind wishes. The UK Government have decided not to rethink and reverse their decision not to fund the carbon capture, utilisation and storage facility at St Fergus, and the Chancellor has failed to match the Scottish Government’s £500 million investment in a just transition fund for the north-east and Moray. By deploying CCUS, hydrogen and direct air capture technology in Scotland, the Scottish cluster would support an average of 15,100 jobs between 2022 and 2050. Do major Scottish projects only have priority in the months ahead of an independence referendum?
ParlaMint-GB_2022-01-11-commons.u91	The hon. Gentleman will not be surprised to hear that I disagree with him on the independence referendum, but we engage regularly with the Scottish cluster and Acorn, and I met Storegga before Christmas. I have also met with my hon. Friend the Member for Banff and Buchan (David Duguid), the MP for St Fergus, and have been to his constituency recently. Just to be absolutely clear, the Scottish cluster is the reserve cluster, which means that it met the eligibility criteria and performed to a good standard in the evaluation criteria. We also recently published our track 2 update for CCUS, which highlights our increased ambition of capturing and storing 20 to 30 megatonnes per annum by 2030. I think there is a great future there for the Scottish cluster.
ParlaMint-GB_2022-01-11-commons.u92	I welcome the hon. Member for Ayr, Carrick and Cumnock (Allan Dorans) back to his place—even though he did kind of trample over my question a little bit. Will my right hon. Friend confirm the UK Government’s support for the oil and gas sector and its vital role in driving the energy transition to net zero? As part of that support, will he confirm what recent engagement he has had with the Acorn CCS project in my constituency of Banff and Buchan on its role as the first reserve cluster?
