ParlaMint-GB_2022-05-16-commons.u1	1. What steps he is taking to support local leaders in regenerating high streets and town centres.
ParlaMint-GB_2022-05-16-commons.u19	My right hon. Friend has, with his characteristic assiduity, already raised this question with me both formally and informally, and I appreciate the unfortunate consequences that some have to face, but we obviously need to balance protecting the rights of leaseholders with ensuring that, through the proper application of permitted development rights we can in a sensitive way increase accommodation and make sure that we have a process, particularly in urban areas, that allows us to provide more homes without encroaching on valuable green land. As ever, however, we need to keep under appropriate supervision the use of permitted development rights, and the case my right hon. Friend raises will be one that weighs on my thinking.
ParlaMint-GB_2022-05-16-commons.u20	The Secretary of State will know that an associated problem for many leaseholders is the very high cost of insurance premiums; that affects many of my constituents in Cambridge. What is he doing to address that?
ParlaMint-GB_2022-05-16-commons.u21	My noble Friend Lord Greenhalgh, Minister for building safety and for fire safety, has been in conversation with the Association of British Insurers, and Baroness Morgan of Cotes has been discussing with him exactly how we might move to a happier situation. I hope to be talking to both insurers and mortgage lenders in the next few weeks in order to move the landscape forward.
ParlaMint-GB_2022-05-16-commons.u22	I greatly welcome the legislation that will protect leaseholders when developers are at fault, but what happens if a developer undertakes work, such as cladding, which at the time met building regulations but subsequently has been shown to be unsafe? Who gets protection then?
ParlaMint-GB_2022-05-16-commons.u23	My hon. Friend raises an important question, and here I have an opportunity to thank those developers, as well as the House Builders Federation, who have acknowledged that they were part of a regulatory system and that even those who sought to do the right thing were on occasions required to accept an ethic of shared responsibility; they have accepted it and for that reason leaseholders, who have no responsibility and no blame to shoulder, are protected.
ParlaMint-GB_2022-05-16-commons.u24	3. What recent discussions he has had with elected members in the devolved Administrations on the (a) equity and (b) transparency of the UK shared prosperity fund.
ParlaMint-GB_2022-05-16-commons.u25	The United Kingdom Government have engaged with each of the devolved Administrations on the design of the UK shared prosperity fund both at official and ministerial levels, and our engagement with Ministers from the devolved Administrations in the weeks leading up to the publication of the UKSPF allocation helped to inform the most appropriate mix of interventions and specifically the allocations for each nation.
ParlaMint-GB_2022-05-16-commons.u26	No doubt one thing that will have been raised in those discussions is the fact that this year Scotland’s share will be £151 million less than we would have got in EU structural funds had we not been dragged out of the EU against our will, despite the fact that both the Tory party manifesto in 2019 and a personal pledge from the Secretary of State at the Holyrood Finance and Public Administration Committee earlier this year assured us we would get at least as much as would have come from the European Union. Why have those two promises been broken, and, most importantly, what has happened to Scotland’s missing £151 million?
ParlaMint-GB_2022-05-16-commons.u27	The normally pertinacious Member is misinformed: it is the case that Scotland receives just as much. I fear he is probably missing out the money Scotland receives from the European Union as a result of money we gave to the EU, and as funding slowly moves down, the great thing about leaving the EU is that we have control of how these funds are spent; we can decide how they are spent. If the hon. Member wants to take us back into the European Union perhaps he will explain to voters in Scotland why he wants to take us back into the common fisheries policy, why he wants to abandon the trade deals we have secured that benefit Scotland’s distillers and farmers, and why he wants power to be exercised by unaccountable bureaucrats in Brussels rather than elected representatives here.
ParlaMint-GB_2022-05-16-commons.u28	4. What steps his Department is taking to reform planning policy.
ParlaMint-GB_2022-05-16-commons.u29	8. What steps his Department is taking to give residents greater input on local developments.
ParlaMint-GB_2022-05-16-commons.u30	17. What steps his Department is taking to give residents greater input on local developments.
ParlaMint-GB_2022-05-16-commons.u31	The Levelling-up and Regeneration Bill will improve our planning system and give residents more involvement in local development. The Bill will strengthen and scale up neighbourhood planning and enable the piloting of street votes supported by new digital tools to give communities more say in the developments that affect them.
ParlaMint-GB_2022-05-16-commons.u32	The 2020 White Paper promised us a once-in-a-generation reform to planning policy. The present proposals appear somewhat unambitious and modest in contrast. Can I meet the Minister so he can explain to me how we can deal with the following situation in my constituency? Wealden and Rother District Councils have issued 10,000 planning permissions that have not been built out, and yet they still have to deliver 2,000 new homes between them each year. The developers responsible for building the homes deliver only 1,000 new homes. Surely, at the very least, we can have annual housing targets that take into account houses that are not yet built out, so that developers build rather than land bank.
ParlaMint-GB_2022-05-16-commons.u33	I am more than happy to meet my hon. Friend. There are measures in the Bill to try to address build-out rates, which are an important element that we have to tackle. Under the Bill, it will be necessary to supply the local authority with a commencement notice, an agreement on the number of houses that will be built each year and a completion notice. We are absolutely on this, and I assure my hon. Friend that we will do everything we can to ensure that the houses that have got permission are built.
ParlaMint-GB_2022-05-16-commons.u34	I welcome the Government’s reform of the planning system, but Homes England proposes the development of up to 10,000 houses on flood-prone green fields to the west of Ifield, just outside my constituency. That will put unacceptable pressure on local infrastructure, and although local people in my constituency will be most affected, they have no say over it. How will these planning proposals allow the people of Crawley to say no to the West of Ifield development?
ParlaMint-GB_2022-05-16-commons.u35	I am absolutely clear that communities must have a say on developments that affect them, and that is why we are making it easier and simpler to engage with the planning system. At the moment, it simply is not good enough. I recognise the specific concerns that my hon. Friend and the leader of Crawley Borough Council have raised about this development. The site itself is included in the Horsham draft plan that has been produced with Crawley council. Residents of Crawley are able to comment on that, as well as on any subsequent planning applications.
ParlaMint-GB_2022-05-16-commons.u36	Constituents object not simply to the sheer number of developments in my constituency and the pressure that they place on local infrastructure, but to the environmental impact of the way the homes are constructed. My hon. Friend knows that I would like to see a requirement for homes to be built to the latest environmental standard, rather than the one that was in place when permission was granted. Can he tell the House whether local communities will be able to have a say on how the homes are constructed, rather than just what they look like from the outside?
ParlaMint-GB_2022-05-16-commons.u37	My hon. Friend is right to raise that. It is a crucial area for me in this role, and I hope that he will be reassured that improving environmental standards and community engagement are key elements of our reforms. Clear local plans, tested against environmental outcomes and with strong community input, are central to that, alongside the steps we are taking through the future homes standard and the Environment Act 2021.
ParlaMint-GB_2022-05-16-commons.u38	We come to the Chair of the Levelling Up, Housing and Communities Committee, Mr Clive Betts.
ParlaMint-GB_2022-05-16-commons.u39	We look forward to seeing the Minister and the Secretary of State at the Select Committee to discuss these matters early after the recess. It seems there are some genuine improvements in the proposals, particularly, as described in paragraphs 50 and 60 of the explanatory notes, the clauses that give greater strength to local plans in looking at individual planning applications There are two areas where the Bill might be strengthened. The first refers back to what the hon. Member for Bexhill and Battle (Huw Merriman) said. Yes, developers will have to set out what they intend to build, but what sanctions will the local authority have if developers do not follow those promises? The second is about what happens if a developer does not observe conditions attached to a planning permission. That has happened with Avant Homes at Owlthorpe in my constituency—I have talked to the Minister about this—where the developer is refusing to comply with a whole range of conditions, including on wheel washers, compounds for workers and engaging with the local tenants’ association. I notice that the other day, the Daily Mail drew attention to the fact that the same developer has not met conditions in Nottinghamshire. What sanctions will the local authority have to deal with a developer in such a situation and to take into account those failures when a future planning permission is put in for?
ParlaMint-GB_2022-05-16-commons.u40	I am grateful to the Chair of the Select Committee and for the reports that fed into many of the changes we have made. He is right to raise those issues. One issue communities see far too often, and the reason why they are sometimes opposed to development, is that they do not actually get what was promised at the beginning. I am really keen that, through the Bill, we give that power back to local communities and ensure neighbourhood plans are strengthened.
ParlaMint-GB_2022-05-16-commons.u41	York is being overrun by investors hoovering up our new build by either leaving those properties empty or using them for Airbnb. That is causing the market to heat up, which is having a really disruptive impact and choking off opportunity for future buyers in my constituency. How will the Minister use his planning reforms to ensure we are not just building to numbers, but to local need?
ParlaMint-GB_2022-05-16-commons.u42	The hon. Lady is right. The reforms are about empowering local communities to develop local plans and engage with the development of those local plans to identify the housing needs of each area. She is right to raise the issue on second homes and Airbnb. As I said to her the other day in the meeting we had, I look forward to potentially hosting a roundtable with her and colleagues around North Yorkshire to address those very issues.
ParlaMint-GB_2022-05-16-commons.u43	On the point the Minister was making about developers or planners going back on previous agreements or advice, I have a case in South Leamington, which was consulted on six years ago, where we were to have social and truly affordable housing built on a particular site. As of last week, that has been changed and we will have 80 units with 92 beds in more or less the same space. Will he meet me to discuss that matter and will he explain how the planning changes will ensure communities get what they want, which is truly affordable housing?
ParlaMint-GB_2022-05-16-commons.u44	Of course, I would be happy to meet the hon. Gentleman to discuss the issue he raises. The whole point of the Bill is to strengthen the development of local plans in the first place, so local planning authorities can address the housing needs they have in their area, including the types of housing they need; and to strengthen enforcement issues around planning applications. I am more than happy to speak to him further to understand the issue in greater detail.
ParlaMint-GB_2022-05-16-commons.u45	5. What discussions he has had with Cabinet colleagues on taking steps to improve access to employment for those without car access in (a) North Shropshire and (b) other rural areas as part of the levelling-up agenda.
ParlaMint-GB_2022-05-16-commons.u46	The levelling-up fund announced at the last spending review saw £1.7 billion awarded to 105 successful projects across the UK, including projects to improve access to employment for those without the use of a car in rural areas.
ParlaMint-GB_2022-05-16-commons.u47	Market Drayton and a number of other towns in North Shropshire are seeing cuts to their bus services, with Market Drayton set to lose them all together at weekends. It has received none of the funding that it has applied for to date, including from the Bus Back Better fund. Like many other towns across Britain, its beautiful high street is struggling to recover from the pandemic. For such towns that have been unsuccessful in their bids so far, and where people are struggling to get in and out of them, what is the Government’s plan to level them up?
ParlaMint-GB_2022-05-16-commons.u48	The hon. Lady needs to work with her local transport authority—that would be Shropshire Council—to look into resolving those issues. The pandemic had a huge impact on the delivery of local services and the Government provided nearly £1.86 billion in grant funding for bus services in England. Shropshire Council received about £2.17 million of that, so I encourage her to speak to the council to see what it, along with commercial bus operators, can do.
ParlaMint-GB_2022-05-16-commons.u49	6. What steps his Department is taking to support economic growth across the UK.
ParlaMint-GB_2022-05-16-commons.u50	Our levelling-up White Paper sets out our plans to support economic growth across the whole of the UK. Since September 2020, we have allocated more than £7 billion through our levelling-up funds, including the recently announced allocation for the shared prosperity fund.
ParlaMint-GB_2022-05-16-commons.u51	I am grateful to my hon. Friend for that answer. Coastal communities such as Lowestoft and Waveney are the forgotten powerhouse of the UK economy. Can my hon. Friend confirm that the opportunities and challenges they face will be given the highest priority as the Government set about delivering their levelling-up agenda, and will the money from the Crown Estate that was originally used for the coastal communities fund be targeted at realising the full potential of coastal areas and meeting their needs?
ParlaMint-GB_2022-05-16-commons.u52	I have met my hon. Friend about this issue several times and I agree that coastal communities have the potential to be real powerhouses for our economy. That is why the future high streets fund has allocated £149 million to coastal local authorities, and why coastal local authorities got £287 million of funding in the first round of the levelling-up fund. That comes on top of the £229 million, which he mentioned, that we have invested in coastal towns and communities since 2012 through the coastal communities fund.
ParlaMint-GB_2022-05-16-commons.u53	We come to the shadow Secretary of State, Lisa Nandy.
ParlaMint-GB_2022-05-16-commons.u54	Look, can the Minister not see the crisis unfolding across the country? There has been the biggest fall in living standards since the 1950s. Pensioners are boarding buses just to keep warm. On every measure, the gap is widening; there is less for the regions, in terms of public spending; salaries are falling; homes are less affordable; and local economies are on the verge of collapse. Surely he recognises how absurd it is that all we have had from the Secretary of State in the past week is the promise of an al fresco dining revolution, and three full pages of legislation giving us the power to rename our Mayors. What exactly is stopping the Government scrapping business rates, bringing in a windfall tax to cut money off energy bills, uprating benefits now, rather than waiting till later, or doing any of the things that will get money back into people’s pockets and get our economy growing?
ParlaMint-GB_2022-05-16-commons.u55	The hon. Lady could also have mentioned the fact that our national living wage, which this Government introduced, is putting £1,000 extra in the pockets of working people. She could have mentioned the changes to universal credit, which will make full-time workers £1,000 better off. She could have mentioned the record increase in the national insurance threshold, which will make nearly 30 million households better off, or any of the other measures that we are taking through the levelling-up agenda: the £4.8 billion being spent through the levelling-up fund; the £3.6 billion being spent through the towns fund; and the £2.6 billion that is helping to transform town centres across the country. I notice none of those things got a mention in her question.
ParlaMint-GB_2022-05-16-commons.u56	It is increasingly as though the Government are living on a completely different planet. The other day, the Secretary of State was in Stoke, which has had £35 million taken off it by him—that money used to flow freely back to us via Brussels—and £20 million stripped out of the local economy because the Government scrapped the £20 million universal credit uplift The bigger problem is that a pattern is emerging. The Secretary of State could not get money from the Chancellor. He could not get visas from the Home Secretary. He could not convince his former junior Ministers to stop closures of Department for Work and Pensions offices in the north. He could not even persuade his civil servants working on levelling up to move out of London. For all the nonsense that there has been, two thirds of his civil servants working on levelling up are trying to level us up from the capital. At least now he knows what it is like for the rest of us—in the north, Scotland, the midlands, Wales and the south-west—to be treated with total contempt by a bunch of Ministers in Whitehall. Seriously, what hope has he got of convincing us in this country that he can level us up when he cannot even convince a single one of his colleagues around the Cabinet table?
ParlaMint-GB_2022-05-16-commons.u57	I thank the hon. Lady for drawing attention to the Cabinet’s visit to Stoke the other day; if she had been a Government Back Bencher, people would accuse her of toadying for teeing up this answer so brilliantly. She mentioned several things that allow me to mention the three successful levelling-up bids that we have had in Stoke, and she mentioned the shared prosperity fund, about which I will make a point. Under the last Labour Government, money was decided on in Brussels and then given to remote regional development agencies. That money is now going directly, with no strings attached, to the fantastic Conservative-run council in Stoke, which is transforming the fortunes of that city after years of Labour neglect.
ParlaMint-GB_2022-05-16-commons.u58	I call the Scottish National party spokesperson, Patricia Gibson.
ParlaMint-GB_2022-05-16-commons.u59	Despite the bullish posturing, the Minister knows that households across the UK are suffering terrible hardship because of the cost of living crisis, which has the Tories’ name written all over it. Despite the rhetoric, the reality is that Scotland’s resource budget allocation has been cut by Westminster by 5.2%, and the capital budget allocation has been cut by Westminster by 9.7% in real terms. How can he claim to support economic growth across the UK when the Scottish Government’s ability to support business, investment and people through the cost of living crisis can only be severely constrained by these cuts?
ParlaMint-GB_2022-05-16-commons.u60	The hon. Lady talks about Scottish public spending. The truth is that the record block grant that Scotland has just received is the biggest settlement since devolution—it is huge. For every £100 of spending elsewhere, there is £126 of public spending in Scotland. The implication in the hon. Lady’s question is just not correct.
ParlaMint-GB_2022-05-16-commons.u61	The problem for the shadow Secretary of State is that some of us remember what 13 years of a Labour Government meant for the north of England: we received very little. Since the Government came to power, not only have they cut the Humber bridge tolls in half and supported the development of the Siemens wind turbine factory in Hull and the new Siemens train factory in Goole, but we have received huge sums of cash, including through the town deals that are coming our way. However, we want even more. Although we missed out on the levelling-up fund bid the first time round, will the Minister assure me that he will look very closely at the bids that are about to be submitted for my area for the next round of funding?
ParlaMint-GB_2022-05-16-commons.u62	I will look very closely at them. I hope that through the very exciting talks that are going on, and through the Hull and East Riding devolution deal, we can pick up many more of the exciting opportunities in the area. Of course, the reviews of Labour’s performance in Hull are so good that it has just been kicked out of the council.
ParlaMint-GB_2022-05-16-commons.u63	7. What steps he is taking to deliver long-term funding settlements for the levelling-up agenda.
ParlaMint-GB_2022-05-16-commons.u64	We know how important multi-year certainty is to local authorities and we aim to provide it whenever possible. We are making £54.1 billion available to local government in England through this year’s settlement—an increase of up to £3.7 billion on last year. We are also providing an additional £1.6 billion of grant funding per year across the spending review period.
ParlaMint-GB_2022-05-16-commons.u65	Long-term challenges need long-term solutions. We have had too much of an ad hoc bidding war, which creates winners and losers. A perfect example is my constituency: in the past three years, we have had our bids to the future high streets fund, towns fund, Restoring Your Railway fund, levelling-up fund and Bus Back Better fund rejected. Any one of those could have made a real difference to the constituency, but after each bid, we have been back at square one. Can the Minister not see that to truly level up, we need a strategy, not a lottery?
ParlaMint-GB_2022-05-16-commons.u66	I am sorry that the hon. Gentleman’s area has not been successful in bidding for funds, but I remind him that it has received £12.6 million from the shared prosperity fund. The levelling-up bids are competitive, and the strength of the bids is part of what is measured, so I encourage him and his local authorities to continue trying.
ParlaMint-GB_2022-05-16-commons.u67	We come to the shadow Minister.
ParlaMint-GB_2022-05-16-commons.u68	A new study by the Centre for Business Research shows that by the end of next year, more than half the UK’s slowest-growing economies will be in the north of England. So much for the Government’s commitment to levelling up the country! If we want true levelling up, we need proper regional investment. Instead, we have a rolling series of beauty parades: the levelling-up fund, the towns fund, the high streets fund, the buses fund, the brownfield fund and all the others. Do Ministers really believe that levelling up is best served by making communities come cap in hand to Whitehall, where only some can win, and most must lose?
ParlaMint-GB_2022-05-16-commons.u69	Competitive funding has its place, and we think that it has been an effective tool for protecting value for taxpayers’ money. The hon. Gentleman knows that, as I said in answer to his colleague the hon. Member for Ellesmere Port and Neston (Justin Madders), that is not the only funding that we are providing. We have increased funding for local government by £3.7 billion.
ParlaMint-GB_2022-05-16-commons.u70	The hon. Lady knows that the story for local government over the past decade has been a devastating one. Even if an area is successful in the bids that I have talked about, it will still be worse off overall as a result of Government cuts. With this Government, the reality never matches the press release, and we see that once again with the shared prosperity fund: the Tory party promised, in its 2019 manifesto, that the amount in the fund would match the what used to be received, but now we can see that the fund is worth hundreds of millions less. So I ask the Minister what I asked the Secretary of State last month, when I received only a grammar lesson in response: levelling up is a sham, is it not?
ParlaMint-GB_2022-05-16-commons.u71	I completely reject the hon. Member’s assertion. It is not true that the shared prosperity fund is less; it is more. The Opposition are looking at different sources of funding to arrive at their inaccurate figures. If he would like us to explain how it works, I would be very happy to provide him with a letter.
ParlaMint-GB_2022-05-16-commons.u72	Bloomberg’s devastating forensic analysis of the Government’s progress with their so-called levelling-up agenda has found no overall levelling-up progress in Scotland. On the contrary, the UK Government are levelling down Scotland compared with London, which has had significant levelling-up funding and gains since 2019. Disparities across the UK are widening. To what extent does the Minister agree with Bloomberg’s analysis that the Tories are levelling down Scotland and prioritising the south of England?
ParlaMint-GB_2022-05-16-commons.u73	I am afraid that is not a statement that we accept. I looked at the Bloomberg figures, and I noticed that Bloomberg was using a 2019 baseline, when the whole purpose of levelling up is to ensure that we solve the problems identified. I would like the hon. Lady to look at the metrics that we have included in the “Levelling Up the United Kingdom” White Paper, and at the missions in it; it is through those that we will level up across the country.
ParlaMint-GB_2022-05-16-commons.u74	9. What steps he plans to take to extend right-to-buy schemes to housing associations.
ParlaMint-GB_2022-05-16-commons.u75	The Government remain committed to the right to buy and to spreading the dream of home ownership to even more people. The midlands pilots for the voluntary right to buy were completed in 2021. An independent evaluation was published; we are reviewing the findings and will announce further details in due course.
ParlaMint-GB_2022-05-16-commons.u76	There is a desperate shortage of social housing in this country; more than 1 million households are waiting for social homes. However, rather than taking the decisive action that is needed to get to grips with this housing crisis, Ministers have threatened to jettison their manifesto commitment to building 300,000 affordable homes a year, refuse to commit themselves to building the council housing that we so desperately need, and are openly considering extending the right to buy to housing association properties. Will the Minister concede that an extension of the right to buy scheme will make the housing shortage much worse, will cause continued misery for many millions, and will deal a grievous blow to the hopes of thousands of my constituents who just want somewhere that they can call home?
ParlaMint-GB_2022-05-16-commons.u77	I am afraid that the hon. Gentleman is completely wrong. We have a very ambitious affordable homes programme. More than £11 billion is being spent on a range of different options. We are also introducing an infrastructure levy that makes as many, if not more, contributions to the delivery of affordable homes. I do not understand why the hon. Gentleman has a problem with giving people in social housing the opportunity to become homeowners. I have to tell him that on the council estate where I grew up, it made a real, transformational difference to the social mobility of the families who were able to enjoy that great policy.
ParlaMint-GB_2022-05-16-commons.u78	10. What steps he is taking to help reduce financial pressures on local authority budgets.
ParlaMint-GB_2022-05-16-commons.u79	As I mentioned before, this year’s local government finance settlement makes available £54.1 billion for councils in England—an increase of £3.7 billion on last year’s settlement—to ensure that councils have the resources that they need to deliver key services. That includes more than £1 billion for councils to meet social care pressures, and a new un-ringfenced 2022-23 services grant worth £822 million.
ParlaMint-GB_2022-05-16-commons.u80	As a result of the Government’s actions—they cut Bedford Borough Council’s revenue support grant from over £30 million in 2015 to just £6.1 million in 2022-23—local authorities have been forced to raise council tax precepts to meet vital costs. The adult social care burden is ever increasing, and cannot be paid for unless the RSG is increased to a realistic level. Will the Minister tell us when the fair funding review will finally be published?
ParlaMint-GB_2022-05-16-commons.u81	I thank the hon. Gentleman for raising this issue. We recognise that adult social care costs are increasing, which is why we have provided additional funding. For the hon. Gentleman’s borough of Bedford, we have provided an additional £2 million for this settlement year. We will continue to look at the pressure that councils are under, but I remind him that this settlement increased budgets significantly. Bedford Borough Council received a core spending power increase of 6.5% this year, worth £9.6 million. That makes available up to £156 million-worth of spending.
ParlaMint-GB_2022-05-16-commons.u82	I call the shadow Minister.
ParlaMint-GB_2022-05-16-commons.u83	Ministers cannot escape the fact that according to the National Audit Office, 50% of central Government grant funding has been cut from the budgets of local authorities up and down the land since 2010. Ministers are living in a parallel universe where less is more. Millions have been taken out of the shared prosperity fund. The consequences are all too plain. We even have Sir Rod Stewart doing DIY, filling in potholes in Essex—a county with which the Minister will be familiar—and a third of libraries are closing. Those are real consequences At what stage will the Minister grasp the bull by the horns and provide fair funding for local authorities, based on genuine need? This should not be about competition or jumping through unnecessary hoops; we should be providing first-class public services for all.
ParlaMint-GB_2022-05-16-commons.u84	I remind the hon. Gentleman that the reason we have had such difficulties in local government spending is the terrible state of public finances that this Government found when they came into power 10 years ago. It is only because of the hard work that we have done over the last decade to repair the public finances that we have been able to provide additional funding for local government.
ParlaMint-GB_2022-05-16-commons.u85	11. What recent progress he has made in delivering an “infrastructure first” approach for planning and house building.
ParlaMint-GB_2022-05-16-commons.u86	This is essential to our planning reforms. The Levelling-up and Regeneration Bill introduces a new infrastructure levy. It will ensure that developers contribute funding for infrastructure such as schools, GP surgeries and new roads, and it will give local authorities control over how that is provided to best meet the needs of local people and development.
ParlaMint-GB_2022-05-16-commons.u87	Can I encourage the Minister in his push for an “infrastructure first” approach with an example from my constituency? Quite a few years ago, a developer in the village of Biddenham proposed that a GP surgery be located there, and gave some land for it. It was to bring in patients from Biddenham and the neighbouring village of Bromham. All the houses have been built, but no part of that new GP surgery has been built. The good news is that the building will start later this year, but can the Minister assure me that the problem regarding the interactions between the clinical commissioning group, Bedford Borough Council, NHS Estates, GPs, the developer and the builder will be cleared up? No one is to blame, but I bet that if he had already introduced “infrastructure first”, we would have that GP surgery today.
ParlaMint-GB_2022-05-16-commons.u88	I completely agree with my hon. Friend. Councils, health bodies and everybody else need to get much better at this. Local planning authorities and CCGs should work together to provide the planned provision. Under our new levy, councils will be able to borrow against future levy receipts to forward-fund the infrastructure that is needed. I am arranging meetings with colleagues in the Department of Health and Social Care to discuss the very issue that he brings to our attention.
ParlaMint-GB_2022-05-16-commons.u89	It is vital that infrastructure is provided before development is allowed. It is also vital that houses that are given planning permission are then used for the purposes agreed on when the permission was granted. I am talking about second home ownership. Homes that are built for local families become second homes, and that leads to communities being hollowed out. Will the Minister look again at bringing in new change of use rules through the Levelling-up and Regeneration Bill, so that second homes and holiday lets fall under a separate category of planning use, and homes in Cumbria can remain for local families, and do not become part of ghost towns?
ParlaMint-GB_2022-05-16-commons.u90	I seem to be dealing with the issue of second homes daily; colleagues from around the country are raising it with me and highlighting their concerns for their communities. The Bill allows local councils to increase council tax on second homes, but there is more that we need to explore. That is why I am holding a series of roundtables across the country. Perhaps I could come up to the Lake district and hold one there.
ParlaMint-GB_2022-05-16-commons.u91	On-site community facilities are also vitally important. Last summer I was at the St Clements development in east Ipswich, where Bovis, Vistry and Trinity Estate Management have failed to meet many of their obligations. The Foxhall community centre was meant to be brought back into use, but has not been, and there are many concerns over littering and lighting. Will the Minister meet me to discuss how we can hold developers to account to make sure they do not let residents down, as they have over the St Clements development?
ParlaMint-GB_2022-05-16-commons.u92	Again, I am happy to meet my hon. Friend. He is right: when communities think that a development is coming and that there will be a particular benefit for them, and it is then not developed, it erodes trust in the whole planning system. That is exactly what our Bill is designed to address, so that communities can have more engagement, and more confidence that what has been agreed will be delivered.
