ParlaMint-GB_2022-03-24-commons.u1	1. What recent progress her Department has made on the rollout of gigabit broadband.
ParlaMint-GB_2022-03-24-commons.u18	As my right hon. Friend says, Channel 5 is 25 years old this month. I was a news presenter on the channel at the beginning and for the next eight years, and our aim was to make the news more accessible to a wider audience, ensuring that everybody in the country could understand what was going on. Will my right hon. Friend join me in celebrating Channel 5’s team who had the imagination and confidence to do that then, and the current team who continue to bring understandable, relevant, and relatable news to people in all parts of the UK today?
ParlaMint-GB_2022-03-24-commons.u19	I will—I congratulate and applaud them. My hon. Friend was there on Channel 5’s opening night, and so were the Spice Girls. Some of us in this House are old enough to remember that evening. Channel 5 does a huge amount for independent production companies, and one fifth of all its commissioning spending goes to those smaller companies. That is a larger spend than the BBC, Channel 4 and ITV. It also does a huge amount in the regions, and it far exceeds its Ofcom quota every year. As I said in my first reply, it is the levelling-up broadcaster, and I think those statistics alone bear that out. I wish it another 25 years, and I congratulate everybody working there.
ParlaMint-GB_2022-03-24-commons.u20	I call the shadow Minister, Chris Elmore.
ParlaMint-GB_2022-03-24-commons.u21	I warmly congratulate Channel 5 on turning 25, along with Channel 4 on turning 40 and, of course, one of our greatest institutions, the BBC, which is celebrating its centenary in 2022. This is becoming, without doubt, a milestone year for public sector broadcasting in the United Kingdom. While the Government have been playing games with the future of the BBC and Channel 4—and we welcome the extra funding for the World Service—their journalists have risked their lives to report the facts on the front line in Ukraine. Will the Secretary of State give an assurance that any future ownership decisions that she makes on Channel 4 will ensure that its in-depth, independent journalism will be protected beyond 2022?
ParlaMint-GB_2022-03-24-commons.u22	As I have said a number of times at the Dispatch Box, a decision has not yet been reached on the future of Channel 4. This week I met its chief executive, Alex Mahon, and its chair, Dawn Airey, and discussions are still taking place. I have yet to reach a decision, but when I do, all will be considered, including news broadcasting, the future, and the public service broadcasting remit to the nation. I have not made a decision, but when I do I will be here at the Dispatch Box and the hon. Gentleman will know the details.
ParlaMint-GB_2022-03-24-commons.u23	5. What discussions she has had with the Secretary of State for Transport on helping to ensure adequate availability of specialist event hauliers to support domestic music tours in summer 2022.
ParlaMint-GB_2022-03-24-commons.u24	I wrote to Baroness Vere of Norbiton, my counterpart at the Department for Transport, in February to discuss plans for supporting domestic tours through the implementation of the dual registration proposals. I am pleased to say that those are being taken forward and should come into force later this year. My Department and the Department for Transport continue to work closely with industry to understand the needs of the specialist events haulage sector.
ParlaMint-GB_2022-03-24-commons.u25	I thank the Minister for that response; I am glad that the Government are finally talking about this issue, which has been flagged up as a problem for a very long time, but “later this year” will not be good enough for bands wanting to tour the UK this summer. Harvey Goldsmith has said that there are not enough trucks and not enough drivers, and that we need a solution now. What is the Minister’s answer?
ParlaMint-GB_2022-03-24-commons.u26	That is not the message that I have heard, but I will be meeting UK Music representatives on Monday; if they share the concerns that the hon. Lady has just expressed, I will be happy to discuss those with them. The Secretary of State and I continue to do a lot of work with ministerial counterparts in other countries and across the Government on this issue. We are alive to the sector’s concerns.
ParlaMint-GB_2022-03-24-commons.u27	In an astonishing admission, Lord Frost, the Government’s former Brexit negotiator, recently said of musicians touring to the EU: “There is a whole set of problems here that is making life difficult on both sides” Big problems include the road haulage limits, which mean that UK-based vehicles cannot make more than two laden stops in the EU, which adds a £30,000 cost to each tour. Cabotage limits can add up to £16,000 a day. Those are substantial burdens, and most tours of UK orchestras are to Europe: such tours represent 12% of their earned income. Lord Frost now believes that the Government should change and move to a more pragmatic position to ease touring. Does the Minister agree?
ParlaMint-GB_2022-03-24-commons.u28	I thank the hon. Lady for her interest in this issue. The Department for Digital, Culture, Media and Sport is not responsible for the overall negotiating position, but as I say we have been in close discussions with other Departments. We have made progress on some of the specific issues raised with us, such as splitter vans, and we have also provided a lot of support to the wider events sector. We have made sure that carnets will not be required and we have been doing a whole bunch of other stuff As I said, I am meeting UK Music representatives on Monday to discuss the remaining outstanding issues, but we have also had a number of conversations with EU member states. In the vast majority of those, people no longer require permits or visas to carry out this kind of work.
ParlaMint-GB_2022-03-24-commons.u29	6. What steps her Department is taking to support local libraries and regional museums.
ParlaMint-GB_2022-03-24-commons.u30	The Department for Digital, Culture, Media and Sport works very closely with its public sector bodies to support the libraries and museums sector. Through the libraries improvement fund, for example, we are investing £5 million in 25 library services to upgrade buildings and technology and equip them to meet the changing needs of local communities. DCMS will directly support regional museums with £18.8 million of investment through the museum estate and development fund this year and through the DCMS Wolfson museums and galleries improvement fund, which opens in May.
ParlaMint-GB_2022-03-24-commons.u31	I thank my hon. Friend for the significant financial support from the cultural recovery fund that his Department has already given the Aerospace Bristol museum and STEM learning centre in Filton in my constituency. Will he give serious consideration to its application to become an Arts Council national portfolio organisation for 2023 to 2026?
ParlaMint-GB_2022-03-24-commons.u32	To date, the cultural recovery fund has given out £1.5 billion in grants and loans to around 5,000 organisations. I am pleased that our investment has helped support fantastic cultural organisations such as Aerospace Bristol, which I have had the pleasure of visiting with my hon. Friend. Arts Council England decides independently which organisations to fund; the national portfolio programme is a competitive process, in which the Arts Council makes decisions on funding based on the applications it receives and, obviously, the criteria. I therefore cannot comment on this particular case, but I wish Aerospace Bristol all the best in its application. It is a great institution.
ParlaMint-GB_2022-03-24-commons.u33	Libraries are cultural institutions that are perhaps most accessible to a lot of the people we talk about wanting to help, who will often go into a library more easily than they might to a museum or theatre. Local authorities have a statutory obligation to provide a comprehensive service. What steps will the Minister take to ensure that local authorities are meeting that obligation and that our libraries continue to be able to offer access to all parts of our communities?
ParlaMint-GB_2022-03-24-commons.u34	The hon. Gentleman is right: libraries fulfil a vital role in our local communities. The partnership between central Government, DCMS through various funds and, of course, the huge amount of money—about £600 million—that local authorities put into library services, is really important. If there are particular issues and councils are closing down libraries inappropriately, the Secretary of State could possibly get involved. If the hon. Gentleman faces that situation, he should please let us know.
ParlaMint-GB_2022-03-24-commons.u35	Bury Transport Museum, which is part of the east Lancashire heritage railway in my constituency, not only preserves our regional automotive and steam engine heritage, but is a centre for education and skills training. I thank my hon. Friend for the hundreds of thousands of pounds that have been invested in the institution from the culture recovery fund. Will he agree to visit that brilliant museum and view its proposed £10 million project at Buckley Wells to preserve the world’s oldest continuously in-use steam engine locomotive shed?
ParlaMint-GB_2022-03-24-commons.u36	There we are—the Minister can’t say no.
ParlaMint-GB_2022-03-24-commons.u37	How can I turn down an offer like that, Mr Speaker? As my hon. Friend says, our heritage, including our industrial heritage, is really important to this country. Support through various funding schemes—obviously, the culture recovery fund really helped—and on an ongoing basis, including through the National Lottery Heritage Fund, is really important in sustaining those entities. I would be delighted to visit.
ParlaMint-GB_2022-03-24-commons.u38	I declare an interest, as chair of the John Clare Trust, in the English poet’s house in Helpston near Peterborough and Stamford. Will the Minister do something for me and give the National Trust a good shaking? So often, the small literary houses and smaller places get neglected. The National Trust, with all its vast reserves, is obsessed with the great mansions of the rich and the powerful from the past. When will these little museums get the extra help that they need?
ParlaMint-GB_2022-03-24-commons.u39	The hon. Member is making a powerful point. He will be aware that the National Trust is an independent institution, but I meet with it regularly. It fulfils a vital function in this country and I would be happy to raise with it his valid points.
ParlaMint-GB_2022-03-24-commons.u40	Darlington Hall is a very special place in our national railway story, so I welcome Tees Valley Combined Authority’s £20 million investment in our rail heritage quarter and the expansion of the Head of Steam museum. Will the Minister outline what further steps his Department can take to support such local heritage sites?
ParlaMint-GB_2022-03-24-commons.u41	Railways are the theme of this morning, and for good reason. My hon. Friend is right that they fulfil a vital role. The culture recovery fund helps to sustain many of them. Many heritage institutions, including railways, have received further support through various other Government initiatives, and many heritage institutions benefited from the levelling-up fund. Again, I would be happy to talk to him about how the National Lottery Heritage Fund could further support their goals.
ParlaMint-GB_2022-03-24-commons.u42	Regional museums are great, but let us not forget about local museums. From Tameside’s Portland Basin Museum to Stockport’s Hat Works Museum, they tell the story of who we are. However, research from the Museums Association shows that there has been a 27% decline in spending on local museums by local government since 2010. What is the Minister’s Department doing to ensure that councils invest in local museums so that we can continue to tell the story of our local communities?
ParlaMint-GB_2022-03-24-commons.u43	The hon. Member partly answered his own question, in that this is a partnership between local authorities and the museums. It is also about reaching out to the private sector, which contributes to our museums, as well as Government support. We are trying to help when and where we can, for example, with the £18.8 million investment through the museum estate and development fund this year and through the DCMS Wolfson museums and galleries improvement fund, which opened in May. However, this is a partnership between central Government and local authorities, as he articulated.
ParlaMint-GB_2022-03-24-commons.u44	7. What steps her Department is taking to review legislation governing casinos.
ParlaMint-GB_2022-03-24-commons.u45	As my hon. Friend knows, the review of the Gambling Act 2005 is under way and will conclude imminently. Part of that is about the legislation governing casinos. We have received detailed evidence from the casinos sector—I have made a few visits to the sector—and we will publish our White Paper in the near future.
ParlaMint-GB_2022-03-24-commons.u46	I refer the House to my entry in the Register of Members’ Financial Interests. The Gambling Act review provides a golden opportunity to review the legislation governing casinos and to bring that into the modern age. Allowing for sports betting and electronic payments and reviewing the current machine-to-table ratio will all help to create new jobs, investment and additional tax receipts for the Exchequer. Will the Minister commit to examining the case for the changes, as well as for allowing additional large casinos in locations such as Blackpool as part of the review?
ParlaMint-GB_2022-03-24-commons.u47	The matters that my hon. Friend has raised are being considered in the review. We need to balance the ability of casinos to be economically viable with the need to keep players safe, and we are looking into how the current rules can be improved for those purposes. I know that there are seven unused Gambling Act 2005 casino licences, and I have heard my hon. Friend’s powerful representations on behalf of Blackpool, particularly with the levelling-up agenda in mind.
ParlaMint-GB_2022-03-24-commons.u48	I call the shadow Minister.
ParlaMint-GB_2022-03-24-commons.u49	The Minister is well aware of the costs of delaying action to tackle problem gambling. When the Government’s long-awaited White Paper is finally published, it must go further to tackle issues with gambling licences, including those relating to the national lottery. In recent weeks, concerns have been raised about the Gambling Commission’s decision to award the new licence to a company with reported links to Gazprom. Given the extremely concerning situation in Ukraine, can the Minister confirm that he is confident that the new provider has no links to the Russian regime, and if so, why?
ParlaMint-GB_2022-03-24-commons.u50	As part of its licence awarding process, the Gambling Commission has a statutory obligation to ensure that anyone to whom it gives a licence meets the fit and proper person test. I have asked the commission to assure me that it has conducted thorough inquiries to establish that the provisional licence awardee meets the test, and it has given me that assurance. There are also arrangements for the proposed licence holder to undergo the UK secure vetting process, and that work will begin shortly.
ParlaMint-GB_2022-03-24-commons.u51	Bingo halls and adult gaming centres are important to seaside towns and high streets, and particularly important to tackling isolation among the elderly. Sadly, Redcar lost Beacon Bingo during the pandemic, but we still have some fantastic adult gaming centres, such as Playland Amusements. May I invite the Minister to come to Redcar and Cleveland and see our amusement centres in action, which might help to inform his decisions in the forthcoming gambling review?
ParlaMint-GB_2022-03-24-commons.u52	I entirely recognise the importance of bingo halls and adult gaming as elements of vibrant communities up and down the country, often providing places where people can socialise. We are certainly trying to find ways in the review of ensuring that they are able to prosper and thrive, especially given that the risks posed to game players in those settings are at the lower end of the spectrum. I know that Redcar is famous not just for its bingo and gaming centres but for its lemon top ice cream, and I look forward greatly to enjoying that.
ParlaMint-GB_2022-03-24-commons.u53	Despite its glaring omission of fixed odds betting terminals, the Gambling Act was largely successful, but it predates online gambling by a very long way, and it is therefore essential that we update gambling legislation to deal with that issue. When will we be able to see the White Paper so that we can start the discussion?
ParlaMint-GB_2022-03-24-commons.u54	The hon. Gentleman is right to point out that online gambling exploded some time after the 2005 Act, and it does pose a number of serious risks. On Monday, in an Adjournment debate initiated by the hon. Member for Sheffield Central (Paul Blomfield), we discussed the tragic suicide of Jack Ritchie as a result of gambling addiction, and Jack’s parents, Liz and Charles, were in the Gallery listening to the debate. That case underlines the importance of taking action, particularly in relation to the online element. We are thinking about this very carefully and we do not want to rush it, but the publication of the White Paper is imminent.
ParlaMint-GB_2022-03-24-commons.u55	9. What steps her Department is taking to mark Her Majesty the Queen’s platinum jubilee.
ParlaMint-GB_2022-03-24-commons.u56	The Department is delighted to be supporting Buckingham Palace’s delivery of celebrations to commemorate the exceptional service of Her Majesty the Queen over seven decades. She has a special place in the heart of the nation. Lottery distributors are providing £22 million to help communities become involved, and there will be a series of events between 2 and 6 June, including a special Trooping the Colour event and a service of thanksgiving at St Paul’s cathedral.
ParlaMint-GB_2022-03-24-commons.u57	The summer of 1977 was truly magical for me, as a young girl—a very young girl, I should add—because it was the year of the silver jubilee, celebrating 25 glorious years of the Queen’s reign. I remember the street parties, and designing a card fit for a queen, and I still have the pencil. Will my hon. Friend join me in launching my very own card for the Queen, some 45 years later, and will he encourage young children in my constituency to enter my competition to design a card so that we can send it to the Queen from Stourbridge to mark her long and glorious reign?
ParlaMint-GB_2022-03-24-commons.u58	I was only one year old in 1977, so my memory of that is somewhat hazy, but I am delighted to strongly endorse my hon. Friend’s card for the Queen campaign. I am sure that her constituents will embrace it with enthusiasm and that cards for the Queen will come flooding in from Stourbridge.
ParlaMint-GB_2022-03-24-commons.u59	9. What recent assessment she has made of the future prospects of bingo clubs.
ParlaMint-GB_2022-03-24-commons.u60	As I said a moment ago, bingo clubs are very important. They are part of the social fabric of our country, and we acknowledge that the risks from gambling are very low in the bingo club environment. We will be looking at what we can do to help and support bingo clubs through the very imminent Gambling Act 2005 review.
ParlaMint-GB_2022-03-24-commons.u61	I am glad to hear the Minister talk about the brilliant benefits of bingo clubs to communities such as mine and about the low risk. Will he give an assurance to bingo players that in review of the Gambling Act, bingo will be assessed on its own merits based on the evidence and not just chucked in with the rest as an afterthought?
ParlaMint-GB_2022-03-24-commons.u62	I can categorically give that assurance. I have met members of the relevant industry association, and we recognise that the risks posed by bingo hall gaming are at the very low end of the spectrum. We are distinguishing between forms of gambling that are very high risk, of which there are many, and those that are low risk such as bingo.
ParlaMint-GB_2022-03-24-commons.u63	T1. If she will make a statement on her departmental responsibilities.
ParlaMint-GB_2022-03-24-commons.u64	As Putin continues his brutal assault on Ukraine, we have led the way in making the Russian regime a sporting and cultural pariah, convening Ministers from across the world to form a united response against the Russian dictator. We have helped to protect a historic football club while pursuing severe sanctions against Chelsea FC owner Roman Abramovich. I have also met the Ukrainian Culture Minister. In fact, we talk every day to discuss what other support we can give. I am also pleased to announce that the Government are providing the BBC with an additional £4.1 million in emergency funding to help the World Service continue broadcasting directly into Ukraine and Russia. This will ensure that audiences in the region can continue to access independent news reporting in the face of systemic Russian propaganda.
ParlaMint-GB_2022-03-24-commons.u65	Chelsea football club is supported by many Kensington residents. I welcome the new ticketing arrangements announced last night. Can my right hon. Friend update the House on the sale process? What the fans and the community are looking for is certainty, and of course victory over Real Madrid.
ParlaMint-GB_2022-03-24-commons.u66	And we wish them well with that. There are certain principles that apply to Chelsea within the Department and with myself. We applied the sanctions to Roman Abramovich, and obviously he cannot benefit in any way from the club, but it was important to maintain the integrity in the club and enable the club to continue to play and the fans to continue to enjoy football. With regard to the sale, I believe that there has been a huge amount of interest. All I will say here is that anyone who is interested in buying Chelsea football club should please go straight to the club. The Government are not handling that side of—
ParlaMint-GB_2022-03-24-commons.u67	Order. We only have seven minutes, and we are on topical questions. We need to be short and punchy, just to get some more Members in.
ParlaMint-GB_2022-03-24-commons.u68	Perhaps I ought first to declare an interest as a Manchester City fan who plans to attend the FA cup semi-final against Liverpool, but is it not wrong to hold that match between two north-west teams at Wembley on a weekend when there are no trains running from the north-west to London? What influence will the Government use to get the FA to sort this problem out, ideally by moving the semi-final to another venue? Is this not just further evidence that we need the voice of fans in football decision making, and that the fan-led review needs to be urgently implemented in full?
ParlaMint-GB_2022-03-24-commons.u69	There were a number of questions there. We are working with the Department for Transport and trying to ameliorate that situation. It is an FA decision, so we are also discussing it with the FA. It is important that we get the fan-led review in place. We have agreed in principle to a regulator, and we hope to bring that forward as soon as possible.
ParlaMint-GB_2022-03-24-commons.u70	T7. The 2025 UK city of culture shortlist has just been announced, so this is a perfect moment to review and improve the bidding for the next cycle, which is currently time-consuming, burdensome and very resource-intensive. On behalf of Southend West and the new city of Southend, which will bid to be the 2029 UK city of culture, will the Department consider having a dedicated city of culture team to guide and support applicants through the process?
ParlaMint-GB_2022-03-24-commons.u71	I pay tribute to Sir David Amess for his work championing Southend, which now continues. I thank my hon. Friend the Member for Southend West (Anna Firth), who is keen to support the bid for 2029. We have just announced the final four for 2025. She makes some good suggestions, and we want the application process to be as open as possible. We will provide whatever help we can, and I am happy to talk to her further.
ParlaMint-GB_2022-03-24-commons.u72	I call the SNP spokesperson, John Nicolson.
ParlaMint-GB_2022-03-24-commons.u73	The Online Safety Bill was published last week. MPs on both sides of the House wanted Zach’s law to be included, to protect children with epilepsy from cruel thugs who send flashing images online to trigger epileptic attacks. How many children would this measure save, and why was it not included in the Bill?
ParlaMint-GB_2022-03-24-commons.u74	The epilepsy measures are being considered by the Ministry of Justice, but the new communications offence in clause 150 will capture epilepsy trolling because it is engaged where a communication is sent with the intention of causing serious distress.
ParlaMint-GB_2022-03-24-commons.u75	I call the Chair of the Digital, Culture, Media and Sport Committee, Julian Knight.
ParlaMint-GB_2022-03-24-commons.u76	I have been told by several credible sources that DCMS is briefing that the Secretary of State still wants to introduce a new Joint Committee, by a motion of this House, to monitor the regulation of online harms—even the name of its Chair and for how long it will sit have been briefed. Given there is no collective agreement and that paragraph 104 of the Government’s response to the Select Committee’s report expressly rules out such a new Joint Committee to scrutinise digital regulation, what is the Secretary of State’s actual position on this?
ParlaMint-GB_2022-03-24-commons.u77	We ruled out wider legislation in statute, but a Joint Committee to undertake post-legislative scrutiny of the Online Safety Bill would be established by a Standing Order and is under consideration. This is a groundbreaking, globally leading Bill, and there is expertise in both Houses. There cannot be too much ongoing scrutiny of this Bill.
ParlaMint-GB_2022-03-24-commons.u78	T2. The gambling industry currently makes a voluntary contribution to the cost of the education, health support and research required to address gambling-related harm. The then Secretary of State, the right hon. and learned Member for Kenilworth and Southam (Jeremy Wright), said in 2019 that“the Government reserve the right to pursue a mandatory route…if a voluntary route does not prove effective. ” —[Official Report, 2 July 2019; Vol. 662, c. 1072. ] In other words, the 2019 voluntary agreement is conditional on its being effective. With the gambling review imminent, how do we know whether the current voluntary contribution is effective?
ParlaMint-GB_2022-03-24-commons.u79	I pay tribute to the hon. Gentleman for his tireless campaigning on this issue. We are very conscious of the debate on the voluntary levy and the effectiveness of treatment. I have met and discussed this with clinicians such as Dr Matt Gaskell from the Leeds gambling centre and, of course, Dr Henrietta Bowden-Jones from the London clinic. I assure the hon. Gentleman that his question is under active consideration.
ParlaMint-GB_2022-03-24-commons.u80	This would have been my follow-up to Question 10. Which organisations need to do what to improve further the roll-out of gigabit-capable broadband?
ParlaMint-GB_2022-03-24-commons.u81	I am delighted to report that 88% of premises in my hon. Friend’s constituency can access gigabit-capable broadband, which is above the national average. Across the UK, it is two thirds. We are on track to deliver more, and we will begin procurement in 2023 to mop up the bits of his constituency that are not covered by the commercial roll-out.
ParlaMint-GB_2022-03-24-commons.u82	T3. The enhanced communications offences are welcomed on both sides of the House, but does the Minister recognise that one problem the police encounter is that they cannot always identify the perpetrators? How will that be addressed?
ParlaMint-GB_2022-03-24-commons.u83	The hon. Gentleman raises a good question. Matters concerning identifying potential suspects are, generally speaking, dealt with under the Investigatory Powers Act 2016, which I know the Home Office is considering taking a look at. He is right to say that it is important for the police to be able to identify perpetrators where allegations are made, and the Government, particularly the Home Office and the Security Minister, are looking into that question carefully.
ParlaMint-GB_2022-03-24-commons.u84	On Saturday, on a visit to Northwood football club in my constituency, Ian Barry and the directors showed me a site where there is bowls, football, cricket, tennis and a number of other activities. What opportunities does the Minister see to join up the grant funding streams across different sports so that we can create enhanced, multi-sport facilities at community level?
ParlaMint-GB_2022-03-24-commons.u85	That is a very important point. Through the Football Foundation in particular, we work closely with local authorities and clubs to help them work collaboratively. That includes working with multiple clubs to share facilities, because that makes sense. We are also investing £205 million to build or transform up to 8,000 multi-use sports facilities and £21 million to refurbish park tennis courts.
ParlaMint-GB_2022-03-24-commons.u86	T4. The Secretary of State’s colleague the Chancellor is intending to increase VAT on live music tickets by 7.5 percentage points, which is 50% extra. What steps is she taking to promote live music and save it from this Government’s crippling tax rises?
ParlaMint-GB_2022-03-24-commons.u87	As I said, I will be meeting UK Music and I am happy to discuss this matter with it. We have provided a huge amount of support to the live music industry throughout the pandemic, including a really successful reinsurance scheme, but I am happy to take the hon. Gentleman’s points away.
ParlaMint-GB_2022-03-24-commons.u88	People are turning to the internet for advice on the cost of living, and we are also seeing how fake ads claiming to be from people such as Martin Lewis are used by fraudsters. So will the Secretary of State look at compelling online platforms to verify advertisements that exploit the trust and expertise that high-profile people have built?
ParlaMint-GB_2022-03-24-commons.u89	I am delighted to report to my hon. Friend that the measures he is calling for are in the Online Safety Bill, which was introduced to Parliament just last Thursday. I believe it will have its Second Reading shortly after the Easter recess, and I look forward to debating those matters with him then, but they are in the Bill.
ParlaMint-GB_2022-03-24-commons.u90	T5. I refer to my entry in the Register of Members’ Financial Interests. It is one year since the Prime Minister told the Liaison Committee that he wanted to fix the barriers stopping music tours of Europe. What are the Government going to do to make that promise come true? [R]
ParlaMint-GB_2022-03-24-commons.u91	I have addressed this in a number of ways earlier today. As I say, I am meeting UK Music. We have done a number of things with Departments and with counterparts in other countries to reduce the barriers for touring musicians, and we will continue to carry out that work.
ParlaMint-GB_2022-03-24-commons.u92	The final question will be from Pauline Latham.
ParlaMint-GB_2022-03-24-commons.u93	Thank you, Mr Speaker. Last month, I took the Minister to see Belper Town football club, which is a true grassroots football club. However, Derby County is in danger, and this could have a huge knock-on effect on grassroots football in the region. Please will he confirm when the full recommendations from the fan-led review of football governance, which could have helped Derby County avoid administration and all the pains of the past six months, will be brought into force?
ParlaMint-GB_2022-03-24-commons.u94	It was a pleasure to visit Belper Town football club. My hon. Friend is making valid points, and she knows that I have met the English Football League and the administrators about the situation at Derby County. We will be bringing more information forward about the response to the fan-led review very shortly.
ParlaMint-GB_2022-03-24-commons.u95	On a point of order, Mr Speaker. I need some guidance from you about the answer I have just been given. Paragraph 104 of the report we have just published today and laid before the House states that “we see real risks of duplication in creating a Joint Committee focused on digital regulation more broadly. Such a committee would cut across the work of existing parliamentary committees that are already well placed to scrutinise digital regulation and for this reason we do not support the recommendations on this from the Joint Committee on the Draft Online Safety Bill” Should such commitments given in writing to a Select Committee be adhered to, perhaps not forever, but for more than 24 hours? What is your view on those who are briefing at the same time as a Committee Chair receives certain commitments in writing? Will you make it clear to the House that the establishment of such a Committee would need Opposition parties to agree to fill it?
